[2026-03-06 09:32:41] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-03-05
正在获取论文...
[arXiv] 2026-03-05 | FaceCam: Portrait Video Camera Control via Scale-Aware Conditioning
[NO] 78/200 | Integrated Microcomb-Driven Vortex Electromagnetic Waves for Broadband Forward-looking Sensing
[NO] 79/200 | The Minkowski problem of $p$-affine dual curvature measures
[NO] 80/200 | Recurrent Graph Neural Networks and Arithmetic Circuits
[NO] 81/200 | New Improved Schwarzschild Black Hole and Its Thermodynamics and Topological Classification
[NO] 82/200 | Crystal growth and magnetic properties of spin-$1/2$ distorted triangular lattice antiferromagnet CuLa$_2$Ge$_2$O$_8$
[NO] 83/200 | Analysis of the Riemann Zeta Function via Recursive Taylor Expansions
[NO] 84/200 | FedBCD:Communication-Efficient Accelerated Block Coordinate Gradient Descent for Federated Learning
[NO] 85/200 | Trajectory Tracking for Uncrewed Surface Vessels with Input Saturation and Dynamic Motion Constraints
[NO] 86/200 | UniPAR: A Unified Framework for Pedestrian Attribute Recognition
[NO] 87/200 | Altermagnetic Metal-Organic Frameworks
[NO] 88/200 | Simultaneous Misalignment and Mode Mismatch Sensing in Optical Cavities Using Intensity-Only Measurements
[NO] 89/200 | The effect of fluorine or chlorine substitution on mesomorphic properties of ferroelectric nematic liquid crystals
[NO] 90/200 | Quantitative Error Estimates for Learning Macroscopic Mobilities from Microscopic Fluctuations
[NO] 91/200 | PromptTuner: SLO-Aware Elastic System for LLM Prompt Tuning
[NO] 92/200 | MI-DETR: A Strong Baseline for Moving Infrared Small Target Detection with Bio-Inspired Motion Integration
[NO] 93/200 | Jagarin: A Three-Layer Architecture for Hibernating Personal Duty Agents on Mobile
[NO] 94/200 | Strong breaking of black-hole uniqueness from coexisting scalarization mechanisms
[YES] 95/200 | Deep Learning-Driven Friendly Jamming for Secure Multicarrier ISAC Under Channel Uncertainty
[NO] 96/200 | Renormalisation of Chiral Gauge Theories with Non-Anticommuting $γ_5$ at the Multi-Loop Level
[NO] 97/200 | Ab initio quasi-harmonic thermoelasticity, piezoelectricity, and thermoelectricity of polar solids at finite temperature and pressure: Application to wurtzite ZnO
[NO] 98/200 | CLIP-driven Zero-shot Learning with Ambiguous Labels
[NO] 99/200 | NeuronMoE: Neuron-Guided Mixture-of-Experts for Efficient Multilingual LLM Extension
[NO] 100/200 | Enhanced Third-Order Optical Nonlinearity in a Dipolar Carbene-Metal-Amide Material with Two-Photon Excited Delayed Fluorescence
[NO] 101/200 | Swarm Learning: A Survey of Concepts, Applications, and Trends
[NO] 102/200 | Temperature-Compensated Bragg Grating Sensor for Curvature and Strain Measurement in a Configurable Rectangular Optical Fiber
[NO] 103/200 | A Flexible Cross-chain Payment Channel Network
[NO] 104/200 | Fully Physical BTI Analysis Tool (BAT) for Modeling of NBTI Architecture, Materials, Process, and Dimension Dependence
[YES] 105/200 | A Reputation-Based Evaluation Method to Defend Against Massive SSDF Attacks
[NO] 106/200 | XOR-TOPK : Efficient Top-K Selection Hardware Engine Based on Bitwise XOR Operation
[NO] 107/200 | Modeling Passenger Flow Congestion Propagation in Urban Rail Transit Network with An Epidemic Approach
[NO] 108/200 | Front Matter
[NO] 109/200 | Morphology-Guided Muscle Cell Detection &amp; Counting based on Transfer Learning, FFD Augmentation and Density-Aware Loss Optimization
[NO] 110/200 | SPBNet-YOLO: Improving Small Object Detection in UAV Imagery Under Diverse Conditions
[NO] 111/200 | Research on Intelligent Perception and Prediction of Enterprise Operational Risk Based on Transformer-Driven Fusion
[NO] 112/200 | Cooperation of Converter-Interfaced Devices: Application on Low-Emission Offshore Oil and Gas Platforms
[NO] 113/200 | Solution to Last Month’s Enigma [Enigmas, etc.]
[NO] 114/200 | An End-to-End Detection and Segmentation Model for Container Surface Damage Based on YOLOv11
[NO] 115/200 | Case Studies and Real-World Applications of AI-Generated Content in User Interface Design in Smartphones
[NO] 116/200 | A Hybrid Informer-LightGBM Framework for Enhanced Carbon Emission Forecasting in Industrial Parks
[NO] 117/200 | An Efficient FPGA-Based AES Encryption Design for IoT Terminals: Low-Power Optimization with a BRAM-Based S-Box
[NO] 118/200 | Depression Detection in Social Media Comments Based on BiGRU-CapsNet
[NO] 119/200 | Local Flexibility Markets: Coordination of Distributed Flexibility Resources: European and U.S. Experiences and Innovations in Distributed Energy Resources
[NO] 120/200 | The Effect of Different Learning Rates on the Performance of Face Recognition
[NO] 121/200 | Ethical and Security Challenges of Large Language Models in Public Health Systems: A Survey
[NO] 122/200 | Mixed-Signal Modulation Recognition Based on Feature Fusion Convolutional Neural Networks
[NO] 123/200 | Glacier Melt Time Series Prediction Model Based on LSTM Neural Network
[NO] 124/200 | Application of Natural Language Processing in the Analysis of Emotional Logs in Music Therapy
[NO] 125/200 | Application of Deep Reinforcement Learning in FPGA Multi-Frequency Clock Phase-Shifting Adaptive Measurement
[NO] 126/200 | Extending Cyber Threat Modeling with Physical Dependency Analysis in DC Microgrids
[NO] 127/200 | Secure Storage Strategies for Massive Data in Network Computing Environments
[NO] 128/200 | GNN-ETF: A Graph Neural Network-Based Framework for Modeling Inter-Sector Relationships in ETFs
[NO] 129/200 | Autonomous Systems - Digitalization, Education and Innovation in the engineering education
[NO] 130/200 | Analysis of User-Privacy, Third-Party Data Sharing and Consent Mechanism on Online Pharmacy Websites in Ontario
[NO] 131/200 | CTD-YOLO: An Efficient Object Detection Algorithm for Tiny Surface Defects on Cranes
[NO] 132/200 | Health Degree Prediction of DCS Equipment Based on WOA-BP Neural Network
[NO] 133/200 | DyVertexGAT: A Novel GNN-based Target Assignment Policy for Multi-Aircraft Combat Decision
[NO] 134/200 | Can LLMs Hack Enterprise Networks? — RCR Report
[NO] 135/200 | Whether the Blockchain Applications Will Empower Our Country Tax Revenue Divergence from Tax Source-Empirical Evidence from Chinese Cities
[NO] 136/200 | AI Acceptance, Job Insecurity, and Resistance to Change: Impacts on Innovative Work Behavior
[NO] 137/200 | ICHBC 2025 TOC
[NO] 138/200 | Adjustable-Error-Based Adaptive Neural Network Tracking Control for Uncertain Nonlinear Systems
[YES] 139/200 | Interference Free Multi-User Coded ISAC with Physical Layer Security
[NO] 140/200 | Tx Coaxial Stepped Impedance Resonator Filters With Distinct Transmission Zeros
[NO] 141/200 | A Proton Irradiation Damage Compact Model of HfO
                    <sub>
                      <i>x</i>
                    </sub>
                    /TiO
                    <sub>
                      <i>x</i>
                    </sub>
                    Heterojunction Memristive Synapses for Hardening Design of Convolutional Neural Network Hardware
[NO] 142/200 | The Electromagnetic Properties of Multi-filaments MgB
                    <sub>2</sub>
                    Wires
[NO] 143/200 | Spectral Koopman-Hopf Formula
[NO] 144/200 | Powering Reliability, Engineering Resilience: A Unified Vision for the Modern Grid [Editor’s Voice]
[NO] 145/200 | Biodegradable Nanorobots Meet Edge Computing: Sustainable Intelligence in the Soil
[NO] 146/200 | Investigation of Load Parameters of a Hybrid Stepper Motor
[NO] 147/200 | Real-Time Grasping Detection Algorithm Based on Improved YOLO11
[NO] 148/200 | An Improved Typhoon Track Prediction Method Based on Conditional Diffusion Model
[NO] 149/200 | Performance Evaluation of Plant Leaf Disease Detection using Structural Modification of the Traditional Convolutional Neural Networks
[NO] 150/200 | A Cross-Language Information Retrieval and Knowledge Graph Construction Method for Chinaafrica Economic and Trade Cooperation
[NO] 151/200 | The Impact of Gamification and Blended Learning Platform on Engagement: The Mediating Role of Course Satisfaction
[NO] 152/200 | Application Process of Intelligent Target Detection Algorithm in Complex Background for Skywave Over-the-Horizon Radar
[NO] 153/200 | LLM-driven Task Dispatching Heuristic Design for Multi-Agile Earth Observing Satellites Scheduling
[NO] 154/200 | Optimization of the Semantic Matching Module of the Automatic English Composition Correction System
[NO] 155/200 | Application of Supercapacitors to Extend the Critical Clearing Time by Time Domain Equal Area Criterion
[NO] 156/200 | Brain Tumor Detection Using Advanced Deep Learning Models - Vision Transformer and EfficientNetV2
[NO] 157/200 | MGACMR: Multi-Granularity Feature Adversarial Cross-Modal Retrieval Model
[NO] 158/200 | Intrusion Event Recognition in Distributed Fiber-Optic Sensing Systems via Domain Adaptation Learning
[NO] 159/200 | Analysis of spectral responses in soybean crops with different levels of phytonematode infestation at different phenological stages using MSI/Sentinel-2 sensor imagery
[NO] 160/200 | Design and Application of an Evaluation System for Large Language Models
[NO] 161/200 | Enhanced Text Extraction from Low-Quality Legacy Documents Using TrOCR Assisted by Line Detection
[NO] 162/200 | Boost or Block? Exploring the Impact Mechanisms of Deep Learning in GenAI Interactions
[NO] 163/200 | Experimental Characterization of Soft Materials for Robotic Applications
[NO] 164/200 | AI-Enabled Application Mode of Automated Assessment for Online Collaborative Learning Based on Knowledge Graphs
[NO] 165/200 | An Optimization Method for LLM-Based Retrieval-Augmented Generation System on OpenWebUI
[NO] 166/200 | Research on Scientific Paper Writing for Graduate Students Based on Group Case-Based Practice
[YES] 167/200 | Research on tamper-proof and privacy protection scheme of industrial MQTT data based on AES key dynamic derivation
[NO] 168/200 | The Impact of RCEP on Member Countries' Digital Services Exports: An Empirical Analysis Based on a Two-Way Fixed Effects Model
[NO] 169/200 | A Multimodal Privacy Filtering System using Deep Learning for Visual-Audio Input Streams
[NO] 170/200 | Dynamics-Based Adaptive Scheduling for Large-Scale Edge Computing Networks in Smart Cities
[NO] 171/200 | A Lithium Niobate Piezoelectric Micromachined Ultrasonic Transducer Operating in Thickness-Field-Excitation ModeWith Enhanced Acoustic Emission
[NO] 172/200 | IEEE Feedback
[NO] 173/200 | Chapter Chair Meeting During IMAS 2025 in Nairobi, Kenya [Around the Globe]
[NO] 174/200 | Adaptive Clustering Convexification Mapping-Planning System for UAVs in Unknown Environments
[NO] 175/200 | Real-Time Deep Reinforcement Learning Policy Controller for Magnetically Levitated Robots
[NO] 176/200 | PES Meetings [Calendar]
[NO] 177/200 | A Unified Framework for Group Delay Flattening: Stable and Hardware-Efficient All-Pass Networks
[NO] 178/200 | Learning Category-Invariant Disentangled Features for Domain Generalization in Machine Fault Diagnosis
[NO] 179/200 | Differentiated Task Design and Feedback of SOLO Classification Method Based on Large Language Model-A Case Study of Parabola Teaching in High School
[NO] 180/200 | Method for Extracting Dynamic Human Body Contour Features from Yoga Teaching and Training Videos
[NO] 181/200 | A Deep Learning-Based Inverse Design Framework for Microscale FGM Pressure Sensor Diaphragms
[NO] 182/200 | How Generative Artificial Intelligence Empowers Teaching: A Systematic Literature Review of Empirical Evidence from China
[NO] 183/200 | Dynamic Beam Hopping Management for the LEO Satellite Communications Using the LNN
[NO] 184/200 | Research on the Pathways and Impacts of Reforming Legal Practice Education Empowered by Artificial Intelligence
[NO] 185/200 | Research on Deep Reinforcement Learning Optimization Methods in State Perception and Fault Location of Power Distribution Network Equipment
[NO] 186/200 | The Technology Capital Accumulation and Dissemination Model Based on Complex Networks in the Digital Background
[NO] 187/200 | Sequential Cooperative Multi-Agent Online Learning and Adaptive Coordination Control in Dynamic and Uncertain Environments
[NO] 188/200 | Optimized Image-Based Disease Detection: Evaluating the Effects of Preprocessing, Annotation Methods, and Dataset Variability
[NO] 189/200 | Personalized Recommendation of Human Resource Education and Training Content Based on Deep Improvement Neural Networks
[NO] 190/200 | An Accurate Recommendation Method for Online Educational Resources in Sports Based on User Profiles
[NO] 191/200 | Construction of a Korean Semantic Dependency Analysis Algorithm for Large-Scale Corpora
[NO] 192/200 | Deep Learning on UAV Imagery: Applications Across Civil and Military Domains
[NO] 193/200 | A Disciplining Method for VC-TCXO in Embedded Systems
[NO] 194/200 | Multi-Object Tracking Algorithm for Infrared Images Based on Multi-Scale Large-Kernel Attention
[NO] 195/200 | AFCNN-BiLSTM: A Model of Teaching Emotional Interaction Recognition Based on Multi-Modal Interactive Features
[NO] 196/200 | Research and Design of Fault Protection for EVPN VPWS and EVPN VPLS Bridge
[NO] 197/200 | An Assisted Medical Diagnosis Question Answering System Based on Knowledge Graphs
[NO] 198/200 | Electromagnetic Transient Simulations for Large-Scale Power Grids: A Utility Perspective
[NO] 199/200 | Research on Lightning Protection Filters for Aircraft Power Supply Equipmentaper
[NO] 200/200 | Reconfiguring Human Subjectivity in the Age of Generative Artificial Intelligence: A Philosophical Reflection and Evidence-Informed Framework
筛选完成：共 200 篇；Yes = 4 篇；已保存到 papers/select_paper2026-03-05.json。
邮件发送成功！
[2026-03-06 09:57:31] 任务执行成功！
