[2026-07-02 11:28:39] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-07-01
正在获取论文...
[arXiv] 2026-07-01 | A Model-based Testing Technique for Amazon Lex Task-based Chatbots
[NO] 75/200 | An Inner-Outer Iteration Algorithm with Optimal Parameters for Stochastic Lyapunov Matrix Equation
[NO] 76/200 | Slow heat-driven flow in a gas of hard disks
[NO] 77/200 | Social Popularity of GitHub Projects: A Lifeline or a Liability?
[NO] 78/200 | Heavy element dust explains the late-time spectra of kilonovae
[NO] 79/200 | Timesynth: A Temporal Fidelity Framework for Health Signal Digital Twins
[NO] 80/200 | A Recurrence Based Summation Method for Ultra-Rapid Divergent Series and Renormalon Type Expansions
[NO] 81/200 | When Self-Protection Backfires: Adaptive Contact Behavior Expands the Endemic Basin in an Addiction Model with Nonlinear Relapse
[NO] 82/200 | Speech Playground: An Interactive Tool for Speech Analysis and Comparison
[NO] 83/200 | Spin Femtoscopy: A Framework for Revealing Genuine Spin Correlations
[NO] 84/200 | MindAU: EEG-Conditioned Facial Action Unit Editing via Dual-Stream Manifold Alignment
[NO] 85/200 | Sums of units in finite rings and applications to Cayley graphs
[NO] 86/200 | The Illusion of High Utility in Safety Alignment of Text-to-Image Diffusion Models
[NO] 87/200 | Efficient LCE Queries and Lexicographic Minimizers on Sliding Suffix Trees
[NO] 88/200 | From Objectives to Applications: Aligning Architectural Biases in Audio Self-Supervised Learning
[NO] 89/200 | Regularized Model Predictive Control via Contractivity and Implicit Lur'e Analysis
[NO] 90/200 | SAOT: Self-Supervised Continual Graph Learning with Structure-Aware Optimal Transport
[NO] 91/200 | Enhancing Prostate Cancer Segmentation for Multi-Domain Generalization using a novel Parallel-Route Coherent Mixup Regularization Training
[NO] 92/200 | Enhancing Flow Matching with A Unified Guidance Framework for Efficient and Robust Speech Synthesis
[NO] 93/200 | Submodular Maximization over Many Matroids via Ordered Local Search
[NO] 94/200 | Simulating generic single-qubit open-dynamics via polarization-frequency coupling in a photonic interferometer
[NO] 95/200 | Petrify: Petri-net Based Analysis of Concurrency Properties in Java Bytecode
[NO] 96/200 | Axion Polarimetric Experiment (APE)
[NO] 97/200 | Training-Free Debiasing of Diffusion Models via CLIP-Guided Denoising Optimization
[NO] 98/200 | Local Motion Matters: A Deconstruct-Recompose Paradigm for Reinforcement Learning Pre-training from Videos
[NO] 99/200 | Hierarchy of hidden nonlocality: A genuine activation of Incompletability
[NO] 100/200 | Proxy-surface-based fast direct solver for TE-mode scattering problems on distributed memory systems
[NO] 101/200 | Balancing Learning and Targeting in Predictive Allocation
[NO] 102/200 | Fast Byzantine Total Order Broadcast
[NO] 103/200 | Algorithmic Delegated Choice: An Annotated Reading List
[NO] 104/200 | Selfie Capture Using Smile Detection
[NO] 105/200 | Code-Flow: Leveraging AI-Assisted Visualization and Knowledge-Graph Integration for Enhanced Code Understanding Within the IDE
[YES] 106/200 | Heterogeneous UAV Coordination using MARL and Lazy Theta* Path Planning
[NO] 107/200 | Designing Transport-Level Encryption for Datacenter Networks
[NO] 108/200 | Parent-Seeding Pheromone-Guided Subgraph Extraction for Clinical Question Answering Over FHIR Knowledge Graphs
[NO] 109/200 | An Agentic Framework for Robust and Explainable Natural Language to SQL Generation
[NO] 110/200 | Quantum Potential Clustering for Interpretable Risk Stratification in Type 2 Diabetes
[NO] 111/200 | TOPOS: Topological Profiling of On chain Subgraphs for Cross Chain Forensics
[NO] 112/200 | Data Inclusion Proofs for Account-based Blockchains Storage Nodes
[NO] 113/200 | PumpSense: Real-Time Detection and Target Extraction of Crypto Pump-and-Dumps on Telegram
[NO] 114/200 | Shared Spotlight Meridian: Distributed Sparse Pseudorandom Functions for Scalable Federated Learning
[NO] 115/200 | Chain Reactions: How Nonce Collisions in ECDSA Compromise Polygon MEV Searchers
[NO] 116/200 | Factors Influencing the Performance of Hybrid Models for Anomaly Detection in Blockchain Transactions
[NO] 117/200 | Reduced-State ZK-STARK Verification for Granular NFT Metadata Privacy
[NO] 118/200 | GHost in the Shell: A GPU-to-Host Memory Attack and its Mitigation
[NO] 119/200 | LLMs in the SOC: An Empirical Study of Human-AI Collaboration in Security Operations Centres
[NO] 120/200 | DocuGenAI: An End-to-End Multi-Modal System for Automated Micro-Documentary Generation
[NO] 121/200 | Smart Contract Vulnerability Detection Empowered by LLM: Can It Really Work?
[NO] 122/200 | A Technology-Readiness Evaluation of Private Set Intersection
[YES] 123/200 | SBFT Tool Competition 2026 – UAV Testing Track
[NO] 124/200 | Seismic Horizon Tracking Based on Linear-Enhanced Deep Learning
[NO] 125/200 | Adaptive Demodulation-Inspired Network for Non-stationary Signal Decomposition
[NO] 126/200 | Optimal Constrained sc-LTL Planning in MDPs via Switching Policies
[NO] 127/200 | Soft Everting Robots for Medical Applications: A Review
[NO] 128/200 | An Efficient Adaptive Spectral Transformer Network for Human Activity Recognition
[NO] 129/200 | EEGLite: Fast, Accurate, and Energy-Efficient CNN–Attention Framework for MI-EEG Classification in IoT-Based BCI Systems
[NO] 130/200 | Projection Packet Collaborative Denoising: A Vital Sign Signal Reconstruction Solution for UWB Health Monitoring
[NO] 131/200 | Two-Stage NAS for On-Device Privacy Preservation Across Heterogeneous Computational Resources
[NO] 132/200 | ADMM for Block-Structured Large-Scale Quadratic Programs
[NO] 133/200 | IEEE Sensors Council
[NO] 134/200 | Dynamic Rescheduling for Aircraft Pulsed Assembly Lines: A Distributed Multi-Agent Approach
[NO] 135/200 | Adaptive PMLSM Control via Hybrid Extended State Observer Repetitive Control Optimized by Improved Deep Reinforcement Learning
[NO] 136/200 | A Four-Arm Modular Energy Storage Converter with High Power Density and Battery-Friendly Integration
[NO] 137/200 | Short Paper Session 2
[NO] 138/200 | Short Paper Session 1
[NO] 139/200 | Performance Analysis of SIMO-FSO Systems with Coupled Pointing Errors and Correlated Lognormal Turbulence
[NO] 140/200 | DPSSX: Detecting and Preventing SQLi and Stored XSS Induced by Expressions in Web Application SQL Statements via Static-Dynamic Analysis
[NO] 141/200 | Compact Model for Accurate Decoupling of Interface and Buffer Traps in HEMTs
[NO] 142/200 | AI and Edge Computing-based Deep Learning Framework for Early Detection of Chronic Kidney Disease and Kidney Stones
[NO] 143/200 | Livelihood Vulnerability in Rural India: Agricultural Stressors and Technological Interventions from the Semponkudi Study
[NO] 144/200 | Recovering and Rehosting Mobile Local LLM Conversations and Contexts via Memory Forensics
[NO] 145/200 | Comparative Analysis of Machine Learning Algorithms for Early-Stage Diagnosis of Prion Diseases Using Explainability and Calibration
[NO] 146/200 | Interpreting Respiratory Sounds for Robust Disease Detection Using Machine Learning
[NO] 147/200 | Security and Threat Modelling for OtA Updates in Classic AUTOSAR Systems
[NO] 148/200 | A Secure and Scalable Real-Time Stock Price Monitoring and Intelligent Alert Notification System using MERN Stack
[NO] 149/200 | Explainable Ensemble Deep Learning Framework for Multiclass Skin Lesion Classification
[NO] 150/200 | A Local AI Assistant Developed in Python with OpenAI Tools to Facilitate PEMFC Research
[NO] 151/200 | ReSort: Edge-Optimized Mobile Recycling Classification with Cloud-Assisted Geolocation Guidance
[NO] 152/200 | Secure IPFS-based File Storage with Blockchain-Enabled Authentication, Access Control, and Secure Data Transfer
[NO] 153/200 | Neural Network Pipeline for Kidney Stone Detection and Segmentation from CT Images
[NO] 154/200 | Feature-Level Information Fusion of Dietary and Lifestyle Variables for Machine Learning–Based Prediction of Colorectal Cancer Risk
[NO] 155/200 | Skin Disease Detection and Classification Using Deep Learning
[NO] 156/200 | AI-Enhanced Phishing Email Detection Using Hybrid Feature Engineering and Ensemble Learning
[NO] 157/200 | Cooperative SWIPT-Enabled Subsurface Soil Sensor Network for Sustainable Smart Agriculture
[NO] 158/200 | From Individual to Central Storage: Towards Minimizing Grid Interaction in Energy Communities
[NO] 159/200 | EVMAuth: Decentralized Authorization as Programmable Assets for Web3 APIs and Autonomous Agents
[NO] 160/200 | SIGHSAGE: Smart Scene Narrator for Visually Impaired Using YOLOv11
[NO] 161/200 | AI-Assisted Dermoscopic Skin Lesion Analysis using Ensemble Deep Learning with Uncertainty Quantification and Fairness-Aware Clinical Reporting
[NO] 162/200 | Explainable Trend–Residual Corrected XGBoost for Global Air Quality Prediction
[NO] 163/200 | NextStep AI - AI Powered Smart Intelligence And Career Guidance Assistance Platform
[NO] 164/200 | Explainable AI based Multi-Organ Diagnosis using ROIs and Augmented Reality Visualization
[NO] 165/200 | Privacy-Preserving NFT Access Control with Threshold Cryptography and Offline Wallet Integration
[NO] 166/200 | Autonomous Mobile Robot Navigation Using Double Deep Q-Network: Efficient Goal-Seeking and Obstacle Avoidance
[NO] 167/200 | RL to Control Agile Dynamics of a Single Legged Hopping Robot
[NO] 168/200 | TO-SoFiT: Topology Optimization of Hydraulic Soft Fish Tail Design for programmable undulating locomotion
[NO] 169/200 | Information Asymmetry and Governance Failure: Insider Trading in Family Firms and the Implications for Disclosure Systems
[NO] 170/200 | Reaching Univalency with Subquadratic Communication
[NO] 171/200 | Power State Management of Bus-Mounted Edge Servers towards Elastic Computation Offloading: A Reinforcement Learning Approach
[NO] 172/200 | Messages
[NO] 173/200 | Multi Parameter Identification and Battery Charging Control of UWPT System Based on Primary Measurement
[NO] 174/200 | Optimal Low-Carbon Scheduling of Integrated Energy Microgrid: A Two-layer Four-level Stochastic Robust Optimization Method
[NO] 175/200 | Global–Local Coupling Formation Cooperative Obstacle Avoidance Method for Multirobot Systems
[NO] 176/200 | Proceedings
[NO] 177/200 | ICSploit: A Fuzzing Framework for Proprietary Industrial Control System Protocols Driven by Function Codes
[NO] 178/200 | Modeling Partial and Total Support of Left Ventricular Assist Device for Discrete Hemodynamic Control Framework
[NO] 179/200 | Matrixed-Spectrum Decomposition Accelerated Linear Boltzmann Transport Equation Solver for Fast Scatter Correction in Multi-Spectral CT
[YES] 180/200 | Diffusion-Based Channel Inpainting for Robust SRS-Based CSI Acquisition
[NO] 181/200 | Frequency-enhanced and Multimodal Fusion Visual State Space Model for Tree Crown Segmentation Using UAV Remote Sensing Images
[NO] 182/200 | Bayesian-Optimized Model Predictive Control With Modulator for Rotor Current Control Under Parameter Uncertainties in Doubly-Fed Induction Generator Systems
[NO] 183/200 | Patient-specific Biomechanical Investigation of Percutaneous Pulmonary Valves: Towards the Integration of Routinely Acquired Clinical Data and Fluid-structure Interaction Simulations
[NO] 184/200 | A Scenario-based Two-stage Optimal Sequential Operation of Green-Hydrogen-Integrated Island Hybrid Energy System Network
[NO] 185/200 | Improved epoxy composites for GIS insulation rods using hyperbranched network structure
[NO] 186/200 | DPSFusion: Dynamic Pseudo-Supervision and Semantic Guidance for Multi-Modality Image Fusion
[NO] 187/200 | A Multidimensional Statistical Feature-Extraction Framework Employing Transconductance as a Sensing Metric for Detection of VOC Biomarkers for Fatty Liver Disease Using a Pd-MoS-rGO Hybrid Channel FET_supp1-3706769.docx
[NO] 188/200 | A capillary-driven textile electrochemical device enabling rapid and continuous uric acid monitoring in sweat
[NO] 189/200 | AccSI: Accelerating Serverless Inference via Edge-Assisted Pipelined Model Fetching
[NO] 190/200 | RGB-Guided Infrared Fixed-Pattern Noise Estimation via Sequential Adaptive Fusion
[NO] 191/200 | Numerical and Experimental Investigations on Geometrically Optimized Piezoelectric Cantilever Sensors for Density and Viscosity Measurements
[NO] 192/200 | AoI and Latency-Aware Air-Ground Vehicular Crowdsensing by Sequential Multi-Agent Deep Reinforcement Learning
[NO] 193/200 | MobileSplat: Real-Time Streaming and Rendering of City-Scale 3D Scenes for Mobile Platforms
[NO] 194/200 | City-wide Traffic Prediction Using Aggregated Mobile Network Activity Data
[NO] 195/200 | A Timed Petri Net Model and Renderer for Typesetting Pre-Mensural Polyphony
[NO] 196/200 | Bridging Piano Pedagogy and Digital Music Libraries
[NO] 197/200 | Autonext: Optimised Recurrent and Context-Aware Statistical Models for Predictive Text Input in Low-Resource Indic Languages
[NO] 198/200 | Concretely-Efficient Multi-Key Homomorphic Secret Sharing and Applications
[NO] 199/200 | COSSETER: GitHub Actions Permission Reduction Using Demand-Driven Static Analysis
[NO] 200/200 | Improved Breast Ultrasound Classification using CLAHE-based Enhancement and Deep Ensemble Learning
筛选完成：共 200 篇；Yes = 5 篇；已保存到 papers/select_paper2026-07-01.json。
邮件发送成功！
[2026-07-02 12:04:59] 任务执行成功！
