[2026-06-12 12:13:24] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-11
正在获取论文...
[arXiv] 2026-06-11 | Multi-Field Hybrid Retrieval-Augmented Generation for Maritime Accident Root Cause Analysis
[NO] 72/200 | On the holomorphy of the curvature of planar webs along an invariant curve
[NO] 73/200 | Sizing of a grid-forming power converter to improve the small-signal stability of an LCC-HVDC system connected to a weak grid
[NO] 74/200 | Stellar Population Spectra Incorporating Detailed Binary Evolution using POSYDON
[NO] 75/200 | Finsler structure of Busemann G-spaces
[NO] 76/200 | A Note About Algebraic $(s, t)$-Weak Tractability Of Linear Tensor Product Problems In The Worst-Case Setting
[NO] 77/200 | Navigating the Safety-Fidelity Trade-off: Massive-Variate Time Series Forecasting for Power Systems via Probabilistic Scenarios
[NO] 78/200 | Exploring Exotic Spin-Dependent Interactions Beyond the Standard Model: Theoretical Foundations and Experimental Investigations
[NO] 79/200 | ReSum: Synergizing LLM Reasoning and Summarization with Reinforcement Learning
[NO] 80/200 | Discrete Fourier Transform Approach to Cyclically Covering Subspaces of $\mathbb{F}^n_q$
[NO] 81/200 | DuET: Dual Expert Trajectories for Diffusion Image Editing
[NO] 82/200 | Automatic detection of Flare Ribbon Fine Structures as Proxies for Plasmoid Dynamics in Flare Reconnection
[NO] 83/200 | See Selectively, Act Adaptively: Dual-Level Structural Decomposition for Bimanual Robot Manipulation
[NO] 84/200 | Zero-Shot Captioning for Cultural Heritage: Automated Image Analysis of Traditional Indonesian Clothing
[NO] 85/200 | Monotonicity of the rank functions for concave compositions
[NO] 86/200 | TimeLens: On-Device Artifact Recognition with Retrieval-Augmented Question Answering for the Grand Egyptian Museum
[NO] 87/200 | Selective stabilization of antiferromagnetic orders in FeTe films via local strain engineering
[NO] 88/200 | Kubo-Martin-Schwinger conditions for non-Hermitian systems
[NO] 89/200 | Reliability of Probabilistic Emulation of Physical Systems
[NO] 90/200 | Structured Testbench Generation for LLM-Driven HDL Design and Verification-Oriented Data Curation
[NO] 91/200 | From Prompts to Preferences: An Open-Source Platform for Generative AI-Enhanced Conjoint Analysis
[NO] 92/200 | Predicting Cognitive Load from Speech and Interaction Dynamics in Dyadic Conversations
[NO] 93/200 | Design and optimization of an AZO-based plasmonic metasurface-driven optical solar reflector for thermal management
[NO] 94/200 | Data-Driven Frequency-Selective Output Regulation of Nonlinear Systems under Almost Periodic Exosignals
[NO] 95/200 | Testing Theory of Truly Concurrent Processes
[NO] 96/200 | Multi-Turn Reasoning When Context Arrives in Pieces: Scalable Sharding and Memory-Augmented RL
[NO] 97/200 | Self-Guidance: Enhancing Neural Codecs via Decoder Manifold Alignment
[NO] 98/200 | On perfect flag-rank metric codes
[NO] 99/200 | Conditional spinodal decomposition in Li-Mg anodes for lithium metal batteries
[NO] 100/200 | MAStrike: Shapley-Guided Collusive Red-Teaming on Multi-Agent Systems
[NO] 101/200 | Reinforcement Learning-Based Hybrid Control Approach for a Class of Underactuated Mechanical Systems
[NO] 102/200 | A Bayesian game framework for service function chaining in NFV with incomplete information
[NO] 103/200 | Spectral State Fusion Tree Mamba for Hyperspectral Image Classification
[NO] 104/200 | PIVOT: A Framework for High-Fidelity Facade PV Layouts via Generative Seeding and Differentiable Optimization_supp1-3701997.pdf
[NO] 105/200 | Rotor-Angle Stability Enhancement Control for MMC-MTDC Systems Without Sending-End Power Reserves
[NO] 106/200 | The Primary-Side Regulation of Active-Clamp Forward Converter with On-the-Fly Output Voltage Variation
[NO] 107/200 | Steganographic Optical Camera Communication: A Framework for Secure Wireless Data Transfer
[NO] 108/200 | How much warmer are floating Sargassum mats than surrounding waters? A systematic assessment using Landsat observations
[NO] 109/200 | Table of Contents
[NO] 110/200 | Frequency-Aware Domain Generalization_supp1-3689419.pdf
[NO] 111/200 | Lightweight Coprime Array Virtualization Method Based on Polynomial Interpolation
[NO] 112/200 | Model Predictive Control for an Integrated Power-Pulsation Buffer Four-Cell Flying-Capacitor PFC Converter
[NO] 113/200 | Table of Contents
[NO] 114/200 | Deep Learning-Driven Aspect-Based Sentiment Analysis of Bangladeshi Hotel Reviews
[NO] 115/200 | GRU: A Robust Sequential Learning Model for Appliance Energy Forecasting
[NO] 116/200 | Deep Learning Driven Respiratory Sound Analysis for Early Chronic Obstructive Pulmonary Disease Detection
[NO] 117/200 | Research on Hub Location Problem Based on the Integration of Deep Ranking and Genetic Algorithms
[NO] 118/200 | Computer Aided Design Tool for Multiple-Impedance Matching Network
[NO] 119/200 | Performance and Fault Analysis of LCC Versus VSC Back-to-Back HVDC Systems for India-Bangladesh Interconnection
[NO] 120/200 | Design and Application of Deep Learning-Based Massive Text Classification Algorithms
[NO] 121/200 | Novel Self-aligned Flat Source Contact Architecture for Low On-resistance SiC Trench MOSFETs
[NO] 122/200 | Detecting Stress Levels using Physiological Signals
[NO] 123/200 | High Thermal Stability of Threshold Voltage in p-Cr
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Gated AlGaN/GaN HEMTs
[NO] 124/200 | Comprehensive Review of Advancements in Near-Infrared Imaging Techniques for Vein Detection
[NO] 125/200 | Extremely Low On-Resistance AlN-based SBDs with Distributed Polarization Doping Drift Layer
[NO] 126/200 | Hybrid LSTM and SVM Framework for Uncertainty Reduction in Renewable Energy Forecasting
[NO] 127/200 | Cache-Aware Generative NLP: Reducing Latency in Large-Scale Multilingual Systems
[NO] 128/200 | Bridging the accuracy-latency gap in PCB inspection via Response Knowledge Distillation
[NO] 129/200 | RF Link Budget Sensitivity Analysis of Bangladesh Satellite-1 for Reliable Coastal and Maritime Communication
[NO] 130/200 | A Real-Time Multi-Modal Conversational Agentic AI Framework for Automated Demographic Data Collection and Analytical Visualization
[NO] 131/200 | Low-Power Ultra-Broadband Supercontinuum Generation in a Compact AlGaAs Rib Waveguide with Three Zero-Dispersion Wavelengths
[NO] 132/200 | Influence of p-GaN Cap Layer Engineering and Thermal Effects on the Electrical Performance of AlGaN/GaN HEMTs
[NO] 133/200 | Estimating Technical Debt with Machine Learning: Leveraging Code Complexity and Developer Interactions
[NO] 134/200 | Exploring Learner Perceptions in Job-Oriented Online Courses Using Review Sentiment Analysis
[NO] 135/200 | Impact of Integrated Substrate Potential Control (SPC) Circuits and Dual Field-Plates on Dynamic ON-Resistance in GaN Monolithic Bidirectional Switches
[NO] 136/200 | An Explainable Stacking Ensemble Model Combining Advanced DL Techniques for Depression Detection in Social Media Posts
[NO] 137/200 | Diff-AS: Diffusion-Augmented Strategy for Chrysanthemum Leaf Classification
[NO] 138/200 | Mamba-Based Time and Frequency Fusion Network
[NO] 139/200 | ISAR Neural 3D Reconstruction of Space Target with Cross-Frame Attention
[NO] 140/200 | Hate Speech Classification using Hybrid Deep Learning Framework and Explainable AI
[NO] 141/200 | FeatherTrust-EM: An Ensemble Deep Learning Framework for Continuous Zero-Trust Authentication via Keystroke Dynamics
[NO] 142/200 | Multi-Modal Machine Learning for Sentiment and Emotion Recognition in Social Media Data
[NO] 143/200 | Path-HGT: A Hierarchical Graph Transformer Framework for Gigapixel Pathology Image Analysis
[NO] 144/200 | Comprehensive Study of Distinct TID Mechanisms in Hardened SGT MOSFET under On /Off State and Annealing Recovery
[NO] 145/200 | An IoT-Based Qr-Code-Enabled Smart Medicine Box for Reducing Prescription Errors and Improving Medication Adherence
[NO] 146/200 | Explainable Multi-Model Prediction of Suicide Mortality Rates using TabNet, SVM, and HistGradientBoosting with Demographic Stratification
[NO] 147/200 | Comparative Study of Nanobots in Nano medicines
[NO] 148/200 | Uncertainty-Aware and Explainable Feature-Level Ensembles for CT-Based Kidney Stone Detection
[NO] 149/200 | Small-Sample Cropland Extraction From Multi-Temporal SAR Based on Temporal Difference
[NO] 150/200 | AI-Driven Cognitive Framework for Predictive Social Behaviour Dynamics Analysis
[NO] 151/200 | A Hybrid Taxonomy-Aware Efficient Framework for Protein Function Prediction
[NO] 152/200 | On the SiC/SiO
                    <sub>2</sub>
                    Interface and SiO
                    <sub>2</sub>
                    Gate Reliability of Planar and Trench SiC MOSFETs
[NO] 153/200 | Design and Comparison of a 180° Differential Phase Shifter Using Direct and Impedance-Transformed 100Ω Microstrip Lines
[NO] 154/200 | Early Prediction of Autism Spectrum Disorder Using an Ensemble Voting Classifier
[NO] 155/200 | A Hybrid YOLO-EfficientNet Framework for Fine-Grained Vegetable Recognition in Dense Multi-Object Images
[NO] 156/200 | AirMOS: A Global Optical-SAR Multimodal Benchmark for Airport Detection
[NO] 157/200 | Multi-Domain Feature-based Analysis EMG framework for Neuropathy vs Myopathy Characterization and Rehabilitation Assessment
[NO] 158/200 | A Gate Protection Interface Enabling Robust and User-Friendly Gate Driving of GaN/SiC HyFET
[NO] 159/200 | Multimodal Deep Learning Framework for Blood Test Diagnosis Integrating Medical Imaging and Clinical Parameters
[NO] 160/200 | Federated Learning Enhancing Fraud Detection Across Multiple Financial Institutions
[NO] 161/200 | Growgreen: A Machine Learning-Based Crop Recommendation and Whatsapp-Controlled Smart IoT Greenhouse
[NO] 162/200 | ⊓-ideals and ⊔-filters in double Boolean algebras : To the memory of Prof. Tonga Marcel, 11.04.1951 – 15.09.2025
[NO] 163/200 | OvFusionX-Net: An Explainable Deep Learning Model with Attention Mechanism for Early-Stage Ovarian Cancer Classification
[NO] 164/200 | Selectively Generating High-Purity Vortex Beams by a Planar Filtenna with a Compact Integration of Spiral SSPP and HMSIPW
[NO] 165/200 | Congratulations on 10 Years of Power Electronics
[NO] 166/200 | LoopHint: A Compiler-Assisted Loop Branch Predictor for Embedded DSPs
[NO] 167/200 | Proceedings of the 15th ACM SIGPLAN International Workshop on the State Of the Art in Program Analysis
[NO] 168/200 | On the Effectiveness of Modular Testing in EvoSuite
[NO] 169/200 | RAPO: Retrieval-Augmented Phase Ordering
[NO] 170/200 | Research on Medical Text Information Fusion and Cerebral Infarction Auxiliary Diagnosis Based on Large Language Models
[NO] 171/200 | Distribution-Agnostic Idle-Age-Aware Joint Channel and Packet-Size Learning in Cognitive Radio Networks
[NO] 172/200 | Towards Heterogeneous Multimodal Sentiment Analysis with ASR Errors via Multi-Granularity Contrastive Coordination_supp1-3702501.pdf
[NO] 173/200 | Non-Orthogonal Multiple Access Based
                    <i>M</i>
                    -Ary CDMA Systems
[NO] 174/200 | Vehicle-Side Lightweight Conditional Anonymous Double Authentication Framework with Password Robustness in VANETs
[NO] 175/200 | Administrative Committee Information
[NO] 176/200 | A Compact 132.5–142-GHz ×6 Frequency Multiplier With 2.4-dBm Output Power and 2.1% DC-RF Efficiency in 65-nm CMOS
[NO] 177/200 | Dispatch Strategy Against Typhoon-Induced Wind Farm Cut-Outs Considering Resilience: An Adaptive Robust Stochastic Optimization Approach
[NO] 178/200 | MET: Electric Toothbrushing Activity Recognition Based on Magneto-Inductive Sensing
[NO] 179/200 | Proceedings of the 2026 ACM SIGPLAN International Workshop on Principles of Agentic Engineering
[NO] 180/200 | Enhancing Representation Inversion and Alignment for Zero-Shot Composed Image Retrieval
[NO] 181/200 | Unique Ferroxplana Ferrites Impedance Matched to Free Space at HF to VHF Frequencies and Beyond
[NO] 182/200 | Lightweight and Interpretable Deep Learning for Automated Waste Classification
[NO] 183/200 | Escaping Stability-Plasticity Dilemma in Online Continual Learning for Motion Forecasting via Synergetic Memory Rehearsal
[NO] 184/200 | Field Measurement-Based Modeling and Validation of Electric Arc Furnace Loads
[NO] 185/200 | A DC-DC Converter for Electric Vehicle Charging Station
[NO] 186/200 | Online Advertisements with LLMs: Opportunities and Challenges
[NO] 187/200 | Data-Driven Psychological Stress Classification Among Higher Education Students: A Machine Learning Approach
[NO] 188/200 | Power MOSFETs With Super Safe-Operating-Area
[NO] 189/200 | A Transformer-Based Perspective to Bangla-English Code-Mixed Sentiment Analysis
[NO] 190/200 | Investigation of SVD-Based Speech Emotion Recognition
[YES] 191/200 | Enhancing Security in Multicasting Using Reconfigurable Intelligent Surface and Selection Combining Diversity Technique
[NO] 192/200 | An Intelligent Student Management System Using Temporal Stability-Aware Adaptive Learning
[NO] 193/200 | AI-Powered Hybrid Management Framework for Autonomous Vendor Evaluation and Procurement Optimization
[NO] 194/200 | Predicting Genre Crossovers in Book Recommendations Using Hybrid Machine Learning Models
[NO] 195/200 | Research on Power Domain Anti-Jamming Methods Based on Reinforcement Learning
[NO] 196/200 | Energy-Efficient Green Computing Techniques for Edge Devices Using Attention-Guided Federated Learning
[NO] 197/200 | A Comprehensive Hybrid Deep Learning Approach for Bone Fracture Detection in X-Ray Images Using Optimized CNNs and Transfer Learning
[NO] 198/200 | An Ensemble Learning-Based Artificial Intelligence Framework for Postpartum Depression and Suicidal Risk Prediction
[NO] 199/200 | Dynamic Reinforcement Learning-Driven Event-Aware Adaptive for Education Management System
[NO] 200/200 | A Comparative Analysis of YOLO Variants with Improved YOLOv12m Model for Students' Classroom Behavior Detection
筛选完成：共 200 篇；Yes = 3 篇；已保存到 papers/select_paper2026-06-11.json。
邮件发送成功！
[2026-06-12 12:40:08] 任务执行成功！
