[2026-08-19 09:26:21] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-18
正在获取论文...
[arXiv] 2026-08-18 | Quantum simulation of slow analytic time-dependent Hamiltonians
[NO] 68/200 | Variational r-Adaptive Cloth Simulation
[NO] 69/200 | MotoSafety: Edge-AI with Learned Temporal Importance for Two-Wheeler Collision Risk Assessment Under Time Pressure
[NO] 70/200 | Witt rings, Pfister forms, and equivariant birational geometry
[NO] 71/200 | Effector-Centric NMPC of Tiltable-Multirotors for Offset-Free Omnidirectional Aerial Manipulation
[NO] 72/200 | Second-pole wall periods for Witten zeta functions in the classical families
[NO] 73/200 | Self-Consistent Adjoint Policy Iteration for Constrained Dynamic Portfolio Choice
[YES] 74/200 | Threat Aware Task Offloading and Caching for Secure UAV Assisted Vehicular Consumer Electronics
[NO] 75/200 | Deformations and homotopy theory of Rota-Baxter Lie algebras
[NO] 76/200 | Polarization-Dependent Raman Selection Rules in Sb$_2$S$_3$ from First Principles and Experiment
[NO] 77/200 | Preference Is Not Intervention: The Structure and Stability Boundaries of Reader-Specific Evidence Utility
[NO] 78/200 | Strict Monotonicity of Numerical Invariants for the Submodules $[(z-w)^k]$ in $H^2(\mathbb D^2)$
[NO] 79/200 | Entropy mapping under uniaxial pressure utilizing the elastocaloric effect
[YES] 80/200 | Electromagnetic World Model for 6G: A Unified Framework for Joint Environment Reconstruction and Channel Prediction
[NO] 81/200 | Stationary periodic solutions for nonlinear Dirac equations with non-coercive nonlinearity II: splitting
[NO] 82/200 | Rheology and Dynamic Arrest in Colloidal Depletion Gels Mediated by Surface Brush Density
[NO] 83/200 | Study of Existence and Stability of Fixed Points of Hypotenuse Contracting Mappings with Applications to Parabolic PDE
[NO] 84/200 | Advancing Inclusivity in Cybersecurity Education: Integrating Intersectionality to Enhance Student Engagement in Australian Higher Education Curriculums Strategies, Barriers, and Future Directions
[NO] 85/200 | Depth and Krull dimension of Binomial edge ideals
[NO] 86/200 | On the Expressive Power of the Transverse-Field Ising Model for Graph Learning
[NO] 87/200 | A strongly compact cardinal yields a left and right coherent ring with $\mathcal{PGF}(R)\subsetneq\mathcal{GP}(R)$
[NO] 88/200 | A $5/8$ Lower Bound on the Banach-Mazur Distance to the Cross-Polytope
[NO] 89/200 | Active learning molecular beam epitaxy of complex quantum materials
[NO] 90/200 | The Roman Coronagraph Community Participation Program: Using the Zernike wavefront sensor for a full characterisation of the Roman Space Telescope and the Coronagraph Instrument
[NO] 91/200 | Offline Multi-Agent Reinforcement Learning with a Physics-Informed World Model for Cooperative Mixed Traffic Control
[NO] 92/200 | Vacancy-Driven Electronic Reconstruction in Monolayer PtSe$_2$: Formation Thermodynamics and Charge States
[NO] 93/200 | Communicating Credit Risk with Large Language Models: Evaluation of Explanations from Standard and Alternative Data-Based Models
[NO] 94/200 | Newton Support Functions and Metric Completion of Singular Conformal Metrics at Corners
[NO] 95/200 | A Leakage-Proof Benchmark and Conformal Selective Triage for Electrohysterogram-Based Preterm Birth Prediction
[NO] 96/200 | Big categorification on towers of classical groups and wreath product groups
[NO] 97/200 | Neutron Interferometers from Stacked Holographic Photopolymer Gratings
[NO] 98/200 | Influence of the ectonic emission mechanism on the collisionless expansion of a multicomponent cathode plasma
[NO] 99/200 | On the p-adic Wirsing problem
[YES] 100/200 | Statistical Characterization and Block-EM Estimation of Frequency-Domain NSI for OFDM Systems in Bursty Impulsive Noise
[NO] 101/200 | Post-Quantum Cryptography Transition Influencing Factors: A Case Study of Philippine Banks
[NO] 102/200 | On Mixed-Precision Iterative Methods and Analysis for Nearly Completely Decomposable Markov Processes
[NO] 103/200 | Generating and Evaluating Sustainable Procurement Criteria for the Swiss Public Sector using In-Context Prompting with Large Language Models
[NO] 104/200 | QoS-Aware Self-Adaptive Random Early Detection for Congestion Control in Networks with Multiple Classes of Traffic
[NO] 105/200 | ICSCAI 2026 Cover Page
[NO] 106/200 | A Heterogeneously Integrated Balanced Doherty Power Amplifier With Reconfigurable Adaptive Bias for 5G-Advanced Power Class 1 Terminals
[NO] 107/200 | Electromagnetic Environment Knowledge Construction and Channel Prediction: A Model-Data Dual-Driven Approach Toward 6G Digital Twin Channel
[NO] 108/200 | Front Cover
[NO] 109/200 | Title Page
[NO] 110/200 | Ninth-Fold Frequency Multiplication in a Relativistic K-Band Gyrotron
[NO] 111/200 | Scalar-Metric-Based Digital Predistortion Model Extraction Using Out-of-Band Power-Driven Stochastic Optimization
[NO] 112/200 | Design and Stabilization of a High-Power mm-Wave Enlarged Coaxial Cavity Extended Interaction Oscillator
[NO] 113/200 | Progress and Perspectives on Flexible Polyaniline Structures for EMI Shielding and Microwave Absorption
[NO] 114/200 | Impact Analysis and Suppression of APC Deviation on High-resolution Spaceborne SAR Imaging
[NO] 115/200 | Proceedings of the 2026 11th International Conference on Intelligent Information Technology
[NO] 116/200 | Author Index
[NO] 117/200 | A Monocular Depth Estimation Framework for Improved Underwater Fish Biomass Assessment
[NO] 118/200 | Controllability Analysis for Vision State Space Models: A Structural Interpretability Framework
[NO] 119/200 | Machine Learning System for Real-Time Customer Churn Forecast in Subscription Businesses
[NO] 120/200 | Unbalance Control for Interconnection Distribution Areas Based on Generalized $\mathrm{i}_{\mathrm{p}}-\mathrm{i}_{\mathrm{q}}$ Decomposition
[NO] 121/200 | Prompt Engineering for Cohesive and Factually Reliable Neural Text Generation: a 2025–2026 Structured Review with Gherkin-Inspired Prompt Design
[NO] 122/200 | A Novel Verification Method for Debug Tracing-in Close Chassis System
[NO] 123/200 | Correlation Analysis of Body Mass Index With Atrial Depolarization Amplitude using Atrial Lead System
[NO] 124/200 | Application of Linear Algebra and Matrix Theory in Designing Efficient Machine Learning Algorithms and Neural Networks
[NO] 125/200 | An IoMT-Enabled Early Warning Framework for Real-Time Maternal and Neonatal Risk Prediction
[NO] 126/200 | Graph Neural Networks for Threat Intelligence and Cyber-Attack Path Prediction
[NO] 127/200 | PQC-Based Secure Access Manager for IJTAG Network
[NO] 128/200 | Semantic and Normal Constrained Point Cloud Registration and Parametric BIM Updating Method for High-Rise Curtain Walls
[NO] 129/200 | Design and Preliminary Experimental Validation of a 3D-Printed Resistive Pressure Sensor for Embedded Aerospace Monitoring
[NO] 130/200 | DFT-Enhanced Spare Cell Architecture for Scan-Integrated ECO and Leakage Optimization in SoCs
[NO] 131/200 | Multi-source Feature Fusion and GNN-Ensemble Learning Framework for Internet Financial Fraud Detection
[NO] 132/200 | A Blockchain-Enabled Start-up AYUSH Portal using Smart Contract–based Data Security and Federated Access Control
[NO] 133/200 | An Algorithm for Converting Fuzzy Queries in Natural Language into JSON Format Using Vectorization Technology
[NO] 134/200 | Agentic Multi-Layer Synergistic Architecture for Financial-Business Integration: A Large Language Model and Multi-Agent System Approach
[NO] 135/200 | IoT based RFID-Enabled Smart System for Energy Efficiency and Security in Classrooms and Laboratories
[NO] 136/200 | Design and Experimental Verification of 5G RF Interference Suppression Structure for Power-Communication Shared Tower
[NO] 137/200 | Integrating AI Technologies in Literacy Instruction: Benefits and Challenges
[NO] 138/200 | Multi-Strategy Optimization for Coordinated Smoke Screen Deployment in UAV Countermeasure Systems
[NO] 139/200 | Comprehensive Optimization Control of Nonlinear Losses in PMSM Direct Drive Systems
[NO] 140/200 | Ethical Considerations and Regulatory Challenges of AI in Financial Accounting
[NO] 141/200 | Federated Learning: Collaborative Training Models for Privacy-Preserving Machine Learning
[NO] 142/200 | Rethinking RTL DFT: A Discrete RTL Flow for Parallel DFT Integration
[NO] 143/200 | An Early Warning Model for Thermal Runaway of New Energy Vehicle Batteries Based on Edge Intelligence
[NO] 144/200 | SARGASSIA System Prototyping: From Hardware Specification to Laboratory Validation
[NO] 145/200 | Digital Dystopias: Examining AI’s Portrayal in Contemporary Literature
[NO] 146/200 | Research on the Application of Quantum Cryptography in Protecting Smart Meter Data in Power Systems
[NO] 147/200 | Using Binary Neural Networks for fast Image Classification in Resource-Constrained Environments
[NO] 148/200 | NGram-MoSE: Efficient Remote Sensing Super-Resolution via N-Gram Context and Mixture-of-Experts
[NO] 149/200 | Adaptive Fusion Algorithm of Unmanned Aerial Vehicle Lidar and Visual Data for Quantifying Damage to Old Building Structures
[NO] 150/200 | Thermal Analysis and Design Study for the GENESIS Passive Laser Retroreflector (P-LRR) Unit
[NO] 151/200 | Battery Management Systems for Electric Vehicles: Architectures, Estimation Techniques, and Emerging Trends
[NO] 152/200 | The Weight of Emotions: Investigation on How Narrative Storytelling Can Influence Emotions in Obesity Awareness Animations
[NO] 153/200 | Design of Pet Automatic Feeding System Based on Single Chip Microcomputer
[NO] 154/200 | Deep Learning Approaches for Identifying Cybersecurity Risks in IoT Systems
[NO] 155/200 | Radiation Shielding Properties of Synthetic Lunar Regolith Analog: Gamma Attenuation Tests for ISRU-Based Habitat Design
[NO] 156/200 | Handling Class Imbalance in Diabetic Readmission Prediction Using SMOTified-GAN and Guided Neural Networks
[NO] 157/200 | Artificial Intelligence–Driven Cultural Heritage Preservation through Deep Learning and Data Analytics for Sustainable Tourism and Folklore Management
[NO] 158/200 | Verbatim-Anchored Knowledge Graph Construction via Semantic Functional Segmentation for Power Marketing Policy Documents
[NO] 159/200 | A $3.3 \mu$ Vrms Noise, 0.4 ppm/°C TC Bandgap Reference with Chopper Technique and Linear Current Compensation
[NO] 160/200 | Pulse Loss Problem and Solution in Phase Shift Control of Dual Active Bridge Based on DSP
[NO] 161/200 | Rapid Deployment of Nodal Seismometers Based on a Stepwise Optimization Model
[NO] 162/200 | Image-Based Domain Adaptive Vulnerability Detection via Graph Centrality Representation
[NO] 163/200 | Explosive Yield Inversion Based on Transformer Model with Blast Wave Physical Constraints
[NO] 164/200 | Adaptive Query Optimization with Artificial Intelligence in PostgreSQL
[NO] 165/200 | Patient Acuity Monitoring System for Improved Nurse-to-Patient Staffing and Assignment
[NO] 166/200 | Automatic Test Case Generation from Verified Event-B Models for Smart Contract Access Control Policies
[NO] 167/200 | Prompt Programming for Cultural Bias and Alignment of Large Language Models
[NO] 168/200 | Control Gain Distribution among Driver Nodes as a Hidden Degree of Freedom in Pinning Control of Complex Networks
[NO] 169/200 | Dissolved Gas Patterns in Oil-Breaking On-Load Tap-Changers
[NO] 170/200 | Front Cover
[NO] 171/200 | IEEE Technology and Engineering Management Society
[NO] 172/200 | HRWKV-Net: A Hybrid Receptance Weighted Key–Value Network for Remote Sensing Image Super-Resolution
[NO] 173/200 | Optimizing Few-Shot Novel View Synthesis with Human-Perceptual Preferences
[NO] 174/200 | Distributed Stochastic Optimization of Strategic Contracting and Spot Bidding in Sequential Electricity Markets_supp1-3724253.pdf
[NO] 175/200 | A CNN-RNN Hybrid Network Model for Atrial Fibrillation Risk Prediction Based on Cohort Follow-up Data
[NO] 176/200 | A Unified Fault Detection and Repair Framework for Memristor-Based Non-Volatile Memories
[NO] 177/200 | Multi-Agent Reinforcement Learning Based on Weak-Tie Topology Reconstruction and Three-Branch Feature Fusion
[NO] 178/200 | Dual-Quaternion-Based Multiplicative Unscented Kalman Filtering (DQ-MUKF) for Relative Navigation in Small Groups of Interacting Objects
[NO] 179/200 | Global Knowledge Service and Intelligent Decision Support Architecture for Industry Education Integration Platform Based on Knowledge Graph
[NO] 180/200 | Machine Learning Algorithms for Advanced Threat Detection in Cloud Environments
[NO] 181/200 | Multimodal AI-Driven Adaptive Assessment System for Personalized E-Learning Environments
[NO] 182/200 | A Multi-Index Evaluation Approach for Theoretical Line Loss Estimation in Distribution Station Areas with Distributed Photovoltaic Integration
[NO] 183/200 | Copy-move Forgery Detection Based on Trust Density Clustering
[NO] 184/200 | Bibliometrics analysis on AI and Marketing
[NO] 185/200 | Research on a Security Assessment Model for Symmetric Cryptographic Algorithms Based on Machine Learning
[NO] 186/200 | The effect of cloud assistance in developing efficient wearable device with high level communication
[NO] 187/200 | Research on the Construction and Analysis of a Customer Call Corpus in Mobile Customer Service
[NO] 188/200 | The Future of Infrastructure: Advancing Civil Engineering Through Artificial Intelligence Solutions
[NO] 189/200 | Quantum Machine Learning for Ultra-Fast Cryptography and Network Security
[NO] 190/200 | A Methodology for Automatic Test Case Generation in Intelligent Connected Vehicle Cybersecurity Testing Based on Large Language Models
[NO] 191/200 | Movable-Signals and Movable Antennas for Multiuser Covert Communications
[NO] 192/200 | Enabling Flow Automation for HBM Testing Using A Plug-n-Play DFT Interface
[NO] 193/200 | A Comparative Study of AI-Driven Decision-Making Models in Strategic Business Management and Operations
[NO] 194/200 | Supply Chain Multi-level Inventory Collaborative Optimization Algorithm Based on Graph Convolutional Network
[NO] 195/200 | Reconstruction and Practice of Cloud Computing Teaching Mode for Engineering Ability Training
[NO] 196/200 | Contribution of Simple and Complex Spikes of Purkine Cells to the Formation of the Bold Response of the Cerebellum: Energy Modeling of Neurovascular Conjugation
[NO] 197/200 | A Comprehensive Analysis of Machine Learning Techniques for Optimizing and Personalizing Gym Workouts and Fitness Regimens
[NO] 198/200 | A Power Grid "Wartime" Emergency Repair Site Safety Monitoring System Based on Parallel Supervision Mode and Machine Vision
[NO] 199/200 | Exploring Differential Evolution Algorithm with Fitness-and Position-Based Selection in Search of Best Test Pattern for Combinational ATPG
[NO] 200/200 | Space Activities at the ENEA Calliope Gamma Irradiation Facility
筛选完成：共 200 篇；Yes = 4 篇；已保存到 papers/select_paper2026-08-18.json。
邮件发送成功！
[2026-08-19 10:04:19] 任务执行成功！
