[2026-06-02 12:36:09] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-01
正在获取论文...
[arXiv] 2026-06-01 | FocusDiT: Masking Queries in Diffusion Transformers for Fine-grained Image Generation
[NO] 66/200 | Token Predictors Are Not Planners: Building Physically Grounded Causal Reasoners
[NO] 67/200 | A Near-Optimal Offline Algorithm for Dynamic All-Pairs Shortest Paths in Planar Digraphs
[NO] 68/200 | MOSS-Audio Technical Report
[NO] 69/200 | On the product of cross-intersecting families with small covering number
[NO] 70/200 | Structure-Guided Adaptive Propagation for Protein-Protein Interaction Site Prediction
[NO] 71/200 | Night-Window Batching versus Carbon-Aware Scheduling for Clinical AI GPU Workloads
[NO] 72/200 | Polaron Transport in TiO$_{2}$ from Machine Learning Molecular Dynamics
[NO] 73/200 | A note on the Ratio and Inertia Bounds for the $k$-Independence Number
[NO] 74/200 | TriAlign: Towards Universal Truth Consistency in Personalized LLM Alignment
[NO] 75/200 | Stress relaxation in fiber networks via force-dependent stochastic severing
[NO] 76/200 | SparseX: Efficient Segment-Level KV Cache Sharing for Interleaved LLM Serving
[NO] 77/200 | Role of System-Bath Interaction in Non-Markovian Quantum Brownian Otto Cycles
[NO] 78/200 | FlatVPR: Plug-and-play Geo-linear Residual Adapter for Geometric Rectification of Foundation Model Feature Manifolds
[NO] 79/200 | Post-Deterministic Distributed Systems: A New Foundation for Trustworthy Autonomous Infrastructure
[NO] 80/200 | An Upper Bound For Hausdorff Distance Between Finite-Dimensional Hyperbolic Space and Its Medianization
[NO] 81/200 | Density-Aware Translation of Spurious Correlations in Zero-Shot VLMs
[NO] 82/200 | Large ephemeral regions and their tilt angles
[NO] 83/200 | Breaking-induced energy dissipation of surface gravity waves at varying scales and co-flowing wind stresses
[NO] 84/200 | JenBridge: Adaptive Long-Form Video Soundtracking across Scene Transitions
[NO] 85/200 | Understanding Identity Continuity in Thermal Video through Scene-Level Consistency
[NO] 86/200 | Sharp median testing and sparse criteria for generalized \(BMO\) spaces
[NO] 87/200 | Information and voting: Evidence from Peru's 2026 presidential election
[NO] 88/200 | Encoded but Not Routed: Explaining the Table-Chart Gap in Scientific Claim Verification
[NO] 89/200 | Why Do Self-Harm Prediction Models Struggle to Generalise? Lexical and Semantic Variations in Emergency Department Triage Notes
[NO] 90/200 | DOT-MoE: Differentiable Optimal Transport for MoEfication
[NO] 91/200 | Quantifying the Energy Floor: Direct Measurement and Replay Buffer Bias in SAC-Based HVAC Control on sbsim
[NO] 92/200 | Feature leakage and the identifiability of direct-dependency entropy models of neural activity
[NO] 93/200 | Dynamic Breaking of Mirror Symmetry in Spin-Dependent Electron Transport through Chiral Media Causes Enantiomeric Excesses
[NO] 94/200 | PhyScene3D: Physically Consistent Interactive 3D Tabletop Scene Generation
[NO] 95/200 | A Noetherian Hopf algebra is affine iff its Hopf coradical is affine
[NO] 96/200 | An agent-based model of outer membrane biogenesis in Gram-negative bacteria
[NO] 97/200 | E4GEN: Event-level Explainable Extreme-Enhanced Time-series Generation
[NO] 98/200 | An alternating learning-based collocation method for solving inverse elliptic problems
[NO] 99/200 | Exploiting Semantic and Pixel Representations for Ultra-Low Bitrate Image Compression
[NO] 100/200 | Regularized joint reconstruction and slab combination for accelerated three-dimensional multi-slab diffusion-weighted imaging using multi-scale energy models
[NO] 101/200 | Poster: Data-Free One-Shot Federated Learning with Fixed Classifiers for LEO Constellations
[NO] 102/200 | Evaluating the Role of Context Representations in the Behavioral Fidelity of LLM-based Personas for Food Preferences
[NO] 103/200 | Personalizing Font Size Normalization: Linguistic Background Shapes Which Font Attributes Matter
[NO] 104/200 | Reproducibility of LLM-based Recommender Systems Research: Worrying Observations from an Initial Analysis
[NO] 105/200 | Leveraging Artist Catalogs for Cold-Start Music Recommendation
[NO] 106/200 | GMAP 2026: 5th Workshop on Group Modeling, Adaptation and Personalization
[NO] 107/200 | Toward Intelligent Wearables: Sensing, Interaction, and LLM EDA Automation
[NO] 108/200 | Towards Trustworthy AIoT Systems: An Interaction-Centric Perspective
[YES] 109/200 | Toward Practical Integrated Sensing and Communication upon Commodity Wi-Fi
[NO] 110/200 | Reliable Receiver Design for Frequency-Selective Channels under Bursty Impulsive Noise
[YES] 111/200 | Split Learning-Enabled Framework for Secure and Lightweight Internet of Medical Things Systems
[NO] 112/200 | On-Orbit SWIR Imagery MTF Compensation for the Geology-1 Satellite Using Cross-Spectral Structural Priors
[NO] 113/200 | Semantic Noise Decomposition and Saliency-Weighted Mutual Information in Task-Oriented Communication
[NO] 114/200 | Periodically Poled Piezoelectric Lithium Niobate Resonator for Piezoelectric Power Conversion
[NO] 115/200 | Author Index
[NO] 116/200 | A Holistic Remote Fork Strategy Toward Fast Function Scaling in Serverless Edge Computing
[YES] 117/200 | Coupled Phase-Shift STAR-RIS Enabled Integrated Over-the-Air Computation and Communications
[NO] 118/200 | Machine Learning Pipelines for Image-based Classification of Rice Grain Varieties: A Systematic Literature Review
[NO] 119/200 | Comprehensive Multi-View Clustering via Low-Dimensional Subspace Representation
[NO] 120/200 | TCSC: Time-Consistent Synchronization and Completion for Bridging the Temporal Sim-to-Real Gap in Embodied Intelligence
[NO] 121/200 | Decentralized Resilient Synchronization for Cyber-Physical Microgrids with FDI Attacks and Uncertainties
[NO] 122/200 | Profitability and Cost-Effectiveness Analysis of Wireless and Conductive Charging Infrastructure for Autonomous Fleets: Insights From Real-World Data
[NO] 123/200 | Emergency Dispatch Strategy for Electric Vehicles Based on Spatio-Temporal Distribution Characteristics and User Response Willingness
[NO] 124/200 | Structure-Aware Matrix Pencil for Estimating the Number of Damped Complex Exponentials_supp1-3698108.pdf
[NO] 125/200 | Transferability Reinforcement of Adversarial Attacks for Remote Sensing Image Classification via Hierarchical Transformation Composition
[NO] 126/200 | Oscillation-Based Locomotion of a Spherical Robot Driven by Flywheels With Low Control Torque*
[NO] 127/200 | ORION: Option-Regularized Deep Reinforcement Learning for Cooperative Multi-Agent Online Navigation
[NO] 128/200 | An Overwriting Vulnerability in IoT Authentication Protocols: Attacks and Countermeasures
[NO] 129/200 | MigMate: A VS Code Extension for LLM-based Library Migration of Python Projects
[NO] 130/200 | Blockchain and Ai for Smart Cities Energy Systems
[NO] 131/200 | The Potential of Thermal Sand Based Storage for Renewables in Saudi Arabia
[NO] 132/200 | Does the Digital Transformation of Enterprises Promote Green Transformation——Based on the Dual Perspectives of External Pressure and Internal Attention
[NO] 133/200 | AHP-BIM Collaborative Approach for Multi-Objective Optimization Design of Eco-Hotels
[NO] 134/200 | Design of Quarter Mode SIW Self Diplexing Slotted Antenna
[NO] 135/200 | Leveraging Cross-Modal Information to Reduce Gender Bias in Facial Analysis Systems
[NO] 136/200 | Deepfake Detection in Solar Panel Imagery Using Hybrid Vision Transformer Architecture
[NO] 137/200 | Testing Method for Language Model Evaluation: A Case Study on a Localized Question Bank
[NO] 138/200 | TransFM: Visible-to-Infrared Image Translation via Flow Matching
[NO] 139/200 | An Agentic System for Schema Aware NL2SQL Generation
[NO] 140/200 | Study of Factors Influencing the Energy Characteristics of Electromechanical Systems
[NO] 141/200 | High-fidelity 3D reconstruction for planetary exploration
[NO] 142/200 | Graph Neural Networks for Class Imbalance Learning and Detecting Fraud Transactions
[NO] 143/200 | Energy-Efficient Federated Learning for Space Observation via Neuromorphic Computing: a Use Case
[NO] 144/200 | Analysis of Current Research Status and Hot Trends in Preventive Healthcare Management Based on Cite Space
[NO] 145/200 | Optimizing Dual-Resource Scheduling for Rice Drying via Branch-and-Price: A Digital Management Approach
[NO] 146/200 | Design of a Cable-Driven, Self-Aligning Knee Exoskeleton to Eliminate Joints' Misalignment Across Users With Varying Leg Dimensions
[NO] 147/200 | Unlocking High-Frequency Temporal Visual Cues for Personality Traits Recognition
[YES] 148/200 | Target Tracking in Cell-Free Multi-Static ISAC Systems with Network-Assisted Full-Duplex
[NO] 149/200 | Photonics Breakthroughs 2025: Three-Dimensional Holographic Incoherent Imaging Through Scattering Media
[NO] 150/200 | VBT-MPC: Vision-Based Tactile MPC for Contour Following_supp1-3698362.mp4
[NO] 151/200 | Self-supervised Representation Learning for Dynamic Functional Connectivity with Subject-wise and Temporal Contrasts_supp1-3698236.pdf
[NO] 152/200 | Access Point Deployment for Robust Line-of-Sight Coverage Under Stochastic Obstacles
[NO] 153/200 | A Caterpillar-Type Miniature Robot for Adaptive Locomotion and Exploration of Tiny Rigid/Soft Pipes_supp4-3697140.mp4
[NO] 154/200 | Co-seismic ionospheric disturbances detection with multi-GNSS Case study: Turkey double earthquakes on February 6, 2023
[NO] 155/200 | A GAN-Based Method for Mountain Shadow Restoration in Optical Remote Sensing Image
[NO] 156/200 | A Tiny Neuromorphic Processor Enabling On-Chip Spike-Based Learning for Edge Intelligent System
[NO] 157/200 | HMSA-Net: Hierarchical Modality-Speaker Adaptive Network for Audio-Visual Speaker Diarization
[NO] 158/200 | Numerical Modeling of Tidal Current Patterns for Anchorage Channel Planning at Amborawang Laut Port
[NO] 159/200 | Towards Automated Discovery of Asymmetric Mempool DoS in Blockchains
[NO] 160/200 | Improving the cyber security of IEC 61850 based transmission line protection (128)
[NO] 161/200 | Landfill Site Allocation Multi-Objective Optimization with NSGA-II: A Case Study on Fogo Island, Cape Verde
[NO] 162/200 | Bounds on Maximum Hermitian Hull Dimension of MDS Codes and MDS Codes with Explicit Hermitian Hulls
[NO] 163/200 | Consistency-based Semi-supervised Evidential Active Learning Framework for Robust Classification of Radiology Images_supp1-3696868.pdf
[NO] 164/200 | Generalized Bayesian Linearized AVO Inversion using Box–Cox Transform
[NO] 165/200 | Using Anti-Personas to Model Children: How to Represent User-System Mismatches
[NO] 166/200 | Productively Wrong: How Auditing Open Profiles Enhances Interest Awareness and Reflection in Movie Recommenders
[NO] 167/200 | How Humans and LLMs Differ in Processing Uncertainty in Polarized Discourse
[NO] 168/200 | User-Conditioned Personalized Side-Information in Sequential Recommendation
[NO] 169/200 | Trustworthy and Adaptive LLMs for Mental and Physical Wellbeing in Recommendations
[NO] 170/200 | Student Web Search Behaviour: A Comparative Study of AI-Assisted and Traditional Search Styles and Performance
[NO] 171/200 | Intelligent Spectrum Sensing and Access Using Deep Learning for Cognitive Communication Systems
[NO] 172/200 | Energy Efficient Control of Electric Heaters in Biogas Reactors
[NO] 173/200 | A Minimal Brain–Computer Interface for Efficient Mission-Level Control in Industrial Human–Robot Interaction
[NO] 174/200 | Suite of Ingestible Devices Opens Window to the Gut Nervous System, Microbiome
[NO] 175/200 | SAFE-GUARD: Audio Emotion Recognition System for Real-Time Public Place Abuse Detection
[NO] 176/200 | Generative AI-driven Group Emotion Recognition: A Comparative Analysis of Holistic and Compositional Strategies
[NO] 177/200 | Impact of Renewable Integration on Day-Ahead and Real-Time Market Prices under One- and Two-Price Imbalance Settlements
[NO] 178/200 | Mathematical Modeling of Negative Environmental Consequences Due to Thermal Radiation
[NO] 179/200 | Dynamic Event-Triggered MPC for Nonlinear Systems: Application to Vehicle Active Suspensions
                    <sup>*</sup>
[NO] 180/200 | The Impact of Quality Control, Curated Gene Sets, and Statistical Frameworks on Alzheimer’s Disease Gene Expression Analysis in Single-Cell Data
[NO] 181/200 | A Containerized Multimodal Architecture for On-Device Driver-State Feedback with ROS 2 and Edge AI Services
[NO] 182/200 | Perception and Acceptance of Quadruped Robots Based on Indirect Exposure
[NO] 183/200 | Modern Trends in the Use of Hydrogen as a Motor Fuel: Analysis, Recent Advancementsand Prospects
[NO] 184/200 | Disaster Response Gross Motor, Fine Motor and Tactile Workload Prediction Using Multi-layer Perceptrons
[NO] 185/200 | Automated Detection of Hip Replacements and Fiducial Markers in Pelvic CT Scans: A Comparative Study of Rule-Based vs Deep Learning Approaches
[NO] 186/200 | Lightweight LLM Adaptation for Intrusion Detection via Token-Efficient Flow Representation
[NO] 187/200 | Intelligent Safe Optimal Control Towards Koopman Operator-Driven Nonlinear Systems with Asymmetric State and Input Constraints
[NO] 188/200 | From Episodic Screening to Continuous Insight: AI Architectures for Colorectal Care
[NO] 189/200 | Demographic Bias in Generative Data Augmentation: A Study of Makeup and Hairstyle Transfer Models
[NO] 190/200 | Lightweight and Highly Scalable Campus Service WeChat Mini Program Architecture Design and Practice for Private Universities
[NO] 191/200 | Dual-Feature Shop Scheduling Based on Heterogeneous Cooperative Subpopulation Algorithm
[NO] 192/200 | Traffic Estimation Methods for Intelligent Transport
[NO] 193/200 | Fuzzy Logic Optimization of Electrode Geometry in a Microfluidic Device for Malaria Cell Separation
[NO] 194/200 | HeuRiskUNet: UAV Navigation in Risk Maps through Improved Path Planning Heuristics
[NO] 195/200 | SKYWALKER: Dual-Agent Reinforcement Learning for Autonomous Crawling in a Planar Microgravity Analog : Sim-to-Real Evaluation at ESA’s Orbital Robotics Lab
[NO] 196/200 | Synthesize, Adapt, Steal: A Few-Shot Domain Adaptive Model Stealing Attack for Tabular Data
[NO] 197/200 | Efficient Disruption of Criminal Networks through Multi-Objective Genetic Algorithms
[NO] 198/200 | Design and Simulation of a Battery Electric Vehicle Model for Underground Mining Applications with Synthetic Data Generation for Machine Learning Model
[NO] 199/200 | LLM-Augmented Feature Engineering for Machine Learning Pipelines
[NO] 200/200 | Privacy-Preserving and Coercion-Resistant E-Voting via Unlinkable Biometric Credentials on a Hybrid Permissioned Blockchain
筛选完成：共 200 篇；Yes = 4 篇；已保存到 papers/select_paper2026-06-01.json。
邮件发送成功！
[2026-06-02 13:11:10] 任务执行成功！
