[2026-09-04 13:04:00] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-09-03
正在获取论文...
[arXiv] 2026-09-03 | Data-Based Clustering and Control of Similar Biological Systems
[NO] 78/200 | Interplay of B-Site Off-Centering and Molecular Orientations in the Mixed Hybrid Perovskite MAGe1xSnxI3
[NO] 79/200 | LongCounsel-8: A Benchmark Suite for Longitudinal Depression Tracking from Multi-Session Counseling Dialogues
[NO] 80/200 | Restricted Eigenvalues Beyond Gaussian Width: Threshold Occupancy under Heavy Tails
[NO] 81/200 | BRIDGE: An Open-Source Humanoid Platform via Morphology-Control Co-Design for Physical AI
[NO] 82/200 | Spectral characteristics of autoencoder parameters as a vector representation of data
[NO] 83/200 | Weakly Driven and Finite Detuning Boundary Time Crystals Enabled by Low-Dissipation Dynamical Channels
[NO] 84/200 | Pattern Over-Generalization of Knowledge Graph Embedding
[NO] 85/200 | Air-Ground Collaborative Vision-and-Language Navigation via Shared Bird's-Eye Maps
[NO] 86/200 | Dynamical Selection of Horizon-BMS Goldstone Modes in Evaporating Black Holes
[NO] 87/200 | Granular Rods Fall Faster in Denser Obstacle Fields
[NO] 88/200 | Override and Update in Restriction Categories
[NO] 89/200 | FlowTT: Exploiting Computation Flow Reuse in Irregular Tensor-Train Embedding
[NO] 90/200 | OCR-EDR: Rendering-Aware Diagnosis and Repair for Closed-Loop OCR Improvement
[NO] 91/200 | The Jet Properties and Accretion Regime for the Blazar Sequence
[NO] 92/200 | Decoupled Analysis-Judging: An Automated Creativity Evaluator Using LLMs in Complex Multi-step Creativity Tasks
[NO] 93/200 | Random Attention: Rethinking KV Cache Eviction for Efficient Reasoning
[NO] 94/200 | Reconstruction of Shower-like Events in NEON Using Likelihood and Graph Neural Network Methods
[NO] 95/200 | Caught in the Story: Narrative Captivity in Multi-turn LLMs Conversation
[NO] 96/200 | Hyperpositive functions, sector bounded functions and a trace formula
[NO] 97/200 | A thickness boundary and modular obstructions for two-set radial projections
[NO] 98/200 | Exploring millicharged particles in laboratory and astrophysical strong-field regimes
[NO] 99/200 | TIGPO: Temporal Instance-Graph Policy Optimization for Long-Horizon LLM Agents
[NO] 100/200 | Evolution of Virial Clouds - II: From the Formation of First Stars up to their Explosion
[NO] 101/200 | Transmitter Noise Propagation in Millimeter-Wave and Sub-Terahertz: From Limits to Design Guidelines
[NO] 102/200 | Generalizable Multi-Agent Planning From Signal Temporal Logic Specifications Via Diffusion_supp1-3730215.mp4
[NO] 103/200 | Member Get-a-Member (MGM) Program
[NO] 104/200 | Bayesian Risk-Based Sequential Detection for Fast Color-Sequence Identification in Optical Camera Communication
[NO] 105/200 | Automated Robotic Vascular Cannulation With Bi-Rotational Insertion and Multimodal Monitoring and Feedback_supp1-3730293.mp4
[NO] 106/200 | Emotion Induction through AffectMachine: Testing Subjective and Physiological Responses to Generative Music
[NO] 107/200 | Technical Program Calender
[NO] 108/200 | Physics-Guided Invariant Causal Representation Learning for Blind Domain Generalization in Bearing Fault Diagnosis
[NO] 109/200 | Less Is More: Minimal Components for Contrastive Learning Delivering Superior Accuracy and Efficiency
[NO] 110/200 | Secure-Oriented Gain-Scheduling for IT-2 Fuzzy Active Vehicle Suspension Systems Under Malicious Attacks: Polynomial-Driven Relaxation and Experimental Validation
[NO] 111/200 | A Novel Method for Professional Book Recommendation Based on Fusion of Dynamic User Profile and Bert-Faiss
[NO] 112/200 | Breath-Gaze Coordination for AR Inspection: Reducing False Triggers While Supporting Physiological Regulation
[NO] 113/200 | Architecture Design of Knowledge Graph for Fault Diagnosis
[NO] 114/200 | Design Methodology for Immersive Red Culture Experience Based on Multimodal Interaction and the Construction of Emotional Models
[NO] 115/200 | A Deep Learning-Enabled Framework for Intelligent Identification of Urban Linear Green Space Usage Challenges Using Social Media Data.
[NO] 116/200 | Interface Tracking Characteristics between Epoxy Resin Modified by ZrW
                    <sub>2</sub>
                    O
                    <sub>8</sub>
                    and Silicone Rubber at Low Interface Pressure
[NO] 117/200 | A New Way to Benchmark Low-Dimensional Optoelectronic Synapses
[NO] 118/200 | Study of the Behavior of Motor Winding Wire Insulation in the Presence of Electrical Discharges and Organic Vapors
[NO] 119/200 | Design and Control Methods of TSAW Acoustic Tweezers System for Cellular Sorting
[NO] 120/200 | Inception Model for Dielectric Breakdown of Gases
[NO] 121/200 | Generator Bearing Condition Interpretation Through Vibration and Temperature Forecasting Using LSTM Priok Power Plants
[NO] 122/200 | Enhanced Power Decoupling and Independent MPPT in a Cascaded Boost Three-Leg Inverter PV System: Validation under Resistive and Inductive Loads
[NO] 123/200 | Mechanism and Optimization Study of Pulse Voltage Parameters on Acoustic Wave Propagation in the Pulsed Electroacoustic Method
[NO] 124/200 | Development of Soft Embedded Electrode Systems for Electrical Treeing Experiments
[NO] 125/200 | Ester-Based Impregnates Molecular Gas Absorption and Fluidity Structure-Activity Relationship Models Established Through DFT and Molecular Dynamics
[NO] 126/200 | Characterization of Gaseous Helium Discharge in a Non-Uniform Electric Field
[NO] 127/200 | Low Frequency Resistance Measurement on HVDC Aeronautical Components for Space Charge Characterization
[NO] 128/200 | Thickness-Dependent Radiation Response of PTFE Films under Gamma Irradiation: Structural and Mechanical Analysis
[NO] 129/200 | Lifetime Evaluation of SiN
                    <sub>x</sub>
                    Films Under Electrical Aging
[NO] 130/200 | Energy Storage in Epoxy Composites Filled with Modified Carbon Nanotubes
[NO] 131/200 | Block-Copolymer Compatibilizer-Assisted COC/PP Blending for Enhancing the Dielectric Performance of Polypropylene
[NO] 132/200 | Study of Polypropylene with Ethylene Propylene Diene Terpolymer for Recyclable Cable Insulation
[NO] 133/200 | Condition Assessment of Discharge Space Based on Transfer Function Estimated from Partial Discharge Waveform
[NO] 134/200 | Design of TextRank-BERT Fusion Model for Multi-source Review Sentiment Analysis and Optimization Decision-making in Grand Canal Tourism
[NO] 135/200 | Research on Security Governance and Monitoring Technology for API Digital Assets under Microservices Architecture
[NO] 136/200 | A Dual-Stream Spatiotemporal Attention Hybrid Learning Framework for Construction Cost Prediction
[NO] 137/200 | Research on Industry-LLM Fault Diagnosis and Decision-Making with Knowledge Augmentation and Multimodal Alignment
[NO] 138/200 | Games of Diplomacy: Eliciting Spite Against Automated Opponents Through Structured Game Environments
[NO] 139/200 | A Multi-Agent Reinforcement Learning Congestion Control Protocol for Wireless Networks
[NO] 140/200 | Instant Response Keyword Spotting via Early Prediction in Streaming Speech
[NO] 141/200 | Table of Contents
[NO] 142/200 | An Adaptive Masking-Guided Conditional Diffusion Model for Multi-scenario FHR Time Series in the Internet of Medical Things
[NO] 143/200 | Design and Analysis of Multi-Agent Cooperative Evolutionary Game Algorithm Integrating Social Network Dual-Dimensional Embedding
[NO] 144/200 | Optimization of Medical Refrigerator Scheduling Under Resource Constraints
[NO] 145/200 | Proceedings of the 2026 5th International Conference on Cyber Security, Artificial Intelligence and Digital Economy
[NO] 146/200 | Terminal Security Protection Method Based on Self-Explanatory Constraint Verification of Terminal Operation
[NO] 147/200 | Research on network traffic anomaly detection method based on causal Reasoning ESN
[NO] 148/200 | Intelligent Identification Method and System for Power IoT Terminals Based on Edge Collaborative Learning
[NO] 149/200 | Predefined-Time Adaptive Fault-Tolerant Attitude Tracking Control on SO(3) for Spacecraft With Unknown Time-Varying Inertia
[NO] 150/200 | Index of Authors
[NO] 151/200 | Frequency-Dependent Uncertainty Analysis of Bioimpedance in Engineered and Native Muscle
[NO] 152/200 | On the In
                    <sub>x</sub>
                    Ga
                    <sub>1−x</sub>
                    As channel noise in InP HEMTs from 4 K to 300 K
[NO] 153/200 | Assessing the Feasibility of Insect Density Quantification by Single-Polarization Weather Radar
[NO] 154/200 | scGFormer: A Multi-Scale Graph-Transformer for Cell Type Annotation in Single-Cell RNA Sequencing
[NO] 155/200 | A Lightweight Authentication and Key Agreement Scheme for PIoT Devices Based on the SM9 Algorithm
[NO] 156/200 | Robust Classification of Incomplete Industrial Time Series via Game-Routed Dual Evidence Coordination_supp1-3725412.pdf
[NO] 157/200 | Repeat-Free Codes with Local Constraints
[NO] 158/200 | A Decoupled Dual-teacher Collaborative Semi-supervised Framework for High-resolution Remote Sensing Image Semantic Segmentation
[NO] 159/200 | A Physics-Constrained, Design-Driven Methodology for Defect Dataset Generation in Optical Lithography
[NO] 160/200 | Front Cover Page
[NO] 161/200 | Modeling Analysis and Optimization of Rating and Voting Mechanism of Dance Reality Shows: A Case Study of Dancing with the Stars
[NO] 162/200 | Generation of Visual Flow Paths for Spatial Arrangement of Paintings in Virtual Exhibition Halls
[NO] 163/200 | Methods for the Digital Presentation of Fabric Texture in Clothing Based on Virtual Reality
[NO] 164/200 | The Impact of Visual Language Strategies in Public Art Creation on Community Spatial Perception and Public Behavior
[NO] 165/200 | Deep Learning-Based Sentiment Analysis of Fan Communities for Game Realism and Collectible Toys: An Integrated SEM-Machine Learning Pipeline for Brand Loyalty and Engagement Forecasting
[NO] 166/200 | Development of Python-Based Thermal Analysis and Visualization Software
[NO] 167/200 | Design Method and Application Research of Mobile Bathing Cabin for Disabled Elderly Based on AHP-QFD-TRIZ Model
[NO] 168/200 | Research on Optimizing AI-Assisted Film and Television VFX Production
[NO] 169/200 | Deep Learning-Based Multi-Source Data Fusion Methods for Intelligent Information Processing
[NO] 170/200 | Transformer and Contrastive Learning Based Cross-Modal Retrieval System Optimization for Rural Intangible Heritage Images and Texts
[NO] 171/200 | An Interactive Healing Device Based on ASMR Audio
[NO] 172/200 | Role-Playing Simulation in Epilepsy Education: Multimodal Hybrid Ensemble Analysis of Communication Skills, Self-Efficacy and Knowledge
[NO] 173/200 | AIGC-Assisted Fashion Content Creation and Communication in New Media
[NO] 174/200 | Text-to-3D Generative Model-Driven Dynamic Construction of Interactive Forms for VR Installation Art
[NO] 175/200 | Electrical Aging Mechanisms of $\text{SiN}_{\mathrm{x}}$ Films Under Bipolar Electric Field Bias
[NO] 176/200 | Analysis of the Charge Trap Distribution of Space Used Dielectric Materials
[NO] 177/200 | Influence of Short Time Disturbances on PD Characteristics in Hairpin Motor Insulation
[NO] 178/200 | Impact of Thermal Aging on the Dielectric Properties and Breakdown Strength of Perfluoroalkoxy (PFA) Insulated High-Voltage Cables for Hybrid/Electric Aircraft
[NO] 179/200 | Simulation of a New PEA Cell for Cable Specimens
[NO] 180/200 | Computational Investigation of Quantum Memory Logic Implemented with Electron Spins in Silicon Devices
[NO] 181/200 | Mixed-Precision Floating-Point Arithmetic for Highly Accurate Artificial Neural Networks
[NO] 182/200 | How Geometric and Atomistic Asymmetries Affect Entangled Light Generation in InGaN/GaN Quantum Dots
[NO] 183/200 | A Two-Stage Hybrid GA-PSO Algorithm for Adaptive Overcurrent Protection in Dynamic Distribution Systems
[NO] 184/200 | The Influence of Antioxidants on the Thermooxidative Aging Characteristics of XLPE
[NO] 185/200 | Diagnosis Method for Cable Shield Break Defects Based on Combined Phase-to-Ground and Phase-to-phase Frequency Domain Reflectometry
[NO] 186/200 | High-Temperature Dielectric and AC Breakdown Properties of Alicyclic Epoxy Resins and Silica-Filled Composites
[NO] 187/200 | Analysis of Degraded Features on Silicone Rubber Due to Environmental Factors
[NO] 188/200 | Effect of Crystallization Property on Electrical Properties of PP/SEBS Composites as Nuclear Cable Insulation
[NO] 189/200 | Kizuna: An Affective Virtual Agent for Strengthening Resilience in Children
[NO] 190/200 | Advanced Circuit Architectures and Systems for Distributed Intelligence
[NO] 191/200 | Defending against Adversarial Malware Attacks on ML-based Android Malware Detection Methods_supp1-3729519.pdf
[NO] 192/200 | Bias-Corrected Inference for Post-CFAR Left-Truncated Radar Amplitude Statistics
[YES] 193/200 | Distributed Learning for Resilient LEO Satellite Access under Adversarial Jamming
[YES] 194/200 | Performance Evaluation of a Hybrid RF/FSO SWIPT Relay System with IRS-Assisted RF Link and UAV-Based Relaying under Pointing Error Constraints
[YES] 195/200 | Joint RIS-RSMA Optimization for Asynchronous Multi-user Cell-Free MIMO
[NO] 196/200 | Impact of IC package Edge-Bonding on Contamination Deposition at Ball Grid Array Joints in a Two-Phase Immersion Cooling Environment
[NO] 197/200 | Smoothing Traffic Flow Through Automated Vehicle Control With Optimal Parameter Selection
[NO] 198/200 | WE-DETR: Wavelet-Enhanced Multi-Scale Feature Compensation Detection Transformer for Remote Sensing Small Objects
[NO] 199/200 | Seeing Through Threats: (ADEx) Adversarial Detection through Explainability_supp1-3727133.pdf
[NO] 200/200 | Learning-Based Entanglement Generation for Quantum Routing
筛选完成：共 200 篇；Yes = 4 篇；已保存到 papers/select_paper2026-09-03.json。
邮件发送成功！
[2026-09-04 13:44:48] 任务执行成功！
