[2026-08-25 09:28:09] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-24
正在获取论文...
[arXiv] 2026-08-24 | Counterexamples to Escobar's conjecture
[NO] 70/200 | SEAM: Shot Entity-Attribute Memory for Consistent Short-Drama Generation at Scale
[NO] 71/200 | LoViF 2026 The First Challenge on Unified Removal of Raindrops and Reflections: Methods and Results
[NO] 72/200 | Temporal filling-in reduces attentional fluctuations in sustained visual attention
[NO] 73/200 | EGAMA-RC: Risk-Calibrated Evidence-Gated Adaptive Malware Analysis for Robust and Interpretable Memory-Forensic Triage
[NO] 74/200 | Chiral doublon bound states in a synthetic topological waveguide
[NO] 75/200 | Invariant two-jets and effective hyperbolicity for complements of two plane curves
[NO] 76/200 | Evolution of cooperation with Q-learning: how much information do we need?
[NO] 77/200 | Uniformity of extremal behaviour along geodesics in Liouville quantum gravity
[NO] 78/200 | Hybrid Generative-Discriminative Object Placement
[NO] 79/200 | Ellipsoids in pseudoconvex domains II
[NO] 80/200 | On the formation of retrograde S-type planets in binaries with a polar circumbinary disk
[NO] 81/200 | Toward a Unified Axion Cosmology
[NO] 82/200 | High-throughput identification of ferromagnetic Kagome candidates in the AT6X4 and AT6X5 families
[NO] 83/200 | Flux-induced Aharonov-Bohm Oscillation in the Tunneling Spectroscopy of Kitaev Spin Liquids
[NO] 84/200 | Chimera: Efficient Multi-Vector Retrieval via GPU-CPU Co-Processing
[NO] 85/200 | The boxicity of the compressed zero divisor graph of the ring of integers modulo N
[NO] 86/200 | Dust trapping, collisional velocity and velocity dispersion in gravito-turbulent discs
[NO] 87/200 | Non-Abelian Spin Counting of Ordered Stochastic Trajectories: Reentrant Finite-Time Chern Numbers
[NO] 88/200 | EarthVerse: Benchmarking Scientific Agents Across Dynamic Earth Systems and Natural Hazards
[NO] 89/200 | Local quantum Cuntz--Krieger algebras of dephasing quantum graphs
[NO] 90/200 | Wall-crossing for equivariant DT4 invariants
[NO] 91/200 | Post-diffusion cooling effects on Hall-derived active lithium donor profiles in high-purity germanium
[NO] 92/200 | Riesz Energy Subset Selection in the Euclidean Plane is NP-Hard
[NO] 93/200 | Quantitative Logarithmic Chowla Correlations Uniformly over Growing Shifts
[NO] 94/200 | SRPO: Self-Reflective Policy Optimization for Long-Horizon Reasoning
[NO] 95/200 | Geometric desingularisation of the sharp-to-smooth travelling wave transition
[NO] 96/200 | GeoWAM: Visual Geometry World Action Models for Autonomous Driving
[NO] 97/200 | Emergent Noncollinearity and Near-Degenerate Magnetic Superlattices in AT6X6 Kagome Metals
[NO] 98/200 | Helical jets driven by a ring of laser irradiation
[NO] 99/200 | Exact Rate Exponent Tradeoff for New Classes of Distributed Hypothesis Testing Problems
[NO] 100/200 | Fragmentation and tidal locking in young quadruple systems
[NO] 101/200 | Real-World Clutter Improves Egocentric Distance Judgments in Optical See-Through Augmented Reality
[NO] 102/200 | Spatial Audio Feedback for Discrete Rotation Technique in Virtual Reality
[NO] 103/200 | Table of Contents
[NO] 104/200 | Research on Reliability Assessment method of RB IGCT in Hybrid Commutated Converter
[NO] 105/200 | A Meta-Learning Based Adaptive Hybrid Evolutionary Algorithm for Dynamic Resource Configuration in Regional Industrial Cluster
[NO] 106/200 | Intelligent Hybrid Image Enhancement for Smart Consumer Devices Using Classical and AI-Based Super-Resolution
[NO] 107/200 | Fractal-Driven Chaotification Model for Lightweight Pseudo-Random Number Generator
[NO] 108/200 | Automated Discovery of Finite State Automata for the Control of Discrete Event Systems
[NO] 109/200 | Substance identification via photocurrent zero-crossing in dual-band photodetectors
[NO] 110/200 | PrivNN: Efficient Privacy-preserving Neural Network Inference Using Flexible Ciphertext Packing
[NO] 111/200 | DecompGrind: A Decomposition Framework for Robotic Grinding via Cutting-Surface Planning and Contact-Force Adaptation
[NO] 112/200 | SIFMAP: Parallel CNN Inference using Sub-Input-Feature Maps in PIM
[YES] 113/200 | Semantic-Aware Telemetry and Resource Co-Design for ISAC-Enabled UAV Swarms
[NO] 114/200 | Two-Sided Conditional Values-at-Risks for Risk-Aware Control of Non-Gaussian Stochastic Systems
[NO] 115/200 | SatelliteSFL: A Parallel Split Federated Learning Approach for Satellite-Terrestrial Networks
[NO] 116/200 | Adaptive Uncertainty Calibration and Exemplar Management for Bridging Open Set Recognition and Incremental Learning
[NO] 117/200 | Upcycling Noise for Federated Unlearning
[NO] 118/200 | IRNet-BFGS: A Compensation Method for Vector Magnetometer Systems of Autonomous Vehicles with Dynamic Interference Suppression
[NO] 119/200 | A Fully Programmable Dual Channel CMOS Neurostimulator With Ultra Low Charge Mismatch
[NO] 120/200 | 2026 IEEE International Conference on Joint Cloud Computing (JCC)
[NO] 121/200 | Transformer Winding Fault Diagnosis Based on AFM Gray Conversion and NIN-CNN Network
[NO] 122/200 | UAV-Based Framework for Automated Library Inventory Using Visual Detection and Feature Matching
[NO] 123/200 | Adaptive Dead-Time Control for a Four-Switch Buck-Boost Converter
[NO] 124/200 | Performance Analysis of Transformer-Based Models for E-Commerce Recommendation Reviews
[NO] 125/200 | Benchmarking the Robustness of Wearable HAR Pipelines Under Graded Sensor Noise and Missing-Data Corruption
[NO] 126/200 | Adaptive SOC-Band Energy Management Strategy for Fuel Optimization in Parallel Hybrid Electric Vehicles
[NO] 127/200 | Study on Photoacoustic Signal Power Spectrum Slope for Classification of Prostate Inflammation Section Samples
[NO] 128/200 | CMOS Design of an Homodyne Receiver for Multi-Band Carrierless Amplitude and Phase Signals
[NO] 129/200 | Comparative Study of Deep Learning Models for Tomato Leaf Disease Classification: CNNs vs Vision Transformers
[NO] 130/200 | Cost-Effective DIY Hardware Solutions for Experimental Validation of Renewable Energy and Electrical Energy Systems
[NO] 131/200 | Lightweight Gossip Learning Model for Energy-Constrained Continuous Diabetes Monitoring System
[NO] 132/200 | Real-Time FPGA-Based Adaptive Control for Robust FSO Quantum Key Distribution
[NO] 133/200 | Illumination-Adaptive Part Detection for Automated FDM 3D Printing Dataset Collection
[YES] 134/200 | Distributed Fairness-Aware Joint Sensing and Communication in UAV Swarms via Hybrid MARL-ADMM
[NO] 135/200 | AI-Driven Failure Management in CI/CD Pipelines: From Prediction to Remediation
[NO] 136/200 | Simulation on Thermal Field and Ampacity of Cable Groups Under Different Laying Methods
[NO] 137/200 | Assessing Lower Limb Muscle Fatigue Under Different Inner Pressures of Air Insoles Using Electromyography
[NO] 138/200 | Design Optimization of a Dual-Shoe Piezoelectric Energy Harvesting System for Low-Power Wearable Electronics
[NO] 139/200 | Multi-Timescale Source-Load-Storage Coordinated Optimization of Distribution Networks Considering Photovoltaic Output Fluctuations
[NO] 140/200 | From Voxel Masks to Pulmonary Vascular Graphs: Explainable Reconstruction and Morphometric Analysis from Low-Resolution Chest CT
[NO] 141/200 | A Lightweight Hash-Based Mutual Authentication Protocol for Mobile RFID Systems
[NO] 142/200 | An Improved Cycle-by-Cycle Current Limiting Strategy for Active Neutral-Point-Clamped Inverters
[NO] 143/200 | Hybrid Multiple Access Scheme Based on Interference-Aware Switching Between MU-MIMO and Band-Splitting NOMA-MRT
[NO] 144/200 | Multimodal Emotion Recognition Via Integrated Facial, Speech, and Textual Features
[NO] 145/200 | Testing Motion Measurement Devices with Accelerometers
[NO] 146/200 | Data Fusion of Cameras attached on Dual UAVs for Real-Time Human Detection and Localization
[NO] 147/200 | Orchestrating High-Performance Quantum Applications in Distributed Environments
[NO] 148/200 | Multiphase Electrical Drive
[NO] 149/200 | Attention-Guided Deep Learning for Multi-Stage Liver Fibrosis Staging from Ultrasound Imaging
[NO] 150/200 | AI-Driven Visual Intelligence for Disaster Damage Assessment and Emergency Response
[NO] 151/200 | Scenario-Adaptive Weighted K-Means++ Clustering Algorithm for Flexible Load Resource Classification in Distribution Networks
[NO] 152/200 | AIoT Edge-Cloud Collaborative Authentication Based on Palmprint and Palm Vein Dual Features
[NO] 153/200 | Supervised and Unsupervised approach of Machine Learning: A Comparative Study for Credit Card Fraud Detection Across Diverse Datasets
[NO] 154/200 | Pre-Correction Optimal Dispatching Method for Generators Considering Frequency Stability Constraints
[NO] 155/200 | IntelliBand: An AI Productivity and Research Assistant Tool
[NO] 156/200 | Enhanced Microstrip Antenna with Four Modified Circular Elements for High-Gain Operation at 5.8 Ghz
[NO] 157/200 | Look-Up Table Based PMSM Control Method Using Low Memorized Data for Electric Vehicle
[NO] 158/200 | Toward Fully Interoperable Digital Twins: A Review of Technologies and Frameworks in Industry 4.0
[NO] 159/200 | GazeHawkAI: Context-Aware Entropy-Guided Adaptive Fusion for Multi-Branch Anti-Spoofing Face Recognition
[NO] 160/200 | Trustworthy Workforce Compensation Intelligence using Fairness-Aware Explainable Artificial Intelligence
[NO] 161/200 | AI-Driven Hotel Resource Optimization Before and During COVID-19
[NO] 162/200 | Few-Shot Fault Diagnosis for Circuit Breakers Using WGAN-GP-Augmented BiGRU
[NO] 163/200 | Relation-Aware Multi-View Representation Learning for Cross-KG Relation Prediction
[NO] 164/200 | Enhancing Narrative-Based Learning Experiences Through a Human–Generative AI Co-Creation Support Framework
[NO] 165/200 | A Virtual Reality Based Analysis of Visual Search Strategies in Elite and Novice Table Tennis Players
[NO] 166/200 | Intelligent Warehousing using IoT and Multi-Agent Reinforcement Learning for Dynamic Storage and Resource Optimization
[NO] 167/200 | Security Rule Embedding and Static-Analysis-Guided Repair for LLM-Based Intelligent Multimedia UI Code Generation
[NO] 168/200 | Evaluation of Early Fault Detection Algorithms for DC Circuits Using Trend Analysis in Embedded Systems
[NO] 169/200 | Research on Probabilistic Scenario Generation and Reduction Methods for Wind and Solar Uncertainty
[NO] 170/200 | Perceptual Study of Vibro-Thermal Stimulations Interactions Across the Hand Using a Modular Haptic Stylus
[NO] 171/200 | Modulation of the Pleasantness of Brush-Stroking Stimuli with an External Virtual Agent Expressing Pleasant Affect in VR
[NO] 172/200 | JCC 2026: Message From the General Chairs
[NO] 173/200 | Cover Page
[NO] 174/200 | Preface
[NO] 175/200 | Smart Home-security System based on High-performance Garlic-peel Biowaste-derived Triboelectric Nanogenerator_supp2-3726055.mp4
[NO] 176/200 | Robust Safety Tracking Control of UAHs via Control Barrier Function-based Self-Adjustable Prescribed Performance and Disturbance Observer
[NO] 177/200 | An Interactive Zero-Shot Compound Fault Diagnosis Framework Based on Fuzzy Semantics and Fuzzy Neural Networks
[NO] 178/200 | Standard-Compliant AI-Orchestrated Task Scheduling for 6G Healthcare in Vehicular Edge Networks
[NO] 179/200 | Phys-TriBEV: A Physics-Informed Tri-Modal BEV Fusion for Robust 3-D Object Detection in Degraded Underground Coal Mine
[YES] 180/200 | Integrated Channel Estimation and Localization in ISAC with Spatially Distributed Targets: A Parametric Approach
[NO] 181/200 | Physics-Informed Unsupervised Inversion of Range-Dependent Evaporation Ducts from Uncalibrated Radar Sea Clutter_supp1-3724246.docx
[YES] 182/200 | DRL-Based AoI Minimization for RSMA in Finite-Blocklength MU-MISO
[NO] 183/200 | Effect of Sternal Sensor Location on Seismocardiography for Severe Aortic Stenosis Detection
[NO] 184/200 | Copyright Page
[NO] 185/200 | Efficiently Architecting VQAs: Expressibility–Trainability–Resources Pareto-Optimality
[NO] 186/200 | Multiscale Fusion of Heterogeneous SAR and Radiometer Data for Robust Maritime Target Enhancement
[NO] 187/200 | Unlocking Optical Prior: Spectrum-Guided Knowledge Transfer for SAR Generalized Category Discovery
[NO] 188/200 | Privacy-enhanced mechanisms in AI- and digital twins-based health applications: Trade-off between privacy and measurement accuracy
[NO] 189/200 | A dynamic DAG-Based Scheduling Strategy for Cross-Chain Transaction Management
[NO] 190/200 | Modulating Transformers with Explicit Degradation Information for Real-World Light Field Image Super-Resolution
[NO] 191/200 | Leakage-Controlled High-(d33) Prediction and Uncertainty-Aware Candidate Prioritization in Lead-Free KNN-Based Piezoelectric Ceramics Using PGU-RNet
[NO] 192/200 | TASTE: Trait-like and State-like Two-stream Framework for EEG Imputation
[NO] 193/200 | An Intelligent Machine Learning Approach for Early Chronic Kidney Disease Detection Using Hybrid Optimization Techniques
[NO] 194/200 | A Dual Uncertainty Framework for Trustworthy Brain Tumor Segmentation on BraTS 2021
[NO] 195/200 | Optimal Design of PID Controller for Poultry House System Using Butterfly Optimization Algorithm
[NO] 196/200 | Wireless Charging Systems for EVs: A Comprehensive Review of Systems and Control Strategies
[NO] 197/200 | Real-Time Fault Diagnosis of Induction Motors Based on Stator Current Analysis and Embedded Machine Learning on a Cost-Effective Testing Platform
[NO] 198/200 | Robust Joint Sensing and Task Inference for Resource-Constrained IoT Agents
[NO] 199/200 | The Semantic Proximity Trap: Investigating Contrastive Learning for Open Set Radar Activity Recognition
[NO] 200/200 | A New Technique Based on the Conjugate Gradient Method for a Simple Extraction of the PV Generator Electrical Parameters
筛选完成：共 200 篇；Yes = 5 篇；已保存到 papers/select_paper2026-08-24.json。
邮件发送成功！
[2026-08-25 10:11:27] 任务执行成功！
