[2026-03-25 09:47:26] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-03-24
正在获取论文...
[arXiv] 2026-03-24 | First Detection of the Glycine Isomer Glycolamide in Hot Molecular Core
[NO] 75/200 | Reconstruction-Guided Slot Curriculum: Addressing Object Over-Fragmentation in Video Object-Centric Learning
[NO] 76/200 | KALAVAI: Predicting When Independent Specialist Fusion Works -- A Quantitative Model for Post-Hoc Cooperative LLM Training
[NO] 77/200 | CIPL: A Target-Independent Framework for Channel-Inversion Privacy Leakage in Agents
[NO] 78/200 | Standing-Wave Optical Trap Based on Retro-Reflection Photonic Nanojet
[NO] 79/200 | Algorithmic warm starts for Hamiltonian Monte Carlo
[NO] 80/200 | Modification of the k-omega0 model for roughness
[NO] 81/200 | SOUPLE: Enhancing Audio-Visual Localization and Segmentation with Learnable Prompt Contexts
[NO] 82/200 | The Interspeech 2026 Audio Encoder Capability Challenge for Large Audio Language Models
[NO] 83/200 | First-Principles Theory of Chirality-Induced Spin Selectivity at Molecule-Metal Interfaces in Photoemission
[NO] 84/200 | A Frequency-Domain Approach for Integrating Multiple Functional Time Series
[NO] 85/200 | Wilson Surface One-Point Functions: A Case Study
[NO] 86/200 | Why Database Manuals Are Not Enough: Efficient and Reliable Configuration Tuning for DBMSs via Code-Driven LLM Agents
[NO] 87/200 | Topological Pumping Through a Localized Bulk in a Photonic Hofstadter System
[NO] 88/200 | HI Gas and Star Formation in Major Galaxy Pairs from the FAST All-Sky HI Survey (FASHI)
[NO] 89/200 | Think 360°: Evaluating the Width-centric Reasoning Capability of MLLMs Beyond Depth
[NO] 90/200 | The family of all local maximum independent sets is an augmentoid
[NO] 91/200 | Deterministic quantum master equation for non-Markovian signal processing
[NO] 92/200 | Peeling-violating coefficients in classical gravitational scattering
[NO] 93/200 | Dynamic Light Spanners in Doubling Metrics
[NO] 94/200 | DiSCo: Diffusion Sequence Copilots for Shared Autonomy
[NO] 95/200 | Edge density expansions for the classical Gaussian and Laguerre ensembles
[NO] 96/200 | Metastability, chaos and spectrum tomography for Bose-Hubbard rings and chains
[NO] 97/200 | From Morality Installation in LLMs to LLMs in Morality-as-a-System
[NO] 98/200 | FixationFormer: Direct Utilization of Expert Gaze Trajectories for Chest X-Ray Classification
[NO] 99/200 | Ran Score: a LLM-based Evaluation Score for Radiology Report Generation
[NO] 100/200 | Limit Values of Character Sums in Frobenius Formula of Three Permutations
[NO] 101/200 | Steering Committee and Organizing Committee
[NO] 102/200 | ICEMD 2025 Cover Page
[YES] 103/200 | FAS-RSMA: Can Fluid Antennas Elevate RSMA Performance?
[YES] 104/200 | Resource Allocation for Multi-LEO Satellite-Enabled Integrated Communication and Positioning System
[NO] 105/200 | MrcPunc: Modulation and Rate Compatible Puncturing for Few-Iteration 5G LDPC Decoding
[NO] 106/200 | A Unified Viscoelastic Solver for Multiphase Fluid Simulation Based on a Mixture Model
[NO] 107/200 | Author Index
[YES] 108/200 | Enabling ISAC on Low-Cost Devices via Spatial Channel Estimation with a Single RF Chain
[NO] 109/200 | Exploring Pre-Service Teachers’ Intention to Use Artificial Intelligence in Education: A Structural Equation Modeling Approach Based on UTAUT2
[NO] 110/200 | FilmShots: A Fast Film Shot Boundary Detection Based on Dilated Conv3D and Attention
[NO] 111/200 | Incomplete Multimodal Federated Learning via Masking and Contrasting Prototypes_supp1-3658522.pdf
[YES] 112/200 | Simultaneous Reflection and Transmission in Metasurfaces: A Comprehensive Review
[NO] 113/200 | Quantum Federated Gradient Aggregation using the Parameter-Shift Rule
[NO] 114/200 | Independent PPO-based Robust and Scalable Three-dimensional Configuration for Green Massive MIMO Networks
[NO] 115/200 | DiffPixelFormer: Differential Pixel-Aware Transformer for RGB-D Indoor Scene Segmentation
[NO] 116/200 | Adversarial Bandit Learning Assisted Online Optimization for Digital Twin Placement and Update in End-Edge-Cloud Collaboration
[NO] 117/200 | Rethinking Cross-Layer Dependency in MPQ: Sparsification with PSD Framework
[NO] 118/200 | Visual Privacy: The Impact of Privacy Labels on Privacy Behaviors Online
[NO] 119/200 | Constraint-Scheduled Bayesian Optimization for Software-Hardware Co-Optimization on HDnn-PIM
[NO] 120/200 | EASNet: An Adaptive Edge-Aware 3D Medical Image Segmentation Network Based on the Swin Architecture
[NO] 121/200 | Wi-ProgramIoT: A Scenario-Based Wireless IoT System for Enhancing Computer Programming Labs
[NO] 122/200 | From Fidgets to Widgets: Hands-On Approach to Exploring How We Learn and Work
[NO] 123/200 | Intrusion Detection System To Secure AI-powered E-Learning Platforms Against Various Cyberattacks
[NO] 124/200 | Human Factors In Cyber Incident Response: Mitigating Biases, Enhancing Communication, And Optimizing Tool Usability
[NO] 125/200 | Architectural Analysis of a Lightweight Autonomous Vehicle Simulator: A Case Study of gym-donkeycar’s Modularity, Flexibility, and Adaptability for Aerial Robotics
[NO] 126/200 | Disentangling EV Charging Behavior: An Integrated and Explainable Framework for Predicting Session Duration and Energy
[NO] 127/200 | Prediction Model of Tobacco Purity Combining Hyperspectral Technology and Machine Learning
[NO] 128/200 | Research on Intelligent Modeling and Complex Relation Reasoning Algorithm of Large-scale Heterogeneous Data Based on Graph Neural Network
[NO] 129/200 | Construction of an Intelligent UAV-Based Non-Contact Check the Electric Path Planning and Recognition Model for High-Voltage Transmission Environments
[NO] 130/200 | Real-Time Offline Edge AI Framework for Sensor Integrated Precision Agriculture
[NO] 131/200 | DeepGynScan: AI-Powered Cervical Lesion Detection from Colposcopy Images for Early Cervical Cancer Screening
[NO] 132/200 | Efficient Reinforcement Corrosion Detection via Lightweight YOLO with Dual-Branch Cross-Scale Feature Modulation
[NO] 133/200 | Research on Image Recognition and Data Optimization of Intelligent Management System of Power Warehouse Driven by Meta-Universe
[NO] 134/200 | SLAM Technology Based on Multi-View 3D Reconstruction
[NO] 135/200 | A Lightweight Attention Dual-Branch Network for Low-Elevation DOA Estimation
[NO] 136/200 | Enhanced Deep Learning Framework for Diagnosing Rare Genetic and Dermatological Disorders using Fine-Tuned EfficientNetB1
[NO] 137/200 | Design, Simulation, and Performance Evaluation of a D77 DC Traction Motor Converted to AC Operation
[NO] 138/200 | Research on Bipolar Short-Circuit Fault Current Clearing Method for T-type DC Transformers
[NO] 139/200 | Higher Order Sliding Robust Control Design for Single-Stage Plugin Electric Vehicle
[NO] 140/200 | XGBoost for Type 2 Diabetes Prediction with Precision-Recall Thresholding
[NO] 141/200 | High-Resolution Processing and Feature Extraction of Logging Curves Based on Wavelet Transform and Principal Component Analysis
[NO] 142/200 | A Review of Medium Access Control Protocols for Wireless Body Area Networks
[NO] 143/200 | Federated Explainable Transformer for Early Cancer Diagnosis using MRI Data
[NO] 144/200 | ST-MSHT-Net: A Soft-Thresholding Multi-Stream Hybrid Temporal Network for Automatic Modulation Recognition
[NO] 145/200 | Construction and Optimization of Image Recognition Fusion Model for Multi-Device Collaboration
[NO] 146/200 | Semantic Resume Screening using Transformer Networks and Learning-to-Rank Models
[NO] 147/200 | MetaWeave: Interpretable Fusion of Text and Fraud Detection for E-commerce Review Systems
[NO] 148/200 | Design of Anomaly Attribution Algorithms for Network Anomalies Under Multi-source Heterogeneous Data Fusion
[NO] 149/200 | Multi-Objective Design Optimization of a Flux-Switching Permanent Magnet Motor: A Comparative Study of Metaheuristic Algorithms
[NO] 150/200 | A Heterogeneous Easy Ensemble with Soft Voting for Robust Sleep Disorder Classification
[NO] 151/200 | Research on Fault Diagnosis and Predictive Maintenance Algorithm of Complex Industrial System Based on Graph Neural Network
[NO] 152/200 | Pattern Recognition of Lower Limb EMG Signals Based on Hyperparameter - Optimized Random Forest
[NO] 153/200 | Molecular simulation calculation of electrical properties of transformer insulation materials and expansion of cross-scale model application
[NO] 154/200 | Analyzing the Relationship Between Academic Performance and Enrollment Patterns Using Machine Learning
[NO] 155/200 | An Auction-based Matching Game for Cognitive Radio Heterogeneous Relay Networks
[NO] 156/200 | Identification and Early Warning Technology for Price Fluctuation Risk in the Electricity Spot Market
[NO] 157/200 | Partial offloading algorithm for edge computing based on MAPPO
[NO] 158/200 | A Systematic Review of YOLO Architectures for Real-Time Object Detection
[NO] 159/200 | The Transformer as a Parametric Filter for Sequence MIMO Equalization
[NO] 160/200 | Utilization of Meteorological Data in Site Diversity Technique for Optical Satellite Communications
[NO] 161/200 | Fast Charging Techniques for Lithium-Ion Batteries: A Comparative Analysis and Algorithmic Innovations for Safety and Degradation Mitigation
[NO] 162/200 | Security Integration and Risk Management in Modern DevOps: Tools, Frameworks, and Emerging Trends
[NO] 163/200 | A Review of IoMT-based Sleep Apnea Monitoring Systems using Wearable Sensors
[NO] 164/200 | Impact of Augmented Reality on Retail Shopping
[NO] 165/200 | Optimizing Coding Strategies for BB84-Based Quantum Key Distribution
[NO] 166/200 | Daily Rainfall Forecasting using LSTM-MLP with Spatial Embeddings
[NO] 167/200 | Optimizing System Design Performance and its Accuracy using Feature Importance
[NO] 168/200 | Integration of Blockchain Technologies and Artificial Intelligence in Modern Education: Prospects for Digital Transformation of the Learning Process
[NO] 169/200 | Soil quality classification using deep learning
[NO] 170/200 | Distributed Carrier Frequency Offset Compensation for Secure Wireless Communication
[NO] 171/200 | Open-set 3D Semantic Segmentation via Transductive Adversarial Prototype Framework
[NO] 172/200 | An Adaptive Large-Model Framework for Named Entity Recognition in Knowledge-Sparse Scenarios
[NO] 173/200 | Commutation Failure Prediction for LCC-HVDC Based on CNN-LSTM-Attention Neural Network
[NO] 174/200 | Industrial Processes Fault Diagnosis Method Based on Expert System-Guided Neural Network Decision-Space Sparsification
[NO] 175/200 | A Comprehensive Study on GDPR-Oriented Analysis of Privacy Policies: Taxonomy, Corpus and GDPR Concept Classifiers
[NO] 176/200 | Robust and Accurate LiDAR SLAM in Complex Environments via Intensity-Enhanced Features
[NO] 177/200 | Smartphone Applications in Environmental, Biological, and Pharmaceutical Colorimetric Analysis: A Review
[NO] 178/200 | IEEE Transactions on Sustainable Energy Publication Information
[NO] 179/200 | A Tri-Band Frequency Selective Surface based on Multilayer Concentric Slot Geometries
[NO] 180/200 | Table of Contents
[NO] 181/200 | ICSGE 2025 Copyright Page
[NO] 182/200 | ICSGE 2025 Cover Page
[NO] 183/200 | Cover Page
[NO] 184/200 | ICSOS 2025 Author Index
[NO] 185/200 | ADA-Net: Avalanche Differential Attention Network with Covariance Correlation Differential Transformer for Multimodal Snow Avalanche Susceptibility Mapping_supp1-3676659.docx
[YES] 186/200 | Information-Theoretic Bounds on Transmission Rates for Integrated Communication and Navigation Systems
[NO] 187/200 | Understanding the Effects of Projectors in Knowledge Distillation
[NO] 188/200 | 2025 IEEE International Conference on Space Optical Systems and Applications (ICSOS)
[NO] 189/200 | EventChat: Implementation and user-centric evaluation of a large language model-driven conversational recommender system for exploring leisure events in an SME context
[NO] 190/200 | PI-adaptDiv: an adaptive algorithm to prevent and escape online filter bubbles
[NO] 191/200 | Triptych AI - Innovation - Cybersecurity: Challenges and Opportunities for Financial Services: The Case of Moroccan Banks
[NO] 192/200 | FOP: A Personalized Federated Learning Framework for CLIP Integrating LoRA and Differential Privacy
[NO] 193/200 | A Forged Speech Detection Method Based on a Hybrid Attention Mechanism
[NO] 194/200 | Multi-Modal Medical Image Fusion using Guided Filtering and Multi-Scale Anisotropic Diffusion
[NO] 195/200 | Application of Machine Learning-Based Multi-Source Heterogeneous Information Fusion in Moving Target Tracking
[NO] 196/200 | Research on Accurate Traceability and Prediction Method of Power Failure Events of Smart Meters Based on Spatio-Temporal Big Data
[YES] 197/200 | Resource Slicing for Co-existence of eMBB and URLLC in Multi-RIS Aided Networks
[NO] 198/200 | Efficient and Precise Cheat Detection with Deep Learning
[NO] 199/200 | Advanced Deep Learning Algorithms: Architectures, Mathematics, Applications and Open Challenges
[NO] 200/200 | Visualization Analysis of Sound Wave Interference through Computer Simulation
筛选完成：共 200 篇；Yes = 7 篇；已保存到 papers/select_paper2026-03-24.json。
邮件发送成功！
[2026-03-25 10:25:48] 任务执行成功！
