[2026-03-24 09:50:50] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-03-23
正在获取论文...
[arXiv] 2026-03-23 | Dark energy and accelerating cosmological evolution in a Universe with a Weylian boundary
[NO] 74/200 | GoogleTrendArchive: A Year-Long Archive of Real-Time Web Search Trends Worldwide
[NO] 75/200 | NeuralFVM: Neural-physics-based Finite Volume Method for Turbulent Flows Using the $k$-$ω$ Model
[NO] 76/200 | Canonically consistent quantum master equation for proton-transfer reactions
[NO] 77/200 | Diffuse and specular brightness models applied to LEO satellites. Case study: The ONEWEB constellation
[NO] 78/200 | A joint MeerKAT and Parkes view of Omega Centauri: New TRAPUM Searches and Pulsar Timing
[NO] 79/200 | A generalized Coulomb problem for a spin-1/2 fermion
[NO] 80/200 | Directional Mollification for Controlled Smooth Path Generation
[NO] 81/200 | Politics of Questions in News: A Mixed-Methods Study of Interrogative Stances as Markers of Voice and Power
[NO] 82/200 | Self-dual gravity from higher-spin theory
[NO] 83/200 | Beyond Strict Pairing: Arbitrarily Paired Training for High-Performance Infrared and Visible Image Fusion
[NO] 84/200 | Can Renewable Energy Mitigate Inflationary Pressures from Energy Imports? Evidence from Türkiye
[NO] 85/200 | Small-Data Machine Learning Uncovers Decoupled Control Mechanisms of Crystallinity and Surface Morphology in $β$-Ga2O3 Epitaxy
[NO] 86/200 | Geodesic extended modes in low magnetic shear tokamaks and stellarators
[NO] 87/200 | Cohesive phase-field fracture with an explicit strength surface: an eigenstrain-based return-mapping formulation
[NO] 88/200 | Cascade-Free Mandarin Visual Speech Recognition via Semantic-Guided Cross-Representation Alignment
[NO] 89/200 | Anatomical Token Uncertainty for Transformer-Guided Active MRI Acquisition
[NO] 90/200 | Wakefield amplification via coherent Resonant excitation with two copropagating laser pulses in homogeneous plasma
[NO] 91/200 | Show Me What You Don't Know: Efficient Sampling from Invariant Sets for Model Validation
[NO] 92/200 | Asymmetric Dynamics of Partisan Warriors in YouTube Comments
[NO] 93/200 | A Perturbation Method for Index Detection for Linear Matrix Pencils
[NO] 94/200 | Extending Precipitation Nowcasting Horizons via Spectral Fusion of Radar Observations and Foundation Model Priors
[NO] 95/200 | Are "Changing-Look" Active Galactic Nuclei Special in the Coevolution of Supermassive Black Holes and their Hosts? II. The Case of Changing-Look Narrow-Line Seyfert 1 Galaxies
[NO] 96/200 | Would You Like to Visit My World? Cultivating Perceived Equality in Human-Agent Interaction via Observable Social Life Spaces
[NO] 97/200 | Persistent local Laplacian prediction of protein-ligand binding affinities
[NO] 98/200 | Quotient Geometry, Effective Curvature, and Implicit Bias in Simple Shallow Neural Networks
[NO] 99/200 | RuntimeSlicer: Towards Generalizable Unified Runtime State Representation for Failure Management
[NO] 100/200 | StreamingEval: A Unified Evaluation Protocol towards Realistic Streaming Video Understanding
[NO] 101/200 | Smart Predict-Then-Optimize-Based Unit Commitment for Integrated Energy Systems
[NO] 102/200 | All-Fiber Optical Intensity Sensing Based on a PDMS/MWCNTs Composite Fabry–Pérot Probe
[NO] 103/200 | Spatiotemporal Coupling Analysis with Inertial Sensor in Cooperative Navigation
[YES] 104/200 | Opticaly Transparent Wide-Angle Metasurface for 5G Outdoor-to-Indoor Signal Enhancement
[NO] 105/200 | Transposed Parallel Conductor Method for Six-Parallel Conductors in Armature Coils of Rotating Machines Using REBCO Tapes
[NO] 106/200 | Improved Multiscale Networks and Collaborative Edge Computing for Precise and Real-Time Tool Fault Diagnosis in Industrial IoT
[NO] 107/200 | Transformer-based Grapheme-to-phoneme Conversion with Knowledge Transfer for Isarn
[NO] 108/200 | Performance Analysis of L-Shaped Cladding Layer Based Dopingless TFET including Interface Trap Charges and Temperatures
[NO] 109/200 | Qolda: A Small Vision-Language Model for the Kazakh Language
[YES] 110/200 | Fluid Reconfigurable Intelligent Surface (FRIS) Enabling Secure Wireless Communications
[NO] 111/200 | Reliable Multi-Modal Semantic Communication via AI-Oriented Residual Encoding
[NO] 112/200 | 2026 30th International Conference on Information Technology (IT)
[NO] 113/200 | A Multiple Fourier Series-Based Multi-frequency Coupled Dynamic Phasor Model for Resonant Dual-Active-Bridge Inverters
[NO] 114/200 | A Modular Framework with an Adaptive Momentum-based Evolutionary Strategy for Physics-Informed Neural Networks
[NO] 115/200 | Biomedical Named Entity Recognition and Relation Extraction: Methodologies, Challenges &amp; Opportunities
[NO] 116/200 | SEU Cross-Section Predictions in 3nm FinFET using an Advanced Charge Transport Model
[NO] 117/200 | Carbon-Aware Multi-Energy Load Forecasting: A Hybrid KAN-Autoformer Approach with Adaptive Feature Extraction and Intelligent Residual Correction
[NO] 118/200 | LSDN: A Lightweight Dual-Domain Attention Network with Adaptive Anchors for Ship Detection in Remote Sensing Scenarios
[NO] 119/200 | ADMamba: A Spatio-Temporal Mamba-Inspired Model for Anomaly Detection in Satellite Videos
[NO] 120/200 | Modeling User Intention in Mandatory Digital Systems: The Roles of Privacy, Security, and Trust
[NO] 121/200 | Evaluating Human AI Collaboration Through Survey Based Random Forest Approach
[NO] 122/200 | Energy-Efficient Learning-Based Control of a Legged Robot in Multiple Gravity Environments
[NO] 123/200 | DRL-MPC: A Hybrid Control Strategy Based on Deep Reinforcement Learning and Model Predictive Control for Radiant Cooling Systems
[NO] 124/200 | Optimizing Load and Energy Efficiency in Cloud Computing with Bird Swarm Optimization: A Theoretical Approach Towards Green IT
[NO] 125/200 | A Rule-Based Decision-Support Prototype for Digital Maturity Assessment
[NO] 126/200 | A Zero-Shot Approach to Multilingual Spam Detection Using mBERT
[NO] 127/200 | Towards Role-Based Multi-Agent LLM Systems for Software Requirements Analysis
[NO] 128/200 | RAG-X: Density-Adaptive Path Sampling for Enhanced Knowledge Graph-Based Retrieval Augmented Generation
[NO] 129/200 | Combined Heat and Power Dispatch Considering Flow Direction-Adaptive Heating Networks
[NO] 130/200 | Deep LSTM with Hybrid Feature Reduction for Cardiac Arrhythmia Classification Using Pyramid Learning
[NO] 131/200 | Continuous Inertia Estimation and Frequency Response Prediction Using Ambient Measurements
[NO] 132/200 | Multi-Scale Geographical Identification of Synchrophasor Sources for Enhancing Cyber-Physical Resilience in Distribution Networks
[NO] 133/200 | Enhancing Diabetic Retinopathy Diagnosis with Deep Neural Networks
[NO] 134/200 | Identification of Diabetic Retinopathy Stages using Swin Transformers
[NO] 135/200 | Design of a Golden Angle-inspired Multi-Element Yagi-Uda Antenna Array for Low-correlation 5G Lower band Applications
[NO] 136/200 | Optimal Coordination of Hydrogen-enabled Integrated Energy Systems Considering Dynamic Zoning Operation of Ground Heat Exchangers
[NO] 137/200 | Artificial Intelligence Integrated Innovations in Surgery: A Comprehensive Review
[NO] 138/200 | Quantitative Analysis and Intelligent Prediction of Defect Hazards in Power Transmission Equipment Health Management
[YES] 139/200 | Convergence Optimized Adaptive Multigrid Iterative Equalization for OTFS
[NO] 140/200 | Design of Converter Load Test Energy Feedback System Based on STM32
[NO] 141/200 | IoT-Machine Learning Based Predictive Maintenance Framework for Industrial Machinery
[NO] 142/200 | Optimizing Microservices Performance with AI-Driven Load Balancing
[NO] 143/200 | Reducing Software's Carbon Footprint Through Performance Testing
[NO] 144/200 | FibroLiteKD: A Novel Leak-Safe Knowledge Distillation Framework for Compact Ultrasound-based Liver Fibrosis Staging
[NO] 145/200 | Browser Extension for Secure Session Parameter Handling and Hyperlink Modification
[NO] 146/200 | Computationally Efficient Laplacian CL-colME
[NO] 147/200 | A Physics-Informed Learning Approach for Demand Response Potential Assessment of EV Charging Stations
[NO] 148/200 | Hybrid Neuro-Symbolic AI for Context-Aware Decision-Making Systems
[NO] 149/200 | A Hybrid Framework for the Design and Pricing of Weather Options for Photovoltaic Risk Management
[NO] 150/200 | Impact of Different Baffle Configurations on Natural Convection in a Square Enclosure
[NO] 151/200 | Multi-Modal Data Integrity Using the Selfattention Based Ensemble GNN for IIot
[NO] 152/200 | Exploiting Voltage Variations in Load Redistribution Attacks to Compromise Power System Stability
[NO] 153/200 | Socio-Economic Co-Driven Post-Hurricane Resilient Restoration of Urban Distribution Networks
[NO] 154/200 | Auto Sentinel: Deep Learning System for Real Time Vehicle Fire Prediction
[NO] 155/200 | Design of an Improved Model for Financial Decision Transparency using D-BAFE FEA-BO and HBC-EC Techniques
[NO] 156/200 | Blockchain-IoT Model for Secure Data Management in Remote Physiotherapy Systems
[NO] 157/200 | Optimized Capture-Per-Clock Logic Bist with Hybrid Test-Point Insertion for Efficient VLSI Testing
[NO] 158/200 | Optimal Configuration of Electro-Hydrogen Storage for Voltage Stability and Cross-Cycle Balancing in Renewable-Rich Distribution Networks
[NO] 159/200 | Leveraging Spatial Relationships for SelfSupervised Road Barrier Detection in StreetLevel Imagery
[NO] 160/200 | An Efficient Digital Prototyping with Thermal Comfort Model and Green Environmental Benefit Index for Urban Heat Application
[NO] 161/200 | From Aerial Imagery to Label-Conditioned Disaster Reports
[NO] 162/200 | OSCAR: Operational System Context Acquisition and Representation
[NO] 163/200 | Research on Multi-Agent Guidance Control Strategy in EMS High Speed Maglev Vehicle Based on Virtual Leader-Follower Communication Topology
[NO] 164/200 | Acoustic Noise Rejection Mode of Atomic Force Microscope Imaging: A Data-Driven Control Approach
[NO] 165/200 | Real-Time Remote Monitoring of Correlated Markovian Sources
[NO] 166/200 | Camera Trajectory Planning in Immersive 3-D Human Motion-Based Entertainment Contents
[NO] 167/200 | DFCNet: A Dynamic Cross-Modal Transformer for Fashion Recommendation
[NO] 168/200 | NEXA-NET: Advancing Knowledge-Driven Autonomy in AI-Native 6G and Beyond Wireless Networks
[NO] 169/200 | No Evidence of Phase-Amplitude Coupling in Auditory Steady-State Responses
[NO] 170/200 | Decoding taVNS Effects via Neural and Autonomic Biomarker Sensing for Stress, Depression, Anxiety, and Emotion Regulation: A Review_supp1-3673727.doc
[NO] 171/200 | Spatiotemporal Feature Learning for Real-Time Human Fall Detection System using TCNs and FMCW Radar Point Clouds
[NO] 172/200 | Sub-terahertz scattering-type scanning near-field optical microscopy for biological cell imaging
[NO] 173/200 | Dual-Mode Time-Sharing-Based Buck and Boost Inverter With Reactive Power Injection Capability
[NO] 174/200 | Fingerprint Presentation Attack Detection with Fixed Prototype Contrastive Learning and Anomaly Detection
[NO] 175/200 | ICIPCN 2026 TOC
[NO] 176/200 | Machine Learning-Enhanced Optimization for Resilient PV Placement Under Multiple Distribution Network Hazards
[NO] 177/200 | A Multi-Hazard Resilient Power Distribution System Planning with Enhanced Column-and-Constraint Generation Implementation
[NO] 178/200 | An Innovative Design of Energy-Efficient Digital Twin Model for Enhanced Wind Farming and Multimodal Behaviour Recognition using Deep Learning
[NO] 179/200 | CNN Based Optimization for High Gain Converter for Renewable Applications
[NO] 180/200 | Impact of GRI-linked ESG Requirements on Energy Strategy of Listed Companies
[NO] 181/200 | Decentralized and Intelligent Hybrid Cognitive Academic Systems: Blockchain and AI-Driven Approaches to Personalized Learning
[NO] 182/200 | Urban Digital Twins for Adaptive Water Quality Monitoring in Smart Cities: A Robotics-Based Approach
[NO] 183/200 | Review of Frequency Control Strategies for Renewable Power Systems under Extreme Weather Conditions
[NO] 184/200 | Resource Optimization in Edge Networks with Game Theory Model
[NO] 185/200 | Bachelors Buddy
[NO] 186/200 | Development of a Rapidly Frequency-Agile Microwave Source for Nitrogen-Vacancy Center-Based Quantum Current Sensors
[NO] 187/200 | Multi-Criteria Evaluation of Mobile Navigation Applications for Non-SOLAS Vessels in Confined Coastal Waters
[NO] 188/200 | Ensemble Learning Method for Brain Tumor Classification: Techniques, Applications, and Frontiers in Glioma Analysis
[NO] 189/200 | Generalized Inertia:An Index to Evaluate the Small Signals Stability in Droop Controlled Microgrids
[NO] 190/200 | A novel fast-turn-on DTSCR ESD protection device for low-voltage applications
[NO] 191/200 | Energy Management for Renewable-Colocated Artificial Intelligence Data Centers
[NO] 192/200 | Epilepsy Detection Using an Adaptive Network-Fuzzy Inference System
[NO] 193/200 | A Study on Battery SOC Estimation Method Based on TAM-PSO Optimised UKF
[NO] 194/200 | NETex-CAD: A Novel Neural Essence Transfer Explainable Framework via Knowledge Distillation for Lightweight Coronary Artery Disease Prediction
[NO] 195/200 | Deep Learning Ensemble Framework for Real-Time Traffic Accident Detection in Smart Cities with AMSE - ADM Data Augmentation
[NO] 196/200 | Approach Guidance and Control for Tumbling Uncooperative Target Using Adaptive Artificial Potential Field
[NO] 197/200 | An Efficient Privacy-Preserving Authentication Scheme for VANETs Using Bilinear Pairing
[NO] 198/200 | Research Status, Challenges, and Future Trends of Deep Reinforcement Learning in Microgrid Optimization Scheduling
[NO] 199/200 | Real-Time Identification of Laryngeal Carcinoma Using Enhanced Endoscopic Imaging and Convolutional Models
[NO] 200/200 | Automated Real-Time Epileptic Seizure Detection and Alert System
筛选完成：共 200 篇；Yes = 4 篇；已保存到 papers/select_paper2026-03-23.json。
邮件发送成功！
[2026-03-24 10:26:13] 任务执行成功！
