[2026-06-05 11:57:48] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-04
正在获取论文...
[arXiv] 2026-06-04 | Phenomenology of Inflaton-Driven Early QCD Confinement and Solution to Axion Isocurvature Problem
[NO] 78/200 | Beyond Vector Similarity: A Structural Analysis of Graph-Augmented Retrieval for Industrial Knowledge Graphs
[NO] 79/200 | Resolving room temperature microscale fracture and plasticity of iron oxides along the cascade of iron ore reduction via nanoindentation and microcantilever bending
[NO] 80/200 | ATT-CR: Adaptive Triangular Transformer for Cloud Removal
[NO] 81/200 | Quantifying Uncertainty In Wide Two-Layer Neural Networks: On The Law Of The Limiting Fluctuation Process
[NO] 82/200 | The Self-Correction Illusion: LLMs Correct Others but Not Themselves
[NO] 83/200 | The quenching time and timescale distribution of z~2 quiescent galaxies from precise colour distribution analysis
[NO] 84/200 | Combining diffuse and sharp interface methods in shape optimisation
[NO] 85/200 | Edit-R2: Context-Aware Reinforcement Learning for Multi-Turn Image Editing
[NO] 86/200 | Exploring the connection between coding habits and cognitive styles in malware developers
[NO] 87/200 | Simulations of interaction between outflow and surrounding broken power-law circumnuclear medium: implications for different radio light curves of TDEs
[NO] 88/200 | Epistemic Injustice in Language Models: An Audit of Pretraining Filters and Guardrails
[NO] 89/200 | Hessian-informed, Coordinate Friendly Hamiltonian Monte Carlo in Linear Time
[NO] 90/200 | Towards World Models in Biomedical Research
[NO] 91/200 | DBHN-Net: Dual-Branch Hybrid Neural Network For Low-Complexity Monaural Speech Enhancement
[NO] 92/200 | ACE-SQL: Adaptive Co-Optimization via Empirical Credit Assignment for Text-to-SQL
[NO] 93/200 | Metric Facility Assignment with Partial Information
[NO] 94/200 | Non-equilibrium quantum thermodynamics of a memory-bearing open-system process
[NO] 95/200 | PriSrv+: Privacy and Usability-Enhanced Wireless Service Discovery with Fast and Expressive Matchmaking Encryption
[NO] 96/200 | The Analysis of the Influence of Coordinate Error of Observation Station On the Construction Accuracy of Pulsar Time
[NO] 97/200 | Retry Policy Gradients in Continuous Action Spaces
[NO] 98/200 | Polylogarithmic Structure of Bragg Diffraction in Finite-Coherence Lattices
[NO] 99/200 | TAGA: Terrain-aware Active Gaze Learning for Generalizable Agile Humanoid Locomotion
[NO] 100/200 | An Ultra-Low-Bitrate Neural Speech Codec with Plain-to-Pseudo Synergistic Vector Quantization
[NO] 101/200 | Proceedings of the 1st International Workshop on Data FORMATS for Modern Architectures and Workloads
[NO] 102/200 | Purified Distillation Slimming (PDS) for Robust Backdoor Defense
[NO] 103/200 | CoCoRADE: Introducing Replay Protection for Data-at-Rest of Confidential Virtual Machines
[NO] 104/200 | PHANTOM: Physics-Aware Adversarial Attacks against Federated Learning-Coordinated EV Charging Management System
[NO] 105/200 | Cloud-Powered Federated Learning for Global Healthcare Diagnostics: Privacy Preserving Multi-Cloud Architecture
[NO] 106/200 | From Algorithms to Accountability: Navigating AI's Ethical and Legal Challenges
[NO] 107/200 | Enhanced Cloud-Based Hybrid Learning System for Remote Monitoring and Optimization of E-Waste Recycling Operations
[NO] 108/200 | Spatiotemporal Gap-Filling of GOCI-II Chlorophyll-a Using Attention-Based Partial Convolution Model
[NO] 109/200 | A relation-geometry enhanced network for stereo matching of optical satellite stereo images
[NO] 110/200 | OCR-3D: Occlusion-Robust Context-Guided Relative Depth for Monocular 3D Object Detection
[NO] 111/200 | Feature Transformation Effects in PolSAR Images Based on a Time-Varying Active Polarization Conversion Metasurface
[NO] 112/200 | How to Ask the AI: A User Perspective Survey for Large Language Model Prompting
[NO] 113/200 | Effects of Environmental Factors on Photovoltaic Module Temperature Monitoring Using BOTDR
[YES] 114/200 | Outsmarting the Smart: Intelligent Jamming Strategies Against AI-Empowered Anti-Jamming Frameworks
[NO] 115/200 | Identifying Critical Breakpoints and Latency Effects During Remote Backup Driving_supp2-3691492.pdf
[NO] 116/200 | Huygens Dipole-Enabled Broadside and Endfire Beam-Switching Transparent Antenna
[NO] 117/200 | Virtual DC Motor Driving Synchronous Generator Control for Dual-Port Inertia Support Based on Flying-Capacitor Three-Level Inverter
[NO] 118/200 | Co- and Cross-Polarized RCS Imitation Based on Amplitude and Phase Controlled Metasurface
[NO] 119/200 | Design and Validation of a Crate-Independent 1GbE DAQ Backend for Medium-Scale Detector Readout
[NO] 120/200 | Efficient and Effective Personalized In-Context Learning for On-device Large Model Services_supp1-3697569.pdf
[YES] 121/200 | Performance Analysis for Rate Splitting Multiple Access Enhanced Pinching-Antenna Assisted Integrated Sensing and Communication Systems
[NO] 122/200 | BRR: A Multi-Armed Bandit-Based Relay Selection Algorithm for Post-Disaster DTNs
[NO] 123/200 | Design of Airport Low-Altitude Traffic Control System Architecture Based on Cloud-Edge Collaboration and Deep Learning
[NO] 124/200 | Attention-Augmented BiGRU for Mental Health State Classification from Reddit Conversational Data
[NO] 125/200 | Conditional GAN Based HF Channel Modeling with Historial Continuous Wave Signals
[NO] 126/200 | Spatiotemporal Feature Aggregation for Radar AMC: A Comparative Study of Stacked GRU and Optimized CNN-GRU Hybrid Architectures
[NO] 127/200 | An Innovative Approach for Aircraft Damage Detection via FasterNet-Modified YOLO11
[NO] 128/200 | Research on The Method of Train Insulator Stain Detection Based on Deep Learning
[NO] 129/200 | Implementation of a Lightweight and Customized Signal processing system based on RFSoC
[NO] 130/200 | Research on Intelligent Strategy and Digital Operation of Automobile Industry Based on Artificial Intelligence
[NO] 131/200 | Evaluating Forecasting Accuracy of Artificial Intelligence Models for Smart Grid and Building Energy Demand
[NO] 132/200 | Distribution Network Topology Identification Using Graph Neural Networks
[NO] 133/200 | Community Driven Optimization for Fair Impact Maximization
[NO] 134/200 | Tourist Flow Computational Modeling and ABM Simulation Framework for Smart Tourism Big Data Analysis
[NO] 135/200 | TADAM: An Artificial Intelligence Based Sustainability Assessment Framework with Community Engagement
[NO] 136/200 | GCAF-Net: A Gated Cross-Attention Framework for Multimodal Retinal Disease Classification
[NO] 137/200 | PanCo-SLAM: A Robust Dynamic RGB-D SLAM System via Panoptic Semantics and Depth Residual Collaboration
[NO] 138/200 | Parallel CNN for Accurate Classification of Aquatic Crab Species
[NO] 139/200 | Lightweight Object Detection Model for Early Fish Disease Identification in Aquaculture
[NO] 140/200 | Alignment-Aware Dual-Stream YOLO for RGB-IR Oriented Object Detection in UAV Traffic Scenes
[NO] 141/200 | Improved Mamba-DetectNet with Lightweight Attention and Feature Fusion for Weld Defect Detection
[NO] 142/200 | Machine Learning Model Design for Two-Dimensional Photonic Crystals with Point Defects
[NO] 143/200 | Evaluating Lightweight GAN- Generated Synthetic Data for Privacy Preservation in Mobile Crowd Sensing.
[NO] 144/200 | Evaluating the Performance of Deep Learning Models Using Explainable AI Approaches for Reliable Skin Cancer Detection and Diagnosis
[NO] 145/200 | A Hybrid Generative–Adaptive Deep Learning Framework for Robust Heart Disease Prediction
[NO] 146/200 | Evaluating Human- and AI-Generated Code Quality Based on Code Smell
[NO] 147/200 | Formal Verification of EDHOC-PSK: A Symbolic Approach with SAPIC+
[NO] 148/200 | Numerical Simulation of Dharali Cloudburst August 2025 Based on WRF Model
[NO] 149/200 | Simulation Study on FBG Spectrum Peak Detection and Anomaly Detection Based on Gradient Boosted Regression Trees
[NO] 150/200 | Time and Event-Triggered Fault Detection for the Networked Control System Under DoS Attacks
[NO] 151/200 | Latent Preference Inference and Expert–Crowd Aggregation in Sequential Elimination
[NO] 152/200 | Explainability-Driven Insights into LSTM-Based Sentiment Classification Across Domains
[NO] 153/200 | Stability-Aware and Phase-Aware Identification of Hallucination-Associated Neurons in LLMs
[NO] 154/200 | Uncertainty-Aware Dynamic-Temperature Distillation for Efficient Biomedical Sentence Classification
[NO] 155/200 | An Efficient Cross-Frequency Feature Aggregation Network for Single Image Super-Resolution
[NO] 156/200 | A Review of the Development of Key Technologies of Embodied Intelligence in the Field of Workplace Safety and Emergency Response
[NO] 157/200 | Research on Safe Path Planning for UAV in Unknown Dynamic Environments
[NO] 158/200 | Adaptability Over Accuracy: Strengthening Intrusion Detection Systems for Zero-Day Attacks
[NO] 159/200 | An End-to-End AI-Powered Symptom Checker Using Machine Learning, NLP, and Geolocation for Real-Time Doctor Recommendation
[NO] 160/200 | Training Privacy Is Not Inference Privacy: Evaluating Embedding Leakage in Private Federated LLM Fine-Tuning
[NO] 161/200 | Learning Detailed Representations via Parallel Attention and Local Enhancement for Image Super-Resolution
[NO] 162/200 | Emotional Participation Modeling and System Optimization of College Students Using Generative AI Chat Robot
[NO] 163/200 | Structured Hybrid-Parallel Normal-Equation Solving for Large-Scale LEO Crosslink Orbit Determination
[NO] 164/200 | Preface
[NO] 165/200 | A 4.19-M Pixels Colloidal Quantum Dot-Based SWIR Image Sensor With High-Linearity Multistep Single-Slope ADCs
[NO] 166/200 | A Novel Physics-Informed Transformer Algorithm (PITA) for Near–Real-Time Synergistic Multi-Parameter Aerosol Retrieval From FY-4B/AGRI Geostationary Satellite
[NO] 167/200 | A Lightweight WiFi-based Human Activity Recognition Method for Unknown Domains
[NO] 168/200 | Exploring Basic Expression Representation for Compound Facial Expression Recognition
[NO] 169/200 | Digital Transformation with Metaverse-Based Services: An Exploratory Managerial Framework Using AI-Simulated Stakeholder Dialogues
[NO] 170/200 | Comparative Study of Avalanche and Short-Circuit Reliability in 1.2-kV SiC MOSFETs
[NO] 171/200 | Simultaneous Estimation of Nonlinear Functionals of a Quantum State
[NO] 172/200 | Enhancing Weather Forecasting through CrIS and IASI Imagery
[NO] 173/200 | MLPerf Power: Addressing the AI Power Wall
[NO] 174/200 | Novel Resonance Degree Discrimination Algorithm for Enhanced Systematic Compact Neuro-TF Parametric Modeling of Microwave Components
[NO] 175/200 | Sensing Censorship and Censuring Censors with Censorship-Evident Publishing Systems
[NO] 176/200 | How Tough Is Location Anonymization? Re-identifying 100K Real-User Trajectories in Japan
[NO] 177/200 | Ex-ASE 2025: The 1st International Workshop on ExplainableAutomated Software Engineering
[NO] 178/200 | Skeletal Sentinel for the Detection of Osteoporosis Empowered by Machine Learning and Transfer Learning
[NO] 179/200 | A Comparative Analysis of Machine Learning Models for Periodontal Disease Classification
[NO] 180/200 | Secure Implementation of Salesforce Health Cloud for Patient Data Management in Multi-Tenant Environments
[NO] 181/200 | Research on Library Book Spine Segmentation and Recognition Based on Deep Learning
[NO] 182/200 | Heterogeneous Effects of Human Resource Management on Firm Performance under Digital Transformation: A Causal Machine Learning Approach
[NO] 183/200 | Indoor Semantic Map Prediction for Object Search Based on Relationship Reasoning and Active Training
[NO] 184/200 | Research on the Optimization Decision of Cold Chain Logistics Delivery Vehicles in Low-Carbon Cities
[NO] 185/200 | SysDiver: Lightweight and Fast Static Analysis for Windows Kernel Drivers
[NO] 186/200 | A New Construction Method for More Efficient Quadratic One-Time Noisy Multi-Client Functional Encryption Schemes
[NO] 187/200 | Data Flows in You: Benchmarking and Improving Static Data-flow Analysis on Binary Executables
[NO] 188/200 | Attack from Shadows: Unsupervised Side-channel Transfer Learning across Devices and Modalities
[NO] 189/200 | ZEEP: Zone Encryption with Enhanced Privacy for Vehicular Communication
[NO] 190/200 | <i>BarkBeetle:</i>
                    Stealing Decision Tree Models with Fault Injection
[NO] 191/200 | CCA-Droid: Context-Aware Cryptographic API Misuse Detection in Android Apps
[NO] 192/200 | Deep Learning Backdoor Defense via Adaptive Trigger Collisions in Latent Space
[NO] 193/200 | Design Space Exploration of RISC-V Vector Extension targeting Embedded Processors
[NO] 194/200 | A Wormlike Robot for Ferromagnetic Surface Inspection: A Novel System Inspired by Caterpillars
[NO] 195/200 | Filtering Multibeam Antenna Arrays Based on Substrate Integrated Waveguide Filtering Crossovers: A Proof of Concept
[NO] 196/200 | Hyperspectral Unmixing Under Endmember Variability: A Variational Inference Framework
[NO] 197/200 | Copyright Page
[NO] 198/200 | The Asymptotic Capacity of Private Information Retrieval with Secure Storage Under Disjoint Colluding Sets
[NO] 199/200 | 2025 International Conference on Low-Altitude Airspace and Artificial Intelligence (LAAI)
[NO] 200/200 | Research on Nonlinear Vibration Suppression Optimization of Gear Transmission System Based on Deep Learning Fine-Tuning
筛选完成：共 200 篇；Yes = 2 篇；已保存到 papers/select_paper2026-06-04.json。
邮件发送成功！
[2026-06-05 12:28:20] 任务执行成功！
