[2026-05-20 11:44:52] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-05-19
正在获取论文...
[arXiv] 2026-05-19 | Large-space and large-time asymptotics for the mKdV soliton gas with any odd genus
[NO] 78/200 | What Makes Synthetic Data Effective in Image Segmentation
[NO] 79/200 | Are Rationales Necessary and Sufficient? Tuning LLMs for Explainable Misinformation Detection
[NO] 80/200 | Frequency-dependent stress response under thermal cycle: A thermal-crystal plasticity and dynamic mode decomposition study
[NO] 81/200 | Universal Cycles on Affine Lines
[NO] 82/200 | OpenCompass: A Universal Evaluation Platform for Large Language Models
[NO] 83/200 | FormalASR: End-to-End Spoken Chinese to Formal Text
[NO] 84/200 | MuMuTestUp: Mutation-based Multi-Agent Test Case Update
[NO] 85/200 | AQuaUI: Visual Token Reduction for GUI Agents with Adaptive Quadtrees
[NO] 86/200 | ERFSL: An Efficient Reward Function Searcher via Language Models for Custom-Environment Multi-Objective Optimization (Student Abstract)
[NO] 87/200 | A C implementation of the Smith massager algorithm
[NO] 88/200 | Example-Driven Intent Synthesis for Constrained Data Bundle Retrieval: Focused Text Snippet Extraction and Beyond
[NO] 89/200 | Robust Mitigation of Age-Dependent Confounding Effects via Sample-Difficulty Decorrelation
[NO] 90/200 | Can Large Language Models Revolutionize Survey Research? Experiments with Disaster Preparedness Responses
[NO] 91/200 | Spin asymmetry for the elastic scattering of polarized electrons from Zn, Cd, and Hg
[NO] 92/200 | Taking Inventory of the Most Promising Lensed Radio Sources for Constraining Fundamental Properties of Dark Matter
[NO] 93/200 | Not all uncertainty is alike: volatility, stochasticity, and exploration
[NO] 94/200 | The Full Pareto Frontier as Kantian Equilibria
[NO] 95/200 | On the Hyperelastic Behavior of the Boar Diaphragmatic Tendon Membrane by Inflation Tests and Modeling
[NO] 96/200 | Top Pair Threshold Revisited
[NO] 97/200 | Quantum-enhanced distributed network sensing using multiple quantum resources
[NO] 98/200 | Towards inertial-mode helioseismology: Direct sensing of solar rotation at 75 deg latitude and 0.8 Rsun
[NO] 99/200 | Dual-Prompt CLIP with Hybrid Visual Encoders for Occluded Person Re-Identification
[NO] 100/200 | SafeAlign-VLA: A Negative-Enhanced Safe Alignment Framework for Risk-Aware Autonomous Driving
[NO] 101/200 | Dual-Path Holographic Laser-Excited Volumetric Display
[NO] 102/200 | From Few-Shot to Zero-Shot: Towards Generalist Graph Anomaly Detection_supp1-3691902.pdf
[NO] 103/200 | Enabling Frictionless and Continuous Authentication for Edge Computing via Privacy-Preserving Behavioral Modeling_supp1-3688247.pdf
[NO] 104/200 | Nano-Bio Systems for Intra-body Sensing, Actuation, and Communication in the Terahertz Band and Beyond
[NO] 105/200 | A Wideband Directional Coupler With Stable Coupling Factor Based on Spoof Surface Plasmon Polaritons
[NO] 106/200 | Preface
[NO] 107/200 | ICEIT 2026 Copyright Page
[NO] 108/200 | Improved Method for Electromagnetic Analysis of Axial Flux Permanent Magnet Motor with 3D Leakage Flux in Overhang Structures
[NO] 109/200 | Design of N-S-Iron Interleaved Asymmetric Pole Arc Coefficient 24-slot/20-pole CPPM Machine with Rotor Inner Slots
[NO] 110/200 | Robust Multi-Stream Massive MIMO Satellite Systems Based on Statistical CSI
[NO] 111/200 | MAPLE: Self-Supervised Learning-Enhanced Nonlinear Dimensionality Reduction for Visual Analysis_supp1-3694000.pdf
[YES] 112/200 | Sensing Performance Optimization for ISAC with ITS and IRS
[NO] 113/200 | IEEE Industry Applications Society Information
[NO] 114/200 | Block-MariAuth: Blockchain and PUF Based Authentication Protocol for NTN Assisted Telemedicine Drones in Medical Healthcare 5.0
[NO] 115/200 | CAC-Net: Convolutional Additive Cross-Modal Fusion for Real-Time RGB-T Object Detection
[NO] 116/200 | Design and Performance Assessment of a Virtualized IED for Digital Substations
[NO] 117/200 | Structured Time-Frequency Feature Driven Meta Learning for Fall Detection with mmWave Radar
[YES] 118/200 | Multi-Tier Hierarchical Intelligence for Joint RIS–NOMA Optimization in O-RAN-Enabled 6G Networks
[NO] 119/200 | Reduced graphene oxide-based electrochemical sensors to detect Rhodamine B molecules: A Review
[NO] 120/200 | 3D-Printed Folded Transmitarray with Gain-Filtering Response and Low Cross-Polarization_supp1-3692666.pdf
[NO] 121/200 | Hyperchaotic Privacy-Preserving Cooperative Adaptive Control With Application to Multimotor Systems
[NO] 122/200 | Transformer-Based Modeling of Global Microwave Land Surface Emissivity Using GPM
[NO] 123/200 | Toward Automatic GI Tract Intervention With a Novel Shape-Aware Robotic Endoscope_supp1-3684235.mp4
[NO] 124/200 | DrlGoFPGA 2.0: FPGA Global Placement Based on Multi-Agent Graph Transformers and Nonlinear Placement Co-Optimization
[NO] 125/200 | RGS: A Unified Representation-Generation-Selection Framework for Knowledge-Based Visual Question Answering_supp1-3689433.pdf
[NO] 126/200 | MFS-VQ-VAE: Synthesizing 7T-like MR images from 1.5T MR images with Prompt Attention in VQ-VAE
[NO] 127/200 | Phase Compensator Placement and Design for Subsynchronous Oscillation Damping of Multi-loop Grid-Forming Converters
[NO] 128/200 | Colored Traveling Salesman Problems: Models, Solutions, and Applications_supp1-3686623.pdf
[NO] 129/200 | Gain-scheduling Offline MPC for Air Path qLPV System Control in Spark Ignition Engine using Electric Supercharger
[NO] 130/200 | Teachers’ Continuance Use of AIGC in Practice-Oriented Courses—Evidence from E-commerce Live Streaming Teaching
[NO] 131/200 | AR for Cultural Heritage: Insights from a Moroccan Educational Study
[NO] 132/200 | Research on Multi-dimensional CIM Dynamic Modeling and Lightweight Fusion Algorithm for Facility Operation and Maintenance
[NO] 133/200 | Smart Shoe for Gaming: An Integrated Wearable Shoe for Motion-Based Interaction and Physical Activity Enhancement
[NO] 134/200 | A Boundary-Aware Attention Mechanism For Accurate Skin Lesion Segmentation And Classification Using ABR-Net
[NO] 135/200 | Model-Based Analysis and Evaluation of an Origami Encounter-type Wearable Device
[NO] 136/200 | High-Precision Positioning Control of Piezoelectric Inertial Driver Based on High-Voltage Sawtooth Wave and Segmented PID
[NO] 137/200 | BoxCall AI: An Intelligent Predictive Inventory Management System for Automotive Spare Parts Using XGBoost Regression and Advanced Time-Series Feature Engineering
[NO] 138/200 | Teleoperated Robotic Mission for Sensor Calibrations in Hazardous Environments
[NO] 139/200 | Quantum-Ready Education: Preparing Students for Post-Quantum Computing Societies
[NO] 140/200 | Exploration of Optimizing Graduate Curriculum System Based on the Concept of Personalized Learning Using Particle Swarm Optimization Algorithm
[NO] 141/200 | Generative AI-Driven Multi-Vector Phishing, Vishing, and Smishing Emulation with Adaptive Defense Training Framework
[NO] 142/200 | Federated Learning as REINFORCE Learning
[NO] 143/200 | Eagle-Eye Based Pain and Myocardial Infarction Monitoring and Control System Using Hierarchical Neuro-Physiological Intelligence
[NO] 144/200 | Ageing Monitoring for Commercial Microcontrollers Based on Timing Windows
[NO] 145/200 | The Application of the Improved AES Algorithm in Information Security of Embedded Systems
[NO] 146/200 | A Multi-Fusion Multi Staged Transfer Learning in Classification of Lung Disease Images with Applied CLAHE Algorithm
[NO] 147/200 | Quantum-Enhanced AI Framework for Classification of Encryption Techniques in Medical Image ROIs for Secure Transmission
[NO] 148/200 | Research on Railway Track Foreign Object Detection of Lightweight Model Based on YOLOv11 with Fusion Attention
[NO] 149/200 | A Study of Enhancing C Programming Education through AIGC-Integrated Hybrid Learning
[NO] 150/200 | A Review of Control Interfaces for Telepresence Robots: Trends, Challenges, and Opportunities
[NO] 151/200 | Agentic Fuzzy Control: A Dual-Loop Framework for Self Adaptive IoT Systems
[NO] 152/200 | Deep-learning Architecture for Malaria Detection from Blood Cell Images: An Analysis
[NO] 153/200 | A Framework on Automatic Speech Recognition Systems Using Natural Language Processing
[NO] 154/200 | Real-Time Signal Quality Monitoring and Interference Detection Using RTL-SDR: A Hybrid PSD Thresholding and PSO-Adaptive Line Enhancement Approach
[NO] 155/200 | Graph Contrastive Learning for Function-Level Code Vulnerability Detection
[NO] 156/200 | An IoT-Enabled Smart Electricity Meter Integrating Advanced Analytics and Voice-Based Mobile Interaction
[NO] 157/200 | Optimizing Retinal Vessel Segmentation Performance Through a Systematic Comparison of Modified U-Net Variants
[NO] 158/200 | Measuring Privacy vs. Fidelity in Synthetic Social Media Datasets
[NO] 159/200 | AI Regulation in U.S. States: Lessons Learned and Key Takeaways
[NO] 160/200 | ICEIT 2026 TOC
[NO] 161/200 | Distributed and Crowdsourced Artificial Intelligence: Enabling a Robust and Scalable 6G Network Architecture
[NO] 162/200 | ICEIT 2026 Content Announcement Page
[NO] 163/200 | Bita: A Conversational Assistant for Fairness Testing
[NO] 164/200 | Multi-Point Simultaneous Tactile Force and Location Sensing through Soft Acoustic Waveguides
[NO] 165/200 | IEEE Women in Engineering
[YES] 166/200 | Opportunistic Transmission Empowered Rate-Splitting Multiple Access for Military Communications: Approaches and Challenges
[NO] 167/200 | Toward Energy Efficiency in O-RAN: A Digital Twin for Carbon-Aware 6G Networks
[NO] 168/200 | An Air-Jet Continuum Robot for Industrial Integrated Fluidic Circuit Inspection_supp7-3682403.mp4
[NO] 169/200 | A Novel Causal Robust Soft Sensor for Industrial Processes With Data Distribution Drift
[NO] 170/200 | An Air-Jet Continuum Robot for Industrial Integrated Fluidic Circuit Inspection_supp2-3682403.pdf
[NO] 171/200 | Hybrid Modeling and Simulation for Urban Mobility: A Systematic Review and Future Research Agenda
[NO] 172/200 | Unlinkable and Decentralized Credential Management for Agentic AI
[NO] 173/200 | Fine-Grained Fashion Feature Embedding for Global, Local, and Contextual Analysis in Fashion Social Media Popularity Prediction_supp1-3694039.pdf
[NO] 174/200 | STATE: Safe and Threatening Adversarial Trajectory Engine_supp1-3694239.pdf
[NO] 175/200 | Boosting Trimmed Tree With Inner Boundary for Network Resilience-Oriented Connectivity Improvement
[NO] 176/200 | Tensor Product-Based Fractional Order Sliding Mode Control for Biological Pest Regulation in Agroecosystems
[NO] 177/200 | A Multi-Faceted Performance Evaluation of Metaheuristic Optimization Techniques in Radial and Meshed Distribution Networks
[NO] 178/200 | Vector-Guided Embezzler: A Reconstruction Attack Against Retrieval-Augmented Generation in Agentic AI Communication
[NO] 179/200 | Heat Transfer Modeling of MHPA-Cooled Electrical Machines Using Modular 3D LPTN with Parameter Calibration
[NO] 180/200 | Millimeter Wave Inverse Pinhole Imaging
[NO] 181/200 | Trust-Aware Intrusion Detection Framework for AI-Augmented Vehicular Digital Twin
[NO] 182/200 | VOLE-PDRAA: An Efficient Privacy-Preserving Data Retrieval Protocol with Anonymous Authorization Based on Vector-OLE
[NO] 183/200 | Processing-in-Memory Architecture for In-Storage Information Retrieval on 3-D NAND Flash Solid-State Drives
[NO] 184/200 | Agentic Artificial Intelligence Framework for Automated Adverse Drug Reaction Detection and Analysis
[NO] 185/200 | Semantic Intention-Driven Service Composition in SOA: A Context-Aware Case Study in Smart Buildings
[NO] 186/200 | Research on the Investigation and Improvement Path of College English Teachers' Digital Intelligence Literacy Based on the Use of Digital Intelligence Platform
[NO] 187/200 | Building an Inclusive Framework for Chinese Language Learning Supported by Generative AI: A Case-Based Analysis
[NO] 188/200 | Digital Era Insights into Online Technical Readiness and Teaching Effectiveness: The Mediating Role of Teaching Presence
[NO] 189/200 | Modeling of Fundamental Manufacturing Process Based on Multi-Level Directed Acyclic Graph
[NO] 190/200 | Aero-Engine Remaining Useful Life Prediction Based on Temporal Attention-Augmented Dual-Stream Feature Fusion
[NO] 191/200 | Gen-PBL in Vocational Big Data Education: Exploring Cognitive Offloading Behaviors via Structured GenAI Scaffolding
[NO] 192/200 | AI-Empowered Heterogeneity Response in Remote Classrooms: A Qualitative Study on the Mechanism of Human-AI Collaborative Assessment and the Construction of a Dynamic Ecological Model
[NO] 193/200 | MST-DeepLabV3+: An Integrated Deep Learning System for Real-Time Satellite-Based Flood Extent Mapping With Production-Grade Deployment
[NO] 194/200 | Inverting the Cross-Modal Experience of a Soft Haptic Display for Virtual Touch Interactions at a Science Festival
[NO] 195/200 | HERMES: An FPGA-Based Multi-Cipher HSM for Resource-Constrained IoT Systems
[NO] 196/200 | Integrate Augmented and Virtual Reality Settings for Digital Twins: Coordinated Representation and Management of Continuous Manufacturing Operations
[NO] 197/200 | Contrastive Regularization for Spectral Graph Networks in Hyperspectral Image Classification
[NO] 198/200 | Learning Adaptive Rules and Confidence-Based Engine for Finding Security Incidents by Pattern Correlation
[NO] 199/200 | Predictive Maintenance Framework for Utility-Scale Solar Farms Using Wireless Networks, UAV Inspection, and Robotic Cleaning
[NO] 200/200 | AIGC-Driven Intelligent Teaching Transformation of Urban and Rural Planning Design Courses
筛选完成：共 200 篇；Yes = 3 篇；已保存到 papers/select_paper2026-05-19.json。
邮件发送成功！
[2026-05-20 12:13:28] 任务执行成功！
