[2026-03-13 09:34:24] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-03-12
正在获取论文...
[arXiv] 2026-03-12 | Rediscussion of eclipsing binaries. Paper XXIX. The F-type twin system BS Draconis
[NO] 71/200 | Mitigating the Multiplicity Burden: The Role of Calibration in Reducing Predictive Multiplicity of Classifiers
[NO] 72/200 | Semi-Synthetic Parallel Data for Translation Quality Estimation: A Case Study of Dataset Building for an Under-Resourced Language Pair
[NO] 73/200 | Dimensional Scaling Laws for Continuous Fluid Antenna Systems
[NO] 74/200 | Software-Hardware Binding for Protection of Sensitive Data in Embedded Software
[NO] 75/200 | When OpenClaw Meets Hospital: Toward an Agentic Operating System for Dynamic Clinical Workflows
[NO] 76/200 | Revisiting early afterglows of gamma-ray bursts with finite-thickness ejecta: Implications from XRF 080330 and GRB 080710
[NO] 77/200 | Intrinsic violation of the Wiedemann-Franz law in interacting systems
[NO] 78/200 | Weak integrability breaking perturbations in classical integrable models on the lattice
[NO] 79/200 | The number of measures on very large measurable cardinals
[NO] 80/200 | Mpemba Effect in Many-Body Systems Near Equilibrium
[NO] 81/200 | Effective Degrees of Freedom for Balanced Repeated Replication and Paired Jackknife Variance Estimates: A Unified Approach via Stratum Contrasts
[NO] 82/200 | Inverse $t$-source problem and a strict positivity property for coupled subdiffusion systems
[NO] 83/200 | Cayley Commutator-free Methods for Krotov-Type Algorithms in Quantum Optimal Control
[NO] 84/200 | Non-uniform $α$-Robust Alikhanov Mixed FEM with Optimal Convergence for the Time-Fractional Allen--Cahn Equation
[NO] 85/200 | Experimental Demonstrations of Coherence de Broglie Wavelength for Scalable Superresolution with Near-perfect Fringe Visibility
[NO] 86/200 | STAIRS-Former: Spatio-Temporal Attention with Interleaved Recursive Structure Transformer for Offline Multi-task Multi-agent Reinforcement Learning
[NO] 87/200 | On the Unit Teissier Distribution: Properties, Estimation Procedures and Applications
[NO] 88/200 | Causal Prosody Mediation for Text-to-Speech:Counterfactual Training of Duration, Pitch, and Energy in FastSpeech2
[NO] 89/200 | From Control to Foresight: Simulation as a New Paradigm for Human-Agent Collaboration
[NO] 90/200 | An Improved Interpolation Theorem and Disproofs of Two Conjectures on 2-Connected Subgraphs
[NO] 91/200 | One-Shot Individual Claims Reserving
[NO] 92/200 | QChunker: Learning Question-Aware Text Chunking for Domain RAG via Multi-Agent Debate
[NO] 93/200 | OmniForcing: Unleashing Real-time Joint Audio-Visual Generation
[NO] 94/200 | All-electrostatic valley qubit gates in tilted Dirac-Weyl semimetals
[NO] 95/200 | VisDoT : Enhancing Visual Reasoning through Human-Like Interpretation Grounding and Decomposition of Thought
[NO] 96/200 | Personalized Federated Learning via Gaussian Generative Modeling
[NO] 97/200 | Upper bound of some character ratios and large genus asymptotic behavior of Hurwitz numbers
[NO] 98/200 | Performance Evaluation of Open-Source Large Language Models for Assisting Pathology Report Writing in Japanese
[YES] 99/200 | Radio Radiance Field: The New Frontier of Spatial Wireless Channel Representation
[NO] 100/200 | Unsupervised LiDAR-Based Multi-UAV Detection and Tracking Under Extreme Sparsity
[NO] 101/200 | An Adaptive Method Integrating Land Cover for Homogeneous Pixel Identification: alphaHTCI_supp1-3672127.pdf
[NO] 102/200 | Copyright Page
[NO] 103/200 | SCC 2025 Copyright Page
[NO] 104/200 | SCC 2025 Copyright Page
[NO] 105/200 | SCC 2025 Copyright Page
[YES] 106/200 | PGA Scheme for MAR Maximization in IRS-assisted UAV NOMA Communication Systems
[NO] 107/200 | An RSU-Assisted Trusted and Efficient Task Offloading Strategy for Vehicular Edge Computing
[NO] 108/200 | Over-the-Air Transmission Aided Distributed Resource Block Allocation for Wideband Cell-Free Systems
[NO] 109/200 | Cultivating Connection: A Feasibility Study of Robot-Mediated Plant Care and Emotional Support for Older Adults
[NO] 110/200 | Understanding the Formation of Human-Robot Rapport to Facilitate Positive Long-Term Human-Robot Interaction
[NO] 111/200 | Do We Really Need a Robot Here? Exploring Stakeholders’ Voices in Human-Robot Interaction
[NO] 112/200 | Co-designing a Social Robot for Newcomer Children’s Cultural and Language Learning
[NO] 113/200 | Ghost in the Machine: Exploring Designed Fear in HRI
[NO] 114/200 | RelOrb: Relative Orbiting for Teleoperation
[NO] 115/200 | iSense Beyond: Multi-modal Haptic Guidance and Sensor Fusion for Enhanced Accessibility
[NO] 116/200 | Automatic Mapping of AutomationML Files to Ontologies for Graph Queries and Validation
[NO] 117/200 | A 6-DOF 3D-Printed Intelligent Robotic Manipulator for Automated Material Sorting (Feb 2026)
[NO] 118/200 | An Improved Graph Kolmogorov Arnold Network based on Mixture of Experts and its application in the key variable Prediction of aero-engine casing manufacturing process
[NO] 119/200 | AI-Enabled Human Activity Recognition: Bridging Contact-Based and RF-Based Contactless Sensing Paradigms — A Review
[NO] 120/200 | Uncertainty-Aware Multimodal Anomaly Detection for Microservice Systems with Active Learning
[NO] 121/200 | IEEE Security and Privacy Subscription
[NO] 122/200 | SEFANet: Spectrum-Enhanced Feature Aggregation Network for Salient Object Detection in Hyperspectral Images
[NO] 123/200 | FEMS-DETR: A Frequency-Enhanced Transformer for Object Detection in Remote Sensing Images
[NO] 124/200 | Global Modeling Matters: A Fast, Lightweight and Effective Baseline for Efficient Image Restoration
[NO] 125/200 | LearnMat: Semantic-Aware Self-Supervision Fine-Grained Visual Recognition
[NO] 126/200 | Revisiting the Adversarial Transferability: Towards a Perspective of Semantic Preservation
[NO] 127/200 | <i>Tiga:</i>
                    Autonomous Hybrid Active-Passive Communication for Ambient IoT System
[NO] 128/200 | VR-Based Teleoperation Framework: Integration of Haptic Feedback and Singularity Management
[NO] 129/200 | On the Efficiency of a Misspecified Contaminated Nonlinear Regression Model: Application to Time-Delay and Doppler Estimation
[NO] 130/200 | Control of artificial ecosystems: A model for environment-entity regulation
[NO] 131/200 | Real-Time Behavioral and Physiological Monitoring via mmWave Radar
[NO] 132/200 | Green Clean Software Sustainability
[NO] 133/200 | Tradeoffs in Energy Efficiency for Safety Supervisors for Adaptive Cruise Controllers
[NO] 134/200 | A Comparative Finite Element Analysis of Lightweight Sandwich Structures for Packaging Applications
[NO] 135/200 | Artificial Intelligence In Cognitive Impairment:Research Landscape and Emerging Fronts in Early Detection and Diagnosis
[NO] 136/200 | Ensembled Deep Learning (DL) Methods for Detecting Skin Cancer Using CNN Algorithm with Multi Model
[NO] 137/200 | Graph Your Way to Inspiration: Integrating Co-Author Graphs with Retrieval-Augmented Generation for Large Language Model Based Scientific Idea Generation
[NO] 138/200 | Enhancing STEM Education Through an Augmented Reality-Integrated Hybrid Learning Model and Learning Management Systems
[NO] 139/200 | An Idle-Stroke Underactuated Gripper with Independent Double-Parallelogram Linkages for Pinching and Adaptive Grasping*
[NO] 140/200 | Design and Optimization of Multi-Stage WiFi Antenna Arrays at 2.45 GHz: A Comparative Study of Electrical and Radiation Performance
[YES] 141/200 | Environment-Aware Channel Measurement and Modeling for Terahertz Monostatic Sensing
[NO] 142/200 | A Preconditioned Hessian-Like Proximal Gradient Algorithm for Sparse ML-DOA Estimation
[NO] 143/200 | Can Agentic AI Match the Performance of Human Data Scientists?
[NO] 144/200 | CAGNet: HVI-based Dual-Path Underwater Image Enhancement
[NO] 145/200 | Accelerating Machine Learning using RISC-V Vector Extension in a Manycore Platform
[NO] 146/200 | LiC: Low-Cost Cache Replacement Algorithm for All Cache Levels
[NO] 147/200 | Air Quality Prediction with Bi-Directional Gated Recurrent Unit (Bi-GRU)
[NO] 148/200 | Multi-Rail Flyback Auxiliary Power Supply with 9–70V Input for Bidirectional DC-DC Converter Control
[NO] 149/200 | Multi-Modal Latent Diffusion using Information Disentangling Autoencoders
[NO] 150/200 | Bipolar Joint Energy: Energy-Based Multi-Label OOD Detection with Bipolar Networks
[NO] 151/200 | Variable-Gain RISE Control for Human Upper-Limb Exoskeleton in Passive Rehabilitation
[NO] 152/200 | Design and Validation of an Autonomous IoT Collar for Bovine Monitoring in the Bolivian Altiplano
[NO] 153/200 | Mapping Research Trends in Extended Reality for Dementia and Cognitive Impairment
[NO] 154/200 | Towards a Child-Appropriate LLM for Child–Robot Conversation
[NO] 155/200 | How Neurotypical and Autistic Children Interact Nonverbally with Anthropomorphic Agents in Open-Ended Tasks
[NO] 156/200 | Designing Intuitive Human–Drone Interfaces for Post‑disaster Response
[NO] 157/200 | Cover Page
[NO] 158/200 | SCC 2025 Copyright Page
[NO] 159/200 | A DC–65-GHz Modulator Driver With 4-V
                    <sub>ppd</sub>
                    Linear Output Swing for 112-GBaud Optical Transceivers in 180-nm SiGe BiCMOS
[NO] 160/200 | A 4-Port 1×8 MIMO Antenna Array for 24 GHz Radars with Enhanced Gain and Isolation Using a Decoupling Metamaterial
[NO] 161/200 | Phase Drifts and Signal Dispersion in Coaxial Cables
[NO] 162/200 | Unlock the Potential of Large Language Models for Predictive Tabular Tasks in Data Science With Table-Specific Pretraining
[NO] 163/200 | Optimization Design of Bearing Insulation for Traction Motors of High-Speed Trains under Overvoltage Impulses
[NO] 164/200 | ICRNet: Semantic Segmentation of Remote Sensing Images Based on Integrating Global and Local Class Representations
[NO] 165/200 | A Multi-Band Spectral Information and Multi-Scale Center-Guided Spatial Information Learning Framework for HSI Few-Shot Classification
[NO] 166/200 | Operationalizing Meaningful Human Control for Human-Robot Interface Design
[NO] 167/200 | LLM-Glasses: GenAI-Driven Glasses with Haptic Feedback for Navigation of Visually Impaired People
[NO] 168/200 | Conversational AI without the Cloud: A Lightweight, Local Dialogue Pipeline for Non-commercial Social Robots
[NO] 169/200 | Towards Understanding and Optimizing Social Comfort in Human-Robot Navigation
[NO] 170/200 | Goobo: A Multimodal, Context-Aware Dialogue Platform for Personalized Embodied Character Interaction
[NO] 171/200 | RBTLR: A Framework for Safe Social Robot Navigation in Novel Human-Centric Environments
[NO] 172/200 | Show Your Work: Mechanistic Transparency in LLM-Powered Human-Robot Interaction
[NO] 173/200 | A User Study on the Suitability of Teleoperation Interfaces for Primitive Manipulation Tasks
[NO] 174/200 | Bad Idea or Good Prediction? Comparing VLM and Human Anticipatory Judgment
[NO] 175/200 | Beyond the Novelty Effect: Mathematical Frameworks for Sustainable Robot-Assisted Habit Formation
[NO] 176/200 | A Comparative Assessment of the Social Robots Blossom and Miroka using ASAQ and ASOR
[NO] 177/200 | SCC 2025 Copyright Page
[NO] 178/200 | SCC 2025 Copyright Page
[NO] 179/200 | SCC 2025 Copyright Page
[NO] 180/200 | Thermal Dispersive Variation in Quality Factor of Resonances for Broad and Multiband THz Absorber
[NO] 181/200 | Redistribution Layer Routing for Fan-Out Wafer-Level Packaging Considering Multiple Advanced Design Rules
[NO] 182/200 | Saliency-Aware Adversarial Attacks on Visual Trackers
[NO] 183/200 | Surface Stress Characterization and Trends in Thermally Strengthened Photovoltaic Module Glass
[NO] 184/200 | DynNet: A Lightweight Distributed Framework for Topology Obfuscation in Dynamic Networks
[NO] 185/200 | Energy Management Strategy for Fuel Cell Hybrid Electric Vehicle Based on Driving Pattern Recognition with Fuzzy C-means Clustering
[NO] 186/200 | A 134-MHz UGB Capacitorless GaN-Based LDO With Wide Load Range and High-Temperature Stability
[NO] 187/200 | A comparative study of low-level jets in different climate regions in China using multi-site Doppler wind lidar observations_supp1-3672972.docx
[NO] 188/200 | The True Cost of AI Assistance to Programming of Software
[NO] 189/200 | Path Departure Risk Assessment and Hierarchical Longitudinal Control for Autonomous Mining Trucks
[NO] 190/200 | Optimizing EEG Signal Quality and Streaming Performance in BCIs Using ADS1299EEG-FE
[NO] 191/200 | Credit Risk early warning Research based on Multisource Heterogeneous Data
[NO] 192/200 | Evaluating Urban Livability through Aesthetic and Environmental Index: A Spatial Framework for Bandung City
[NO] 193/200 | A Comparative Study on Deep Learning Models for Facial Expression Recognition
[NO] 194/200 | Financial Transmission Rights–Based Economic Instruments for Congestion Management in Electricity Markets
[NO] 195/200 | FairSCOSCA: Fairness At Arterial Signals — Just Around The Corner
[NO] 196/200 | Deep Learning-Based Estimation of Li-Ion Battery State of Charge: Comparative Analysis of CNN, LSTM, and GRU Approaches
[NO] 197/200 | A Systematic Classification Study for Single-trial EEG-based Target Detection during RSVP Task
[NO] 198/200 | AI Enhanced Data Privacy in Retail CRM Systems
[NO] 199/200 | Inter-chip Clock Network Synthesis on Passive Interposer of 2.5D Chiplet Considering Transmission Line Effect
[NO] 200/200 | IoT and AI-Based Approach for Smart Hydroponic pH Control and Lettuce Disease Detection
筛选完成：共 200 篇；Yes = 6 篇；已保存到 papers/select_paper2026-03-12.json。
邮件发送成功！
[2026-03-13 10:03:03] 任务执行成功！
