[2026-06-24 11:40:55] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-23
正在获取论文...
[arXiv] 2026-06-23 | Application of Deep Learning to Jet Charge Discrimination
[NO] 71/200 | The 4-move kills the Alexander polynomial
[NO] 72/200 | MotifGen: Spatiotemporal interpolation of misaligned satellite images via multi-source generative modeling, in an application to tropical cyclones
[NO] 73/200 | Social Structure Matters in 3D Human-Human Interaction Generation
[NO] 74/200 | Doppler-enhanced superheterodyne Rydberg microwave receiver
[NO] 75/200 | One-dimensional self-organization of water molecules in proton conducting Andersson-Wadsley titanates
[NO] 76/200 | Ground-State Energy Solutions of the Lithium Atom: Zeroth-, First-, and Second-Order Perturbation Theory and the Variational Method
[NO] 77/200 | SP-Mind: An Autonomous Reasoning Agent for Spatial Proteomics Analysis
[NO] 78/200 | FlowR2A: Learning Reward-to-Action Distribution for Multimodal Driving Planning
[NO] 79/200 | Semi-asynchronous Federated Learning in Flower: Framework Extension and Performance Assessment
[NO] 80/200 | Nonradiative Multiphonon Model of Deep-Level Transient Spectroscopy: Beyond Henry-Lang Model
[NO] 81/200 | Addressing the lightest $S$-wave strange $K_0^*(700)/κ$ resonance in four-body semileptonic $\bar{B}_s^0 \to K^0π^+ \ell^-\barν_\ell$ decays
[NO] 82/200 | Decoherence as Defence and the Magnitude of Noise Regularisation: A Rigorous N -Qubit Theory of Stochastic Quantum Neural Networks for Adversarially Robust Network Intrusion Detection
[NO] 83/200 | Path Space Robust Bayesian Portfolio Selection
[NO] 84/200 | MMed-Bench-IR: A Heterogeneous Benchmark for Multilingual Medical Information Retrieval
[NO] 85/200 | New Tower-Type Lower Bounds for Hypergraph Ramsey Numbers
[NO] 86/200 | Co-occurring associated retained concepts in Diffusion Unlearning
[NO] 87/200 | Towards Fast and Effective Long Video Understanding of Multimodal Large Language Models via Adaptive Quasi-Gaussian Sampling
[NO] 88/200 | Initial-state-dependent dephasing effect in non-Hermitian Su-Schrieffer-Heeger models
[NO] 89/200 | Project Ariadne: Prompt-Conditioned Route Generation for Synthesis Planning
[NO] 90/200 | Widefield Spectroscopic Telescope (WST): coating strategy to achieve high optical throughput
[NO] 91/200 | CORE-BREW: LLR-Based Soft Decoding for Robust Multi-Bit LLM Watermarking
[NO] 92/200 | Differential Unfolding: Efficient Unfolding Reconstruction for Video Snapshot Compressive Imaging
[NO] 93/200 | A Novel Arm-Length Stabilization Scheme for Gravitational-Wave Detectors with AlGaAs/GaAs Coated Mirrors
[NO] 94/200 | Sat2City v2: Native 3D City Asset Generation from a Single Satellite Image
[NO] 95/200 | Uniform Sampling from High-dimensional Spectral Norm Balls
[NO] 96/200 | Bayesian analysis of Gaia epoch astrometry and radial velocities with kima
[NO] 97/200 | Minimal Extensions of the $α$-Starobinsky Model: Reconciling ACT DR6 and Reheating Constraints
[NO] 98/200 | Aligning MusicLLM with Emotion using Instruction Tuning and Feedback-Driven Alignment
[NO] 99/200 | Bengal-HP_RU: A Dataset of Bengal People For Head Pose Estimation
[NO] 100/200 | DoHFuse: A Dual-Branch Architecture with DMAGLSTM for Website Fingerprinting over DNS over HTTPS/3
[NO] 101/200 | Rethinking Prototype Fidelity in the Age of Generative AI: When High-Fidelity Becomes Cheap, It's Time to Revisit Our Foundational Design Wisdom
[NO] 102/200 | Like It or Not — Recommender Systems Lack a Coherent Normative Foundation
[NO] 103/200 | BengaliMoralBench: A Benchmark for Auditing Moral Reasoning in Large Language Models within Bengali Language and Culture
[NO] 104/200 | Reproducibility Report for the Paper: “Mathematical Modeling Framework for Comparison of Vaccination Strategies for Different Diseases”
[NO] 105/200 | Auditing LLM-Governed Social Robots with Culture-Specific Moral Gradients
[NO] 106/200 | Frictionless Love: Associations Between AI Companion Roles and Behavioral Addiction
[NO] 107/200 | With a Little Help From My Friends: Collective Manipulation in Risk-Controlling Recommender Systems
[NO] 108/200 | Humans-in-the-Contestability-Loop: Designing for Social Counselors to Understand and Challenge Algorithmic Decisions
[NO] 109/200 | What Do People Actually Want From AI? Mapping Preference Plurality
[NO] 110/200 | RSTG: Robust Generation of High Quality Spatial Transcriptomics Data using Beta Divergence Based AutoEncoder_supp1-3703750.docx
[NO] 111/200 | Physics-Shielded Deep Reinforcement Learning for Adaptive Emergency Frequency Control
[NO] 112/200 | Table of Contents
[NO] 113/200 | Preface
[NO] 114/200 | Author Index
[NO] 115/200 | Nonnuclear High-Energy Plasma Furnace With Hybrid Inductive and Electron-Capture Conversion
[NO] 116/200 | Location-Aware Beam Allocation for Robust Beam Alignment in Low-SNR Environments
[NO] 117/200 | Title Page iii
[NO] 118/200 | A Hardware-Efficient Posit Fused Dot-Product Architecture with Lightweight Sigmoid and Tanh for RNN Inference
[NO] 119/200 | 2026 Action Plan for YP Activities and Primary Focus Areas [Students and Young Professionals News]
[NO] 120/200 | DRPplace: Reinforcement Learning-Based Hierarchical Geometric Placement with Polygon-Aware Whitespace Management
[NO] 121/200 | Frequency Reconfigurable Circularly Polarized Resonator for Quantum Microwave Sensing
[NO] 122/200 | TCNA: A Temporal Convolutional Network with Attention for Real-Time Multi-class ECG Classification at the Edge.
[NO] 123/200 | User-Centered Development and Evaluation of an Energy Information System: Incremental System Instantiations using Design Science and Multi-Method Evaluation_supp6-3705235.pdf
[NO] 124/200 | Wildfire Fire-Smoke Detection in UAV Imagery via Scale-Guided Feature Routing and Uncertainty-Aware Localization
[NO] 125/200 | User-Centered Development and Evaluation of an Energy Information System: Incremental System Instantiations using Design Science and Multi-Method Evaluation_supp7-3705235.pdf
[NO] 126/200 | Speech Intelligibility Prediction Inspired by Processing Auditory Information for Hearing-impaired Listeners
[NO] 127/200 | Riemannian Optimization Framework on the Generalized Quaternionic Stiefel Manifold
[NO] 128/200 | Delay-Attack-Resistant Byzantine Fault-Tolerant Secret Sharing for Distributed Privacy-Preserving Machine Learning_supp1-3701888.pdf
[NO] 129/200 | Openhands: A Skeleton-Based Graph Convolutional Framework for Large-Scale Sign Language Recognition and LLM-Driven Sign Language Generation
[NO] 130/200 | Affordable Autonomy in Practice: Two Use Cases
[NO] 131/200 | SmartFusion-SLAM: From Passive Fusion to Temporal Uncertainty-Aware Sensor Adaptation in BEV SLAM
[NO] 132/200 | A Unified CNN–Transformer–based Multi-Modal Framework for Deepfake and AI-Generated Social Engineering Attack Detection
[NO] 133/200 | Hybrid Deep Learning Framework for Real-Time Shoe and ID Card Compliance Monitoring using YOLOv8 and MLP
[NO] 134/200 | Fault Identification and Automatic Disposal of Network Operation and Maintenance Based on Deep Learning
[NO] 135/200 | Cyberbullying Detection for Various Indian Regional Languages Using ERNIE-RNN Ensemble Model and XAI
[NO] 136/200 | FaNet: A Frequency-Aware Multi-Scale Fusion Framework for Spatio-Temporal Action Detection
[NO] 137/200 | Dense Neuro Fuzzy Transformer Framework for fMRI Based Autism Spectrum Disorder Diagnosis
[NO] 138/200 | Fabrication of SiO
                    <sub>2</sub>
                    Microchannels Using Photoresist Dewetting for Sacrificial Cores
[NO] 139/200 | Design and Implementation of a Li-Fi based Visible Light Communication System for High-Speed Indoor Wireless Data Transmission
[NO] 140/200 | A Process-Aware Multi-Task U-Net Framework for Mixed Wafer Defect Localisation and Diagnosis in Semiconductor Manufacturing
[NO] 141/200 | A Modular Deep Learning Pipeline for Real-Time Text-To-Sign Language Translation
[NO] 142/200 | Optimizing FACTS Devices Placement Using PSO for Sustainable Energy Management
[NO] 143/200 | Performance Analysis of Classical and Modern Cryptographic Algorithms: From Caesar to AES
[NO] 144/200 | Feature-Centric Telemedicine NLP: A Survey of Datasets, Representations, and Selection Methods for Virtual Care
[NO] 145/200 | Causal Digital Twin-Driven Emergency Material Demand Prediction for Post-Earthquake Disaster Management
[NO] 146/200 | Evaluating Machine Learning Models for Sentiment Analysis in Marathi–English Code-Mixed and Script-Mixed Text
[NO] 147/200 | Depression Detection using a Lightweight Transformer with SBERT
[NO] 148/200 | Comparative Modeling and Efficiency Analysis of Inductive Power Transfer Converters (IPTCs) for E-Scooter Charging
[NO] 149/200 | Corgi Dog Posture and Health Monitoring: A Multi-Task Framework Based on Improved YOLOv8
[NO] 150/200 | Improved IE-MPC Based Fault-Tolerant Path Tracking Control for Autonomous Vehicle
[NO] 151/200 | CNN and LSTM Based Early Detection Framework for Rhinoceros Beetle Infestation in Coconut Palms
[NO] 152/200 | Real-Time Detection of Scratching Behavior in Patients Using Camera and Pose Estimation
[NO] 153/200 | A Scalable IoT-Cloud Architecture for Wind Speed Prediction Leveraging LightGBM
[NO] 154/200 | Centralized Monitoring System Using Computer Vision Smart Infrastructure
[NO] 155/200 | Sustainable Incorporation of Marble Waste Enhanced with Additives in Construction Materials: A Comprehensive Review with Machine Learning Insights
[NO] 156/200 | Multi-DOF Disturbance Rejection Motion Control Technology for Underwater Robots in Complex Operating Conditions
[NO] 157/200 | BTFSO-WSN: A Blockchain-Integrated Fish Swarm Optimization–Driven Trust Model for Secure Routing in Wireless Sensor Networks
[NO] 158/200 | Speech Emotion Recognition Using Additive Attention Integrated with Bidirectional Long Short Term Memory Model for Temporal and Contextual Feature Learning
[NO] 159/200 | Enhancement of Dynamic Performance in Multi-Area Power Systems Using TCPS and SMES Units
[NO] 160/200 | A Machine Learning–Driven Framework for High-Precision Crop Yield Prediction and Agricultural Decision Support
[NO] 161/200 | An accurate health-monitoring method for IGBT power module in the traction system
[NO] 162/200 | Evolutionary Gravitational Neocognitron Neural Network, Snow Leopard Optimization and Deep Graph Reinforcement Learning for Routing Protocol in WSN
[NO] 163/200 | An Intelligent Ensemble-Based System for Chronic Kidney Disease Progression Prediction and Clinical Decision Support
[NO] 164/200 | Lightweight Two-Stage Intrusion Detection System in IoT Networks
[NO] 165/200 | Adaptive Hybrid Deep Learning Model for Accurate Solar Energy Estimation using Meteorological Data
[NO] 166/200 | Lightweight Distributed Consensus for IoT Edge Systems: A Hierarchical, Energy-Aware Protocol
[NO] 167/200 | Spiral-Drawing Analysis for Early Parkinson's Detection Using Image Processing and SVM Classification
[NO] 168/200 | Multilingual Speech to Text Recognition System
[NO] 169/200 | AGRO-AI: A Deep Learning and Multilingual Conversational System for Disease Detection in Guava and Dragon Fruit
[NO] 170/200 | Deep Attention-Based Sequential Ensemble Learning for BLE-Based Indoor Localization in Care Facilities
[NO] 171/200 | Research on Carbon Market Operation Decision Support System Based on Big Data and Computer Technology
[NO] 172/200 | A Hybrid Deep Learning Framework for Wild Animal Detection and Intelligent Alerting using YOLOv11, Faster R-CNN, and MobileNetV3
[NO] 173/200 | GrowWise SME: An AI-Driven Financial Advisory and Growth Support System using NLP
[NO] 174/200 | Spatio-Temporal Logic-Enhanced Visual Detection Method for Real-Time Installation Progress Monitoring of Complex Equipment
[NO] 175/200 | HS Code and Description Analyzer with RAG
[NO] 176/200 | Architecture Design and Security Verification of a Multi-Chain Cross-Chain Bridge for Cross-Market Financial Asset Transactions
[NO] 177/200 | YOLO-GE: A Lightweight Method for Object Detection in Remote Sensing Images
[NO] 178/200 | Privacy-Preserving Federated Learning-based Passive CAPTCHA System for Human-Bot Detection in nAadhaar-like Web Portals
[NO] 179/200 | Automated Bone Tumor Detection and Fracture Risk Assessment from X-Ray Images using Hybrid Deep Learning
[NO] 180/200 | Neural Network-Based Object Localization in Turbid Media
[NO] 181/200 | Development of 6.5kV/3kA IGBT-Based HVDC Sub-module with Energy Dissipation Function
[NO] 182/200 | Intrusion Detection in Communication Networks Using Sparse Autoencoder Driven Graph Attention Networks
[NO] 183/200 | Lost Spirits: An Interactive Encounter with a Fractured Soul
[NO] 184/200 | A Compact Wideband Corrugated Patch 4×4 MIMO Antenna with High Isolation for Sub-6 GHz 5G Applications
[NO] 185/200 | Learning to See the Unseen: A Machine Learning Approach for Deepfake Detection
[NO] 186/200 | Advancing Regulation in Artificial Intelligence: An Auction-Based Approach
[NO] 187/200 | Into the Unknown: Accounting for Missing Demographic Data when Mitigating Ad Delivery Skew
[NO] 188/200 | An Iterative Calibration and Validation Methodology for Large-Scale Traffic Simulations in SUMO
[NO] 189/200 | Proceedings of the 40th ACM SIGSIM International Conference on Principles of Advanced Discrete Simulation
[NO] 190/200 | ATLAS: From Access conTrol Language to ACSL Specifications
[NO] 191/200 | Range-Only SLAM: A Multihypotheses Extended Kalman Filter With Modulated Federated Information Sharing
[NO] 192/200 | BIEFC-DS: Bio-Inspired Evolving Fuzzy Clustering for Data Streams_supp1-3705660.pdf
[NO] 193/200 | Bundle Adjustment in the Eager Mode
[NO] 194/200 | Identification for Weighted Matrices of Delayed Multi-layer Stochastic Complex Network with Lévy Noise
[NO] 195/200 | Integrating Expert Knowledge into Logical Programs via LLMs
[NO] 196/200 | User-Centered Development and Evaluation of an Energy Information System: Incremental System Instantiations using Design Science and Multi-Method Evaluation_supp2-3705235.pdf
[NO] 197/200 | Memristor-Based Lightweight Meta Learning for Beam Prediction in Non-Stationary Environments
[NO] 198/200 | Comparing the Wavelet Scattering Transform and 1D Convolutional Neural Networks for Drone Propeller Fault Classification
[NO] 199/200 | EdgeCookie: A Mitigation Solution Against Threatening TCP DDoS Attack in Edge Cloud
[NO] 200/200 | IEEE Transactions on Terahertz Science and Technology Information for Authors
筛选完成：共 200 篇；Yes = 0 篇；已保存到 papers/select_paper2026-06-23.json。
邮件发送成功！
[2026-06-24 12:14:48] 任务执行成功！
