[2026-05-22 11:40:35] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-05-21
正在获取论文...
[arXiv] 2026-05-21 | Information-Theoretic Decentralized Secure Aggregation with User Dropouts
[NO] 72/200 | Physics-Informed Generative Solver: Bridging Data-Driven Priors and Conservation Laws for Stable Spatiotemporal Field Reconstruction
[NO] 73/200 | A First Measurement Study on Authentication Security in Real-World Remote MCP Servers
[NO] 74/200 | PACT: Reducing Alert Fatigue in Low-Prevalence SOC Streams with Triggered Active Learning
[NO] 75/200 | Cross-domain benchmarks reveal when coordinated AI agents improve scientific inference from partial evidence
[NO] 76/200 | Data-Driven Reduced Modeling of Delayed Dynamical Systems via Spectral Submanifolds
[NO] 77/200 | Mid-infrared temporal ghost imaging via two-photon structured encoding
[NO] 78/200 | Detection of Virus and Small Cell Patches in Foci Images Using Switchable Convolution and Feature Pyramid Networks
[NO] 79/200 | Randomized Flexible LSQR and LSMR with applications to inverse problems
[NO] 80/200 | Cellular resolutions of second powers of square-free monomial ideals with divisibility relations
[NO] 81/200 | Topological semimetals: surface transport and spin effects
[NO] 82/200 | Adaptive Measurement Allocation for Learning Kernelized SVMs Under Noisy Observations
[NO] 83/200 | MPDocBench-Parse: Benchmarking Practical Multi-page Document Parsing
[NO] 84/200 | Q-PhotoNAS: Hybrid Quantum Neural Architecture Search Framework on Photonic Devices
[NO] 85/200 | VISTA: Validation-Guided Integration of Spatial and Temporal Foundation Models with Anatomical Decoding for Rare-Pathology VCE Event Detection -- after competition results
[NO] 86/200 | A path-finding algorithm for computing minimal-weight-matching centrosymmetry parameter
[NO] 87/200 | Can Breath Biomarkers Causally Influence Blood Glucose? Investigating VOC-Mediated Modulation in Diabetes
[NO] 88/200 | From Reasoning Chains to Verifiable Subproblems: Curriculum Reinforcement Learning Enables Credit Assignment for LLM Reasoning
[NO] 89/200 | Behavior-Guided Candidate Calibration for Multimodal Recommendation
[NO] 90/200 | Duality theory for categorical theories
[NO] 91/200 | Hy-MT2: A Family of Fast, Efficient and Powerful Multilingual Translation Models in the Wild
[NO] 92/200 | On the structure of fine Mordell-Weil groups over a $\mathbb{Z}_p$-extension and its intermediate subextensions
[NO] 93/200 | Closed geodesics in short intervals for random hyperbolic surfaces
[NO] 94/200 | FlyRoute: Self-Evolving Agent Profiling via Data Flywheel for Adaptive Task Routing
[NO] 95/200 | Active Evidence-Seeking and Diagnostic Reasoning in Large Language Models for Clinical Decision Support
[NO] 96/200 | Achieving Directional-Stationarity from a Single Random Direction Step
[NO] 97/200 | Modelling hydroelastic flexure of arbitrarily shaped ice shelves forced by long ocean waves
[NO] 98/200 | SO-Mamba: State-Ownership Mamba for Unrolled MRI Reconstruction
[NO] 99/200 | Eigen for Statistical and Machine Learning Computing: A Lightweight C++ Tutorial with Python Bindings
[NO] 100/200 | Replay-guided Test-time Adaptation for Fault Diagnosis Under Unseen Operating Conditions
[NO] 101/200 | Evaluation of Monolingual and Multilingual Transformer Models for Nepali Headline Generation
[NO] 102/200 | Causality-Driven Test Case Minimisation for Cyber-Physical Systems
[NO] 103/200 | Robust Wearable Motion Recognition Using a Two-Stage FMG Pipeline with Rest Filtering and Placement Adaptation_supp1-3674514.pdf
[NO] 104/200 | FSS-DT: Secure Division-free Decision Tree Training and Inference via Function Secret Sharing
[NO] 105/200 | High-efficiency stacked Blumlein pulse generator using a multi-Boost topology with magnetic coupling suppression
[NO] 106/200 | Computational Empathy in Affective LLMs: Architectures, Evaluation, and Clinical Deployment Challenges
[NO] 107/200 | ANEP: Adaptive Newton Ego Planner for Multi-Waypoint UAV Trajectory Optimization in Constrained Environments
[NO] 108/200 | Optical Parametric Amplifier-enabled Wavelength-tunable Information Management across IQ Complex Plane
[NO] 109/200 | IEEE Transactions on Nuclear Science Information for Authors
[NO] 110/200 | Agent-Aided Design for Dynamic CAD Models
[NO] 111/200 | Scideator: Human-LLM Compound System for Scientific Ideation through Facet Recombination and Novelty Evaluation
[NO] 112/200 | PathwayVis: Interactive Visualization of Decision Pathways in a Tree-Based Machine Learning Model
[YES] 113/200 | Secure UAV-Assisted ISAC with Vehicular Jamming and Trajectory Optimization
[NO] 114/200 | Software Procurement Duplicate Detection Using Fuzzy Matching and LLM Verification
[NO] 115/200 | An Association Rule Based Approach to Analyze the Effect of Musical Rhythms and Brainwave Responses on Human Emotions
[NO] 116/200 | Prefrontal EEG Signal-Based Insomnia Classification Using EMD and Hybrid Features
[NO] 117/200 | Satellite-Based Modeling and Monitoring of Groundwater Storage Using Machine Learning
[NO] 118/200 | Postpartum Health Monitoring for Rural Women
[NO] 119/200 | A Dual-mode serial communication controller supporting both I
                    <sup>2</sup>
                    C and SPI protocols
[NO] 120/200 | Artificial Intelligence for Teaching Social Theories and Decision Making: A Paradigm Shift in Pedagogical Fuzzy Models
[NO] 121/200 | A Review of Different BLDC Motor Control Strategies in EV Application
[NO] 122/200 | Automated Seizure Detection: A Hybrid Spatio-Temporal Architecture
[YES] 123/200 | A Unified Downlink Multiple Access Framework: Bridging OMA, NOMA, and Rate-Splitting Transmission
[NO] 124/200 | Intrusion Detection System Using Distributed Deep Learning: An Optimized Pipeline to Speed Up High-Dimensional Data Learning
[NO] 125/200 | Deep Koopman Model Predictive Control for High-Precision Tracking of Delta Robots
[NO] 126/200 | Lattice Based Cryptography Implementation in Blockchain Technology
[NO] 127/200 | ARA-MAC: An Adaptive Receiver Alignment MAC Protocol for Buoy-Based Ocean Monitoring Networks
[NO] 128/200 | Social Robotic Surveillance and Manipulation: How Pervasive Data Collection, Personalisation, and Robotic Influence Could Harm Robot Users and Society
[NO] 129/200 | Author response for "Descriptor: LYNRED Mobility Dataset Multimodal Detection Subset (LYNRED-MDS)"
[NO] 130/200 | Analog Variance Noise Modulation: Detection by Extended Rao-Blackwellized Particle Filtering
[NO] 131/200 | DREAM-Mamba: Segmentation of VHR Remote Sensing Imagery Based on Dynamic Scanning and Adaptive Convolution
[NO] 132/200 | navCLIP: A Novel CLIP-guided Drone Navigation Model
[NO] 133/200 | Keynote Title
[NO] 134/200 | CIPHER 2026 Cover Page
[NO] 135/200 | QoE-Aware Multi-Representation Caching in Heterogeneous LEO Satellite–Edge Networks
[NO] 136/200 | Sensorless Fault-Tolerant Control of Single-Stator Dual-Rotor Contra-Rotating PMSM
[NO] 137/200 | Reliable Multi-View Clustering with Graph Neural Network
[NO] 138/200 | Adaptive Mamba Network Guided by Mixture of Experts for Infrared and Visible Image Fusion
[NO] 139/200 | Unique Window ESD Failure in LDMOS–SCR and Its Implication on Power-to-Fail Scalability
[NO] 140/200 | Adaptive Model Predictive Control of Magnetic Suspension Flywheel Battery Based on Autonomous Decision-Making Mechanism
[NO] 141/200 | Activity Monitoring System for Long-Term Care Bathrooms Using mm-Wave FMCW Radar
[NO] 142/200 | Bilateral Neurodynamic-Reconstructed Olfactory Model for Agricultural Product Recognition in Electronic Noses_supp1-3693348.pdf
[NO] 143/200 | Why We Need Ubiquitous and Pervasive Computing as a Research Community More Than Ever
[NO] 144/200 | Shift-and-Add (SAdd): Hardware-Aware Channel Characterization with Polar NRZ Stimuli_supp1-3694993.pdf
[NO] 145/200 | Generating Expressive and Customizable Evals for Timeseries Data Analysis Agents with AgentFuel
[NO] 146/200 | Power Allocation for SNR Optimization in OCDM-Based Underwater Acoustic Communications
[NO] 147/200 | A Multi-Agent Reinforcement Learning-Based Adaptive Scheduling MAC Protocol for AUV Formation
[NO] 148/200 | TTQMAC: A Q-Learning-Based Adaptive TDD-TDMA MAC Protocol for Large-Scale Underwater Acoustic Networks
[NO] 149/200 | Development of an Environmental Sensor System in the Life Mechatronics Symposium and its Use in Project-Based Learning
[NO] 150/200 | Intelligent Scheduling of AI Tasks in Kubernetes
[NO] 151/200 | Dagent: A Multi-Agent System for Device-Aware Assistance
[NO] 152/200 | Explainable Heterogeneous Federated Learning for Intrusion Detection in IIoT
[NO] 153/200 | Method for Identifying Changes Between Program Versions
[NO] 154/200 | Tensor Methods Outperform Transformers: A Comprehensive Comparative Analysis of Knowledge Graph Link Prediction Methods
[NO] 155/200 | Analysis of Lightweight CNN Models for Multi-Crop Leaf Disease Classification
[NO] 156/200 | Nanotube Transistor Architectures: Device Physics and Scalability Perspective
[NO] 157/200 | Comparative Evaluation of CNN Models for Maize Crop Disease Diagnosis
[NO] 158/200 | A Task-Oriented Characterization of Benchmark Datasets for Predictive Maintenance of Rolling Bearings
[NO] 159/200 | SPI based Secure Communication Framework for Industrial IoT
[NO] 160/200 | GNN-Based Malware Detection in IoT Networks: An Attack Graph Approach
[NO] 161/200 | Integrating Lean Healthcare Practices with Discrete-Event Simulation to Reduce Patient Waiting Time in Outpatient Clinics at a Sri Lankan Public Hospital
[NO] 162/200 | PerfBench: Can Agents Resolve Real-World Performance Bugs?
[NO] 163/200 | Accurate and Efficient Equivalent Circuit Modeling for Single-Port SAW Resonators_supp1-3692761.pdf
[NO] 164/200 | When Does Train-Time Masking Help? A Leakage-Controlled Robustness Audit of Tabular Classifiers Under Feature Missingness
[NO] 165/200 | IEEE Transactions on Nuclear Science Publication Information
[NO] 166/200 | Bearing-Only Tracking of Underwater Multiple Acoustic Sources Using Underwater Vehicles Under Latency and Packet Loss
[YES] 167/200 | Brewster Blind Spot: Polarization-Dependent Fisher Information Collapse in Sub-THz Penetration Sensing
[NO] 168/200 | Carrier-Based PWM Strategy of Three-Level Neutral-Point-Clamped Inverter with Optimal Extension Mode
[YES] 169/200 | Securing the Sky: A Lightweight Authentication Protocol for Emergency UAVs
[NO] 170/200 | Invariant Manifold Based Model-Free Predictive Control for PMSM Motor with Adaptive Time Constant
[NO] 171/200 | Indistinguishability Analysis of JPEG Image Encryption Schemes
[NO] 172/200 | IEEE Transactions on Ultraonsics Publication Information
[NO] 173/200 | Quantification and Visualisation of Interpersonal Synchrony using Wearable Sensors: A Case Study on Autistic and Neurotypical Children
[NO] 174/200 | Energy-Fair and Reliable Carrier-Sense Multiple Access for LoRaWAN
[NO] 175/200 | Zero-Shot vs. Supervised: Evaluating Multilingual LLMs for 3R Content Moderation in Malaysia
[NO] 176/200 | Energy Efficient Mono-Crystalline Solar Cell using blended dual layer as Anti-Reflective Coating
[NO] 177/200 | A Novel Epileptic Seizure Detection Technique using Hybrid Convolutional-Spiking Neural Network
[NO] 178/200 | Enhancing Land Registration System Using Blockchain Technology
[NO] 179/200 | An Ensemble Hybrid Machine Learning Framework for Network Security Enhancement
[NO] 180/200 | A Comprehensive Survey on Machine Learning and Deep Learning Approaches for Lung Disease Detection
[YES] 181/200 | A Secure Affine Frequency Division Multiplexing System for Next-Generation Wireless Communications
[NO] 182/200 | Introducing Optimization Techniques into Formal Verification for Faster Convergence and Reduced Runtime
[NO] 183/200 | Deep Learning Based Framework for Automated Gray Scale Image Colorization
[NO] 184/200 | Split-Ring Resonator-Based RF Detector for Wireless Communication Applications
[NO] 185/200 | Towards Comprehensive Semi-Formal Verification of AMBA AHB/APB Interconnects: Configuration Coverage, Mutation Testing, and Safety-Aware Design-for-Verification
[NO] 186/200 | Defected Ground Structure Antenna for Radio Frequency Identification (RFID) for IoT Applications
[NO] 187/200 | Investigation of Linearity Performance in p-GaN Gate Enhancement-Mode High Electron Mobility Transistor
[NO] 188/200 | Interpretable Emotion Detection in Social Media Using Deep Learning and Transformer-Based Models
[NO] 189/200 | Designing a Locality-Aware Index for Prefecture-Level Recipe Recommendations
[NO] 190/200 | Bridging the Robustness Gap: Stress-Testing Artificial Intelligence Algorithms
[NO] 191/200 | Exact 1-Bit Precoding for MIMO System by Deep Learning-Based Branching Variable Selection
[NO] 192/200 | Willful Disobedience: Automatically Detecting Failures in Agentic Traces
[NO] 193/200 | Persuade Me if You Can: A Framework for Evaluating Persuasion Effectiveness and Susceptibility Among Large Language Models
[NO] 194/200 | OTFS-Based Underwater Acoustic Channel Estimation Algorithm
[NO] 195/200 | Improving the Classification of Humpback Whale Calls Using Multi-Modal Learning: Integration of Audio and Metadata
[NO] 196/200 | Local Verification of Current-State Opacity and Static-State Opacity in Distributed Discrete-Event Systems
[NO] 197/200 | Affiliate Plan of the IEEE Nuclear and Plasma Sciences Society
[NO] 198/200 | Nine-year observation of Global Precipitation Particle Size Distribution and Radar Reflectivity
[NO] 199/200 | State of Power Online Estimation for Series-Parallel Connected Lithium Titanate Battery Packs Considering Cell Inconsistencies and Branch Voltage Consistency Constraints
[NO] 200/200 | High-Frequency Silicon Platelet Feedhorns for
                    <i>LiteBIRD</i>
筛选完成：共 200 篇；Yes = 5 篇；已保存到 papers/select_paper2026-05-21.json。
邮件发送成功！
[2026-05-22 12:10:40] 任务执行成功！
