[2026-09-01 13:51:08] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-31
正在获取论文...
[arXiv] 2026-08-31 | MURANO: Design, Run, and Reproduce Mechanistic Interpretability Experiments as Composable Pipelines
[NO] 74/200 | The anisotropic Michael-Simon inequality for surfaces in every codimension
[NO] 75/200 | Dynamics of a nanoscale ferromagnetic vortex
[NO] 76/200 | TPR-Attention for Combinatorial Generalization
[NO] 77/200 | Lie to Me: Finding Bugs in ZK DSL Toolchains with Adversarial Witness Injection
[NO] 78/200 | Vector-Valued Wavelet Bases as Hilbert $\mathbb{M}_m(\mathbb{R})$-Module Bases: A Construction from Scalar Wavelets
[NO] 79/200 | At most exponential growth of periodic orbits for star flows
[NO] 80/200 | Supraglacial Lake Fate Is Knowable Long Before the Season Ends
[NO] 81/200 | Dense Clinical Contrasts Enhance Medical Knowledge Updating in Large Language Models
[NO] 82/200 | Why Are LLM Backdoor Defenses Fragmented? A Feature-Level Explanation with Sparse Autoencoders
[NO] 83/200 | Scaffolding Foundation Models into Physical-World Agents Pushes the Frontier of Long-Horizon Navigation
[NO] 84/200 | DASC: Decay-Aware State Compression for Hybrid Linear-Attention Serving
[NO] 85/200 | Optimal Transport of an Anisotropic Tracer in Dense Active Suspensions
[NO] 86/200 | Beyond Consensus: Downward Bias and Role Asymmetry in Multi-Agent LLM Judges for Subjective Evaluation
[NO] 87/200 | Auditing MCQA Benchmarks through Probability Landscapes
[NO] 88/200 | MCSeg: Pre-training and Fine-tuning Volumetric Pyramid Transformer for Multi-modal Cardiac Image Segmentation
[NO] 89/200 | Marginal spectral distributions on regular bipartite unitary orbits
[NO] 90/200 | Augmenting Human Performance with an XR Agent Learning from Online Behavior and BCI Evidence
[NO] 91/200 | Beat-Synchronous Tokenization for ECG Transformers
[NO] 92/200 | Arctic Dispersion Interruption Phenomenon and Sound Source Depth Estimation
[NO] 93/200 | Mean convergence for Banach space-valued random elements indexed in measure spaces
[NO] 94/200 | Maximal anti-Ramsey problems for posets
[NO] 95/200 | Beyond Ranking Accuracy: Evaluating LLM-Cited Feature Rationales for Next Basket Repurchase Recommendation
[NO] 96/200 | Do Small Models Use the Law You Give Them? Measuring Context Use on a Bilingual Bangladesh Legal Benchmark
[NO] 97/200 | Ignorance or Incompetence? Constructing Knowledge-Gated, Verifiable Tasks for LLM Agents
[NO] 98/200 | Online Estimation of Dynamic Origin-Destination Matrices Using Reinforcement Learning with Link-Flow Propagation Guidance
[NO] 99/200 | Update from Hell: Can Coding Agents Survive Hidden Breakage in Dependency Upgrades?
[NO] 100/200 | Covariant formula for the driving force for interface migration
[NO] 101/200 | PDCA-MMA: A Multi-Agent Framework with Iterative Optimization for Multi-Modal Long Document QA
[NO] 102/200 | Hybrid Expert–Crowd Scoring Under Partial Observability: Constrained Vote Inference and Mechanism Benchmarking
[NO] 103/200 | A Bilateral Matching Method for Maximizing Incubator and Startup Satisfaction Based on Linear Weighted Integer Programming
[NO] 104/200 | Robust Scalar-on-Function Regression with Type-2 Fuzzy Systems: A Framework for Visual and Spectral Signal Analysis
[NO] 105/200 | An Improved Model for Substation Meter Defect Detection Based on Focal-EIoU and Flow-Aligned Feature Pyramid Network
[NO] 106/200 | MSAV schemes for the Navier-Stokes/Allen-Cahn system
[NO] 107/200 | Secure Remote PPG-based Verification for mHealth under Heavy Facial Occlusion
[NO] 108/200 | KD-Judge: A Knowledge-Driven Automated Judge Framework for Functional Fitness Movements on Edge Devices
[NO] 109/200 | Area-Scalable Al/Cu/AlO
                    <sub>x</sub>
                    /TiN CBRAM Memristors via Thermal Evaporation: Electroforming Behaviour, Charge Transport, and Neuromorphic Characterization
[NO] 110/200 | Design of a Dual Band Wearable Antenna with AMC for Biomedical Applications
[NO] 111/200 | Research on Smart Tourism App Solution Design Based on DeepSeek Model Technology
[NO] 112/200 | Emotion Detection Using Hybrid Deep Learning to Identify Mental Health Signals in Indonesian Social Media
[NO] 113/200 | The Moderating Effect of Artificial Intelligence and Student Self-Regulated Learning in Distance Education
[NO] 114/200 | Hybrid CNN-BiLSTM Model for the Enhancement of Social Sustainability in Manufacturing Supply Chains
[NO] 115/200 | Electrical Miniaturization and Circular Polarization of a Wearable Textile Antenna Using Defected Ground Structures and Machine Learning Approach
[NO] 116/200 | Automated Knee Osteoarthritis Grading via Compound-Scaled EfficientNetV2B0 with Attention-Based Feature Localization
[NO] 117/200 | Multi-disciplinary Perspectives on Defining Common Sense
[NO] 118/200 | Existence of Critical Film Thickness in a Polymer Coated Surface Transverse Wave Resonator Gas Sensors
[NO] 119/200 | ϵ-STAR: An ϵ-relaxed Adaptive Replica Placement Algorithm for Distributed File Systems in Dynamic Inter-Satellite Networks
[YES] 120/200 | Airy beams for radiative near-field communications: Fundamentals, potentials, and limitations
[NO] 121/200 | Hierarchical Dynamic Spectrum Sharing between Terrestrial Networks and Non-Terrestrial Networks
[NO] 122/200 | A Framework for Battery Sizing in Fuel Cell-Dominated Powertrains: Dynamic Power Requirements and Efficiency Trade-Offs
[NO] 123/200 | Flexible Multi-Level Optimal Transport for Universal Cross-Tokenizer Knowledge Distillation on LLMs and Beyond
[NO] 124/200 | Title Page
[NO] 125/200 | A Quantum Chirp Transform-Based Multi-Qubit Encoding Framework for Quantum-Inspired Image Transmission Over Error-Prone Channels
[NO] 126/200 | Modeling, Analysis, Stability Enhancement and Optimal Parameter Design of Microgrid with Multiple Virtual Synchronous Machines in Source and Load
[NO] 127/200 | 2025 18th International Symposium on Computational Intelligence and Design (ISCID)
[NO] 128/200 | GA-EMDNet: Graph Attention-guided Eye Movement Detection Network from EMG Sensor signals
[NO] 129/200 | Curriculum-GraphLLM: Joint Optimization of Architectures, Structures and Texts for Denoised Graph Neural Architecture Search
[NO] 130/200 | Masthead
[NO] 131/200 | All-Fiber Mid-Infrared Seeded-Amplifier Enabled by an All-Fluoride Pump-Signal Combiner
[NO] 132/200 | Assessing the Applicability of Cybersecurity Classification Frameworks to Space Systems: A Comparative Structural Analysis
[NO] 133/200 | Front Cover
[NO] 134/200 | On Ankle-Foot Prostheses: An Introduction to Biomechanical Goals, Modern Design Principles, Device Evaluation, and Current Clinical Practice
[NO] 135/200 | A Continuous Attitude Control Method for Shield Machines Based on Deterministic Policy Gradient
[NO] 136/200 | Multi-scale Recursive Residual Modulation Network for efficient infrared Image Super-Resolution
[NO] 137/200 | Empirical Performance Limits of Iterative Compressive Sensing for Wearable ECG: A Case for Adaptive Deep Unfolding
[NO] 138/200 | A Layered Network Intrusion Detection Framework with Intelligent Classification and Guided Incident Response
[NO] 139/200 | AI-Powered Real-Time People Counting for Smart Library Occupancy Monitoring
[NO] 140/200 | Large-Model-Centered Teaching Reform for the Graduate Course Principles and Applications of Artificial Intelligence
[NO] 141/200 | Investigating the Relationship Between Autonomous Driving System Disengagements and Crashes
[NO] 142/200 | Breast Cancer Detection Using Deep Learning-Based Image Processing with ResNet-50 CNN
[NO] 143/200 | Hybrid Fuzzy-Neural Model for Assessing and Enhancing EFL Learner Proficiency in Higher Education
[NO] 144/200 | Improving Clinical Note De-identification via Post-NER Verification and Candidate Expansion
[NO] 145/200 | Generalization and Text Length Bias in Deep Learning for Indonesian Fake News Detection
[NO] 146/200 | Hypertext and Fragmentation: The Reshaping of Stream-of-Consciousness Literature in Distance Learning Environment
[NO] 147/200 | Taming the Airwaves: Resilient Spectrum Sharing with BFT
[NO] 148/200 | Prediction of Whirling Vibration Characteristic Parameters for Large Ship Propulsion Shafting Using Surrogate Models
[NO] 149/200 | User-Centered Evaluation of an Interactive Multi-Model Image and Video Generation System
[NO] 150/200 | Multi-Horizon IDX Composite Forecasting Using Tree-Based Ensemble and Bayesian Hyperparameter Optimization
[NO] 151/200 | Automated Thoracic Disease Detection in Chest X-rays Using DenseNet
[NO] 152/200 | Construction of an Evaluation Model for University Fitness and Bodybuilding Courses Based on Multi-Source Data Fusion
[NO] 153/200 | Construction Method of Expressway Electromechanical Operation and Maintenance Knowledge Graph Based on Multi-source Heterogeneous Data Fusion
[NO] 154/200 | A Home Modular AI Stereoscopic Planting System
[NO] 155/200 | AI-Empowered Smart Teaching Framework and Learner Profiling in Engineering Education: An Empirical Study Based on K-means Algorithm
[NO] 156/200 | Wind-Solar-Hydro Storage Joint Operation Strategy Based on Improved Immune Particle Swarm Optimization Algorithm
[NO] 157/200 | Improved Single-Stage Semi-Supervised Multi-Task Learning Algorithm Based on Joint Pseudo-Label Optimization and Global-Local Constraints
[NO] 158/200 | Research on the Value Assessment Model of Civil Aviation Data Assets
[NO] 159/200 | ALBERT-TextCNN Based Grassroots Governance Topic Identification and Cultural Factor Analysis System for Social Media
[NO] 160/200 | Optimization and Efficiency Evaluation of Higher Education Teaching Process Based on Big Data Analysis
[NO] 161/200 | Fostering Teacher Collaborative Learning Communities via AI-Mediated Knowledge Sharing and Expert Matching
[NO] 162/200 | Application of Style Migration Algorithm in Environmental Architecture Design
[NO] 163/200 | Research on Korean Morphological Analysis and Part-of-Speech Tagging Method Based on Transformer Model
[NO] 164/200 | Driving Factors of Four-Chain Integration Open Innovation Ecosystems: An fsQCA and Random Forest Simulation Approach
[NO] 165/200 | An improved autofocusing method for lens-coupled Micro-CT
[NO] 166/200 | Research on the Application of Linear Algebra in Quantum Mechanics
[NO] 167/200 | Short-term Photovoltaic Power Prediction Based on HD-TCN-Attention-GRU
[NO] 168/200 | Rigid-Flexible Coupled Ascent Trajectory Optimization for Tethered Variable-Payload Firefighting UAVs
[NO] 169/200 | A Study on the Equal-Interval LogMAR Quantification Model for Counting Fingers (CF) Visual Acuity in Extremely Low Vision
[NO] 170/200 | Speech-Based Concussion Detection Using CNNs: A Comparative Study of Acoustic Feature Representations for Digital Health Monitoring
[NO] 171/200 | Traceability and Source Authority Guardrails for Agentic RAG-Based Financial Claim Verification
[NO] 172/200 | University Students' Attitudes Toward Google Translate for English Speaking Practice
[NO] 173/200 | Time Series Prediction for Industrial Park Electricity Consumption Under the Dual Carbon Goal Based on BiLSTM
[NO] 174/200 | Fostering Occupational Cognition in Children: An LLM-Powered Multi-Agent Role-Playing Approach
[NO] 175/200 | Hardware-Accelerated VLC-IoT System with FPGA-Based Data Acquisition for Smart Farming
[NO] 176/200 | Transformer-Based Probabilistic Net Load Forecasting for Smart Grid Dispatch
[NO] 177/200 | Neutrals Can Kill
[NO] 178/200 | Energy-Efficient System-on-Chip Architecture for AIoT Applications Using Mixed-Signal Neuromorphic Accelerators
[NO] 179/200 | HATE: An Explainable Hybrid Attention–Temporal Ensemble Framework for Early-Stage Ransomware Detection Using Kernel-Level File I/O Behaviour
[NO] 180/200 | Student Perceptions of AI Accounting Tasks: A TAM-TTF Study in Indonesian Higher Education
[NO] 181/200 | Healink: A Game-based Interactive Massage Device For Intergenerational Family
[NO] 182/200 | Low-Temperature High-Wind Conditions: Vibration Suppression and Clamp-Zone Fretting Wear of a Stockbridge Damper-Conductor System
[NO] 183/200 | Research on Emotionalization of Creative Products Based on Auspicious Culture: A Case Study of Mount Wutai
[NO] 184/200 | Cyberbullying and Online Harassment Detection System Using Machine Learning
[NO] 185/200 | Improving Students' Mathematical Proficiency in Trigonometry Through Artificial Intelligence Video
[NO] 186/200 | A Deep Reinforcement Learning Method for Distribution Network Voltage Optimization Guided by Large Language Model
[NO] 187/200 | SatBaco: Load-balanced and Latency-optimized Cooperative Service Migration for Satellite Computing
[NO] 188/200 | HBM Errors at Scale: An Industrial Study
[NO] 189/200 | Data Quality and Fairness in Federated Learning
[NO] 190/200 | Customer Experience Analysis from Google Maps Restaurant Reviews Using LDA Based Topic Sentiment and SERVQUAL Benchmarking
[NO] 191/200 | Software Defined Radio Technology For Transmitting Image In Smart Ambulance
[NO] 192/200 | A Traditional Game from Kalimantan Indonesia, Bagapit Chess Engine Using Negamax Algorithm with Alpha Beta Pruning
[NO] 193/200 | PAPR Reduction in OTFS Systems Using $\mu$-Law Companding with BER Analysis
[NO] 194/200 | An Efficient and Interpretable Learning Approach for Large-Scale Histopathology Data
[NO] 195/200 | Online Learning Based on Edge Computing: Concepts, Design and Applications*
[NO] 196/200 | A Metaverse-Oriented Operational Framework for Digital Power Grids
[NO] 197/200 | Android-Based Dietary Diversity Classification for Pregnant Women Using YOLOv11
[NO] 198/200 | Study on Point Cloud Sampling and Compression for Collaborative Intelligence in Object Recognition
[NO] 199/200 | Compact Parachute-Inspired 5G Antenna for NR n77, n78, and WiMAX Applications
[NO] 200/200 | Roles of Grid Battery Energy Storage in Low-Carbon Electricity Generation System
筛选完成：共 200 篇；Yes = 1 篇；已保存到 papers/select_paper2026-08-31.json。
邮件发送成功！
[2026-09-01 14:32:56] 任务执行成功！
