[2026-04-14 10:11:49] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-13
正在获取论文...
[arXiv] 2026-04-13 | CDPR: Cross-modal Diffusion with Polarization for Reliable Monocular Depth Estimation
[NO] 71/200 | Reparametrizing the relativistic Kepler equation: a bridge to Levi-Civita-type models
[NO] 72/200 | TAG-Head: Time-Aligned Graph Head for Plug-and-Play Fine-grained Action Recognition
[NO] 73/200 | Anthropogenic Regional Adaptation in Multimodal Vision-Language Model
[NO] 74/200 | On the Complexity of the Discussion-based Semantics in Abstraction Argumentation
[NO] 75/200 | Strong persistence index and fluctuations in colon powers of monomial ideals
[NO] 76/200 | Helicity-supported stationary spacetimes: A class of finite-energy, horizonless, axisymmetric solutions
[NO] 77/200 | $p$-variational capacity of interior condensers and geometric reduction by a fixed phase
[NO] 78/200 | Optimization of cooling power of a thermoelectric refrigerator: A unified approach
[NO] 79/200 | Think Before you Write: QA-Guided Reasoning for Character Descriptions in Books
[NO] 80/200 | Characterizing the Impact of Congestion in Modern HPC Interconnects
[NO] 81/200 | Exact Certification of Neural Networks and Partition Aggregation Ensembles against Label Poisoning
[NO] 82/200 | From Dust to Planets -- A Chemical Perspective
[NO] 83/200 | GS4City: Hierarchical Semantic Gaussian Splatting via City-Model Priors
[NO] 84/200 | Asymptotic Throat: The Geometric Inevitability of Regular Black Holes
[NO] 85/200 | Beyond Reconstruction: Reconstruction-to-Vector Diffusion for Hyperspectral Anomaly Detection
[NO] 86/200 | Ru Alloying in Ni/Al Reactive Multilayers: Experimental Observations and Molecular Dynamics Simulations
[NO] 87/200 | Extragalactic microlensing through Ultra Diffuse Galaxies
[NO] 88/200 | Strain-Induced Curvature in Monolayer Graphene: Effects on Electronic Structure, Phonon Dynamics, and Lattice Thermal Conductivity
[NO] 89/200 | The Turán number of the Cartesian product of a star and an edge
[NO] 90/200 | Emulator-Assisted Nuclear DFT Inference and Its Consequences for the Structure of Neutron Stars
[NO] 91/200 | Numerical analysis for the Stokes problem with non-homogeneous Dirichlet boundary condition
[NO] 92/200 | Signal-Aware Conditional Diffusion Surrogates for Transonic Wing Pressure Prediction
[NO] 93/200 | Invertible Diffusion for Low-Memory Channel Gain Map Construction in Wireless Communication Networks
[NO] 94/200 | Sub-Riemannian Snakes on the Projective Line Bundle with Applications to Segmentation of SEM Images
[NO] 95/200 | Variational Latent Entropy Estimation Disentanglement: Controlled Attribute Leakage for Face Recognition
[NO] 96/200 | Observations of highly inclined disks with ALMA. Results from 12CO gas and continuum observations
[NO] 97/200 | Knowledge on a Budget
[NO] 98/200 | Magnetic Order of Dresselhaus-type Antiferromagnet EuIr$_4$In$_2$Ge$_4$ Studied by Single Crystal Neutron Diffraction
[NO] 99/200 | RECIPER: A Dual-View Retrieval Pipeline for Procedure-Oriented Materials Question Answering
[NO] 100/200 | Inclusive breakup reactions with non-spectator fragments: Generalization of the IAV sum rules
[NO] 101/200 | Session Summary Podcast: Session 104: HCAI and Collaboration
[NO] 102/200 | Session Summary Podcast: Session 27: Alternative Perspectives
[NO] 103/200 | Session Summary Podcast: Session 159: Non-visual and conversational experiences
[NO] 104/200 | Scaffolding Metacognition with GenAI: Exploring Design Opportunities to Support Task Management for University Students with ADHD
[NO] 105/200 | Forage: Understanding LLM-facilitated sensemaking of conversation data
[NO] 106/200 | Session Summary Podcast: Session 130: LLM Interaction &amp; Conversational Agents
[NO] 107/200 | Modeling Sequential Design Actions as Designer Externalization on an Infinite Canvas
[NO] 108/200 | Sona: Towards Context-Aware, Real-Time Personalization of Acoustic Environments for Noise Sensitivity
[NO] 109/200 | Agent A/B: Automated and Scalable A/B Testing on Live Websites with Interactive LLM Agents
[NO] 110/200 | Alignment–Process–Outcome: Rethinking How AIs and Humans Collaborate
[NO] 111/200 | Session Summary Podcast: Session 121: Immersive Play and Spatial Computing
[NO] 112/200 | Silence is a Feature, Not a Bug: A Deaf Developer’s Autoethnography on Agency and Local AI
[NO] 113/200 | Speaker-Aware Affective Captioning for Multi-Speaker STEM Talk in Inclusive Classrooms
[NO] 114/200 | Who Owns the Worm? Authorship Collapse in Viral Digital Models
[NO] 115/200 | Framing the Crowd: How Task Design Shapes Collective Expectation in Crowdsourcing Pedestrian Behavior Change
[NO] 116/200 | Seen but Ignored: Understanding User Disengagement from Emergency Alerts in High-Frequency Contexts — A Case Study of South Korea
[NO] 117/200 | Effects of Small Latency Variations in 2D Target Selection Tasks
[NO] 118/200 | Session Summary Podcast: Session 57: Critical Reflections on AI
[NO] 119/200 | Session Summary Podcast: Session 50: Consent, Risk, and Everyday Ethics
[NO] 120/200 | ReVisor: A Reflective Design Tool for Instructional Designers to Improve Teacher Training Materials via AI Discussions
[NO] 121/200 | From Selfie Stick to Virtual Cane: Enabling Blind Exploration through Mobile Virtual Reality
[NO] 122/200 | Session Summary Podcast: Session 189: Security Operations and Governance
[NO] 123/200 | The More-than-Human Talking Stick: Design Principles for Multispecies Entanglement and Agency
[NO] 124/200 | Prompting Destiny: Negotiating Socialization and Growth in an LLM-Mediated Speculative Gameworld
[NO] 125/200 | Auditing Algorithmic Visibility on X: Evidence from Shadowban Detection
[NO] 126/200 | Challenges in Automatic Speech Recognition for Adults with Cognitive Impairment
[NO] 127/200 | Exploring Collaboration Breakdowns Between Provider Teams and Patients in Post-Surgery Care
[NO] 128/200 | Does Sycophancy Change Decisions? Effect of LLM Sycophancy on AI-Assisted Decision-Making
[NO] 129/200 | Queering Character Creation: Player Perspectives on Choosing Characters' Gender and Sexual Orientation in Role-Playing Games
[NO] 130/200 | Breakdowns in Conversational AI: Interactional Failures in Emotionally and Ethically Sensitive Contexts
[NO] 131/200 | Exploring and Probing the Algorithmic Gaze on Bodies and Well-being
[NO] 132/200 | Understanding the Dynamics of Trust in Location-Based Games as Hybrid Spaces: The Players' Perspective
[NO] 133/200 | FlueBricks: A Construction Kit of Flute-like Instruments for Acoustic Reasoning
[NO] 134/200 | Tracking Together: A Robot-and-App-Based Speech Analysis System to Support Shared Meaning-Making Among Dementia Care Partners
[NO] 135/200 | SketchDynamics: Exploring Free-Form Sketches for Dynamic Intent Expression in Animation Generation
[NO] 136/200 | Who Does What? Archetypes of Roles Assigned to LLMs During Human-AI Decision-Making
[NO] 137/200 | Modeling Perceived Force of Electrical Muscle Stimulation to Improve User’s Recall
[NO] 138/200 | SoundStager: Interactive Design of Story-Driven GenAI Soundscapes for Video
[NO] 139/200 | Unpacking Visual Metaphors in Infographics: A Design Space
[NO] 140/200 | Reimagining Legal Fact Verification with GenAI: Toward Effective Human-AI Collaboration
[NO] 141/200 | Contrastive Learning for Large-scale Color-Name Dataset: Tackling Sparsity with Negative Sampling
[NO] 142/200 | ‘I Know I Can Do the Job, It’s Just Putting It Down’: Using Personas as a Mirror to Identify Strengths
[NO] 143/200 | AReframedChair: Reframing the Empty Chair through Dyadic and Triadic AR-Mediated Self-Embodiment
[NO] 144/200 | Exploring Texture-Level Creative Decisions with penPal, a Novel Handheld Actuated Drawing Tool
[NO] 145/200 | Crafting Remembrance Beyond the Self: Older Adults’ Digital and Material Legacies
[NO] 146/200 | Navigating Financial Lives: How Autistic Adults Adapt Financial Technologies, Tools and Strategies
[NO] 147/200 | VisceroHaptics: Investigating the Effects of Gut-based Audio-Haptic Feedback on Gastric Feelings and Gastric Interoceptive Behavior
[NO] 148/200 | Increasing Input Accuracy of Embodied Devices via Electrical Muscle Stimulation
[NO] 149/200 | "An Experience That Could Not be Found Anywhere Else": Resonance as an Explanatory Concept for Player Experience Research and Game Design
[NO] 150/200 | The ORBIT India Dataset: Understanding the Challenges of Collecting a Disability-First AI Dataset in Low-Resource Environments
[NO] 151/200 | Needling Through the Threads: A Visualization Tool for Navigating Threaded Online Discussions
[NO] 152/200 | Representation on Our Terms: How Trans and Gender Diverse People Prioritize Inclusivity in University Information Systems
[NO] 153/200 | Do Citizens Agree with the EU AI Act? Public Perspectives on Risk and Regulation of AI Systems
[NO] 154/200 | Feel the Sync: The Effects of Shared Haptic Feedback on Short-Cycle Repetitive Turn-Taking Collaboration of Remote Users in Virtual Reality
[NO] 155/200 | Toolset Action Coding System: A Generalized Method for Tool Measurement
[NO] 156/200 | “Bespoke Bots”: Diverse Instructor Needs for Customizing Generative AI Classroom Chatbots
[NO] 157/200 | On the Common Pitfalls of Designing and Communicating Within-Subjects Experiments in HCI
[NO] 158/200 | PoliSim@CHI 2026: LLM Agent Simulation for Policy
[NO] 159/200 | SocialCue: Exploring the Design Space of Social Wayfinding Assistants for Blind and Low Vision People
[NO] 160/200 | ArtfulSign: A Closed-Loop, Semantics-Grounded Mobile System for Learning Chinese Sign Language
[NO] 161/200 | Tracking Eye Movements to Extract Visual Patterns for Better Language Problem-Solving Skills in School-aged Children
[NO] 162/200 | How Does It Know?: Characterizing Thinking Through Unconscious Pen Gestures
[NO] 163/200 | Science and Technology for Augmenting Reading (STAR)
[NO] 164/200 | Approximate vs Precise: An Experiment in What Impacts User Choice When Apps Request Location Access
[NO] 165/200 | Effects of Generative AI Errors on User Reliance Across Task Difficulty
[NO] 166/200 | Preliminary Explorations of Generative AI and the Embodied Embroidery of Huayao Intangible Cultural Heritage
[NO] 167/200 | The Evolution of Stethoscopes and the Potential of Smart Stethoscopes as Future Technology: A Systematic Review of Cardiac and Pulmonary Diagnostics
[NO] 168/200 | Assessment of Osteonecrosis-Induced Changes in the Viscoelastic and Biomechanical Properties of Human Trabecular Bone
[NO] 169/200 | A Wideband Magneto-Electric Dipole Based Slant Polarized Antenna with Metasurface
[NO] 170/200 | Transient Numerical Modeling and Analysis of Free-Surface Dynamics in Laser Polishing of GCr15 Bearing Steel
[NO] 171/200 | Research on the Application of an AI-Tutor-Driven Human-Computer Collaborative Learning Model in Vocational College Website Front-End Teaching
[NO] 172/200 | Predictive Analytics for Crime Prevention: Ethical, Legal and Technical Challenges
[NO] 173/200 | Gene Expression Dynamics in Endometriosis and Hashimoto Disease: Insights into Potential Overlaps
[NO] 174/200 | A Dual Beam Electrically Compact Wrapped-around Ku-Band Series-Fed Array for Satphones
[NO] 175/200 | RedLife: Enhancing Accessibility and Efficiency in Blood Donation through Mobile Technology
[NO] 176/200 | The EPSE Model: A Multidimensional Approach to Evaluating and Predicting Food Systems
[NO] 177/200 | Chirality and Handedness of the SKALA4.1 Antenna and Intra-Station Mitigation
[NO] 178/200 | Research on Intermittent Time Series Demand Forecasting Based on Monte Carlo Simulation and STL Decomposition
[NO] 179/200 | Research on Optimization of Fault Diagnosis Technology for Tower-Type Pumping Units Based on Multi-Model Fusion Algorithm
[NO] 180/200 | AI-Augmented Data Architecture: A Next-Generation Framework for Scalable, Intelligent, and Autonomous Data Ecosystems
[NO] 181/200 | Parametric Study of a Circularly Patch DGS Antenna with SETR Inspired Metamaterial Structures
[NO] 182/200 | Global Trust: Lightweight, Event-Driven Trust Management for Blackhole-Resilient IoT Routing
[NO] 183/200 | Research on Maintenance Strategies for Performance-Degrading Products Based on Remaining Useful Life Prediction
[NO] 184/200 | Enhanced Conditional Diffusion Models for 2D Medical Image Augmentation in Tumor Detection
[NO] 185/200 | Fuzzy Cascade PID Control of Core Outlet Temperature Based on Novel Gas-Cooled Microreactors
[NO] 186/200 | Retinal Vessel Geometry as a Surrogate Marker Coronary Artery Calcification: A Deep Learning Approach
[NO] 187/200 | An AI-Based Framework for Automated Fraud Risk Assessment in Auditing
[NO] 188/200 | Aerial Image Analysis System Captured with UAV for Early Detection of Maize Foliar Diseases Using Lightweight YOLO Variants
[NO] 189/200 | Nanomaterial Synthesis by Dense Medium Glow Discharge: Improvement of Efficiency by Design of Experiment Model
[NO] 190/200 | Parametric Study of the Insertion of DGS Type Structure with Geometry Based on SETR Type Metamaterial Applied in Rectangular Patch Microstrip Antennas
[YES] 191/200 | Comparative Analysis of Circular and Dual-Band Diode-Based Reconfigurable Circular Patch Antennas: Design and Performance
[NO] 192/200 | Object Distance Monitoring in Crisis Scenarios Using Deep Learning Based Yolo-7 Model
[NO] 193/200 | Numerical Modeling and Parametric Analysis of Anti-seepage Cover Systems for Near-Surface Disposal Facilities in Humid Regions Using Geo-Studio
[NO] 194/200 | Influencer or Finfluencer: A Comprehensive Study of Behavioral Finance in the Age of Digital Social Media
[NO] 195/200 | VisionDerm: Efficient Net-Optimized Deep Learning Model for Skin Disease and Vitamin Deficiency Detection Using Non-Dermoscopic Standard Images
[NO] 196/200 | Artificial Intelligence Based Virtual Assistant System
[NO] 197/200 | On the prediction of exchange rate using a BiLSTM-attention model with beluga whale optimizer
[NO] 198/200 | Evaluating the Impact of AI on Customer Service Efficiency and Customer Satisfaction: A Management Perspective
[NO] 199/200 | Antennas Optimization Techniques for Integration of Wireless Applications using Angle-of-Arrival
[NO] 200/200 | A Federated Learning Approach to Alleviate Data Heterogeneity in Smart Grid
筛选完成：共 200 篇；Yes = 3 篇；已保存到 papers/select_paper2026-04-13.json。
邮件发送成功！
[2026-04-14 10:38:47] 任务执行成功！
