[2025-12-02 09:15:16] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-01
正在获取论文...
[arXiv] 2025-12-01 | Generative Video Motion Editing with 3D Point Tracks
[arXiv] 2025-12-01 | Non-integrability of the Sasano system of type $A^{(2)}_5$
[arXiv] 2025-12-01 | HiconAgent: History Context-aware Policy Optimization for GUI Agents
[arXiv] 2025-12-01 | A novel sequential method for building upper and lower bounds of moments of distributions
[arXiv] 2025-12-01 | Weight Space Representation Learning with Neural Fields
[arXiv] 2025-12-01 | An introductory review of the theory of continuous-variable quantum key distribution: Fundamentals, protocols, and security
[arXiv] 2025-12-01 | How to Capture Human Preference: Commissioning of a Robotic Use-Case via Preferential Bayesian Optimisation
[arXiv] 2025-12-01 | LST-1 follow-up of the exceptionally bright gamma-ray burst GRB 221009A
[arXiv] 2025-12-01 | Automating modeling in mechanics: LLMs as designers of physics-constrained neural networks for constitutive modeling of materials
[arXiv] 2025-12-01 | Answering Constraint Path Queries over Graphs
[arXiv] 2025-12-01 | The chemical diversity of giant-planet nurseries as revealed by ALMA
[arXiv] 2025-12-01 | Reasoning About the Unsaid: Misinformation Detection with Omission-Aware Graph Inference
[arXiv] 2025-12-01 | Folded optimal transport and its application to separable quantum optimal transport
[arXiv] 2025-12-01 | Common Structure Discovery in Collections of Bipartite Networks: Application to Pollination Systems
[arXiv] 2025-12-01 | Stellar Objects From Quantum Gravity
[arXiv] 2025-12-01 | A unified framework for geometry-independent operator learning in cardiac electrophysiology simulations
[arXiv] 2025-12-01 | Integrating Artificial Intelligence and Mixed Integer Linear Programming: Explainable Graph-Based Instance Space Analysis in Air Transportation
[arXiv] 2025-12-01 | Phillips curve estimation during tranquil and recessionary periods: evidence from panel analysis
[arXiv] 2025-12-01 | Feedback vertex sets of digraphs with bounded maximum degree
[arXiv] 2025-12-01 | Formal equivalence between Maxwell equations and the de Broglie-Bohm theory for two-dimensional optical microcavities
[arXiv] 2025-12-01 | Mapping the Landscape of Open Access Dashboards - A Dataset for Research and Infrastructure Development
[arXiv] 2025-12-01 | Demystifying Feature Engineering in Malware Analysis of API Call Sequences
[arXiv] 2025-12-01 | Revealing the tribological stress field by using deformation twins as probes
[arXiv] 2025-12-01 | Normalized solutions for the planar Schrödinger-Poisson system with two electrons interaction
[arXiv] 2025-12-01 | Learning to Reconstruct: A Differentiable Approach to Muon Tracking at the LHC
[arXiv] 2025-12-01 | StarDist: A Code Generator for Distributed Graph Algorithms
[arXiv] 2025-12-01 | A Systematic Characterization of LLM Inference on GPUs
[arXiv] 2025-12-01 | ViT$^3$: Unlocking Test-Time Training in Vision
[arXiv] 2025-12-01 | Improved Disease Outbreak Detection from Out-of-sequence measurements Using Markov-switching Fixed-lag Particle Filters
[arXiv] 2025-12-01 | Robust hyperentanglement self testing
[arXiv] 2025-12-01 | Orbit-orbit photonics: Harnessing vortex-trajectory interplay for light manipulation
[arXiv] 2025-12-01 | Monopoly Pricing of Weather Index Insurance
[arXiv] 2025-12-01 | Analytical Emulator for the Baryon EoM inside the Fuzzy Dark Matter Soliton from Machine Learning
[arXiv] 2025-12-01 | Ergodicity and invariant measure approximation of the stochastic Cahn-Hilliard equation via an explicit fully discrete scheme
[arXiv] 2025-12-01 | Some considerations on BEC analogue black holes
[arXiv] 2025-12-01 | Accurate cosmological emulator for the probability distribution function of gravitational lensing of point sources
[arXiv] 2025-12-01 | On the Context-Hiding Property of Shamir-Based Homomorphic Secret Sharing
[arXiv] 2025-12-01 | The Interplay of Shifted Square and Maximal Function Estimates in the Context of Multilinear Fourier Multipliers
[arXiv] 2025-12-01 | A Cross-Embodiment Gripper Benchmark for Rigid-Object Manipulation in Aerial and Industrial Robotics
[arXiv] 2025-12-01 | Towards a Multi-Layer Defence Framework for Securing Near-Real-Time Operations in Open RAN
[arXiv] 2025-12-01 | Scaling and context steer LLMs along the same computational path as the human brain
[arXiv] 2025-12-01 | Rigorous methods for computational number theory
[arXiv] 2025-12-01 | Velocity-Adaptive Access Scheme for Semantic-Aware Vehicular Networks: Joint Fairness and AoI Optimization
[arXiv] 2025-12-01 | Origin of Bright Quantum Emissions with High Debye-Waller factor in Silicon Nitride
[arXiv] 2025-12-01 | Deep FlexQP: Accelerated Nonlinear Programming via Deep Unfolding
[arXiv] 2025-12-01 | X-CME: From In Situ Flux-Rope Reconstruction to CME Propagation Forecasting
[arXiv] 2025-12-01 | Language Diversity: Evaluating Language Usage and AI Performance on African Languages in Digital Spaces
[arXiv] 2025-12-01 | Delta Sum Learning: an approach for fast and global convergence in Gossip Learning
[arXiv] 2025-12-01 | Quantized plasmon modes for metallic nanoparticles of arbitrary shape with a generic dielectric function
[arXiv] 2025-12-01 | The Poisson-Fourier Transform for bicrossed products I: Abelian approximations and the quantum duality principle
[arXiv] 2025-12-01 | Diffusion Fuzzy System: Fuzzy Rule Guided Latent Multi-Path Diffusion Modeling
[arXiv] 2025-12-01 | On a regularity-conjecture of generalized binomial edge ideals
[arXiv] 2025-12-01 | Investigation of Al-Si-Cu alloys as phase change materials for high temperature thermal energy storage
[arXiv] 2025-12-01 | Neural Networks for Predicting Permeability Tensors of 2D Porous Media: Comparison of Convolution- and Transformer-based Architectures
[arXiv] 2025-12-01 | Label Forensics: Interpreting Hard Labels in Black-Box Text Classifier
[arXiv] 2025-12-01 | Dynamic functional brain connectivity results depend on modeling assumptions: comparing frequentist and Bayesian hypothesis tests
[arXiv] 2025-12-01 | MCAT: Scaling Many-to-Many Speech-to-Text Translation with MLLMs to 70 Languages
[arXiv] 2025-12-01 | Semantic-aware Random Convolution and Source Matching for Domain Generalization in Medical Image Segmentation
[arXiv] 2025-12-01 | A variational method for curve extraction with curvature-dependent energies
[arXiv] 2025-12-01 | Multi-view diffusion geometry using intertwined diffusion trajectories
[arXiv] 2025-12-01 | Scaling Limits of Line Models in Degenerate Environment
[arXiv] 2025-12-01 | On robotic manipulators with time-dependent inertial parameters: From physical consistency to boundedness of the mass matrix
[arXiv] 2025-12-01 | Optical refractive index measurements of AlGaAs at high temperature for fully automated molecular beam epitaxy growth of Bragg mirrors
[arXiv] 2025-12-01 | ZIP-RC: Zero-overhead Inference-time Prediction of Reward and Cost for Adaptive and Interpretable Generation
[arXiv] 2025-12-01 | The stochastic discrete nonlinear Schrödinger equation: microscopic derivation and finite-temperature phase transition
[arXiv] 2025-12-01 | Hawkes process with a diffusion-driven baseline: long-run behavior, inference, statistical tests
[arXiv] 2025-12-01 | Competition among seaports through Mean Field Games and real-world data
[arXiv] 2025-12-01 | A Meta-Analysis of the Persuasive Power of Large Language Models
[arXiv] 2025-12-01 | Around the semi-classical limit of boundary Liouville conformal field theory
[arXiv] 2025-12-01 | A Self-explainable Model of Long Time Series by Extracting Informative Structured Causal Patterns
[arXiv] 2025-12-01 | Bayesian Distributionally Robust Merton Problem with Nonlinear Wasserstein Projections
[arXiv] 2025-12-01 | Predicting cement microstructure and mechanical properties in hydrating cement paste with a Phase-Field model
[arXiv] 2025-12-01 | Fantastic Features and Where to Find Them: A Probing Method to combine Features from Multiple Foundation Models
[arXiv] 2025-12-01 | The impact of Solar magnetic field configurations on the production of gamma rays at the Solar disk
[arXiv] 2025-12-01 | Joint CFO-Channel Estimation over CFO-Coherent SS Burst Sets for Low-Altitude Radio Mapping
[arXiv] 2025-12-01 | Some Congruences Involving Binomial Coefficient and Fermat Quotient
[arXiv] 2025-12-01 | Observation of a Zero-Field Josephson Diode Effect in a Helimagnet Josephson Junction
[arXiv] 2025-12-01 | Mass transfer stability for AM CVn binaries with white dwarf donors
[arXiv] 2025-12-01 | MARSAD: A Multi-Functional Tool for Real-Time Social Media Analysis
[arXiv] 2025-12-01 | On the future cover of a sofic shift
[arXiv] 2025-12-01 | A Fine Evaluation Method for Cube Copying Test for Early Detection of Alzheimer's Disease
[arXiv] 2025-12-01 | BlinkBud: Detecting Hazards from Behind via Sampled Monocular 3D Detection on a Single Earbud
[arXiv] 2025-12-01 | Modeling Wavelet Transformed Quantum Support Vector for Network Intrusion Detection
[arXiv] 2025-12-01 | Modality-Augmented Fine-Tuning of Foundation Robot Policies for Cross-Embodiment Manipulation on GR1 and G1
[arXiv] 2025-12-01 | AdS gravastar and its signatures from dual conformal field theory
[arXiv] 2025-12-01 | Convolution-smoothing based locally sparse estimation for functional quantile regression
[arXiv] 2025-12-01 | Long nuclear spin coherence times for molecules trapped in high-purity solid parahydrogen
[arXiv] 2025-12-01 | A Fast Heuristic Search Approach for Energy-Optimal Profile Routing for Electric Vehicles
[arXiv] 2025-12-01 | Enhanced Single-Photon Detector: Achieving Superconducting-Level Performance with Conventional Quantum Technology
[arXiv] 2025-12-01 | Extending NGU to Multi-Agent RL: A Preliminary Study
[arXiv] 2025-12-01 | IVCR-200K: A Large-Scale Multi-turn Dialogue Benchmark for Interactive Video Corpus Retrieval
[arXiv] 2025-12-01 | Inversions of stochastic processes from ergodic measures of Nonlinear SDEs
[arXiv] 2025-12-01 | Programmable Switching of Molecular Transitions via Plasmonic Toroidal Nanoantennae
[arXiv] 2025-12-01 | Systems Security Foundations for Agentic Computing
[arXiv] 2025-12-01 | Equilibrium measures of manifolds without conjugate points having visibility covering
[arXiv] 2025-12-01 | Kratos-polrad: Novel GPU system for Monte-Carlo simulations with consistent polarization calculations
[arXiv] 2025-12-01 | nnMobileNet++: Towards Efficient Hybrid Networks for Retinal Image Analysis
[arXiv] 2025-12-01 | Stable manifolds, Horseshoes and Lyapunov exponents for $C^1$ diffeomorphisms without domination
[arXiv] 2025-12-01 | ViscNet: Vision-Based In-line Viscometry for Fluid Mixing Process
[arXiv] 2025-12-01 | Kiselev Black Holes in Anti-de Sitter Spacetime Are Not Viable
[arXiv] 2025-12-01 | Social Media Data Mining of Human Behaviour during Bushfire Evacuation
[arXiv] 2025-12-01 | Computable thermodynamic formalism
[arXiv] 2025-12-01 | The big de Rham-Witt forms over fields and motives of non-reduced schemes
[arXiv] 2025-12-01 | Efficient Training of Diffusion Mixture-of-Experts Models: A Practical Recipe
[arXiv] 2025-12-01 | Virtual Observability in Sequential Play
[arXiv] 2025-12-01 | Banking system stability: A global analysis of cybercrime laws
[arXiv] 2025-12-01 | LLM-as-a-Judge for Scalable Test Coverage Evaluation: Accuracy, Operational Reliability, and Cost
[arXiv] 2025-12-01 | The Entropy Flow of a Laser Beam
[arXiv] 2025-12-01 | On the Tension Between Optimality and Adversarial Robustness in Policy Optimization
[arXiv] 2025-12-01 | How do trout regulate patterns of muscle contraction to optimize propulsive efficiency during steady swimming
[arXiv] 2025-12-01 | M4-BLIP: Advancing Multi-Modal Media Manipulation Detection through Face-Enhanced Local Analysis
[arXiv] 2025-12-01 | A Comparative Study of Machine Learning Algorithms for Electricity Price Forecasting with LIME-Based Interpretability
[arXiv] 2025-12-01 | Resolving Interchange Reconnection Dynamics in a Fan-Spine-like Topology Observed by Solar Orbiter
[arXiv] 2025-12-01 | Multidimensional tunnelling of molecules aligned by strong electric fields
[arXiv] 2025-12-01 | Separator Theorem for Minor-Free Graphs in Linear Time
[arXiv] 2025-12-01 | Asymptotic Weyl Symmetry and Its Anomaly in a Curved Spacetime
[arXiv] 2025-12-01 | Periodicity and finite complexity in higher real $K$-theories
[arXiv] 2025-12-01 | The Milky Way stellar halo is twisted and doubly broken: insights from DESI DR2 Milky Way Survey observation
[arXiv] 2025-12-01 | Detecting Model Misspecification in Bayesian Inverse Problems via Variational Gradient Descent
[arXiv] 2025-12-01 | Adaptive Matrix Sparsification and Applications to Empirical Risk Minimization
[arXiv] 2025-12-01 | Higher-order spectral form factors of circular unitary ensemble
[arXiv] 2025-12-01 | The Critical Point Degree of a Periodic Graph
[arXiv] 2025-12-01 | High-dimensional Mean-Field Games by Particle-based Flow Matching
[arXiv] 2025-12-01 | Resource Estimation for VQE on Small Molecules: Impact of Fermion Mappings and Hamiltonian Reductions
[arXiv] 2025-12-01 | Rational $Q$-systems for integrable spin chains without $U(1)$ symmetry
[arXiv] 2025-12-01 | Physics-Constrained Neural Dynamics: A Unified Manifold Framework for Large-Scale Power Flow Computation
[arXiv] 2025-12-01 | Know Thyself by Knowing Others: Learning Neuron Identity from Population Context
[arXiv] 2025-12-01 | Conveying Imagistic Thinking in Traditional Chinese Medicine Translation: A Prompt Engineering and LLM-Based Evaluation Framework
[arXiv] 2025-12-01 | Linear realization of SU(3) parity doublet model for octet baryons with bad diquark
[arXiv] 2025-12-01 | Generalist Large Language Models Outperform Clinical Tools on Medical Benchmarks
[arXiv] 2025-12-01 | Teaching by Failure: Counter-Example-Driven Curricula for Transformer Self-Improvement
[arXiv] 2025-12-01 | First On-Orbit Demonstration of a Geospatial Foundation Model
[arXiv] 2025-12-01 | VSRD++: Autolabeling for 3D Object Detection via Instance-Aware Volumetric Silhouette Rendering
[arXiv] 2025-12-01 | Revisiting the Supernova Engines in the 3C 397 and W49B Supernova Remnants
[arXiv] 2025-12-01 | Spectrally additive maps on the positive cones of the Wiener algebra
[arXiv] 2025-12-01 | Real-Time On-the-Go Annotation Framework Using YOLO for Automated Dataset Generation
[arXiv] 2025-12-01 | DPAC: Distribution-Preserving Adversarial Control for Diffusion Sampling
[arXiv] 2025-12-01 | Open-Set Domain Adaptation Under Background Distribution Shift: Challenges and A Provably Efficient Solution
[ACM] 2025-12-1 | Research on the Construction and Application of an AI Literacy Evaluation System for Vocational Undergraduate Students
[ACM] 2025-12-1 | From "Home-School Isolation" to "Data Symbiosis": Theoretical Reconstruction and Paradigm Innovation of Digital Transformation in Family Education
[IEEE] 2025-12-1 | Preface
[IEEE] 2025-12-1 | Industry Track Committee: ISSREW 2025
[IEEE] 2025-12-1 | Design of a Compact Wideband SPDT Switch with High Isolation for Sub-6 GHz Applications
[IEEE] 2025-12-1 | Sponsors QCE 2025
[IEEE] 2025-12-1 | Super-resolution Reconstruction of Fetal Brain MRI with Multi-view Interpolation Weight Learning
[IEEE] 2025-12-1 | Quantum Multi-Strategy Fusion Mapping Optimization: An Algorithm for Quantum Circuit
[IEEE] 2025-12-1 | Dynamic Modeling of a Data Center for Power System Stability Studies
[IEEE] 2025-12-1 | Dynamic Data Routing for Non-ISL LEO Satellite-Based NT-IoT Communications
[IEEE] 2025-12-1 | Escaping Barren Plateaus in Variational Quantum Algorithms Using Negative Learning Rate in Quantum Internet of Things
[IEEE] 2025-12-1 | Fast Transient Energy Control Based on Coordination Between GFM Converters During DC FRT in Offshore-Onshore Integration Transmission System
[IEEE] 2025-12-1 | Dynamically Enhanced Multi-organ Segmentation Base on Boundary-Aware Partial Label
[IEEE] 2025-12-1 | HCMAF: Hierarchical Feature Aggregation and Cross-Modal Attention Fusion Framework for Multi-Omics patient classification
[IEEE] 2025-12-1 | Reviewers
[IEEE] 2025-12-1 | 2025 IEEE/SBC 37th International Symposium on Computer Architecture and High Performance Computing Workshops (SBAC-PADW)
[IEEE] 2025-12-1 | Entangled Dice: Project-based Learning for QISE, Education
[IEEE] 2025-12-1 | Technical Program
[IEEE] 2025-12-1 | Half Title
[IEEE] 2025-12-1 | Fortifying Castles Quantum Leap: From Medieval to Modern Defenses
[ACM] 2025-12-1 | Curriculum System Construction for Artificial Intelligence Technology Majors under the Integration of Industry and Education
[IEEE] 2025-12-1 | Evaluating the Performance of Quantum Annealers and Classical Optimizers in the Aircraft Container Loading Problem: A Feasibility Study
[IEEE] 2025-12-1 | Lattice Surgery Compilation Beyond the Surface Code
[IEEE] 2025-12-1 | VCFNet - A Multi-Stream Approach to Violence Detection in Complex Video Scenarios using Spatiotemporal Motion Fusion
[IEEE] 2025-12-1 | Multi-Penalty Sample Persistence Variable Reduction for Constrained Combinatorial Optimization Problems
[IEEE] 2025-12-1 | Shallow Circuits for Quantum Simulation of Molecular Vibrations
[IEEE] 2025-12-1 | Digital Cultural Heritage Education: Using Technology to Improve Instruction for the SDGs in Lombok, Indonesia
[IEEE] 2025-12-1 | Benchmarking Highly Precise Quantum Linear Systems Algorithms
[IEEE] 2025-12-1 | Efficient SIMD and Shared-Memory Parallelization of 3D Acoustic Wave Propagation Simulation
[IEEE] 2025-12-1 | Efficient Quantum Gradient and Higher-Order Derivative Estimation Via Generalized Hadamard Test
[IEEE] 2025-12-1 | Simplified Voltage Regulation for Active Distribution Grids with Flexible Resources
[IEEE] 2025-12-1 | Single-Shot Decoding of Biased-Tailored Quantum LDPC Codes
[IEEE] 2025-12-1 | Self-Assessment and Monitoring Module for Tracking Algorithms in the Stone Soup Framework
[IEEE] 2025-12-1 | Optimized Lightweight VGG-Based AI Model for Phishing Detection in Cloud Applications
[IEEE] 2025-12-1 | Variational Quantum Sensing for Structured Linear Estimation Function
[IEEE] 2025-12-1 | $k$-Contextuality as a Heuristic for Memory Separations in Learning
[IEEE] 2025-12-1 | Neural Network Models for Cross-Language Code Synthesis and Translation
[IEEE] 2025-12-1 | An Energy-Aware Priority-based AI-Enabled Offloading Framework in Edge-to-Cloud Continuum
[IEEE] 2025-12-1 | Project-Based Learning in Introductory Quantum Computing Courses: A Case Study on Quantum Algorithms for Medical Imaging
[IEEE] 2025-12-1 | Generative AI for Personalized Healthcare: Data-Driven Diagnosis Models
[IEEE] 2025-12-1 | QUBO Formulations for Some Graph-Theory Problems: Snake-In-The-Box and Coil-In-The-Box
[IEEE] 2025-12-1 | Self-Supervised User Embedding Alignment for Cross-Domain Recommendations Via Multi-LLM Co-training
[IEEE] 2025-12-1 | TeleSABRE: Heuristic Layout Synthesis in Multi-Core Quantum Systems with Teleport Interconnect
[IEEE] 2025-12-1 | Silicon Fin Capacitor for Superconducting Quantum Circuits
[IEEE] 2025-12-1 | Interval Coverage Minimum Weight Sum Optimization Algorithm Based on Dual Queue Collaboration and State Compression
[IEEE] 2025-12-1 | Optimizing LiDAR Point Cloud Compression: Evaluating Fixed Density Thresholds for Hybrid Coding
[IEEE] 2025-12-1 | Impact of Data Distribution and Schedulers for the LU Factorization on Multi-Core Clusters
[IEEE] 2025-12-1 | HPCQCMark: a New Modular HPC-QC Benchmarking Framework
[IEEE] 2025-12-1 | SAGkit: A Python SAG Toolkit for Response Time Analysis of Hybrid-Triggered Jobs
[IEEE] 2025-12-1 | Securing 6G Networks in the Quantum Age: The Role of Quantum Cryptography
[IEEE] 2025-12-1 | ZSDD: Zero-Shot Detection and Segmentation of Surface Defects Using Pre-Trained Models
[IEEE] 2025-12-1 | Development of Deep Learning based Automated Detection and Classification of Dog Skin Diseases
[IEEE] 2025-12-1 | Entanglement-Efficient Distribution of Quantum Circuits Over Large-Scale Quantum Networks
[IEEE] 2025-12-1 | DenseNet121-Enabled Deep Transfer Learning Pipeline for Pneumonia Classification in Chest Radiographic Modalities
[IEEE] 2025-12-1 | Enhanced Local Differential Privacy Protection Against Crosstalk Attacks in Quantum Computing
[IEEE] 2025-12-1 | Comparing Leadership and Well-Being: An Exploratory Study Across Engineering-Oriented Undergraduate Programs
[IEEE] 2025-12-1 | D-MGN: A Distributed Mesh Graph Neural Network for Scalable Engineering Simulation
[IEEE] 2025-12-1 | Time Series Prediction of Distribution Transformers Failure Rate
[IEEE] 2025-12-1 | Plug and Play Tool for Battery Cooling Plate
[IEEE] 2025-12-1 | Power Side-Channel Vulnerabilities in Distributed Quantum Systems with Classical Communication
[IEEE] 2025-12-1 | GGWO: A Golden Grey Wolf Optimizer for Solving Constrained Optimization Problems
[IEEE] 2025-12-1 | Transformer-Driven Offset Convolutional Network for Brain Tumor MRI Classification
[IEEE] 2025-12-1 | Composite SHAP Methylation Machine Learning Framework for Epigenetic Gene Ranking in Rheumatoid Arthritis
[IEEE] 2025-12-1 | Basketball Player Dynamic Posture Recognition Based on Neural Network Algorithm
[IEEE] 2025-12-1 | A Self-Supervised Learning Approach for Motor Imagery Signal Classification Based on Multivariate Noise Transformations
[IEEE] 2025-12-1 | Quantum-Inspired Optimization for Smart Aluminum Extrusion in Industry 4.0
[IEEE] 2025-12-1 | SQL2Circuits: Estimating Cardinalities, Execution Times, and Costs for SQL Queries With Quantum Natural Language Processing
[IEEE] 2025-12-1 | Parallel KNN for Real Time Human Activity Recognition using OpenMP, MPI and CUDA
[IEEE] 2025-12-1 | Demo: Decentralized Product Lifecycle Management Using Blockchain and Digital Twins
[IEEE] 2025-12-1 | Real-Time ASL Recognition with AI Chatbot: A Deep Learning Approach
[IEEE] 2025-12-1 | Quantum-Assisted Automatic Path-Planning for Robotic Quality Inspection in Industry 4.0
[IEEE] 2025-12-1 | GNNFusion: A Hybrid Graph Neural Network Framework for Binding Affinity Prediction with Explainable AI
[IEEE] 2025-12-1 | Noise-Resilient, Explainable Classifications of High-Resolution Images Using Quanvolution-Pooling
[IEEE] 2025-12-1 | Consensus Mapping of Professional Skills Required for Engineering Practice
[IEEE] 2025-12-1 | Bridging the Gap Between Competency-Based Learning and Standardized Exam Results
[IEEE] 2025-12-1 | Comparing Performance of Variational Quantum Algorithm Simulations on HPC Systems
[IEEE] 2025-12-1 | A Good First Impression for Quantum Algorithms
[IEEE] 2025-12-1 | Exploring ML for Stroke Prediction: Evaluation of XGBoost, KNN, and Naive Bayes with and without Data Leakage
[IEEE] 2025-12-1 | Quantitative STEM-EDS Analysis of Salicidation of SiC MOSFETs with a NiSi
                    <sub>2</sub>
                    Reference Sample
[IEEE] 2025-12-1 | Integrating CRISPR Technology and Computational Bioinformatics for Deeper Insights into Autism Spectrum Disorder
[IEEE] 2025-12-1 | HORIZON EYES: Smart Mobile Technology for Visually Impaired People
[IEEE] 2025-12-1 | Benchmarking Federated Learning Under Realistic Non-IID Conditions: A Structured Partitioning Approach Using ImageNet
[ACM] 2025-12-1 | Intelligent Evaluation of Multilayered Effects of BOPPPS Blended Curriculum on Intercultural Competence: A Data-Driven Analysis Using Random Forest Regression
[ACM] 2025-12-1 | Advances in Real-Time Rendering in Games Part I
[IEEE] 2025-12-1 | Front Cover
[IEEE] 2025-12-1 | Author Index
[IEEE] 2025-12-1 | Uncertainty-Aware PCA Revisited_supp1-3633868.txt
[IEEE] 2025-12-1 | 2025 IEEE 45th International Conference on Distributed Computing Systems Workshops (ICDCSW)
[IEEE] 2025-12-1 | Unified VideoMAE Framework for Detection of Multi-Disorder ADHD and Depression
[IEEE] 2025-12-1 | Message from the Chairs: IEEE Quantum Week 2025
[IEEE] 2025-12-1 | Copyright
[IEEE] 2025-12-1 | Miniaturized ScAlN bimorph MEMS Microphone with Windmill Structure Achieving 61.2 dB SNR
[IEEE] 2025-12-1 | Joint Trajectory and Resource Optimization for Delay Minimization of UAV-Enabled NOMA-MEC System With LWPT
[IEEE] 2025-12-1 | Privacy-Preserving Proxy Bilateral Access Control for Secure Data Forwarding
[IEEE] 2025-12-1 | ConvLSTM Autoencoder-based CSI Prediction for Efficient Target Detection in TDD-Based OFDM ISAC Systems
[IEEE] 2025-12-1 | Technical Program Committee
[ACM] 2025-12-1 | AI-Driven Value-Added Assessment System for Higher Vocational Education Curriculum: A Case Study of Environmental Monitoring Course
[ACM] 2025-12-1 | Online and offline blended learning data mining for the course of “Information Statistics”
[ACM] 2025-12-1 | Cultivating Cross-Cultural Curiosity and Competence: Integrating Short-Form Social Media Content into Journalism Education to Enhance Students' Intercultural Communication Skills
[ACM] 2025-12-1 | Neural network-based screening of people at risk for loneliness spectrum disorders
[IEEE] 2025-12-1 | Statistical Forecasting of Fat in Body Proportion Utilizing Nonlinear Anthropological Parameters and Density Evaluation
[IEEE] 2025-12-1 | Towards Solving Large QUBO Problems Using Quantum Algorithms: Improving the LogQ Scheme
[IEEE] 2025-12-1 | Improving Hardware Requirements for Fault-Tolerant Quantum Computing by Optimizing Error Budget Distributions
[IEEE] 2025-12-1 | Deep Learning based Skin Disease Classification with Preprocessing and Confidence Thresholding
[IEEE] 2025-12-1 | A Hybrid Deep Learning and Ensemble Framework for Real-Time Phishing Website Detection Using Optimized Feature Selection
[IEEE] 2025-12-1 | TinyLLaMA-based Expert System for IoT Device Security in Application-Specific Domains
[IEEE] 2025-12-1 | Autonomous Monitoring of Mental Health on Digital Media Platforms Using Multimodal AI
[IEEE] 2025-12-1 | Is Circuit Depth Accurate for Comparing Quantum Circuit Runtimes?
[IEEE] 2025-12-1 | Quantum Advantage in Computational Chemistry?
[IEEE] 2025-12-1 | Random Forest Classifier for Real-Time Monitoring and Analysis of IoT Devices in View of Energy Efficiency and Security
[IEEE] 2025-12-1 | Enhancing EBSD Analysis Accuracy for Materials with Similar Crystal Structures via ChI-Scan and T-EBSD: Application to Semiconductor Failure Analysis
[IEEE] 2025-12-1 | Quantum Reupload Units: A Scalable and Expressive Approach for Time Series Learning
[IEEE] 2025-12-1 | Performance Evaluation of Reconfigurable Tunnel Field-Effect Transistors at Varying Temperature
[IEEE] 2025-12-1 | Svayam: A Self-Adaptive Extensible CEP framework for the Cloud-Edge Continuum
[IEEE] 2025-12-1 | Active Disturbance Rejection Control for a Self-Driving Racecar
[IEEE] 2025-12-1 | Decentralized Deep Learning for Lithographic Hotspot Detection in IC Design
[IEEE] 2025-12-1 | Twiddle: Twirling and Dynamical Decoupling, and Crosstalk Noise Modeling
[IEEE] 2025-12-1 | Towards Quaternionic Description of Semiconductor Quantum Dots Based Electronics
[IEEE] 2025-12-1 | A Network Design Framework for Classical-to-Quantum Evolution
[IEEE] 2025-12-1 | MRI-Based Segmentation of Uterus and Tumor in Endometrial Cancer using Machine Learning and Deep Learning
[IEEE] 2025-12-1 | Efficient QAOA Architecture for Solving Multi-Constrained Optimization Problems
[IEEE] 2025-12-1 | Autocallable Options Pricing with Integration-Based Exponential Amplitude Loading
[IEEE] 2025-12-1 | Toolchain for Experiment Tracking in Iterative Quantum Software Development
[IEEE] 2025-12-1 | Detection of Surface Spins Causing Flux Noise in Quantum Devices Using Electron Spin Resonance
[IEEE] 2025-12-1 | Label-Free Adherent Cell Counting Based on Deep Learning
[IEEE] 2025-12-1 | Simulation of Quantum Transduction Strategies for Quantum Networks
[IEEE] 2025-12-1 | Stroke Prediction using Advanced Machine Learning Algorithms
[IEEE] 2025-12-1 | 180 Days After EIP-4844: Will Blob Sharing Solve Dilemma for Small Rollups?
[IEEE] 2025-12-1 | Overload-Resistant Flexible Strain Sensor Based on Stacked Silver Microsheets
[IEEE] 2025-12-1 | Rotation Invariant Trash Recognition in Recycling Robots
[IEEE] 2025-12-1 | From Questions to Knowledge: Chatbots as Learning Partners
[IEEE] 2025-12-1 | Leveraging Fault Isolation Techniques in Failure Mechanism Determination of Digital Circuit-Related Failures
[IEEE] 2025-12-1 | Nanoelectrical Fault Isolation with Multi-Modulations by Atomic Force Microscopy
[IEEE] 2025-12-1 | Refined MobileNet for Automated Skeletal Age Assessment via Bone Depth and Length Analysis
[IEEE] 2025-12-1 | A Double Selection Entanglement Distillation-Based State Estimator
[IEEE] 2025-12-1 | Symbolic Hamiltonian Compiler for Hybrid Qubit-Boson Processors
[IEEE] 2025-12-1 | Optimized Deep Learning for Breast Cancer Detection using APO Algorithm
[IEEE] 2025-12-1 | Quantum Control of Spin-Qubits with Spintronic Devices
[IEEE] 2025-12-1 | QAL: System-Level Integration of Quantum Accelerators
[IEEE] 2025-12-1 | Scalable Kernel Integrity Monitor
[IEEE] 2025-12-1 | Assessing VQLS for Fluid Dynamics on a Hybrid Quantum-HPC Stack
[IEEE] 2025-12-1 | A Review of Artificial Intelligence in Finance: Driving the Next Wave of Industry Innovation
[IEEE] 2025-12-1 | Scalable Hardware Maturity Probe for Quantum Accelerators via Harmonic Analysis of QAOA
[IEEE] 2025-12-1 | TD3 based Reinforcement Learning for News Article Recommendation
[IEEE] 2025-12-1 | Industry Ready Engineering Graduate for Africa
[IEEE] 2025-12-1 | Fault Location of Distribution Network Based on AIPSO Algorithm and Edge Computing Architecture
[IEEE] 2025-12-1 | Enhancing Cybersecurity and Green Communication in 5G Networks: Challenges and Sustainable Solutions
