[2026-02-27 09:35:03] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-02-26
正在获取论文...
[arXiv] 2026-02-26 | The regularity of the boundary of vortex patches for the quasi-geostrophic shallow-water equations
[NO] 74/200 | A quantum feasibility preserving modeling for the min cut problem
[NO] 75/200 | A Holistic Framework for Robust Bangla ASR and Speaker Diarization with Optimized VAD and CTC Alignment
[NO] 76/200 | Quantum Oppenheimer-Snyder Black Holes with a Cloud of Strings Surrounded by Perfect Fluid Dark Matter
[NO] 77/200 | Exact Rheology of Uniform Shear Flow in a Gas of Inelastic and Rough Maxwell Particles
[NO] 78/200 | Refined wave breaking for the generalized Fornberg-Whitham equation
[NO] 79/200 | Coherence squeezing in optical interference
[NO] 80/200 | OSDaR-AR: Enhancing Railway Perception Datasets via Multi-modal Augmented Reality
[NO] 81/200 | Light propagation and gravitational lensing effects in charged Kalb-Ramond spacetime in nonlinear electrodynamics
[NO] 82/200 | PSQE: A Theoretical-Practical Approach to Pseudo Seed Quality Enhancement for Unsupervised MMEA
[NO] 83/200 | A fusion of concepts
[NO] 84/200 | Information and coherence as resources for work extraction from unknown quantum state and providing quantum advantages
[NO] 85/200 | Projection depth for functional data: Practical issues, computation and applications
[NO] 86/200 | Learning Tangent Bundles and Characteristic Classes with Autoencoder Atlases
[NO] 87/200 | Filters, topologies, the Rado graph and the Urysohn space
[NO] 88/200 | Results on three problems on isolation of graphs
[NO] 89/200 | Testing beyond the Standard Model scenarios in next-generation long-baseline neutrino oscillation experiments
[NO] 90/200 | Compactness and Spectral Properties of Multiplier Operators in the Walsh System
[NO] 91/200 | A data- and compute-efficient chest X-ray foundation model beyond aggressive scaling
[NO] 92/200 | Endogenous Poverty Traps in Continuous Time: A Signaling Approach
[NO] 93/200 | Productivity and Collaboration in Hybrid Agile Teams: An Interview Study
[NO] 94/200 | First measurement of the strong interaction scattering parameters for the $\mathbf{K^-d}$ and $\mathbf{K^+d}$ systems
[NO] 95/200 | Weak dual symmetries of two color QCD phase diagram
[NO] 96/200 | Face Time Traveller : Travel Through Ages Without Losing Identity
[NO] 97/200 | PhotoAgent: Agentic Photo Editing with Exploratory Visual Aesthetic Planning
[NO] 98/200 | Experimental investigation of the effect of dispersion on squeezing generation in a synchronously pumped optical parametric oscillator
[NO] 99/200 | Communication-Guided Multi-Mutation Differential Evolution for Crop Model Calibration
[NO] 100/200 | Molecule Mixture Detection and Design for MC Systems with Non-linear, Cross-reactive Receiver Arrays
[NO] 101/200 | People, Roles, and Growth: How HCI Careers Are Evolving
[NO] 102/200 | An Extensible Framework Based on Graph-Guided Sample Replay for Motor Incremental Fault Diagnosis
[NO] 103/200 | A Self-Powered WuRX with RF Energy Harvesting: Time Division Multiplexing for Dual-Band
[NO] 104/200 | Enhanced Two-Stage Sparse Bayesian Learning Algorithm for Multi-Vehicle Precise Detection and Localization with MIMO-FMCW Radar
[NO] 105/200 | UKF-Based Adaptive Dynamic Programming for Optimal Control of Uncertain Quarter-Vehicle Suspension Systems With Input Constraints
[NO] 106/200 | Attentive Neural Processes for Fast Trajectory Prediction in Underwater Acoustic Networks
[NO] 107/200 | 2025 International Symposium on AI-Driven Image Processing and Computer Vision Technology (AIPCVT)
[NO] 108/200 | EDS Meetings Calendar
[NO] 109/200 | A Robotic Laser Welding Seam Tracking Method for Complex 3-D Weld Trajectories Based on Geometric Structure Analysis_supp8-3661009.mp4
[NO] 110/200 | Long-term evaluation of joint resistivity in lap joints of REBCO tapes with indium depending on pre-joint process and storage temperature
[NO] 111/200 | Lie Algebra-Based Probabilistic Shape Estimation of Flexible Continuum Robots from Sparse Pose Measurements
[NO] 112/200 | A Reference Functional Architecture for Network Digital Twins in 6G Systems
[NO] 113/200 | The Conundrum of LLMs
[NO] 114/200 | Table of Contents
[NO] 115/200 | ICKG 2025 Program Committee
[NO] 116/200 | Study on the Dynamic Response and Collapse Failure of 500kv DC Transmission Tower Line System Under Multi-Point Earthquake Excitation
[NO] 117/200 | The Hook-in-CBEWS Framework: A Behavioral Design Framework for Enhancing Engagement in Community-Based Early Warning Systems
[NO] 118/200 | A Modular Network Intrusion Detection Architecture Leveraging LLM Fine-Tuning with QLoRA and Textual Representation for Anomaly Detection
[NO] 119/200 | Mechanism and Solutions of False Trip Caused by Main Signal Latching Fault in Valve Control System of UHVDC Flexible Converter Station
[NO] 120/200 | Complex Scene Object Recognition and Segmentation Model Integrating Self-supervised Learning and Numerical Optimization Algorithm
[NO] 121/200 | A Continuous-Wave Wind Lidar System based on an Adaptive Threshold Peak Retrieval Algorithm
[NO] 122/200 | A Comparative Failure Analysis of Object Detection in Orthopantomography
[NO] 123/200 | Method for Identifying Nonlinear Dynamic Control Objects of Beneficiation Technology
[NO] 124/200 | Structural Extraction and Image Measurement Method for Complex Concrete Cracks
[NO] 125/200 | ReviewGraph: A Knowledge Graph Embedding Based Framework for Review Rating Prediction with Sentiment Features
[NO] 126/200 | An ADC-Based Interoperability Evaluation Framework for Unmanned Systems with Combined Weighting Method
[NO] 127/200 | A Physics-Informed Deep Reinforcement Learning Framework for Obstacle Avoidance and Path Planning of AUV
[NO] 128/200 | DMF-MH:Dual-Stage Modality-Aware Fusion for Modality Heterogeneity in Multimodal Knowledge Graph Completion
[NO] 129/200 | Integrated Study on Material Compatibility and Structural Design for Natural Ester Transformers
[NO] 130/200 | Multi-Energy Load Forecasting for Integrated Energy Systems Based on Mamba-Graph Convolutional Networks
[NO] 131/200 | Prevention Label Enrichment in a Network Intrusion Detection System Benchmark Dataset
[NO] 132/200 | Guest Editorial TCAS-I Special Issue Guest Editorial Based on the 16th IEEE Latin American Symposium on Circuits and Systems
[NO] 133/200 | Adaptive Multi-Scale Attention Mechanism for Robust Action Recognition in Complex Scenes
[NO] 134/200 | Knowledge-Driven Multi-Agent AI for Interpretable Yield Optimization in Semiconductor Manufacturing
[NO] 135/200 | Machine Learning-Based Prediction for Dynamic Line Rating of Transmission Lines
[NO] 136/200 | Implementation of the Online Virtual Labs in Electrical Engineering in the Learning Environment of Higher Education Institution
[NO] 137/200 | Comparative Analysis of CNN Architectures’ Performance with Vision Transformer for Batik Type Classification
[NO] 138/200 | Mining Tourist Sentiment at Scale for Personalized Marketing in Brunei
[NO] 139/200 | The Optimal Regenerative Braking Control of BLDC Motor for Light Electric Vehicle
[NO] 140/200 | Approximation Algorithm for Minimum Weight Sweep Coverage Without Predetermined Sinks
[NO] 141/200 | A Dual-Strategy Framework for High-Resolution Typographic Defect Segmentation
[NO] 142/200 | Patient Similarity Prediction Based on Facial Diagnosis Features
[NO] 143/200 | A Direct-Capacitance-Conversion FeRAM Characterization Platform for Enabling Non-Destructive 3D Ferroelectric Capacitor Readout
[NO] 144/200 | Enhanced Field-Oriented Control for Induction Motors Under Open-Circuit Faults Using Decoupled Speed and Flux Control with Adaptive Control Technique
[NO] 145/200 | A Dual-Mode Hydraulic Actuator for a Quasi-Passive Load-Carrying Exoskeleton in Multiple Conditions
[NO] 146/200 | Blockchain-Assisted Meta-Learning for Efficient and Reliable Authentication in IoV
[NO] 147/200 | Enhancing Software Interoperability Through Virtual Knowledge Graphs from Object-Oriented APIs
[NO] 148/200 | Interpretable Merging-Vehicle Acceleration Prediction via a Decoder-Only Transformer and Attention Map Clustering
[NO] 149/200 | PCCE 2025 Content Announcement Page
[NO] 150/200 | Design and Experimental Validation of a Safe Control Strategy for Reconfigurable Batteries
[NO] 151/200 | CSTNet: A Cross-Scale Transformer Network for Singing Melody Extraction
[NO] 152/200 | Exploring Generative AI for Mitigating Digital Twin Deviation in Secure Vehicular Edge Computing
[NO] 153/200 | Adaptive Fuzzy Logic-Based SMO Utilizing Higher Order Soft-Sign Function With ROA Tuned PI Gains for Sensorless PMSM Drive
[NO] 154/200 | Table of Contents
[NO] 155/200 | TD3-Enhanced Adaptive Active Disturbance Rejection Control for Bidirectional DC-DC Converter in Photovoltaic-Battery Hybrid Microgrids
[NO] 156/200 | CapsFormer: A Dual-Stream Causal-Aware Capsule-Transformer Network for EMG Signal Representation Learning
[NO] 157/200 | Cover
[NO] 158/200 | Investigating the Properties of a New Vertical 4H-SiC Photoconductive Semiconductor Switch With a Double-Side Epitaxial Structure
[NO] 159/200 | AirSpy: An Air-pinch Keystroke Inference Attack on Virtual Keyboards in VR Systems
[NO] 160/200 | Active Harmonic Voltage Injection Facilitating Application of Impedance Measurement-Based Protection in Microgrids_supp1-3668047.docx
[NO] 161/200 | Cardiology-Chat: A Multi-LLMs powered System for Cardiac Diagnostic Reasoning and Clinical Support
[NO] 162/200 | Efficient Object Detection and Depth Estimation Algorithms for Transportation Scenarios
[NO] 163/200 | Dual-band frequency selective rasorber with absorption effect in the X band
[NO] 164/200 | HLTSA: A Hierarchical-Updated Tree-Seed Algorithm with Dynamic Benchmark Selection and Mean Position Guidance
[YES] 165/200 | Modeling and Optimization Design Method for Curved Conformal Frequency Selective Surfaces Based on Adaptive Spatial Variant Lattice Algorithm
[NO] 166/200 | Research on smoke screen delivery methods based on composite algorithms
[NO] 167/200 | Research on Multi-Object Tracking Algorithms Combining Pedestrian Appearance Features under Occlusion Conditions
[NO] 168/200 | Ancillary Service Market Mechanisms and Value Realization of Regulating Resources in Modern Power Systems: International Comparisons and Implications
[NO] 169/200 | Research on Hot-Line Replacement Technology and Temporary Support System for Main Member of DC Transmission Line Based on Load Transfer
[NO] 170/200 | YOLOv8-Dynamicatss-Based Method for Extracting Structural Component Information in Bridge Engineering
[NO] 171/200 | Impact of Heterogeneity in Electric Vehicle Fast Charging Profiles on Queuing and Grid Load
[NO] 172/200 | Application Technology of Real-Time Situational Detection for Mobile Low-Altitude UAVs Along Coastal Areas
[NO] 173/200 | Blind Source-Separation-Based Method for Suppressing Radar Mainlobe Deceptive Jamming via Range-Domain Sparsity-Based Screening
[NO] 174/200 | Development of Multimedia Tests in Electrical Technologies in Online Learning Environment
[NO] 175/200 | Topic-Enhanced Instruction Tuning for Automatic Knowledge Graph Construction
[NO] 176/200 | An Adaptive SOC Virtual Inertia Control Strategy for Receiving-End GFM-MMCs with DC-Side Battery Energy Storage
[NO] 177/200 | Renewable Energy-Based Charging Infrastructure for Electric Vehicles: A Review
[NO] 178/200 | Weekly Refined Unit Commitment for Provincial Power Systems with High Penetration of Renewables
[NO] 179/200 | HUSHHH: An Immersive 3D Puzzle-Solving Game for Sign Language Learning
[NO] 180/200 | A Preliminary Investigation of a Mathematics Educational Game (Math Planet) for Supporting Slow Learners in Mathematics: Exploring the Potential of AI Integration
[NO] 181/200 | SSGR-AR: Semantic-Enhanced Scene Graph Reasoning for Robust Video Action Recognition
[NO] 182/200 | An LFCP-Based Line Protection for Full DC Offshore Wind Power System
[NO] 183/200 | ATDP-HGNN: An Attention-Enhanced Dual-Hypergraph Neural Network for Drug-Pathway Association Prediction
[NO] 184/200 | Solar Panels Defect Detection and Classification Based on ResNet50
[NO] 185/200 | MBS-Net: A Mamba-based Network for Efficient Remote Sensing Building Segmentation
[NO] 186/200 | Soft-Masked Mixture of Experts for Point-Cloud Denoising
[NO] 187/200 | Dual-View Compressed Knowledge Distillation for Defect Detection and Evaluation
[NO] 188/200 | Graph Reinforcement Learning—Based Distribution Network Expansion Planning Algorithm
[NO] 189/200 | A High-Speed Desaturation Protection Strategy for IGBTs Based on Coordinated Parameter Design
[NO] 190/200 | Factor Graph Optimization based Sensor Fusion Positioning Algorithm for UAV in GPS-denied Environment
[NO] 191/200 | SplitFusion: Asymmetric Parallel Inference for Diffusion Model in Heterogeneous Computility Network
[NO] 192/200 | Analysis of the Impact of the LVRT Threshold on the Active Power Transfer Capability of Renewable Energy
[NO] 193/200 | Smart Movement: Identifying Factors Impact on Purchase Intention of E-Motorcycle in Vietnam
[NO] 194/200 | Fault Location of a Distribution Network Hierarchical Model with a Distribution Generator Based on Improved Dung Beetle Optimization Algorithm
[NO] 195/200 | ICKG 2025 Organizing Committee
[NO] 196/200 | V-Model Design and Experimental Validation for Robust Direct Power Control of Wind Energy Conversion Systems
[NO] 197/200 | Gait Planning &amp; Adaptive Impedance Control for Turning Walk Based on a Self-Balancing Lower Limb Exoskeleton
[NO] 198/200 | SAM-PTx: Text-Guided Fine-Tuning of SAM with Parameter-Efficient, Parallel-Text Adapters
[NO] 199/200 | Neural Learning Control of Fighter Aircraft at High-Angle-of-Attack Maneuvers with Online Recorded Data and Disturbance Observer
[NO] 200/200 | Deep reinforcement learning for chaos control of a nonlinear jumping quarter-car model
筛选完成：共 200 篇；Yes = 1 篇；已保存到 papers/select_paper2026-02-26.json。
邮件发送成功！
[2026-02-27 10:03:49] 任务执行成功！
