[2026-02-11 09:46:24] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-02-10
正在获取论文...
[arXiv] 2026-02-10 | Hecke curves in Frobenius strata of moduli space of rank 2 vector bundles
[NO] 64/200 | XMap: Fast Internet-wide IPv4 and IPv6 Network Scanner
[NO] 65/200 | Revealing Gauge Constraints in LQG-Inspired Yang-Mills Theory
[NO] 66/200 | Performance Comparison of CNN and AST Models with Stacked Features for Environmental Sound Classification
[NO] 67/200 | GAFR-Net: A Graph Attention and Fuzzy-Rule Network for Interpretable Breast Cancer Image Classification
[NO] 68/200 | Clarifying Shampoo: Adapting Spectral Descent to Stochasticity and the Parameter Trajectory
[NO] 69/200 | On A Parameterized Theory of Dynamic Logic for Operationally-based Programs
[NO] 70/200 | Stabilizing Physics-Informed Consistency Models via Structure-Preserving Training
[NO] 71/200 | Positive-Unlabelled Active Learning to Curate a Dataset for Orca Resident Interpretation
[NO] 72/200 | Towards an OSF-based Registered Report Template for Software Engineering Controlled Experiments
[NO] 73/200 | A Trainable-Embedding Quantum Physics-Informed Framework for Multi-Species Reaction-Diffusion Systems
[NO] 74/200 | Improved Parallel Repetition for GHZ-Supported Games via Spreadness
[NO] 75/200 | Disambiguating Anthropomorphism and Anthropomimesis in Human-Robot Interaction
[NO] 76/200 | Submodularity of the expected information gain in infinite-dimensional linear inverse problems
[NO] 77/200 | X-Mark: Saliency-Guided Robust Dataset Ownership Verification for Medical Imaging
[NO] 78/200 | Bayesian network approach to building an affective module for a driver behavioural model
[NO] 79/200 | AlignTune: Modular Toolkit for Post-Training Alignment of Large Language Models
[NO] 80/200 | With Argus Eyes: Assessing Retrieval Gaps via Uncertainty Scoring to Detect and Remedy Retrieval Blind Spots
[NO] 81/200 | On the Hilbert depth of the quotient ring of the edge ideal of a complete bipartite graph
[NO] 82/200 | Clifford algebras, meson algebras and higher order generalisations
[NO] 83/200 | Hand2World: Autoregressive Egocentric Interaction Generation via Free-Space Hand Gestures
[NO] 84/200 | Highly suppressed tensor-to-scalar ratio from a modified Lennard-Jones inflationary potential
[NO] 85/200 | Why the Counterintuitive Phenomenon of Likelihood Rarely Appears in Tabular Anomaly Detection with Deep Generative Models?
[NO] 86/200 | Topological constraints suppress shear localization in granular chain ensembles
[NO] 87/200 | Preference Aligned Visuomotor Diffusion Policies for Deformable Object Manipulation
[NO] 88/200 | Amplitude-Phase Separation toward Optimal and Fast-Forwardable Simulation of Non-Unitary Dynamics
[NO] 89/200 | Higher Hardness Results for the Reconfiguration of Odd Matchings
[NO] 90/200 | ECG-IMN: Interpretable Mesomorphic Neural Networks for 12-Lead Electrocardiogram Interpretation
[NO] 91/200 | Optimal Control of Microswimmers for Trajectory Tracking Using Bayesian Optimization
[NO] 92/200 | Observational Constraints and Geometric Diagnostics of Barboza-Alcaniz and Logarithmic Dark Energy Parametrizations
[NO] 93/200 | ReSIM: Re-ranking Binary Similarity Embeddings to Improve Function Search Performance
[NO] 94/200 | Scalpel: Fine-Grained Alignment of Attention Activation Manifolds via Mixture Gaussian Bridges to Mitigate Multimodal Hallucination
[NO] 95/200 | Tensor CUR Decomposition under the Linear-Map-Based Tensor-Tensor Multiplication
[NO] 96/200 | UniARM: Towards a Unified Autoregressive Reward Model for Multi-Objective Test-Time Alignment
[NO] 97/200 | Autoregressive Direct Preference Optimization
[NO] 98/200 | Split, Skip and Play: Variance-Reduced ProxSkip for Tomography Reconstruction is Extremely Fast
[NO] 99/200 | Attention to details, logits to truth: visual-aware attention and logits enhancement to mitigate hallucinations in LVLMs
[NO] 100/200 | Invariance Galoisienne des zéros centraux de fonctions L
[NO] 101/200 | Design of a Linear Optimal Controller for Mobile Robots Using Distance Normalization Factor
[NO] 102/200 | Early Fire-Warning Strategy for High Voltage Cables Based on Pyrolysis Characteristics of PE Outer Sheath at Different Temperatures
[NO] 103/200 | Ninth IEEE RADIO International Conference, 27–30 October 2025, Mauritius [AP-S Committees &amp; Activities]_supp1-3638524.pdf
[NO] 104/200 | Low complexity probability shaping scheme based on energy-tier template insertion
[NO] 105/200 | Balancing Safety and Learning in IoT: A Risk-Aware Reinforcement Learning Approach
[NO] 106/200 | Sequential Hybrid Synthesis for Thinned Prephased Electronically Steered Phased Array Using Low-Resolution Phase Shifters and RF Switches
[NO] 107/200 | A 4.25–8.45-GHz 67% Chirp-Fractional Bandwidth −121.5-dBc/Hz PN at 1-MHz 88-fs Jitter FMCW Synthesizer With Fractional-Bandwidth-Boosting and Phase-Noise-Cancellation Techniques
[NO] 108/200 | Evanescent Mode Waveguide Resonator for High-Sensitive Nondestructive Testing Application
[NO] 109/200 | Collaborative Control of Four-Level Hybrid Clamped Converter With CMV Suppression and Capacitor Voltage Fluctuation Reduction
[NO] 110/200 | Security-Based Practical Fixed-Time Adaptive Control for High-Power Nonlinear Cyber-Physical Systems
[NO] 111/200 | A Stochastic Time-Dependent Optimization for Sustainable E-Grocery Chain with Cold-Storage Hubs and Perishability Constraints
[NO] 112/200 | Evaluating airborne LiDAR data-Derived canopy geometry for 3D radiative transfer simulations_supp1-3662359.docx
[NO] 113/200 | Bayesian Tensor Interpolative Decomposition for IoT-based Healthcare Data Multi-way Analytics
[NO] 114/200 | Structure-Preserving EEG Augmentation via Riemannian Conditional Generative Adversarial Networks
[NO] 115/200 | AquaticCLIP: A Vision-Language Foundation Model and Dataset for Underwater Scene Analysis_supp1-3657138.pdf
[NO] 116/200 | Visibility of Domain Elements in the Elicitation Process Interviews: A Family of Empirical Studies
[NO] 117/200 | A DTC-based Snapshot ADPLL with Feedforward Fractional Spur Cancellation and Asynchronous Duty-Modulation Dithering DCO Achieving -71.6 dBc Fractional Spur in 65-nm CMOS Process
[NO] 118/200 | Meta Guided-Graph Lightweight TimesNet for Traffic Prediction in the Internet of Vehicles
[NO] 119/200 | ESAChain: A Blockchain-Based Efficient Service Authentication Framework for Secure Metaverse Service Interactions
[NO] 120/200 | Throughput Optimization of Receiver-limited Optical Wireless Communication System
[NO] 121/200 | Applications of glutathione-capped gold nanoclusters in heterogeneous catalytic reduction of 4- nitrophenol and fluorescent sensing of mercury ions
[NO] 122/200 | Error Reconstruction Based Prescribed-Time Fault-Tolerant Control for QUAV
[NO] 123/200 | VIS 2025 Conference Committee
[NO] 124/200 | ZeroBot: Learning from Scratch in Minutes with Generative Real2Sim_supp1-3662595.mp4
[NO] 125/200 | Resource-Efficient Adaptive Tracking for Uncertain Multi-Agent Networks via Layered Event-Driven Architecture
[YES] 126/200 | Low-Overhead Sensing-Aided Communication with Frequency-Compensated Rainbow Beams
[NO] 127/200 | A Resource-Efficient Blockchain With Delegated Fault-Tolerance for Manufacturing Nodes
[NO] 128/200 | A Vision-Based Framework for Safe Landing Zone Mapping of UAVs in Dynamic Environments
[NO] 129/200 | Decentralized Optimization of Spectral Efficiency for Scalable CF-RAN with Network-Assisted Free-Duplex
[NO] 130/200 | Kolmogorov Complexity Characterizes Statistical Zero Knowledge
[NO] 131/200 | DecentraBot: An Intent-Aware LLM-Powered Conversational Agent With What-Next Prompting for Decentraland Users_supp1-3656955.pdf
[NO] 132/200 | A Kinesthetic Teaching Framework for Tasks With Contact Transitions and Time-Optimized Execution_supp1-3662532.mp4
[NO] 133/200 | Cryogenic Superconducting Current-Source Inverters Enabled Through
                    <i>J$_{c}$$(B)$</i>
                    Switches
[NO] 134/200 | BiCaution: Bridging Forward&amp;#x2013;Backward Interventional and Counterfactual Causal Establishment for Event Graph-Based Abductive&amp;#x00A0;Reasoning_supp1-3656122.pdf
[NO] 135/200 | Underwater Acoustic Target Classification using Hybrid Temporal-Spectral Feature Learning Network
[NO] 136/200 | Stress Detection Using Heart Rate Variability and Respiratory Signals Derived From a Single-Lead ECG
[NO] 137/200 | A Novel Self-Activated Gate-Clamping SiC MOSFET Enhancing Short Circuit Capability With Merit of Multicell Combination
[NO] 138/200 | Dry Noncontact Microwave Breast Imaging Based on Variational ModeDecomposition
[NO] 139/200 | User Intent Guided Query Reasoning over Knowledge Graph
[NO] 140/200 | GNSS Positioning Based on 3D LiDAR Perception and Virtual Grid-Based Differential Correction in Urban Environments
[NO] 141/200 | From Obstacles to Etiquette: Robot Social Navigation with VLM-Informed Path Selection_supp1-3662586.mp4
[NO] 142/200 | Design and Optimization of MEMS Vacuum Gauge Circuits for Enhanced Leakage Suppression and Accurate Capacitance Conversion
[NO] 143/200 | A 28-GHz Compact Phased-Array Beamformer With 21.3-dBm
                    <i>P</i>
                    <sub>SAT</sub>
                    and 5.2-dB Noise Figure in 40-nm CMOS
[NO] 144/200 | Development of a Life Enrichment Education Curriculum for Rural Women in India
[YES] 145/200 | Robust IRS Beamforming for IoT-Enabled LEO Satellite Systems via Channel Decoupling under Ephemeris-Aided Statistical Modeling
[NO] 146/200 | Autonomous Sensorless Control Strategy for FP-PMSM Considering Operation Uncertainties with DCEE
[NO] 147/200 | Multi-Resolution Cross-Attention Transformer for Spatiotemporal Prediction of Permafrost Deformation in InSAR Time Series_supp1-3662345.docx
[NO] 148/200 | AVQACL++: Toward a Robust Framework and Benchmark for Audio-Visual Question Answering Continual Learning_supp1-3662386.pdf
[NO] 149/200 | Geometry-Aware Conditional GAN for Sub-THz Channel Generation and Modeling in IIoT
[NO] 150/200 | Partial Discharge Anomaly Detection and Severity Assessment for HV Bushings Based on Self-Supervised Adversarial Encoder Network and Gaussian Mixture Model
[NO] 151/200 | FORTE: Tactile Force and Slip Sensing on Compliant Fingers for Delicate Manipulation_supp1-3662618.mp4
[NO] 152/200 | Disturbance-rejection Synchronization Control of USVs with Input Saturation and Communication Link Faults
[NO] 153/200 | GNSS/SINS Tightly Coupled Integration Using a Rotating Antenna: Observability Analysis and Performance Evaluation
[NO] 154/200 | A 3D Correlated Blockage Model for Satellite Networks
[NO] 155/200 | Optimal Receiving System Using Ground Electrode Arrays for Through-the-Earth Communication
[NO] 156/200 | Parallel variational quantum algorithms with gradient-informed restart to speed up optimization in the presence of barren plateaus
[NO] 157/200 | TAFA: Blockchain-Based Integrating Genetic Algorithm and DQN for Secure File Allocation
[NO] 158/200 | Multi-Agent Reinforcement Learning Based on Hybrid Action Representation for UAV Swarms’ Integrated Communication and Control
[NO] 159/200 | Design and Control of a Novel Hybrid Typed Outdoor Mobile Robot Platform: MobED_supp1-3662632.mp4
[NO] 160/200 | High-Temperature Performance of SiC NPN X-Ray Detector
[NO] 161/200 | 3D-Printed Volume Adjustable Socket for Above-Knee Prostheses_supp1-3662558.mp4
[NO] 162/200 | A Memristor-Based Neural Network Circuit with Classical Conditioning and Fear Generalization
[NO] 163/200 | Preface
[NO] 164/200 | A Compact Broadband Transition From Ground Coplanar Waveguide to Folded SIW
[NO] 165/200 | Improving Semiconductor Defect Classification in SEM Images via Domain Adaptation
[NO] 166/200 | LiveIndex: An Index-Driven Hybrid-Storage Blockchain Framework for Cross-Domain Data Governance
[NO] 167/200 | Adaptive Shared Cascade Navigation Control of Magnetic Microrobots in Unstructured Dynamic Environments
[NO] 168/200 | Enabling Population-Level Parallelism in Tree-Based Genetic Programming for GPU Acceleration
[NO] 169/200 | A Cross-Domain Milk Freshness Detection Method Based on Transfer Learning
[NO] 170/200 | Beyond Single-Scale: A Multi-Scale Approach to Semantic-Enhanced Crop Disease Recognition through Image-Text Fusion
[NO] 171/200 | An Ultra-Fast AOT Buck Converter Using Capacitor Current Sensing Technique
[NO] 172/200 | Single-Stage Lesion Identification in $^{68}$Ga-DOTATATE PET Images
[NO] 173/200 | Observer-aided Adaptive Consensus Control of Cyber-physical Multi-Agent Systems with Hybrid Attacked Topology
[NO] 174/200 | RRAM: A Reconfigurable Request-Rate-Aware Multi-DNN Accelerator Based on FPGA_supp1-3662511.pdf
[NO] 175/200 | PHENet: Towards Robust Fog-Resilient Change Detection in Remote Sensing Imagery with a Physics-Guided Height-Enhanced Network
[NO] 176/200 | Magnetic Electrochemical Nano-biosensors for Detection of Neuron-specific Enolase_supp1-3660638.docx
[NO] 177/200 | FLARE: Agile Flights for Quadrotor Cable-Suspended Payload System via Reinforcement Learning_supp1-3662598.mp4
[NO] 178/200 | A Simple Compliant Gripper That Reconfigures Between Sensing and Grasping Modes_supp2-3662656.mp4
[NO] 179/200 | Application of the Born Approximation for Modeling EM Effects of Moving Materials in COMSOL Multiphysics
[NO] 180/200 | A 20-Gb/s/pin 0.42-pJ/b Single-Ended Receiver with Ping-Pong Self-Referencing Technique
[NO] 181/200 | Synthesis of SmFeAsO Polycrystalline Bulks with Improved Purity by High-Energy Milling
[NO] 182/200 | Dynamic Convolutional Neural Network for Digital Predistortion in Multistate PA Modeling
[NO] 183/200 | Shifting Maximum Efficiency Point Tracking and Battery Model to the Primary-Side Control of SS-Compensated Wireless Charging Systems
[NO] 184/200 | Robust Physics-Informed Penalty-Free Machine Learning Method for Solving 3-D Maxwell’s Equations in the Frequency Domain
[YES] 185/200 | Cascaded Optical Reconfigurable Intelligent Reflecting Surfaces for Multi-Hop Optical Wireless Communications
[NO] 186/200 | A Method for Converting Satellite-observed Thermal Infrared Radiance to Nadir Radiance: A Case Study in Desert Regions
[NO] 187/200 | A Synchronized Orthogonal Gait Phase Estimation Method Based on the Inter-Thigh Angle
[NO] 188/200 | Rate-Distortion Analysis for Sampled Correlated Cyclostationary Gaussian Processes
[NO] 189/200 | Understanding Over-Squashing in Dynamic Graphs
[NO] 190/200 | MemAscend: System Memory Optimization for SSD-Offloaded LLM Fine-Tuning
[YES] 191/200 | Adaptive Symbol and Power Loading for OFDM-based Underwater Wireless Optical Semantic Communications
[NO] 192/200 | Microwave surface resistance of Tl-1223 films in a dc magnetic field
[NO] 193/200 | DAMON: Difference-Aware Medical Visual Question Answering via Multimodal Large Language Model
[NO] 194/200 | Integration of Multiscale Simulations and AI Models for the Design of High-Performance Dielectric Polymers
[YES] 195/200 | UAV-Enabled Covert Communication With Movable Antenna Against Cooperative Detection
[NO] 196/200 | DaVinci: Performance-Driven Analog Routing via Multi-modality Guidance Prediction
[NO] 197/200 | Omni-LIVO: Robust RGB-Colored Multi-Camera Visual-Inertial-LiDAR Odometry via Photometric Migration and ESIKF Fusion_supp1-3662590.mp4
[NO] 198/200 | Hierarchical Optimization Framework for Robust PCB Defect Detection via Adaptive YOLOv12 Architecture
[NO] 199/200 | Efficient Phase-Compensated Multi-Resonant Control for Inverter Applications
[YES] 200/200 | Distributed Real-Time Optimization for UAV-Based MIMO Communication System with Dynamic Cooperative Performance Adaptation
筛选完成：共 200 篇；Yes = 7 篇；已保存到 papers/select_paper2026-02-10.json。
邮件发送成功！
[2026-02-11 10:22:50] 任务执行成功！
