[2026-01-17 09:09:56] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-01-16
正在获取论文...
[IEEE] 2026-1-16 | Resilient Control Design for EV Fast Charging Unit Consisting of Multiple SAB Converter Modules
[IEEE] 2026-1-16 | Horizontally and Circularly Polarized Omnidirectional Filtering Dielectric Resonator Antenna
[IEEE] 2026-1-16 | Sentiment Analysis of Comments From X Towards Climate Change Using CNN Model
[IEEE] 2026-1-16 | A Mixed Dual-Branch Network for Detecting Cervical Spondylotic Myelopathy and Parkinsonian Syndromes via Gait Analysis
[IEEE] 2026-1-16 | Enhancing estimation performance of winter wheat chlorophyll fluorescence parameter Fv/Fm by fusing spectral, textural and physiological features
[IEEE] 2026-1-16 | IEEE ComSoc Publications
[IEEE] 2026-1-16 | Extended Target Adaptive Beamforming for ISAC: A Perspective of Predictive Error Ellipse
[IEEE] 2026-1-16 | Resource-Efficient Personal Large Language Models Fine-Tuning with Collaborative Edge Computing
[IEEE] 2026-1-16 | Numerical and Experimental Study on Mixed Use of Implantable Pulse Generator for AIMDs Under 1.5T MRI
[IEEE] 2026-1-16 | A Hybrid Snapshot Architecture Using Firestore and Google Cloud Storage for Medical Reporting Optimization
[IEEE] 2026-1-16 | Refactoring for Sustainable Maintainability: A SonarQube-Based Case Study on a Campus Canteen Application
[IEEE] 2026-1-16 | A Unified Method for Suppressing Both Zero-Se-quence and Intra-Phase Circulating Currents in Two-Parallel Three-Phase Power Converters
[IEEE] 2026-1-16 | 2025 Index IEEE Electrification Magazine
[IEEE] 2026-1-16 | Design and Optimization of Fractional-Turn Transformer With Low Core Loss and Profile
[IEEE] 2026-1-16 | Convergence- and Quality-Controlled Model Resolution Adjustment for Accelerated Multi-Fidelity Design of Antenna Structures
[IEEE] 2026-1-16 | ReVISit 2: A Full Experiment Life Cycle User Study Framework
[IEEE] 2026-1-16 | Low-Profile Dual-Polarized Omnidirectional Antenna with Enhanced Isolation for Full-Duplex Applications
[IEEE] 2026-1-16 | Particle Diffusion Matching: Random Walk Correspondence Search for the Alignment of Standard and Ultra-Widefield Fundus Images
[IEEE] 2026-1-16 | Novel GNSS-INS Integration Scheme with UKF-Based Dynamic IMU Calibration and Dual-layer Design for Reliable Navigation_supp1-3654361.docx
[IEEE] 2026-1-16 | Cybersecurity Issues and Challenges in Internet of Energy (IoE)—Part 1
[IEEE] 2026-1-16 | Real Time Phase Transition Sensor Based on Latent Heat Driven FBG for Sub-Millimeter Ice Accretion Monitoring
[IEEE] 2026-1-16 | Exploiting Multi-wavelength Pulse Transit Time to Improve the Calibration of RGB-camera based SpO
                    <sub>2</sub>
                    Measurement
[IEEE] 2026-1-16 | Transient Plane-Wave Response of a Dual-Loaded Small-Loop Antenna: A Time-Domain Approach Using Quasi-Static Thin-Wire Partial Elements
[IEEE] 2026-1-16 | Development of a Patient Care Cost Prediction Model Using the Light Gradient Boosting Machine (LightGBM) Algorithm
[IEEE] 2026-1-16 | A Comparative Analysis of Membership Functions for Optimizing ANFIS-Based Oyster Mushroom Production Forecasting
[IEEE] 2026-1-16 | Target-Driven Ring-by-Ring Optimization of an Achromatic and Coma-Corrected Long-Wave Infrared Hybrid Metalens for Large Field of View Imaging
[IEEE] 2026-1-16 | PSRONet: A Deep Reinforcement Learning-based Sensor Configuration Framework in Railway Point Machines Fault Diagnosis
[IEEE] 2026-1-16 | Enhancing Battery Equivalent Circuit Model Performance through Hybrid-Domain-Informed and Current-Adaptive Parameter Identification
[IEEE] 2026-1-16 | Color Correction Meets Cross-Spectral Refinement: A Distribution-Aware Diffusion for Underwater Image Restoration
[IEEE] 2026-1-16 | Case-Based Mixture of Experts Recommendation with Federated and Reinforcement Learning for Bias Reduction
[IEEE] 2026-1-16 | A Hybrid LBM-FVM Solver for Simulating Multiphase Multi-Component Fluids_supp1-3644004.mp4
[IEEE] 2026-1-16 | Remaining Useful Life Prediction of High-Voltage DC Contactors Based on Acoustic-Electrical Signal Feature Fusion and TCN-Transformer
[IEEE] 2026-1-16 | Predefined-Time Adaptive Fuzzy Distributed Optimal Output Feedback Control for Nonlinear Multiagent Systems via Reinforcement Learning
[IEEE] 2026-1-16 | Resolvent-Type Data-Driven Learning of Generators for Unknown Continuous-Time Dynamical Systems
[IEEE] 2026-1-16 | On-Demand Beam-Widening Reflector Antenna for a J-band Imaging Radar With Micro-Doppler Measurement Capability
[IEEE] 2026-1-16 | A Clinical System for Myocardial Ischemia Detection Based on Fiber Optic Sensor
[IEEE] 2026-1-16 | A Compact Avalanche Photodiode Package with Enhanced EMI Immunity
[IEEE] 2026-1-16 | Ecological Autonomous Vehicular Platoon Control With Privacy-Preserving Communication Protocol
[IEEE] 2026-1-16 | CBPE-Based Assignment Policy for Multiple Player Pursuit-Evasion Game by D3QN Algorithm Applied to Uncrewed Vehicles
[IEEE] 2026-1-16 | Dual-Modified PDMS-Based Triboelectric Nanogenerator for Biomechanical Energy Harvesting and Deep Learning&amp;#x2013;Driven Caloric Consumption Calculation_supp2-3652703.mp4
[IEEE] 2026-1-16 | SDT-SLAM: A Short-term dynamic tracking SLAM algorithm for dynamic scenes based on RGB-D Sensors
[IEEE] 2026-1-16 | Design and Implementation of a Reverse Proxy Architecture for Cyber Attack Mitigation on Private Cloud: A Case Study
[IEEE] 2026-1-16 | Conference Information
[IEEE] 2026-1-16 | An Ensemble Graph and Series Decomposition Model for Water Level Prediction at both Real and Virtual Stations in the Yangtze River
[IEEE] 2026-1-16 | Algebraic Criterion for Nonlinear Unknown Input Observability in Systems Without Control Inputs
[IEEE] 2026-1-16 | A Heterogeneous Graph Reinforcement Learning Framework With Question-Aware Neighborhood Aggregation and Interoption Prompt Attention for Dynamic Flexible Job Shop Scheduling Problem_supp1-3646962.docx
[IEEE] 2026-1-16 | Efficient Learning of Regularized Tyler's
                    <i>M</i>
                    -Estimator
[IEEE] 2026-1-16 | IEEE Xplore Digital Library
[IEEE] 2026-1-16 | CSM-SLAM: A Dynamic Visual SLAM Approach Based on Cross-Frame Semantic Matching
[IEEE] 2026-1-16 | Generalized Finite-Time Variable Gain Composite ADRC for Nonlinear Systems and Its Application to Vehicle Active Suspensions
[IEEE] 2026-1-16 | Enhanced Radar Fall Detection via Compressed Sensing and Deep Learning-Assisted Point Cloud Generation
[IEEE] 2026-1-16 | New Attention Ensemble-Based Fault Diagnosis for Industrial Processes Under Imbalanced Finite Data
[IEEE] 2026-1-16 | Graph-Based Heterogeneous Multiagent Reinforcement Learning for Distribution System Service Restoration
[IEEE] 2026-1-16 | A Novel High-Gain Low-Corner-Frequency Cascode Amplifier in IZO TFTs Using a Dynamic-Biased Dual-Capacitor Bootstrap Load for Bio-Signal Sensing
[IEEE] 2026-1-16 | Integrated Trajectory, Association, and Fair Resource Allocation for AoI and Energy-Aware Data Collection in Air-Ground Collaborative Networks
[IEEE] 2026-1-16 | Enhancing Character Evaluation in Agile-Based Learning Through OpenAI-Powered NLP and TALL Stack Integration
[IEEE] 2026-1-16 | Privacy-preserving Joint Distribution Analysis for Set-Valued Data via Local Differential Privacy
[IEEE] 2026-1-16 | The Impact of SMOTE and Data Augmentation on the Performance of the EfficientNetB0 Model for Alzheimer's Classification
[IEEE] 2026-1-16 | A Real-Time Energy-Efficient Monitoring and Management Framework for Sustainability of F5G-Advanced Networks
[IEEE] 2026-1-16 | Robust SFC Placement In Next Generation Multi-domain IoT Networks Under Resource Demand Uncertainty
[IEEE] 2026-1-16 | NIDC: General Task Backbone for Neuroimaging Analysis via Interpretable Deep Clustering
[IEEE] 2026-1-16 | Toward Deployable CXL-PNM: The CMM-Ax Prototype and Software Stack
[IEEE] 2026-1-16 | Front Cover
[IEEE] 2026-1-16 | <i>H</i>
                    <sub>∞</sub>
                    Intermittent Sampled-Data Load Frequency Security Control of Multiarea Power Systems: Using a Switching-Time-Dependent Lyapunov Functional
[IEEE] 2026-1-16 | GPS Tracking System Using Handy Talky Radios for Oil Palm Plantation Monitoring
[IEEE] 2026-1-16 | SQL Injection in LLM-Generated Queries: Systematic Analysis of Detection Gaps and Security Risks
[IEEE] 2026-1-16 | Parasitic Capacitance of Switching Devices and Its Application to Improve the Design Accuracy for VHF DC–DC Converters
[IEEE] 2026-1-16 | B2Q-Net: Bidirectional Branch Query Network for Surgical Phase Recognition
[IEEE] 2026-1-16 | LLMI3D: MLLM-based 3D Perception from a Single 2D Image
[IEEE] 2026-1-16 | Physical Parameter Dependencies in Mechanical Reservoir Computing: Structural Analysis, Actuation, and Improved Processing_supp4-3649650.mp4
[IEEE] 2026-1-16 | Cognitive FMCW Automotive Radar for Interference Suppression
[IEEE] 2026-1-16 | From Generation to Detection: Multimodal Generative AI and the Threat of Automated Misinformation_supp1-3654905.pdf
[IEEE] 2026-1-16 | Classification of Generative AI Answers Versus Human Answers on Indonesian Texts Using the TF-IDF and Support Vector Machine Methods
[IEEE] 2026-1-16 | Spatiotemporal Air Quality Index (AQI) Modeling in DKI Jakarta with Hybrid LightGBM Attention
[IEEE] 2026-1-16 | Semantic AI Infrastructure for Sustainable Decision Intelligence
[IEEE] 2026-1-16 | Ship Target Rapid Detection and Signal Extraction in Wide-area Oceanic scenes Based on ResNet-ID42 Network for Spaceborne SAR Range-Compressed Domain Data
[IEEE] 2026-1-16 | Identification of Adulteration and Brands of Packaged Mango Juices using KNN model on LDA-Reduced Hydrogel Impedance Data
[IEEE] 2026-1-16 | Spectral Line Enhancement for Noise-Resilient Passive Sonar Detection using Dual-Attention Guided Wavelet domain FISTA-Net
[IEEE] 2026-1-16 | Parallel Clusters: Visual Comparison of Embeddings Based on Multi-Scale Neighborhood Analysis
[IEEE] 2026-1-16 | Optimizing Dependency-Aware Age of Information in STCC Systems via MADRL
[IEEE] 2026-1-16 | IEEE Sensors Letters Subject Categories for Article Numbering Information
[IEEE] 2026-1-16 | Toward Sustainable Edge Computing Infrastructures: A VEC-MEC-Cloud Collaborative Framework for Adaptive Resource Distribution
[IEEE] 2026-1-16 | 6G for Sustainability: A Drip on the Heatplate, Small Steps with a Big Impact
[IEEE] 2026-1-16 | Real-Time Gender Detection from Facial Images Using Fine-Tuned Inception V3 and MediaPipeOpenCV Pipeline
[IEEE] 2026-1-16 | A Hybrid Boosting Weighted ELM–Random Forest Model for Sentiment Analysis of Academic Information System Reviews
[IEEE] 2026-1-16 | Synergistic Sterilization via Dual-Wavelength LED: Reducing UV Energy and Enhancing Microbial Inactivation through Optimized Irradiation Sequencing
[IEEE] 2026-1-16 | A 1-Bit Low-Profile Millimeter-Wave Antenna Array with Electronically Controlled Two-Dimensional Wide-Angle Beam Scanning
[ACM] 2026-1-16 | Building Trust in Artificial Intelligence: A Systematic Review through the Lens of Trust Theory
[IEEE] 2026-1-16 | A Robust Planar-Coil Variable Reluctance-Based Angle Sensor System With PWM Output
[IEEE] 2026-1-16 | Affording Balanced Ambipolar Transport by Solution-Processing Highly-Oriented and Bicontinuous Phase Structures
[IEEE] 2026-1-16 | Understanding Aortic Dissection Hemodynamics: Evaluating Adapted Smoke Surfaces Against Streakline-Based Techniques_supp1-3634823.mp4
[IEEE] 2026-1-16 | Towards Privacy-Preserving and Personalized Smart Homes via Tailored Small Language Models
[IEEE] 2026-1-16 | Front Cover
[IEEE] 2026-1-16 | Microstructural Analysis of Transmission Electron Microscope Images of YBCO Superconducting Thin Films Using Machine Learning Image Recognition
[IEEE] 2026-1-16 | System-Level Demonstration of a 3D-Integrated Optical 16×16 Benes Switch
[IEEE] 2026-1-16 | An Intelligent Force Sensing Method for Soft Parallel Robots in Gastrointestinal Endoscopy
[IEEE] 2026-1-16 | A Multimodal Sensor-Integrated Lower Limb Exoskeleton with Digital Twin Framework for Real-Time Gait Rehabilitation
[IEEE] 2026-1-16 | An Integrated Analysis of Bibliographic Trends with AIS-Based Vessel Operational Data for the Evaluation of Alternative Fuels
[IEEE] 2026-1-16 | SCANNING THE LITERATURE/Edited by Xiaohua Tian
[IEEE] 2026-1-16 | Gentle Manipulation of Long-Horizon Tasks Without Human Demonstrations_supp1-3653406.mp4
[IEEE] 2026-1-16 | “malicious or Benign?”: Enhancing the Contribution of Model Updates in Byzantine-Robust Heterogeneous Federated Learning
[IEEE] 2026-1-16 | Process Mining for Service Time Analysis of CKD Patients on BPJS Kesehatan Dataset
[IEEE] 2026-1-16 | Robust Recursive Widely-Linear Diffusion Adaptive Filtering with Linear Constraint
[IEEE] 2026-1-16 | Source Localization for Extremely Large-Scale Antenna Arrays under Spatial Non-Stationarity and Near-Field Effects
[IEEE] 2026-1-16 | High Resolution Multi-Mode Electromagnetic Vortex Imaging Driven by the RELAX Algorithm
[IEEE] 2026-1-16 | On the Computation Offloading and Privacy Preserving in Multi-UAV Networks
[IEEE] 2026-1-16 | Water Soluble Flexible Substrate Based Humidity Sensor for Transient Sensing
[IEEE] 2026-1-16 | Incorporating Drone into Mixed Reality for Enhanced Remote Collaboration: A User Study on Inspection Task
[IEEE] 2026-1-16 | Measurement of Echocardiographic Parameters in Various Cardiac Phases: A Comparative Study of Deep Learning Models and Keypoint Representations
[IEEE] 2026-1-16 | Optimization of Interaction Experience in a Smart Home Control System Based on Pose Estimation: Proposing a New Method
[IEEE] 2026-1-16 | CLE-SH: Comprehensive Literal Explanation package for SHapley values by statistical validity_supp2-3654890.docx
[IEEE] 2026-1-16 | Stability Boundary Evaluation Method for the Cascaded Bipolar DC Distribution System with CPLs Based on Impedance Analysis
[IEEE] 2026-1-16 | Variable Switching Frequency Phase Shift Modulation for Zero-Voltage-Switching in Two-Parallel SiC Converters
[IEEE] 2026-1-16 | A Predictive Encoderless Control Technique for PMSMs: Enabling Loaded Standstill Operation
[IEEE] 2026-1-16 | Improved Quantitative 23Na MRI via Denoising with Multi-Channel Weighted Schatten p-Norm Minimization and Generalized Robust PCA
[IEEE] 2026-1-16 | A Superior Sonar Image Reconstruction Technique Based on Enhanced Real-ESRGAN
[ACM] 2026-1-16 | RaDe-GS: Rasterizing Depth in Gaussian Splatting
[IEEE] 2026-1-16 | Bandwidth-Enhanced, Flexible, Horizontally Polarized Omnidirectional Antenna for Internet of Vehicles Application
[IEEE] 2026-1-16 | Model Identification and Control of Autonomous Surface Vessels: An Overview of Recent Advances and Future Perspectives
[IEEE] 2026-1-16 | Pedestrian Panic Behavior Recognition Model Based on Multi-Modal Data Fusion and Experimental Analysis in Transit Hubs
[IEEE] 2026-1-16 | Comparative Study of Pre-Trained Models for BISINDO Sign Language Recognition
[IEEE] 2026-1-16 | Dual-Modified PDMS-Based Triboelectric Nanogenerator for Biomechanical Energy Harvesting and Deep Learning&amp;#x2013;Driven Caloric Consumption Calculation_supp1-3652703.docx
[IEEE] 2026-1-16 | Ensemble Transitive Bidirectional Decoupled Self-Distillation for Time-Series Classification
[IEEE] 2026-1-16 | Emission Reduction and Financing Decisions in Blockchain-Enabled Supply Chains under Cross-Level Financing
[IEEE] 2026-1-16 | Modeling and Analysis of Brushless Doubly-Fed Induction Machine by Magductance
[IEEE] 2026-1-16 | Fiber Laser-Type Current Sensing System Based on Pre-Biased Yttrium Iron Garnet Probe
[IEEE] 2026-1-16 | Hybrid CNN–BiLSTM Architecture with FastText Embedding for Cyberbullying Classification in Indonesian Social Media
[IEEE] 2026-1-16 | A Federated Learning Architecture with Weighted Aggregation for Feed Intake Analysis in Precision Livestock Systems
[IEEE] 2026-1-16 | Multi-Seizure Classification Using Transformer-Based Attention Models and Pseudo-Labeling Techniques in EEG Analysis
[IEEE] 2026-1-16 | Safety Analysis of Over-the-air Updates for CPS: A Contract-Driven Approach
[IEEE] 2026-1-16 | Clinical Correlation of Smart IoT-Enabled Point-Of-Care wIT Jacket with Plethysmograph_supp1-3654554.docx
[IEEE] 2026-1-16 | iPLAN: Redefining Indoor Wireless Network Planning Through Large Language Models
[IEEE] 2026-1-16 | Smart Energy Management for Electric Vehicle: A Unified Adaptive Network Approach
[IEEE] 2026-1-16 | Learning-Based Multi-View Stereo: A Survey
[IEEE] 2026-1-16 | Computing-Electricity-Water Synergy-Based ExpansionPlanning of Sustainable Data Center
[IEEE] 2026-1-16 | Information Capacity as a Predictor of Perception Performance
[IEEE] 2026-1-16 | Contact-Implicit Optimal Planning and Iterative Learning Control for Quadrupedal Robots
[IEEE] 2026-1-16 | PortaCap: Portable Volumetric Video Capturing System for Metaverse Interaction
[IEEE] 2026-1-16 | Front Cover
[IEEE] 2026-1-16 | First Demonstration of Human-Portable Millimeter Wave SAR Imaging with Motion-Sensor-Free Autofocus for Search and Rescue Applications
[IEEE] 2026-1-16 | Time-Filtering Graph Learning with Spatial-Temporal Diffusion for Robust Blade Icing Detection
[IEEE] 2026-1-16 | The 31st Annual International Conference on Moblic Computing and Netiworking (ACM MobiCOM 2025) 4-8 NoveMBER 2025, HonG Kong, CHINA
[IEEE] 2026-1-16 | Wideband Circularly Polarized Quadrifilar Helix Antenna with Hemispherical Coverage
[IEEE] 2026-1-16 | Assessment and Mapping of Soil Organic Carbon Stocks in Boreal Montane Forest Permafrost Region: A Case Study of Northeastern China
[IEEE] 2026-1-16 | A tunable optical frequency reference module based on a volume holographic Bragg grating
[IEEE] 2026-1-16 | Computer Vision for Product Identification on Retail Shelves
[IEEE] 2026-1-16 | Improved Control Approaches for Dynamic Voltage Restoration in Doubly Fed Induction Generator-Based Wind Turbines
[IEEE] 2026-1-16 | Boosting HDR Image Reconstruction via Semantic Knowledge Transfer
[IEEE] 2026-1-16 | 2025 Index IEEE Journal of Radio Frequency Identification
[IEEE] 2026-1-16 | Deepfake Audio Detection in Low-Resource Languages: A Case Study of Urdu
[IEEE] 2026-1-16 | Segmentation-Free Goodness of Pronunciation
[IEEE] 2026-1-16 | A Scalable Cloud-Based Framework for Adaptive Traffic Signal Control Utilizing Deep Reinforcement Learning in Urban Environments
[IEEE] 2026-1-16 | Fabrication, s-SNOM characterization and in vitro testing of laser-induced periodic surface structures for dental abutment applications
[IEEE] 2026-1-16 | Achievable Rate and Coding Principle for MIMO Multicarrier Systems With Cross-Domain MAMP Receiver Over Doubly Selective Channels
[IEEE] 2026-1-16 | CrossRay3D: Geometry and Distribution Guidance for Efficient Multimodal 3D Detection
[IEEE] 2026-1-16 | Integrated IT Risk Management Framework for a Computer Laboratory: Policy Design and Implementation
[IEEE] 2026-1-16 | W-band High-gain Glass-based Substrate Integrated Cavity Antennas for Heterogeneous Integration Applications
[IEEE] 2026-1-16 | On the Frequency Limits of Gradient Refractive INdex (GRIN) Media
[IEEE] 2026-1-16 | A High-Performance Self-Collimation SPECT for Small Animal Imaging
[IEEE] 2026-1-16 | Front Cover
[IEEE] 2026-1-16 | Power Dispersion Factors of Random Pulse Position Modulations for DC/DC Converters
[IEEE] 2026-1-16 | Token-Level Prompt Mixture with Parameter-Free Routing for Federated Domain Generalization
[IEEE] 2026-1-16 | Exposing Disguises and Tracing Illicit Flows: Dual-View Graph Representation Learning for Money Laundering Detection
[IEEE] 2026-1-16 | EROAM: Event-Based Camera Rotational Odometry and Mapping in Real-Time
[IEEE] 2026-1-16 | A Novel Dynamic Localization Graph for Efficient Relative Localization
[IEEE] 2026-1-16 | ADTM: An Adaptive Dual-Threshold Method for Effective Signal Extraction from ICESat-2 Without Manual Thresholding_supp1-3653948.pdf
[IEEE] 2026-1-16 | IEEE Collabratec
[IEEE] 2026-1-16 | 2025 Best Papers, Outstanding Associate Editors, and Outstanding Reviewers
[IEEE] 2026-1-16 | Joint Optimization of UAV Trajectory and Number of Reflecting Elements for UAV-Mounted Intelligent Reflecting Surface-Assisted Data Collection in Wireless Sensor Networks under Transmission Prioritized Scheme
[IEEE] 2026-1-16 | Multi-wavelength hybrid laser with side-coupled Fabry-Perot silicon nitride resonators
[IEEE] 2026-1-16 | Toward Industrial Artificial Intelligence: A Discussion of Management, Technology, and Human
[IEEE] 2026-1-16 | Fixed-Time Distributed Output Optimization for Heterogeneous Linear Multiagent Systems: Introducing Distributed Piecewise Protocols
[IEEE] 2026-1-16 | Development of a Dynamically Conformal Clamping Inspection Robot for Overhead Power Lines Based on Infrared Strand Breakage Detection
[IEEE] 2026-1-16 | Communication-Efficient Federated Learning by Exploiting Spatio-Temporal Correlations of Gradients_supp1-3654074.pdf
[IEEE] 2026-1-16 | Noise Suppression in Nonstationary Signals by Integrating an Improved VMD with the Hilbert Transform
[IEEE] 2026-1-16 | Eco-friendly-reduced Graphene E-textile Based Ergonomic Wearables Around-the-Neck and Behind-the-Ear for Vital Signs Monitoring
[IEEE] 2026-1-16 | Masthead
[IEEE] 2026-1-16 | Fairness-Aware Medical Image Analysis for Consumer Electronics under Imbalanced Data
[IEEE] 2026-1-16 | Predicting Potential Returns of Indonesian IPOs on Their Listing Day Using Machine Learning Techniques
[IEEE] 2026-1-16 | Noise-Tolerant Novel-View SAR Synthesis via Denoising Diffusion
[IEEE] 2026-1-16 | ROSS:RObust decentralized Stochastic learning based on Shapley values_supp1-3654864.pdf
[IEEE] 2026-1-16 | Evaluating the Adversarial Vulnerability of YOLOv11 for Indonesian Sign Language (BISINDO) Recognition
[IEEE] 2026-1-16 | Hierarchical Constraint Fusion for Robust 3D Rigid Body Localization Using UWB Networks
[IEEE] 2026-1-16 | Accurate Modeling and Experimental Validation of Phase Shift and Asymmetrical Clamped Mode Control in Series-Series WPTSs
[IEEE] 2026-1-16 | MAViS: A Multi-Agent Approach for Training-Free Referring Video Object Segmentation
[IEEE] 2026-1-16 | Electric Vehicle Charging Station Optimization for Intercity Travel in Java Using KNN Algorithm
[IEEE] 2026-1-16 | Bidirectional GNN-Based Intrusion Detection of Malware Injection Attacks in EV Charging Stations
[IEEE] 2026-1-16 | A Scalable Hydrology-Informed Monitoring System for Early Detection of Slope Failures Using IoT and ML
[IEEE] 2026-1-16 | Guest Editorial Special Issue on Security and Privacy Issues in Networking in the Age of Artificial Intelligence
[IEEE] 2026-1-16 | Joint Precoding and Link Scheduling for OTFS-Based Multi-Satellite Cooperative Transmission
[IEEE] 2026-1-16 | Deployment Strategy for Indoor Distributed MIMO System
[IEEE] 2026-1-16 | Contribution-aware Dynamic Multi-modal Balance for Audio-Visual Speech Separation
[IEEE] 2026-1-16 | Network Models of Neurodegeneration: Bridging Neuronal Dynamics and Disease Progression
[IEEE] 2026-1-16 | BLER and AoI Analysis of Multi-Antenna NOMA-FD Relay Systems for Short-Packet Communications
[IEEE] 2026-1-16 | High-Sensitivity MEMS Fiber-Optic Acoustic Sensor with Sub-Micron Multilayer Diaphragm
[IEEE] 2026-1-16 | A High Thrust-to-Weight Ratio Piezoelectric Robot Based on Magnetic Inertial Impact Mechanism
[IEEE] 2026-1-16 | Breaking Radiation Symmetry via Continuous Pancharatnam–Berry Prephase for High-Gain and Compact 1-Bit Reconfigurable Transmitarray
[IEEE] 2026-1-16 | Development of a Monitoring System for Forced-Flow-Cooled Superconducting Coils With Principal Component Analysis
[IEEE] 2026-1-16 | Optimizing Neural Inertial Classification: A Benchmark Study of Data-Driven Techniques
[IEEE] 2026-1-16 | Improving Smartphone Dynamic PPP by Adapting State and Measurement Covariance with TDCP-aided Detection and Innovations T-test
[IEEE] 2026-1-16 | MMSE-based Distributed Direct Position Determination in Single-hop Sensor Networks
[IEEE] 2026-1-16 | A Modular Architecture Framework for Flutter Using Clean Architecture and Design Patterns: A Software Quality Perspective
[IEEE] 2026-1-16 | Multiproduct Disassembly Line Balancing With Carbon-Saving Constraints: A Discrete Whale Optimization Algorithm
[IEEE] 2026-1-16 | Vision-Driven Drowsiness Detection Using Decision Trees
[IEEE] 2026-1-16 | Illusory Pulling Sensation in Older Adults Is Associated with Cognitive Function Beyond Somatosensory Sensitivity
[IEEE] 2026-1-16 | Degradation-Aware Real-Time Power Allocation Approach for Heterogeneous BESS
[IEEE] 2026-1-16 | IEEE Sensors Letters Publication Information
[IEEE] 2026-1-16 | All That Glitters Is Not Gold: RPKI’s Stumbling Speedrun To The Top
[IEEE] 2026-1-16 | Application of Ensemble Classifiers with Data Balancing in Online Learning Performance Prediction Models
[IEEE] 2026-1-16 | FedMIF: Fast-Generalization Image Fusion via Task-Customized Nodes Federated Learning
[IEEE] 2026-1-16 | Ultra-low limit detection of sodium ions by optical fiber surface plasmon resonance with ion pair exchange
[IEEE] 2026-1-16 | Chu-Limit-Guided Decomposition-Based Multiobjective Large-Scale Optimization for Generative Broadband Electrically Small Antenna Design
[IEEE] 2026-1-16 | Low-Latency Event-Based Velocimetry for Quadrotor Control in a Narrow Pipe
[ACM] 2026-1-16 | The Impersistence of Memory
[IEEE] 2026-1-16 | Pseudo-Labeling based Unsupervised Domain Adaptation for LLM-Based ASR
[IEEE] 2026-1-16 | Concrete Achievements And Coherent Plans: Storytelling Of Roadmaps In Crypto Crowdfunding
[IEEE] 2026-1-16 | Time–Frequency Analysis Methods for Analyzing Jet Characteristics of dc Arc Plasma Torch
[IEEE] 2026-1-16 | Robust Optimization for Movable Antenna-Aided Cell-Free ISAC With Time Synchronization Errors
[IEEE] 2026-1-16 | Learning Dual Modality Interactions for Event-based Motion Deblurring
[IEEE] 2026-1-16 | IEEE Networking Letters Author Guidelines
[IEEE] 2026-1-16 | 3-D Printed Millimeter-Wave Self-Diplexing Filtering Waveguide Antenna with Orthogonal Circular Polarizations
[IEEE] 2026-1-16 | Trajectory Recovery: A New Setting and Benchmark for Person Re-identification
[IEEE] 2026-1-16 | Broadband Filtering Patch Antenna Based on Quad-Mode Resonance With High out-of-Band Rejection Level
[IEEE] 2026-1-16 | Neural Signatures and Multi-Cognitive Decoding of EEGSignals Induced by Shared Stimulus: A Paradigm Study
[IEEE] 2026-1-16 | Addressing Data Limitations in Cardiovascular Disease Prediction: Integration of Public Databases and Clinical Records
[IEEE] 2026-1-16 | An Electrically Small, Pattern-Reconfigurable, HCP Antenna with Quasi-Isotropic Beam Coverage for Wireless Power Transfer Enabled IoT Applications
[IEEE] 2026-1-16 | Unlocking 6G Potential With OAM Empowered Integrated Sensing and Communications Enhanced by AI and Future Technologies
[IEEE] 2026-1-16 | On the Asymptotic MSE-Optimality of Parametric Bayesian Channel Estimation in mmWave Systems_supp1-3654532.pdf
[IEEE] 2026-1-16 | Product Distribution Management with Uncertain Returns via Mathematical Optimization: A Case Study at a Cosmetic Company
[IEEE] 2026-1-16 | Fast Sphere Decoding of Short Systematic Polar-like Codes
[IEEE] 2026-1-16 | Handling Class Imbalance in Health Datasets: A Comparative Study of SMOTE and SMOTEENN with TabNet
[IEEE] 2026-1-16 | Innovative CNN-Based Model for Detecting Apple Plant Diseases Enhanced with Optimizer Technique
[IEEE] 2026-1-16 | Optimal Allocation of Pauli Measurements for Low-rank Quantum State Tomography
[IEEE] 2026-1-16 | Highly sensitive and tunable intensity-modulated chirped FBG sensor with extended measurement range
[IEEE] 2026-1-16 | Optimization method based on K-WPA for multinode cooperative localization formation grouping
[IEEE] 2026-1-16 | Edge-Cloud Switched Low-Carbon Image Segmentation for Autonomous Vehicles
[IEEE] 2026-1-16 | Self-Supervised Learning for Fruit and Vegetable Spoilage Detection: Reducing Dependency on Labeled Data
[IEEE] 2026-1-16 | Critical Design Problems and Possible Solutions to a Superconducting Squirrel-Cage Induction Machine: An Electrical Machines' Expert Point-of-View
[ACM] 2026-1-16 | Interpretable Clustering: A Survey
[IEEE] 2026-1-16 | A MLP-BiGRU Model Based Dynamic Displacement Estimation Method for Multi State Indoor Positioning
[IEEE] 2026-1-16 | Adaptive In Adapter: Boosting Open-Vocabulary Semantic Segmentation with Adaptive Dropout Adapter
[IEEE] 2026-1-16 | Improving Stock Market Prediction Accuracy Using LSTM Neural Networks with Financial Indicators
[IEEE] 2026-1-16 | Exploring the Role of Task-Technology Fit and Performance Expectancy in Mobile Learning Adoption
[IEEE] 2026-1-16 | Development of Iot Based Academic Information System Using Kanban Laravel Framework to Improve Community Services at Public High School Level
