[2026-04-03 09:47:23] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-02
正在获取论文...
[arXiv] 2026-04-02 | Analysis of Efficient Transmission Methods of Grid Maps for Intelligent Vehicles
[NO] 76/200 | Grounding AI-in-Education Development in Teachers' Voices: Findings from a National Survey in Indonesia
[NO] 77/200 | RefinementEngine: Automating Intent-to-Device Filtering Policy Deployment under Network Constraints
[NO] 78/200 | OSCAR: Orchestrated Self-verification and Cross-path Refinement
[NO] 79/200 | NEMESIS: Noise-suppressed Efficient MAE with Enhanced Superpatch Integration Strategy
[NO] 80/200 | On Relative Ulrich Bundle and Generalized Clifford Algebra
[NO] 81/200 | MM-ReCoder: Advancing Chart-to-Code Generation with Reinforcement Learning and Self-Correction
[NO] 82/200 | Learning from the Right Rollouts: Data Attribution for PPO-based LLM Post-Training
[NO] 83/200 | Chiral Superconductivity in Periodically Driven Altermagnet/Superconductor Heterostructures
[NO] 84/200 | ThinkTwice: Jointly Optimizing Large Language Models for Reasoning and Self-Refinement
[NO] 85/200 | Single-Pass Streaming CSPs via Two-Tier Sampling
[NO] 86/200 | When is cumulative dose response monotonic? Analysis of incoherent feedforward motifs
[NO] 87/200 | Does Your Optimizer Care How You Normalize? Normalization-Optimizer Coupling in LLM Training
[NO] 88/200 | ZEUS: Accelerating Diffusion Models with Only Second-Order Predictor
[NO] 89/200 | Prototype-Based Low Altitude UAV Semantic Segmentation
[NO] 90/200 | Accelerated Patient-Specific Hemodynamic Simulations with Hybrid Physics-Based Neural Surrogates
[NO] 91/200 | Anomalous scaling in redirection networks
[NO] 92/200 | Geometric origin of the cosmological constant from Einstein-Chern-Simons gravity compactified to four dimensions
[NO] 93/200 | Read More, Think More: Revisiting Observation Reduction for Web Agents
[NO] 94/200 | Validating Computational Markers of Depressive Behavior: Cross-Linguistic Speech-Based Depression Detection with Neurophysiological Validation
[NO] 95/200 | A Determinantal Approach to a Sharp $\ell^1-\ell^\infty-\ell^2$ Norm Inequality
[NO] 96/200 | Why Instruction-Based Unlearning Fails in Diffusion Models?
[NO] 97/200 | On Integral Linear Constraints on Convex Cones
[NO] 98/200 | Feedforward Density-Driven Optimal Control for Tracking Time-Varying Distributions with Guaranteed Stability
[NO] 99/200 | Identifying and Estimating Causal Direct Effects Under Unmeasured Confounding
[NO] 100/200 | The Weak Signal Cultivation Model: A Human-Centric Framework for Frontline Risk Detection, Signal Tracking, and Proactive Organizational Resilience
[NO] 101/200 | A Dream Come True: Deletable Content in Immutable Storage.
[NO] 102/200 | Mindful Eating Aspects as Bridging Concepts Represented through the MEDEC Cards: Towards a Design Framework for Mindful Eating Technologies
[NO] 103/200 | Supporting Bi-Directional Collaboration with Unmodified Immersive Applications Using AccompliceVR_supp1-3679102.pdf
[NO] 104/200 | Modality Equilibrium Matters: Minor-Modality-Aware Adaptive Alternating for Cross-Modal Memory Enhancement_supp1-3676535.pdf
[NO] 105/200 | Dual-Foot Inertial Pedestrian Navigation with Graduated Non-Convexity Factor Graph Optimization
[NO] 106/200 | Rotating Savitzky-Golay Filter Based on BP Neural Network: Enabling High-Accuracy Temperature and Pressure Retrieval via Rayleigh-Brillouin Spectrum Processing
[NO] 107/200 | Innovative IFC Classification in BIM Models Ready to be Converted Into Digital Twins
[NO] 108/200 | Dimensioning of Surge Protective Devices Installed to Home Electric Vehicle Chargers Against Direct Lightning Strikes
[NO] 109/200 | AGENT-DIFF-X: A Consumer-Adaptive Agentic Framework for Efficient and Explainable 3D Breast Tumor Segmentation on Edge Devices
[NO] 110/200 | A 60-V High-Side / In-Line Instrumentation Amplifier With 54-V/
                    <i>μ</i>
                    s CM Transient Tolerance and 115-dB Dynamic Range
[NO] 111/200 | In Situ Grown MoS&amp;#x2082; on FTO: A Scalable and Biocompatible Platform for Selective Detection of Dopamine_supp1-3668254.docx
[NO] 112/200 | Beyond Predefined Clusters: A Comprehensive Review of Clustering Methods for Unknown Cluster Numbers
[NO] 113/200 | Enhancing Pedestrian Safety Through Automated Emergency Steering: Design and Experimental Validation of a Risk-Based Architecture
[NO] 114/200 | Feature Disentanglement-Based Source-Free State-Of-Health Estimation of Lithium-Ion Batteries
[NO] 115/200 | Systematic Design and Validation Framework for Main Circuit Parameters of Gigawatt MMC–HVDC Considering Operating Boundary
[NO] 116/200 | ASRU 2025 Author Index
[NO] 117/200 | A Compact Reconfigurable Integrated Coupler/ Power Divider With Shared Through Port
[NO] 118/200 | Safe Event-triggered Gaussian Process Learning for Barrier-Constrained Control
[NO] 119/200 | Enhancing the Insulating and Thermal Reliability of Synthetic Ester Insulating Fluids Using SiC Nanoparticles
[NO] 120/200 | CIM-NET: A Video Denoising Deep Neural Network Model Optimized for Computing-in-Memory Architectures
[NO] 121/200 | Reducing Object Hallucination in Large Audio-Language Models via Audio-Aware Decoding
[NO] 122/200 | NinjaPort: A Multi-Hand Approach for VR Teleportation
[NO] 123/200 | ImmersiveDMT: A VR System for Expressive Body Movement and Stress Reduction through Dance Movement Therapy
[NO] 124/200 | Depth Perception Cues in VR Under Sleep Deprivation
[NO] 125/200 | Synchronizing with Attentional Sampling: Modality-Specific Flicker Guidance for Gaze and Hand-Eye Interaction in VR
[NO] 126/200 | AgriLens: Semantic Retrieval in Agricultural Texts Using Topic Modeling and Language Models
[NO] 127/200 | DyMEvalNet: Dynamic Text-Audio-Personalization Fusion for Multimodal Music Quality Assessment
[NO] 128/200 | IEEE VR 2026 VGTC Virtual Reality Significant New Researcher Award
[NO] 129/200 | LLaS2S: LLM-based Speech-to-Speech Translation with Context-Aware Duration Prediction Units
[NO] 130/200 | Position Sensorless and Fault-Tolerance Control of Medium Speed SRMs via Self-Correcting Inductance-Based Observer
[NO] 131/200 | AnchorNet: Adaptive Anchor Token Enhancement in Video-grounded Dialogue Generation
[NO] 132/200 | Physics-Constrained Spatio-Temporal Attention FusionGAN: End-to-End Gridded Sea Surface Wind Fusion over China Seas from Multi-Mission GNSS-R Observations
[NO] 133/200 | FFDMamba: Feature Frequency Decoupling Mamba for High-Resolution Remote Sensing Semantic Segmentation
[YES] 134/200 | Dual-Security-Assured Computation Offloading for ISCC LEO Satellite-Enabled Space-Air-Ground Networks
[NO] 135/200 | Smarttendance: A BLE-Based Mobile Application for Real-Time Session Attendance Tracking
[NO] 136/200 | Wavelength-Multiplexed Operation of Phosphorescent White-LED Data Emitters
[NO] 137/200 | A Data-Driven ANN-Based Model for FeCAP &amp; FeFET: Orienting to SPICE and Circuit Design
[NO] 138/200 | Robust and Lightweight 3D Reconstruction of Buried Threats Using Multi-view GPR Data
[NO] 139/200 | RSCAAT: A Recursive Mechanism to Mitigate Cache Side Channel Attacks
[NO] 140/200 | SDDS: A Scalable and Distributed Data Sharing Scheme in Vehicular Clouds
[NO] 141/200 | Disturbance Observer-Based Control for PMSG Wind Turbine System to Cope With Both Balanced and Unbalanced Grid Voltages
[NO] 142/200 | Translational Drift in Formation Control Under Infeasible Configurations
[NO] 143/200 | Policy Iteration with Non-Asymptotic Convergence for Systems with Random Parameters
[NO] 144/200 | Adaptive Super-Twisting Kernel Dynamic Programming: Energy Optimal and Robust Theory Application for Pursuit-Evasion Game System
[NO] 145/200 | Fundamental Bounds and Exact Formulation for the Level Crossing Rate of Product Ratio Fading Processes
[NO] 146/200 | Sinba: Singing-To-Accompaniment Generation With Pitch Guidance Via Mamba-Based Language Model
[NO] 147/200 | Whisper Has an Internal Word Aligner
[NO] 148/200 | Improving Perceptual Audio Aesthetic Assessment via Triplet Loss and Self-Supervised Embeddings
[NO] 149/200 | Privacy-Preserving State Estimation with Crowd Sensors: An Information-Theoretic Respective
[NO] 150/200 | SpeechLess: Micro-utterance with Personalized Spatial Memory-aware Assistant in Everyday Augmented Reality
[NO] 151/200 | AniXDim: Integrating Cross-Dimensional Interaction into Desktop Character Animation Workflows
[NO] 152/200 | Evaluating Self-Supervised Speech Models Via Text-Based LLMs
[NO] 153/200 | Porting an Enterprise Linux Distribution to Custom RISC-V Hardware: A Rocky Linux Case Study
[NO] 154/200 | Performance Analysis of Compiler Code Generation for HPC and AI Kernels on RISC-V
[NO] 155/200 | An Efficient and Well-Benchmarked Multi-Orbital Impurity Solver for Predictive Investigations of Correlated Materials
[NO] 156/200 | Designing Inclusive Voice-Based Conversational Agents for Individuals with Intellectual Disabilities
[NO] 157/200 | Equilibrium Contrastive Learning for Imbalanced Image Classification
[NO] 158/200 | IEEE Systems, Man, and Cybernetics Society Information
[NO] 159/200 | Towards AGI-Enabled Solutions For IoX Layers Bottlenecks In Cyber-Physical-Social-Thinking Space
[NO] 160/200 | Wildfire Spread Forecasting with Deep Learning
[NO] 161/200 | Table of Contents
[NO] 162/200 | Video-Based Cross-Domain Emotion Recognition Via Sample-Graph Relations Self-Distillation
[NO] 163/200 | XS-FedPRS: Explainable and Secure Federated Learning for Privacy-Preserving Genomic Analytics in Federated Healthcare Networks
[NO] 164/200 | AoI-Aware Privacy-Preserving Task Allocation in Vehicular Crowdsensing
[YES] 165/200 | Joint Overt–Covert Dual-Robust Beamforming for Satellite Communications
[NO] 166/200 | Demonstration of Improvement in On-Resistance versus Breakdown Voltage Trade-Off for Top-Gate High-Voltage InGaO TFTs
[NO] 167/200 | Heat Flow Characteristics of Segmented Laminar Plasma Torch Influenced by Interelectrode Structure Based on Numerical Simulation
[NO] 168/200 | Wireless Human Activity Recognition: A Survey of Recent Advances and a Novel Zero-Shot LLM-Based Inference Framework
[NO] 169/200 | PunctVR: VR Training for Image-Guided Needle Puncture with a Scaffolded, Self-Directed Framework
[NO] 170/200 | Table of Contents
[NO] 171/200 | Mechanism and Performance Verification of Channel-Hot-Electron Induced Hot-Hole Injection-Based High-Speed Erasure for Split-Gate Charge-Trapping Flash Memory
[NO] 172/200 | An Open-Circuit Fault Diagnosis Method for T-Type Three-Level Inverters Based on Distorted Current Guided by Physical Mechanism
[NO] 173/200 | 2026 IEEE Conference on Virtual Reality and 3D User Interfaces (VR)
[NO] 174/200 | Seismic impedance inversion with adaptive group sparse regularization
[NO] 175/200 | Canonical Correlation Residual Score-Based Method for Quality-Related Fault Diagnosis in Industrial Processes
[NO] 176/200 | Self-Anchored Progressive Framework with Noise Mitigation for Unsupervised Camouflaged Object Detection
[NO] 177/200 | Emphasis Sensitivity in Speech Representations
[NO] 178/200 | Emotional Styles Hide in Deep Speaker Embeddings: Disentangle Deep Speaker Embeddings for Speaker Clustering
[NO] 179/200 | Scalable Controllable Accented TTS
[NO] 180/200 | Token-based Attractors and Cross-attention in Spoof Diarization
[NO] 181/200 | Audio-CoT: Exploring Chain-of-Thought Reasoning in Large Audio Language Model
[NO] 182/200 | Enabling Long FFT Convolutions on Memory-Constrained FPGAs via Chunking
[NO] 183/200 | Energy-Aware Predictive Offloading in UAV for Containerized Smart Irrigation in IoT Agriculture
[NO] 184/200 | What Sensors See, What People Feel: An Exploratory Study of Subjective Collaboration Perception in Mixed Reality
[NO] 185/200 | Advancing Controllable Music Generation with Latent Rectified Flow Guided by Rhythm and Harmony
[NO] 186/200 | Analysing the Language of Neural Audio Codecs
[NO] 187/200 | Reliability of Lexical Richness Measures for ASR-Based Children’s Speech Assessment
[NO] 188/200 | Full
                    <i>V</i>
                    -band High-Efficiency Gap Waveguide-Based Single-Layer Corporate-Feed Slot Array Antenna
[NO] 189/200 | “Reflecting on Mark Weiser's Vision in 2026”
[NO] 190/200 | Integrating a Degradation-Driven Methodology in Board Level Vibration Testing
[NO] 191/200 | Edge Extension for Missing Anatomical Features: A Mask-Guided Spatial Diffusion Framework for Ultrasound Scoliosis Image Outpainting
[NO] 192/200 | GL-MambaLite: A Lightweight Global-Local Feature Enhanced Network for Building Extraction
[NO] 193/200 | Dependency-Aware Microservice Deployment Optimization via Neural Heuristic Learning
[NO] 194/200 | Unified Object Detector with Dynamic Switch Mechanism Based on Deep Learning Advances: A Paradigm-Aware Architecture for Adaptive Detection
[NO] 195/200 | Excluded Volume Effect in GI/G/s Queues
[NO] 196/200 | Semantic Similarity-Based AI RMF and NIST SP 800-53 Integrated Crosswalk Structured Process
[NO] 197/200 | FD-SCU: Frequency Decomposition-based Spectrum Collaborative Upsampling for Point Cloud Color Attribute_supp1-3678090.pdf
[NO] 198/200 | Real-Time Implementation and Experimental Validation of a Novel Vector Control Strategy for a PV-Fed Reduced-Structure Inverter–Driven Induction Motor Using dSPACE 1104
[NO] 199/200 | Implicit Aspect-Based Sentiment Analysis: A Systematic Review
[NO] 200/200 | ASRU 2025 Preface
筛选完成：共 200 篇；Yes = 3 篇；已保存到 papers/select_paper2026-04-02.json。
邮件发送成功！
[2026-04-03 10:15:08] 任务执行成功！
