[2026-04-29 10:49:41] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-28
正在获取论文...
[arXiv] 2026-04-28 | Online combinatorial optimization with stochastic decision sets and adversarial losses
[NO] 115/164 | Research on the Path of Digital Upgrade of Small and Medium-sized Enterprises Empowered by AI Technology
[NO] 116/164 | Making AI Work: A Conceptual Five-Stage Framework for Financial Sector Transformation
[NO] 117/164 | The Impact of Digital Economy Development on Regional Economic Efficiency and Innovation Capacity: Evidence from a Regional Industry Analysis
[NO] 118/164 | FairCS: A Fairness-aware Cleaning Slowdown on an SMR Disk
[NO] 119/164 | Data-driven and Process-Adaptive: Research on Engineering Change Intelligent Management and Control System for Commercial Aircraft
[NO] 120/164 | Semantic Mining and Viewpoint Evolution Analysis of Marxist Classic Texts via Natural Language Processing in the Era of Artificial Intelligence
[NO] 121/164 | Why Smaller Is Slower? Dimensional Misalignment in Compressed LLMs
[NO] 122/164 | Modeling the Digital Penetration Effect on Enterprise Competitiveness Using Machine Learning
[NO] 123/164 | Research on Risk Assessment of Urban Drone Delivery
[NO] 124/164 | Dynamically Adaptable Ensemble Proxies for Training-Free Neural Architecture Search
[NO] 125/164 | Sampling Where It Matters: Predicting LLM Serving Performance
[NO] 126/164 | Pilot Implementation and Effectiveness Study of the Corporate IPD R&amp;D Management System
[NO] 127/164 | Exploring the Impact of ESG Rating Performance on Zijin Mining Group's Enterprise Value Based on Computer Technology
[NO] 128/164 | Analysis of Symbolization Characteristics of Art Research on the Calculation Analysis and Digital Implementation of Symbolic Features in Artistic Graphics
[NO] 129/164 | Cascading Failures and Resilience Assessment in Semiconductor Technology Supply Chains: A Crisis Management Perspective from Multilayer Networks
[NO] 130/164 | A Study on the Application of a Multi-task Attention-based Deep Learning Model for Dynamic Cost Control in Wastewater Treatment
[NO] 131/164 | MLLM-Driven Autonomous Driving: Closed-Loop Decision-Making with Language-State Alignment and Human Instruction Integration
[NO] 132/164 | Hybrid LightGBM-Transformer framework with feature-as-token encoding for interpretable personal loan default prediction
[NO] 133/164 | Characterizing Energy and Performance for Distributed Training of Large Language Models
[NO] 134/164 | Business Strategy Transformation and Optimization Strategies Driven by New Quality Productivity
[NO] 135/164 | Research on Intellectual Capital Accounting and Innovation Correlation in New - Type R&amp;D Institutions under Blockchain Technology
[NO] 136/164 | Intelligent Association Analysis of Marxist Theory Content Based on Artificial Intelligence and Knowledge Graphs
[NO] 137/164 | Deep Reinforcement Learning-Based Adaptive Learning Path Optimization System for Rural Revitalization Talents
[NO] 138/164 | <i>
                      E
                      <scp>arl</scp>
                      :
                    </i>
                    Efficient Agentic RL Post-Training for LLMs under Dynamic Context Lengths
[NO] 139/164 | Analysis of Cooperation Strategies Between Ride-Hailing Platforms and Taxi Companies Based on Random Forest Parameter Prediction
[NO] 140/164 | Multi-Core Driven Digital Development Model in the Greater Bay Area
[NO] 141/164 | Hotspots and Trends in the Digital Transformation of International Vocational Education in the Past Decade
[NO] 142/164 | The Latent Dirichlet Allocation-Based LASSO Logistic Models Empowered by Machine Learning Algorithms: An Application to the Change of Reform-Open Policies in China (2003-2017)
[NO] 143/164 | Monetary Policy and U.S. Treasury Yield Volatility: Evidence from Pandemic and Non-Pandemic Regimes Using Econometric and Machine-Learning Methods
[NO] 144/164 | Design and Implementation of a Generative AI–Based Digital Art Creation Assistant System
[NO] 145/164 | Theoretical Modeling and Empirical Analysis of AI-Driven Digital Transformation and ESG Performance
[NO] 146/164 | Application Research of a Random Forest-Based Hybrid Problem-Based Learning (PBL) Model in College Swimming Rescue Courses
[NO] 147/164 | A Quantitative Study on Organizational Communication Effectiveness and Employee Well-being Based on Deep Learning
[NO] 148/164 | From Virtual Sports to Sports Metaverse: Architecture and Implementation Path
[NO] 149/164 | A Study on Innovation Efficiency Evaluation and Influencing Factors of Pharmaceutical Manufacturing Companies from a Digital Transformation Perspective: Based on a Three-Stage DEA-Tobit Model
[NO] 150/164 | Evolution and Trends of Research Focuses on Smart Libraries in China
[NO] 151/164 | Hierarchical and Stepwise Evaluation of Engineering Project Documents Using Large Language Model Technology
[NO] 152/164 | Machine Learning Platform Revenue Recognition: Computational Optimization of IFRS 15 Implementation in Cloud-Based AI Service Architectures
[NO] 153/164 | Blockchain-Based Smart Contracts for Automated Payroll and Tax Compliance: A Cryptographically-Verified Framework for Fraud Prevention and Real-Time Regulatory Adherence in Distributed Accounting Systems
[NO] 154/164 | Construction of TCM Pulse Pattern Recognition Model Based on Deep Learning
[NO] 155/164 | Balancing Compute in LLM Inference: Model Selection, Quantization, and Test-Time Scaling
[NO] 156/164 | Construction of Wind Farm Asset Health Index Based on Multi-Dimensional Indicators and Analytic Hierarchy Process and Its Correlation with Operational Performance
[NO] 157/164 | Volume Trends and Asset Pricing in the Digital Era
[NO] 158/164 | Predicting Real Estate Prices: A Gradient Boosting Tree Approach
[NO] 159/164 | A CiteSpace-Based Analysis of Research Hotspots and Trends in the Application of Artificial Intelligence in Environmental Design
[NO] 160/164 | AI Technologys Impact on SRDI Enterprises Performance: A Differentiation Strategy Perspective
[NO] 161/164 | Multimodal Large Language Models for Engineering Project Document Evaluation: A Comprehensive Review
[NO] 162/164 | Proceedings of the Sixth European Workshop on Machine Learning and Systems
[NO] 163/164 | Travel Itinerary Optimization: A Graph Neural Network Based Approach Using Multi-Modal Data Fusion
[NO] 164/164 | Design and Research of Intelligent Emergency Response System for Rural Elderly in Plain Area
筛选完成：共 164 篇；Yes = 0 篇；已保存到 papers/select_paper2026-04-28.json。
邮件发送成功！
[2026-04-29 11:10:35] 任务执行成功！
