[2025-11-20 09:10:57] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-11-19
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202511190000+TO+202511192359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[ACM] 2025-11-19 | Towards Generalizable Deepfake Detection by Primary Region Regularization
                    <sup>2</sup>
                    eDRAM-Based Analog Cryogenic In-Memory Computing Macro
[IEEE] 2025-11-19 | <b>
                      <i>N $^{2}$ LoS</i>
                    </b>
                    : Single-Tag mmWave Backscatter for Robust Non-Line-of-Sight Localization
[IEEE] 2025-11-19 | Robust Compressed Double Diffusion Estimation Algorithm for IoT Based on Maximum Correntropy Criterion
[IEEE] 2025-11-19 | Research on Correction of Current Probe Transfer Impedance Based on Cubic Spline Interpolation
[IEEE] 2025-11-19 | High-Security 5G Smart Meter Enabling Real-Time Electricity Trading
[IEEE] 2025-11-19 | Design and Parameters Simulation Optimization of a Spiral-Shaped Probe Electrostatic Sensor
[IEEE] 2025-11-19 | Human Activity Classification Using 2D Tensor Representation of 3D Point Cloud Data from FMCW Radar
[IEEE] 2025-11-19 | A Standalone Device for Stress Detection in Individuals With Visual Impairments Using Fuzzy-Based Noninvasive Techniques
[IEEE] 2025-11-19 | Topology Optimization of Liquid Cooling Plate Channels for Enhanced Thermal Management in Electronic Devices
[IEEE] 2025-11-19 | Towards an Overview of Artificial intelligence in Healthcare
[IEEE] 2025-11-19 | Few-Shot Health State Recognition of Wind Turbine Drivetrain Using Denoising Diffusion Probabilistic Model and Self-taught Learning Network
[IEEE] 2025-11-19 | Cascaded Wavelet-Driven Global Interpretable Model for Bearing Fault Diagnosis
[IEEE] 2025-11-19 | Robust Sparse Subspace Tracking from Corrupted Data Observations
[IEEE] 2025-11-19 | Negative Transfer Suppression and Cross-Domain Fault Diagnosis Based on Contrastive Learning Multi-Source Domain Adaptation Network
[IEEE] 2025-11-19 | Performance Evaluation of PSO-Optimized PI Controller for Quadratic Boost Converter: A Comparative Study of ITAE, IAE, ITSE, and ISE Objective Functions
[IEEE] 2025-11-19 | Losses Minimization for Isolated Bidirectional Quad Active Bridge Converter
[IEEE] 2025-11-19 | Deep Learning-Enhanced Push-Broom Hyperspectral Imaging System for Non-Destructive Subsurface Defect Detection
[IEEE] 2025-11-19 | Research and Application of Reliability-Centered Condition-Based Maintenance Technology on Steam Turbine System in a 1000MW Thermal power unit
[IEEE] 2025-11-19 | Research on grid-following inverter based on active disturbance rejection controller in weak power grid
[IEEE] 2025-11-19 | Flexible and adjustable load remote control terminal
[IEEE] 2025-11-19 | Fault Diagnosis Using Graph Neural Networks with Dynamically Updated Edge Weights via Metric Function Fusion
[IEEE] 2025-11-19 | A Condition-Based Maintenance Strategy under Dynamic Spare Provision for Three-State System
[IEEE] 2025-11-19 | A Lesion-focused Foundation Model for Preoperative Assessment of Pathological Features in Hepatocellular Carcinoma
[IEEE] 2025-11-19 | Numerical Calculation and Analysis of Wear Morphology and Stress Field Based on Rough Contact Surface
[IEEE] 2025-11-19 | Adversarial Discriminative Domain Adaptation for Drive Train of the Wind Turbines Fault Diagnosis Using Acoustic Emission
[IEEE] 2025-11-19 | Multi-Objective Optimal Design and Low-Temperature Performance Study of a Hybrid Energy Storage System for Pulse Discharge and Regenerative Energy Recovery
[IEEE] 2025-11-19 | Multi-Scale Self-Supervised Learning for Efficient Audio Deepfake Detection_supp1-3634032.pdf
[IEEE] 2025-11-19 | OpenPyRo-A1: An Open Python-based Low-Cost Bimanual Robot for Embodied AI
[IEEE] 2025-11-19 | A Class-F VCO With Ultra-Low-Power and Low-Phase-Noise by Reactivating the Common-Mode Coupling Factor in a 1:2 Transformer
[IEEE] 2025-11-19 | Resistance Degradation of Unintentionally Doped Single Crystal BaTiO3
[IEEE] 2025-11-19 | A Framework for Energy-Efficiency Optimization in MA-Aided MU-MIMO Systems
[IEEE] 2025-11-19 | Towards Non-linear, Fast, and Multi-Frame 3D Point Cloud Interpolation in Autonomous Driving
[IEEE] 2025-11-19 | Microgrid Black Start Challenges: The Role of Grid-Forming Inverters
[IEEE] 2025-11-19 | On-Silicon Characterization of CDM-Like Stress in Long Interconnects Using vf-TLP in Nanometric ICs
[IEEE] 2025-11-19 | Investigating Scale Independent UCT Exploration Factor Strategies_supp1-3634024.pdf
[IEEE] 2025-11-19 | Review for "Strip-ViTAE: A Direction-Aware Transformer with Enhanced Feature Modeling for Remote Sensing Image Object Detection"
[IEEE] 2025-11-19 | Personalized Lumbar Vertebrae Modeling for Dynamic Assessment of Idiopathic Scoliosis
[IEEE] 2025-11-19 | Performance Analysis of Energy-Buffer Aided SWIPT in Extra-Large Massive MISO Systems
[IEEE] 2025-11-19 | Unraveling the impact of peer government digital procurement on corporate digital innovation: insights from the AMC framework_supp1-3634144.docx
[IEEE] 2025-11-19 | Co-opetition in the Ride-Hailing Market: The Role of the Integrated Channel in Balancing Supply and Demand_supp1-3634380.pdf
[IEEE] 2025-11-19 | Enabling Broadcasting-as-a-Service in Broadcast and Cellular Converged Networks
[IEEE] 2025-11-19 | Three-dimensional Ultrasonic Imaging of CFRP Laminates Using Anisotropic Volumetric Total Focusing Method
[IEEE] 2025-11-19 | Multi-Agent Deep Reinforcement Learning for Safe Autonomous Driving With RICS-Assisted MEC
[IEEE] 2025-11-19 | Modeling glenohumeral stability in musculoskeletal simulations: A validation study with
                    <i>in vivo</i>
                    contact forces
[IEEE] 2025-11-19 | SR-Planner: Sampling-Based Path Planning with Feasibility-Aware Focus Regions and Robust Trajectory Optimization for Mobile Manipulator
[IEEE] 2025-11-19 | High-Performance Control Strategy for Robot Servo System with Flexible Joint via Output Regulation Model Predictive Control
[IEEE] 2025-11-19 | Evaluating Super-Resolution Effects on Generative Design Images: A User-Centered Study in Sneaker Visualization
[ACM] 2025-11-19 | MCFINet: A Cost-Efficient Multi-Channel Feature Integration Network for Surface Scenarios Image Super-Resolution
[IEEE] 2025-11-19 | Biometric Gait Recognition Using BlazePose and Deep Learning
[IEEE] 2025-11-19 | Three-Dimensional Reconstruction Algorithm of Medical Images Based on Image Signal Processing Technology and Its Application in Surgical Navigation
[IEEE] 2025-11-19 | Blood Glucose Estimation Method Based on Data from Optical Sensors Using Machine Learning
[IEEE] 2025-11-19 | Fractional Doppler Impact on OMP Based Multiuser OTFS Channel Estimation
[IEEE] 2025-11-19 | Capacity planning of integrated energy system in agricultural park based on greenhouse thermal inertia and load flexibility
[IEEE] 2025-11-19 | Affective Disorder Recognition via Smartphone Sensing: A Non-Intrusive Approach on Campus
[IEEE] 2025-11-19 | Knowledge-Enhanced DLM-DTI: Improving Drug-Target Interaction Prediction with Biological Knowledge Integration
[IEEE] 2025-11-19 | Prediction of EV Charging Stations Congestion using XGBoost Approach
[IEEE] 2025-11-19 | Adaptive Fault Size Estimation of Rolling Element Bearing Outer Race under Low-Speed and Variable-Speed Conditions
[IEEE] 2025-11-19 | Discussion on the Application of Mobile Energy Storage Technology in Distribution Networks
[IEEE] 2025-11-19 | Analysis of Leakage Current in Various Environments with Alternating Shed Polymer Insulators at High Voltage
[IEEE] 2025-11-19 | Research on Carbon Emission Accounting of Power Transmission and Transformation Projects Based on Life Cycle Approach
[IEEE] 2025-11-19 | Autonomous Robots and Educational motivation: The impact of combining educational robotics with simulations on learners' Technical and scientific skills
[IEEE] 2025-11-19 | Temperature Rise Prediction of Multi-Disc Clutch during Sliding Process
[IEEE] 2025-11-19 | Martingale transforms in vector lattices
[IEEE] 2025-11-19 | AI-DPWS: A Pilot Study based on Acoustic-Impedance Dual-Modal Pharyngeal Wearable System for IDDSI-Based Swallowing Function Assessment
[IEEE] 2025-11-19 | Application Evaluation for GNSS Coincide Frequency Interference Avoidance of LUTAN-1
[IEEE] 2025-11-19 | Edge computing-driven remote health management real-time monitoring system
[IEEE] 2025-11-19 | CDL Channel Simulation in Jakarta City Using Reflection Order Parameters, Antenna Height, and Direction Angles
[IEEE] 2025-11-19 | Design of Military Logistics Supply Chain Platform Based on Blockchain
[IEEE] 2025-11-19 | Numerical Simulation of Multi-stage reciprocating Compressor Integration in Compressed Air Station
[IEEE] 2025-11-19 | Dual-port and Dual Polarized Slot Array for X Band Applications
[IEEE] 2025-11-19 | Hidden Markov Model-Based Weighted Graph Representation for Bearing Fault Diagnosis with Graph Attention Networks
[IEEE] 2025-11-19 | LT-1 Satellite On-Orbit Centroid Estimation Accuracy Analysis
[IEEE] 2025-11-19 | Multimodal Acoustic Feature Fusion with Hybrid Deep Networks for Industrial Equipment Fault Detection
[IEEE] 2025-11-19 | CDADCLIP: Learning Prompts with Hybrid Semantic Fusion for Few-Shot Anomaly Detection under Domain Shift
[IEEE] 2025-11-19 | LLM-Augmented Symptom Analysis for Cardiovascular Disease Risk Prediction: A Clinical NLP Approach
[IEEE] 2025-11-19 | Optimizing Bitcoin Anomaly Detection: A Comparative Analysis of Feature Selection Techniques
[IEEE] 2025-11-19 | Quantifying uncertainties related to reverse logistics implementation: state of the art
[IEEE] 2025-11-19 | Hilbert-Huang Transform-Based Deep Learning to Detect False Data Injection Attacks in Smart Energy Island
[IEEE] 2025-11-19 | Tariff and Grid Constrained Optimal Control Law Design for Intelligent Charging of Electric Vehicles
[IEEE] 2025-11-19 | Adaptive Traffic Signal Control for Urban Intersections Using Riccati-Based Linear Quadratic Regulator Enhanced by LSTM-Based Traffic Flow Prediction
[IEEE] 2025-11-19 | Study on the Impact of High-pass Filter-based Virtual Inertia Control on Power System Frequency Stability
[IEEE] 2025-11-19 | The Impact of APOE Gene on Brain Age Prediction in Alzheimer’s Disease Based on Tau Protein Deposition and Metabolic Brain Networks
[IEEE] 2025-11-19 | CNN-BisLSTM-Attention: A Hybrid Prediction Model for Key Parameters of Aero-Engines
[IEEE] 2025-11-19 | Characteristic Analysis and Displacement Control of Magnetic Drive System for Magnetic Levitation Conveyor
[IEEE] 2025-11-19 | Hierarchical Heterogeneous Aggregation Network for Multi-shape Coronary Stenosis Detection in X-ray Angiography Sequences
[IEEE] 2025-11-19 | Identification of Patient-Specific EMG Detectors for Robot-Assisted Therapy Using Rest and Move State EMG Data
[IEEE] 2025-11-19 | Spacecraft-NeRF: High-Fidelity Reconstruction of Spacecraft by Neural Radiance Field Based Implicit Representation
[IEEE] 2025-11-19 | Following the Journey of Network Slicing in 5G and 5G Advanced: Essential Concepts, Key Operations, Lifecycle Management, and Future Enhancements
[IEEE] 2025-11-19 | Virtual Dissection of Void in Solder Joints and the Impact of R
                    <sub>DS(on)</sub>
                    on the Reliability Performance of SiC Power MOSFETs
[IEEE] 2025-11-19 | A Multi-modal Lightweight Transformer for Bearing Fault Diagnosis under High-Noise Industrial IoT Environments
[IEEE] 2025-11-19 | Enhancing Self-Regulated Learning Using Generative AI: Development and Evaluation of SRLMentor_supp1-3634216.docx
[IEEE] 2025-11-19 | Hybrid Contact Dynamics and Residual-RL Framework for Multi-Point Object Pushing
[IEEE] 2025-11-19 | Co-Polarized In-Band Full-Duplex Radiator-Shared SIW Cavity-Backed Patch Antenna Based on Mode Superposition Method
[IEEE] 2025-11-19 | Advancing Data Governance: A Comprehensive Process Capability Model and Case Validation
[IEEE] 2025-11-19 | Efficient and Low-complex Approach to Improve Quality Factor of Photonic Crystal Terahertz Cavities
[IEEE] 2025-11-19 | Recent Advances in Energy-Efficient and Temperature-Resilient Sensor Interfaces
[IEEE] 2025-11-19 | Dual-Field Microvascular Segmentation: Hemodynamically-Consistent Attention Learning for Retinal Vasculature Mapping
[IEEE] 2025-11-19 | Personality-Aware Multimodal Driver Emotion Recognition Towards Intelligent Connected Vehicles
[IEEE] 2025-11-19 | Characterization of Stimulated Raman Scattering in Field-Deployed Coupled-Core Multi-Core Fibers
[IEEE] 2025-11-19 | CPERE 2025 Panel Discussion
[IEEE] 2025-11-19 | Assessing Access to Health Services in Guelmim-Oued Noun Moroccan Region under the Southern Provinces Development Programme : A PLS-SEM Approach
[IEEE] 2025-11-19 | Leveraging LLMs for Real-Time Customer Value Management in B2B E-Commerce
[IEEE] 2025-11-19 | Research on Yaw Speed Control Strategy for Wind Turbine Generators
[IEEE] 2025-11-19 | Enhancing Performance of Radial Distribution Systems by Integrating Renewable Energy Sources using Exhaustive Search Method
[IEEE] 2025-11-19 | Modification of the Yolov8 Model for Inference of Disease Detection and Nutritional Deficiency in Corn Plants on Edge Computing Devices
[IEEE] 2025-11-19 | A Dynamic prediction method for carbon emissions from steel enterprises based on an electricity-carbon coupling model
[IEEE] 2025-11-19 | Federated Intelligence in Immersive Technologies: Systematic Review of Privacy, Agents and Metaverse
[IEEE] 2025-11-19 | Modelling of Textile Patch Antenna Deformations by the Cylindrical TLM Method
[IEEE] 2025-11-19 | Key Account Managers (KAMS) Journey Management and Performance Prediction Using Machine Learning
[IEEE] 2025-11-19 | Mapping influence zones via Thematic modeling and the Theory of Belief Functions
[IEEE] 2025-11-19 | Research on Cooperative Fusion Processing and Optimization Method for Multiple Spacecraft and Multisource Data
[IEEE] 2025-11-19 | Research on Motor Fault Diagnosis Based on Improved Convolutional Neural Network of Random Forest under Small Sample Conditions
[IEEE] 2025-11-19 | A comprehensive identification method of single-phase grounding and disconnection faults based on feature fusion of branch currents and neutral point voltage
[IEEE] 2025-11-19 | Radar Fast Target Detection Method Based on DSP
[IEEE] 2025-11-19 | Humanitarian Supply Chain Resilience during Natural hazard measurement literature from 2014 to 2024
[IEEE] 2025-11-19 | Application Research on Lightweight Processing and Visualization Technology of BIM Models for Pumped Storage Power Stations
[IEEE] 2025-11-19 | Optimized Fractional Order Modelling for Advanced Characterization of Photovoltaic Module Performance
[IEEE] 2025-11-19 | Short-Term Power Load Forecasting Based on SVMD and Enhanced Informer Model
[IEEE] 2025-11-19 | Semiconductor Organic Solar Cell Using SCAPS
[IEEE] 2025-11-19 | Wear Prediction of Engine Sliding Bearings UsingPhysics-Informed Neural Networks
[IEEE] 2025-11-19 | Modulating sensorimotor synchronization through theta burst stimulation of the posterior parietal cortex: a TMS-EEG study
[IEEE] 2025-11-19 | Multi-Modal Fusion for Robust Face Liveness Detection: Integrating Ensemble Learning and Contrastive Techniques
[IEEE] 2025-11-19 | Classification of Acne Based on Facial Images Using KNN and Decision Tree
[IEEE] 2025-11-19 | Analysis of Differences in Driver Emergency Braking Behavior by Integrating EEG and EMG Signals
[IEEE] 2025-11-19 | CSI-Based Human Activity Recognition Using Low-Cost Wi-Fi Modules and Deep Neural Networks
[IEEE] 2025-11-19 | MPPT Method for PV Arrays under Partial Shading Conditions Based on an Improved PSO-FA Algorithm
[IEEE] 2025-11-19 | Voice Type Classification in Choirs Using Acoustic Analysis Techniques
[IEEE] 2025-11-19 | Unsupervised Detection of Lifestyle-Linked Anomalies in Continuous Glucose Data
[IEEE] 2025-11-19 | CMedGuider: A Smart Healthcare Assistant Empowered by the Proposed Chinese Medical Dialogue Dataset CMedConsul
[ACM] 2025-11-19 | FedTM: Federated ASIC Technology Mapping
[IEEE] 2025-11-19 | TDNet: A Transition-Driven Network for Semantic Change Detection in Coastal Wetlands
[IEEE] 2025-11-19 | Multi-Agent Reinforcement Learning based Idle-Aware Task Offloading in Dynamic Vehicular Networks with Partial Information
[IEEE] 2025-11-19 | Exploring Vehicle Lateral Motion Limit: Neutral Steering Control for Dual-Motor All-Wheel-Drive Electric Vehicles
[IEEE] 2025-11-19 | Triple-Mode CMA-Optimized HMSIW Antenna with Dual Slits for Smart 5G IoT Platforms
[IEEE] 2025-11-19 | Prediction of DNA Methylation With Long-Range State-Space Models
[IEEE] 2025-11-19 | An Integrated Antenna Array with New Windmill-Arranged AMC Units for RCS Reduction
[IEEE] 2025-11-19 | IEEE Transactions on Systems, Man, and Cybernetics: Systems Publication Information
[IEEE] 2025-11-19 | Quantitative Analysis of Urban Heat Island and ISA Density Effects on Land Surface Temperature: A Remote Sensing Study Using Local Morphological Density Analysis and Hybrid Optimization Model
[IEEE] 2025-11-19 | Effects of Radiation Type on Charge Transport in Aged Polymers
[IEEE] 2025-11-19 | Dynamic Topology Identification and Health Assessment of Photovoltaic Station Areas Based on Graph Attention Networks
[IEEE] 2025-11-19 | Research and future prospect of ammonia as a zero-carbon energy and hydrogen energy carrier
[IEEE] 2025-11-19 | Attention-Based Encoder-Decoder Hybrid Network with Adaptive Thresholds for Critical Parameter Anomaly Detection of UAV Flight Data
[IEEE] 2025-11-19 | GPPSE: A New Periodic Pulse Signal Extraction Method for Piston Pump Rolling Bearing
[IEEE] 2025-11-19 | Research on Bearing Fault Diagnosis Technology Based on Multi-Source Data Fusion
[IEEE] 2025-11-19 | Application of an Ensemble of Linear Separators for a Universal Decision in Multiclass Classification
[IEEE] 2025-11-19 | Automatic Bone Metastasis Detection Using Yolov11
[IEEE] 2025-11-19 | ChatGPT for Computational Electrostatics: Case study of Axisymmetric Conductors and Dielectrics
[IEEE] 2025-11-19 | Anomaly Detection in Scenarios with Missing Abnormal Samples Based on Generative Flow Model and Generative Adversarial Network
[IEEE] 2025-11-19 | AI-Based Optimization of D-STATCOM Placement for Power Quality Improvement in Isolated Power Networks
[IEEE] 2025-11-19 | Low Voltage Network Reconfiguration Strategy for Mitigating the Harmonic Impact of Ev Charging Stations on Distribution Transformers in Gorontalo
[IEEE] 2025-11-19 | Research on fault prediction of distribution network operation based on machine learning
[IEEE] 2025-11-19 | Mathematical modeling in the joint Russian-American Apollo-Soyuz project
[IEEE] 2025-11-19 | Replacing YOLOv8n with YOLOv12n in Greenhouse Automation: A Post-Thesis Evaluation Using the Unified Detection Score (UDS)
[IEEE] 2025-11-19 | Acoustic Emission-Driven Change Point Detection in Composite Joints Based on Markov Chain Monte Carlo
[IEEE] 2025-11-19 | Gearbox Fault Diagnosis Based on Multi - Source Information Fusion
[IEEE] 2025-11-19 | Dynamic Characterization of Complex Spalling Scenarios of Bearing Outer Ring
[IEEE] 2025-11-19 | Temperature Sensitivity Optimization for Dynamic Threshold Voltage-based Junction Temperature Estimation in SiC MOSFETs
[IEEE] 2025-11-19 | Eco-friendly CZTSSe solar cells with exceeding 31% efficiency through numerical investigation
[IEEE] 2025-11-19 | Evaluating DSP Techniques on Arduino and Raspberry Pi for Structural Vibration Analysis
[IEEE] 2025-11-19 | Applications of Digital Twin and Related Technologies in Nuclear Power: A Bibliometric and Visual Analysis
[IEEE] 2025-11-19 | A Condition-Based Maintenance Logical Decision-Making Method Considering the Consequences of Failures
[IEEE] 2025-11-19 | Multi-Level Feature Absorption Network for Fault Detection in Power Lines Under Low-Illumination Conditions
[IEEE] 2025-11-19 | Simulation and Experimental Study on Thermal-Electrical Characteristics of Flexible Thermoelectric Generator
[IEEE] 2025-11-19 | An Adapted Cat and Mouse Based Optimizer for Solving the Capacitated Vehicle Routing Problem
[IEEE] 2025-11-19 | Blockchain-Enabled Secure Digital Image Ownership and Verification: A Novel Approach to Prevent NFT Fraud and Duplicate Images
[IEEE] 2025-11-19 | Distributed Secondary Control for AC Microgrids with Dynamic Performance Enhancement
[IEEE] 2025-11-19 | An energy-efficient torque optimization strategy with field weakening for a state feedback controller with synchronous reluctance motor drive
[IEEE] 2025-11-19 | Body composition analysis in runners using bioimpedance technique
[IEEE] 2025-11-19 | Photoacoustic Triaxial Force Sensing via Integrated Polymer Waveguides for Ultra-Compact Robotic Surgical Instruments
[IEEE] 2025-11-19 | Gain-Switching-Induced Pulse Bursts Generation in a Hybrid-Pumped Fiber Ring Cavity
[IEEE] 2025-11-19 | Recent Advances and Innovative Approaches to Railway Safety based on Applications, Sensors and Algorithms: A Systematic Review
[IEEE] 2025-11-19 | LODESTAR: Degeneracy-Aware LiDAR-Inertial Odometry with Adaptive Schmidt-Kalman Filter and Data Exploitation
[IEEE] 2025-11-19 | Identifying social bots via heterogeneous motifs based on Naïve Bayes model
[IEEE] 2025-11-19 | LRFNet: Learning Light Field Reconstruction via a Large Receptive Field Network
[IEEE] 2025-11-19 | MORA: A Multi-Task Offloading and Resource Allocation Algorithm in Dispersed Computing Vehicular Networks
[IEEE] 2025-11-19 | Quantum Reinforcement Learning for Volt-VAR Control in Power Distribution Systems
[IEEE] 2025-11-19 | GS-Loc: A Vision Foundation Model-Driven 3D Gaussian Splatting Framework for Robust Visual Relocalization
[IEEE] 2025-11-19 | Half Title Page
[IEEE] 2025-11-19 | A Deep Reinforcement Learning-Based UAV Trajectory Planning Method for Generalizable Radar Phantom Track Generation
[ACM] 2025-11-19 | DPANet: Domain Pyramid Attention Network for Domain Generalization on Medical Image Segmentation in Connected Health
[IEEE] 2025-11-19 | A Series of Structural Head Loop Bottleneck Attention in Fault Diagnosis for Pumping Unit
[IEEE] 2025-11-19 | Seasonal Segmentation and Life Moment Prediction in Financial Services: A K-means and SVM-Based Approach
[IEEE] 2025-11-19 | A Dynamic Particle Swarm Optimization Approach for Identifying Control Parameters of Virtual Synchronous Generators
[IEEE] 2025-11-19 | Novel Three-Layer Sub-Harmonic Vernier Machine
[IEEE] 2025-11-19 | Anomaly Detection via Heterogeneous Graph Attention Network for Space-Based Cloud Service Platform
[IEEE] 2025-11-19 | Method for Fast Ship Positioning using Space-Borne AIS with Twin Antennas
[IEEE] 2025-11-19 | Optimization and Reliability Verification of IGBT Driver Based on Gate-Boosting Technology
[IEEE] 2025-11-19 | Quantitative Relationship Model of Wear Particles in Different Particle Size Classes and Failure Warning Method
[IEEE] 2025-11-19 | Intelligent identification of load characteristics and power supply control strategies based on deep learning
[IEEE] 2025-11-19 | Short Circuit Resistance Calculation During Thermal Abuse Process
[IEEE] 2025-11-19 | An Integrated Learning-Based Ai Mobile Platform for Autonomous Navigation and Hazardous Fire Intelligence
[IEEE] 2025-11-19 | MFCI-Net: A Multi-Scale Feature Extraction Interaction Network for Enhanced Remote Sensing Object Detection
[IEEE] 2025-11-19 | Modern Data Stack Demystified: A Strategic Framework for Scalable Adoption
[IEEE] 2025-11-19 | Construction of power plant flue gas emission prediction model based on machine learning
[IEEE] 2025-11-19 | Development of Drifting Data Logger With Solar Power for Long-Term Observation
[IEEE] 2025-11-19 | Sentiment Analysis of Twitter Data Related to HIV/AIDS Using CNN-BiGRU Algorithm Optimized with Genetic Algorithm Optimization
[IEEE] 2025-11-19 | Two-input three-level boost converter
[IEEE] 2025-11-19 | Modeling and Mechanism Analysis of Rotor Support Misalignment Fault
[IEEE] 2025-11-19 | Next-Generation Condition Monitoring: Digital Twin in RUL Predictive Maintenance for Main Bearings of Semi-Direct Drive
[IEEE] 2025-11-19 | Vision-Based Learning for Cyberattack Detection in Blockchain Smart Contracts and Transactions
[IEEE] 2025-11-19 | Home Compatible Labs Concept in Erasmus+ Conn’Cor Project
[IEEE] 2025-11-19 | Modulated MPC With Current Injection for Voltage Stabilization in Low-Capacitance DC Links
[IEEE] 2025-11-19 | Application of Asymmetrical Waffle Iron Filters in Dielectric Resonator Filter to Resolve Technological Issues at Higher Microwave and Millimeter Wave Frequencies
[IEEE] 2025-11-19 | Enhancing Short-Term Electricity Load Prediction via CNN-BiGRU and Autoformer Integration
[IEEE] 2025-11-19 | Study on Loading Method for Bench Testing of Wheeled Vehicle Transmission Systems
[IEEE] 2025-11-19 | Intelligent Fault Diagnosis for Train Bogie Based on Multi-Scale Residual Attention
[IEEE] 2025-11-19 | A Stochastic Model for the Bike-sharing Repositioning Problem
[IEEE] 2025-11-19 | Revealing Hidden Dynamics: The Caputo Derivative’s Influence on Vesicle Behavior
[IEEE] 2025-11-19 | Data-Driven Voltage Stability Margin Search: Neural Network Criterion and Particle Swarm Cooperative Optimization
[IEEE] 2025-11-19 | Review for "Strip-ViTAE: A Direction-Aware Transformer with Enhanced Feature Modeling for Remote Sensing Image Object Detection"
[IEEE] 2025-11-19 | Quantifying Network Dissimilarity via Augmented Networks_supp1-3634079.pdf
[IEEE] 2025-11-19 | Longitudinal and Lateral Synthesize Tracking Strategy for Connected Vehicle Platoon with Cyber Attacks
[IEEE] 2025-11-19 | A Flexible Dual-Mode and Efficient RISC-V Coprocessor for On-Node FFT Acceleration in Edge Sensing
[IEEE] 2025-11-19 | Large-Signal Stability Analysis of Power Amplifiers Under Mismatch Conditions Based on Structured Singular Values Computation
[IEEE] 2025-11-19 | EnT 2025 Copyright Page
[IEEE] 2025-11-19 | Back Cover
[IEEE] 2025-11-19 | CPERE 2025 Forward
[IEEE] 2025-11-19 | Neural Representation for Wireless Radiation Field Reconstruction: A 3D Gaussian Splatting Approach
[IEEE] 2025-11-19 | The Impact of E-learning Ability on Students’ Academic Performance: using Regression Analysis
[IEEE] 2025-11-19 | D-DOSA:DPU-Based Dataflow Offloading and Sparse Allreduce Framework for Distributed Training
[IEEE] 2025-11-19 | Predictor Feedback Control of Discrete-Time Systems With Multiple State Delays and Distinct Input Delays
[IEEE] 2025-11-19 | Strategic Patenting and Technological Evolution in Energy Utilization and Recovery_supp1-3633877.docx
[IEEE] 2025-11-19 | Explainable End-to-End Seizure Prediction via Stationary Wavelet Transform-Driven Dynamic Multiscale Fuzzy Clustering
[IEEE] 2025-11-19 | GPT Agent-Supported Edge Intelligence for Optimizing D2D Communications
[IEEE] 2025-11-19 | Channel Prediction in the Time-Frequency-Angle Domain
[IEEE] 2025-11-19 | Federated Learning for Phishing Detection and Protection in Wearable Health Networks
[IEEE] 2025-11-19 | Cf-Yolo: Cross-Modal Fusion for Weakly Aligned Rgb-Ir Uav Object Detection
[IEEE] 2025-11-19 | Poverty and Inequalities in Mauritania : Regional Raning Using the Fyzzy TOPSIS Method
[IEEE] 2025-11-19 | Restoring Weather-Degraded Vision with Dual-Decomposed Multi-Scale Parallel Transformer
[IEEE] 2025-11-19 | A Novel ASCON ECB with 64-Bit Block Size for Energy-Harvesting Beat Sensors
[IEEE] 2025-11-19 | Capacitive Wireless Power Transfer to Multiple Loads Using Repeaters
[IEEE] 2025-11-19 | Analysis of Naive Bayes and Support Vector Machine to Classify Thesis Based on Sustainable Development Goals
[IEEE] 2025-11-19 | Multi-Region Energy System Coordination Optimization Considering Rural Scenarios
[IEEE] 2025-11-19 | Low Speed High Torque Motor Low Speed Stability Test System
[IEEE] 2025-11-19 | Long-Term Traffic Forecasting With the Informer Model: Insights From Taiwan's Section
[IEEE] 2025-11-19 | Sliding-Based Surface Material Recognition Using Flexible Magnetic Cilia Sensor for Intelligent Maintenance
[IEEE] 2025-11-19 | HCT-Net: Hybrid CNN-Transformer U-Net for Joint Segmentation of Multiple Retinal Structures
[IEEE] 2025-11-19 | AI-Driven Drilling in Mining: Systematic Review of Smart Technologies, Challenges, and Pathways to Sustainable Automation
[IEEE] 2025-11-19 | Fault Sample Generation Method for Industrial Processes with a Limited Number of Samples
[IEEE] 2025-11-19 | Investigation of Torque Ripple Reduction in Vehicle Motors through Permanent Magnet Biasing
[IEEE] 2025-11-19 | Two-bit Side Channel Attack Resistant Register in 350 nm CMOS Technology
[IEEE] 2025-11-19 | Dynamic QoS-Based Optimization Algorithms for MEC-Assisted Vehicular Networks
[IEEE] 2025-11-19 | Heat exchanger structure Optimization of Vehicle thermoelectric Power Generation System Based on RSM and NSGA-II
[IEEE] 2025-11-19 | A Multimodal Depression Diagnosis Model Inspired by Traditional Chinese Medicine’s Observation and Inquiry
[IEEE] 2025-11-19 | Predicting industrial accident causes from text descriptions: a Machine Learning-Based approach
[IEEE] 2025-11-19 | Digital Twin-Driven Framework for Dynamic Modeling and Signal Generation for Rolling Bearing Fault Diagnosis
[IEEE] 2025-11-19 | DPT Circuit Design and Implementation for SiC MOSFET Characterization
[IEEE] 2025-11-19 | A GAN-Based Knowledge Distillation Framework for Robust Defect Detection on PCBs in Low-Light Conditions
