[2026-03-19 09:37:26] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-03-18
正在获取论文...
[arXiv] 2026-03-18 | On the triviality and non-triviality of the automorphism group of a skew brace
[NO] 76/200 | Stochastic set-valued optimization and its application to robust learning
[NO] 77/200 | Objective Mispricing Detection for Shortlisting Undervalued Football Players via Market Dynamics and News Signals
[NO] 78/200 | Flow Matching Policy with Entropy Regularization
[NO] 79/200 | Murmurations, Mestre--Nagao sums, and Convolutional Neural Networks for elliptic curves
[NO] 80/200 | Adaptive Guidance for Retrieval-Augmented Masked Diffusion Models
[NO] 81/200 | DeepCORO-CLIP: A Multi-View Foundation Model for Comprehensive Coronary Angiography Video-Text Analysis and External Validation
[NO] 82/200 | Semi-finite vector bundles on complex tori
[NO] 83/200 | Modified Friedmann equations and non-singular cosmologies in $d=4$ non-polynomial quasi-topological gravities
[NO] 84/200 | Bi-symphonic maps between Riemannian manifolds
[NO] 85/200 | Requirements Volatility in Software Architecture Design: An Exploratory Case Study
[NO] 86/200 | Part-Aware Open-Vocabulary 3D Affordance Grounding via Prototypical Semantic and Geometric Alignment
[NO] 87/200 | First $^{94}$Nb($n,γ$) Measurement: Constraining the Nucleosynthetic Origin of $^{94}$Mo in Presolar Grains
[NO] 88/200 | Automated Grammar-based Algebraic Multigrid Design With Evolutionary Algorithms
[YES] 89/200 | 3D Spherical Directly-Connected Antenna Array for Low-Altitude UAV Swarm ISAC
[NO] 90/200 | Constructive Peter--Weyl Theory: What is Known and What Remains Open
[NO] 91/200 | Temporal Narrative Monitoring in Dynamic Information Environments
[NO] 92/200 | A mechanism design overview of Sedna
[NO] 93/200 | ReLaGS: Relational Language Gaussian Splatting
[NO] 94/200 | An optimal control approach to nonlinear wave speed selection in reaction-diffusion equations
[NO] 95/200 | Moduli difference of initial inverse logarithmic coefficients for starlike and convex functions
[NO] 96/200 | One-Step Sampler for Boltzmann Distributions via Drifting
[NO] 97/200 | Unsupervised Symbolic Anomaly Detection
[NO] 98/200 | Gaussian Process Limit Reveals Structural Benefits of Graph Transformers
[NO] 99/200 | In Trust We Survive: Emergent Trust Learning
[NO] 100/200 | On global dynamics for damped driven Jaynes-Cummings equations
[YES] 101/200 | Quantum-Inspired Machine Learning Models for Secure Cryptographic Communication
[NO] 102/200 | Hybrid Graph and Attention-Based Models for Multi-Aspect E-Commerce Recommendations: A Comprehensive Review
[NO] 103/200 | Efficient ML-Based Prediction for All-Optical AND Gate Design in 2D Photonic Crystals
[NO] 104/200 | CAMS-UNet: Context-Aware Multi-Scale U-Net for Brain Tumor Segmentation
[NO] 105/200 | HRNet Neural Network-based Localization Method for Spot Center in Free-space Optical Communication
[NO] 106/200 | Comparative Evaluation of Machine Learning Models for Hourly Reference Evapotranspiration Prediction
[NO] 107/200 | Preface and Committee Member
[NO] 108/200 | Research on Anti-Collision Strategy for Automated Loading System Based on 3D LiDAR
[NO] 109/200 | Prediction of Aircraft Landing Impact Loads Using a 1D-CNN-BiLSTM-Attention Model
[NO] 110/200 | Improving COVID-19 Detection Using Transfer Learning on Chest X-Ray Images with a Modified ResNet50 Architecture
[NO] 111/200 | Engineering Gallium-Silk Fibroin-Gelatin Porous Scaffolds for Tissue Regenration
[NO] 112/200 | Deep Reinforcement Learning-Based Online Guidance Strategy for Hypersonic Gliding Vehicles
[NO] 113/200 | Analysis of Cable-Transformer Resonance Interactions Due to Circuit Breaker Prestriking Transients
[NO] 114/200 | Site Selection and Planning Method of Embedded Urban Medium-Voltage DC Intertied System
[NO] 115/200 | AI-Driven Automation of Semiconductor Device Design Integrating Silvaco TCAD
[NO] 116/200 | A Cluster-Wise Response Aggregation-Based Privacy Preservation Strategy for Pool Energy Market Participation
[NO] 117/200 | Integration of Decoupling Capacitors into a Standard EasyPACK SiC Six-Switch Module: Design, Analysis, and Validation
[NO] 118/200 | An Explainable, Digital-Twin-Assisted Paradigm for Self-Reconfiguring and Energy-Resilient Autonomous Transportation
[NO] 119/200 | First-Principle Investigation of Optical Responses in Pristine and Oxygen- Modified g- C
                    <sub>3</sub>
                    N
                    <sub>4</sub>
[NO] 120/200 | A Novel High-Accuracy Interturn Fault Diagnosis Technique for Switched Reluctance Motors Based on Inductance Profile and Superposition Principle
[NO] 121/200 | How Composite Metamorphic Relations Enhance Test Effectiveness of DNN Testing: An Empirical Study
[YES] 122/200 | Analytical and Experimental Validation of Wireless Authentication through Enhanced RF Fingerprints of Chaotic Antenna Arrays
[NO] 123/200 | Lightweight CNN for Fingerprint Spoof Detection in Resource-Constrained Environments
[NO] 124/200 | Investigating the Factors Affecting University Students' Adoption of Generative AI through PLS-SEM and Machine Learning
[NO] 125/200 | Stock Price Prediction and Investment Recommendations using Deep Learning
[NO] 126/200 | Athlete Action Recognition and Warm-up Scheme Optimization Based on Multimodal Fusion and Spatio-temporal Attention
[NO] 127/200 | AI-Based System for Dance Movement Correction and Feedback
[NO] 128/200 | Table of Contents
[NO] 129/200 | Towards Substation Semantic Segmentation: A benchmark dataset and a cross-attention embedded hierarchical network
[NO] 130/200 | Thank You for Your Authorship
[NO] 131/200 | Understanding Large Language Models in Your Pockets: Performance Study on COTS Mobile Devices
[NO] 132/200 | Multi-coil eddy current sensor for non-destructive testing of carbon fiber-reinforced structures
[NO] 133/200 | Dynamic Hypernetwork Grouping with Diffusion-Based Sampler for Heterogeneous Federated Intrusion Detection_supp1-3674493.pdf
[NO] 134/200 | Insecurity of Forward Secure Equality Test for Secure Data Sharing in Healthcare Systems
[NO] 135/200 | Hierarchical Multimodal Motion Control of Magnetic Pivot-Walking Millirobotic-Grippers for Autonomous Target Acquisition in Complex Terrains
[NO] 136/200 | Front Cover
[NO] 137/200 | Paths to “Informatik”: Values, Machines, Sciences
[NO] 138/200 | FADEG: Feature-Adaptive Asymmetric Dynamic Reweighting GNN Ensemble-Based Intrusion Detection for Power Systems
[NO] 139/200 | Non-Invasive Early Detection of Lithium-Ion Battery Heating Using CAN–BMS Temperature Forecasting
[NO] 140/200 | Design of Pedal Sensor Simulating Signal on Brake Control Algorithm HIL Test Platform for Civil Aircraft
[NO] 141/200 | AI-Enabled Posthumous Identity Protection Using Advanced Cryptographic and Governance Mechanisms
[NO] 142/200 | Explainable Ensemble Learning for Environmental, Social, Governance Score Prediction Through Rule Extraction and Pruning
[NO] 143/200 | Q-Learning-Based Mobility-Aware Offloading for Multi-Tier Vehicular Edge and Cloud Networks
[NO] 144/200 | Real-Time Water Fraud Detection Using Face Recognition and Entry-Exit Monitoring
[NO] 145/200 | A Review on Trends and Challenges in Fake News Detection Using Machine Learning and Deep Learning Approaches
[NO] 146/200 | N Truths and a Lie: Consistency-based Backdoor Defense for Vertical Federated Learning
[NO] 147/200 | Quantum-Ready ALU: Optimized Design Using Reversible Logic with RTL Design and FPGA Implementation
[NO] 148/200 | Object Detection and Recognition Framework Using Deep Learning Techniques
[NO] 149/200 | MDCA Plate: A Two Stage License Plate Recognition System with Channel Attention and Multi-Dilation Features
[NO] 150/200 | DSTD-YOLOv8: Enhanced YOLOv8 with Dense Small Target Detection Model for UAV Aerial Images
[NO] 151/200 | 2025 3rd International Conference on Power and Renewable Energy Engineering (PREE)
[NO] 152/200 | A Study on Developing an Affordable 2-DoF Upper-Limb Rehabilitation Robot
[NO] 153/200 | Research on Optimization of Composite Laminate Ply Sequence Based on Composite Ply Database
[NO] 154/200 | Identifying Website Applications Through Zero-Content URL Classification
[NO] 155/200 | Agro-Waste-Derived Biochar as an Efficient and Sustainable Material for Wastewater Treatment
[NO] 156/200 | An Ultralow
                    <i>
                      R
                      <sub>on,sp</sub>
                    </i>
                    Accumulation LDMOS with High Process and Application Compatibility
[NO] 157/200 | Oscillating Eel Robots that Leverage Collisions for Controllable Motions_supp1-3674679.mp4
[NO] 158/200 | Evaluating Data Retrieval and Quality in Pakistani High Court Systems: A Computational Approach
[NO] 159/200 | Broadband Photodetector Based on SnS
                    <sub>2</sub>
                    /MoS
                    <sub>2</sub>
                    /CuO/WSe
                    <sub>2</sub>
                    Multilayer Structure
[NO] 160/200 | A Closed-Loop Adaptive System for Personalized Yoga Therapy Using Computer Vision
[YES] 161/200 | Phase Selection and Analysis for Multi-frequency Multi-user RIS Systems Employing Subsurfaces in Correlated Ricean and Rayleigh Environments
[NO] 162/200 | Solar Cell Power Plant Capacity Monitoring: A Hybrid Approach using Physics-Informed Modeling and Boosted Ensemble Machine Learning Algorithm
[NO] 163/200 | A Bootstrapping-Optimized Framework for Semantic-Prior Guided Implicit State-Space Models in Remote Sensing Image Super-Resolution
[NO] 164/200 | Temperature rectified refractive index sensor based on surface plasmon resonance in a tapered multimode fiber
[YES] 165/200 | RSMA-Enabled Covert Communications Against Multiple Spatially Random Wardens
[YES] 166/200 | URLLC-Aware Resource Allocation for IRS Backscatter-Enabled Space-Air-Ground Integrated Networks
[NO] 167/200 | SadNet: Deep Recurrent Emotion Dynamics Model for Real-Time Sadness Recognition Using Facial Muscle Movements
[NO] 168/200 | UAV Path Planning Method Based on Artificial Emotions
[NO] 169/200 | Computational Study of Integrated Phased Array Antenna and Radome Structured with Huygens Metasurface
[NO] 170/200 | Research on Key Technologies for in-Orbit Management of Spacecraft Cryogenic Propellants
[NO] 171/200 | Unveiling Genomic Insights: Fine-Tuning LLMs for Enhanced Gene Prioritization
[NO] 172/200 | Neural Cognitive Diagnosis Models for Intelligent Adaptive Testing: A Systematic Evidence Synthesis
[NO] 173/200 | Multi-Label Classification of Eye Disease Using Deep Learning
[NO] 174/200 | Comparison Analysis of the Accuracy of Machine Learning Models to Predict Customer Churn in Telecom Industry
[NO] 175/200 | Research hotspots and trends of virtual reality technology in sports injury rehabilitation: A mixed bibliometric analysis based on CiteSpace and VOSviewer
[NO] 176/200 | Automated Analysis and Validation of Spatiotemporal Consistency in Team Routines of Artistic Swimming
[NO] 177/200 | Biclique Percolation Communities Computation on Temporal Bipartite Graphs
[NO] 178/200 | A Formal Framework for Reactive Heterogeneous Multirobot Task Allocation in Uncertain Semantic Environments
[NO] 179/200 | Second-Life Batteries as Enablers of Sustainable Electric Vehicle Infrastructure: Opportunities and Future Directions
[NO] 180/200 | Service Composition for Satellite Computing
[NO] 181/200 | DARS: Dynamic Reliability-Aware Routing and Scheduling for Fault-Tolerant TSN
[NO] 182/200 | CMCap: Cross-modal Meta-captioning for Few-shot Remote Sensing Image Captioning_supp1-3674723.pdf
[NO] 183/200 | Enhancement of 6T CNFET SRAM Performance: A Comparison of Traditional and Stacking Methods in 45nm Technology
[NO] 184/200 | SSRFense: A Multi-Layered SSRF Detection and Defense System for Kubernetes Microservices
[NO] 185/200 | A Comprehensive Multi-Model Framework for Lung Cancer Image Classification Integrating Advanced Deep Learning and Explainable AI
[NO] 186/200 | Performance Evaluation of Lane Change Maneuvers in Self-Driving Vehicles: A Simulation-Based Approach
[NO] 187/200 | List of Reviewers
[NO] 188/200 | Improving Content Dissemination in Named Data Networking through Broadcast Leave-Copy-Down Caching
[NO] 189/200 | Secure Image Encryption Using 5D Hyper-Chaotic Keystream and 3D Pixel Scrambling with Adaptive Confusion-Diffusion
[NO] 190/200 | Sparse Deep Neural Networks for Pubic Symphysis-Fetal Head Segmentation
[NO] 191/200 | Committees
[NO] 192/200 | Death Prediction of Heart Failure Patients Using Machine Learning Techniques
[NO] 193/200 | Front Cover
[NO] 194/200 | Title Page
[NO] 195/200 | Synthesized sgRNA Databases with Optimal GC-Content as Davenport-Schinzel Sequences
[NO] 196/200 | User Profiles and Perceptions for Predicting Technology Acceptance in Border Control Technologies from Online Social Networks
[NO] 197/200 | Multi-Level Deep CNN for Glaucoma Detection and Classification
[NO] 198/200 | Achieving Real-Time Emotion Recognition in Speech: A Hybrid Deep Learning Approach with 22ms Inference
[YES] 199/200 | RL Based Beamforming Optimization for 3D Pinching Antenna Assisted ISAC Systems
[NO] 200/200 | An AI-Powered Voice Assistant for Health and Wellness Monitoring Using CNN-BILSTMAttention
筛选完成：共 200 篇；Yes = 9 篇；已保存到 papers/select_paper2026-03-18.json。
邮件发送成功！
[2026-03-19 10:14:13] 任务执行成功！
