[2026-01-14 09:18:02] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-01-13
正在获取论文...
[arXiv] 2026-01-13 | Gyral-Sulcal-Net: An Integrated Network Representation of Brain Folding Patterns
[IEEE] 2026-1-13 | Development of a Prediction Model for Academic Performance Decline Using Two-Layer Ensemble Progressive Learning
[IEEE] 2026-1-13 | Determination of Liquid Relative Permittivity Using a Parallel Wire Capacitive Sensing Technique
[IEEE] 2026-1-13 | QoS Prediction for Satellite-Based Avionic Communication Using Transformers
[IEEE] 2026-1-13 | FedMon: Federated eBPF Monitoring for Distributed Anomaly Detection in Multi-Cluster Cloud Environments
[IEEE] 2026-1-13 | Climate Refugees in Literature and Real Life: Blockchain and AI for Ethical Storytelling and Data Protection
[IEEE] 2026-1-13 | Cloud-Integrated Multi-Agent Middleware for Dynamic Adaptive 3D Map Generation in Disaster-Response Robotic Systems
[IEEE] 2026-1-13 | InterARM: Interpretable Affective Reasoning Model for Multimodal Sarcasm Detection
[IEEE] 2026-1-13 | A Low-Carbon Autonomous Operation Method for Energy-Intensive Industrial Parks Based on Dynamic Games Among Multiple Subjects
[IEEE] 2026-1-13 | Research on Fault Diagnosis of Photovoltaic Power Plants Based on Image Recognition Technology
[IEEE] 2026-1-13 | Employ Blockchain to Boost Cloud Computing Cybersecurity: Product Data Integrity and Appropriate Access with Smart Contract Regulations
[IEEE] 2026-1-13 | Adaptive Prompt Intelligence: Towards Self-Evolving Conversational Agents
[IEEE] 2026-1-13 | HI-MobileNet: A Lightweight Deep Learning Framework for Automated Diagnosis of Harlequin Ichthyosis
[IEEE] 2026-1-13 | The Impact of Late-Night Phone Use on Sleep and Mental Health: The Role of Behavioral Adaptation Strategies
[IEEE] 2026-1-13 | WIP: Comparing the Impact of Learning Strategy Interventions in Varied Teaching Contexts
[IEEE] 2026-1-13 | A Deep Experimental Study of Ensemble-Based Phishing Detection in Centralised and Federated Settings
[IEEE] 2026-1-13 | Improving Retention in a Fast-Paced Software Engineering Master's Degree for Career Changers Using a Skills Profiler
[IEEE] 2026-1-13 | Impact of Blinkit: Spatio-Temporal GNN Framework for Sustainable Demand Forecasting in Q-Commerce
[IEEE] 2026-1-13 | Prediction to Explanation: A Review of Machine Learning and XAI in Telecom Customer Churn Analysis
[IEEE] 2026-1-13 | Cover 2
[IEEE] 2026-1-13 | Optimal Tracking Control of Uncertain Nonlinear Systems Using Simplified Reinforcement Learning
[IEEE] 2026-1-13 | A Biologically-Inspired Flapping-Wing Air Vehicle with Active Folding-Wings_supp1-3653275.mp4
[IEEE] 2026-1-13 | A Hydro-Intelligence Body: Cognitive Architecture for Project-Oriented Autonomous Water Systems Driven by Multi-Modal Sensing and Water Utility Panel
[IEEE] 2026-1-13 | Communicating the Value and Contributions of Engineering Education Research to Multiple Stakeholders
[IEEE] 2026-1-13 | Gate-Induced Drain Leakage Effect-Driven 1T FeFET TCAM for Large-Scale Integration
[IEEE] 2026-1-13 | Near limit boundary selection of power system operation mode based on GMM
[IEEE] 2026-1-13 | Inclusive Cybersecurity and Safety Risk Assessment Model for Cyber-Physical Systems Using Mamdani Fuzzy Inference System
[IEEE] 2026-1-13 | Exploring Communication Efficient Methods for Homomorphic Encryption Federated Learning
[IEEE] 2026-1-13 | From Play to Proficiency: A Systematic Literature Review on Learning Modalities and Transition Strategies in CS and AI Education
[IEEE] 2026-1-13 | Student Interest and Choice of STEM Majors: A Systematic Review of Contributing Factors
[IEEE] 2026-1-13 | Comparative Analysis of Machine Learning Models for Estimating Li-ion Batteries State of Health
[IEEE] 2026-1-13 | Integrative AI Practices Across Disciplines: Innovations in Computer Science, Electrical Engineering, and Economics Education
[IEEE] 2026-1-13 | WIP: Fostering Meaningful Reflective Practice Through Concept Mapping in Graduate Engineering Education
[IEEE] 2026-1-13 | Title Page III
[IEEE] 2026-1-13 | Identification of Digital Competencies to Strengthen the Graduation Profile of Students Close to Graduation From a Polytechnic University in Central Mexico
[IEEE] 2026-1-13 | Clicker-Free Motion-Controlled Mouse Using Arduino
[IEEE] 2026-1-13 | Decision letter for "MFC-CNN: A Deep Learning Framework for Urban Building Height Estimation from GF-7 Imagery"
[IEEE] 2026-1-13 | Learn to Enhance Sparse Spike Streams
[IEEE] 2026-1-13 | Integrating a Customized AI Chatbot in Database Design and Programming Course
[IEEE] 2026-1-13 | A Literature Review on Engineering and Social Entrepreneurship Competencies for Developing Responsible and Entrepreneurial Engineering Workforce
[IEEE] 2026-1-13 | Large Language Model-based defect detection in context of industry 5.0
[IEEE] 2026-1-13 | Incremental 3D Panoptic Segmentation Using Texture and Depth Information
[IEEE] 2026-1-13 | Meta Learning-based Multimodal Recommendation with Adaptive User Modality-Aware Preference Integration
[IEEE] 2026-1-13 | Towards Personalized Programming Instruction Using Generative Language Models
[IEEE] 2026-1-13 | Study on the Competitiveness of High-Quality Development of Manufacturing Supply Chain in Jiangmen City
[IEEE] 2026-1-13 | Adaptive Shaping and Characterization of Electrostatically Actuated Mesh Reflectors_supp1-3650229.pdf
[IEEE] 2026-1-13 | IC3INA 2025 Ad Page
[IEEE] 2026-1-13 | Creating Smart Learning Objectives Relationship Between Application Engagement and Performance
[IEEE] 2026-1-13 | A Multi-Agent Reinforcement Learning Approach for Enhanced Spectrum Resource Allocation in NR-V2X Mode 2
[IEEE] 2026-1-13 | PsyBART: A Large-Model-Based Dialogue System for Depression Therapy
[IEEE] 2026-1-13 | Feature Mapping: an Approach to Improve Cross-Silo Federated Learning on Tabular Data
[IEEE] 2026-1-13 | XAI-Enabled Deep Convolutional Model for Polycystic Ovary Syndrome Detection from Ultrasound Imaging
[IEEE] 2026-1-13 | Quadrupped-Legged Robot Movement Plan Generation using Large Language Model
[IEEE] 2026-1-13 | Towards Robust Gait Identification: A Frequency Domain Approach in Varied Surveillance Environments
[IEEE] 2026-1-13 | Comparative Analysis of Anatomic Plane MRI and Classifier Performance for Autism Spectrum Disorder Classification Using LBP-FOS Features
[IEEE] 2026-1-13 | Con-GBERT: Convolutional Attention-Based GBERT for Grapheme-to-Phoneme Conversion in Low-Resource Zhuang Language
[IEEE] 2026-1-13 | Deep Learning and Physical Unclonable Functions for Secure Authentication in Smart Environments
[IEEE] 2026-1-13 | End-to-End Deep Learning and Machine Learning Framework for Chronic Heart Failure Detection from Phonocardiogram Signals
[IEEE] 2026-1-13 | Xiaohang: Research on the Construction and Application of Educational Intelligent Agents Based on Large Language Models
[IEEE] 2026-1-13 | Beyond the Naked Eye: Automated Delivery Analysis in Cricket with Computer Vision
[IEEE] 2026-1-13 | A Comparative Analysis of HPS and MMoE Models for Multi-Task Learning: Empirical Evaluation on Office-31 and NYUv2 Datasets.
[IEEE] 2026-1-13 | Author Index
[IEEE] 2026-1-13 | Multi-Objective Optimization for Charging Paths Planning and Energy Efficiency in UAV-Assisted Wireless Rechargeable Sensor Networks
[IEEE] 2026-1-13 | FFE-DETR: Frequency-Aware Feature Enhancement for Object Detection in Low-Light Scenarios
[IEEE] 2026-1-13 | A Multiphysics Domain Decomposition Method for Transient Electro-Thermo-Mechanical Analysis
[IEEE] 2026-1-13 | Question Understanding and Temporality Guiding for Video Question Answering
[IEEE] 2026-1-13 | Early Stage Fault Detection of Rolling Bearing Using a VMD-TEO-RF Framework
[IEEE] 2026-1-13 | Carbon-Efficient Internet Video Streaming
[IEEE] 2026-1-13 | RRC Signaling Storm Detection in O-RAN
[IEEE] 2026-1-13 | Enhancing 2-Wheeler Safety Through Adaptive Data Management with Fuzzy Logic
[IEEE] 2026-1-13 | Visualizing Quadratic Attributes Using Projectile Simulator and Real Life Examples
[IEEE] 2026-1-13 | Analyzing Lifestyle and Predicting Longevity Using Machine Learning Models
[IEEE] 2026-1-13 | The Overlooked Role of 'Academic' Sense of Belonging: A Multi-Methods Study of Academic and Social Sense of Belonging Among Students in Globalized Engineering Graduate Education
[IEEE] 2026-1-13 | Sea Animal-Inspired Metaheuristics for No-Wait Flexible Flow Shop Scheduling in Small-Scale Bakery Enterprises
[IEEE] 2026-1-13 | Development of A Data-Driven Adaptive Setpoint Recommendation for Energy and Emission Optimization in Air Conditioning Systems
[IEEE] 2026-1-13 | Implementation of Business Intelligence in Analyzing Merchant Sales E-Stall Crunchy
[IEEE] 2026-1-13 | Artificial Neural Network MPPT and Intelligent Energy Management for Grid-Integrated Hybrid PV-Wind-Battery Systems
[IEEE] 2026-1-13 | ComNet 2025 Cover Page
[IEEE] 2026-1-13 | Security of the Three-Pass Protocol on Permutations
[IEEE] 2026-1-13 | Designing Meta-Intelligent Adaptive Cybersecurity Architectures to Enable Real-Time Threat Mitigation in Immersive, Multi-Layered Internet Infrastructure Ecosystems
[IEEE] 2026-1-13 | Thermally Robust AlScN Memristors With Thickness-Optimized Resistive Switching for Harsh Environment_supp1-3650484.docx
[ACM] 2026-1-13 | Cost-Efficient Cloud Infrastructure with Hugepage-aware Memory Deduplication
[ACM] 2026-1-13 | Assessing the performance gap between lexical and semantic models for information retrieval with formulaic legal language
[ACM] 2026-1-13 | Automated Mapping of Legal Criteria to the Texts of Adjudicatory Decisions Using LLMs
[ACM] 2026-1-13 | “Lost in EU Regulation? Don’t Worry, AI Found the Obligation”
[IEEE] 2026-1-13 | Robust Phantom-Assisted Framework for Multi-Person Localization and Vital Signs Monitoring Using MIMO FMCW Radar_supp1-3651442.pdf
[IEEE] 2026-1-13 | Model Quantization for Resource-Efficient DNN Implementation of MAC Protocols in Industrial IoT
[IEEE] 2026-1-13 | Integrating Behavioural Science using the Psycho-Intelligence Framework in Connected Systems
[IEEE] 2026-1-13 | Enhancing 6LoWPA Performance in Lossy Networks Using Complex and Combined Header Compression
[IEEE] 2026-1-13 | Innovations to SAP ERP Platform Cybersecurity: Hybrid Cryptographic Techniques for Integrity, Authentication, and Confidentiality in International Business Operations
[IEEE] 2026-1-13 | MIPS: Scalable Multi-Level Architecture for Real-Time MQTT Protocol Security in IoT
[IEEE] 2026-1-13 | Multidimensional Assessment of Sustainable Development Projects
[IEEE] 2026-1-13 | Learning in the Digital Era: How AI-Based Chatbot Satisfaction Shapes Academic Performance among Indonesian Students
[IEEE] 2026-1-13 | ComNet 2025 Cover Page
[IEEE] 2026-1-13 | Optimization of 5G Base Station Placement in Urban Environments Using a Genetic Algorithm
[IEEE] 2026-1-13 | Machine Learning Approach to Explore the Relationship of Innovation and Financial Factors in Renewable Energy Companies
[IEEE] 2026-1-13 | Detection of AI-Generated Art Model: A CNN Densenet Framework Transfer Learning Approach
[IEEE] 2026-1-13 | IoT and Machine Learning for Smart Warehouse Management in Logistics
[IEEE] 2026-1-13 | Title Page i
[IEEE] 2026-1-13 | Optimizing Custom Convolutional Blocks for Pre-trained CNNs in Tuberculosis X-ray Analysis via Bayesian Optimization
[IEEE] 2026-1-13 | Outfit Recommendations with Deep Learning-Based User Body Type Classification for Virtual Try-On
[IEEE] 2026-1-13 | Analyzing the Importance of Spatio-Temporal Patterns in Eye-Tracking Sensor Data for Predicting Perceived Usability and User Experience
[IEEE] 2026-1-13 | Copyright
[IEEE] 2026-1-13 | WIP: Enhancing Game-Based Learning with AI-Driven Peer Agents
[IEEE] 2026-1-13 | RL-LSTM Enhanced Hybrid Navigation: An Intelligent APF Approach for Differential Wheel Drive
[IEEE] 2026-1-13 | ICAIFI 2025 Sponsors
[IEEE] 2026-1-13 | Modern Day Perspective on History and Education Through the Lens of Artificial Intelligence
[IEEE] 2026-1-13 | Intelligent System for Adaptive Resource Management in a Hybrid Educational Laboratory
[IEEE] 2026-1-13 | Determinants of AI-Driven Accelerated Learning for Junior Auditors
[IEEE] 2026-1-13 | Cross-Layer Optimization of LEO Routing via DoA Statistics and SDN Domain Assignment
[IEEE] 2026-1-13 | 2025 Second International Conference on Artificial Intelligence for Medicine, Health and Care (AIxMHC)
[IEEE] 2026-1-13 | 2025 8th International Conference on Big Data and Artificial Intelligence (BDAI)
[IEEE] 2026-1-13 | ToP-CK: Technological Pedagogical Content Knowledge and Adaptive Feedback Integrated Robot Path Planning
[IEEE] 2026-1-13 | Scalable Anomaly Detection in Cloud Logs with Sparse Transformer
[IEEE] 2026-1-13 | Tracking Shifts in Major and Concentration Combinations: Trends and Implications in a School of Electrical and Computer Engineering
[IEEE] 2026-1-13 | Integrating E-Commerce and Games for Mental Wellbeing
[IEEE] 2026-1-13 | Real-Time Task Allocation for UAV Swarms in Complex Environments via Dynamic Hierarchical Attention GNN (DHA-GNN)
[IEEE] 2026-1-13 | Automated Medical System for Rural Communities to Provide Medication without Human Interruption Using Machine Learning Techniques
[IEEE] 2026-1-13 | Non-invasive Blood Pressure Measurement with Piezoelectric Sensors
[IEEE] 2026-1-13 | SmartFoodGuard: AI-Powered Quality Monitoring and Safety System for Sustainable Food Consumption
[IEEE] 2026-1-13 | DBAB: A Dual-Branch Adaptive Balance Framework with Optimized Plasticity Branch for Class-Incremental Learning
[IEEE] 2026-1-13 | Integrating AI &amp; Blockchain in Finance: An Innovation Method for Transparent, Secure, and Automated Investment Decision-Making
[IEEE] 2026-1-13 | Electrolyte-Gated Graphene FETs for Acetylcholine Detection via Functional Layer-assisted Transfer Approach
[IEEE] 2026-1-13 | Astraeus: Rapid Container Deployment with Lazy Pulling in Satellite Edge Cloud
[IEEE] 2026-1-13 | From Pixels to Policy: Data Driven Spatiotemporal and Statistical Framework for Quantifying Environmental Risk in Gujranwala, Pakistan
[IEEE] 2026-1-13 | Comparative Analysis of Classical Machine Learning Models and Deep Learning in Rose Leaf Disease Classification
[IEEE] 2026-1-13 | Analysis of the Third Factor in Lightning-Induced Tripping: The Mechanism of Insulator Micro-Current Flashover Triggered by High-frequency Induced Voltage during Lightning Strikes on Overhead Ground Wires
[IEEE] 2026-1-13 | Optimizing Emotion Detection with Attention-Enhanced Convolutional Neural Networks
[IEEE] 2026-1-13 | Guidelines for Designing Engineering Problems to Bootstrap Students' Deep Learning Based on Productive Failure Reflecting Brain Activity
[IEEE] 2026-1-13 | The Design of Complete Coverage Path Planning for a Service Robot
[IEEE] 2026-1-13 | Heart Disease Prediction Using TabNet-A Deep Learning Model
[IEEE] 2026-1-13 | Memecoins Through the Lens of Reddit
[IEEE] 2026-1-13 | Multimodal Unmanned Aerial Vehicles Classification Using Vision and Acoustic Inputs
[IEEE] 2026-1-13 | Subject Index Page
[IEEE] 2026-1-13 | Towards Improving Arbitrary-Shaped Text Detection with Boundary Adaptation in Noisy Scene Images_supp1-3652839.pdf
[IEEE] 2026-1-13 | Enabling Coexistence: Dynamic Channel Allocation for Scalable LEO-GEO Networks
[IEEE] 2026-1-13 | Deep Learning Based Classification of 45 Days Chicken Freshness Using Convolutional Neural Networks and Adam Optimizers
[IEEE] 2026-1-13 | The Topological Connectivity and Assortativity of Social Networks
[IEEE] 2026-1-13 | WIP: Lifelong Learning in Electrical Engineering Education Using a Stakeholder Approach for Electrified Aviation
[IEEE] 2026-1-13 | Developing Effective Attitudinal Character Indicators to Support Character Development
[IEEE] 2026-1-13 | Optimized Data Preprocessing and Dimensionality Reduction Framework for FPGA-Based Embedded Systems Using Hybrid Sparse-Probabilistic PCA
[IEEE] 2026-1-13 | AMFC-DEIM: Improved DEIM With Adaptive Matching and Focal Convolution for Remote Sensing Small Object Detection
[IEEE] 2026-1-13 | AI-Based Low-Cost Approach for Cardiac Anomaly Detection
[IEEE] 2026-1-13 | Exploring Generative AI Models for Creating Culturally Rich and Immersive Worlds in Chinese Animated Content
[IEEE] 2026-1-13 | Mitigating Exam Barriers for Neurodivergent Students: A Study on Sensory Adaptations in Computing Assessments
[IEEE] 2026-1-13 | Assessing Student Attention Levels in the Classrooms Using Large Language Models
[IEEE] 2026-1-13 | Reviewers
[IEEE] 2026-1-13 | Efficient nebulization of argon plasma-jet-activated water via surface acoustic waves for surface bacterial inactivation_supp1-3651243.pdf
[IEEE] 2026-1-13 | WIP: Examining a Different Approach to Create Successful Opportunities for Collaboration between University and Community Partners in International Service Learning
[IEEE] 2026-1-13 | Federated Learning Approaches for Secure and Privacy-Preserving Brain Image Processing
[IEEE] 2026-1-13 | AI-Powered Detection of Body Fluid Markers for Early Warning of Lifestyle Diseases
[IEEE] 2026-1-13 | LMAgent: A Large-scale Multimodal Agents Society for Multi-user Simulation_supp1-3651078.pdf
[IEEE] 2026-1-13 | Emoticore: An Optimized 4-Channel EEG-Based Emotion Detection System
[IEEE] 2026-1-13 | Comparative Analysis of GNSS and INS Loose and Tight Integration Navigation Accuracy in Complex Urban Environments
[IEEE] 2026-1-13 | Fine-Tuning of a BERT Model for Oncology EHR Analysis in Brazilian Portuguese
[IEEE] 2026-1-13 | THERAPICK: An Integrated Approach for ARTI Antibiotic Recommendations Using Rule-Based Logic, Tanimoto Similarity, and Multidimensional Data
[IEEE] 2026-1-13 | Multi-label Emoji Prediction on an Urdu Twitter Dataset using Deep Learning
[IEEE] 2026-1-13 | YOLO V8-Based Illegal Fishing Detection Using Underwater ROV and ASV Robot Through UDP Communication
[IEEE] 2026-1-13 | Investigating the Role of the Instructional Team in Enhancing Student Teamwork Experiences in an Introductory Cybersecurity Course
[IEEE] 2026-1-13 | Control-Communication Co-Design for Cloud–Fog Automation over 5G-TSN: A Coupling Loop Method under Network Uncertainty
[IEEE] 2026-1-13 | TransMap: Transformer-Enhanced Divide-and-Conquer Reinforcement Learning Framework for Efficient CGRA Compilation
[IEEE] 2026-1-13 | Optimal Computation Load Balancing for Integrated Service Caching and Offloading Systems in Hierarchical Cloud Architecture
[IEEE] 2026-1-13 | Implementing a Praxis of Change: A Comparative Case Study on Interactive Methodologies and the Instruction of Engineering Ethics
[IEEE] 2026-1-13 | Developing Leadership Skills in Software Engineering Students - a Case Study of a Leadership Development Framework
[IEEE] 2026-1-13 | Decision letter for "FAPMNet: Flow-Aligned Prototype Memory Network for Semantic Change Detection in Remote Sensing Images"
[IEEE] 2026-1-13 | DC Off-board Vehicle to Grid/Building/Home: A Survey and Gap Analysis_supp1-3652429.pdf
[IEEE] 2026-1-13 | Fault-Tolerant Multiport Single Diode Bridge for Distributed PV Power Collection and Voltage Step-up
[IEEE] 2026-1-13 | FedAuth: A Lightweight and Privacy-Enhanced Authentication Scheme for Federated Learning in IoVs
[IEEE] 2026-1-13 | The Impact of Big Data Analytics in Evaluating Green Bond Performance and Assessing Environmental Impact
[IEEE] 2026-1-13 | Broadening Participation in CS Research with Scalable Undergraduate Research Mini-Projects
[IEEE] 2026-1-13 | Identifying Key Psychological, Biological, Lifestyle, and Social Risk Factors for Mental Health using Random Forest and Gradient Boosting Models
[IEEE] 2026-1-13 | ICOECAI 2025 Cover Page
[IEEE] 2026-1-13 | 2025 Antennas Design and Measurement International Conference (ADMInC)
[IEEE] 2026-1-13 | WIP: A Canvas Public Course for Electrical Engineering
[IEEE] 2026-1-13 | Reinforcement Learning Meets the Cloud: A Q Learning Framework for Efficient Task Scheduling
[IEEE] 2026-1-13 | An Intelligent Search Engine Integrating Neural Networks and ElasticSearch for Semantic and Personalized Retrieval
[IEEE] 2026-1-13 | An Improved Robustness of Microphone Array Speech Enhancement in Complex Environment
[IEEE] 2026-1-13 | Chameleon Swarm Algorithm Optimized Deep Learning Framework for Robust Android Malware Detection
[IEEE] 2026-1-13 | Satellite-Based Analysis of Forest Damage in Ukraine’s Protected Areas
[IEEE] 2026-1-13 | Digital Monitoring of Microalgae Cultivation and Harvesting
[IEEE] 2026-1-13 | Analysis of Tourist Perceptions of Islamic Religious Tourism in Java Island Based on TOURQUAL Dimensions Using IndoBERT and ABSA Model
[IEEE] 2026-1-13 | Surrogate-Assisted Multi-Objective Optimization of Axial Flux Permanent Magnet Machines Using Machine Learning and Genetic Algorithm
[IEEE] 2026-1-13 | Advancing Cyclist Safety: A Robust Collision Avoidance System with DBSCAN-Enhanced Clustering and Bayesian-Optimized Adaptive Extended Kalman Filter
[ACM] 2026-1-13 | explainy: A Toolkit for Legal-XAI
[ACM] 2026-1-13 | You Take the High Road, and I’ll Take the Low Road
[ACM] 2026-1-13 | Reporting Requests Modelling in European Legislation with a Hybrid AI Approach
[ACM] 2026-1-13 | A Randomized Data Structure for Efficient Quantum Encoding
[IEEE] 2026-1-13 | Multiobjective Optimization With Minimum Output Error and Maximum Efficiency for WPT Systems Based on Discrete Neighborhood Search–Model Predictive Control Scheme
[IEEE] 2026-1-13 | FRDP: A Micro Free-Flying Robot With Dual-Vector Propulsion in Space Station
[IEEE] 2026-1-13 | Relationship Between Wave-Related Reynolds Number and Doppler Velocity at Grazing Incidence_supp1-3653263.pdf
[IEEE] 2026-1-13 | Designing Laboratory Courses for Undergraduate Students in Materials Science and Engineering - a Systematic Review
[IEEE] 2026-1-13 | WIP: Skill Extraction and Matching in Workforce Development: A Comparative Analyses of BERT and Generative Language Models to Inform the Design of an Interactive Digital Skills Platform
[IEEE] 2026-1-13 | EDEN: Efficient Dual-Layer Exploration Planning for Fast UAV Autonomous Exploration in Large 3-D Environments_supp1-3639779.mp4
[IEEE] 2026-1-13 | Topology-Aware Transformer-Based Federated Learning for Spatially Decentralized IIoT Infrastructure
[IEEE] 2026-1-13 | An Intelligent System for Detecting Malicious Messages in IP Telephony within a Corporate Network
[IEEE] 2026-1-13 | Table of Contents
[IEEE] 2026-1-13 | Casper: A Causality-inspired Defense with Confounder against Label Inference Attacks in Vertical Split Federated Learning_supp1-3652013.pdf
[IEEE] 2026-1-13 | Deep Learning for Smart Surveillance: Multi-Class Detection of People, Weapons, and Masks using YOLOv11
[IEEE] 2026-1-13 | Explainable Artificial Intelligence for Crime Prediction in Montgomery County
[IEEE] 2026-1-13 | The AI Policy Module: Developing Computer Science Student Competency in AI Ethics and Policy
[IEEE] 2026-1-13 | Decoding AI Impact: Longitudinal Analysis of Code Submissions in Programming MOOCs
[IEEE] 2026-1-13 | IEEE Transactions on Plasma Science Special Issue on Discharges and Electrical Insulation in Vacuum
[IEEE] 2026-1-13 | Blockchain and NLP Integration for Transparent AI-Enabled e-Governance
[IEEE] 2026-1-13 | WIP: Supporting Engaging K12 Outreach Through Engineer-Educator Collaborations
[IEEE] 2026-1-13 | Full-Arm Wearable Haptic Interface Incorporating Force Feedback and Joint Constraint Mechanisms
[IEEE] 2026-1-13 | Deep Learning Approaches for Predicting Employee Attrition in the Healthcare Sector
[IEEE] 2026-1-13 | Improved Acceleration-Level Motion Planning Method for Robot Manipulators Corrupted by Noise
[IEEE] 2026-1-13 | Research on the Applicability of the Objective Function for Parameter Identification of Load Model Based on Sensitivity Analysis
[IEEE] 2026-1-13 | Energy Demand Assessment to Initiate CO₂ Emissions Reduction in Niger Transport Sector by 2050
[IEEE] 2026-1-13 | Gamification in Photovoltaic Panel Learning: Boosting Engagement and Knowledge Retention
[IEEE] 2026-1-13 | Towards an Early-Warning System for Respiratory Health: Predicting NO
                    <sub>2</sub>
                    Exposure with LSTM–GRU–CNN–Hybrid Model
[IEEE] 2026-1-13 | Towards a Safe and Trustworthy LLM-RAG Chatbot for Hemodialysis Patient Education: Design, Implementation, and Preliminary Evaluation
[IEEE] 2026-1-13 | Advanced Security Framework for Threat Mitigation in Cloud Computing Environments
[IEEE] 2026-1-13 | Pattern-Based Runtime Protocol Verification for Industrial Automation
[IEEE] 2026-1-13 | Bayesian Joint Spatio-Temporal Analysis of HIV/AIDS, Hepatitis B &amp; C, and Tuberculosis in Central Java
[IEEE] 2026-1-13 | Mobile-Friendly Dog Breed Recognition Using ResNet-18 with Structured Pruning
[IEEE] 2026-1-13 | From Benchmarking to Prediction: Energy Profiling of Industrial Systems Using Machine Learning
[IEEE] 2026-1-13 | Measuring Physiological Response and Mental Workload of AR Users in Assembly Learning: Implications for Educational Multimedia Applications
[IEEE] 2026-1-13 | Machine Learning Approaches for Threat Detection in Cloud Computing
[IEEE] 2026-1-13 | Routing in Memoryless Quantum Networks: A Lexicographic Approach with Fidelity Guarantee
[IEEE] 2026-1-13 | Is Ransomware an Economically Distinct Attack Type? An Event Study of Market Reactions
[IEEE] 2026-1-13 | Energy-Efficient and Balanced Cloud Task Scheduling Using Lion Optimization Algorithm with Elite Opposition-Based Learning
[IEEE] 2026-1-13 | ISCC 2025 Cover Page
[IEEE] 2026-1-13 | Recognizing Emotion on Faceless Images Using Deep Learning Approach
[IEEE] 2026-1-13 | Automated Mitosis Detection in Breast Cancer Histopathology Images Using Deep Learning
[IEEE] 2026-1-13 | Wind speed missing value imputation model for high-altitude regions based on wind vertical distribution characteristics
[IEEE] 2026-1-13 | Short term Forecast of transformer error based on variational modal decomposition and gated cyclic element encoder decoder model
[IEEE] 2026-1-13 | Biophysically Informed Diffusion Transformers for Predicting Personalized Drug Efficacy in Heterogeneous Tumor Environments
[IEEE] 2026-1-13 | Design and Develop MITRE ATT&amp;CK Based Cybersecurity Threat Detection Model
[IEEE] 2026-1-13 | CFSM: A Novel Causal Feature Selection Module for Two-Dimensional Out-of-Distribution Generalization_supp1-3616163.pdf
[IEEE] 2026-1-13 | Exploring Educational Video Games for Learning Scrum: A Systematic Literature Review
[IEEE] 2026-1-13 | Pathway to Computing: An Innovative Approach to Inviting Non-Computing Students into Graduate Computer Science Programs
[IEEE] 2026-1-13 | WIP: Assessing 21st Century Skills of High School Students in a Machine Learning Workshop with TinyML
[IEEE] 2026-1-13 | EchoVision: Intelligent Ultrasonic Glasses for Enhanced Blind Navigation
[IEEE] 2026-1-13 | AI-Powered Customer Segmentation: Enhancing Targeted Marketing Strategies Through Machine Learning
[IEEE] 2026-1-13 | Enhancing Student Success in CS1: A Self-Selected Experience-Based Grouping Approach
[IEEE] 2026-1-13 | Bias-Mitigation and Multi-Task Deep Learning for Facial Attribute Prediction Across Demographics
[IEEE] 2026-1-13 | Ransomware Detection using Machine Learning Approaches
[IEEE] 2026-1-13 | Exploring Graduate Student Views on Robotics Policy Relevant Information
[IEEE] 2026-1-13 | Cross-View and Cross-Modal Contrastive Learning for Radar Object Detection
[IEEE] 2026-1-13 | Integrating Random Forest, CNN, and ANN for EMG-Based Upper Limb Movement Recognition
[IEEE] 2026-1-13 | EPINET-Lite: Rethinking Mixed Convolutions for Efficient Light Field Disparity Estimation Network
[IEEE] 2026-1-13 | Hybrid Framework for Liver Image Enhancement and Detection Using Double-Stage Gaussian Filter and CNN
[IEEE] 2026-1-13 | Impact of Traditional, Blended, and Online Learning on Students Performance in Higher Education Using Data Mining Approach
[IEEE] 2026-1-13 | Stakeholder Hierarchy and Conway's Law: Impact on Backlog Management Strategies in Agile Teams Post-COVID
[IEEE] 2026-1-13 | How Experiential Learning (Internships, Live Projects) Enhances Sustainability Competencies in Management Education
[IEEE] 2026-1-13 | IDAACS 2025 Committees
[IEEE] 2026-1-13 | SlideCraft: Context-aware Slides Generation Agent
[IEEE] 2026-1-13 | Cumulative Correlation Violation (CCV): A Quantitative Metric for Residual Randomness in System Identification
[IEEE] 2026-1-13 | Blending Technology and Tradition: Perception on AI, Local and Native Teachers in English Learning
[IEEE] 2026-1-13 | Artificial Intelligence Enabled Decision Support System for Hospitality Operations
[IEEE] 2026-1-13 | A Review of Research Progress on ResNet and Its Fusion Applications
[IEEE] 2026-1-13 | Unsupervised Recognition of Prehabilitation Movements: The Role of Personalised Data and Remote Monitoring
[IEEE] 2026-1-13 | Threat Model for the Modern LMS Platforms Based on 5G/6G Technologies
[IEEE] 2026-1-13 | Optimization of Error Control Coding in High-Speed Optical Broadband Networks Using Machine Learning
[IEEE] 2026-1-13 | Performance and Efficiency of EfficientNet Models in MRI-Based Brain Tumor Detection
[IEEE] 2026-1-13 | Long-Term Feature Point Tracking for Camera Pose Estimation in Forest Fire Scenes
[IEEE] 2026-1-13 | Table of Contents
[IEEE] 2026-1-13 | Predicting Civil Case Processing Times Using Machine Learning: A Case Study from the Italian Judicial System
