[2026-03-05 09:36:59] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-03-04
正在获取论文...
[arXiv] 2026-03-04 | New Robotic Telescope: The big eye to observe the transient Universe
[NO] 72/200 | Self-adapting Robotic Agents through Online Continual Reinforcement Learning with World Model Feedback
[NO] 73/200 | Performance Optimization in Stream Processing Systems: Experiment-Driven Configuration Tuning for Kafka Streams
[NO] 74/200 | Weak Lensing by Photometric Density Ridges
[NO] 75/200 | Probing pure spin-rotation quantum geometry in persistent spin textures via nonlinear transport
[NO] 76/200 | Rethinking the Efficiency and Effectiveness of Reinforcement Learning for Radiology Report Generation
[NO] 77/200 | On the Computational Content of Moduli of Regularity and their Logical Strength
[NO] 78/200 | Non-Derivability Results in Polymorphic Dependent Type Theory
[NO] 79/200 | STEM Faculty Perspectives on Generative AI in Higher Education
[NO] 80/200 | Spectrally Corrected Polynomial Approximation for Quantum Singular Value Transformation
[NO] 81/200 | Bandwidth Selection for Spatial HAC Standard Errors
[NO] 82/200 | Global Structure of Accretion Flows in Sgr A*
[NO] 83/200 | SORT: A Systematically Optimized Ranking Transformer for Industrial-scale Recommenders
[NO] 84/200 | Bayesian structured additive quantile regression for inflated bounded data
[NO] 85/200 | Dielectric Barrier Corona Discharge Anomaly by Ionic Wind under Unipolar Voltage Excitation
[NO] 86/200 | GeoSeg: Training-Free Reasoning-Driven Segmentation in Remote Sensing Imagery
[NO] 87/200 | BLOCK: An Open-Source Bi-Stage MLLM Character-to-Skin Pipeline for Minecraft
[NO] 88/200 | ProFound: A moderate-sized vision foundation model for multi-task prostate imaging
[NO] 89/200 | Distributed vs. Centralized Precoding in Cell-Free Systems: Impact of Realistic Per-AP Power Limits
[NO] 90/200 | Selecting Offline Reinforcement Learning Algorithms for Stochastic Network Control
[NO] 91/200 | Demonstration of robust chiral edge transport in Chern insulator MnBi2Te4 devices with engineered geometric defects
[NO] 92/200 | Local observers in stationary axisymmetric dust spacetimes
[NO] 93/200 | Hierarchical Inference and Closure Learning via Adaptive Surrogates for ODEs and PDEs
[NO] 94/200 | When Safety Becomes a Vulnerability: Exploiting LLM Alignment Homogeneity for Transferable Blocking in RAG
[NO] 95/200 | Ultrabubble enumeration via a lowest common ancestor approach
[NO] 96/200 | Angular distribution of Kα x rays following nonradiative double electron capture in relativistic collisions of Xe54+ ions with Kr and Xe atoms
[NO] 97/200 | PatchDecomp: Interpretable Patch-Based Time Series Forecasting
[NO] 98/200 | Competitive tumor growth modeling and optimal radiotherapy control via logistic equations
[NO] 99/200 | Remote Plasma Polymers of Iron (II) Phthalocyanine in Polyacrylonitrile-Derived Carbon Electrospun Fibers as Electrode for Supercapacitors
[NO] 100/200 | IROSA: Interactive Robot Skill Adaptation using Natural Language
[NO] 101/200 | LLM-Based Long-Term Life Task Planning to Reduce Human Uncertainty
[NO] 102/200 | A 3D-Printing Wideband Circumferentially Foldable Dual-Polarized Spherical Luneburg Lens Antenna
[NO] 103/200 | E-YOLO to OMOD: An Enhanced YOLO Framework for Small Moving Object Detection in Omnidirectional Videos
[NO] 104/200 | Neighborhood-Aware Fuzzy Graph Convolutional Networks for Improved Information Fusion
[NO] 105/200 | APCIT 2025 Contributor Page
[NO] 106/200 | End-to-End Multimedia Protection for Consumer-Centric Digital Twins via Blockchain and Hardware-Rooted Trust
[NO] 107/200 | Accurate Soft Switching Technique for Wireless Power Transfer System Based on State Trajectory Analysis
[NO] 108/200 | Symmetric Phase-Engineered Hf₁₋ₓZrₓO₂ Enabling Reliable Non-Destructive Memory Readout
[NO] 109/200 | Dual-Branch Token Selection Fusion Network for Hyperspectral Image Classification with Few Labeled Samples
[NO] 110/200 | Overengineering BRC: Distributed-System Solution for Automating Compute-Heavy Data-Processing Competitions
[NO] 111/200 | Optimization of Electric Bus Depot Operations through Multi-Objective Approach for Cost Minimization and Energy Efficiency
[NO] 112/200 | Phishing Website Detection Using a Hybrid CNN–CapsNet–XGBoost–Random Forest Model for Cross-Platform Security
[NO] 113/200 | Distributed Linear Model Predictive Control in a Multi-Agent System with Faults
[NO] 114/200 | Automated Sleep Disorder Detection Using Machine Learning and Deep Learning Model
[NO] 115/200 | FlashFuser: Expanding the Scale of Kernel Fusion for Compute-Intensive Operators via Inter-Core Connection
[NO] 116/200 | CLINE: Improving Control Flow Compilation of Quantum Programs with Control Line Encoding
[NO] 117/200 | Performance Analysis of Adaptive Sweep MPPT Algorithm for Partially Shaded PV Systems
[NO] 118/200 | Constructing Quantum Resistant Arguments for Emerging Communication Systems over Novel Cybersecurity Risks: Applying Deep Learning with Quantum Cryptography
[NO] 119/200 | Analysis of Trends and Innovations in Spam Comment Detection Using AI
[NO] 120/200 | Water Quality Classification Using LightGBM: A Machine Learning Approach on a Large-Scale Dataset
[NO] 121/200 | Recognition of Parkinson's Disease Utilizing Machine Learning
[NO] 122/200 | Development of IoT Enabled Early Warning and Disaster Safety Management Systems
[NO] 123/200 | Automated Gear Inspection Using Artificial Intelligence
[NO] 124/200 | E-TradeSecure: A Hybrid ResNet-BERT Model for Detecting Intellectual Property Violations in E-Commerce Transactions
[NO] 125/200 | An Analytical Study on Central Bank Digital Currencies (CBDCs) and Their Disruptive Effects on Traditional Financial Infrastructures
[NO] 126/200 | Method Noise Filter based Multi Focus Image Fusion Using CNN
[NO] 127/200 | Resilient Two Degree-of-Freedom IMC for Time Delay Attack Mitigation of Interconnected Power System
[NO] 128/200 | FootTrack: Real-Time Player Speed and Possession Analytics in Football Using YOLOv8
[NO] 129/200 | Two-Stage Clustering-Based Optimization for Large-Scale PV-BESS-Hydrogen Systems
[NO] 130/200 | Design and Analysis of PCB and 3D-Printed Stators for Ironless Double-Sided Axial Flux PM Machines
[NO] 131/200 | A Scalable IoMT Platform for Unified Medical Device Monitoring in Resource-Constrained Environments
[NO] 132/200 | LowCarb: Carbon-Aware Scheduling of Serverless Functions
[NO] 133/200 | "Human-Centric SAR Image Colorization for Intuitive Geospatial Decision-Making"
[NO] 134/200 | Framework for Gym Posture Estimation Using MediaPipe and OpenCV
[NO] 135/200 | Resilient Zero-Emission Energy Hubs: a Multi-Layer Control Approach
[NO] 136/200 | Intelligent SDN Traffic Engineering with MADRL
[NO] 137/200 | Intelligent Fundus Image Analysis for Early Detection and Classification of Diabetic Retinopathy
[NO] 138/200 | Adaptive Fuzzy-Tuned Series Resistor for Fault Ride-Through in DFIG-Based Wind Turbines
[NO] 139/200 | Scalable Tea Leaf Disease Detection Using a Fine-Tuned EfficientNetV2B3 Model
[NO] 140/200 | PokeClinicX: Enhancing Recruitment Rate in Clinical Trials through Predictive Modeling
[NO] 141/200 | Predicting Heart Attack Risk From Retinal Fundus Images by Using the EfficientNet-B0 Model
[NO] 142/200 | Performance Analysis of Low RCS Structures Based on Dielectric Patterning for Radar Stealth Applications
[NO] 143/200 | IoT-Enabled Accident Prevention System: Real-Time Detection of Sleep Deprivation, Alcohol Influence, and Heart Attack Symptoms
[NO] 144/200 | Evaluating CNN and Transfer Learning Models for Handwritten Odia Character Recognition
[YES] 145/200 | CityGuard: A Forensic Investigation Framework for Smart Cities
[NO] 146/200 | Optimized ADMET-Driven Molecular Design Using GRU-GCN Architecture with Multi-Objective Optimization
[NO] 147/200 | Task-Specific Resource Orchestration for Effective Concurrent Heterogeneous Task Completion in ISCC Systems
[NO] 148/200 | Low Energy Building Management Using Arduino Microcontroller
[NO] 149/200 | Two-Stage Coordinated Fault Recovery in Active Distribution Networks with Energy Storage and Controllable Loads
[NO] 150/200 | Integrating Machine Learning and Statistical Methods: A Hybrid SVM-KNN Model for Rainfall Prediction
[NO] 151/200 | Evolution of English Literature in the Age of Artificial Intelligence: challenges and Opportunities with socio-cultural conflicts
[NO] 152/200 | Cambricon-GS: An Accelerator for 3D Gaussian Splatting Training With Gaussian-Pixel Hybrid Parallelism
[NO] 153/200 | Thyroid Disease Identification via EfficientNetB2: Leveraging Deep Neural Networks for Early Detection
[NO] 154/200 | Performance of Fast Electric Vehicle Charging Stations by Energy Storage Devices based Grid Connected Hybrid Renewable Energy Sources
[NO] 155/200 | Two-Stage Critical Contingency Assessment for Power System Security Enhancement
[NO] 156/200 | Hybrid Particle Swarm and Gravitational Search Optimization for Intelligent Battery Health Estimation
[NO] 157/200 | Smart Farming Assistant: A Multilingual AI-Powered Crop Recommendation System Using Real-Time Weather and Soil Data
[NO] 158/200 | Resilient Power Distribution Systems Through Risk-Informed Metrics and Strategic Sectionalizing Switching
[NO] 159/200 | V-Rex: Real-Time Streaming Video LLM Acceleration via Dynamic KV Cache Retrieval
[NO] 160/200 | Energy Management System Using AWS IoT
[NO] 161/200 | Enhancing Short-Term Photovoltaic Cluster Power Forecasting via Spatiotemporal Generalized Weather Patterns Recognition and Dynamic Graph Convolutional Neural Networks
[NO] 162/200 | AI-Driven Safety Monitoring for Industrial Boilers: Early Fault Detection with Contrastive Learning
[NO] 163/200 | Enhanced Multi-Target Detection with Optimal Sparse MIMO Radar Architecture by Polynomial Interpolation Method
[YES] 164/200 | Deployment and Beamforming Design for RIS-assisted Indoor Wireless Communication in Smart Home
[NO] 165/200 | Error Correction Aware Dependent Task Offloading in Satellite Edge Computing
[NO] 166/200 | Current Trends in Ultrasound Wearables: Spotlight on System Architecture_supp1-3664011.pdf
[NO] 167/200 | Split Federated Learning-Enabled Deep Q-Networks for Generalized Path Planning in Distributed IoT Edge Platform
[NO] 168/200 | Distributed Finite-Time SoC Estimation for Lithium-Ion Battery Packs
[NO] 169/200 | Integration—A Major Driver of Power Electronics Innovation
[NO] 170/200 | mCardiacDx: Radar-Driven Contactless Monitoring and Diagnosis of Atrial Fibrillation
[NO] 171/200 | Board-Level Reliability Evaluation and Optimization of Power MOSFET Module Under Thermal Cycling Conditions
[NO] 172/200 | 6G-Enabled Digital Twin Frameworks for Real-Time Financial Risk Prediction and Strategic Management
[NO] 173/200 | Explanation-Guided Adversarial Training for Robust and Interpretable Models
[NO] 174/200 | HURC-MM: Holistic Uncertainty-Responsive Control for Mobile Manipulator Grasping_supp1-3669764.mp4
[NO] 175/200 | Electrothermal Design of Silicon-Doped Microheaters for Optical Phase Change Memory
[NO] 176/200 | Nearly tight bounds for testing tree tensor network states
[NO] 177/200 | Multi-domain Fusion Based Fatigued Driving Detection using Frequency-Modulated Continuous Wave radar
[NO] 178/200 | Performance analysis of multi-user task offloading in mobile edge computing networks: A hierarchical modeling approach
[NO] 179/200 | Dynamic distribution entropy analysis via ultrafast intracardiac echocardiography for monitoring of cardiac radiofrequency ablation_supp1-3669561.docx
[NO] 180/200 | “X of Information” Continuum: A Survey on AI-Driven Multi-dimensional Metrics for Next-Generation Networked Systems
[NO] 181/200 | HF-DETR: High-Frequency Feature Enhancement for Small Object Detection
[NO] 182/200 | Supervised Anomaly Detection for Generalized Deepfake Detection_supp1-3669841.pdf
[NO] 183/200 | Single and Multiple Open-Switch Fault Diagnosis in Electric Drives via Zero-Current Interval Analysis
[NO] 184/200 | Ensemble Learning for Large Language Models in Text and Code Generation: A Survey
[NO] 185/200 | A 28-nm 9-kb SRAM Computing-in-Memory Macro With Segmented Charge Sharing for Multimode MAC Operations
[NO] 186/200 | Renewable Energy Opportunities for Green Ammonia Storage: Challenges and Opportunities
[NO] 187/200 | Health Degree Prediction of DCS Equipment Based on WOA-BP Neural Network
[NO] 188/200 | FACE: Fully Overlapped PD Scheduling and Multi-Level Architecture Co-Exploration on Wafer
[NO] 189/200 | SAGe: A Lightweight Algorithm-Architecture Co-Design for Mitigating the Data Preparation Bottleneck in Large-Scale Genome Sequence Analysis
[NO] 190/200 | A Dynamic Average Consensus-Based Distributed Control for DC Microgrids Using Virtual Power Tracking
[NO] 191/200 | Artificial Intelligence and Machine Learning Approaches for Healthcare Fraud Detection: A Review, Case Study, and Framework
[NO] 192/200 | Default Loan Prediction Using Machine Learning
[NO] 193/200 | Stage-Wise Power Loss Dissection of Totem-Pole Bridgeless PFC: From Simulation to Real-Time HIL Validation
[NO] 194/200 | DyVertexGAT: A Novel GNN-based Target Assignment Policy for Multi-Aircraft Combat Decision
[NO] 195/200 | A Hybrid Sensor–Image Framework for Smart Farming Using Deep and Ensemble Learning
[NO] 196/200 | Advancement in Ransomware Detection Using Deep Learning
[NO] 197/200 | A Unified AI-Powered Resume Generation and ML-Based Candidate Filtering Framework for Smart Campus Recruitment
[NO] 198/200 | An Integrated Approach to Green Cloud Solutions for Energy-Efficient Sustainable IT and Carbon Footprint Reduction
[NO] 199/200 | An IoT-Driven Cardiovascular Disease Detection Model Optimized Using Genetic Algorithm and SVM
[NO] 200/200 | Combined AES-256 Encryption with MATLAB and Verilog HDL Biometric Authentication
筛选完成：共 200 篇；Yes = 3 篇；已保存到 papers/select_paper2026-03-04.json。
邮件发送成功！
[2026-03-05 10:01:54] 任务执行成功！
