[2026-02-19 09:39:05] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-02-18
正在获取论文...
[arXiv] 2026-02-18 | Measuring Mid-2025 LLM-Assistance on Novice Performance in Biology
[NO] 88/200 | Coexistence of Rashba and Ising Spin-Singlet Pairings in Two-Dimensional IrTe$_{2}$
[NO] 89/200 | Near-optimal population protocols on bounded-degree trees
[NO] 90/200 | Reinterpreting the sunward electron deficit: Implications for solar wind acceleration and core population formation
[NO] 91/200 | Graph neural network for colliding particles with an application to sea ice floe modeling
[NO] 92/200 | Equity in auction design with unit-demand agents and non-quasilinear preferences
[NO] 93/200 | A Note on Ordinal Submodularity
[NO] 94/200 | On cyclic invariants of the free associative algebra
[NO] 95/200 | On the Enestrom-Kakeya Theorem for polynomials of an octonionic variable
[NO] 96/200 | Inverse Engineering of Optical Constants in Photochromic Micron-Scale Hybrid Films
[NO] 97/200 | Image Measurement Method for Automatic Insertion of Forks into Inclined Pallet
[NO] 98/200 | HiPER: Hierarchical Reinforcement Learning with Explicit Credit Assignment for Large Language Model Agents
[NO] 99/200 | LLMs Exhibit Significantly Lower Uncertainty in Creative Writing Than Professional Writers
[NO] 100/200 | Dislocation-ledge coupling drives non-conservative migration of semicoherent precipitate interfaces
[NO] 101/200 | IEEE Transactions on Circuits and Systems for Artificial Intelligence Publication Information
[NO] 102/200 | 2026Q1 Issue of the IEEE Transactions on Circuits and Systems for Artificial Intelligence
[NO] 103/200 | Anti-Unwinding Time-Varying Sliding Mode Control With Arbitrary Convergence Time for Rigid Spacecraft
[NO] 104/200 | Cluster Workload Allocation: Semantic Soft Affinity Using Natural Language Processing
[NO] 105/200 | Effects of Programming-Pulse Frequency on Synaptic Characteristics of Amorphous IGZO Thin-Film Transistors with Defective Gate Oxides_supp1-3665692.pdf
[NO] 106/200 | Walking Behavior-Based Positioning Strategy for Dockless Shared Mobility Systems
[NO] 107/200 | Green AI or Overlooked Software Costs? Quantifying the Real Impact of Software Stacks on Scientific ML Emissions
[NO] 108/200 | SpaceNet: A Resource-Efficient Simulation Testbed for LEO Mega-Constellation Networks
[NO] 109/200 | BMchain: Design of an Account-Driven and Regulatory-Friendly Stateless Layer-2 Blockchain
[NO] 110/200 | Hybrid Diffusion for Simultaneous Symbolic and Continuous Planning_supp1-3664616.mp4
[NO] 111/200 | Bayesian Probabilistic Knowledge from Diameter Prior for Decision Fusion to Detect Lung Nodule Heterogeneity
[NO] 112/200 | VLSI Architecture for an Adaptive Transmission Estimation-Based Video Dehazing Method
[NO] 113/200 | MPCF: Multi-Phase Consolidated Fusion for Multi-Modal 3D Object Detection with Pseudo Point Cloud
[YES] 114/200 | Energy-Efficient Aerial IRS Configuration and Resource Allocation in AoI-Aware MEC
[NO] 115/200 | High-Fidelity Seismic Super-Resolution Using Prior-Informed Deep Learning with 3D Awareness
[NO] 116/200 | Program Committee
[NO] 117/200 | Study on Scalable Model of Multifinger Structure for GaN p-i-n Diode
[NO] 118/200 | FreeSplat++: Generalizable 3D Gaussian Splatting for Efficient Indoor Scene Reconstruction_supp1-3665771.mp4
[NO] 119/200 | TechRxiv: Share Your Preprint Research with the World!
[NO] 120/200 | Satellite derived estimates on methane emissions from rice paddies across China_supp1-3665059.pdf
[NO] 121/200 | Implementation of EAES using Image Key
[NO] 122/200 | A Survey on Federated Parameter-Efficient Fine-Tuning for Large Language Models
[NO] 123/200 | Relationship Extraction Based on BERT Model
[NO] 124/200 | The Impact of Livestream on the Relationship Customers and Brands
[NO] 125/200 | A Bandpass SIW Filter with Sharp Roll-off Rate and Wide Stopband
[NO] 126/200 | Regulatory Frameworks and Ethical Governance of Neural Networks in Computer Science Applications
[NO] 127/200 | Wideband High-Power Class EF
                    <sub>2</sub>
                    Power Amplifier Based on Multiple Series Resonance
[NO] 128/200 | MPCL:Image-Text retrieval of multi-plane comparative learning
[NO] 129/200 | Stability Evaluation Model of Surrounding Rock Mass in Underground Engineering Based on Fractal Interpolation-A Case Study of an Underground Chamber in a Granite Area of Tibet
[NO] 130/200 | The Role of Cognitive Skills in Phishing Detection: A Comparative Study Between Chess Players and Non-Chess Players
[NO] 131/200 | DMAS-KEP: Identifying Key Events and Critical Paths in Dynamic Multi-Agent Systems via Complex Networks
[NO] 132/200 | AI-Based Fault Diagnosis and Prediction of Power Switches
[NO] 133/200 | An X-band GaAs Low Noise Amplifier
[NO] 134/200 | Multimodal Learning for Predicting Fat Component Shifts in Kyrgyz Women across Different Ages
[NO] 135/200 | Innovative Pedagogical Strategies in Science Education: Leveraging Artificial Intelligence for Enhanced Digital Literacy
[NO] 136/200 | An Integrated Shield Flip-Chip Mounting MIC Bandpass Filter in Q-Band
[NO] 137/200 | A Frequency-Reconfigurable Multi-Band 4-Channel Beamforming IC for Millimeter-Wave 5G Communication
[NO] 138/200 | A Multimodal Dynamic Interaction-Based Method for Indoor Scene Recognition
[NO] 139/200 | Employing Neural Networks to Predict Coronary Heart Disease Based on Physiological Parameters
[NO] 140/200 | MIRA: A 5T1C Flash Cell-based Mixed-Signal InMemory Readout Architecture Achieving Highly Accurate VMM Computation
[NO] 141/200 | Bidirectional Converter for Electric Vehicles based on Matrix-Type Rectifier and Interleaved CLLLC
[NO] 142/200 | Design of a 40-110 GHz Ultra-Wideband Wilkinson Power Divider with Low Insertion Loss
[NO] 143/200 | Load-Aware and QoS-Constrained Task Scheduling Method for Edge Computing in Power Systems
[NO] 144/200 | Optimal Scheduling of Virtual Power Plant Based on Humpback Whale Migration Algorithm
[NO] 145/200 | Deep-Learning-Based X-Band Waveguide Permittivity Measurement Method for Dielectric Materials with Air Gaps
[NO] 146/200 | WasteNet: A Structured-Pruned and EMA-Augmented RepVGG Framework for Real-Time Trash Classification
[NO] 147/200 | Graph Neural Networks-Mapped Code Optimization System for Software Performance
[NO] 148/200 | Analysis of Lightning Electromagnetic Field Propagation Characteristics Considering the Topography and Geomorphology of Guangdong Province
[NO] 149/200 | Predicting Hourly Electricity Demand Using Fuzzy Logic: Integrating Environmental Factors for Accurate Forecasting
[NO] 150/200 | Ka-Band Omnidirectional Circularly Polarized Waveguide Slot Antenna for Low-Altitude UAV Applications
[NO] 151/200 | Data-Driven Approach for Dynamic Comparator in Analog-to-Digital Conversion
[NO] 152/200 | Analysis of Probe Coupling for Channel Property Optimization in an HVAC Duct
[NO] 153/200 | AAP2-YOLO: A Model Improvement about Counter-UAV Detection
[NO] 154/200 | EEG-Based Classification of Abnormal Epileptiform Patterns
[NO] 155/200 | An Innovative Electric Vehicle Charging System Using Game-Theoretic Optimization Model and Pre-Connection SOC Modeling
[NO] 156/200 | TBNet-Lite: A Lightweight Artificial Learning System for Automatic TB Detection
[NO] 157/200 | GAN-Based Rare Disease Image Synthesis: A Solution for Data Scarcity and Privacy-Aware Learning
[NO] 158/200 | Machine Learning Driven Dynamic Pricing System for E-Commerce Revenue Optimization
[NO] 159/200 | AI-Integrated Drone Swarm Coordination Using Deep Q-Networks for Disaster Response
[NO] 160/200 | GaN Power Amplifier MMICs for Upper D-Band Communications
[NO] 161/200 | A Wideband, Low-Loss, and Highly Reliable Supportless Air-Filled Coax-to-Waveguide Transition With Monolithic 3-D Printing Integration
[NO] 162/200 | Neuro-Swarm Diffusion Reinforcement with Probabilistic Eco-Adaptive Modeling for Coastal Flood Risk Management
[NO] 163/200 | Ferrite-Free High-Power Balun for Differential Push-Pull Amplifiers in MRI/NMR Applications
[NO] 164/200 | Automatic Extraction of Ground Target Features from High-Resolution Remote Sensing Images Based on the TransU-Net Model
[NO] 165/200 | RCS Measurement and Modeling of Manned Electric Bicycle in the 77-81 GHz Band
[NO] 166/200 | Research on the Stability of Multi-Machine System of Grid-type Converter
[NO] 167/200 | Indoor Localization Using Extended Kalman Filter with Time-of-Arrival Measurements
[NO] 168/200 | Automated Nuclei Segmentation in PR-IHC Breast Cancer Images Using the Cellpose Deep Learning Model
[YES] 169/200 | Entropy-Rich One-Time Password Generation Utilizing Sensors in a Hardware-Realized Chaotic Chua's Circuit
[NO] 170/200 | Cooperative Mapping Method with Distributed Autonomous Mobile Robots in Unknown Environments
[NO] 171/200 | Efficient Task Scheduling Algorithms for Decentralized Large Language Model Serving
[NO] 172/200 | Research on Multi-Source Data Fusion and Cleaning Method for Distribution Networks Based on Time-Slice Synchronization
[NO] 173/200 | SignSight : A Robust Deep Vision Framework for Real-Time Perception of Traffic Sign Under Adverse Weather Conditions
[NO] 174/200 | Multi-Head PPO-Based Path Planning for AUV Data Collection under Dynamic Ocean Currents
[NO] 175/200 | Anti-Poaching System Using Wireless Communications and Image Processing for Wildlife Sanctuaries
[NO] 176/200 | Deep Learning Based Modulation Parameters Extraction of Non-Reciprocal Bandpass Filter
[NO] 177/200 | Examining Blockchain-Based AI-Based Predictive Analytics for Effective Resource Management and Supply Chain Transaction Optimization
[NO] 178/200 | Weigh&amp;Pay: Semi-Automated Self-Checkout and Pricing for Non-Barcoded Items Using AI Vision
[NO] 179/200 | Context-Aware Transfer Adaptation for Trajectory Prediction in Autonomous Driving
[NO] 180/200 | Integration of AI-Driven Power Management in Aerospace Electrical Systems
[NO] 181/200 | BigDIA 2025 Conference Organization
[NO] 182/200 | APMC 2025 Cover Page
[NO] 183/200 | Fed-GTopK: Expediting In-Network Federated Learning by Transmitting Global Top Model Updates
[NO] 184/200 | Deep_TPPred: Improved prediction of protein toxicity using feature fusion and hybrid neural network approach_supp1-3656227.pdf
[NO] 185/200 | A Rolling Bearing Fault Diagnosis Model Integrating Adaptive Distribution-Aware Discriminative Loss Function
[NO] 186/200 | Analysis and Design of a Wide-Load-Range Microwave Rectifier With DC–DC Converter
[NO] 187/200 | Stability in Electroluminescence from Ag-NSi Schottky Junction LED: Role of Ambient Oxidation
[NO] 188/200 | A Miniaturized Two-Electrode H
                    <sub>2</sub>
                    S Sensor on FPCB with A Reduction-Bias Cleaning Scheme
[NO] 189/200 | An Input-Output Linearization-Based Robust Controller for Single-Track Models With Steering Actuator Delays
[YES] 190/200 | Integrated Perception, Communication, and Computation for Autonomous Vehicle and Road Infrastructure Network_supp1-3665193.pdf
[NO] 191/200 | SPS Social Media
[NO] 192/200 | 2025 Asia-Pacific Microwave Conference (APMC)
[NO] 193/200 | An Improved 3D U-Net Hybrid Network for High-Precision Soybean Mapping from Multi-temporal Sentinel-2 Imagery
[NO] 194/200 | Lightweight IoT Intrusion Detection via Feature and Sample Reduction with Multi-Client Ensemble for Zero-Day Attacks
[NO] 195/200 | Distributed Adaptive Dynamic Programming for Optimal Cluster Synchronization of Multicluster Games Against Unknown Perturbation
[NO] 196/200 | IEEE Proceedings
[NO] 197/200 | Cross-Modality Object-Level Knowledge Distillation for Enhanced Underwater Sonar Object Detection
[NO] 198/200 | Design of L-band Radar Module Assembly
[NO] 199/200 | ZK-Rollups and State Channels Comparison for Healthcare Data Privacy and Scalability
[YES] 200/200 | Machine Learning based Energy Selective Surface Design Excluding Contradictory Structure
筛选完成：共 200 篇；Yes = 6 篇；已保存到 papers/select_paper2026-02-18.json。
邮件发送成功！
[2026-02-19 10:04:30] 任务执行成功！
