[2026-08-13 09:56:36] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-12
正在获取论文...
[arXiv] 2026-08-12 | Direct Acceleration of Stochastic Root-Finding Without Variance Reduction and Regularization
[NO] 65/200 | High-dimensional Multi-objective Bayesian Optimization with Learned Variable Interactions
[NO] 66/200 | How to Beat FCFS
[NO] 67/200 | Trapped surface formation via radial boosts
[NO] 68/200 | Making Your LLMs More Objective: Stabilizing LLM Safety Behavior Across Traits with Trait-Invariant Safety Tuning
[NO] 69/200 | STAR: A Spatial-Topology Aware Routing Framework for Generalizable 3D Scene Understanding
[NO] 70/200 | Boundary-Enhanced Segmentation of Pig Point Clouds in Commercial Housing Environments
[NO] 71/200 | Altered Cosmic Organics as Venus' Ultraviolet Absorbers
[NO] 72/200 | Development and Initial Performance of an Upgraded NaI(Tl) Crystal Encapsulation for COSINE-100U
[NO] 73/200 | FunnelCausalNet: Funnel-aware Joint Conversion-Revenue Uplift for Multi-tier Coupon Allocation
[NO] 74/200 | Disco in the Dust: Reflected light at the bow shock around Betelgeuse's companion explains its observed luminosity
[NO] 75/200 | Sparse Rotatable Arrays (SRA): Unifying Array Aperture and Antenna Directivity for Wireless Communications
[NO] 76/200 | Forbidden-Total-Size Nim
[NO] 77/200 | Confucius4-TTS: Transcript-Free Cross-Lingual Zero-Shot TTS with a Learnable Speaker Encoder
[NO] 78/200 | Robustness of AI-Art Detectors under Generator Shift
[NO] 79/200 | Uniform Local Asymptotics for Lévy Processes with Subexponential Jumps
[NO] 80/200 | Full-Stack High-Volume Quantum Networking Architecture based on Photonic-Integrated Tin Vacancy Centers in Diamond
[NO] 81/200 | Easper: An Accessible ASR Pipeline for Language Documentation
[NO] 82/200 | Organizational Technology Ladders: Remote Work and Generative AI Adoption
[NO] 83/200 | Dynamic Trajectory Analysis of Meteoroids Showing Minimal Deceleration
[NO] 84/200 | Semiorthogonal indecomposability for Hilbert schemes of points on integral locally planar curves
[NO] 85/200 | How Can Driving World Models Do Counterfactual Prediction?
[NO] 86/200 | An AoI-oriented Time-Frequency Distributed Access Mechanism in Wireless Sensor Networks with Spectrum Division
[NO] 87/200 | Small Language Model enabled Autonomous agent for Language-Conditioned Cognitive Radar
[NO] 88/200 | Measure-free Koopman-von Neumann Dynamics and Noncommutative Geometry
[NO] 89/200 | Robust Multi-Tier Infant-Centered Audio Understanding with Whisper via Structured Speaker Conditioning
[NO] 90/200 | Higher Regularity of Homogeneous Gradient Compositions for $p$-Laplace-Type Equations
[NO] 91/200 | EnterpriseRAG: Benchmarking LLM Instruction Adherence and Robustness under Non-Ideal Enterprise Retrieval
[NO] 92/200 | A Hybrid Framework of Vision Transformer and Gated Recurrent Unit for Detection of Mosquito Diseases
[NO] 93/200 | Dialogue-Aware Video-to-Music Generation Using Public Domain Film Collections
[NO] 94/200 | Minkowski Polytopes of Spherical Designs: High-Order Isotropy and Quantitative Sphericity
[NO] 95/200 | From Synthesis to Removal: Physics-Grounded Reflection Simulation and Diffusion-Based Video Dereflection
[NO] 96/200 | A Helium-shell Burning Blue Horizontal Branch Star Produced from Common Envelope Evolution
[NO] 97/200 | Certifying What Helps Customer-Return Timing: A Screen-and-Confirm Test for Conditioning Signals, and Why Decay Is Nearly Enough
[NO] 98/200 | Tripartite Zarankiewicz numbers and norm graphs
[NO] 99/200 | Robust Ambiguity Detection (RAD) From Model- and Feature-Space Consistency
[NO] 100/200 | CT-$Δ$Bench: A Benchmark for Longitudinal 3D Medical Imaging Difference Reporting with Vision-Language Models
[NO] 101/200 | Anatomical Prior-Guided Black-Box Attack Optimization for Prostate Tumor mpMRI Classification Models
[NO] 102/200 | Understanding and Addressing Reliability Challenges in MoS₂-Based Circuits Under Static and Transient Stress Conditions
[NO] 103/200 | A Compact Low-Power D-Band Receiver With Integrated LO Generation and Phase Shifting for Beamforming Applications
[NO] 104/200 | Use of Electrical Capacitance Tomography in Robot Embedded Sensing
[NO] 105/200 | Sustainable Collaborative Computing Empowered by the Synergy of Mobile Vehicles and UAV
[NO] 106/200 | YOPOv2-Tracker: An End-to-End Agile Tracking and Navigation Framework_supp1-3721689.mp4
[NO] 107/200 | Distribution Operating Security Space-based Power Decoupling Mechanism of Multiple Virtual Power Plants
[NO] 108/200 | Treat LLM-Generated Terraform as Untrusted: An Exploratory Security Study and a Practitioner’s Verification Workflow
[NO] 109/200 | Enhancing Remote Sensing Semantic Change Detection via Transferring and Adapting Binary Change Detection Strategies_supp1-3722510.pdf
[NO] 110/200 | An LLM Based Framework for Automated MILP Modeling in Dynamic Multi-Robot Task Scheduling
[NO] 111/200 | Characterization of Compound Conditional Diagnosability for Interconnection Networks
[NO] 112/200 | Foldable Pouch Motor for Wearable Upper Limb Assistance and Rehabilitation
[NO] 113/200 | An Effective Ensemble Algorithm with Improved DLinear Model for Power Generation Prediction
[NO] 114/200 | Experimental Evaluation of Parallel Rendezvous for Fast Node Association in Wi-SUN FAN
[NO] 115/200 | LBBB and RBBB For Stress-Enhanced Prediction of Fusion Beats in ECGs Using CEEDMEN-S-G-LSTM
[NO] 116/200 | Comparative Analysis of Large Language Model Chatbots in Assessing Student Writing Using the SOLO Taxonomy
[NO] 117/200 | Quantifying Metaverse Participant-Pedestrian Discrepancies and Proposing Realistic Player Control
[NO] 118/200 | Design and Additive Manufacturing of a Flat GRIN Lens for X-Band
[NO] 119/200 | Sustaining Digital Lending Adoption: Empirical Evidence from Indonesian State-Owned Bank
[NO] 120/200 | A Comparative Study of Cyanide and Sulfite—Thiosulfate Gold Electrolytes for Au/n-GaAs Schottky Diode Fabrication
[NO] 121/200 | IoT Network Cyberattack Detection Performance Using Ensemble Machine Learning Based Intrusion Detection System
[NO] 122/200 | Security Acceptance Criteria for FPGA Device Adoption in Nuclear Safety-Critical Systems
[NO] 123/200 | Home Energy Management Systems: Architectures, AI-Enabled Services and Open Challenges
[NO] 124/200 | Strengthening Crisis Management Through Human-AI Collaboration in Incident Response
[NO] 125/200 | Sinhala-English Multilingual AI Call Center Bot with Sentiment-Aware Dialogue and Multimodal CSAT Prediction
[NO] 126/200 | Comparative Analysis of Context-Extension and Question-Matching RAG Architectures: A Case Study on German Regulatory Documentation
[NO] 127/200 | Implicit Framing in Obstetric Counseling Notes: A Grounded LLM Pipeline on a VBAC-Eligible Cohort
[NO] 128/200 | Definite Integral Area Problems in Mathematics as A(GA)A-Type Graphical Problems with AI
[NO] 129/200 | Prompt-Guided Community Search Under Extreme Few-Shot Supervision
[NO] 130/200 | Ontology-Based Integration and Structural Design of Heterogeneous Data Warehouses for Power Equipment Diagnostics
[NO] 131/200 | Knapsack Optimization-Based Schema Linking for LLM-Based Text-to-SQL Generation
[NO] 132/200 | Enhanced Academic Certificate Management System Using Steganography and Dual Blockchain
[NO] 133/200 | Design Research on Generating a Sense of Life and Emotion in Robots Through Application of Bunraku Puppet Structures
[NO] 134/200 | Approximate Butterfly Counting in Sublinear Time
[NO] 135/200 | GalaxyRAG: Graph Retrieval-Augmented Generation for Enterprise Knowledge Systems
[NO] 136/200 | F5: A Robust SIMD-Accelerated MSD Radix Sort
[NO] 137/200 | More Than Pivot for Maximal Clique Enumeration
[NO] 138/200 | The Impact of the Intention to Use E-Payment on E-Wallet Applications in Vietnam: A Case Study of Vinh Long Province
[NO] 139/200 | YAGIT: An Eco-Dystopian Motion Comic as Supplementary Material for Earth and Life Science Course
[NO] 140/200 | Performance Benchmarking of YOLOV26 and YOLOv8 (n/s) Across Raspberry Pi Generations
[NO] 141/200 | RaSE-KGC: A Relation-Aware Segment Encoding Approach for Knowledge Graph Completion
[NO] 142/200 | TORepair: Diffusion-Based Task-Oriented Error Repair Via Differentiable Bi-Level Optimization
[NO] 143/200 | High-Bandwidth Interconnects Fabricated by Electrohydrodynamic Printing on Glass
[NO] 144/200 | Implementation of a Gamified Web-Based One-to- One Mathematics E-Learning Platform for High School Students
[NO] 145/200 | Hybrid PMI Selection for Codebook-Based MIMO in 5G NR Under CSI Feedback Delay and High Mobility
[NO] 146/200 | Design of Highly Selective Hairpin Filter on Al
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Substrate for Ku-band Applications
[NO] 147/200 | Video Brightness-Aware Encoding to Optimize Energy Consumption in HTTP Adaptive Streaming
[NO] 148/200 | Research Methodology for Analyzing Fluid Flow Parameters in Electric Boiler Heat Exchangers within Heating Systems
[NO] 149/200 | Power efficient Flash ADC using optimized dynamic comparator
[NO] 150/200 | A Trustworthy Adaptive $h$-Refinement Method for High-Resolution Scattering Centers Imaging
[NO] 151/200 | Solving Electromagnetic Scattering Problem of Multi Targets by MoM and Vector Spherical Wave Transition Matrix
[NO] 152/200 | Review of the Challenges with High Solar Photovoltaic Penetration in Power System
[NO] 153/200 | A Hybrid Human–AI Assessment Pipeline for Proof-Based Mathematics Courses: A Cross-Domain Design in Real Analysis, Abstract Algebra, and Number Theory
[NO] 154/200 | A Passive Vector Modulator for 28-Ghz Applications
[NO] 155/200 | Low-Noise Microwave Amplifier Design Using Ideal Matching Two-Ports
[NO] 156/200 | Developing an Immersive Application of Therapeutic Art for Emotional Regulation
[NO] 157/200 | An AI-Enhanced Extended Reality Framework for Probabilistic Thermal Comfort Assessment in Sustainable Building Design
[NO] 158/200 | Semantic Node Similarity in Graphs Using Transformer-Based Embeddings
[NO] 159/200 | Uncrewed Aerial Vehicle Remote Sensing for Meteorology: A review of current status, applications, and opportunities
[NO] 160/200 | Development and Analysis of a Parser for Program Models in the SimInTech PL Language
[NO] 161/200 | Unified Heterogeneous Event Sequence Modeling for Remission-Stage Risk Prediction among Cancer Survivors with Multiple Chronic Conditions
[NO] 162/200 | Simulation-Based Evaluation of Thermal Image Degradation Techniques for Power Substation Diagnostics
[NO] 163/200 | Soft Wireless Wearable Bioelectronics for Continuous Monitoring of Brain Water Dynamics Across Sleep Stages
[NO] 164/200 | Flexible multimodal sensor-integrated upper-limb prostheses simulator to monitor functional engagement
[NO] 165/200 | Immersive Environments in Medical Education: A Virtual Reality Approach to Angioplasty Training
[NO] 166/200 | Configuration and Testing of a Feeder Protection-Based Power Redirection Technique with IEC 61850 Standard GOOSE Control Model Using Hardware-in-the-Loop for an Electrical Distribution System
[NO] 167/200 | MOR-GPCCA for Clinically Anchored Longitudinal MRI Biomarkers and SuStaIn Subtype–Stage Modeling in Alzheimer’s Disease
[NO] 168/200 | Implementation of a Powered Visual Perception System for Real-Time Obstacle Classification and Spatial Navigation for People with Visual Impairments
[NO] 169/200 | Techno-Economic Assessment of Green Hydrogen Production via Grid-Connected Electrolysis in Uruguay
[NO] 170/200 | Research on Characteristic Mode Analysis Method Based on Partially Overlapping Basis Functions
[NO] 171/200 | Beyond Accuracy: A Cost Aware Evaluation of Mobile Typing-Based Authentication
[NO] 172/200 | Assessing Audit-Readiness in IDS and SIEM Alert Triage via Semantic Evidence Hooks
[NO] 173/200 | Temperature-Tunable Microwave Absorption in Bamboo-Derived Porous Carbon: A Physics-Based Parametric Framework
[NO] 174/200 | Effect of the SiO
                    <sub>2</sub>
                    Layer on the Diffusion of Al Atoms from the Sapphire Substrate into the Ga
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Thin Film Used as a Lambda-Probe
[NO] 175/200 | SmartFuse-LLM: Fusing Computation into Collectives for Efficient Tensor-Parallel LLM Systems
[NO] 176/200 | Drift-Diffusion Based Numerical Investigation of Two-Photon Absorption in Broad-Area High-Power Diode Lasers
[NO] 177/200 | MolPACL: Molecular Property Prediction Based on Prompt Augmentation and Contrastive Learning
[NO] 178/200 | XtraLight-MedMamba: An Ultra-Lightweight Mamba-Based Framework for Histopathologic Classification of Neoplastic Tubular Adenomas
[NO] 179/200 | DiEL: Disentangled Evolutionary Learning for Identity-Preserving Face Enhancement and Recognition
[NO] 180/200 | Ultrathin Transmissive Silicon Photodiodes for Beam Position and Monitor Applications
[NO] 181/200 | FER20E: An Extended Facial Expression Recognition Dataset with 20 Discrete Emotions
[NO] 182/200 | Impact of Electrode Material on Transient Current and Conduction Mechanisms in Oil Impregnated Pressboard Insulation
[NO] 183/200 | QuikDel: A Scalable Hierarchical Multi-agent System for Urban Delivery Using Q-Learning
[NO] 184/200 | Adaptive Vibration and Consensus Control for Networked Mobile Vehicle-Mounted Manipulator With Actuator Faults and Output Constraints
[NO] 185/200 | Semantic Consistent Memory Hashing with Incremental Regularization for Incomplete Cross-Modal Retrieval
[NO] 186/200 | Modal-based Prediction of Power System Frequency Response and Frequency Nadir
[NO] 187/200 | 2026 6th International Conference on Electrical, Computer and Energy Technologies (ICECET)
[NO] 188/200 | CMOS-Based Integrated Circuits Above 0.2 THz: Circuit Techniques and System Demonstrations
[NO] 189/200 | ICSETI 2026 TOC
[NO] 190/200 | Continuous Monitoring in Implantable Cardiac Devices: Electro-Quasistatic Human Body Communication– Challenges and Opportunities_supp1-3722470.pdf
[NO] 191/200 | A Quaternion Rotation-Enhanced Differential Privacy Framework for Image Privacy Protection_supp1-3707866.pdf
[NO] 192/200 | AI-Driven Synthesis of Training Environments for Scalable Reinforcement Learning
[NO] 193/200 | GNSS precise point positioning enhanced mobile laser scanning railway point cloud registration
[NO] 194/200 | RACG-Ground: Ring-Adaptive Confidence Gating for LiDAR Ground Segmentation
[NO] 195/200 | TopFGL: A Topology-Aware and Distributionagnostic Federated Learning Framework Tackling Topological Heterogeneity on Graph Data
[NO] 196/200 | Security-Aware Geometrically Robust 3D Watermarking: Threat Models, Games, and Evaluation Protocols
[NO] 197/200 | Study on Uncertainty of Electromagnetic Scattering from Dusty Plasma Based on S-FDTD Method
[NO] 198/200 | A Set-Theoretic Approach to Detecting Logic Bugs in DBMS Inner Join Optimizations
[NO] 199/200 | [Experiment, Analysis, and Benchmark] Systematic Evaluation of Plan-Based Adaptive Query Processing
[NO] 200/200 | Reconfiguring Scalable Hashing with Persistent CPU Caches
筛选完成：共 200 篇；Yes = 2 篇；已保存到 papers/select_paper2026-08-12.json。
邮件发送成功！
[2026-08-13 10:34:39] 任务执行成功！
