[2026-06-09 11:55:09] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-08
正在获取论文...
[arXiv] 2026-06-08 | A Differentiable Simulation of the Eye for Patient-Specific Strabismus Surgery Planning
[NO] 67/200 | A Unifying Lens on Reward Uncertainty in RLHF
[NO] 68/200 | Fairness-Aware and Latency-Controllable Scheduling for Chunked-Prefill LLM Serving
[NO] 69/200 | Stage-1 Controls the Entropy Regime, Not the Outcome
[NO] 70/200 | A Hybrid Generative Reduced-Order Model for the Minimal Flow Unit
[NO] 71/200 | DynaCF: Mitigating Shortcut Learning in Reward Models via Dynamic Counterfactual Sensitivity
[NO] 72/200 | CRANE: Knowledge Editing for Reasoning MLLMs
[NO] 73/200 | Personal Salience: Highlighting Is Social, but Individuality Lives in Selection
[NO] 74/200 | Sparse Convexification for High-Dimensional Constrained Regression
[NO] 75/200 | On an $n-$Dimensional Travel Time Tomography Problem
[NO] 76/200 | TLDR: Compressing Audio Tokens for Efficient Autoregressive Text-to-Speech
[NO] 77/200 | Beyond Averages: Evaluating LLMs on Human Survey Replication at the Distributional Level
[NO] 78/200 | JAX-AMG: A GPU-Accelerated Differentiable Sparse Linear Solver Library for JAX
[NO] 79/200 | Relativistic Effects in Spin Correlations Induced by QED Scattering and Wigner Rotations
[NO] 80/200 | Language-Aware Token Boosting: LLM Language Confusion Reduction Without Tuning
[NO] 81/200 | LEAF: A Learning-Enabled ADMM Framework for Accelerated Convex Optimization
[NO] 82/200 | From Characters to Matrices: An Elementary Construction of Irreducible Representations of Finite Groups
[NO] 83/200 | Structure-Aware Modeling of Multiple-Choice Questions Improves Automatic Difficulty Estimation
[NO] 84/200 | The origin of WHAM Point Source~46
[NO] 85/200 | Heterophily-Aware Adaptive Knowledge Distillation for Hypergraph Neural Networks
[NO] 86/200 | Online Learning with Recency: Algorithms for Sliding-window Streaming Multi-armed Bandits
[NO] 87/200 | Three-dimensional Fundamental Diagrams of Five-neighbor Particle Cellular Automata
[NO] 88/200 | The complex kinematics of the young stars orbiting the supermassive black hole in the Galactic center can be explained by the presence of an intermediate mass companion of Sgr A$^\star$
[NO] 89/200 | Hardening Agent Benchmarks with Adversarial Hacker-Fixer Loops
[NO] 90/200 | From inverse problems to neural operators: prediction, mechanism, and generalization of data-driven models
[NO] 91/200 | Nuclear matrix element of $2νββ$ decay of $^{76}$Ge: roles of high-lying states and two-body currents
[NO] 92/200 | Design of a multifunctional Doppler backscattering diagnostic for the Pegasus-III Experiment
[NO] 93/200 | Multilingual Sentiment Aware Text Summarization A Reinforcement Learning Approach for Consistency Maintenance
[NO] 94/200 | PACT: Learning Diverse Diagnostic Strategies via Privileged Synthesis and Branch Consensus
[NO] 95/200 | WeaveBench: A Long-Horizon, Real-World Benchmark for Computer-Use Agents with Hybrid Interfaces
[NO] 96/200 | Harness Engineering for Physical AI: Robot Middleware Is the Harness Layer
[NO] 97/200 | Towards a consistent framework of determining active galactic nucleus contribution fraction and host galaxy properties
[NO] 98/200 | Can Data Work be Reparative?
[NO] 99/200 | PriFT: Prior-Support Guided Supervised Fine-Tuning
[NO] 100/200 | An Introduction to Measurement Uncertainty
[NO] 101/200 | An Intelligent Assessment of Machine Vision Courses Based on HA-GNN
[NO] 102/200 | Reconstructing Boolean Functions From MAGIC Logic-in-Memory Using Power Side-Channel Attacks
[NO] 103/200 | Language Supervised Multi-Camera Multi-Object Tracking
[NO] 104/200 | Intuitive Tele-Operated Robotic Catheter System with Wrist-based Controller
[NO] 105/200 | Rotor Electromagnetic Structure Optimization for Improving the Efficiency of Permanent-Magnet Synchronous Motors in New Energy Vehicles
[NO] 106/200 | Information Control in Networked Multi-User Discrete-Event Systems Using State Estimates
[NO] 107/200 | Design and Evaluation of an Educational Virtual Agent Based on Retrieval-Augmented Generation for the Entrepreneurship Culture Course in Higher Education_supp1-3700935.pdf
[NO] 108/200 | PCPSI: Efficient Unbalanced Private Set Intersection Using Homomorphic Encryption with Plaintext–Ciphertext Multiplication
[NO] 109/200 | Adaptive Model-Free Predictive Current Control for SPMSM Drives Using Algebraic Estimator: Enhanced High-Frequency Disturbance Rejection
[YES] 110/200 | IRASET 2026 TOC
[NO] 111/200 | Explainable AI-Driven Intrusion Detection System Using Hybrid Deep Learning Models for Secure Network Infrastructure
[NO] 112/200 | Inchiscope: A Modular Triple-Balloon Soft Robotic Endoscope for Navigating the Small Bowel
[NO] 113/200 | Efficient Minimum $k$-Truss Search: A Decomposition-Based Approach
[NO] 114/200 | Hybrid Consistency Policy: Decoupling Multi-Modal Diversity and Real-Time Efficiency in Robotic Manipulation
[NO] 115/200 | H-VSJ: A Hybrid Stiff-Compliant Variable Stiffness Joint With Decoupling Position and Stiffness Modulation
[NO] 116/200 | A Review of Vision-Based Vehicle Detection for UAV-Based Traffic Monitoring: Experimental Insights and Future Directions
[NO] 117/200 | Real-Time Detection of Subsurface Defects in CFRP Using Line-laser Scanning Thermography and CSDNet
[NO] 118/200 | Pointing Calibration Study for the HADAR Experiment
[YES] 119/200 | Robust Beamforming Design for STAR-RIS Assisted MISO Secure Communication System
[NO] 120/200 | Untethering EIT: An Integrated Wireless Tactile Interface for Human&amp;#x2013;Machine Interaction_supp3-3688715.mp4
[NO] 121/200 | Surrogate-Assisted Framework for Log-Periodic Feedlines based Filter Optimization
[NO] 122/200 | Hybrid Bit and Semantic Communications for UAV-Enabled Wireless Power Transfer Networks: A Decision-Assisted Deep Reinforcement Learning Approach
[NO] 123/200 | A Radar-Based Contactless Stethoscope for Phonocardiogram Reconstruction
[NO] 124/200 | Multi-Scale Object Detection for Autonomous Driving Based on Multimodal Feature Fusion
[NO] 125/200 | RE-FIDS: Robust and Explainable Federated Learning-based Intrusion Detection System
[NO] 126/200 | Intracavity Temperature Sensor Based on Phase-Shifted Fiber Bragg Grating in a Fiber Laser
[NO] 127/200 | Time-Series Forecasting of Cloud Resource Utilization Using Hybrid LSTM Models
[NO] 128/200 | Mitigating Misalignment of Excitation Sources in Low-Frequency Mammography
[NO] 129/200 | Deep Learning-based Smart Traffic Signal Control
[NO] 130/200 | Optimized Microenvironments for Battery Cell Production: Space-Efficient Handling Systems and Economic Feasibility
[NO] 131/200 | An AI-Driven Cyber-Physical Control System for Real-Time Environmental Monitoring and Disaster Management
[NO] 132/200 | Interface and Transport-Layer Engineering for CdS / BaZrS
                    <sub>3</sub>
                    / CuSCN Solar Cells: Device Simulation, Band Alignment and Defect Effects
[NO] 133/200 | Deep Hybrid Architecture for Cybersecurity Threat Detection in IIOT Networks: CNN–BiGRU Approach
[NO] 134/200 | Deep Learning-Based Prediction of Pulsed Electric Field and Biological Parameters from In Vitro Experiments
[NO] 135/200 | An Efficient Tuberculosis Detection from Chest X-ray Images using Lightweight Deep Learning Models
[NO] 136/200 | BIM–AI Integration for Sustainable Urban Planning in Smart Cities: Framework, Challenges, and Future Trends
[NO] 137/200 | Evaluating the Importance of Marine Ecological Protection: A Case Study of the Dalian Sea Area, Liaoning Province
[NO] 138/200 | Investigating the Synergy between Industry 4.0 Technologies, Lean Tools, and Lean Wastes
[NO] 139/200 | Cloud-based Intelligent Brain Tumor Detection and Segmentation Framework using Hybrid Deep Representation Learning Approach
[NO] 140/200 | Energy-Efficient AI Models for Large-Scale Technical Data Collection in Cyber-Physical Systems
[NO] 141/200 | Quaternary Reversible Circuit Optimization for Scalable Multiplexer and Demultiplexer
[NO] 142/200 | Follow the Sun and Catch the Wind: A Spatio-Temporal GNN-DRL Routing Framework for Carbon-Neutral Geo-Distributed Data Centers
[NO] 143/200 | When Does Artificial Intelligence Matter for Knowledge Management? Empirical Insights from Indonesian Organizations
[NO] 144/200 | Deep Learning-Based Intelligent Intrusion Detection System For The Internet Of Medical Things
[NO] 145/200 | Rotor load decoupling method based on geometric modal projection
[NO] 146/200 | Literature Review on Neural Networks based Security in Multimedia with Application and Emerging Trend
[NO] 147/200 | Artificial Intelligence Techniques for Dynamic Analysis Predictions of Regular Building Structures in Morocco
[NO] 148/200 | Efficient Assessment Method for the Temperature Rise Limit of Degaussing Coil Systems Based on Sparse Simulation and Model Extrapolation
[NO] 149/200 | Reliability-Guided Frequency Compensation Network for Multi-Exposure Image Fusion
[NO] 150/200 | Evaluating Data Poisoning Resilience of Large Language Models for Cybersecurity Applications
[NO] 151/200 | A Study on Mechanical Behaviour of Ternary Blended Geopolymer Concrete
[NO] 152/200 | GridInsu-Net: An Efficient Algorithm for Defect Detection of Transmission Line Insulators
[NO] 153/200 | Classification of Edible and Poisonous Mushrooms Using Lightweight Deep Learning Models on Mobile Devices
[NO] 154/200 | A Deep Learning Approach for Metal and Plastic Waste Segregation
[NO] 155/200 | A Unified Deep Learning-Based Architecture for Real-Time Monitoring and Classification of Fungal and Viral Crop Infections in Precision Agriculture
[NO] 156/200 | IoT-Enabled EV Parking Station Powered by Renewable Energy
[NO] 157/200 | OkraSqueezeNet: A Lightweight CNN with Bayesian Optimization for Real-Time Ladies Finger Leaf Disease Detection
[NO] 158/200 | Using Generative AI to Improve Cities, Energy, Farming, and Healthcare for the Environment
[NO] 159/200 | LIME-Based Analysis of Adversarial Feature Manipulation in Cloud Intrusion Detection Systems
[NO] 160/200 | Emotionally Adaptive Conversational AI for Personalized Learning
[NO] 161/200 | Non-Invasive Diagnosis of Circulating Blood or Cardiac Inflammatory Diseases Through Microwave Technology
[NO] 162/200 | Comparative Evaluation of Prompting Strategies for LLM-Based Combinatorial Optimization
[NO] 163/200 | BrainArcNet: Attention-Enhanced InceptionResNetV2 with ArcFace for Accurate Brain Tumor Classification from MRI Scans
[NO] 164/200 | Investigating Genomic Insights and Smart Biomaterial–Based Biosensing Using Data Science Approaches for Advancing Precision Oncology Treatments
[NO] 165/200 | A Machine Learning-Assisted Approach for High-Precision PV Module Characterization
[NO] 166/200 | CityPulse 360 – AI-Powered Real-Time Urban Happiness and Sentiment Analysis
[NO] 167/200 | Deepfake Video Forensics Using ResNeXt–LSTM Visual Modeling and DSP-Enhanced Audio Spectrogram Analysis
[NO] 168/200 | A Dual-Level Data-Driven Framework for Reducing Financial Fraud in Banking
[NO] 169/200 | Performance Comparison of Radiative Transfer Simulation Tools Based on Land Surface Radiance in Beihang Green Garden
[NO] 170/200 | Dynamic Data-Driven Framework for Forecasting Employment Trends in the AI Era
[NO] 171/200 | Harnessing Large Language Models for Next-Generation Artificial Intelligence Applications
[NO] 172/200 | An AI-Driven Optimization Framework for Sustainable E-Waste Management and Resource Utilization
[NO] 173/200 | Research on Construction and Virtual Commissioning of Intelligent Warehousing System Based on PQFactory Platform
[NO] 174/200 | New approach to improve low-noise amplifier performances for 2.45 GHz wireless applications
[NO] 175/200 | FDSCBAM-YOLO: Integrating Frequency-Domain Attention with Depthwise Separable Convolution for Data-Scarce SAR Vehicle Detection
[NO] 176/200 | PSO-Based Optimization of a CMOS Switched-Capacitance Current-Starved Ring VCO in 0.18-μm Technology
[NO] 177/200 | Dual-Path Motion Encoding for Robust Violence Detection
[NO] 178/200 | IAC-TecMed Database for Infrared Thermography-Based Diabetic Foot Monitoring
[NO] 179/200 | ReadAR: Utilizing Mixed Reality for Physical Document Digitization
[NO] 180/200 | The Impact of Haptics on User Presence in Virtual Reality
[NO] 181/200 | Culturally Informed Colour Coding in Virtual Reality: Preserving ovaHimba Heritage
[NO] 182/200 | Translating Multimodal UX Requirements into System Architecture: The Implementation of the UX-Tracking Framework
[NO] 183/200 | Scalable Floating-Point Satisfiability via Staged Optimization
[NO] 184/200 | Solvable Tuple Patterns and Their Applications to Program Verification
[NO] 185/200 | Koopman Neural Operator for Multi-Task Modeling in Optical Fiber Communications with NTK Analysis
[NO] 186/200 | Geometry Optimization of Non-Ideal Through-Glass Vias (TGVs) for Enhanced Electrical and Mechanical Performance
[NO] 187/200 | Parameter Efficient Emotional Transfer for Fine-Grained Emotional Audio-Driven Talking Portrait Generation_supp1-3699022.mp4
[NO] 188/200 | The Capacity of the Weighted Read Channel
[NO] 189/200 | Finite-Time LQR Control With Redundant Inputs for Continuous-Time Systems
[YES] 190/200 | Target-centered Micro-motion Tracking and Measurement with Commodity WiFi
[YES] 191/200 | Rate Optimization in Hybrid Multi-RIS Assisted NOMA Systems Based on WMMSE Algorithm
[NO] 192/200 | Systematic Evaluation of Interpolation Strategies for Soil Moisture Retrieval Using Sentinel-1/2 Data: A Case Study in Shandian River Basin
[NO] 193/200 | 2026 IEEE MTT-S International Microwave Biomedical Conference (IMBioC)
[NO] 194/200 | Finite-Time Distributed Time-Varying Optimization of High-Order Agents With Unknown Gradient Derivative
[NO] 195/200 | A Soft Worm Robot for Sub-Centimeter Scale Pipeline Inspection_supp2-3699247.mp4
[NO] 196/200 | A Soft Worm Robot for Sub-Centimeter Scale Pipeline Inspection_supp4-3699247.mp4
[NO] 197/200 | Graph Processing with Contrastive Learning for Social Recommendation in IoT Interaction Networks
[NO] 198/200 | Upper Limb Movement Assistance through Model-Based Path Planning and Control of Hybrid FES-Exoskeleton Systems_supp1-3700177.mp4
[NO] 199/200 | A Heterogeneous System Architecture for Monocular Depth Estimation and Parallel Multi-Task Vision on Edge Devices
[NO] 200/200 | Detection of Arbitrary Polarization States Based on Spoof Surface Plasmon Polaritons
筛选完成：共 200 篇；Yes = 5 篇；已保存到 papers/select_paper2026-06-08.json。
邮件发送成功！
[2026-06-09 12:24:54] 任务执行成功！
