[2026-09-22 13:49:27] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-09-21
正在获取论文...
[arXiv] 2026-09-21 | Jevons' Paradox and Fast Generative Simulation for HEP: Why Realistic Benchmarking is Essential
[NO] 31/200 | TAC-Time: Texts as Channels For Multimodal Time Series Forecasting
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 32/200 | Sharp zero estimates for trajectories of polynomial vector fields
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 33/200 | Luck Is Not Skill: When Do Paired Rollouts Help Group-Relative RL of LLM Agents?
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 34/200 | BayesianGS-SLAM: Uncertainty-Aware Neural Rendering SLAM via Probabilistic Formulation
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 35/200 | OSCAR: Order-aware Scoring and Calibration for AI Rankings
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 36/200 | ActiveArena: Benchmarking and Understanding Active Perception in Robotic Manipulation
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 37/200 | CARE: Experience-Guided Atomic Corrective Execution for Vision-Language-Action Policies
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 38/200 | Causal Bayesian Optimization: Foundations, Methods, and Applications
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 39/200 | ProbeScout: Visual Analytics for Attribute-Guided Image Search
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 40/200 | Reinforcement Learning under State and Outcome Uncertainty: A Foundational Distributional Perspective
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 41/200 | When More Evidence Hurts: Publication-Bias Drift and Principled Stopping for Biomedical Causal Search
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 42/200 | Bounded chromatic number of graphs with small clique number and large minimum degree
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 43/200 | HDND: Hierarchical Dynamic Neural Decoding for Multilingual Word/Character Retrieval from Non-Invasive Brain Recordings
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 44/200 | WidgetVA: A Widget-Centric Framework and Benchmark for Agentic Visual Analytics
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 45/200 | Trace-distance-based complementarity relations in a multipath interferometer
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 46/200 | MECT: Mixture of Experts with CNN-Transformer Network for Speaker verification
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 47/200 | A Sample of 459 Galaxy Groups Identified from the FAST All Sky HI Survey DR2
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 48/200 | All-in-One Multilingual Scene Text Recognition with Script-aware Mixture-of-Experts
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 49/200 | State-Aware Fuzzing of JavaScript Engines with LLM-Guided Instrumentation
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 50/200 | Interior estimates for Hessian quotient equations
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 51/200 | Density Collapse and Gradient Catastrophe in a One-Dimensional Euler--Poisson--Cattaneo System
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 52/200 | The local Dold congruence for Fibonacci and Lucas sequences
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 53/200 | Estimation and Control of Tensegrity Manipulator Kinematics based on Strut Inclination Angles
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 54/200 | ME-VLM:A Unified VLM for Embodied Cognition and Agent Coordination
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 55/200 | Bridge3D: Enabling Vision-Language-Action Models to See and Act in 3D
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 56/200 | Gauge invariants raised from commutators of unimodular Hopf algebras
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 57/200 | Not All Task Vectors Need Equal Rank: Energy-Proportional Allocation for Model Merging
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 58/200 | A Continuum in the Lattice of Semiring Varieties: The Interval $[\mathsf{V}(S), \mathsf{V}(S^0)]$
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 59/200 | InsertAnything: Generalizable Contact-Rich Precision Insertion from Simulation to Reality
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 60/200 | 0.5\%>100\%: Bidirectional Reciprocal Learning for Referring Image Segmentation
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 61/200 | TACIT: Tactile Contact Supervision for Spatial Attention in Dexterous Manipulation
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 62/200 | On Emergent Capabilities and Model Merging
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 63/200 | Tensor Completion using Subspace Information
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 64/200 | Oblique kink waves in solar coronal streamers
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 65/200 | On the existence of divisible non-injective modules over Leavitt path algebras
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 66/200 | VPRune: Efficient Training-free Pre-LLM Visual Token Pruning
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 67/200 | Charge-free well-posedness and charge-driven norm inflation for the Euler-Maxwell system
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 68/200 | Beyond Screen Time: Demonstrating the Value of App Activity Logs to Understand User Behavior Further
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 69/200 | MIGA:Shared-Geometry Gaussian Representation with Implicit Amplitude Modeling for Accelerated 3D Multi-Echo MRI
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 70/200 | Witness Set in Weak Visibility Polygons is Polynomial-Time Solvable
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 71/200 | Dimension-free Riesz transform estimates on biased hypercubes via non-tracial baby Fock models
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 72/200 | MUSE: Dependency-Aware Adaptation of a Frozen Vision Backbone for Multivariate Time Series Forecasting
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 73/200 | On the Topological Transitivity of Interval Extensions of Anosov Diffeomorphisms
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 74/200 | The Outer Pressure Problem for the Compressible Navier--Stokes System with Temperature-Dependent Transport Coefficients
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 75/200 | Dynamical Schwinger Production of Dipole--Antidipole Pairs in a Fractonic Lattice
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 76/200 | End-to-end Jordanian dialect speech-to-text self-supervised learning framework
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 77/200 | Second Jacobi eigenvalues and spectral rigidity for surfaces in Berger spheres
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 78/200 | Revealing tilt-driven structural heterogeneity in hybrid improper ferroelectrics by spatially-resolved crystallography
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 79/200 | Versatile Quantum Machine Learning with an Ultra-low Power Photonic Quantum Reservoir Computer
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 80/200 | Information-Time Proximal Policy Optimization
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 81/200 | VLM-in-Sandbox: Visual Workspaces for Agentic Visual Reasoning
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 82/200 | More Versions of Real Link Floer Homology
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 83/200 | LIBERO-VPro: Benchmarking Closed-Loop Visual Robustness of Robotic Foundation Models
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 84/200 | The lower bound of shifted primes with large prime factors
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 85/200 | LADDER: Graph-Guided Diffusion Language Models for Efficient Multi-Hop Reasoning
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 86/200 | Saddle-Order Universality in Ensemble-Averaged Black Hole Thermodynamics
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 87/200 | Bubble detachment from circular cavities and flat surfaces
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 88/200 | Evaluating the effectiveness of class-level LLM-generated test suites in Python
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 89/200 | Pharmacokinetic State Space Models for Unbiased Prediction of Haemodynamic Collapse
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 90/200 | LiAuto-MindViT: A Hybrid Vision Backbone with Adaptive Bidirectional Mamba
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 91/200 | Multitask Jet Analysis with Vision-Language Models: A Physics-Informed Four-Panel Representation
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 92/200 | Brain-Token Learning: Microstate-Based Tokenization and Multi-Scale Interaction for Long-Horizon EEG Sequence Modeling
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 93/200 | The Undetected Damage of Quantization on Retrieval and How to Fix It
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 94/200 | Performance-Preserving Online Adaptation in Social Navigation via Diffusion Steering
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 95/200 | Slave-Rotor and Auxiliary Chain Analysis of the Mott Transition in a Modified Periodic Anderson Model
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 96/200 | NeuIDO: Neural Intrinsic Dynamics Operator for Physics-Informed 4D World Models
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 97/200 | Uniqueness sets in weighted $\ell^2$-spaces via simultaneous approximation
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 98/200 | The exceptional set of a prime and a square
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 99/200 | Graph-to-Grid (G2G): Continuous-Coordinate Feature Painting for Soccer Pass Surfaces
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 100/200 | Random groups in the square model have property (T) at densities over $\frac{5}{12}$
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 101/200 | Fault Feature Extraction of Agricultural Machinery Bearings: A Method Integrating MCA and Improved ESPRIT
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 102/200 | Predicting the Intention to Engage in Digital Citizen Participation Using Structural Equation Modeling
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 103/200 | I/O-Cool: Using I/Os for Temperature Regulation When Training on the Edge
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 104/200 | 2026 IEEE 1st International Conference on Artificial Intelligence Implementation &amp; Applications (ICAIIA)
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 105/200 | Copyright Notice
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 106/200 | Dual-Branch Convolutional Neural Network-Assisted Flexible Wearable Hydrogel Strain Sensor for Humancomputer Interaction and Posture Recognition
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 107/200 | AI-Based Certificate Authentication: A Proposed Framework Integrating OCR and Blockchain
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 108/200 | Using Retrieval Augmented Large Language Model for Test Scenario Generation with Input from Use Case
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 109/200 | PSNODE: Extracting the Low-Dimension Latent Dynamic in Spatio-Temporal Point Processes
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 110/200 | Volatility Clustering-Inspired Multiscale Features for Long-Term Carbon Price Forecasting
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 111/200 | Time-Wise Feature Importance in Corporate Credit Rating Classification with Transformer-Based Sequence Models
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 112/200 | HASDDI: Hierarchical Attention with Substructure for Drug-Drug Interaction Event Prediction
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 113/200 | Feedback Design for LLM-Based Automatic Improvement of Stock Investment Strategies
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 114/200 | Optimizing Multiple Team Formation within an Educational Context
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 115/200 | Micro-Doppler Radar-Based Drone RPM Estimation for Wireless Monitoring and Airspace Communication Security
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 116/200 | Driving Sustainable Smart Buildings through Federated Intelligence and Digital Twin Integration
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 117/200 | Flexible Wearable Devices and Artificial Intelligence Algorithms: From Rigid Sensing to Flexible Intelligence for Chronic Disease Monitoring and Rehabilitation
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 118/200 | Explainable AI for Bias Detection and Mitigation in Loan Approval Systems
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 119/200 | Implement Federated Intelligence with Ensemble Stream Mining for Privacy-Aware and Collaborative Intrusion Detection in Distributed IoT Network Architectures
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 120/200 | YOLOv8-based Pedestrian Detection for Malaysian Urban Traffic Surveillance: A Case Study at Bukit Bintang MRT
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 121/200 | Low-Power HQVGA iToF Camera for Robust UAV Autonomous Flight
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 122/200 | SafeSight: A Visual Directed Severity Evaluation and Real Time Visual Identification of Personal Protective Gear
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 123/200 | A Comparative Evaluation of Standalone and Hybrid Machine Learning Techniques for Network Anomaly Detection Using NSL-KDD
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 124/200 | Standalone SqueezeNet for Accurate and Resource-Efficient Tomato Leaf Disease Classification
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 125/200 | Iterative Compensation Control for Nonlinear Multi-Agent Systems Under Resource Constraints
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 126/200 | A YOLOv8-Based Fruit Defect Detection and Blockchain-Enabled Traceability Framework: An Intelligent Monitoring System for Agricultural Supply Chains
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 127/200 | Gamification and Engagement: Assessing the Impact of Game-like Elements on Customer Interaction and Brand Loyalty in E-Commerce
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 128/200 | Chalk to Cloud: Transformative Journeys of Mathematics Teachers Adopting AI in Philippine Classrooms
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 129/200 | Technology Puzzle Books: Key Drivers of Parents' Intention to Purchase via E-Commerce in Can Tho City, Vietnamin Livestream Commerce: A Theoretical Model of Gen Z's Purchase Intention on Shopee in Vietnam
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 130/200 | Integrating Technological, Psychosocial, and Emotional Factors  in Livestream Commerce: A Theoretical Model of Gen Z's  Purchase Intention on Shopee in Vietnam
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 131/200 | Organization Committee
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 132/200 | Table
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 133/200 | Test Scenario Coverage Evaluation and Sample Generation for Smart Metering Adaptability Under Complex Load Conditions
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 134/200 | Steel Surface Defect Detection Based on an Improved YOLO26 Algorithm
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 135/200 | Fine-Grained Animal Identification in Complex Backgrounds and Among Similar Species
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 136/200 | Unsupervised Stratification of PCOS Patients Using PCA-Based Fuzzy C-Means Clustering
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 137/200 | A Visual Intelligent Automatic Measurement System for Workpieces
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 138/200 | Bounded Density-Rank Reweighting for Split Conformal Prediction
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 139/200 | Scalability Limits of Roadside Units in VANETs under Quantum Key Constrained Security Framework
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 140/200 | An IoT-Based Smart Ward Environment and Remote Vital Signs Monitoring System
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 141/200 | Advanced Numerical Study and Performance Characterization of a 34% Efficient Monolithic Perovskite–Silicon Tandem Solar Cell
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 142/200 | Quantitative Validation of Explainable AI for Breast Cancer Detection Using ROI-Guided Grad-CAM Analysis
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 143/200 | Dual-View Spatial Consistency Regularization for Few-Shot Hyperspectral Image Classification
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 144/200 | Recognition of Adulterants in Liquid Beverages: A Modified Fisher Discrimination Dictionary Learning-based Approach
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 145/200 | Physics-Guided Conditional Adaptive Decoupling with Variational Autoencoders for Multivariate Meteorological-Load Scenario Generation
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 146/200 | A High-Precision Retrieval Method for Multimodal Data Based on Autoregressive Pre-Training
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 147/200 | Quantum Boltzmann Machine Enhanced Variational Autoencoder for Cds Sequence Modeling
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 148/200 | Addressing Operating Condition Fluctuations and Cross-Battery Adaptation: A Novel Multi-Input SOC Estimation Model for Lithium-Ion Batteries
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 149/200 | Support-Free Geometric Segmentation Algorithm for Complex Components Based on Improved Laplacian Operator
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 150/200 | ZWAN: Leveraging Zone Random Write Area (ZRWA) for Avoiding WAL Tax in LSM-tree
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 151/200 | GraceSSD: Per-File Reliability Hints for Error-Tolerant Machine Learning Storage
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 152/200 | Construction and Pedagogical Practice of an AI-Empowered Interdisciplinary Talent Cultivation System for English Majors
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 153/200 | Beyond the HBM Wall: Coherent-Memory Oversubscription for AI Workloads on NVIDIA Grace Hopper
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 154/200 | Adaptive GPU Sharing for Real-time LLM Serving with Best-effort Workloads
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 155/200 | Remaining Useful Life Prediction of Lithium-ion Battery Based on a Two-Step Similarity Criterion and Transformer-SVR Hybrid Model
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 156/200 | Ultrasensitive In
                    <sub>1-x</sub>
                    Ga
                    <sub>x</sub>
                    As/Si Heterojunction TFET with extended source for detecting breast cancer cell lines
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 157/200 | Cable Fault Detection and Localization Based on Broadband Impedance Spectrum
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 158/200 | Short-Term Prediction of Rotor Vibration Signals Based on Local State-Aware Envelope Reconstruction
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 159/200 | Smart Fertilizer Monitoring and Prediction for Groundnut Crops Using IoT and Machine Learning
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 160/200 | Lightweight Apple Defect Instance Segmentation Based on Dynamic Prototype Mask Attention and Multi-Scale Feature Fusion
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 161/200 | Resource-Aware Evidence Selection with Dynamic Context Budgeting for Retrieval-Augmented Systems
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 162/200 | Robustness of Vector Retrieval Under OCR Noise Interference and the Semantic Correction Boundaries of LLMs: A Case Study of Disney Customer Service Assistant
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 163/200 | Intelligent Traffic Monitoring, Congestion Prediction, and Accident Detection Using YOLOv8-Based Video Surveillance
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 164/200 | Emotion Recognition Using Facial Thermal Imaging: A Comparative Study
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 165/200 | A Privacy Protection Method for Vehicle Networking Based on Heterogeneous Aggregation Signcryption
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 166/200 | Machine Learning-Based Real-time Intrusion Detection System for IoMT Networks
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 167/200 | Physical Rule-Guided Chain-of-Thought Reasoning for Low-Overkill Industrial Anomaly Detection
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
