[2026-07-24 10:57:18] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-07-23
正在获取论文...
[arXiv] 2026-07-23 | Structure theory of $BV$ functions and finite perimeter sets on Riemannian manifolds
[NO] 70/200 | DTIF: Robust Loop Closure Detection via Delaunay Triangle Topology in Complex Forests
[NO] 71/200 | Safety and Security: Experimental Validation of Encrypted Model Predictive Control
[NO] 72/200 | Bayesian optimization approach for tracking a moving target from far-field data in three dimensions
[NO] 73/200 | Fast Inference on Astronomical Time Series with Trans-Dimensional Flow Matching Posterior Estimation
[NO] 74/200 | Demographically-Informed Heat-Mortality Risk Curves via Risk Graph Neural Networks
[NO] 75/200 | TF-MossFormer: Integrating Convolution Gated Local-Global Attentions for Enhanced Time-Frequency Domain Monaural Speech Separation
[NO] 76/200 | EuroFlood: a Python library and queryable index for the CEMS satellite-derived flood-depth archive of Europe
[NO] 77/200 | Causal-AgentIR: Self-Evolving Causal Memory for Adaptive Image Restoration Agents
[NO] 78/200 | Carroll fermions of arbitrary spin
[NO] 79/200 | Exact ensemble controllability for neural differential equations via neural interpolation
[NO] 80/200 | TOUR: A Trajectory-Level Unlearning Benchmark for Offline Reinforcement Learning
[NO] 81/200 | One-point holographic correlator in the expanding universe
[NO] 82/200 | Conditional probabilities in quantum-optical settings
[NO] 83/200 | Tunnel magnetoresistance effect with a Cr-doped $\mathrm{RuO_{2}}(110)$ altermagnet
[NO] 84/200 | Certified Stochastic Control via Covariance Steering with Pick-to-Learn
[NO] 85/200 | Geo3R: Mitigating Spatial Reasoning Hallucination in Multimodal Large Language Models
[NO] 86/200 | Automatic knot selection in smooth additive models
[NO] 87/200 | C-PTQ: Fisher-weighted Channel-wise Sensitivity for Post-training Quantization of MLLMs
[NO] 88/200 | Spectral Transformation for Layer-wise Global Rank Discovery in Federated LoRA for Vision Transformers
[NO] 89/200 | Injective envelopes of partial C*-dynamical systems
[NO] 90/200 | PrefReward: Learning User Preference Matrix for Personalized Text Generation
[NO] 91/200 | The leading-soft cubic graviton self-interaction on the black-hole horizon
[NO] 92/200 | GuidedAttention: Interpretable and Correctable Visual Attention for OOD-Robust Robot Manipulation via Imitation Learning
[NO] 93/200 | From Resource Flow to Executable Tests: Petri-Net-Guided LLM Test Generation for Concurrent Stateful Rust APIs
[NO] 94/200 | ElasticTTT: Prior-Preserving Test-Time Tuning for Video Editing
[NO] 95/200 | Unified theory of classical and quantum semiparametric efficiency
[NO] 96/200 | Same Dangerous Objective, Opposite Advice: Direct Exposure versus Multi-Agent Mediation
[NO] 97/200 | Agentic Context Management: Solving Agent Memory and Cost by Treating Them as Lifecycle and Architecture Problems
[NO] 98/200 | A Needs Assessment for Measuring Geographic - Legislative Associations in the U.S. House of Representatives
[NO] 99/200 | Compressed primitivity problem in free groups
[NO] 100/200 | Artificial Epanorthosis: Why large language models overuse a classical rhetorical figure, and how to mitigate it
[NO] 101/200 | "Is This Not Enough?": Asymmetries in Institutional Accountability and Collective Sensemaking in the Case of Canada's Algorithmic Visa Triage System
[NO] 102/200 | RPHunter: Unveiling Rug Pull Schemes in Crypto Token via Code-and-Transaction Fusion Analysis
[NO] 103/200 | Granular-Ball-Induced Noise-Tolerant Discernibility Indexes for Fuzzy $\beta$ Covering Decision Systems and Feature Subset Selection
[YES] 104/200 | Energy-Efficient Beamforming and Adaptive Computational Task Offloading in ISCC Systems
[NO] 105/200 | Mitigation of Field Drift in a Conduction-Cooled No-Insulation ReBCO Magnet by Overshooting Current Profile Optimization
[NO] 106/200 | Steering Committee
[NO] 107/200 | Modality-Incomplete Human Status Recognition on Mobile Devices with Multi-Scale Relation and Semantic-Matching Distillation
[YES] 108/200 | Advancing Fluid Antenna-Assisted Non-Terrestrial Networks in 6G and Beyond: Fundamentals, State of the Art, and Future Directions
[NO] 109/200 | Design and Placement of a Passive Clamp Snubber for Isolated SEPIC and Cuk Converters Working as Automatic Power Factor Correctors
[NO] 110/200 | 2026 International Conference on Complex Systems and Automation Control (CSAC)
[NO] 111/200 | IEEE Standard for Power Modeling to Enable System-Level Analysis
[NO] 112/200 | Title Page
[NO] 113/200 | Large-Scale Sensor Systems for Sentient Environments: Emerging Research Directions
[NO] 114/200 | Amorphous Oxide Semiconductor Transistors for Monolithic 3D Integrated Circuits
[NO] 115/200 | Table of Contents
[NO] 116/200 | Coil Geometry Effects on Force Directionality and Crosstalk in Direct Ink Writing-Based Electromagnetic Actuators for E-skin
[YES] 117/200 | Throughput Analysis of Coded OTFS System under Fast Fading Channels
[NO] 118/200 | BiLSTM-Attention-Based Reader Behavior Prediction and Crowd Flow Modeling in Libraries
[NO] 119/200 | Large Language Models: Technical Pathways and Application Challenges
[NO] 120/200 | Large Language Model-Assisted State Transition Algorithm for Solving Sensor Network Localization Problem
[NO] 121/200 | Design, Synthesis, and Comparison of Multiplier Architectures using 90 nm to 3 nm Standard Cell Libraries
[NO] 122/200 | Research on the Performance Degradation of Lithium-ion Batteries in Multi-Temperature Domain Based on Empirical Model Parameter Identification
[NO] 123/200 | Data Driven Student Institution Matching Evaluation Based on Random Forest and Causal Inference for Vocational Enrollment Systems
[NO] 124/200 | Knowledge-Enhanced Graph Patching Network for Fault Prediction in Chemical Processes
[NO] 125/200 | Polyharmonic Spline Modelling of Tissue Deformation for Ultrasound-Guided Surgery
[NO] 126/200 | Risk Estimation of Power Construction Operations via Domain-Adaptive BERT and Multimodal Transformer
[NO] 127/200 | Output-Aware Latent Distribution Learning Using Variational Autoencoder for Industrial Soft Sensor
[NO] 128/200 | A Fault Quantity Prediction Model for T/R Modules of Phased Array Radar Based on Grey Neural Network
[NO] 129/200 | IT-IRRT*: An Incremental-Topology IRRT* Approach for Multi-Target UAV Path Planning with Line-of-Sight Communication Maintenance
[NO] 130/200 | Active Learning Based BERT Aspect-Level Sentiment Analysis Model for Course Evaluation Mining
[NO] 131/200 | Radial Electrode Geometries for Enhanced Performance in Organic Field-Effect Transistors
[NO] 132/200 | Reducing of the Frequency Measurement Error for the Signal Phase Increment Method by Suppressing Spectral Leakage
[NO] 133/200 | Reference-Guided Soft Actor-Critic for Unmanned Surface Vehicle Navigation in Constrained Waterways
[NO] 134/200 | MEDRAG-SHIELD: A Privacy-Preserving Retrieval-Augmented Generation Framework for Clinical Text Analysis Using BiLSTM-Attention Mechanisms
[NO] 135/200 | Adaptive Clustering-Based Federated Learning for Non-Intrusive Load Monitoring Across Multiple Users
[NO] 136/200 | A Fine-Grained Versatile Systolic Array Architecture for Mixed-Sparsity Hardware Acceleration on FPGA
[NO] 137/200 | EV Charging Demand Prediction Considering Environmental Condition and User Behavior
[NO] 138/200 | Edge Convergence of Second-Order Nonlinear Systems
[NO] 139/200 | Online Fault Diagnosis under Missing Data via Multi-Kernel Learning
[NO] 140/200 | El Faro: An Advanced Frugal AI Stack for Context-Driven Resilience
[NO] 141/200 | Copyright Page
[NO] 142/200 | Imitating Fund Managers’ Portfolio Decisions: A Knowledge-Based Approach
[NO] 143/200 | Generative AI Model Assisted Multimodal Semantic Vehicular Edge Computing for Collaborative Perception
[NO] 144/200 | A new paradigm for effective LLM-Agent discovery and dynamic creation of trusted Multi-Agent Systems based on social relationships
[NO] 145/200 | Holistic Fusion: Task- and Setup-Agnostic Robot Localization and State Estimation With Factor Graphs
[YES] 146/200 | Fractional Doppler Effects on OTFS-NOMA HetNets with Mixed-Mobility Users
[NO] 147/200 | Terrain-Based Global Tracking Without Prior Pose Information Using Multibeam Echosounder Measurements
[NO] 148/200 | A Combined-Field Boundary Element Formulation for the Electromagnetic Modeling of Multiscale Interconnects and Integrated Passive Components from DC to Millimeter-Wave Frequencies_supp5-3715919.pdf
[NO] 149/200 | ESACT: An Index-Reordering Approach to Eliminate Bank Conflicts in Parallel Prefix-Sum Algorithms without Shared Memory Padding
[NO] 150/200 | GNSS Signal Resiliency Metric: A Stochastic Approach
[NO] 151/200 | Design and Implementation of a Lightweight Live-line De-icing Robot for 35kV Wind Farm Collection Lines
[NO] 152/200 | A Bio-Inspired Multi-Segment Partitioned Soft Pneumatic Actuator for Hand Edema Rehabilitation
[NO] 153/200 | Periodic Event-Triggered Consensus Control for Uncertain Second-Order Itô-Type Stochastic Multi-Agent Systems
[NO] 154/200 | Research and Implementation of YOLOv8-based Binocular Vision Ranging Target Detection System
[NO] 155/200 | Low-Level I/O Monitoring for Scientific Workflows
[NO] 156/200 | Research on Rapid Gear Profile Modification Technology Based on AI Agent Skills
[NO] 157/200 | Design and Formal Verification of a Logarithmic-Posit Arithmetic Core for Edge Neural Acceleration
[NO] 158/200 | Diffusion-Based Models for 3D Vascular Two-Photon Microscopy Generation
[NO] 159/200 | A 60 GHz Low Noise Amplifier Adopting Integrated Transformer-based Neutralization Technique
[NO] 160/200 | ADRC-PID Based Cascade Control for Multi-Temperature-Zone Systems with Large Inertia
[NO] 161/200 | Research of the Performance Fiber-Optic Communication Networks Under the Impact of Radioelectronic Interference Sources
[NO] 162/200 | Masked Structural Decomposition with Time Frequency Consistency for Unsupervised Multivariate Time Series Anomaly Detection
[NO] 163/200 | TAM: Temporal Attention for Edge-Oriented Short-Term Load Forecasting
[NO] 164/200 | Electrostatic Field Engineering Analysis of Hybrid Al
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    /ZrO
                    <sub>2</sub>
                    Gate Dielectric AlN/GaN based MOSHEMTs for Enhanced RF and Power Performance
[NO] 165/200 | Distributionally Robust Coordinated Scheduling of Port Integrated Energy Stations Considering Multi-Path Green Hydrogen Utilization
[NO] 166/200 | Model-free Adaptive Iterative Learning Control with Applications to Quadrotors
[NO] 167/200 | Beyond Peak Field Enhancement: Theoretical Framework for Emitter Participation and Scaling in Nanocarbon Field Emitter Arrays
[NO] 168/200 | Nonlinear Fault Root Cause Diagnosis Method Based on LSTM-AVAR Granger Causality Analysis
[NO] 169/200 | Real-time Vehicle Tracking for Complex Dynamic Environments Based on YOLO-ReID Fusion for Intelligent Transportation Systems
[NO] 170/200 | Hopf Bifurcation Analysis of a Bistable Duffing System with Washout Filter Delayed Feedback
[NO] 171/200 | Energy Efficient Approximate Square Root Circuit for Image Processing Applications
[NO] 172/200 | Performance-Supervised Fault Detection For Model-Free Nonlinear Systems Based on Fuzzy Approximation
[NO] 173/200 | Statistical Identification of Linear Link Characteristics
[NO] 174/200 | Performance Evaluation of Real-Time Scheduling Algorithms for Latency-Critical IoT Applications
[NO] 175/200 | Robust Tire Imbalance Detection Using In-Vehicle CAN Signals: A Signal-Observability-Aware Unsupervised Approach
[NO] 176/200 | Gaussian Process Regression–Driven Thermal Modeling of 5 nm Stacked Nanosheet FETs for Advanced CMOS Thermal Management and Reliability
[YES] 177/200 | Robust Secure ISAC Beamforming for Integrated HAPS-LEO Maritime Networks
[NO] 178/200 | Sponsor
[YES] 179/200 | Co-SEC: An Adaptive Security-Enhanced ASCON Accelerator via Algorithm-Hardware Co-Design
[NO] 180/200 | Robust Relative Sensor Registration in the Presence of Non-Gaussian Noise
[NO] 181/200 | Riemannian Adversarial Attacks on Subspace Detectors via the Grassmann Manifold_supp1-3716159.pdf
[NO] 182/200 | Reusing Multimodal Agents: Efficient Evaluation of Sound Designs in Games
[NO] 183/200 | Miresga: Achieving High-Performance and Reliable Layer-7 Load Balancing with Programmable Switches_supp1-3715854.pdf
[NO] 184/200 | Exponential-Family Tensor Completion via Nonconvex Dual Total-Variation Regularization
[NO] 185/200 | Low Complexity DOA/DOD and Polarization Estimation for Polarimetric MIMO Radar Via Unitary Dimension-Reduction MUSIC
[NO] 186/200 | IEEE Transactions on Emerging Topics in Computational Intelligence Information for Authors
[NO] 187/200 | Trivium: Temporal Regret as a First-Class Objective for Causal-Memory Controllers
[NO] 188/200 | AIEAnalyzer: An Analytical Framework for Versal AI Engine Performance Analysis
[NO] 189/200 | Credibility, Anonymity, and Algorithmic Gatekeeping in Leveraging Social Media as a Justice-Seeking Tool
[NO] 190/200 | Data-Driven Iterative Learning Control for Nuclear Waste Incineration Temperature Regulation
[NO] 191/200 | Iterative Learning Control for Overhead Cranes via Optimal Path Planning
[NO] 192/200 | Large Language Model-assisted Optimal Scheduling Method for Electric Vehicle Charging and Discharging Based on PER-DDPG Algorithm
[NO] 193/200 | Decarbonization of Electric and Transport Systems in Islanded Remote Communities Using Renewable Energy and Mobile Battery Storage System
[NO] 194/200 | A UAV-Borne FMCW GPR System for Spatial Ice Thickness Measurement
[NO] 195/200 | Concatenated CI-BCH Code Construction with Inner Algebraic Convolutional Code
[NO] 196/200 | Crypto Vision: A Reversible Gate-Based 16-Bit Image Encryption Framework with Chaos-Driven Key Scheduling and VLSI Metrics
[NO] 197/200 | High-Accuracy Modification of the Spectral Leakage Reduction Method Based on Sample Number Adjustment
[NO] 198/200 | State of Health Estimation and Remaining Useful Life Prediction of Lithium-Ion Batteries Based on Physics-Constrained Federated Meta-Learning
[NO] 199/200 | Towards Intelligent Construction: A Hybrid ANN-NSGA-II Framework for Compressive Strength Prediction toward 3D Concrete Printing
[NO] 200/200 | MFAPC control for variable speed adjustment of Boil-off gas compressor in LNG fuel supply system
筛选完成：共 200 篇；Yes = 6 篇；已保存到 papers/select_paper2026-07-23.json。
邮件发送成功！
[2026-07-24 11:25:48] 任务执行成功！
