[2025-12-25 09:12:47] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-24
正在获取论文...
[arXiv] 2025-12-24 | UniPR-3D: Towards Universal Visual Place Recognition with Visual Geometry Grounded Transformer
[arXiv] 2025-12-24 | Large and Moderate deviation principles for the Multivalued McKean-Vlasov SDEs with jumps
[arXiv] 2025-12-24 | Information-Scrambling-Enhanced Quantum Sensing Beyond the Standard Quantum Limit
[arXiv] 2025-12-24 | HLbL contribution to the muon g-2 using twisted-mass fermions at the physical point
[arXiv] 2025-12-24 | MODE: Multi-Objective Adaptive Coreset Selection
[arXiv] 2025-12-24 | ORCA: Object Recognition and Comprehension for Archiving Marine Species
[arXiv] 2025-12-24 | Emotion Diffusion in Real and Simulated Social Graphs: Structural Limits of LLM-Based Social Simulation
[arXiv] 2025-12-24 | SparScene: Efficient Traffic Scene Representation via Sparse Graph Learning for Large-Scale Trajectory Generation
[arXiv] 2025-12-24 | Existence and non-existence phenomena for nonlinear elliptic equations with $L^1$ data and singular reactions
[arXiv] 2025-12-24 | Equilibrium Configurations and their Uniqueness in a Fluid-Solid Interaction Problem
[arXiv] 2025-12-24 | Photoexcitation of moiré-trapped interlayer excitons via chiral phonons
[arXiv] 2025-12-24 | A Unified Truncation Method for Infinitely Many Solutions Without Symmetry
[arXiv] 2025-12-24 | Large lepton asymmetry from axion inflation and helium abundance hinted by ACT
[arXiv] 2025-12-24 | HQET Spectroscopy of Radially Excited F-wave Mesons
[arXiv] 2025-12-24 | Coding-Logic Correspondence: Turning Information and Communication Networks into Logical Formulae via Hypergraph Heyting Algebra
[arXiv] 2025-12-24 | Semantic Refinement with LLMs for Graph Representations
[arXiv] 2025-12-24 | Volatile Organic Compounds for Stress Detection: A Scoping Review and Exploratory Feasibility Study with Low-Cost Sensors
[arXiv] 2025-12-24 | FreeInpaint: Tuning-free Prompt Alignment and Visual Rationality Enhancement in Image Inpainting
[arXiv] 2025-12-24 | Identification with Orthogonal Basis Functions: Convergence Speed, Asymptotic Bias, and Rate-Optimal Pole Selection
[arXiv] 2025-12-24 | Portfolio Optimization for Index Tracking with Constraints on Downside Risk and Carbon Footprint
[arXiv] 2025-12-24 | Non-Abelian gauge field optics in the time domain
[arXiv] 2025-12-24 | Exact Infrared Triangle in Massless sQED with Long-range Interactions
[ACM] 2025-12-24 | PromptDebt: A Comprehensive Study of Technical Debt Across LLM Projects
[ACM] 2025-12-24 | An Empirical study on LLM-based Log Retrieval for Software Engineering Metadata Management
[ACM] 2025-12-24 | Integrating Human Feedback into a Reinforcement Learning-Based Framework for Adaptive User Interfaces
[ACM] 2025-12-24 | CCCI: Code Completion with Contextual Information for Complex Data Transfer Tasks Using Large Language Models
[ACM] 2025-12-24 | A review on Residual Stress Measurement via Nanoindentation for Multi-Material Systems
[ACM] 2025-12-24 | Impedance Matching for Transparency-Optimized Control in Vascular Interventional Robotics
[IEEE] 2025-12-24 | Understanding Perceived Quality of Mobile Apps using DistilBERT Model
[IEEE] 2025-12-24 | A low-power interface circuit based on a voltage divider and a microcontroller for a resistive sensor
[IEEE] 2025-12-24 | Under display Ambient Light Sensor for non-invasive vital signs monitoring
[IEEE] 2025-12-24 | Lexicographically Projected Policy Gradient Reinforcement Learning for Prioritized Multiobjective Process Control Problems
[IEEE] 2025-12-24 | Adaptive Adjustment of FES Profiles Using Norm-Optimal Iterative Learning Control for Foot Drop Correction
[IEEE] 2025-12-24 | mmWave-Based Contactless BP Monitoring with Physio-Model-Guided Deep Learning
[IEEE] 2025-12-24 | Area Product Equations for Inductor Energy Density Scaling Law with Input Design Parameter Variability
[IEEE] 2025-12-24 | Hug Synchronization Enhances Social Presence and Prosociality in Computer-Mediated Communication
[IEEE] 2025-12-24 | Contrastive Deep Fusion-Based Diffusion Multiview Drug Recommendation
[IEEE] 2025-12-24 | Multimodal Network with Accuracy-based Inverse Loss Weighting and Multimodal Ensemble Classification for EEG-based Sleep Stage Classification
[IEEE] 2025-12-24 | 2025 IEEE 15th Symposium on Large Data Analysis and Visualization (LDAV)
[IEEE] 2025-12-24 | Sharded Consensus with Non-Sharded Security Bound
[IEEE] 2025-12-24 | Designing Platform Incentives for Balancing Content Creation and Advertising Integration_supp1-3647474.pdf
[IEEE] 2025-12-24 | Motor Signal Processing and Fault Diagnosis Based on an Analog Circuit Inspired by a Machine Learning Algorithm
[IEEE] 2025-12-24 | A Novel Faulted Feeder Identification Method for High-Impedance Fault in Distribution Networks Based on KEMT Model under Low-quality Signals
[IEEE] 2025-12-24 | Construction and Analysis of the Radiophysical Model of Surface Radiation while Taking into Account the Effect of Shading and Multiple Scattering
[IEEE] 2025-12-24 | IFEEC 2025 Author Index
[IEEE] 2025-12-24 | Dual Grid-Forming MMC With Embedded Storage for Damping Provision
[IEEE] 2025-12-24 | CAKF-CL: Confidence-Aware Kalman Filtering and Contrastive Learning for Vision-Based Fall Detection
[IEEE] 2025-12-24 | Conduction Interference Suppression Strategy for GaN-based Airborne DC/AC Inverters
[IEEE] 2025-12-24 | Wide-Angle Scanning Phased Array Based on Dielectric Resonance and WAIM Layer
[IEEE] 2025-12-24 | The Influence of Gas Channel Design on the Exergy Efficiency of a Solid Oxide Electrolyzer
[IEEE] 2025-12-24 | The challenges of drone-supported researches at the University of Public Service Hungary
[IEEE] 2025-12-24 | Bunny Hops and Blockchain Stops: Cross-Chain MEV Detection With N-Hops
[IEEE] 2025-12-24 | A Comparative Study of Fixed-Slope Carrier Modulation Methods for Direct Matrix Converter
[IEEE] 2025-12-24 | A Primary-Side Signal-Based Coil Misalignment Detection Method for Wireless Power Transfer Applications
[IEEE] 2025-12-24 | Optimized Inductor Design for MHz CrM TotemPole PFC to Minimize Inductor Losses
[IEEE] 2025-12-24 | Research on Electromagnetic Sensitivity Model of Airborne Equipment Receiving Processing Channel under Complex Communication System
[IEEE] 2025-12-24 | Optimization of USV Search Path Based on Detection Probability
[IEEE] 2025-12-24 | Techno-Economic Analysis of a Hybrid Renewable Energy System on Lemukutan Island
[ACM] 2025-12-24 | Leveraging GPT-4 for Vulnerability-Witnessing Unit Test Generation
[ACM] 2025-12-24 | Developers' Practices, Web Accessibility, and Language Barriers: Analyzing Challenges and Opportunities for Inclusive Digital Development
[ACM] 2025-12-24 | A Comprehensive Review of Key Technologies and Applications in Smart Manufacturing Systems: From Digital Foundations to Intelligent Applications
[ACM] 2025-12-24 | Not One to Rule Them All: Mining Meaningful Code Review Orders From GitHub
[ACM] 2025-12-24 | Do Automatic Comment Generation Techniques Fall Short? Exploring the Influence of Method Dependencies on Code Understanding
[ACM] 2025-12-24 | Towards an Interpretable Analysis for Estimating the Resolution Time of Software Issues
[ACM] 2025-12-24 | MBSR at Work: Perspectives from an Instructor and Software Developers
[ACM] 2025-12-24 | Actual Practices from Practitioners in Benefits Management in Digitalization Projects
[ACM] 2025-12-24 | A Unified Semantic Framework for IoT-Healthcare Data Interoperability: A Graph-Based Machine Learning Approach Using RDF and R2RML
[IEEE] 2025-12-24 | Applying Machine Learning To Detect Abnormal Vibrations Through Cutting Force And Vibration Acceleration During External Turning
[IEEE] 2025-12-24 | Finite Element and Power Electronics Co-Design of A 12 V Permanent Magnet Motor for Electric Power Steering Applications
[IEEE] 2025-12-24 | A ZVS-PWM Three-Phase DC/AC Converter
[IEEE] 2025-12-24 | A Basic Study on Feedback Control of Conducted EMI in a Three-Phase Inverter Using Digital Active Gate Drive
[IEEE] 2025-12-24 | Design of Leakage Inductance in Toroidal Transformers Using Magnetic-Material Filament
[IEEE] 2025-12-24 | Development of a GaN-Based Multiphase Synchronous Rectification Buck Converter
[IEEE] 2025-12-24 | Seamless Transition Switching Control Technique Between DCM and CCM for Four-Switch Buck-Boost DC-DC Converters
[IEEE] 2025-12-24 | Primary-Side Current Based SR Control for High Voltage and High Frequency Cascoded Dual Half-Bridge Resonant Converter
[IEEE] 2025-12-24 | Spectroscopic and Morphological Characterization of Dust Deposition Effects on Bifacial PV String Performance After Two-Year Field Exposure in Tropical Climate
[IEEE] 2025-12-24 | Edge Computing Offloading Method for UAV-Based Intelligent Maritime Networks
[IEEE] 2025-12-24 | Light-guided multi-branch cooperative low-light enhancement network
[IEEE] 2025-12-24 | Hybrid BiLSTM–LSTM Models for Adaptive Hotel Occupancy Forecasting: A Case Study from an SME Hotel in Salatiga
[IEEE] 2025-12-24 | Attention-enhanced Gating for Mixture of Expert LLM
[IEEE] 2025-12-24 | A Methodological Review of Advances in Deep Learning-Based Methods for SSVEP Classification
[IEEE] 2025-12-24 | Postural Stability in Pilots Under Simulated Mild Hypoxia
[IEEE] 2025-12-24 | Analysis of the Difference in Production Parameters Between Low-Cost and High-Cost 3D Printers
[IEEE] 2025-12-24 | Regulatory Framework of EASA, European Strategies, and Practical Applications of Artificial Intelligence in Aviation
[IEEE] 2025-12-24 | Network Slicing for Dynamic DMZ and Federated Learning in Operational Technology Environment
[IEEE] 2025-12-24 | Stress Testing of Infrastructure Networks and System Order
[IEEE] 2025-12-24 | Event-triggered Control Scheme for (Q, S, R) -γ-dissipative and H
                    <sub>2</sub>
                    Performance of Switched Time Delay Systems by Switching on Sampling Input and Signal
[IEEE] 2025-12-24 | Intercomparison of reflectometric and interferometric GNSS-R altimetry in the presence of direct multipath
[IEEE] 2025-12-24 | Development of Flexible and Biodegradable Paper-Based Wheatstone Bridge Strain Gauge for Low-Cost Sensing Applications
[IEEE] 2025-12-24 | On the Regularization and Linearization of the Microwave Inverse Scattering Problem Using Subwavelength-Focused Fields
[IEEE] 2025-12-24 | Theory and Network Modeling of Mechanically Reconfigurable Magnetoinductive Waveguides
[IEEE] 2025-12-24 | A Novel Wasserstein Color Transfer Variational Framework on Fabric Images
[IEEE] 2025-12-24 | Parameter Optimization of Quantum Key Distribution in Quantum-Classical WDM-SDM Coexistence Systems
[IEEE] 2025-12-24 | Lighter: A Lightweight Full-Information and Dual-Guide Network for Remote Sensing Image Change Detection
[IEEE] 2025-12-24 | SI-Mamba: High-Resolution Sea Ice Recognition via RB-NDI Guided State Space Model
[IEEE] 2025-12-24 | Universal Approach to the Performance Analysis of Multi-Carrier Communication Systems over Fading Channels Based on the Concept of Effective SNR
[IEEE] 2025-12-24 | Calendar
[IEEE] 2025-12-24 | Title Page iii
[IEEE] 2025-12-24 | RWS 2025 Blank Page
[IEEE] 2025-12-24 | NTAD 2025 Title Page
[IEEE] 2025-12-24 | Deadbeat Control of Dual Active Bridge Converters With Adaptive Noise Resistance Ability
[IEEE] 2025-12-24 | Discharge Signal Detection Based on NV-Center Quantum Magnetometry
[IEEE] 2025-12-24 | Equation-Based Design Methodology for Switched-Capacitor Converter Topologies
[IEEE] 2025-12-24 | Tree-shaped Recursive Network: Rethinking Directional Features in Lightweight Single Image Super Resolution
[IEEE] 2025-12-24 | An IoE-Powered Framework for Adaptive Energy-Security Trade-Off in IoT
[IEEE] 2025-12-24 | MGSANet: A Multiscale Graph Spatial Alignment Network for Weakly Aligned RGB-Thermal Object Detection_supp1-3647051.pdf
[IEEE] 2025-12-24 | Distributed Optimization in Multilayer Networks via Tensor-Laplacian Dynamics
[IEEE] 2025-12-24 | iMETA 2025 Cover Page
[IEEE] 2025-12-24 | Sponsors
[IEEE] 2025-12-24 | FAS-RIS for V2X: Unlocking Realistic Performance Analysis with Finite Elements
[IEEE] 2025-12-24 | Low Divergence Angle Extended-Cavity Single-Mode VCSEL Based on Dielectric DBR mirror
[IEEE] 2025-12-24 | Multi-step, Multi-scale Traffic Flow Time Series Forecasting
[IEEE] 2025-12-24 | Augmented DFA-Enhanced Photonic Reservoir Computing for IMDD Equalization
[IEEE] 2025-12-24 | Evaluating Range of Motion of Two Prominent Neck Support Devices for Daily Activities_supp1-3647266.mp4
[IEEE] 2025-12-24 | Analysis, Design, and Demonstration for Rotation-type Experimental System of Dynamic Wireless Power Transfer
[IEEE] 2025-12-24 | A Risk Identification and Prediction Model for Intelligent Driving Under Multi-Vehicle Interactions in Mountain Tunnel Environments
[IEEE] 2025-12-24 | Generative AI Driven Task-Oriented Adaptive Semantic Communications
[IEEE] 2025-12-24 | Energy-Efficient Resource Allocation for Multi-Gateway LoRa Networks via Graph-Enhanced Attention Learning
[IEEE] 2025-12-24 | Quantum-Assisted Barrier Sequential Quadratic Programming for Nonlinear Optimal Control
[ACM] 2025-12-24 | SecCityVR: Visualization and Collaborative Exploration of Software Vulnerabilities in Virtual Reality
[ACM] 2025-12-24 | Optimizing Video Analytics Inference Pipelines: A Case Study
[ACM] 2025-12-24 | Repudiation For Good: Privacy-Preserving Prompt Deniability Through Embedding-Based Approximation
[ACM] 2025-12-24 | Track chassis structure design for walnut pruning robot in hilly and mountainous areas
[IEEE] 2025-12-24 | Improving Transient Response of LLC Converters via Frequency-Domain Pole-Canceling Compensation
[IEEE] 2025-12-24 | Predicting Corrosive Sulfur Value in Transformer Oil Using a Long-Short-Term Memory (LSTM)-Based Time-Series Classification Approach
[IEEE] 2025-12-24 | Bayesian Optimized LSTM-MFPC Controller for Microgrid Frequency Regulation
[IEEE] 2025-12-24 | Design of Long Range, High Power, High Efficiency Miniature Coils for MHz Band WPT
[IEEE] 2025-12-24 | A Design of Fuzzy Logic Controller Application to Modern Gantry Crane
[IEEE] 2025-12-24 | Feature Selection in Boosting Modeling for Survey Data Using a Statistical Inference Approach
[IEEE] 2025-12-24 | Agile Combat Support – Second-Level Logistic Support of Air Forces
[IEEE] 2025-12-24 | Privacy-Preserving “Right to Be Forgotten” in Configurable Blockchain Tokenization: A Cryptographic Audit Framework
[IEEE] 2025-12-24 | Input-Output Model and Algorithms for Supply Chain and Import Savings Analysis
[IEEE] 2025-12-24 | Semiconductor Supply Chain Synthetic Data Generation Using Knowledge Graphs
[IEEE] 2025-12-24 | Hybrid Protection Against UWB Pulses Based on a Meander Line and a Gas Discharge Tube
[ACM] 2025-12-24 | Recommendation systems in e-commerce applications with machine learning methods
[ACM] 2025-12-24 | CallNavi, A challenge and empirical study on LLM function calling and routing
[ACM] 2025-12-24 | LLM Code Customization with Visual Results: A Benchmark on TikZ
[IEEE] 2025-12-24 | Table of Contents
[IEEE] 2025-12-24 | Forget Me Not: Fighting Local Overfitting With Knowledge Fusion and Distillation
[IEEE] 2025-12-24 | A general and robust active fire detection method using Sentinel-2 and Landsat shortwave infrared measurements_supp1-3647717.docx
[IEEE] 2025-12-24 | Track and Enclose a Target of Mobile Robot With Motion and Field of View Constraints: An Event-Triggered Control Strategy
[IEEE] 2025-12-24 | Single-Mode ZBLAN Optical Fiber Couplers: Minimizing Losses and Devitrification
[IEEE] 2025-12-24 | Q Cells in Wireless Networks
[IEEE] 2025-12-24 | Edge-Guided Shallow and Contextual Deep Feature Learning via Bidirectional Attention for Salient Object Detection in Optical Remote Sensing Images
[IEEE] 2025-12-24 | Reducing Latency by Eliminating CSIT Feedback: FDD Downlink MIMO Transmission for Internet-of-Things Communications
[IEEE] 2025-12-24 | Synthesis of Sparse Antenna Arrays Using Denoising Diffusion Probabilistic Models
[IEEE] 2025-12-24 | 2025 IEEE VIS Arts Program (VISAP)
[IEEE] 2025-12-24 | A 5.9 GHz Sezawa SAW Acoustic Delay Line Based on Al
                    <sub>0.6</sub>
                    Sc
                    <sub>0.4</sub>
                    N-on-Sapphire with Propagation
                    <i>Q</i>
                    -factor of 3,044
[IEEE] 2025-12-24 | A Novel Long Short-Term Complementary Memory Network Based on Temporal Distribution Matching for Soft Sensing in Industrial Processes
[IEEE] 2025-12-24 | Dynamics 2025 TOC
[IEEE] 2025-12-24 | IFEEC 2025 TOC
[IEEE] 2025-12-24 | DRACO: Data Replication and Collection Framework for Enhanced Data Availability and Robustness in IoT Networks
[IEEE] 2025-12-24 | User Preference-Aware Deep Reinforcement Learning for Multi-Objective Optimal EV Charging Control
[IEEE] 2025-12-24 | 50-25-10 Years Ago: A Review of EMC Society Newsletters and Magazines
[IEEE] 2025-12-24 | Chapter Chatter
[IEEE] 2025-12-24 | Standards Activities
[IEEE] 2025-12-24 | EMC Europe 2025 Symposium in Paris
[IEEE] 2025-12-24 | D-Axis Inductance Measurement Considering Cross-Coupling Interference Using Low-Speed Sensorless Control of SynRM
[IEEE] 2025-12-24 | Realization of All-Device ZVS at Light Load Operations in DAB Converters Using SPS-Based Partial Power Canceling Modulation
[IEEE] 2025-12-24 | Variation-Aware Circuit Simulation of Parallel-Connected SiC MOSFETs Based on Individual Device Modeling
[IEEE] 2025-12-24 | Study of SiC and Cascoded GaN Power Switches Adopted in Boost and Full-Bridge Resonant Converters
[IEEE] 2025-12-24 | Analysis of Service Engineer Profession Models
[IEEE] 2025-12-24 | The Knowledge Cosmos: An Immersive Platform for Interdisciplinary Research Discovery
[IEEE] 2025-12-24 | Marketing Preferences for Paid versus Free Digital Platforms and AI-powered Tools in Aviation English Language Learning
[IEEE] 2025-12-24 | Attitude synchronization and position consensus for a multi-agent autonomous system
[IEEE] 2025-12-24 | Payment-failure times for random Lightning paths
[IEEE] 2025-12-24 | Research on 5G Network Testbed for Industrial Control Requirements
[IEEE] 2025-12-24 | Reinforcement Learning With Self-Aligning Torque for Autonomous Driving Agents on Low-Friction Surfaces
[IEEE] 2025-12-24 | Preserving Sovereignty and Privacy for Personalization: Designing a Federated Recommendation System for Data Spaces
[IEEE] 2025-12-24 | A Current Sensing Method with Enhanced Immunity to Reference Ground Disturbance
[IEEE] 2025-12-24 | An intelligent AR content generation mechanism based on agentic AI
[ACM] 2025-12-24 | Building a Datasets for Character Product Detection from SNS
[ACM] 2025-12-24 | A digital-twin-driven vision-based robotic pick-and-place system
[ACM] 2025-12-24 | An Empirical Study on the Performance and Energy Usage of Compiled Python Code
[ACM] 2025-12-24 | Bridging AI and Human Knowledge: Towards a Deeper Understanding of Stack Overflow and ChatGPT
[ACM] 2025-12-24 | Towards User-Centred Design of AI-Assisted Decision-Making in Law Enforcement
[IEEE] 2025-12-24 | Front Cover
[IEEE] 2025-12-24 | Descriptor:
                    <i>Enhancing Conversations for the Hearing Impaired in the 9th Computational Hearing in Multisource Environments Challenge</i>
                    (CHiME9 ECHI)
[IEEE] 2025-12-24 | Seabed Sediment Classification Based on Multibeam Data Using a Multifeature Fusion Algorithm
[IEEE] 2025-12-24 | A Wideband D-band Microbump Antenna with Self-packaged Design
[IEEE] 2025-12-24 | A Low-Complexity Neural Equalizer for Nonlinear Compensation in Photonics-Assisted Terahertz Wireless Links Beyond 500 GHz
[IEEE] 2025-12-24 | Digital Twin-Guided Soft Sensor With Dual Spatial Attention for CO Concentration Prediction under Limited Labels
[IEEE] 2025-12-24 | Multi-Channel Sparse Bayesian Learning With GAMP Integration for Bearing Fault Diagnosis
[IEEE] 2025-12-24 | Data Disclosure for Heterogeneous Privacy Profile
[IEEE] 2025-12-24 | Finite-Time Adaptive Control of Genetic Regulatory Networks with Mixed Delays and Disturbances: A Comparison Approach
[IEEE] 2025-12-24 | PEGSYS: A Portable and Easy-to-Operate Smart Screening and Grading System for Glaucoma
[IEEE] 2025-12-24 | Graph Convolutional Network Based Multimodal Uncertainty Fusion for Human Activity Recognition
[IEEE] 2025-12-24 | Graph Neural Network-Based Prediction of Rural Social Structures in the Digital Economy
[IEEE] 2025-12-24 | Navigation in Virtual Reality Floor Mazes: Added Cognitive Demand and its Effects on Gait and Balance in Parkinson’s Disease
[IEEE] 2025-12-24 | Towards Understanding Generalization and Stability Gaps Between Centralized and Decentralized Federated Learning
[IEEE] 2025-12-24 | Novel Nearshore Bathymetric Method Based on Adaptive Bandwidth Mean Shift Filtering Using ICESat-2 Data
[IEEE] 2025-12-24 | Lossy Parallel Visualization of Large-Scale Volume Data with Error-Bounded Image Compositing
[IEEE] 2025-12-24 | Trajectory Optimization and Resource Scheduling for NOMA-URLLC Integrated UAV-Assisted Autonomous Vehicular Networks
[IEEE] 2025-12-24 | Star centroid estimation and parameter calibration for 3CMOS star sensor
[IEEE] 2025-12-24 | Switching-Resistant and Load-Balanced SFC Deployment in LEO Satellite Networks
[IEEE] 2025-12-24 | Aircraft vulnerability assessment method for HEMP based on antenna coupling, cable coupling, electromagnetic window coupling simulation
[IEEE] 2025-12-24 | Interference Mechanism Analysis of UWB EMP on UAV Image Sensor
[IEEE] 2025-12-24 | Research on Electric Aircraft Inspection System
[IEEE] 2025-12-24 | Estimate the fast changing correction values in the Beidou satellite-based augmentation messages based on LSTM
[IEEE] 2025-12-24 | Android-Based Graphical User Interface for Motion Control and Environment Visualization of the TIAGO Base Mobile Robot
[IEEE] 2025-12-24 | Software for Assessing Error Correction Ptrotocols in Quantum Communications
[IEEE] 2025-12-24 | Analysis of changes in predispositions and skills for people applying for a Commercial Pilot License
[IEEE] 2025-12-24 | The Dichotomy of the Skies: An Analysis of European UAS Integration, Regulatory Transposition, and Civil-Military Interoperability
[IEEE] 2025-12-24 | The Impact of Multi-Frequency GNSS Receivers on the Reduction of Ionospheric Error
[IEEE] 2025-12-24 | Cloud-Based Digital Twin for Real – Time Battery Thermal Management Using Nonlinear Model Predictive Control
[IEEE] 2025-12-24 | A Fast Terminal Sliding Mode Control for 6-degree-of-freedom cable-driven manipulator
[IEEE] 2025-12-24 | High Precision Control for Electro-Hydraulic Actuator System with Recursive Terminal Back-stepping Sliding Mode
[IEEE] 2025-12-24 | Voltage Stability of Multi-Infeed VSC HVDC System – a Review
[IEEE] 2025-12-24 | Design Criteria for a Wide Input/Output Range LLC Converter Using Topological Reconfigurations
[IEEE] 2025-12-24 | Design and Implementation of Paralleled Three-Phase Three-Level Inverters using Virtual Resistance Droop Control
[IEEE] 2025-12-24 | Independent Power Control of Three-Level Inverter for Dual-DC-Sources with Common Negative Bus
[IEEE] 2025-12-24 | Implementation of a Three-Phase LLC Resonant Converter with Phase-Shedding Control
[IEEE] 2025-12-24 | Resilience Oriented Optimization of Distributed Energy Storage in Networked Microgrids
[ACM] 2025-12-24 | Evaluating the Impact of a Yoga-Based Intervention on Software Engineers' Well-Being
[ACM] 2025-12-24 | BullyHCL: Unsupervised Heterogeneous Graph Contrastive Learning Framework for Session-based Cyberbullying Detection
[IEEE] 2025-12-24 | A Miniaturized High-Power Ultra-wideband Electromagnetic Power Source System Design and Experiment
[IEEE] 2025-12-24 | Customer Satisfaction Analysis of Data Packages Among Students Toward Telecommunication Service Providers in Timor-Leste Using Machine Learning Techniques
[IEEE] 2025-12-24 | Comparative Analysis of Carrier-Based Modulation Methods for Dual-Parallel Three-Level T-Type Inverters
[IEEE] 2025-12-24 | Quantitative Assessment of A Priori and Experimental Distinguishing of Single Defects in Dynamic Systems
[IEEE] 2025-12-24 | Neural Network-Based Segmentation of 4D In Situ Tomographic Data for Inhomogeneous Porous Materials
[IEEE] 2025-12-24 | Air Traffic Control Room Design in the Context of Actual Operator Requirements
[IEEE] 2025-12-24 | Automated Risk Management Mechanisms in DeFi Lending Protocols: A Crosschain Comparative Analysis of Aave and Compound
[IEEE] 2025-12-24 | Automatic Cross-chain Protocol Pausing with Real-time Conformance Checking
[IEEE] 2025-12-24 | Integrated Metrics for System Performance, Attributes, and Critical Threats for Resilience Analysis
[IEEE] 2025-12-24 | Fortifying the Metaverse: Security, Privacy, and Trust in In-Network Computing
[IEEE] 2025-12-24 | Design and Implementation of a Totem-Pole Power Factor Corrector
[IEEE] 2025-12-24 | Techno-Economic Evaluation and Optimal Sizing of an Islanded Hybrid Microgrid Using Various Dispatch Strategies: A Case Study on Sebira Island
[IEEE] 2025-12-24 | On-Site Electric Motor Health Monitoring: from Condition Assessment to Predictive Maintenance
[IEEE] 2025-12-24 | Miller Plateau Voltage Sensor Circuit Integrated Into Gate Driver IC for Physics-Based Load Current Estimation
[IEEE] 2025-12-24 | iCAST 2025 TOC
[IEEE] 2025-12-24 | Table of Contents
[IEEE] 2025-12-24 | 2025 27th International Conference on Business Informatics: CBI 2025
[IEEE] 2025-12-24 | BRAINS 2025 Cover Page
[IEEE] 2025-12-24 | Prediction Method and Analysis of Thermal Field in Nanocrystalline Core High-Frequency Transformer Considering Leakage Flux Induced Power Loss
[IEEE] 2025-12-24 | FedShift: Robust Federated Learning Aggregation Scheme in Resource Constrained Environment via Weight Shifting
[IEEE] 2025-12-24 | From Bricks to Blocks: Designing a framework for the tokenization of real estate for DeFi
[IEEE] 2025-12-24 | Substructure-Aware Graph Representation Learning via Adaptive Node Absorbing
[IEEE] 2025-12-24 | Hierarchical Multi-Stage Framework for Robust and Explainable Tomato Leaf Disease Identification
[IEEE] 2025-12-24 | Enhanced Mamba Algorithm for ISI Cancellation in MIMO-FTN-OWC Systems
[IEEE] 2025-12-24 | Optimized Predictive Control Applied to Three-Phase Four-Wire Shunt Active Power Filters
[IEEE] 2025-12-24 | Strategies for Noise-Resilient Quantum Approximate Optimization Algorithms: A Review and Classification of Error Mitigation
[IEEE] 2025-12-24 | Adaptive and Robust DBSCAN With Multi-Agent Reinforcement Learning
[IEEE] 2025-12-24 | Physics-Informed LSTM Network for Integrated State Estimation and Motion Control of Autonomous Vehicles
[IEEE] 2025-12-24 | Global Adaptive Optimization of System Maintenance: An Interval-Constraint-Free Iteration Approach
[IEEE] 2025-12-24 | Equivalent Consumption Minimization Strategy for UAV Hybrid Energy System Under Fuel Cell Fault Conditions
[IEEE] 2025-12-24 | Generalized open-circuit fault detection and diagnosis algorithms for star-connected multiphase permanent magnet synchronous machine drives
[IEEE] 2025-12-24 | Vector Magnetic Field Detection of Microparticles Using Differential Dual-Pump Magnetometer
[IEEE] 2025-12-24 | Technical Theme Topics
[IEEE] 2025-12-24 | EMC SPOTLIGHT: A Heartfelt Farewell and a Warm Welcome
[IEEE] 2025-12-24 | A Real-Time Markerless Approach for 3D Pose Estimation of Laparoscopic Instruments in Surgical Training Simulators
[IEEE] 2025-12-24 | Empowering AI-Native 6G Wireless Networks With Quantum Federated Learning
[IEEE] 2025-12-24 | Enhanced Geometry and Semantics for Camera-based 3D Semantic Scene Completion
[IEEE] 2025-12-24 | A Novel and Robust Lightweight Deep Learning Framework for Bearing Fault Detection in Diverse Environments: Comprehensive Evaluation, Comparison Study, and Experimental Verification
[IEEE] 2025-12-24 | Direct Estimation of Eigenvalues of Large Dimensional Precision Matrix_supp1-3647215.pdf
[IEEE] 2025-12-24 | A Multiphysics Approach Based on Using Thermal, Mechanical, and Acoustic Measurements in Milling of SKD11 Carbon Steel
[IEEE] 2025-12-24 | Estimating Green Hydrogen Injection Capacity in Gas Networks: A Cyber-Physical Mechatronic Approach Using Iterative Simulation
[IEEE] 2025-12-24 | From Soup to Bricks: Fast Clustering of Fine-Grained AMR Hierarchies for Rendering on GPUs
[IEEE] 2025-12-24 | Path Planning Method for UAV Swarms Based on MADDPG
[IEEE] 2025-12-24 | fNIRS Task Classification Based on Multi-Scale Fused Features*
[IEEE] 2025-12-24 | Design of K210 Visual Intelligent Vehicle Sorting and Palletizing System for Small-Scale Warehousing Scenarios
[ACM] 2025-12-24 | Leveraging LLMs for Automated Translation of Legacy Code: A Case Study on PL/SQL to Java Transformation
[ACM] 2025-12-24 | A Study on Mixup-Inspired Augmentation Methods for Software Vulnerability Detection
[ACM] 2025-12-24 | Proceedings of the IEEE/ACM 12th International Conference on Big Data Computing, Applications and Technologies
[IEEE] 2025-12-24 | Robust and Fair Federated Learning Based on Model-Agnostic Shapley Value
[IEEE] 2025-12-24 | Unleashing the Potential of Tracklets for Unsupervised Video Person Re-Identification
[IEEE] 2025-12-24 | Large AI Model Driven Quantum-Enhanced Transformer-VQC Federated DRL for Privacy Preservation in Vehicular Networks
[IEEE] 2025-12-24 | A High-Efficiency, High-Gain, Non-Isolated Bidirectional DC-DC Converter for Interfacing DC Grid-Connected Energy Storage Systems
[IEEE] 2025-12-24 | Multimodal Collaborative Interactive Soft Fusion Network for RGB-Infrared Aerial image Object Detection
