[2026-07-01 11:55:30] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-30
正在获取论文...
[arXiv] 2026-06-30 | Symmetry energy of baryon- and neutron-rich nuclear matter
[NO] 74/200 | Seeing Through the Weights: Privacy Leakage in Scene Coordinate Regression
[NO] 75/200 | Contrastive Regularization of Machine Learning Potentials
[NO] 76/200 | Think in English, Answer in Korean: Efficient Adaptation of Multilingual Tool-Using Agents
[NO] 77/200 | Diophantine rank stability and non-vanishing of $L$-functions
[NO] 78/200 | Effects of confinement in a Brownian gas with simultaneous stochastic resetting and dynamically emergent correlations
[NO] 79/200 | PrISM-IQA: Image Quality Assessment Made Practical for Smartphone Photography
[NO] 80/200 | An Additive Reference Correction Scheme for the Transcorrelated Method
[NO] 81/200 | Stability of the Hydrogen Molecule and Related Issues
[NO] 82/200 | What Memory Do GUI Agents Really Need? From Passive Records to Active Task-Driving States
[NO] 83/200 | CLExEval: A Human-in-the-Loop Framework for Qualitative Evaluation of LLM Clinical Reasoning
[NO] 84/200 | Uncertainty Quantification via Invariant-Measure Conformal Prediction
[NO] 85/200 | Memory-Scalable and Hardware-Adaptive Matrix-Free Quantum Simulation
[NO] 86/200 | The Invariant Measure of Multiscale Markov Chains via Fast Arborescence Factorization
[NO] 87/200 | High-Confidence Minimax Testing with Prescribed Errors
[NO] 88/200 | Optimization of perturbation series in QCD for physical quantities using the renormalization group: necessary conditions and partial results
[NO] 89/200 | DPPE: Rethinking Camera-Based Positional Encoding for Scaling Multi-View Transformers
[NO] 90/200 | A Large-Scale Empirical Evaluation of MMAO Under Fair-Budget Continuous and Discrete Benchmarks
[NO] 91/200 | A logarithmic phase singularity at the heart of Landau-Zener transitions
[NO] 92/200 | Fast Risk Certification of Candidate Trajectories under Uncertain Time-Varying Constraints
[NO] 93/200 | Stabilization Learning: A Paradigm Transition Bridging Control Theory and Machine Learning
[NO] 94/200 | Directed Low Diameter Decomposition for Structured Digraphs
[NO] 95/200 | Floquet Majorana flat bands and emergent Cooper pair symmetries in $p-$wave magnet$-$superconductor heterostructure
[NO] 96/200 | Electron Densities of Typical Low-Mass Galaxies at z~2-7 from Stacked JWST/NIRSpec Spectra
[NO] 97/200 | Geometrically necessary boundaries accommodate the residual elastic strain in cold-rolled Fe-3%Si
[NO] 98/200 | PEERS: A Parallel and Exact Effective Resistance Solver via Implicit Inversion and Augmented Symbolic Analysis
[NO] 99/200 | Graph Scheduling with Group Completion Times
[NO] 100/200 | Tuning topological phase and Dirac point position via Pb and Sb substitution in Mn$_{1-x}$Pb$_{x}$(Bi$_{1-y}$Sb$_{y}$)$_{2}$Te$_{4}$
[NO] 101/200 | Towards Fine-grained Remote Sensing Image–Text Retrieval via Hierarchical Multi-granularity Alignment
[NO] 102/200 | HARV-SoC Evaluation on SmartFusion2 and PolarFire FPGAs Under Neutron and Proton Radiation
[NO] 103/200 | LLM-Inpainter: LLM-Adapted Feature Prediction with Fine-Grained Mask-Aware Reinforcement for High-Fidelity Face Image Inpainting_supp1-3703338.pdf
[NO] 104/200 | TLR: Codebase-Level C Memory Management Error Repair with Large Language Models
[NO] 105/200 | When Shared Worlds Break: Demystifying Defects in Multi-user Extended Reality Software Systems
[NO] 106/200 | pPatch: Automated Vulnerability Unpatching
[NO] 107/200 | Enhancing Web-Scale Processing with Graph Convolutional Neural Networks
[NO] 108/200 | Attention-Guided RoBERTa Framework for Intelligent Resume Screening Using Dynamic Skill Relevance Learning
[NO] 109/200 | Radar System for Vehicle Speed Detection and License Plate Recognition
[NO] 110/200 | Evaluation of College Students' Entrepreneurship Ability using an Improved Genetic Algorithm-Based Self-Attention Backpropagation Neural Network
[NO] 111/200 | DiabPredict: An Explainable and Deployment-Ready Machine Learning Framework for Early Diabetes Risk Assessment
[NO] 112/200 | Hybrid Recommendation Algorithm with Geometric Aware Mapping Function for Indoor Space Design
[NO] 113/200 | Intelligent Traffic-Flow Optimization and Congestion Management using Adaptive Cognitive Swarm Traffic Optimization Network (ACSTO-Net)-based Framework
[NO] 114/200 | AFR-MCSA-Net: Adaptive Freshness Refinement and Multi-Scale Contextual Spoilage Attention Network for Intelligent Fruit Freshness Classification
[NO] 115/200 | AFSSM-Net: An Adaptive Frequency Selective State-Space Network for Low-Light Image Enhancement
[NO] 116/200 | AI–6G Convergence: Architectures, Key Use Cases, and Challenges for Intelligent and Sustainable Networks
[NO] 117/200 | Artificial Intelligence Algorithm Optimization and Implementation of Multi-Source Radar Big Data Fusion
[NO] 118/200 | Quality Assessment of Track and Field Teaching Movements using Adaptive Biomechanical Graph Transformer and Explainable Dynamic Time Warping (ABGT-EDTW)
[NO] 119/200 | NEQRX: A Quantum Image Encryption and Reversible Data Hiding Scheme with Reduced Circuit Complexity_supp1-3707981.pdf
[NO] 120/200 | Parallel Louvain Algorithms with Convergence Guarantee
[NO] 121/200 | A Power Amplifier Employing Filter-Based Matching Networks for Enhanced Bandwidth and Efficiency
[NO] 122/200 | It Takes Two: Option-Aware Directed Greybox Fuzzing for Vulnerability PoC Generation
[NO] 123/200 | One Size Does Fit All: Exploring Model Fusion for Software Engineering Tasks
[NO] 124/200 | PoCGen: Generating Proof-of-Concept Exploits for Vulnerabilities in Npm Packages
[NO] 125/200 | FHECrafter: A Multi-Agent Framework for Automated Fully Homomorphic Encrypted Tensor Program Generation
[NO] 126/200 | Controlled Granularity Tuning for Log-Based Anomaly Detection in Converged HPC-Cloud Environments
[NO] 127/200 | Technical Program Committee
[YES] 128/200 | Secure 6G Edge Intelligence Using Federated Distillation: Compression-Resilient TinyML Under Non-IID Data for Industrial Cyber-Defence
[NO] 129/200 | Breast Cancer Lesion Classification Using Weighted Bag-of-Visual-Words and Ensemble Learning
[NO] 130/200 | Instruction Tuning via Hybrid Data Selection: A Framework for Balancing Quality and Semantic Diversity
[NO] 131/200 | Foreword
[NO] 132/200 | Dual-Mode Fault-Tolerant Control of n×3-phase Permanent Magnet Synchronous Motor Under Open-Phase Fault
[NO] 133/200 | Author Index
[NO] 134/200 | Trustworthiness Evaluation System for the Closed-Loop Application of Online Security and Stability Defense Decision-Making System
[NO] 135/200 | Prediction of Day-Ahead Wind Power Ramp Intervals Based on Validation-Calibrated Probabilistic Localization
[NO] 136/200 | Case Study of Decay-like Core Rod Failure of On-Site Interphase Spacers Used in 500 kV Overhead Power Transmission Lines
[NO] 137/200 | Power System Carbon Flow Tracing Based on Admittance Matrix
[NO] 138/200 | A Comprehensive Study on the Performance of DPWM in NPC Converter
[NO] 139/200 | Molecular Dynamics Simulation of the Interface Interaction Between Various Plant-based Ester Oils and Capacitor Insulating Films
[NO] 140/200 | A Multi-Machine Parallel Stability Enhancement Strategy for Grid-Forming Converters Based on a Hybrid of Grid Voltage Feedforward Control and Virtual Impedance Control
[NO] 141/200 | A High-Sensitivity Leakage Fault Detection Method for TN-C-S Systems Based on Active Sensing of Neutral Point Voltage
[NO] 142/200 | V
                    <sup>2</sup>
                    Control of Series-Capacitor Buck Converters
[NO] 143/200 | Machine-Learning-Based Prediction of Transient B-H Characteristics in Magnetic Cores
[NO] 144/200 | Comparative Performance Analysis of Fractional-Slot Nine-Phase and Three-Phase Motors Based on Winding Reconfiguration
[NO] 145/200 | Intelligent Evaluation Method for the Health Status of Dry-Type Air Core Reactor Based on Vibration Distribution Characteristics
[NO] 146/200 | Ground Fault Protection Scheme for Renewable Power Transmission Lines Based on Fault Characteristics of Inverter-Based Resources
[NO] 147/200 | Current Harmonic and Electromagnetic Force Characteristics of IPMSM under Various Load and Speed Conditions
[NO] 148/200 | Electrode Fracture Between Self-Healing Points in Metallized Film Capacitors: Experiments and Mechanistic Modeling
[NO] 149/200 | Wear Characteristics and Failure Mechanism of Electrical Connection Components in Converter Transformer Valve-Side Bushings
[NO] 150/200 | Hybrid Modulation Strategy for Excitation Converters in Doubly Fed Pumped Storage Systems
[NO] 151/200 | A Technology-Readiness Evaluation of Private Set Intersection
[NO] 152/200 | Multi Perspective Cross Attention Network for Group Activity Recognition
[NO] 153/200 | Artificial Intelligence for Efficient Real-Time Traffic Management in Smart Cities
[NO] 154/200 | Smart-Shoe Sensing and AI Imaging for Diabetic Foot Ulcers
[NO] 155/200 | SBFT Tool Competition 2026 – UAV Testing Track
[NO] 156/200 | A Constrained Dual Branch Neural Network with Feature Recursive Analysis for SoC estimation of Lithium Titanate Batteries
[NO] 157/200 | DC Breakdown Characteristics of Oil-Paper Insulation under Influence of Different Factors
[NO] 158/200 | The Construction of Characteristic Quality Regulation Knowledge Graph for Agricultural Products
[NO] 159/200 | Analyzing Linearizability in Relativistic Distributed Systems
[NO] 160/200 | DScale: a Simulation Framework for Large-Scale Distributed Systems
[NO] 161/200 | Reducing the TCB of SGX-Oriented LibOSes at Runtime
[NO] 162/200 | ProofFusion: Improving Neural Theorem Proving via Adaptive Retrieval-Augmented Reasoning
[NO] 163/200 | One Size Does Not Fit All: Revisiting Code Context Engineering for Repository-Level Code Generation
[NO] 164/200 | Towards Secure Logging: Characterizing and Benchmarking Logging Code Security Issues with LLMs
[NO] 165/200 | Validating LLM-Generated SQL Queries through Metamorphic Prompting
[NO] 166/200 | Distributionally Robust Co-Optimization of Computation and Energy for Data Center Microgrids Considering Service Degradation Risks
[NO] 167/200 | Improved Multi-Vector Model Predictive Control of DTP-PMSM Based on x-y Plane Closed-Loop Current Control
[NO] 168/200 | Analysis of Mutual Inductance Asymmetry and Winding Mode Selection for Multi-Unit Permanent Magnet Synchronous Motors
[NO] 169/200 | An Offset Current Compensation Strategy for Permanent Magnet Synchronous Motor System
[NO] 170/200 | Small-Signal Stability of PLL-Synchronized VSCs With Fast Inertia Control in Weak Grids
[NO] 171/200 | Research on Prediction Method of Air Compressor Startup Steps Based on CNN-Transformer Hybrid Model
[NO] 172/200 | Grid-Connection Characteristic Analysis and Stability Enhancement Strategy of VSCs Based on Hybrid Synchronization Control
[NO] 173/200 | Generator Assembly Process BOM Division Method Based on Correlation Degree Calculation
[NO] 174/200 | Data-Knowledge Joint Driven Recognition Model for Latent Faults of Medium Voltage Distribution Cables
[NO] 175/200 | A Robust Switch Fault Diagnosis Method for Cascaded H-Bridge Multilevel Inverters
[NO] 176/200 | A Multi-stage Active Gate Drive for SiC MOSFET based on dv/dt and di/dt Feedback Control
[NO] 177/200 | A Physics- Informed Neural Network Framework for State-of-Health Estimation of Lithium-Ion Batteries
[NO] 178/200 | Thrust Performance Optimization of Double-Secondary Moving Magnet Type Permanent Magnet Synchronous Linear Motor Based on RNS-BLS
[NO] 179/200 | Adaptive Grid-Following/Grid-Forming Switching Control Method In Flexible Interconnected Distribution Systems
[NO] 180/200 | Next-Gen Coops: Robotics on Poultry Welfare and Productivity
[NO] 181/200 | Deep Learning-Based Artificial Intelligence Approach for Identifying and Tracing the Source of Online Rumors—Using Social Media Commonly used by Young Students as a Sample
[NO] 182/200 | Reinforcement Learning: UCB based Adaptive Sampling Strategy for Physics Informed Neural Networks
[NO] 183/200 | IntelliMentor: An Integrated AI Tutor for Academic Performance and Emotional Well-Being
[NO] 184/200 | Harris Hawk Optimization and Deep Q-Leaning based Load Balancing Framework for Fog-Cloud Communication Systems
[NO] 185/200 | Optimizing Photovoltaic Power Generation: Fuzzy Logic-Based MPPT and Nanofluid Cooling Techniques
[NO] 186/200 | Comparative Evaluation of Phase-Disposition PWM Technique based Three Phase Modular Multilevel Converter Topology using 5,7 and 9-Level
[NO] 187/200 | An IoT- and AI-Enabled Architecture for Intelligent Transportation Systems
[NO] 188/200 | Investigation of Blockchain in Management: Jordan Project Management Practice as a Case study
[NO] 189/200 | Deep Learning-Based Satellite Fault Diagnosis Equipment Algorithm and System Implementation
[NO] 190/200 | Personalized Design of Cultural and Creative Products using Explainable Transformer - Driven Generative Recommendation
[NO] 191/200 | Meteorology- and Topography-Constrained Downscaling of Snow Cover Fraction Over the Tibetan Plateau_supp1-3699813.pptx
[NO] 192/200 | Table of Contents
[NO] 193/200 | Multirate Hearing Aid Signal Processing with Integrated Auditory Compensation Using Subband SNR Gated WDRC and Phase Coherent IIR Filterbanks
[NO] 194/200 | Assessing Skip-Tracing Information in Repossession Prediction Using Ensemble Learning and SHAP Analysis
[NO] 195/200 | AffectOmni: RL-Verifiable People-Centric Grounded Affective Reasoning for Social and Art-Related Scenes_supp1-3707634.pdf
[NO] 196/200 | Improved Strategy Gradient Algorithm for Optimizing Engineering Financial Portfolio Risk: Design based on Risk-Sensitive Reward Function
[NO] 197/200 | Performance Optimization and Stability Analysis of a DC-DC Boost Converter Using Classical PID Control Schemes
[NO] 198/200 | UVVs: Identifying Unchanged Vertex Values in Evolving Graphs via Intersection-Union Analysis
[NO] 199/200 | Synchronous Wind and Wave Retrieval from SWOT Based on Deep Learning
[NO] 200/200 | ART-VOD: Adaptive Relational Distillation and Temporal Modeling for Open-Vocabulary Video Object Detection
筛选完成：共 200 篇；Yes = 1 篇；已保存到 papers/select_paper2026-06-30.json。
邮件发送成功！
[2026-07-01 12:20:50] 任务执行成功！
