[2026-03-04 09:34:49] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-03-03
正在获取论文...
[arXiv] 2026-03-03 | Think, But Don't Overthink: Reproducing Recursive Language Models
[NO] 69/200 | The many boundaries of the stratified dark matter halo
[NO] 70/200 | Learning Memory-Enhanced Improvement Heuristics for Flexible Job Shop Scheduling
[NO] 71/200 | SPARC: Spatial-Aware Path Planning via Attentive Robot Communication
[NO] 72/200 | "It's Messy...But I Feel Balanced": Unpacking Flexible Workers' Rhythm-Making Practices Using an Asset-Based Approach
[NO] 73/200 | Spatiotemporal Optical Vortices From All-Dielectric Bilayer Metagratings
[NO] 74/200 | Identification of quantum generative circuits with parallel quantum neural network
[NO] 75/200 | A phase-field framework for anisotropic viscoelastic-viscoplastic fracture in short fiber-reinforced polymers in hygrothermal environments
[NO] 76/200 | A simple Path-based LP Relaxation for Directed Steiner Tree
[NO] 77/200 | Global Extremum Seeking With Double Integrators in the Presence of Local Extrema
[NO] 78/200 | Structure-Aware Text Recognition for Ancient Greek Critical Editions
[NO] 79/200 | HERB: a unified framework for the evaluation of Hydrogen Embrittlement mechanisms driven by the Rice-Beltz concept
[NO] 80/200 | Understanding the Resource Cost of Fully Homomorphic Encryption in Quantum Federated Learning
[NO] 81/200 | Guideline-Grounded Evidence Accumulation for High-Stakes Agent Verification
[NO] 82/200 | Contraction theory: Hausdorff--Riemann Measures as Set-Based Lyapunov Functions
[NO] 83/200 | Differentiable Time-Varying IIR Filtering for Real-Time Speech Denoising
[NO] 84/200 | From Heuristic Selection to Automated Algorithm Design: LLMs Benefit from Strong Priors
[NO] 85/200 | Packing arithmetic progressions
[YES] 86/200 | Scores Know Bobs Voice: Speaker Impersonation Attack
[NO] 87/200 | Agentic Self-Evolutionary Replanning for Embodied Navigation
[YES] 88/200 | Enhancing AAV-Enabled Secure Communications via Synthetic Aperture Beamforming
[NO] 89/200 | Local Relaxation Fast Poisson Methods on Hierarchical Meshes
[NO] 90/200 | Mathematical model of tumor-macrophage interactions: Elucidating the tumor-driven macrophage phenotype reprogramming
[NO] 91/200 | Generation of 12 dB squeezed light from a waveguide optical parametric amplifier using a machine-learning-controlled spatial light modulator
[NO] 92/200 | Geometric mechanisms enabling spin- and enantio-sensitive observables in one photon ionization of chiral molecules
[NO] 93/200 | Non-Volatile Vortex MTJs with Opto-Electrical and Spin-Diode Nonlinearities as Multifunctional Neuromorphic Platforms
[NO] 94/200 | TenExp: Mixture-of-Experts-Based Tensor Decomposition Structure Search Framework
[NO] 95/200 | Correction scheme for total energy obtained on fault-tolerant quantum computer via quantum dominant orbital selection and subspace dynamical correlation methods
[NO] 96/200 | Ensemble Forecasting of Power Quality Parameters
[NO] 97/200 | Neural quantum support vector data description for one-class classification
[NO] 98/200 | Addressing Missing and Noisy Modalities in One Solution: Unified Modality-Quality Framework for Low-quality Multimodal Data
[NO] 99/200 | ReCo-Diff: Residual-Conditioned Deterministic Sampling for Cold Diffusion in Sparse-View CT
[NO] 100/200 | Possible Enhancement of Superconductivity in Ambient-Pressure La$_3$Ni$_2$O$_7$ Thin Film
[NO] 101/200 | Filling the Gap: LLMs as Scaffolds for Competency Question Instantiation
[NO] 102/200 | SSWMNet: Solving the Speech Separation Problem While the Target is Wearing a Mask
[NO] 103/200 | RFID-Powered Smart Cart: Hassle-Free Shopping &amp; Instant Billing
[NO] 104/200 | Dark Pattern Detection on Web Page using DistilBERT
[NO] 105/200 | Document Tampering Location Method Based on Edge Feature Fusion
[NO] 106/200 | Staging Vision: Composing Coherent 3D Theater Scenes from Text through Hierarchical Synthesis
[NO] 107/200 | Intelligent Attack Detection Method for SoftwareDefined Networking
[NO] 108/200 | Impact of Adversarial Examples Generated by Randomized Gradient Direction Perturbations on Image Classification Models
[NO] 109/200 | Efficient Dynamic Spectrum Management in Cognitive Radio Networks Via Robust Multi Head Probsparse Self Deformed CNN with Snow Ablation Optimization
[NO] 110/200 | Surface damage detection for historic timber buildings based on CDAN model
[NO] 111/200 | Multi-scale Attention Residual Network for Kidney CT Image Classification
[NO] 112/200 | Design and Implementation of a Zynq-7020-Based Solar-Blind Ultraviolet Real-Time Color Image Transmission System
[NO] 113/200 | Vectorization and Parallel Computing Optimization for Circular SAR Back Projection Algorithm
[NO] 114/200 | A Systematic Review of Machine Learning-Based Infant Cry Signal Analysis
[NO] 115/200 | Enhancing Resume Screening with Multimodal Analysis using NLP, BERT and Social Media Sentiment Analysis
[NO] 116/200 | LSTM-Potential: An Efficient Reinforcement Learning PTA Step Size Policy for Circuit Simulation
[NO] 117/200 | BDAMEA 2025 Preface
[NO] 118/200 | Towards Robust and Efficient Continuous Face Authentication via Disentangled Representation Learning and Adaptive Identity Completion
[NO] 119/200 | Robust IoT Botnet Detection via Residual Graph Attention Networks and Gradient Boosting: A Topology-Aware Hybrid Framework
[NO] 120/200 | Process Development for Acoustic MEMS Resonator for RF Filter Applications
[NO] 121/200 | 12.9 A 10.2-to-16.2GHz Dual-Mode-Transformer-Based Wideband Series-Resonance VCO Achieving &gt;201.1dBc/Hz FoM
                    <sub>T</sub>
                    at a 10MHz Offset
[NO] 122/200 | Passivation Layer Thickness-Dependent Thermal Dissipation Properties of Source-Connected Field-Plated AlGaN/GaN HEMT
[NO] 123/200 | Smart Pillow for Sleep Management
[NO] 124/200 | Analyzing Capacitive Swipe Gesture towards User Identification
[NO] 125/200 | 15.6 A 36GB 3.3TB/S HBM4 DRAM with Per-Channel TSV RDQS Auto Calibration and Fully-Programmable MBIST
[NO] 126/200 | StyleAug: Style Augmentation for Multi-Agent Reinforcement Learning with Heterogeneous Observations
[NO] 127/200 | ISSCC 2026 ITPC AM (Americas) Regional Subcommittee
[NO] 128/200 | Attacks and Improvement of Aggregation Service for Federated Learning
[NO] 129/200 | Optimized Handwritten Digit Recognition Using Transfer Learning for Smart License Plate and Text Detection
[YES] 130/200 | Fully Integrated Mm-Scale 5G RF MIMO Harvester with −40dBm Sensitivity and Spatial MPPT via Hybrid Transformer-Based Combining/Shifting
[NO] 131/200 | A 16.4nJ/Class Patient-Independent Prototype-Based Spatio-Temporal CNN Processor with Forward-Inference-Based Adaptation for Robust and Low-Latency Seizure Detection
[NO] 132/200 | A Multi-Objective Optimization-Based Reinforcement Learning Framework for Intelligent Energy Storage System Scheduling
[NO] 133/200 | Low-Frequency Electric Field Communication System Based on Optomechanical Levitation
[YES] 134/200 | 20.5 A 24-to-27.5GHz Self-Adaptive Load-Modulated Balanced Amplifier for Integrated Communication, Sensing, and Power Transfer Scenarios
[NO] 135/200 | Research on Online Detection Method for Aging Status of Optocouplers on Circuit Boards
[NO] 136/200 | Multi-Fidelity Aerodynamic Data Fusion by Modeling Generalized Non-Stationary Multi-Output Gaussian Process
[NO] 137/200 | Efficient and Lightweight YOLOv8-based Models for Real-Time Building Surface Crack Detection and Segmentation
[NO] 138/200 | 8.2 A 32Gb/s 12.35Tb/s/mm
                    <sup>2</sup>
                    0.36pJ/b UCIe-Like Die-to-Die Interface Featuring Edge-Triggered Transceivers in 3nm with Active LSI Packaging
[NO] 139/200 | 2025 International Conference on Power Systems, Smart Grid, and Artificial Intelligence (PSGAI)
[NO] 140/200 | DGS based Wideband-Monopole Antenna For Wi-Fi and Sub-6 GHz Band Applications
[NO] 141/200 | A Local Voltage Stratified Control Strategy Based on the Selection of Sag Coefficients for Photovoltaic Storage Systems
[NO] 142/200 | A mm-Wave Wideband Tunable Electrical Balance Duplexer with an Integrated Low-Noise Amplifier in 22-nm CMOS FDSOI
[NO] 143/200 | Secure Edge Based Framework for Health Care Data
[NO] 144/200 | Forecasting in Complex Systems Using Causality-Integrated DMD Techniques
[NO] 145/200 | Demonstration of Reliable Operation of GaN-Based UV-A MSM Photodetector at Elevated Temperature
[NO] 146/200 | MoTeNet: Motion-Temporal Network for Dynamic Hand Gesture Recognition on Point Clouds
[NO] 147/200 | Efficient Facial Emotion Recognition Using Residual Squeeze-and-Excitation and Enhanced Inception Networks
[NO] 148/200 | Investigation of MAC Architectures Using Various Parallel Prefix Adders
[NO] 149/200 | A Lightweight Orbit Prediction Framework for Satellites Based on Mamba Model and Two Line Elements Data
[NO] 150/200 | Investigating Physical Consequences of Cyber-Attacks Using a Cyber-Physical Model of a Compressor Station
[NO] 151/200 | Table of Contents
[NO] 152/200 | Transient Overvoltage Suppression Method Based on Coordinated Reactive Power Control of Multi-type Converters
[NO] 153/200 | Images in Motion?: A First Look Into Video Leakage in Collaborative Deep Learning
[NO] 154/200 | Fault Type Inference for Transmission Lines via Cross-Attention Enhanced Multimodal Data Fusion
[NO] 155/200 | Comprehensive Characterization of Inkjet Printer Ag Film on Paper Substrate for Sensor Electrodes
[NO] 156/200 | Mixed phase lead-free hybrid halide perovskite-based optoelectronic devices
[NO] 157/200 | Session 14 Overview: Unusual Interconnects and Other Uses for Light
[NO] 158/200 | Research on Ship Energy Consumption and EEOI Optimization Based on a Combined Simulated Annealing and Particle Swarm Algorithm
[NO] 159/200 | Design of Eagle Shaped Microstrip Antenna for Next - Gen Wifi 6E Applications
[NO] 160/200 | Multi-Microgrid Hybrid Game-Based Optimization Scheduling Method Based on an Improved Particle Swarm Algorithm
[NO] 161/200 | IoT-Powered Surveillance: Intelligent Video Processing with Edge and Cloud Synergy
[NO] 162/200 | Detection of Blacktopped Counterfeit ICs Using Surface Texture Analysis
[NO] 163/200 | Hi-LSplat: Hierarchical 3D Language Gaussian Splatting
[NO] 164/200 | AIRPNet: Adaptive Image Restoration With Privacy Protection in Steganographic Domain
[NO] 165/200 | MVPC-CLIP: Multi-Granularity Visual Prompt Co-Operative for Aerial Video Recognition
[NO] 166/200 | A Robustness Indicator-Based Dual-Population Evolutionary Algorithm for Multimodal Multiobjective Optimization
[NO] 167/200 | CKADisor: Central Kernel-Aligned Distillation for Efficient Event-Driven Object Recognition
[NO] 168/200 | Experimental Characterization of SupraHarmonic Emissions in E14 and E27 LED Lamps
[NO] 169/200 | Lossless Dynamic Point Cloud Geometry Compression via Rate-Distortion Optimized Motion Estimation
[NO] 170/200 | Ambiguity Function Shaping for Weak Target Detection: A Joint Design Approach for Unimodular Waveform and Mismatched Filter
[NO] 171/200 | Double-clad Anti-resonant Hollow-core Fiber with Inner Cladding Tube Offset for Mode Tailoring
[NO] 172/200 | IEEE Photonics Technology Letters Information for Authors
[NO] 173/200 | IEEE Photonics Technology Letters Information for Authors
[NO] 174/200 | IEEE Open Access Publishing
[NO] 175/200 | Design of a 2/6-Pole Combined Pitch Wound Rotor Brushless Doubly-Fed Generator and its Comparative Study with an 8-Pole Doubly-Fed Induction Generator
[NO] 176/200 | Coded Computing Meets Differential Privacy: Privacy-Preserving and Straggler-Resilient Distributed Machine Learning
[NO] 177/200 | BEST: Blockchain-Enabled Sustainable Task Scheduling for Optimizing Large AI Model Workloads at the Edge
[NO] 178/200 | <i>fPIM</i>
                    : A Holistic Design to Optimize PIM Data Flow for High Execution Efficiency
[NO] 179/200 | A Valve-Less Electro-Hydrostatic Powered Prosthetic Foot to Improve the Power Efficiency During Walking_supp1-3668985.mp4
[NO] 180/200 | An Online Convolutional Neural Network Based Method for Open-Circuit Fault Diagnosis in Three-Phase Inverters Under Extremely Unbalanced Loading Condition
[NO] 181/200 | Evolving Intelligent Network Attack Classifier Under Label Distribution Shift
[NO] 182/200 | Robots for Older Adults: A Scoping Review
[NO] 183/200 | CodeVoyager: Integrating Interactive Visual Aids with LLMs for Code Comprehension
[NO] 184/200 | Evaluating Reinforcement Learning-Based Xapps for User-Centric Resource Allocation in Open RAN
[NO] 185/200 | Probed Measurement Techniques for 100 Gbit/s D-Band Wireless Link Experiments
[NO] 186/200 | WF-PVL Net: A Multi-Scale Recognition Algorithm for Full-Scene Defect Detection in Wind Farms
[NO] 187/200 | Design and Evaluation of Novel Flexible Photovoltaic Power Plants in Medium-to-Low Solar Resource Areas
[NO] 188/200 | A Developed Multilevel Power Converter with Reduced Switch Count
[NO] 189/200 | A Multi-Timescale Source-Grid-Load-Storage Cooperative Dispatch Strategy Considering Economy and Flexibility
[NO] 190/200 | A Study on Magnetic Interference of TEC Cooling System on Diamond Quantum Current Sensor
[NO] 191/200 | Identification of Lumbar Muscle Fatigue Status Using a Parallel Fusion Network Based on Time and Frequency Domain Features
[NO] 192/200 | ISNEET 2025 Cover Page
[NO] 193/200 | Design of a Microcontroller-Based Intelligent Detection and Cleaning System
[NO] 194/200 | Black Start and Parameter Design for Offshore Wind Power Series Hybrid Transmission Systems
[NO] 195/200 | IoT Intelligent Sensor Based Underwater Inspection Robot for Real Time Object Detection and Tracking
[NO] 196/200 | Research on Power Grid Technology for Oilfield Electrical Systems
[NO] 197/200 | Unified RF Rectifier-Demodulator for Energy Harvesting in Sub-GHz Wireless Implants
[NO] 198/200 | Design and Application of Solar-Powered Electric Buses
[NO] 199/200 | Leveraging Machine Learning and Big Data Analytics to Transform Service Delivery in Public Healthcare
[NO] 200/200 | A Comprehensive Evaluation Framework for the Study of the Effects of Facial Filters on Face Recognition Accuracy
筛选完成：共 200 篇；Yes = 4 篇；已保存到 papers/select_paper2026-03-03.json。
邮件发送成功！
[2026-03-04 10:01:10] 任务执行成功！
