[2026-02-20 09:35:10] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-02-19
正在获取论文...
[arXiv] 2026-02-19 | BadCLIP++: Stealthy and Persistent Backdoors in Multimodal Contrastive Learning
[NO] 81/200 | Reverso: Efficient Time Series Foundation Models for Zero-shot Forecasting
[NO] 82/200 | The eigenvalues of i.i.d. matrices are hyperuniform
[NO] 83/200 | Towards direct $L^2$-bounds for maximal partial sums of Walsh--Fourier series: The case of dyadic partial sums
[YES] 84/200 | Global Self-Attention with Exact Fourier Propagation for Phase-Only Far-Field Holography
[NO] 85/200 | Unmasking the Factual-Conceptual Gap in Persian Language Models
[NO] 86/200 | EDRP: Enhanced Dynamic Relay Point Protocol for Data Dissemination in Multi-hop Wireless IoT Networks
[NO] 87/200 | A Shadow Enhanced Greedy Quantum Eigensolver
[NO] 88/200 | Exploring Novel Data Storage Approaches for Large-Scale Numerical Weather Prediction
[NO] 89/200 | Adapting Actively on the Fly: Relevance-Guided Online Meta-Learning with Latent Concepts for Geospatial Discovery
[NO] 90/200 | MolHIT: Advancing Molecular-Graph Generation with Hierarchical Discrete Diffusion Models
[NO] 91/200 | Graph Neural Model Predictive Control for High-Dimensional Systems
[NO] 92/200 | Asymptotic Smoothing of the Lipschitz Loss Landscape in Overparameterized One-Hidden-Layer ReLU Networks
[NO] 93/200 | States that grow linearly in time, exceptional points, and zero norm states in the simple harmonic oscillator
[NO] 94/200 | Renormalization Group and String Loops
[NO] 95/200 | Non-BPS Monopoles and Dyons via Resurgent Transseries
[NO] 96/200 | Momentum Measurement of Charged Particles in FASER's Emulsion Detector at the LHC
[NO] 97/200 | Lecture Notes: Probing ultralight axion-like particles with quantum technology
[NO] 98/200 | Compact Representation of Particle-Collision Events for Physics-Informed Machine Learning
[NO] 99/200 | On the Linearization of Flat Multi-Input Systems via Prolongations
[NO] 100/200 | ODESteer: A Unified ODE-Based Steering Framework for LLM Alignment
[NO] 101/200 | 2025 8th International Conference on Emerging Technologies in Computer Engineering: Advances in Computing, Healthcare and Smart Systems (ICETCE)
[NO] 102/200 | HDTwin-E5G: AI-Driven Digital Twin and Hybrid Deep Learning Framework for Energy-Efficient 5G Networks
[NO] 103/200 | 2025 5th International Conference on Advancement in Electronics &amp;amp; Communication Engineering (AECE)
[NO] 104/200 | RSTR: An Efficient Detection Network with Cross-Attention Multiscale Feature Aggregation for Remote Sensing Applications
[NO] 105/200 | Chamelion: Reliable Change Detection for Long-Term LiDAR Mapping in Transient Environments_supp1-3665079.mp4
[NO] 106/200 | FLLM 2025 Commentary
[NO] 107/200 | AECE 2025 Conference Organisation
[NO] 108/200 | PP-RCR: A Position-Probability-Resource Cooperative Routing Algorithm for Air-to-Ground Integrated Mobile Ad Hoc Networks in Emergency Rescue Scenarios
[NO] 109/200 | The Medal Mysteries: Uncovering Olympic Predictions with a Dash of Data
[NO] 110/200 | Research on Virtual Simulation Application in Well-being Space Design in the Digital Intelligence Era
[NO] 111/200 | Last Words
[NO] 112/200 | Improved Dynamic Range Charge-Sensitive Amplifier
[NO] 113/200 | Comparison of Barrett Modular Reduction with Various Multipliers in the Context of BFV/BGV Homomorphic Encryption
[NO] 114/200 | Design and Development of a Post-Processing Automation System to Improve Quality Consistency in Additive Manufacturing
[NO] 115/200 | Automatic item generation for reading comprehension in Portuguese literature
[NO] 116/200 | Deep Learning Based Burned Wound Severity Prediction Multimodal
[YES] 117/200 | Secure HAPS Based FSO Communications Using Metamaterials
[NO] 118/200 | Opportunistic Resource Scheduling for Multibeam Satellite Communications
[NO] 119/200 | Federated Multi-source Domain Adaptation Through Optimal Transport
[NO] 120/200 | Multi - Sensor Based Knee Health Monitoring System
[NO] 121/200 | A Time-Domain Comparator-Based 10-Bit SAR-ADC Design for Photoplethysmogram Signal Recording using Skywater 130 nm and Open-Source Tools
[NO] 122/200 | Adaptive Q-Learning for Robust Navigation in Dynamic 2D Environments for Indian Warehouse Automation
[NO] 123/200 | A Capacitor-Less LDO with Enhanced Wide Band Power Supply Rejection for Voltage-Controlled Oscillator
[NO] 124/200 | Relevance-Guided Retrieval under Continually Expanding Knowledge Bases
[NO] 125/200 | Characterization of a 300 GHz Carrier Wave Using an On-Chip Silicon Electro-Optic-Modulation Comb
[NO] 126/200 | Implementation and Analysis of Mandarin Lipreading on Edge Devices
[NO] 127/200 | Cuffless Blood Pressure Estimation Using Wearable Devices Based on Attention Mechanisms and Synthetic Data From Generative Models
[NO] 128/200 | Channel-adaptive random access for LEO satellite communication
[NO] 129/200 | Quantum-Cryptography Embedded Fault-Tolerant Algorithm for High-Performance Cloud Supercomputing Systems
[NO] 130/200 | Leveraging Machine Learning for Early Detection of Depression Based on Social Media Behavior
[NO] 131/200 | Making Pose Representations More Expressive and Disentangled via Residual Vector Quantization
[NO] 132/200 | AI-Driven Simulation and Digital Twin Technologies for Smart Business Planning
[NO] 133/200 | A Multi-connectivity Scheme for Service Continuity Between Terrestrial and Non-Terrestrial Networks
[NO] 134/200 | Student Engagement Recognition Using a Hyena-Based Vision Transformer
[NO] 135/200 | Self Heating Aware Temperature Analysis of Hetero Dielectric Vertically Stacked FeFinFET for Digital Circuit Applications
[NO] 136/200 | Exponential Hybrid Gannet Bald Leader Optimization Based LeNet Enabled Human Behavior Analysis with Dermatoglyphics Fingerprint Pattern Classification
[NO] 137/200 | Multimodal Knowledge Tracing and Reinforcement Learning for English Learning System
[NO] 138/200 | Research on Digital Image Protection and AI-Enabled Living Intangible Cultural Heritage of the Jin-style filigree mosaic art based on Schema Theory
[YES] 139/200 | Superimposed Pilot based OTFS Channel Estimation for LEO Satellite Communication System
[NO] 140/200 | Robust Equivalent Transmit Beamforming Under Random Element Failures: A Stochastic Geometry Approach
[NO] 141/200 | An Area-Time Efficient and Generic Accelerator for the Verification of Hash-Based Signature Schemes
[NO] 142/200 | A Wide Bandwidth TIA with Low Power Consumption for PNN Prototyping
[NO] 143/200 | AI-Powered Internet of Things (IoT) for Next-Gen Innovations
[YES] 144/200 | Integrated Sensing and Communications (ISAC) for 6G: Foundations, Architectures, and Standards-Aligned Prototyping
[NO] 145/200 | ProdSI-ML: A Hybrid Data-Driven Framework for Product Sustainability Evaluation and Predictive Modeling in Consumer Electronics
[NO] 146/200 | A Ka-Band Variable-Gain Phase Shifter for 6G NTN with LEO Satellites
[NO] 147/200 | Multi-modal Causal RAG for Aviation Accident Analysis and Risk Prediction
[NO] 148/200 | Multidimensional Model for Measuring Knowledge Generation in Higher Education through Artificial Intelligence and Pedagogical Mediation
[NO] 149/200 | Deep Reinforcement Learning for Adaptive Bitrate Streaming over Wireless Networks: Advances, Challenges, and Open-Source Simulation
[NO] 150/200 | Research on the Melting Mechanism and Prevention Measures of PT High Voltage Fuses in 10∼35KV Distribution Networks
[NO] 151/200 | Integrated RTBH-RBS Model for Illegal Traffic Mitigation in Indonesia's Internet Exchange
[NO] 152/200 | A Comparative Study of ETS and ARIMA Algorithms for Forecasting Indonesia's Rice Export and Import
[NO] 153/200 | GestOS: Advanced Hand Gesture Interpretation via Large Language Models to control Any Type of Robot
[YES] 154/200 | Active RIS-aided NOMA-ISAC Network Architecture for LEO Satellite Communications
[NO] 155/200 | Design and Implementation of an Inline Array Architecture for Variational Autoencoders Accelerator
[NO] 156/200 | Multi-Objective Optimization of Fractional Order Controllers for Three Area Load Frequency Regulation
[NO] 157/200 | Chaotic Enhancement via LE-guided Quantum XYZ Rotational Encoding and Amplitude-Scaled
[NO] 158/200 | A Behavior-Aware Identity and Access Monitoring Framework for Securing Outsourced Data in Cloud Environments
[NO] 159/200 | LSTM-Based Destination Prediction Method Using Location Information and Temporal Characteristics
[NO] 160/200 | Counsel - An Artificial Intelligence Powered SaaS for Legal Professionals
[NO] 161/200 | Impact of Metal Oxide Varistor on the Occurrence of Ferroresonance Oscillations in Transformers
[NO] 162/200 | Design and Simulation of a Compact UHF Antenna for CubeSat Applications
[NO] 163/200 | Energy-Efficient ReRAM-Based In-Memory Computing with Dual SNN/ANN Modes
[NO] 164/200 | Energy-Efficient Hybrid Clustering for Wireless Rechargeable Sensor Networks: A Machine Learning Approach Using K-Means and Gaussian Mixture Models
[NO] 165/200 | Seeing the Future (Phase I): AI-Based Measurement Prediction for Reliable High-Capacity Vehicular Connectivity in Road-Embedded Mobile Networks
[NO] 166/200 | Scaled Reflection Cross-Section/ISAR Measurement using Photonic IC
[NO] 167/200 | Comparative Analysis of Different Deepfake Video Detectors
[NO] 168/200 | Distance-Aware Single-Stage Detectors: Combining Detection with Object-Specific Distance Estimation
[NO] 169/200 | Design and Construction of a Fall-Mitigation Device for the Elderly
[NO] 170/200 | Stereo Vision-Based Skeleton Pose Estimation with Proximity Index for Environment
[NO] 171/200 | Design and Implementation of a Multi-Sensor MEMS-Based Flight Data Monitoring and Tracking System Using Hybrid Communication Networks
[NO] 172/200 | VALID-Mol: A Systematic Framework for Validated LLM-Assisted Molecular Design
[NO] 173/200 | Integration of IV Characteristic Spectrum and Infrared Thermal Imaging for Crack Fault Diagnosis in Photovoltaic Modules
[NO] 174/200 | Dual Point Control with Virtual Sensing Technique in Active Noise Control
[NO] 175/200 | Impact of Rainfall on the Wireless Transmission of Signals
[NO] 176/200 | Interpretable Detection of Encrypted Traffic Using SHAP-Based Feature Attribution
[NO] 177/200 | Drug Dosage of Immune System Using Reinforcement Learning
[NO] 178/200 | Revolutionizing the Electricity Sector with Innovative IoT Solutions
[NO] 179/200 | A 65nm 0.0736mm
                    <sup>2</sup>
                    /Pixel Simultaneous Energy-Harvesting-and-Sensing 2-by-2 Self-Powered CMOS Image Sensor Pixel Array Using Self-Oscillating Voltage Doubler for Thermal-Aware Zero-Stand-by-Power Imaging
[NO] 180/200 | Single—Channel EEG Signal Based Emotion Recognition System Using Quantum Local Binary Pattern
[NO] 181/200 | Research on Power Grid Data Governance Technology Based on Artificial Intelligence Algorithms
[NO] 182/200 | Innovative Fusion of Blind Chromophore Separation, Artificial Intelligence and Grabcut Algorithm for Skin Disease prediction
[NO] 183/200 | TabBoost: Combining Tree-Based and Attention-Based Models for Lifestyle Prediction
[NO] 184/200 | Hierarchical Progressive Fusion: A Complexity-Aware Multimodal Integration Framework for Visual Question Answering
[YES] 185/200 | Hydra Radio Access Network (Hydra-RAN): Multi-Functional Communications and Sensing Networks with Hydra Distributed Unit (H-DU) Scalability Optimization
[NO] 186/200 | Performance Evaluation and Optimization of the Sampling Process of an Neuropredictive SAR ADC
[NO] 187/200 | Embedded System Design for Heart Condition Identification Based on Signal Characteristics
[NO] 188/200 | Implementation of Weighted Moving Average Method for Raw Material Forecasting in Cafe Management System
[NO] 189/200 | Fast Tunable InP-LNOI DBR Laser at 1550nm
[NO] 190/200 | A 0.01 mm
                    <sup>2</sup>
                    RC-Filter-Based Temperature Sensor with Phase-Domain DSM Readout Achieving 232fJ.K
                    <sup>2</sup>
                    Resolution FoM
[NO] 191/200 | Vision Transformer for Sequence-to-Action Networks in Autonomous Driving Control
[NO] 192/200 | A Privacy-Preserving and Amount-Flexible Multi-Hop Payment Protocol for Autonomous IoT Resource Scheduling
[NO] 193/200 | A Low-Power PLL with Supply Noise Insensitive VCO in 65nm CMOS
[NO] 194/200 | Enhanced Financial Inclusion with Boosting-Tree Transfer Learning
[YES] 195/200 | Towards Accurate Wi-Fi 6E-based Liquid Sensing in a Static Environment
[NO] 196/200 | Hybrid Dysgraphia Detection Using Transfer Learning and Handcrafted Features
[NO] 197/200 | Cognitive Response Prediction System for Universal XR Metaverse Games
[NO] 198/200 | A general model for sustainable vehicle fleets battery capacity optimization: Case study on the Italian Fire and Rescue Service Fleet
[NO] 199/200 | A Domain-Specific Framework for Priority-Based Modeling and Optimization of Non-Functional Requirements Beyond Binary Constraints
[NO] 200/200 | CRBP: A Benchmark Dataset of Color-Rendered 3-D-to-2.5-D Facial Projections_supp1-3624674.pdf
筛选完成：共 200 篇；Yes = 9 篇；已保存到 papers/select_paper2026-02-19.json。
邮件发送成功！
[2026-02-20 10:02:34] 任务执行成功！
