[2026-02-13 09:37:54] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-02-12
正在获取论文...
[arXiv] 2026-02-12 | PLOT-CT: Pre-log Voronoi Decomposition Assisted Generation for Low-dose CT Reconstruction
[NO] 78/200 | Incentive Effects of a Cut-Off Score: Optimal Contest Design with Transparent Pre-Selection
[NO] 79/200 | Echo: Towards Advanced Audio Comprehension via Audio-Interleaved Reasoning
[NO] 80/200 | The total geodesic curvature and the $(2+1)$-dimensional hyperbolic mass
[NO] 81/200 | Musical Metamerism with Time--Frequency Scattering
[YES] 82/200 | Is Downlink Training Necessary for User-Centric Cell-Free RSMA Systems With Mobile Users?
[NO] 83/200 | Global Multiplicity and Comparison Principles for Singular Problems driven by Mixed Local-Nonlocal Operators
[NO] 84/200 | Where Bits Matter in World Model Planning: A Paired Mixed-Bit Study for Efficient Spatial Reasoning
[NO] 85/200 | Hi-SAM: A Hierarchical Structure-Aware Multi-modal Framework for Large-Scale Recommendation
[NO] 86/200 | Latent-Variable Learning of SPDEs via Wiener Chaos
[NO] 87/200 | Gray Codes With Constant Delay and Constant Auxiliary Space
[NO] 88/200 | Decentralized Non-convex Stochastic Optimization with Heterogeneous Variance
[NO] 89/200 | FlowMind: Execute-Summarize for Structured Workflow Generation from LLM Reasoning
[NO] 90/200 | RELATE: A Reinforcement Learning-Enhanced LLM Framework for Advertising Text Generation
[NO] 91/200 | Population synthesis predictions of the Galactic compact binary gravitational wave foreground detectable by LISA
[NO] 92/200 | MiniCPM-SALA: Hybridizing Sparse and Linear Attention for Efficient Long-Context Modeling
[NO] 93/200 | HAIC: Humanoid Agile Object Interaction Control via Dynamics-Aware World Model
[NO] 94/200 | Evolution of submillimeter galaxies across cosmic-web environments
[NO] 95/200 | AC-MASAC: An Attentive Curriculum Learning Framework for Heterogeneous UAV Swarm Coordination
[NO] 96/200 | Achieving EF1 and Epistemic EFX Guarantees Simultaneously
[NO] 97/200 | STVG-R1: Incentivizing Instance-Level Reasoning and Grounding in Videos via Reinforcement Learning
[NO] 98/200 | Dopamine: Brain Modes, Not Brains
[NO] 99/200 | A blow-up approach for a priori bounds in semilinear planar elliptic systems: the Brezis-Merle critical case
[NO] 100/200 | Systematic Trend-Following with Adaptive Portfolio Construction: Enhancing Risk-Adjusted Alpha in Cryptocurrency Markets
[NO] 101/200 | Evaluating Assessment Practices in Team-Based Computing Capstone Projects
[NO] 102/200 | mtGEMM: An Efficient GEMM Library for Modern Multi-Core DSPs
[NO] 103/200 | GIS Surface Discharge and Metal Particle Size Identification Based on Silicon Photomultiplier and Lightweight CNN
[NO] 104/200 | Ride Comfort Improvement Through Preview Active Suspension Control With Speed Planning
[NO] 105/200 | DreamBarbie: Text to Barbie-Style 3D Avatars_supp2-3663253.pdf
[NO] 106/200 | STMWF: Multi-tab Website Fingerprinting via Spatial-Temporal Sequence Analysis
[NO] 107/200 | Differentiable Grouped Feedback Delay Networks for Learning Coupled Volume Acoustics_supp3-3663925.mp4
[NO] 108/200 | EMI Reduction Method for Wireless Power Transfer Using Broadband Topology and Spread-Spectrum Frequency Modulation
[NO] 109/200 | SFCF-Net:ACross-hierarchical Progressive Feature Integration Network for UAV Image Change Detection
[NO] 110/200 | An extensible framework for urban mobility digital shadows
[NO] 111/200 | Front Cover
[NO] 112/200 | Position Sensorless Control of SRMs Based on Neural Network Nonlinear Modeling Using Improved Coyote Optimization Algorithm
[NO] 113/200 | Adaptive Shared Cascade Navigation Control of Magnetic Microrobots in Unstructured Dynamic Environments_supp6-3658831.pdf
[NO] 114/200 | An Empirical Exploration Of Collaborative Performance In Engineering Learning Contexts_supp1-3663552.pdf
[NO] 115/200 | ATTE: An Innovative Ensemble Learning Method With Age-Group-Guided Fine-Tuning for Improving Personalized Blood Pressure Estimation_supp1-3655736.pdf
[NO] 116/200 | A Consumption-Generation Driven Deep Embedding Framework for Next Activity Prediction
[NO] 117/200 | A Climate-Aware Modeling Framework for Reliable IoT Connectivity: Environmental Effects on LoRaWAN Signal-to-Noise Ratio
[YES] 118/200 | Joint Jamming and Transmission Rate Optimization for Multi-jammer Assisted UAV Covert Communications with Imperfect CSI
[NO] 119/200 | Vision Transformer-Based Swin Transformer for Automated Diabetic Retinopathy Severity Detection and Classification
[NO] 120/200 | Design and Implementation of a Trust-Based Peer-to-Peer Lending Platform for Hyperlocal Academic Communities
[NO] 121/200 | Ranking-Aware Predictor-Assisted Automatic Architecture Design for Biomedical Image Segmentation
[NO] 122/200 | AI-Generated Content and Its Influence on Consumer Trust and Purchase Behaviour: Evidence from Bangladesh’s E-Commerce Industry
[NO] 123/200 | LLM-Guided Multimodal Scene Captioning via Prompt-Based Fusion of Visual and Auditory Descriptions
[NO] 124/200 | FusionNet+: A Multi-Modal Deep Ensemble Architecture for Predicting Natural Disaster Severity and Economic Loss
[NO] 125/200 | Deep Reinforcement Learning-based Mobile Ad Hoc Network for Secure and Dynamic Routing through Cryptographic Assurance
[NO] 126/200 | Early Detection of Myocardial Infarction using Advanced AI Techniques
[NO] 127/200 | Lip-Sync Analyzer for Deepfake Detection and Peeking Behind the Black Box with Explainable AI
[NO] 128/200 | Early Detection of Cardiovascular Diseases Using Self-Supervised Learning on Echocardiography Images
[NO] 129/200 | Design and Analysis of MoS
                    <sub>2</sub>
                    /Zn
                    <sub>1-x</sub>
                    Mg
                    <sub>x</sub>
                    O-based Asymmetric Quantum Well Heterostructure for Terahertz Detection
[NO] 130/200 | IoT-Based Continuous Mental Health Monitoring System for Schizophrenia Patients
[NO] 131/200 | Exploring the Therapeutic Potential of Aloe vera extracted compounds Against NSCLC: A Molecular Docking and Dynamic Simulation Study
[NO] 132/200 | Electro-Thermal Simulation and Analysis of a Semiconductor Device Using Bipolar Junction Transistor
[NO] 133/200 | Evaluating the Efficacy of Explainable Machine Learning Algorithms for the Detection and Classification of Network Intrusions
[NO] 134/200 | Predictive Modeling of Credit Risk in Banking Systems Using a Hybrid SVM–Random Forest Approach
[NO] 135/200 | Enhancing Agri – Food Supply Chain Efficiency Through Cloud Computing Solutions
[NO] 136/200 | Explainable Fake News Detection: A Comparative Framework Using Classical, Deep, and Transformer Models
[NO] 137/200 | Machine Learning-Driven Early Warning System for Epidemic and Pandemic Outbreaks with Explainable AI
[NO] 138/200 | Deepfake Detection in MIS: Leveraging DenseNet and Multi-Scale Information for Enhanced Digital Forensics
[NO] 139/200 | Design and Development of an IoT-Based Poultry Integrated Aquaponics System: A Sustainable Solution
[NO] 140/200 | Integrate Blockchain and Federated Learning Approaches to Secure Multi-Cloud Data Exchange: An AI-Powered Trust Management System
[NO] 141/200 | LineCourier: A Semi-Autonomous Mobile Robot for Indoor Logistics
[NO] 142/200 | Optimized Path Estimation in TSP Using a Hybrid Genetic Algorithm and Ant Colony Optimization
[NO] 143/200 | An IoT Based Smart Hybrid Firefighting Robot with 360° Visual Intelligence for Industrial Safety Applications
[NO] 144/200 | Enhancing Question Answering System using Ensemble Learning Approach
[NO] 145/200 | Enhanced YOLOv5-Based Framework for Obstacle Detection, Depth Estimation, and Navigation Assistance for the Visually Impaired
[NO] 146/200 | FSG: A Conditional Generative Adversarial Network for Censoring-Aware Survival Prediction in Allogeneic Hematopoietic Cell Transplantation
[NO] 147/200 | Real-Time Anomaly Detection in Physiological Signals Using Deep Reinforcement Learning for Intelligent Healthcare Monitoring
[NO] 148/200 | IoT-Enabled Mobile Robot for Environmental Monitoring with Multi-Modal Communication
[NO] 149/200 | Design and Implementation of an Anthropomorphic Robotic Hand with Key Kinematic Properties of Human Hand_supp1-3663977.pdf
[NO] 150/200 | Decision letter for "Descriptor: Synthetic Person Information Dataset for Entity Resolution (SPIDER)"
[NO] 151/200 | SL0-Net: Fractal Dimension Guided Adaptive Compressed Sensing via Deep Unfolding with Measurement-Injection Cross Attention
[NO] 152/200 | ICN-enabled Internet of Robotic Things Data Routing and Access for Post-disaster Areas
[NO] 153/200 | RVH-Cover: A Resultant-Vector and Heap-Based WSN Coverage Optimization Algorithm
[NO] 154/200 | ADVersa: Abductive Driving Accident Video Understanding_supp1-3663545.pdf
[NO] 155/200 | Toward Autonomous Driving: Data-Model Integration for Trajectory Reconstruction and Driving Action Extraction
[NO] 156/200 | HarmonyCache: Scalable In-Network Cache With Read-Write Separation
[NO] 157/200 | Exploring Temporal and Manufacturer-Specific Trends of Automated Vehicle Crashes Using Sequence of Events
[NO] 158/200 | Gait-Adaptive Perceptive Humanoid Locomotion With Real-Time Under-Base Terrain Reconstruction
[NO] 159/200 | A Novel Digital Twin for Diesel Generator in Microgrids
[NO] 160/200 | Computing Edge
[NO] 161/200 | 2026 Grants for Emerging Technology Activities
[NO] 162/200 | Wideband Full-Polarization Reconfigurable Antenna for Intelligent IoT Applications
[NO] 163/200 | A Federated Learning Framework for Sustainable Boro Rice Yield Prediction Using Multi-Regional Agro-Climatic Data
[NO] 164/200 | Hierarchical Graph Convolutional Approach for Detecting Major Depressive Disorder from EEG Signals
[NO] 165/200 | An Efficient 32-Bit Carry Look Ahead Adder using PFAL for Low Power Circuits
[NO] 166/200 | The Journey from 4G to 6G: A Systematic Investigation of Wireless Networks Focusing on 6G
[NO] 167/200 | HLE-DLM: A Hybrid Legal-Empowerment Deep Learning Model for Evaluating Labour Law Implications on Transgender Persons After the Transgender Persons Act
[NO] 168/200 | Design and Performance Optimization of a Compact Microstrip Patch antenna for C-Band Applications
[NO] 169/200 | A Hybrid Region-based Data Acquisition Approach for Optimizing Energy Efficiency in UAV-Assisted Wireless Sensor Networks
[NO] 170/200 | SignNet-Nano: Efficient Sign Language Recognition for Real-Time Edge Deployment
[NO] 171/200 | An Efficient Machine Learning Technique for Anomaly Detection on Industrial Big Data
[NO] 172/200 | Ensemble Learning Approaches for Early and Accurate Detection of Alzheimer’s disease
[NO] 173/200 | Classification and Detection of ADHD using Deep Machine Learning Model
[NO] 174/200 | Advancements in Melanoma Detection: A Deep Learning Approach for Improved Diagnosis and Comparison with Human Performance
[NO] 175/200 | COMPAS 2025 Author Index
[NO] 176/200 | A TransLSTM-Based Approach to Employee Management and Human Resource Optimization
[NO] 177/200 | An Efficient GPS-Based Path Planning Method for Autonomous Tractor Navigation
[NO] 178/200 | Coarse Alignment Method Using Manifold Optimization for Sins on a Rocking Base
[NO] 179/200 | Adaptive Optimization of Deep Learning Models: Leveraging Hardware-Software Co-Design for Performance
[NO] 180/200 | Enhancing Wheat Disease Identification with Fine-Tuned EfficientNetB3 for Sustainable Crop Protection
[NO] 181/200 | Breast Cancer Detection In UltraSound Images Using DenseNet121 Model
[NO] 182/200 | Temporal Relational GNN for Coordinated Multi-Drone Surveillance
[NO] 183/200 | Deep Learning-Based Non-Traditional Method for Multi-Focus Image Fusion in Surveillance Systems
[NO] 184/200 | An Attention-Optimized Enhanced YOLOv11 Architecture for Real-Time Breast Cancer Detection
[NO] 185/200 | Assessment of Machine Learning-Based Diagnostic Models for Autism Spectrum Disorder
[NO] 186/200 | An Efficient Video Compression and Encoding Approach for Wireless Communication System
[NO] 187/200 | Enhancing Breast Cancer Detection Using SVM and Explainable AI
[NO] 188/200 | A Hybrid Deep Learning Approach for Detecting Suspicious Activities in Video Surveillance
[NO] 189/200 | Cross-Dataset Generalizable Paddy Leaf Disease Detection via ViT–CNN Fusion and Domain-Specific Preprocessing
[NO] 190/200 | Rule-Based Protein Classification through Multi-Phase Feature Extraction Technique_supp1-3663211.pdf
[NO] 191/200 | InSAR Phase Errors due to Range Misregistrations
[YES] 192/200 | Guest Editorial: Special Issue on Recent Advances in Integrated Sensing and Communications—Part II
[NO] 193/200 | Masthead
[NO] 194/200 | Opportunistic Gossip Learning-Aided Collaborative Physical Layer Authentication for Internet of Vehicles
[NO] 195/200 | Asymmetric Co-Training With Decoder–Head Decoupling for Semi-Supervised Medical Image Segmentation
[NO] 196/200 | On the Application of the IEC 60034-2-1 Standard to Line-Start Synchronous Reluctance Motors
[NO] 197/200 | Integrated Dynamic Routing and Off-Block Optimization Based on Taxiing Route Impedance for Airport Surface Operations
[NO] 198/200 | GOTA-NU: Global Task Allocation with Non-deterministic Tasks and Unknown Users to Enhance Freeway Traffic Accident Detection
[NO] 199/200 | Cost-effective Parallel Cooperative Charging Scheduling for UAVs
[NO] 200/200 | Multi-AAVs Collision-Free Flocking and Navigation in Dynamic Environments
筛选完成：共 200 篇；Yes = 4 篇；已保存到 papers/select_paper2026-02-12.json。
邮件发送成功！
[2026-02-13 10:13:08] 任务执行成功！
