[2026-04-21 10:15:33] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-20
正在获取论文...
[arXiv] 2026-04-20 | Dust characterization of halos -- The extended emission in protoplanetary disks
[NO] 73/200 | One-Step Diffusion with Inverse Residual Fields for Unsupervised Industrial Anomaly Detection
[NO] 74/200 | Order Dependence in Regression by Composition: Discussion on "Regression by Composition'' by Farewell, Daniel, Stensrud, and Huitfeldt
[NO] 75/200 | NEMO: Neural Electro-Mechano-Optic Sensors for Multiplexed Neural Interfaces
[NO] 76/200 | The implicated scientist: on the role of AI researchers in the development of weapons systems
[NO] 77/200 | EAST: Early Action Prediction Sampling Strategy with Token Masking
[NO] 78/200 | Effect Sizes in Marketing Research: Why Cohen's Local f^2 Belongs in the Toolkit
[NO] 79/200 | Multilingual Training and Evaluation Resources for Vision-Language Models
[NO] 80/200 | One Pass for All: A Discrete Diffusion Model for Knowledge Graph Triple Set Prediction
[NO] 81/200 | Thermodiffusion in Aqueous Alkali Halide Solutions from Ambient to Supercooled Conditions: Ion-Specific, Structural, and Mass Effects
[NO] 82/200 | Factor-Augmented Panel Regressions and Variance-Weighted Treatment Effects
[NO] 83/200 | Metal Atom (Dis)Order and Superconductivity in YCaH$_{n}$ ($n=8-20$) High-Pressure Superhydrides
[NO] 84/200 | Towards Real-Time ECG and EMG Modeling on $μ$ NPUs
[NO] 85/200 | Information decomposition for disentangled and interpretable manifold learning of fluid flows via variational autoencoders
[NO] 86/200 | Efficient Bayesian inference for non-linear association structures in joint models: A hierarchical approach via INLA
[NO] 87/200 | ExAI5G: A Logic-Based Explainable AI Framework for Intrusion Detection in 5G Networks
[NO] 88/200 | A Bayesian framework with adaptive elastic nets for the inference of Gaussian graphical models
[NO] 89/200 | HolmeSketcher: Generative 3D Sketch Mapping for Spatial Reconstruction in Crime Scene Investigation
[NO] 90/200 | Matrix-Free 3D SIMP Topology Optimization with Fused Gather-GEMM-Scatter Kernels
[NO] 91/200 | Jet Quenching in the Smallest Hadronic Collision Systems
[NO] 92/200 | Multi-stream Quickest Change Detection: Foundations and Recent Advances
[NO] 93/200 | AIT Academy: Cultivating the Complete Agent with a Confucian Three-Domain Curriculum
[NO] 94/200 | Employing General-Purpose and Biomedical Large Language Models with Advanced Prompt Engineering for Pharmacoepidemiologic Study Design
[NO] 95/200 | Mitigating Multimodal Hallucination via Phase-wise Self-reward
[NO] 96/200 | Efficiently emulating distribution functions in gigaparsec volumes for varying cosmological parameters
[NO] 97/200 | DifFoundMAD: Foundation Models meet Differential Morphing Attack Detection
[NO] 98/200 | Process Reward Models Meet Planning: Generating Precise and Scalable Datasets for Step-Level Rewards
[NO] 99/200 | Advances in photocathode development for PICOSEC Micromegas precise-timing detectors
[NO] 100/200 | QCD, electroweak physics, and searches for exotic signatures in the forward region at LHCb
[NO] 101/200 | A Study on the Correlation between Cognitive Load Theory and APP Interface Icon Design: A Case Study of XX App
[NO] 102/200 | A Study on the Information Visualization Design of Zhuang “Momie” from the Perspective of Gestalt Visual Perception Principles
[NO] 103/200 | Balancing Comfort and Growth: A Dual-Mode Theory of Human-AI Development
[NO] 104/200 | Routing Multipath for Multiple Objects by Utilizing Genetic Algorithm
[NO] 105/200 | A Single-Layer Wideband CP Filtering Reflectarray With Wide Out-of-Band Rejection via Intrinsic Orthogonality of CMs
[NO] 106/200 | Collaborative Neural Networks significantly Improve Global Aerosol Retrievals From Multi-Angle Polarimeters
[NO] 107/200 | 70 Years of the IEEE Transactions on Engineering Management: Trends and Patterns in Scholarly Publishing
[NO] 108/200 | A SAC-GHULSTM Algorithm for Consumer Robot Navigation in Complex Indoor Environments with Progressive Training
[NO] 109/200 | Techno-Economic Analysis of a Diesel-Windphotovoltaic Hybrid System With Battery Storage for an Off-Grid Household on Amantani Island, Peru
[NO] 110/200 | Early Nutrient Deficiency Detection in Hydroponic Lettuce Via CNN-Based Image Analysis
[NO] 111/200 | Copyright Page
[NO] 112/200 | Data Science in Education: Analyzing and Mitigating Bias from an Intersectional Perspective
[NO] 113/200 | Bal-DGCN: A Hardware Acceleration Framework for Balanced Computational Efficiency in Dynamic Graph Convolutional Networks (DGCNs)
[NO] 114/200 | Decentralized Federated Learning with Period Gradient Tracking over Time-Varying Networks
[NO] 115/200 | Semantic-Aware Behavior Optimization With Safety Reinforcement Feedback for Language-Conditioned Manipulation
[NO] 116/200 | Learning Monocular Depth via Cascaded Iterative Refinement in Visual-Echo Scenes
[NO] 117/200 | OREO: Open RAN Energy Optimisation via Deep Reinforcement Learning for 6G Networks
[NO] 118/200 | Einstein from Noise: Statistical Analysis
[YES] 119/200 | Bayesian Learning Aided Doubly-Selective Simultaneous Sparse CSI Estimation in Multi-User MIMO Systems Relying on Orthogonal Time Frequency Space Modulation
[NO] 120/200 | Map-Based Indoor Localization Framework Under Constraint Radio Channel Resource
[NO] 121/200 | Event-Driven Acoustic Event Detection Using Spiking Neural Networks for Edge Sensor Nodes
[YES] 122/200 | Neural Demodulation for Anti-Eavesdropping Embedded Waveforms in IoT Networks
[NO] 123/200 | Buffer Management for Timely Reconstruction: Lower Bounds and Near-Optimal Policies_supp1-3684353.pdf
[NO] 124/200 | Translating Community-Specific Factors into Engineering Solutions: An HCD Framework for Rural Technology Adoption
[NO] 125/200 | A Framework for Measuring Trust as a Software Architecture Quality Attribute
[NO] 126/200 | Graph Neural Network-Enhanced Multi-Objective Scheduling and Offloading for Hybrid Applications in Edge-Cloud Networks
[NO] 127/200 | Towards AI-Native Ultra-Dense Networks: Cell Association via Multi-View Sensing
[NO] 128/200 | Nightlights for Older Adults: Enhancing Bedroom-to-Bathroom Transitions With Community Resident Feedback
[NO] 129/200 | CaptionPS: Benchmarking and Analyzing Worker-Centric Detailed Image Captioning in Power Scenarios
[NO] 130/200 | Multi-Cycle Optimal Trajectory Control (OTC) with ZVS for LCC Converters Under Wide Range Load Transition
[NO] 131/200 | Accelerated Transfer-Entropy-Weighted ADMM for Learning Causal Directed Acyclic Graphs
[NO] 132/200 | Editor Preface
[NO] 133/200 | Calculation of the Impact of Overvoltage Transients in Hydroelectric Plants and the Electric Power Industry
[NO] 134/200 | DT-Empowered, Social-Aware Service Provisioning in Edge Computing
[NO] 135/200 | Monolithic 3-D Integration of IAZO/Si-based 2T0C DRAM with RRAM for Monte Carlo Dropconnect Neural Networks
[NO] 136/200 | On the Systematic Design Framework for Intuitive Interfaces in Telerobotic Operations: A Case Study in Surgical Robotics_supp1-3684095.docx
[NO] 137/200 | Dual-timescale Joint Optimization for Dynamic Edge Service Deployment and Task Scheduling in Space-air-ground Integrated Networks
[NO] 138/200 | Semantic Segmentation for Pest Detection on Organic Banana Leaves
[NO] 139/200 | Improving the Small Object Detection Algorithm for UAV Aerial Images Based on Yolov12n
[NO] 140/200 | Research on an Improved SimpleNet-Based Algorithm for Detecting Surface Defects in High-Voltage Equipment on Train Roofs
[NO] 141/200 | Remote Monitoring, Control, and Update Triggering Via LoRaWAN in an Edge-Based Vehicle Counting System
[NO] 142/200 | Multi-Objective Optimization and Finite Element-Based Verification of High-Frequency Solid-State Transformer for Multi-Port Smart Grid Applications
[NO] 143/200 | Unsupervised Telemetry Anomaly Detection for CubeSats Across OPSS-SAT and SatNOGS Data
[NO] 144/200 | Analysis of the Cycling Performance of rSOC System Based on a Multi-Scale Model: Considering Electrochemical Performance Degradation
[NO] 145/200 | Efficient CPU Burst Forecasting with Low-Latency Machine Learning Models
[NO] 146/200 | Enhancing SNN Efficiency: Time-Step Compression with Plastic Threshold and Weighted Spike Optimization
[NO] 147/200 | Classification of COVID-19 From Chest X-Rays Using Convolutional Neural Networks
[NO] 148/200 | Self-Supervised Pretraining and Calibrated Fine-Tuning for Common and Rare Thoracic Findings on Chest Radiographs
[NO] 149/200 | An Engineered System Concept for Early Detection of Dry-Type Transformer Failures
[NO] 150/200 | A $10-\text{Gb} / \mathrm{s}, 1.2-\text{pJ} /$ Bit Receiver for Optical Wireless Communication
[NO] 151/200 | IoT-Based Monitoring of Radio Base Stations: Design, Implementation, and Future Enhancements
[NO] 152/200 | Technical Evaluation and Challenges of LoRa Technology Applied to Smart Agriculture 5.0
[NO] 153/200 | Data Science and Privacy in Secure Predictive Analysis with Homomorphic Encryption and Partial Anonymization
[NO] 154/200 | Linear Quadratic Integrator &amp;Sliding-Mode Control Comparison for a Transfemoral Prosthetic Knee
[NO] 155/200 | A Unified ML/RL Framework for Intraday Trading with Risk-Aware Evaluation and Explainability
[YES] 156/200 | A High-Performance 5G/6G Framework for Deep-Space Missions with Multi-Level AI
[NO] 157/200 | End-to-End Virtual Try-on Via Latent Diffusion Model with Multi-Condition Controlnet
[NO] 158/200 | MTSeg: Cascaded Mamba–Transformer Enhancement for Open-Vocabulary Semantic Segmentation
[NO] 159/200 | Automated Testing in a Multi-Agent Systems Simulation Platform
[NO] 160/200 | T-GAT: Time-Aware Graph Attention Networks for Dynamic Shilling Attack Detection
[NO] 161/200 | An Attention-Enhanced Modified CNN for Robust Sentiment Analysis in E-Commerce Recommendation
[NO] 162/200 | DGLA-Net: Robust MRI-PET Fusion Method Based on Deep Global-Local Attention and Multi-Scale Supervision
[NO] 163/200 | Flexible Graphene Tactile Sensors with Spider Web Designs for Human-Computer Interaction
[NO] 164/200 | Domain-Adaptive Named Entity Recognition for Engineering Topology Texts
[NO] 165/200 | Mesdasd: A Medical Expert System for Diagnosing Autoimmune System Diseases
[NO] 166/200 | Inflections Points in Quantum Computing as an Information Technology: A Thematic Analysis
[NO] 167/200 | Generative Adversarial Network Based Anomaly Detection for Software Defect Prediction
[NO] 168/200 | Accelerating Enterprise Application Development Through AI-Enhanced Low-Code Platforms: An Empirical Analysis of Oracle APEX with Generative AI Integration
[NO] 169/200 | Deterministic Kinematic Synchronization for High-Speed Manipulation of Non-Rigid Substrates
[NO] 170/200 | Human-Centered Explainable AI for Security Enhancement: A Deep Intrusion Detection Framework
[NO] 171/200 | Data-Driven Insights &amp; Predictive Modeling in Fitness Tracking
[NO] 172/200 | Design of a Solar-Based Energy-Efficient IoT-PWM-Peltier Operated Advanced HVAC-AHU Cold Storage Without VFD Technique
[NO] 173/200 | Design and Simulation of Terahertz Antennas for Biomedical Sensing: A Comprehensive Performance Analysis
[NO] 174/200 | Emergency Department Forecasting: COVID-19 Impact on Machine Learning Models
[NO] 175/200 | From Prototype to Production: A Checklist for Production-Ready AI Focused on Data Quality, Monitoring, and Human Oversight
[NO] 176/200 | Cough Detection for Smart-Home Health Monitoring: Room-Scale Edge Acoustic Sensing with Mel-Spectrogram Classification
[NO] 177/200 | A Virtual Braille Keyboard Prototype for Accessible Text Input on Smartphones
[NO] 178/200 | Control-Aware Fault Propagation and Latency Analysis in Distributed Automotive Electrification Architectures for ADAS Applications
[NO] 179/200 | MIRA: Mutual Information-Based Reconstruction Attacks on Split Learning
[NO] 180/200 | StepOverflow: PMC Overflows on AMD SEV
[NO] 181/200 | Quantitative Analysis of Master-of-Nets Garden Spaces Based on Space Syntax and Research on Resilient Inheritance of Traditional Gardens
[NO] 182/200 | The Integration of Artificial Intelligence and Digital Skills in WorldSkills Competition: Current Landscape and Future Trends
[NO] 183/200 | Innovative Design of Traditional Chinese Fish Patterns Based on Extenics and Shape Grammar
[YES] 184/200 | A Hybrid-Domain Detector for OTFS Signals
[NO] 185/200 | Low-complexity Adaptive Fourier Integral Method for Large Aperture Horizontal Linear Arrays at Low Frequency and Low SNR Environments
[NO] 186/200 | A Highly Reliable Drive Circuit for Solid-State High-Voltage Pulse Generators
[NO] 187/200 | 3D Gaussian Splatting Texture Editing via Single Modified Image
[NO] 188/200 | VTBSAE: Provably Secure Verifier-based Password Authenticated Key Exchange for IIoT
[NO] 189/200 | Distributed Estimator-Based Adaptive Fuzzy Prescribed-Time Consensus Control for Nonlinear Multiagent Systems
[NO] 190/200 | Prefrontal Hierarchical Control of Corticomuscular Coherence in Stroke
[YES] 191/200 | Modeling and Capacity Analysis of UAV-Assisted Three-tier Heterogeneous Wireless Networks
[NO] 192/200 | VTVC: Vignetting Correction Based on Variant Transformer and Spatial Self Attention
[NO] 193/200 | GaussianFlow SLAM: Monocular Gaussian Splatting SLAM Guided by GaussianFlow
[YES] 194/200 | A Water-Controlled Dielectric Resonator Antenna with Unilateral and Omnidirectional Pattern Reconfigurability
[NO] 195/200 | Table of Contents
[NO] 196/200 | Zr-Based Contacts to n-Type AlN with Improved Performance for Power and High-Temperature Electronics
[NO] 197/200 | Deep Semantic-Attention Proxy Hashing With Coarse-to-Fine Representation for Multi-Label Remote Sensing Image Retrieval
[NO] 198/200 | Pre-trained Invertible Neural Network Assisted High-Dimensional Bayesian Optimization Framework for Wind Farm Layout Design
[NO] 199/200 | Proceedings
[NO] 200/200 | Author Index
筛选完成：共 200 篇；Yes = 6 篇；已保存到 papers/select_paper2026-04-20.json。
邮件发送成功！
[2026-04-21 10:45:33] 任务执行成功！
