[2026-07-17 10:40:36] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-07-16
正在获取论文...
[arXiv] 2026-07-16 | Immediate 3D Gaussian Splat Reconstruction of Unordered Input with Global Consistency
[NO] 79/200 | SevenNet-Polar for MultiTask Prediction of Energy, Forces, Stress, and Born Effective Charges: Development and Application to ZrO$_2$, Li$_3$PO$_4$, and Perovskites
[NO] 80/200 | Fuelling the central region of galaxies with misaligned gas accretion
[NO] 81/200 | Can LLMs Build a MaxSAT Solver from Papers? The CoreForge Experience
[NO] 82/200 | No Universal Multiplicative FDR Bound for the Benjamini-Hochberg Procedure with Correlated Two-Sided Gaussian Tests
[NO] 83/200 | RACiMo: Red Ambiental Ciudadana de Monitoreo: A Student-Centred Citizen Science Network for Environmental Monitoring, Data Literacy, and Climate Awareness in Colombia
[NO] 84/200 | CrimeNER Demo: Named-Entity Recognition in the Crime Domain
[NO] 85/200 | Ground-Side Mission Plan Compilation with Policy-as-Code Guardrails for Cloud-Native Satellite Platforms
[NO] 86/200 | Robustness of periodicity in Grover walks under a magnetic vector potential
[NO] 87/200 | Transcoders for Investigating Deception in Language Models
[NO] 88/200 | Structure-preserving Lagrange-multiplier methods for mean curvature flow and their error bounds
[NO] 89/200 | Ultraviolet direct absorption microscopy for single particle protein/nucleic acid quantification
[NO] 90/200 | Aperiodicity and subword complexity in the binary expansion of powers of three
[NO] 91/200 | ChronoQG: Towards a Temporally Expressive and Hop-Bounded Benchmark for Temporal Knowledge Graph Question Generation
[NO] 92/200 | Rare Concept Generation via Counterfactual Inference in Diffusion Models
[NO] 93/200 | Riesz potential estimates for non-linear elliptic obstacle problems
[NO] 94/200 | FlowGuard: From Signals to Evidence for MCP Security Detection
[NO] 95/200 | Orbital Dynamics and Gravitational-Wave Signatures of EMRIs in Self-Dual Loop Quantum Gravity Black Holes
[NO] 96/200 | Enumerating Length-Bounded Simple Paths and Cycles in Directed Graphs with $O(k(n+m))$ Delay Using Edge-Consistent Node Barriers
[NO] 97/200 | GeoDetect: Geometric Adversarial Detection for VLPs
[NO] 98/200 | Hybrid Rigid-Soft Robotic Gripper with Shape Adaptation, Uniform Force Distribution, and Self-Locking Capabilities
[NO] 99/200 | Counterfactuals for Feature-Weighted Clustering
[NO] 100/200 | Different Singular Limits in a Gene Regulatory Network with Multiple Small Parameters
[NO] 101/200 | Neuroscience Inspired Graph Operators Towards Edge-Deployable Virtual Sensing for Irregular Geometries
[NO] 102/200 | Sleep-Inspired Replay-Driven Online Temporal Learning with Memristive Neuromorphic Hardware for Edge Systems
[NO] 103/200 | Open-source asynchronous periphery for mixed-signal neuromorphic chips
[NO] 104/200 | 8DNA: 8D Neural Asset Light Transport by Distribution Learning
[NO] 105/200 | VidSplat: Gaussian Splatting Reconstruction with Geometry-Guided Video Diffusion Priors
[NO] 106/200 | MAViD: A Multimodal Framework for Audio-Visual Dialogue Understanding and Generation
[NO] 107/200 | Computational Design of Terrestrial Robots with Anisotropic Friction
[NO] 108/200 | Autoregressive Modeling of Film with Applications in Video Montage
[NO] 109/200 | Broadband Hyperspectral 3D Imaging using Dispersed Structured Light
[NO] 110/200 | <i>C</i>
                    <sup>0</sup>
                    Generalized Coons Volumes over Arbitrary Polyhedra
[NO] 111/200 | ViewWeaver: Geometry-Grounded Generative Rendering for 3D-Aware Image Customization
[NO] 112/200 | Shellular Metamaterial Design via Compact Electric Potential Parametrization
[NO] 113/200 | GauSmoke: Hybrid Physics-Optical Gaussian Splatting for Sparse Smoke Reconstruction
[NO] 114/200 | Remote Catheter System with Enhanced Haptic Feedback for Use in Endovascular Procedures
[NO] 115/200 | Classification Iterative-Interpolated DFT Algorithm for Wideband Oscillation Detection
[NO] 116/200 | A Unified On-Orbit Relative Radiometric Calibration Framework for Optical Remote Sensing Satellites Based on Side-Slither Observations
[NO] 117/200 | Message from the AIST 2026 Chairs
[NO] 118/200 | 2026 IEEE International Conference on Software Testing, Verification and Validation (ICST)
[NO] 119/200 | Proceedings of the IEEE
[NO] 120/200 | $\rm {M}^{2}\rm {C-EvDet}$: Multi-Domain Multi-Order Cross-Modal Knowledge Distillation for Event-based Object Detection
[NO] 121/200 | Semantic-Driven Federated Multi-Task Learning for Low-Altitude UAV Networks
[NO] 122/200 | Dual-Sphere Structured Fiber Optic Sensor Based on SPR and MZI Principles for Marine Parameter Detection
[NO] 123/200 | The Expanding Influence of the PSMA Magnetics Workshop [PSMA Corner]
[YES] 124/200 | Two-Scale Spatial Deployment for Cost-Effective Wireless Networks via Cooperative IRSs and Movable Antennas
[NO] 125/200 | Physics-based self-supervised learning of a deep network for single-shot in-line hologram reconstruction_supp1-3694142.pdf
[NO] 126/200 | FLEAT: Energy-Accuracy Trade-off in Federated Learning over Heterogeneous Edge Devices_supp1-3710334.pdf
[NO] 127/200 | Dual-Stream Autoencoder with Spatial and High-Frequency Feature Interaction for Contactless Fingerprint Presentation Attack Detection
[YES] 128/200 | Secure Bandwidth Allocation in UASNs via Spatially Correlated Shadowing Compensation and Geometric-Consistency Constraints
[NO] 129/200 | Enabling Service Monitoring in Industrial IoT: A Knowledge-Integrated Service Status Perception Framework
[NO] 130/200 | A Multidomain Survey of Biological Rhythm Analysis: Integrating Mathematical Modelling, Multiscale Complexity, and Data-Driven Methods
[NO] 131/200 | M-wave Event Stream Transformer for Mechanical Anomaly Detection of GIS Circuit Breakers
[NO] 132/200 | Interval observer for linear discrete-time system: An L
                    <sub>1</sub>
                    -gain characterization approach
[NO] 133/200 | A Bilingual Hindi–English Speech Emotion Dataset with Benchmark Evaluation
[NO] 134/200 | Early Warning of Performance Degradation in Object Detection Models via Explainable AI
[NO] 135/200 | Event-Triggered Decentralized Distillation over Multiagent Networks
[NO] 136/200 | LLM-Powered Real-Time Voice Agent for Task-Guided Practice in Serious Games for ASD
[NO] 137/200 | Low Power VLSI Design using Clock Gating Techniques
[NO] 138/200 | Isolating Feature Transition Errors in Dynamically Adaptive Systems
[NO] 139/200 | A Comparative study of Lightweight Deep Learning Frameworks for Plant Disease Detection
[NO] 140/200 | Hybrid Table-Assisted and RL-Based Dynamic Routing for NGSO Satellite Networks
[NO] 141/200 | A Rapid Assessment Method for the Safe Load-Bearing Capacity of Pressure Vessels with Various Defect Types
[NO] 142/200 | Decentralized Machine Learning Frameworks for Agile Team Collaboration in Digital Workspaces
[NO] 143/200 | Geometry-Informed Maritime Anomaly Detection Using Probabilistic Roadmaps
[NO] 144/200 | Adaptive Droop Control For Balanced Power Sharing In Islanded Microgrids Using Battery and Flywheel Energy Storage Systems
[NO] 145/200 | Adversarial Robustness in Deep Learning-based Network Intrusion Detection Systems: A Defense-Centric Systematic Review
[NO] 146/200 | PV-Integrated Dynamic Voltage Restorer for Disturbance Compensation
[NO] 147/200 | Sampled Event-Triggered Distributed Secondary Frequency Control for Islanded Microgrids under Communication Delays
[NO] 148/200 | SVN-NDT: Extending Stein Variational Newton to Probabilistic LiDAR Registration for Surface Vehicle Localization
[NO] 149/200 | A Survey of ML Approaches for Anomaly Detection in cybersecurity With a Recommendation for Practical Deployment
[NO] 150/200 | Lightweight Multi-Cue Fusion Network for Deepfake Audio Detection
[NO] 151/200 | Topological Robustness in Formation Flight: A Sensitivity Study
                    <sup>*</sup>
[NO] 152/200 | A Comprehensive Review on Machine Learning Approaches for Zero-Day Attack Detection
[NO] 153/200 | XPJudge: Explanation-Aware Pairwise Judging for Cost-Effective Code LLM Selection
[NO] 154/200 | Leveraging Large Language Models for Trustworthiness Assessment of Web Applications
[NO] 155/200 | Improving Molecular Generation with SELFIES: A Variational Autoencoder Approach
[NO] 156/200 | PEARL - Platform for Expert Annotation of Robotics Learning
[NO] 157/200 | Diversity as a Security Primitive for ML-Based Network Intrusion Detection
[NO] 158/200 | DroidCleaner: An Android Malware Detector
[NO] 159/200 | Runtime and Memory Performance of Human-Written and LLM-Generated Code: An Empirical Study
[NO] 160/200 | Assessing Vision–Language Models for Perception in Autonomous Underwater Robotic Software
[NO] 161/200 | Temporal Defense: Early Detection of Blackhole Attacks in Wireless Sensor Networks using LSTM
[NO] 162/200 | A Multimodal Approach for Alzheimer’s Disease Prediction Using Vision Transformer and CNN Models
[NO] 163/200 | Agentic-VideoRAG: A Cost-Aware and Explainable Framework for Video Retrieval
[NO] 164/200 | Curvature Space Editing of Highly-Coiled Hair
[NO] 165/200 | Dichoptic Foveation
[NO] 166/200 | See-through: Single-image Layer Decomposition for Anime Characters
[NO] 167/200 | MoonSplat: Monocular Online Gaussian Splatting with Sim(3) Global Optimization
[NO] 168/200 | The Effects of Early Socio-Technical Decisions on UXDebt
[NO] 169/200 | gCDT: A Highly Parallel GPU Algorithm for Large-Scale Constrained Delaunay Triangulation
[NO] 170/200 | Robust In-Engine Texture Optimization from Inconsistent Generative Targets
[NO] 171/200 | VFAvatar: Feed-Forward 3D Avatar Reconstruction from Casual Image Collections
[NO] 172/200 | Get Published in the IEEE Open Journal of Power Electronics
[NO] 173/200 | 2026 Fourth International Conference on Secure Cyber Computing and Communications (ICSCCC)
[NO] 174/200 | CVFL-Pro: A Collusion-Resistant Verification Federated Learning Framework with Adaptive Communication Optimization
[NO] 175/200 | Joint Optimization of User Association and Resource Allocation for Load Balancing With Heterogeneous Fairness
[NO] 176/200 | Message from the Program Chairs
[NO] 177/200 | The Ultimate Source of Knowledge
[NO] 178/200 | IEEE Design &amp; Test Publication Information
[NO] 179/200 | Pursuit Strategies for Reach-Avoid Games with Multiple Goal Subregions via Cartesian Ovals
[YES] 180/200 | IRS-assisted UAV Secure Communication via Agentic AI
[NO] 181/200 | Data-Driven Output-Based Approach to the Output Regulation Problem of Unknown Linear Systems via Value Iteration
[NO] 182/200 | Analysis and Mitigation of Measurement Errors in High Flux Tests of Generator Stator Cores via Optimized Trace Winding Arrangement
[NO] 183/200 | Long-Sequence Lower Limb Action Recognition via Action-Specific Attention and Logic Correction for Daily Rehabilitation
[NO] 184/200 | Miniaturized Transition-Free Filters With Wide Stopband Rejection Using Integrated Stepped Impedance Slot Rectangular SSPPs
[NO] 185/200 | Model-Based Detection of Anomalous Events in Submarine Cables Using Distributed Deformation Sensing and Kalman Filtering
[NO] 186/200 | Empowering Autism Care through Conversational AI Agents: Leveraging Large Language Models for Personalized Support
[NO] 187/200 | LLM-Powered Framework for Real-World Exploit Prediction
[NO] 188/200 | The Computation of Congruential Closures over the Max-Plus Semiring
[NO] 189/200 | GIS Based Identification of Optimal Solar Plant Locations in Odisha, India
[NO] 190/200 | Secure Automotive Intrusion Detection Using Federated GNNs and Explainable AI
[NO] 191/200 | Canine Skin Disease Classification using Convolutional Neural Networks through Limited Multispectral Imaging
[NO] 192/200 | Teleoperated Driving via a Private 5G Network: Demonstration with Remotely-Driven Robots
[NO] 193/200 | Federated Learning–Enabled Zero-Trust SDN Framework for Secure IoT Network Traffic Analysis
[NO] 194/200 | TSV: Training Set Verification - Detection of Unauthorized Data Additions to the Training Set of Machine Learning Models Using Out-of-Distribution Technique
[NO] 195/200 | Analysing a AIML Model to maximize a electric energy efficiency with crop yield improvement to advance agricultural activities
[NO] 196/200 | ICST Tool Competition 2026 – UAV Testing Track
[NO] 197/200 | Explainable Multi-Class Mental Health Classification from Social Media Using DistilBERT and Knowledge Graphs
[NO] 198/200 | An Explainable Auto ML Framework for Detecting MQTT CONNECT Flooding Attacks in Healthcare 5.0 IoMT Systems
[NO] 199/200 | Performance evaluation of ResNet50-Based Deep Learning Approach for Dark Spot Disease Detection in Mango Leaves
[NO] 200/200 | Design and Evaluation of an ML-Based Anomaly Detection System
筛选完成：共 200 篇；Yes = 4 篇；已保存到 papers/select_paper2026-07-16.json。
邮件发送成功！
[2026-07-17 11:06:42] 任务执行成功！
