[2026-02-05 09:38:32] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-02-04
正在获取论文...
[arXiv] 2026-02-04 | Bayesian PINNs for uncertainty-aware inverse problems (BPINN-IP)
[NO] 78/200 | Searches for Extra Higgs Bosons using $t\bar{t}+$Higgs{$(\to b\bar b)$} Events within 2HDMs: Direct versus Indirect Probes
[NO] 79/200 | Fine-grained Classification of A Million Life Trajectories from Wikipedia
[NO] 80/200 | Nef Cones of the Hilbert Schemes of Points on Generalized Cayley K3 Surfaces
[NO] 81/200 | A model-independent measurement of the Hubble constant from gravitational-wave standard sirens and electromagnetic observations
[NO] 82/200 | Randomized Projection Operators onto Piecewise Polynomial Spaces
[NO] 83/200 | Deconstructing sentence disambiguation by joint latent modeling of reading paradigms: LLM surprisal is not enough
[NO] 84/200 | Proactive Agents, Long-term User Context, VLM Annotation, Privacy Protection, Human-Computer Interaction
[NO] 85/200 | Vision-aligned Latent Reasoning for Multi-modal Large Language Model
[NO] 86/200 | Is Micro Domain-Adaptive Pre-Training Effective for Real-World Operations? Multi-Step Evaluation Reveals Potential and Bottlenecks
[NO] 87/200 | Simple 2-approximations for bad triangle transversals and some hardness results for related problems
[NO] 88/200 | A frequency-domain method to inverse moving source problem with unknown radiating moment
[NO] 89/200 | LORE: Jointly Learning the Intrinsic Dimensionality and Relative Similarity Structure From Ordinal Data
[NO] 90/200 | GASV: A New VLBI analysis software for Geodesy and Astrometry
[NO] 91/200 | Spatial Angular Pseudo-Derivative Searching: A Single Snapshot Super-resolution Sparse DOA Scheme with Potential for Practical Application
[NO] 92/200 | Improving 2D Diffusion Models for 3D Medical Imaging with Inter-Slice Consistent Stochasticity
[NO] 93/200 | A brief review of evolutionary game dynamics in the reinforcement learning paradigm
[NO] 94/200 | Bayes, E-values and Testing
[NO] 95/200 | Dynamics of string breaking and revival in a Rydberg atomic chain
[NO] 96/200 | Three vignettes on hypergeometric normal functions
[NO] 97/200 | Toward Effective Multimodal Graph Foundation Model: A Divide-and-Conquer Based Approach
[NO] 98/200 | Robustness of Stable Matchings When Attributes and Salience Determine Preferences
[NO] 99/200 | Turning mechanistic models into forecasters by using machine learning
[NO] 100/200 | ZKBoost: Zero-Knowledge Verifiable Training for XGBoost
[NO] 101/200 | Proceedings of the 2025 International Conference on Artificial Intelligence and Sustainable Development
[NO] 102/200 | Towards Knowledge-Guided Multimodal Agents for Interpretable Plant Health Diagnostics
[NO] 103/200 | The perception of teachers' acceptance of AI technology towards school reform policies: a machine learning explanation based on TALIS
[NO] 104/200 | Evolutionary Game Theory and Simulation Analysis of Collaborative Governance of Rural Water Environment
[NO] 105/200 | Under-sampling framework incorporating denoising, optimized fuzzy C-means clustering, and representative sample selection for imbalanced data classification
[NO] 106/200 | Actionable Framework for Understanding and Improving Social and Human Factors that Influence the Requirements Management in Software Ecosystems
[NO] 107/200 | Toward Efficient Quantum Circuit Simulation with Memory and I/O Reduction through Gate Block Search Algorithm
[NO] 108/200 | Constructing a Companion Animal Disease Knowledge Graph by Utilizing LLMs in Data Preprocessing and Pseudo Annotation
[NO] 109/200 | Operational Icing Forecast for Power Grids Based on WRF-ICE and Machine Learning Correction
[NO] 110/200 | Proceedings of the 2025 10th International Conference on Cloud Computing and Internet of Things
[NO] 111/200 | A Privacy-Preserving Edge-AI Framework for EEG-based Emotion Recognition using Lightweight Authenticated Encryption over BLE
[NO] 112/200 | Smart Solutions: IoT and Robotics to Enhance Delivery Service Efficiency
[NO] 113/200 | The Analysis and Prospect of CNPC's EV Charging Business Based on Machine Learning
[NO] 114/200 | Towards Human-Like Sarcasm Recognition: A Context-Enriched Transformer Based Framework
[NO] 115/200 | Proceedings of the 2025 6th International Artificial Intelligence and Blockchain Conference
[NO] 116/200 | Frame-based Synchronization for Multi-view Multi-sensor Fusion in Embedded Systems
[NO] 117/200 | Interface Alignment Between O-RAN and 3GPP for V2X Communications
[NO] 118/200 | User-Centric Adaptive SDS: Data Compression and Erasure Coding for Efficient Ceph Storage
[NO] 119/200 | Data Analysis and Optimization of Enterprise Contract Execution Compliance Management Based on Internal and External Data Linkage
[NO] 120/200 | Research on the Application Mechanism of Artificial Intelligence Technology in Online Learning Platforms
[NO] 121/200 | Research on Multi-Agent Task Path Optimization and Collaborative Execution Driven by Knowledge Graphs
[NO] 122/200 | Smart Home Device Control Solution
[NO] 123/200 | AI Application in Anti-Money Laundering for Sustainable and Transparent Financial Systems
[NO] 124/200 | Metadata-aware RAG for Enforcing Access Control and Metadata-based Filtering: Proof of Concept and Evaluation
[NO] 125/200 | Reinforcement Learning-Based Energy-Aware Coverage Path Planning for Precision Agriculture
[NO] 126/200 | Low-Latency Multimedia Delivery via Collaborative Cloud–Edge Caching in Edge Computing Networks
[NO] 127/200 | Research on the international intelligent operation model of “digitalization + greening” dual-track collaboration of industrial electrical enterprises under intelligent drive
[NO] 128/200 | A Depression Detection Method Based on Emotion-Topic Guided In-Context Learning
[NO] 129/200 | Open Source Innovation—— A Research Review and Prospects
[NO] 130/200 | CART: Color-Aided Registration Transformer for Point Cloud Density Enhancement
[NO] 131/200 | The Impact of Digital Intelligence Systems on Workplace Loneliness Based on K-Means Machine Learning
[NO] 132/200 | Fusing Headline and Content with Dual-BERT and Weighted Fusion for Fake News Detection
[NO] 133/200 | The Multi-Institutional Configurational Pathways for Enhancing Rural Water Conservancy Governance Performance in China
[NO] 134/200 | FedKLEntropy: Enhancing Federated Learning via Model Entropy and Kullback-Leibler Divergence
[NO] 135/200 | Leveraging PyTorch for Hardware-Aware Optimization in Efficient Mixture-of-Experts Large Language Model Inference
[NO] 136/200 | Construction and Application of an Enterprise Performance Evaluation System from the ESG Perspective: An Empirical Study Based on Hang Lung Group
[NO] 137/200 | Adaptive Grid Merging Density-Biased Sampling Algorithm
[NO] 138/200 | The development of geographic information technology in the era of intelligence
[NO] 139/200 | Generalizable IoT Device Detection via Flow-Based Network Traffic Analysis and Random Forest
[NO] 140/200 | Reliability Architectures for High-Performance Processors: A Survey and Outlook
[NO] 141/200 | On the Necessity of Stablecoins and the Legal Mechanisms for Their Regulation
[NO] 142/200 | Introduction to the Special Issue on ACM Multimedia Systems 2024 and Co-Located Workshops
[NO] 143/200 | Mitigating the Write-amplification effect of large-scale semi-external graphs on SMR drives
[NO] 144/200 | Design and Implementation of an AI Learning Companion
[NO] 145/200 | Big Data AI and Customer Relationship Performance: The Impact of Supply Chain Capabilities and Technological Turbulence
[NO] 146/200 | Leveraging NVRAM to Improve Read Performance of LSM-tree in Hybrid Storage Systems
[NO] 147/200 | Temperature Wear Leveling: Mitigating Peak Temperature on NAND Flash Memory
[NO] 148/200 | Efficient Approaches for Permutation-Constrained Common String Partitions
[NO] 149/200 | Inversion analysis of thermodynamic parameters of concrete dam based on intelligent algorithm
[NO] 150/200 | Discovering Spatial Correlations of Earth Observations for Weather Forecasting by using Graph Structure Learning
[NO] 151/200 | Cloud-Native Architecture for Municipal Government Digital and Intelligent Transformation: Design and Implementation
[NO] 152/200 | Optimizing Class-Level Code Generation: Enhancing In-Context Learning in Large Language Models with Pruning Techniques
[NO] 153/200 | A Fault Localization Method for Cloud-based Runtime Systems based on Multi-layer Events
[NO] 154/200 | Adaptive Block Size Selection for Translating Triton Kernels to RVV
[NO] 155/200 | Structure- and Semantic-based Rationale Distillation: Table and Chart Question Answering in Scientific Documents
[NO] 156/200 | Spatio-temporal Evolution and Coupling Coordination Mechanism between Air Pollution Governance and Sports Venue Development
[NO] 157/200 | Digital Art Design and Intelligent Re-creation of Intangible Cultural Heritage Patterns Based on Diffusion Generation Model
[NO] 158/200 | Regeneration Based on Spatial Reconstruction: A case Study of Industrial Heritage Transformation and Protection in Yunnan Smelting
[NO] 159/200 | Artificial Intelligence in Healthcare: Strategic Value, Constraints, and a Governance-First Integration Framework
[NO] 160/200 | A Comparative Study of China's National Image Before and After the COVID-19 Pandemic Based on Twitter Text Mining
[NO] 161/200 | Evaluating Small Language Models for Intrusion Detection on Automotive Embedded Platforms
[NO] 162/200 | Priority-Aware Multilink Downlink Scheduling with Dynamic MRU Optimization for IEEE 802.11be
[NO] 163/200 | FormalGym: Deep Reinforcement Learning Agent Based Formal Compiler Optimization Framework
[NO] 164/200 | Lime Peel Freshness Classification Using Machine Learning and Blockchain based upon the Thai Agricultural Standard No. TAS 27-2017
[NO] 165/200 | Calibrated and Explainable Flight Delay Prediction with Tree-Based Models in Machine Learning
[NO] 166/200 | A Defence-Oriented Study of API Security in CI/CD Pipelines
[NO] 167/200 | Linear Regression-Based Cloud Resource Demand Forecasting and Dynamic Scheduling
[NO] 168/200 | Improving Flash Memory Reliability in High-Density Storage through Data-Aware Page Shuffling
[NO] 169/200 | A Study on the Application of Digital Humanities to the Teaching of English Audiovisual Speaking in Universities
[NO] 170/200 | Idle Consumer GPUs as a Complement to Enterprise Hardware for LLM Inference: Performance, Cost and Carbon Analysis
[NO] 171/200 | Enhanced Debugging of CPython and Pytorch with GDB
[NO] 172/200 | Grade Like a Human: Rethinking Automated Assessment with Large Language Models
[NO] 173/200 | Meta-Model Design for Spiking Neural Network Simulation
[NO] 174/200 | The nonlinear effect of digital transformation on corporate greenwashing
[NO] 175/200 | Organizational Innovation Strategies for Chinese New Energy Vehicle Enterprises to Enhance Financial Performance: An Empirical Research Based on the QCA Method
[NO] 176/200 | Automatic Extraction and Cultural Creative Application of Intangible Cultural Heritage Patterns Based on Deep Learning
[NO] 177/200 | Research on Collision Avoidance Warning of High-Speed Maintenance Vehicle Based on Adaptive Algorithm
[NO] 178/200 | Generative AI-Driven Procedural Character and Dialogue System for Interactive Digital Narratives
[NO] 179/200 | Smarter Spaces, Smoother Flows: Evaluating the Terrain Adaptability of LID Layouts via NSGA-II Optimization
[NO] 180/200 | Development of Chinese Traditional Cheongsam's Modularization and Digital Resource Library
[NO] 181/200 | An AI-Enhanced System with Microwave-Functionalized Water for Sustainable Cultivation of Dendrobium officinale
[NO] 182/200 | Attention-Enhanced Dual Network Framework for Remote Sensing Land Cover Classification
[NO] 183/200 | Research on Intelligent Optimization of Water Injection Scheme for Water-Flooding Reservoirs Based on Improved Genetic Algorithm
[NO] 184/200 | The Application of the Random Forest Algorithm in the Intelligent Selection of Key Parameters for Shield Tunneling
[NO] 185/200 | FoodHash: Context-Aware Proxy Interaction and Fusion for Food Image Retrieval
[NO] 186/200 | Comparing XAI Methods for Identifying Critical Features and Expert Contributions in Multi-Expert Edge Computing Attack Detection
[NO] 187/200 | Insights and predictive analytics for heart disease using Python and machine learning
[NO] 188/200 | Multi-agent Auto-Bidding with Latent Graph Diffusion Models.
[NO] 189/200 | Optimizing Edge Inference with Divide-and-Conquer Segmentation and Multi-Pipeline Coordination
[NO] 190/200 | Research on Industrial Structure Upgrading Strategies Based on Multimodal Feature Fusion in the Context of the Digital Economy
[NO] 191/200 | A Practical Evaluation of Paging Algorithm Smoothness: Trade-offs Between Competitiveness and Stability
[NO] 192/200 | Research on Reinforcement Learning Integrated Game Intelligence about Multi-group Rescue
[NO] 193/200 | Research on Carbon Emission Efficiency Based on Super-efficiency SBM and Malmquist Model
[NO] 194/200 | SPARK: Share-Per-tick Adaptive Redistribution with Kernel-gating
[NO] 195/200 | Analysis of the characteristic sources of heavy metal pollution and health risk assessment in the sediments of the Yellow River in Lanzhou based on the PMF model
[NO] 196/200 | A Study on the Effect of the STEM Method on Improving the Learning Thinking of Vocational School Students
[NO] 197/200 | Synergy of Artificial Intelligence and Extended Reality in Patient-focused Health and Well-Being Applications – A Systematic Review
[NO] 198/200 | GT-FID: A Graph-Temporal Fusion Network for Host-Based Intrusion Detection from System Call Sequences
[NO] 199/200 | ECDAR: An Energy-efficient, Channel- and Depth-Aware Adaptive Routing for Underwater Sensor Networks
[NO] 200/200 | Less Is More: Failing Test Generation with Large Language Models
筛选完成：共 200 篇；Yes = 0 篇；已保存到 papers/select_paper2026-02-04.json。
邮件发送成功！
[2026-02-05 10:02:34] 任务执行成功！
