[2026-08-27 19:22:26] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-26
正在获取论文...
[arXiv] 2026-08-26 | Reassembling Distributed Risk: Trajectory-Conditioned Action Generation for Multi-Turn Agent Safety
[NO] 78/200 | Learning from waste: Machine Learning for health risk prediction and computer vision-based sorting in Ghana
[NO] 79/200 | Quantum Blackhole Learning-Optimized Hadamard Neural Network Model for Dynamic Resource Reservation in Industry Clouds
[NO] 80/200 | Lipid Hydrocarbon Tail Structure Governs Interfacial Anchoring and Stripe Morphology in Cholesteric Liquid Crystals
[NO] 81/200 | Error Analysis of the Inverse Conductivity Problem with Scattered Measurements
[NO] 82/200 | MIMONet: Multi-scale Input and Multi-scale Output Network for Salient Object Detection
[NO] 83/200 | Agnostic Sequential Rationality
[NO] 84/200 | From Verdict to Diagnosis: Attributable Security Review of Pull Requests
[NO] 85/200 | Observation of thermal Hall effect in diamond
[NO] 86/200 | Lower bounds on the spatial decay of the ground state of the Pauli-Fierz model
[NO] 87/200 | Estimation of a regression function from dependent data by over-parametrized deep neural networks learned by gradient descent
[NO] 88/200 | GLOSS: Geometric Local Self-Similarity Learning for Faithful Reference-Guided Texture Fill
[NO] 89/200 | Training Alignment Auditors via Reinforcement Learning
[NO] 90/200 | A calibrated dust-trail model of the Leonid meteoroid stream and forecasts of the 2031-2035 encounters
[NO] 91/200 | Competing Soft Modes and Tunable Multicriticality in a Generalized Two-Mode Quantum Rabi Model
[NO] 92/200 | Characterization of Maximal Left-Compressed Intersecting Families Generated by a Single Generator
[NO] 93/200 | VGA-BenchV2: An Expanded Unified Benchmark and Multi-Model Framework for Evaluating Video Aesthetics and Generation Quality
[NO] 94/200 | Assessing the Climate and Habitability of Tidally Locked Rocky Exoplanets
[NO] 95/200 | Energy Yield and Lifetime Climate Classification via Machine Learning for Optimizing Photovoltaic Module Design and Materials
[NO] 96/200 | Tautological Pushforwards of Hilbert Schemes of Points on Curves and Surfaces
[NO] 97/200 | Continuous Computational Social Choice: A Case Study in Bribery
[NO] 98/200 | Saliency-Depth Conditioning for Zero-Shot Segmentation of Communication-Tower Components in Cluttered UAV Imagery
[YES] 99/200 | BeamGuard: Risk-Aware Multimodal Beam Forecasting and Adaptive Virtual Beamwidth Control for 6G mmWave V2I Links
[NO] 100/200 | Distance Is Not Enough: Forget-Retain Alignment Gap Predicts LLM Relearning Robustness
[NO] 101/200 | Play as Interrogation in GenAI Use
[NO] 102/200 | FusionEar: Toward High-Fidelity and Unconstrained Speech Eavesdropping via Multi-Modal Motion Sensor Fusion
[NO] 103/200 | Multifocus Image Fusion via LS-DTNP in the NSST Domain
[NO] 104/200 | Practical Tracking Control for Amphibious Uncrewed Aerial Vehicles With Prescribed Performance: Theory and Experimentation
[NO] 105/200 | Image-Guided Robotic Surgery System to Eliminate Drill Bit Skiving During Pedicle Screw Placement – Concept Validation
[NO] 106/200 | Dual-Layer LEO Mega-Constellation Topology Optimization Based on an Improved Slime Mould Algorithm with Feasible Projection_supp1-3727534.pdf
[NO] 107/200 | ShadowBlock: Efficient Dynamic Anonymous Blocklisting and Its Cross-chain Application
[NO] 108/200 | Frequency Doublet Resonance Detection Electronic Circuit for Piezoelectric Flexural Plate Wave MEMS Transducer
[NO] 109/200 | Table of Contents
[NO] 110/200 | Keynote: Emerging Approaches to Resource Management and Scheduling in the Mist—Fog—Cloud Continuum
[NO] 111/200 | Electrical Engineering Powering Energy Transition: Beyond generation, the future of our grid relies on how we control energy.
[NO] 112/200 | Message from Congress 2026 Program Chairs
[NO] 113/200 | Fractional-N Frequency Synthesis Based on Ring-
                    <i>LC</i>
                    Cascaded PLL With Calibration-Free Noise Cancellation Techniques
[NO] 114/200 | GlyphTSR: Text-rich Scene Image Super-Resolution beyond Glyph Priors
[NO] 115/200 | An Optoelectronic MXene/HfO
                    <sub>2</sub>
                    Memristor for In-Sensor Neuromorphic Visual Computing
[NO] 116/200 | PointSR++: Self-Regularized Point Supervision with Spatial-Structural Constraints for Drone-View Object Detection
[NO] 117/200 | Technical Communication and the Discipline of Content: Considerations for Research: Rebekka Andersen and Carlos Evia: [Book Review]
[NO] 118/200 | The Brain–Computer Interfaces Race: Capital, Policy, and the Battle for Commercialization
[YES] 119/200 | Unsupervised Learning for Weighted Resource Allocation in RIS-Assisted mmWave MIMO Systems
[NO] 120/200 | SwitchNN: In-Network CNN Inference for Edge-Assisted Smart Roadside Networks
[NO] 121/200 | AuEx: Automatic Exploration for Fresh Creative Ads via Large-Scale Deep Reinforcement Learning
[NO] 122/200 | A Large Language Model Assisted Fault Diagnosis Framework for Power Equipment in New Power Systems
[NO] 123/200 | A Causal-Driven Hierarchical Decentralised Federated Learning Framework for Resilient Load Forecasting in Distributed Microgrids
[NO] 124/200 | Entangled Photon Source Pooling and Entanglement Distribution for Quantum Networks
[NO] 125/200 | Hierarchical access control scheme for educational data based on blockchain and attribute-based encryption
[NO] 126/200 | Risk-Stratified CQI in Engineering Education: Six-Cohort Validation of a Registry-Only Early-Warning Rule
[NO] 127/200 | Bias in the Shadows: Explore Shortcuts in Encrypted Network Traffic Classification
[NO] 128/200 | Lightweight AAC-YOLO Algorithm for Railway Foreign Object Intrusion Detection
[NO] 129/200 | Study on the Influence of Stacked Polyhedral Structure of Microphone Array on UAV Sound Source Direction Finding
[NO] 130/200 | CyberAI (AICyber) Framework for Digital Health Applications: A Position Paper
[NO] 131/200 | PRO: Deterministic Load Balancing for AI Datacenter Network
[NO] 132/200 | Dual Adaptive Noise Cancellation and Enhancement (DANCE) for Real-Time One-Dimensional Signal Denoising
[NO] 133/200 | Self-Adaptive Governance for Elastic Privacy in Mental Health Digital Phenotyping
[NO] 134/200 | Design Flexibility in Infrastructure Projects: Integrating Means-Ends Analysis and Real Options Reasoning
[NO] 135/200 | An Advanced Modulating Signal-Based PWM Strategy for Three-Phase Voltage Source Inverters with Scalar Control for Induction Motor Drives
[NO] 136/200 | Virtual Space Switching: Fast Mobility Handoffs for Situated Intelligence
[NO] 137/200 | Research on Deep Optimization of Cogeneration of Heat and Power in Steam Turbines Based on Low-Pressure Exhaust Heat Utilization
[NO] 138/200 | Edge-Based Multimodal Driver Monitoring System on Raspberry Pi
[YES] 139/200 | Graph Neural Network Enabled Resource Optimization for Tethered UAV Networks With Rotatable Directional Antennas
[NO] 140/200 | Research on Defect Identification and Intelligent Diagnosis of Power Equipment Based on Knowledge Graph
[NO] 141/200 | Energy-optimal control considering thermal effects of UAV motors
[NO] 142/200 | Suppression of Stray Radiation in Five-Axis Rotary Table CATR System
[NO] 143/200 | An Energy-Storage Investment Risk Quantification Method Based on a t-Copula and Conditional Value-at-Risk
[NO] 144/200 | Dual-Loop PID Control Method for Front-End Hydraulic Speed Regulation Based on Frequency Domain Theory
[NO] 145/200 | Reliable Unreliability in Edge Deployments
[NO] 146/200 | A Pixel-Based FAS with 6-bit Reconfigurability Deployed at Both Transmitter and Receiver for Interference Mitigation
[NO] 147/200 | A Lightweight ML Framework for Crop Selection and Yield Estimation on Low-End Devices
[NO] 148/200 | Count-Rate Modeling and Compensation for Photomultiplier Tubes Under High-Voltage Ripple Disturbances
[NO] 149/200 | Performance of a hybrid ARIMA-LSTM-Transformer model in influenza-like illness forecasting: A comparative study
[NO] 150/200 | RAPIDS: Reliable Adaptive Priority-based Intelligent Delivery Streaming for Enhanced Error Resilience in Real-time Video
[NO] 151/200 | Decentralized But Not Immune: Empirical and Formal Security Analysis of Messaging Networks
[NO] 152/200 | PalmShield: A Climate-Smart AI Mobile Platform for Sustainable Date Palm Health Monitoring
[NO] 153/200 | CANListener: A Lightweight and Adaptive Intrusion Detection System for In-vehicle CAN Bus
[NO] 154/200 | Development of Fiber Optic Sensors, Their Principles, and Algorithm Optimization Research for Intraoperative Navigation
[NO] 155/200 | Research on Intelligent Electronic Load Control System and Computational Optimization Method for High-Speed OSFP Optical Module Testing
[NO] 156/200 | UAV Acoustic Source Direction Finding Based on Generalized Likelihood Ratio Test
[NO] 157/200 | Modeling Short-Term Cognitive State Transitions Using EEG and Lifestyle Features
[NO] 158/200 | MAGNet: Physics-Informed Multiscale Attention and Gated Recurrent Network for Filter Inverse Design
[NO] 159/200 | Cloud-Compatible and Scalable Private Messaging via Authentication Piggybacking
[NO] 160/200 | Disjoint Simulatability and Security Reduction of a Class of Lattice-Based Schemes
[NO] 161/200 | A Cross-Sector Measurement Study of Internet-Exposed IoT Devices
[NO] 162/200 | MUFFLe: Efficient Model Update Compression via Generalized Deduplication for Federated Learning
[NO] 163/200 | Real-Time PH Monitoring and Alerting System for Wastewater Management
[NO] 164/200 | Extended Reality for Agricultural Supply Chain Education: A Systematic Review of Effectiveness, Implementation Challenges, and Future Directions
[NO] 165/200 | VectorSec: A Web-Based AI Security Scanner for Systematic Evaluation of LLM Vulnerabilities
[NO] 166/200 | Physics-Guided Temporal Graph Attention Network for Early Fault Diagnosis of Spacecraft Thermal Control Systems
[NO] 167/200 | Evaluating DL Test Adequacy Metrics: A Correlation Study with DeepCrime’s Mutation Score
[NO] 168/200 | Perspective on Bias in Biomedical AI: Preventing Downstream Healthcare Disparities
[NO] 169/200 | UAVchain: Blockchain Technology Applications for Unmanned Aerial Vehicles
[NO] 170/200 | Complementary Asymmetric Representation Learning for Exemplar-Free Class-Incremental Learning
[NO] 171/200 | A 3D Stackable 1T2C DRAM with Sidewall Storage Capacitors for High-Density Memory
[NO] 172/200 | Interference-Aware Instantaneous Frequency and Amplitude Estimator for Multicomponent Signals
[NO] 173/200 | WTM-YOLOv11: A Small Target Detection Model for Complex Scenes in UAV Applications
[NO] 174/200 | IEEE Transactions on Sustainable Computing
[NO] 175/200 | Front Cover
[NO] 176/200 | A Current-Mode Non-Destructive Circuit Readout Scheme for High-Density 3D Ferroelectric Memory
[NO] 177/200 | When AI Becomes the First Listener: A Conversation with Joanne Cheung on How AI Soothes and Shapes Our Thoughts
[NO] 178/200 | Center-Aware Pairwise Learning for Deep Semi-supervised Anomaly Detection
[NO] 179/200 | Kendall’s Tau Based Robust Spectrum Sensing Under Colored Gaussian Noise With Impulsive Interference
[NO] 180/200 | Compressive Toeplitz Covariance Estimation From Few-Bit Quantized Measurements With Applications to DOA Estimation
[NO] 181/200 | Flexible and Optically Transparent Wideband Low-RCS Metasurface Based on Spin-Decoupled and Diffusion Scattering
[NO] 182/200 | A Low-RCS Absorber-Radiator Antenna Array With Dual-CP and Multi-Beam Reconfigurability
[NO] 183/200 | Layer-wise Principal Gradient Compression for Distributed Machine Learning
[NO] 184/200 | Dementia Etiology Diagnosis via Collaborative Meta Knowledge Enhancement
[NO] 185/200 | The Throughput Gain of Hypercycle-level Resource Reservation for Time-Triggered Communication_supp1-3727381.pdf
[NO] 186/200 | Resilient Model Predictive Formation Control for Nonholonomic Multivehicles Under Mixed Attacks
[NO] 187/200 | A Novel Adaptive Data-Driven Neural Dynamic Surface Control for Unknown Nonlinear Uncrewed Ground Vehicles With Input Saturation
[YES] 188/200 | Advancing Integrated Communications and Stealth Via STAR-RIS for Low-Altitude Wireless Networks
[NO] 189/200 | HLIPIA:Efficient LLM On-Device Deployment Optimization with Hybrid Layer-Importance Pruning and Improved Adaptive Low Rank Adaptation
[NO] 190/200 | A Lightweight Framework for Multi-view Chest Radiograph Analysis using Augmented Metadata
[NO] 191/200 | Design and Performance Analysis of a Compact FR-4-Based Antipodal Vivaldi Antenna for Ultra-Wideband and mmWave Applications
[NO] 192/200 | LQG-Based Distributed Resilient Control for DC Microgrids Over Unreliable Communication Channel
[NO] 193/200 | SyDRA: Dual-Stream Synergistic Learning for Interference-Robust Anomaly Localization on Structure-Dominant Industrial Surfaces
[NO] 194/200 | A Solution for Efficient Cross-Cluster Communication in Multi-Kubernetes Clusters
[NO] 195/200 | EpiCRISPR: Improving CRISPR/Cas9 on- and off-target prediction by flanking sequences, epigenetic marks, and high-throughput datasets
[NO] 196/200 | Supervised Feature Selection via Collective First-Order Neural Dynamics
[NO] 197/200 | The error estimation problem in machine learning surrogate models for engineering simulation
[NO] 198/200 | Title Page iii
[NO] 199/200 | HashVer: Low-Latency Consensus on Blockchain Networks with Heterogeneous Nodes
[NO] 200/200 | IEEE Security &amp; Privacy
筛选完成：共 200 篇；Yes = 5 篇；已保存到 papers/select_paper2026-08-26.json。
邮件发送成功！
[2026-08-27 20:01:00] 任务执行成功！
