[2025-12-31 09:14:28] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-30
正在获取论文...
[IEEE] 2025-12-30 | Table of Contents
[IEEE] 2025-12-30 | Leveraging Copernicus Emergency Core Service Products to Support National Institutions in Earthquake Emergency Management
[IEEE] 2025-12-30 | A Meta-Analytic NLP-Driven Mapping of Fairness in Healthcare AI
[IEEE] 2025-12-30 | Scalable Deep Learning Frameworks for Cyberbullying Detection in Social Media
[IEEE] 2025-12-30 | Feature Engineering-Empowered MLOps for Smart Grid Failure Prediction Software
[IEEE] 2025-12-30 | Load prediction with hybrid neural networks using data decomposition, dynamics, and financial tools
[IEEE] 2025-12-30 | Assessing Popular GAN Models Using Fréchet Inception Distance
[IEEE] 2025-12-30 | Supporting Pipelined Memory Accesses in Processor Synthesis
[IEEE] 2025-12-30 | Transformer-Based Attention for Gestural Language Identification
[IEEE] 2025-12-30 | Decentralized Adaptive Virtual Impedance Control for Reactive Power Sharing in Single-Loop Grid-Forming Inverters
[IEEE] 2025-12-30 | A Comparative Analysis of Machine Learning Algorithms for Heart Attack Prediction
[IEEE] 2025-12-30 | Deep Reinforcement Learning-Driven Nonlinear Scheduling with Dual Decomposition for Intelligent Library Signaling Systems
[IEEE] 2025-12-30 | Modeling Electroporation Dynamics in Liposomes and Cells Exposed to Nanosecond Pulsed Electric Fields for Optimized Drug Delivery
[IEEE] 2025-12-30 | Sensor Network for the Assessment of Spatiotemporal Dynamics of the Environmental Exposure of Adaptive Antennas
[IEEE] 2025-12-30 | Promoting Cultural Heritage: Deep Learning-Based Temple Recognition for Karnataka Tourism
[IEEE] 2025-12-30 | Design and Implementation of Acoustic Gunshot Detection Using Machine Learning and Source Localization with Direction of Arrival Algorithm
[IEEE] 2025-12-30 | Intelligent Resource Allocation in Wireless Sensor Networks: A Hybrid Optimization Approach for Energyconstrained Environments
[IEEE] 2025-12-30 | Predicting the Health Condition About COVID-19 in the Rural Areas using Ensemble of Ensemble Methods
[IEEE] 2025-12-30 | Analysis of a Rectangular Metallic Cavity with Meta Surface Walls
[IEEE] 2025-12-30 | Survey of Data-Centric Machine Learning Approaches in IoT-Enabled Self-Evolving Smart Environments
[IEEE] 2025-12-30 | Ai-Driven Automated Evaluation System for Student Performance in Mcq and Essay Assessments
[IEEE] 2025-12-30 | Ultrathin Metasurface Design for Enhanced Wireless Power Transfer to Deep Tissue Implants
[IEEE] 2025-12-30 | A Hybrid Vision-Driven Ensemble and Goal Programming Model for Potato Crop Yield Optimization and Disease Management
[IEEE] 2025-12-30 | Optimizing Hybrid Black Winged Kite Starfish for Economical Planning of Electric Vehicle Charging Stations in Smart Grids
[IEEE] 2025-12-30 | Procedural Generation of Communication Networks in Power Systems
[IEEE] 2025-12-30 | A Physics-Informed Machine Learning Approach for Non-Intrusive Identification of Residential Photovoltaics
[IEEE] 2025-12-30 | Fake Image Detection Using Biomarkers with Deep Neural Network
[IEEE] 2025-12-30 | CMC: Compound Memory-Computing Architecture for Energy-Efficient CNN Accelerators
[IEEE] 2025-12-30 | A Proposed Fault-Tolerant Approach to BPMN Workflow Migration Amidst Update Failures
[IEEE] 2025-12-30 | A New Look at Analytical Absorbing Boundary Conditions in the Fdtd Method
[IEEE] 2025-12-30 | Timing-Driven Multi-Bit Flip-Flop Allocation Utilizing Design-Technology Co-Optimization Techniques
[IEEE] 2025-12-30 | Intelligent Analysis and Alarm Driven Platform for Power Operation Based on Multi-Source Data Fusion
[IEEE] 2025-12-30 | From Knowledge to Open Innovation: The Roles of Social Media and Innovative Work Behavior in Small and Medium Enterprises (SMEs)
[IEEE] 2025-12-30 | 5GDHC Field Trials in Sweden: Improving Energy Efficiency Through Optimal Control
[IEEE] 2025-12-30 | Reducing Travel Times of Tele-Operated Vehicles Through Connected Road Maps
[IEEE] 2025-12-30 | Prediction of Child Stunting through Machine Learning Models: Strategies for Advancing SDGs in Indonesia
[IEEE] 2025-12-30 | Digital Financial Literacy, Risk Perception, and Impulsive Behavior: Investigating Environment of Buy Now, Pay Later (BNPL) in Online Travel Platforms
[IEEE] 2025-12-30 | Predictive Analysis of Marketing Campaign Performance and Distribution Channels on Sales of Susu Gunung Products
[IEEE] 2025-12-30 | User-Centric Flexibility Aggregation for the Integrated European Balancing Markets
[IEEE] 2025-12-30 | Analysis of Legal Text using Juxtaposed Pre-processing for Effective Feature Extraction
[IEEE] 2025-12-30 | Application of Monte Carlo Method in Uncertainty Evaluation of Platinum Resistance Thermometer Sensors
[IEEE] 2025-12-30 | Assessment of EV Aggregators’ Revenue in Day-ahead and Reserve Markets in Japan
[IEEE] 2025-12-30 | UAV Image Classification: A Comparative Evaluation of CNN Models
[IEEE] 2025-12-30 | Understanding Why ChatGPT Outperforms Humans in Visualization Design Advice
[IEEE] 2025-12-30 | A Variable-Scale Diagnosis Method for Gearbox Faults in Wind Turbines
[IEEE] 2025-12-30 | Measurement of Electromagnetic Interference Current in Cables Based on BPM Method
[IEEE] 2025-12-30 | Managing Differentiated Secure Connectivity using Intents
[IEEE] 2025-12-30 | AI Integration for Sustainable DevOps &amp; Cloud Interdisciplinary: Framework Optimized Resource Management and Carbon Efficiency
[IEEE] 2025-12-30 | AI Agent-Driven Framework for Data Governance and Privacy in Oracle-based Insurance Systems
[IEEE] 2025-12-30 | Implicit Solutions for Line Partitions in Electrical Distribution System Restoration MDP
[IEEE] 2025-12-30 | Preliminary Investigation on Inverse Scattering-Based Design of Dielectric Superstrates for Beam Shaping
[IEEE] 2025-12-30 | Time-Domain Dual Surface Electric Field Integral Equation
[IEEE] 2025-12-30 | A Pragmatic Approach to Distribution System State Estimation at Low-Voltage Level
[IEEE] 2025-12-30 | Sound Localization for Gun-Shot Detection Using Fourier Transform
[IEEE] 2025-12-30 | Temperature Control of Thermostatic Water Bath Based on Gray Prediction and Fuzzy PID Control
[IEEE] 2025-12-30 | Design and Implementation of a Miniaturized Ground System for MWD
[IEEE] 2025-12-30 | Embedding Atlas: Low-Friction, Interactive Embedding Visualization
[IEEE] 2025-12-30 | Intelligent Traffic Flow Prediction Using Hybrid Deep Learning Models
[IEEE] 2025-12-30 | Towards Real-ESRGAN Refinement for Realistic Image Restoration via Advanced Degradation and Knowledge Distillation
[IEEE] 2025-12-30 | Multi-Objective Congestion Management in Low-Voltage Grids: Coordinating End-Users and System Operators for Real-World Implementation
[IEEE] 2025-12-30 | Measurements of Slot-Fed Circularly Polarized Layered Cylindrical Dra for X-Band Applications
[IEEE] 2025-12-30 | Federated Learning for Privacy-Preserving Seizure Detection in IoT-Cloud Networks
[IEEE] 2025-12-30 | Fault Localization in Power Systems Using Artificial Neural Networks
[IEEE] 2025-12-30 | A Novel Synthetic Battery for Realistic IoT Device Lifetime Prediction
[IEEE] 2025-12-30 | UTEHY-NLU@ALQAC 2025: Dynamic Weighted Ensemble and Adaptive Reasoning for Vietnamese Legal Text Processing
[IEEE] 2025-12-30 | Multi-Objective Optimization Algorithms for Energy Management Systems in Microgrids: A Control Strategy Based on a PHIL System
[IEEE] 2025-12-30 | Expensa: Offline Mobile App for Personal Expense Tracking
[IEEE] 2025-12-30 | NN-based NMPC Control law approximation for Maximal Wind Energy Extraction in wind turbines
[IEEE] 2025-12-30 | Feature Selection via Synergistic Integration of Feature Correlation and Neighborhood Decision Mutual Information
[IEEE] 2025-12-30 | IoT-based Wildlife Intrusion Detection and Alert System using Sensor Fusion and AI for Agricultural Protection
[IEEE] 2025-12-30 | ISAR Algorithm for Detecting Target Scatters: An Enhanced Range-Doppler Approach with Interference Suppression
[IEEE] 2025-12-30 | Thick Data Analytics in Healthcare: Integrating Qualitative Insights with Machine Learning
[IEEE] 2025-12-30 | The Regularized Wiener-Hopf Method Applied to EM Scattering Problems Involving Entire Unknowns
[IEEE] 2025-12-30 | Investigation of Network Code Compliance for Electric Vehicle Onboard Chargers in Denmark
[IEEE] 2025-12-30 | Early Determination of Autism Spectrum Disorder by an Improved Multi-Layer Perceptron with Adam Optimization Process
[IEEE] 2025-12-30 | Improving Power System Frequency Response with Converter-Based Resources: A Measurement-Based Analysis
[IEEE] 2025-12-30 | Robust Predictive Control for Dual Three-Phase PMSMs via Cost Function Optimization
[IEEE] 2025-12-30 | Internet of Things-Enabled Cyber Threat Detection in Self-Driving Vehicle Networks Using a Hybrid Deep Learning-Based Security Model
[IEEE] 2025-12-30 | Smart Assessment and Enhancement of Indoor Environmental Quality in Cultural Heritage Buildings
[IEEE] 2025-12-30 | Metasurface-Based Circular Polarization Conversion for a Patch Antenna at 5.8 GHz
[IEEE] 2025-12-30 | Performance Testing of the Hybrid Inverter Drive in a Practical Application
[IEEE] 2025-12-30 | Fast and Faithful Edge Bundling for Large and Complex Networks
[IEEE] 2025-12-30 | Investigating Active Impedance in Arrays with Varying Size using Accelerated MoM
[ACM] 2025-12-30 | Efficient Dispersion of Mobile robots in Torus Networks
[IEEE] 2025-12-30 | BDIMed 2025 Author Index
[IEEE] 2025-12-30 | Front Cover
[IEEE] 2025-12-30 | A Dynamic Priority-Aware Task Offloading and Resource Allocation Strategy Assisted by RSU-Relay in Vehicular Edge Computing
[IEEE] 2025-12-30 | Ultra-High-Speed Motor With Enhanced Cooling for Cordless Vacuum Cleaners
[IEEE] 2025-12-30 | 2025 IEEE International Symposium on Product Compliance Engineering - Asia (ISPCE-ASIA)
[IEEE] 2025-12-30 | Effect of Environmental Temperature and Humidity on the Detection of Alcohol Denaturants using Metal-Phenolic Film-Coated Quartz Crystal Microbalances_supp2-3622641.xlsx
[IEEE] 2025-12-30 | Suppression of Surface Discharge in Atmospheric Air by Corrugated Barrier Structure Fabricated Using 3D Printing
[IEEE] 2025-12-30 | Improving Dynamic Response in Wireless Power Transfer Receiver Buck Converters via DC-Link Peak Voltage-Based Loop Control
[IEEE] 2025-12-30 | A Terahertz SAR Motion Compensation Method Based on Adaptive Aperture Decomposition and SFLS
[IEEE] 2025-12-30 | Generation of Seamless Seasonal NDVI Products from Multi-Source GaoFen Images
[IEEE] 2025-12-30 | Welcome Message from the VIS 2025 General Chairs
[IEEE] 2025-12-30 | Phase-coded FMCW Laser Headlamp for Integrated Sensing, Communication, and Illumination
[IEEE] 2025-12-30 | Quantifying the Economic Loss and Operational Implications of Air Pollution on Grid-Connected PV Systems in the Arabian Peninsula: A Machine Learning-Based Analysis
[IEEE] 2025-12-30 | NLSDR-Net: A Lightweight Nonlocal Spatial Disparity Refinement Network for Robust and Real-Time Stereo Matching
[ACM] 2025-12-30 | Mizan: An Innovative Tool for Building Arabic Morphological Pattern Dictionaries and Enhancing Lexical Resource Development
[ACM] 2025-12-30 | Conversations with a Prominent Propagator: Jens Mönig
[ACM] 2025-12-31 | Guiding mHealth Development for Non-communicable Diseases: A Theory-Based Design Science Framework
[ACM] 2025-12-31 | An Interpretable AI Model for Alzheimer's Disease Detection using Retinal Images
[IEEE] 2025-12-30 | TSR: Classifying and Scheduling of IoT Tasks in Heterogeneous Cloud-Fog Computing Environment
[IEEE] 2025-12-30 | Evolutionary Multitasking with Second-Order Knowledge Information for Community Detection
[IEEE] 2025-12-30 | Migration of HV-MOS Buck Converter Design to LV-MOS Variant - Challenges in Aging EOS Verification
[IEEE] 2025-12-30 | Comparative Analysis of SVR and Random Forest Classifiers for Short-Term Buy Signal Prediction in Indian Equities
[IEEE] 2025-12-30 | Real-Time Road Accident Prediction in Smart Cities using a Hybrid Random Forest–LSTM Model
[IEEE] 2025-12-30 | A Wigner-Based Migration Technique for Target Detection and Localization
[IEEE] 2025-12-30 | A Stochastic Approach to Frequency Reserve Modeling Using Artificial Neural Networks
[IEEE] 2025-12-30 | Deep Learning-Based Prognostic Modeling for Alzheimer's Disease
[IEEE] 2025-12-30 | Collaborative Control System of Photovoltaic Station Intelligent Cleaning System Supported by Internet of Things Technology
[IEEE] 2025-12-30 | Exploration on the Application of Artificial Intelligence in the Operation and Maintenance of Power Grid Metering Automation System
[IEEE] 2025-12-30 | Research on the Calculation Method of Transformer Discharge Fault Probability
[IEEE] 2025-12-30 | Thena: Torus Fully Homomorphic Encryption on Energy-Efficient Heterogeneous Architecture
[IEEE] 2025-12-30 | Design and Implementation of a Low-Cost Foot Pressure Sensor for Lower-Limb Exoskeletons: The Case of HERMES EXO
[IEEE] 2025-12-30 | Hybrid Deep Learning Models in Stock Market Forecasting: A Review
[IEEE] 2025-12-30 | Graph Neural Network-Based Modeling Study of the Molecular Mechanisms of Intestinal Metaplasia-to-Gastric Cancer Transformation Under the Action of mRNA Vaccines
[IEEE] 2025-12-30 | Preliminary Analysis of a Microwave Imaging System for Detecting Inclusions in Non-Planar Hosting Media
[IEEE] 2025-12-30 | Optimization Strategy for Microgrid Operation Based on Unsupervised Dynamic Feature Selection Algorithm
[IEEE] 2025-12-30 | Epilepsy Detection and Localization using EEG Signals
[IEEE] 2025-12-30 | TF-DiffEEG: High-Fidelity iEEG Reconstruction from Scalp EEG via Dual-Domain Diffusion
[IEEE] 2025-12-30 | RF Effects and Coupling Simulation for Biological Systems
[IEEE] 2025-12-30 | An Optimized Carrier-Based Modulation for Circulating Currents Reduction in Parallel-Operated Inverter Fed FESM
[IEEE] 2025-12-30 | PIM-SUM: Fast and Reliable In-Memory Summation for Recommendation Systems
[IEEE] 2025-12-30 | Analysis of User Experience in Virtual Reality Court for Supporting Succesful of Legal Education
[IEEE] 2025-12-30 | Assessing the Influence of Grid-Forming Wind Power Plants and Battery Energy Storage on Dynamic Cascading Failures in Power System
[IEEE] 2025-12-30 | Adaptive Multimodal Biometric Authentication for Secure and Inclusive Access
[IEEE] 2025-12-30 | Beam Position Measurement Algorithm Based on Robust Moving Total Least Squares Method
[IEEE] 2025-12-30 | Detection of Model Poisson Attack in Federated Learning System Using AAE in IIoT Systems
[IEEE] 2025-12-30 | Analysis of Public Sentiment Towards the 2025 Budget Efficiency Policy on Social Media X Using Naïve Bayes and Support Vector Machine
[IEEE] 2025-12-30 | Optimization of IoT-Based Hybrid Solar-Battery Microgrids Using Modified Firefly Algorithm
[IEEE] 2025-12-30 | A Reinforcement Learning Simulator for Multi-UAV Based Network Coverage Problem
[IEEE] 2025-12-30 | Intelligent Robot Path Planning Performance Optimization and Control Strategy Integrating Reinforcement Learning and AlphaEvolve
[IEEE] 2025-12-30 | IGET-- A Knowledge Transformation Model Considering Generative AI
[IEEE] 2025-12-30 | Transfer Learning Approach in Optimizing CNN-Based Javanese Script Classification
[IEEE] 2025-12-30 | Evaluation of Polynomial-Based Approximate S-Box for AES under Paillier Partial Homomorphic Constraints
[IEEE] 2025-12-30 | Optimizing Image Dehazing with Balanced Loss and Feature Map Enhancement
[IEEE] 2025-12-30 | Adaptive Two-Layer Inspection Framework for Mitigating Security Risks in Large-Scale Vertical Domain Language Models
[IEEE] 2025-12-30 | Corporate Social Responsibility Activity and Reporting in Singapore Hospitality Sector
[IEEE] 2025-12-30 | A Review of Lumbar Disc Herniation Classification on Deep Neural Network Approaches
[IEEE] 2025-12-30 | Sensor Deployment in mm-Near Field Monostatic Radar Imaging
[IEEE] 2025-12-30 | Semantic-Aware Learning-Driven Multimodal Night Vision Image Fusion Framework
[IEEE] 2025-12-30 | Hyperparameter Optimization Algorithm for Satellite Clock Bias Prediction Model Based on Deep Learning
[IEEE] 2025-12-30 | A Novel RT-DETR Based Framework for High-Precision PCB Defect Detection: Implementation
[IEEE] 2025-12-30 | Detection of Phishing Websites using Feature Selection and Image Embeddings
[IEEE] 2025-12-30 | Semantic Pathway: An Interactive Visualization of Hidden States and Token Influence in LLMs
[IEEE] 2025-12-30 | Optimizing Virtual Power Plant Participation in Demand Response Events Using Aggregated Member Battery Capacities
[IEEE] 2025-12-30 | Pixel-DNA: Increasing Robustness of Approximate DNA Storage for Images by Using Hierarchical Deduplication
[IEEE] 2025-12-30 | LAURA: A Legal Agent Using Reasoning and Acting for Vietnamese Law
[IEEE] 2025-12-30 | Scope Meets Screen: Lessons Learned in Designing Composite Visualizations for Marksmanship Training Across Skill Levels
[IEEE] 2025-12-30 | A Nonuniform Meshing Scheme for a FDTD in Spherical Coordinates
[IEEE] 2025-12-30 | Evaluation of Measurement Uncertainty for Vertical Elevation Angle of Wind Direction of Three-dimensional Positive-definite Ultrasonic Anemometer
[IEEE] 2025-12-30 | Early Pancreatic Cancer Detection using Hybrid Stacking Ensemble Model
[IEEE] 2025-12-30 | Traffic Light Surveillance Management using YOLOv12
[IEEE] 2025-12-30 | An Early Warning Application for Detecting Low-Frequency Oscillations in Power Systems
[IEEE] 2025-12-30 | The Bistability Phase Diagram for Quantum Dot Supercrystals Subject to Continuous Radiation
[IEEE] 2025-12-30 | Towards Low-Latency and Adaptive Ransomware Detection Using Contrastive Learning
[IEEE] 2025-12-30 | Integrating Human Feedback and Unsupervised Fine-Tuning in Open-Domain Short-Answer Grading: A Scalable HITL Architecture
[IEEE] 2025-12-30 | An Explainable AI Framework Combining Multi-Task GCN and Reinforcement Learning for Adaptive Feeding and Animal Health Management in Dairy Farming
[IEEE] 2025-12-30 | A RoBERTa-Centric Hybrid Approach using LSTM and BiGRU for Sentiment Analysis of Online Reviews
[IEEE] 2025-12-30 | AI-Powered Threat Detection and Response System for Next-Gen Cyber Defense
[IEEE] 2025-12-30 | Human Head Exposure to Bluetooth Frequency - Thermal Response
[IEEE] 2025-12-30 | AI-Driven Security for Hierarchical Edge Computing: Combining D2D, WRR, and Queue-Based Load Distribution
[IEEE] 2025-12-30 | Addressing the Radio Frequency Interference Problem Through Characteristic Mode Analysis
[IEEE] 2025-12-30 | Next-Generation Women's Security using IoT and Geofencing
[IEEE] 2025-12-30 | QuFi: Adaptive Tiled Gustavson Output Reuse for Edge Sparse DNN Accelerators
[IEEE] 2025-12-30 | Android Application for Bill Splitting and Expense Tracking Using Google Cloud Vision Optical Character Recognition (OCR) and Gemini AI
[IEEE] 2025-12-30 | Comparison of Fourier Transform, Windowed Fourier Transform, and Wavelet Transform Methods for Phase Extraction in Tilt Moiré-Fringe-Based Lithography Alignment
[IEEE] 2025-12-30 | Antenna Near-Field Reconstruction from Far-Field Data Using Convolutional Neural Networks
[IEEE] 2025-12-30 | Power Quality Assessment of EV Fast Charging Systems Using AFE-PSFB Topology
[IEEE] 2025-12-30 | Optimization Configuration Method of Distributed Energy Storage for Enhancing the Hosting Capacity of Distributed Network
[IEEE] 2025-12-30 | Hybrid Machine Learning Approach for Early Detection of Ovarian Cancer using SVM and KNN Models with Feature Selection
[IEEE] 2025-12-30 | Efficiency Improvement of Wireless Charging System Based on Double-layer Multi-transmitters
[IEEE] 2025-12-30 | Edge-Aware AI-Model: A Lightweight Deep-Learning for Mapping of Child Growth
[IEEE] 2025-12-30 | Electromagnetic Applications of Machine Learning in Space Technology
[IEEE] 2025-12-30 | Convolutional Neural Network-Based Transfer Learning for Indonesian Wind and String Instrument Image Classification
[IEEE] 2025-12-30 | Optimized Centralized vs Distributed BESS: Techno-Economic-Environmental Comparison in UK LV Networks
[IEEE] 2025-12-30 | Sampled Data-Based Observer and Resilient Event-Triggered Controller Design for Cyber-Physical Systems to Mitigate Bounded Mixed Cyber Attacks
[IEEE] 2025-12-30 | Power line energy harvesting system for GaN transistors monitoring
[IEEE] 2025-12-30 | Small-Object Detection at the Edge: A Pareto-Efficient Benchmark of Lightweight YOLO Models on UAV and Overhead Datasets_supp2-3648968.docx
[IEEE] 2025-12-30 | A Survey on Edge-Aware Graph Learning Methods
[IEEE] 2025-12-30 | HARMONY: A Holistic Auto-scaling Resilient Model for Multi-Objective Adaptation in Microservices using HPPNs - A Case Study on E-Business Platforms
[IEEE] 2025-12-30 | Motion Reproduction System for Environmental Impedance Variation via Data-Driven Identification of Human Stiffness
[IEEE] 2025-12-30 | The Characteristic Values of Negative Imaginary Systems and Their Riccati-Balanced Representation
[IEEE] 2025-12-30 | ICSCN 2025 Messages
[IEEE] 2025-12-30 | Bicycle Sensor Platform (BSP) for Road Anomaly Detection using a Physics-based and Machine Learning aided approach
[IEEE] 2025-12-30 | Optimal Quantization for Matrix Multiplication
[IEEE] 2025-12-30 | List of Committee
[IEEE] 2025-12-30 | RASSE 2025 Copyright
[IEEE] 2025-12-30 | Peak Age of Information Analysis for Real-Time Status Update Systems Based on Martingale Theory
[IEEE] 2025-12-30 | SFOM-PPO: An SINR-Aware Feature Optimization Mechanism-Driven Resource Allocation Scheme for Semantic Spectral-Efficient Image Transmission
[IEEE] 2025-12-30 | MSWiM 2025 List Reviewer Page
[IEEE] 2025-12-30 | Steering Committee
[IEEE] 2025-12-30 | Attention-Augmented LSTM for Short-Term Wind and PV Power Forecasting
[IEEE] 2025-12-30 | Analysis of Transmission Line Effect of Dynamic Capacitive Power Transfer System With Long Transmitting Plates
[IEEE] 2025-12-30 | Intelligent Substation Energy Allocation for Regenerative Braking by Reinforcement Learning
[IEEE] 2025-12-30 | Design of Accounting Resource Sharing Platform Based on Data Mining and Cloud Computing
[IEEE] 2025-12-30 | Random Forest Machine Learning Model for Prediction of Compressor Failure Using Intelligent Controller
[IEEE] 2025-12-30 | An Autonomous Network Positioning Technique for B5G/6G Applications
[IEEE] 2025-12-30 | Design of High-Precision Aqueous Solution Conductivity Meter
[IEEE] 2025-12-30 | Influence of acidic products on the oxidation stability of synthetic ester insulating oil
[IEEE] 2025-12-30 | Personalized Tonal Harmony Parsing via Scoring-Based Tree Selection
[IEEE] 2025-12-30 | Cross-Attentive Autoencoder Framework for Multimodal Data Fusion in Internet of Vehicles Systems
[IEEE] 2025-12-30 | MH-SpGEMM: Efficient Sparse General Matrix-Matrix Multiplication on Modern GPUs via Masking and Hashing Cooperative Optimization
[IEEE] 2025-12-30 | Development of the Ambipolar Electric Field in a Compressed Current Sheet with and without a Guide Field
[IEEE] 2025-12-30 | A Reproducible Framework for Rooftop PV Segmentation Using ResNet-50 and Mini U-Net on Google and IGN Imagery
[IEEE] 2025-12-30 | Fake Number Plate Detection Using Vehicle Image Analysis: A Robust Verification System
[IEEE] 2025-12-30 | Sensor Data Fusion and Intelligent Monitoring System for Concrete Pile Construction
[IEEE] 2025-12-30 | Investigating the Impact of Electrical Disturbances on the Dynamics of Coupled Electrolyzer-Compressor Systems
[IEEE] 2025-12-30 | Sentiment Analysis on the JMO Application Using Random Forest with Grid Search Optimization
[IEEE] 2025-12-30 | SSM-RDU: A Reconfigurable Dataflow Unit for Long-Sequence State-Space Models
[IEEE] 2025-12-30 | Design and Simulation of RSRA Resonator Sensor for Adulteration Detection in Milk
[IEEE] 2025-12-30 | V2X Message Multi-Label Classification: A Deep Learning Approach
[IEEE] 2025-12-30 | Impact of Orthogonal Signal Characteristics in Orthogonal Distance Regression Algorithm on Time Base Jitter Compensation for Broadband Sampling Oscilloscopes
[IEEE] 2025-12-30 | Quantum Cryptography and Key Distribution for Secure Communication in the Post Quantum World
[IEEE] 2025-12-30 | A Machine Learning Framework for Predicting Wind Turbine Active Power from Multivariate Sensor Data
[IEEE] 2025-12-30 | Qualitative Multimodal Diagnostic Assessment of PV Installations: Field Results from the PROMISE Second Advanced School in Malta
[IEEE] 2025-12-30 | A Study on Microgrid System Planning for Convenience Stores Considering Energy Storage Dispatch Potential
[IEEE] 2025-12-30 | Investments in Residential Solar Panel-, Battery-and Energy Management Systems: Insights from the Belgian Market
[IEEE] 2025-12-30 | IC Fault Diagnosis Using Bayesian Network and Simulated Annealing
[IEEE] 2025-12-30 | A Secure Framework for Geofenced Data Encryption via Cryptographic Hashing and Multi-Channel Steganography
[IEEE] 2025-12-30 | Polymatroidal Representations of Aggregate EV Flexibility Considering Network Constraints
[IEEE] 2025-12-30 | Optimization of Catenary Maintenance Using Multi-Strategy Improved Dung Beetle Optimization Algorithm
[IEEE] 2025-12-30 | Integration with AI ML-Smart Decision Making Framework Enhanced Operational Efficiency, Flexi Integrate Optimization
[IEEE] 2025-12-30 | Review of the flexibility potential in positive energy districts: opportunities and challenges
[IEEE] 2025-12-30 | Classifying Adverse Voltage Control Interactions in Active Distribution Networks: A Brief Survey
[IEEE] 2025-12-30 | Optimizing the Operating Strategy of Over-Installed Renewable Plants With Battery Storage Systems
[IEEE] 2025-12-30 | Physics-Informed Neural Networks for Efficient Electric Field Modelling in Deep Brain Stimulation
[IEEE] 2025-12-30 | Ensemble Model for Prediction of Protein Backbone Torsion Angles
[IEEE] 2025-12-30 | CO
                    <sub>2</sub>
                    Conversion via Magnetic Field Stabilized Glow Discharge
[IEEE] 2025-12-30 | High efficiency, cost effective, current source inverter for microgrid photovoltaic generators
[IEEE] 2025-12-30 | Research and Design of Portable Heart Rate Detection System Based on STC89C52
[IEEE] 2025-12-30 | Assessment of “Reduced Basis” Formulations for Electromagnetic Finite Element Tearing and Interconnecting (FETI) Frequency Sweeps Simulations of Large Reconfigurable Transmit Arrays Antennas
[IEEE] 2025-12-30 | Intelligent HVAC Monitoring for Energy Efficiency via LSTM Autoencoder-Based Outlier Detection Model
[IEEE] 2025-12-30 | Home Energy Management using End-to-End Learning
[IEEE] 2025-12-30 | Remote-Controlled Autonomous Weed Detection and Elimination using Deep Learning
[IEEE] 2025-12-30 | Performance Evaluation of Classification Multi Algorithms on Small Dataset: A Comparative-Based Analysis
[IEEE] 2025-12-30 | Leveraging k-Weighted Dominating Set for Graph Sparsification
[IEEE] 2025-12-30 | Scattering of TM- and TE-Plane Waves Obliquely Incident on Slotted PEC Cylinders with Surfaces Parameterized by the Super-Ellipse Equation
[IEEE] 2025-12-30 | Private Returns on Technology Adoption
[IEEE] 2025-12-30 | An Urban Data Management Platform for Bridging Trusted Ecosystems, Dataspaces, and Digital Twins
[IEEE] 2025-12-30 | Smart and Ready? A Comparative Analysis of Seven EU Countries' Preparedness for Adopting the Smart Readiness Indicator Scheme
[IEEE] 2025-12-30 | FedSAE-HS: Hybrid Anomaly Scoring for Semi-Supervised Federated Intrusion Detection
[IEEE] 2025-12-30 | Hallucinations in Generative AI: Epistemic Risks for Learners in Educational Applications
[IEEE] 2025-12-30 | Smart Choices for Industrial Decarbonization: Impact of Electricity Grid Connection on Risk and Sizing of Photovoltaic-Electrolyzer Systems
[IEEE] 2025-12-30 | AI-Driven Back Support Exoskeletons for Agricultural Workers: A Comprehensive Review of Biomechanical Load Reduction and Intelligent Control Systems
[IEEE] 2025-12-30 | Methodology for Managing Medical Images, based on the DICOM Standard
[IEEE] 2025-12-30 | Inferring Surface Susceptibilities for Mask-Based Metasurface Beam Shaping Using Deep Learning
[IEEE] 2025-12-30 | Explainable DeepFake Detection: Comparative Analysis of CNN and Transformer Architecture with XAI
[IEEE] 2025-12-30 | Reconstruction of Objects at Cell Scale from Microscope Images with Inverse Scattering Algorithm
[IEEE] 2025-12-30 | Loop Radius Optimization for High-Efficiency Wireless Power Transfer System
[IEEE] 2025-12-30 | Acceptance of AI in Philippine Higher Education: Exploring the Role of Perceived Interactivity, Satisfaction, and Value on ChatGPT Use Among Manila Undergraduates
[IEEE] 2025-12-30 | Plasma Signatures of Small Orbital Debris in LEO
[IEEE] 2025-12-30 | Data-Driven Compute Overlays for Interactive Geographic Simulation and Visualization
[IEEE] 2025-12-30 | Student Grade Prediction Through GitLab Logs
[IEEE] 2025-12-30 | CMT-BMC: A Convolutional Multi-Head Transformer Model for Bone Marrow Classification
[IEEE] 2025-12-30 | Exposing ToS-Based Traffic Manipulation with Deep Learning Models
[IEEE] 2025-12-30 | An Analytical Model for Electromagnetic Force of PMSM with Auxiliary Slot
[IEEE] 2025-12-30 | Application of Artificial Intelligence Technology in Electromagnetic Research of High-Speed Maglev Trains
[IEEE] 2025-12-30 | Global Extrema Bias Perception and Recall of Average Data Values in Line Charts
[IEEE] 2025-12-30 | Integration of User Interface, Usability, and User Experience Evaluation Methods in Software Development Life Cycle: A Conceptual Model
