[2026-05-14 11:10:13] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-05-13
正在获取论文...
[arXiv] 2026-05-13 | Machine-learning applications for weak-lensing cosmology
[NO] 68/200 | Scaling Retrieval-Augmented Reasoning with Parallel Search and Explicit Merging
[NO] 69/200 | Manifold-Aware Information Gain and Lower Bounds for Gaussian-Process Bandits on Riemannian Quotient Spaces
[NO] 70/200 | Dependence functions based on Chatterjee's rank correlation
[NO] 71/200 | Granite Embedding Multilingual R2 Models
[NO] 72/200 | Perfect simulation for interacting Hawkes processes with reset-induced variable length memory
[NO] 73/200 | The inertial Itô drift and its applications to particle collision
[NO] 74/200 | COOL-LAMPS IX: A Rare Duo of Quasars Each Lensed by a Single Massive Galaxy Cluster
[NO] 75/200 | Quantum resolution of the Schwarzschild singularity
[NO] 76/200 | Gibbons-Tsarev type systems and Eventual identities
[NO] 77/200 | Structural identifiability of partially-observed stochastic processes: from single-particle trajectories to total particle density data
[NO] 78/200 | Reward-Weighted On-Policy Distillation with an Open Property-Equivalence Verifier for NL-to-SVA Generation
[NO] 79/200 | Sustainable Graph Analytics Workload Scheduling with Evolutionary Reinforcement Learning in Edge-Cloud Systems
[NO] 80/200 | Site-selective preparation of two-dimensional dipolar quantum gases in an optical beat-note lattice
[NO] 81/200 | Neural Video Compression with Domain Transfer
[NO] 82/200 | OSDN: Improving Delta Rule with Provable Online Preconditioning in Linear Attention
[NO] 83/200 | DP-KFC: Data-Free Preconditioning for Privacy-Preserving Deep Learning
[NO] 84/200 | LLMs as annotators of credibility assessment in Danish asylum decisions: evaluating classification performance and errors beyond aggregated metrics
[NO] 85/200 | RotVLA: Rotational Latent Action for Vision-Language-Action Model
[NO] 86/200 | Trajectory-Level Data Augmentation for Offline Reinforcement Learning
[NO] 87/200 | PreFIQs: Face Image Quality Is What Survives Pruning
[NO] 88/200 | Taming the Long Tail: Rebalancing Adversarial Training via Adaptive Perturbation
[NO] 89/200 | Note on a magic rectangle set on dihedral group
[NO] 90/200 | Tighter relaxations for MAP-MRF optimization via Singleton Arc Consistency
[NO] 91/200 | BlockVLA: Accelerating Autoregressive VLA via Block Diffusion Finetuning
[NO] 92/200 | Retrieval-Augmented Tutoring for Algorithm Tracing and Problem-Solving in AI Education
[NO] 93/200 | A Horn extension of DL-Lite with NL data complexity
[NO] 94/200 | The Geno-Synthetic Algorithm: Type-Factored Coevolutionary Optimization for Heterogeneous Genotypes and Assembled Phenotypes
[NO] 95/200 | Predicting Endocrine Disruptors: A Deep Learning QSAR Model for Estrogen Receptor Activity
[NO] 96/200 | Galerkin Approximation of the Fractional Sobolev Constant
[NO] 97/200 | Contextual Bandits for Resource-Constrained Devices using Probabilistic Learning
[NO] 98/200 | Swarm Network-as-a-Service (SNaaS)
[NO] 99/200 | Probing Persona-Dependent Preferences in Language Models
[NO] 100/200 | What Limits Vision-and-Language Navigation ?
[NO] 101/200 | Development of interdigital electrodes for detecting skin impedance
[NO] 102/200 | Implementation of a Fast-Track Total Hip Replacement Pathway Using the M.A.S.T.E.R. Framework: A Multidisciplinary Quality Improvement Initiative
[NO] 103/200 | Statistical Modeling of MAternal and Child Health Outcomes in the Philippines:Assessing Socioeconomics and Environmental Determinants of Facilitry-Based Delivery
[NO] 104/200 | Modeling and Implementation of a Digital Twin System for CNC Machine Tools
[NO] 105/200 | Fat Block: Narrowing the Boundary of pWCET Analysis on GPU
[YES] 106/200 | Mobility-Aware Adaptive Access Protocol: A Cross-Layer Framework with Predictive Backoff Optimization for UAV Ad-Hoc Networks
[NO] 107/200 | Characterizing Digital DRAM PIM through Modeling and Benchmarking
[NO] 108/200 | Memristor-Based Immune Neural Network Circuit With Neuromorphic Learning and Self-Repairing and its Application in Industrial Fault Diagnosis
[NO] 109/200 | An SDMT-Based CMOS Voltage Reference With a Novel NCC Scheme for PSRR Bandwidth Enhancement
[NO] 110/200 | Deep Learning-Based Crop Disease Phenotypic Recognition and Resistant Variety Screening Method
[NO] 111/200 | Increasing Engagement with Med-Chat using Gamification
[NO] 112/200 | MPA-YOLO: An Automated Detection Algorithm for Asphalt Pavement Distresses on National and Provincial Roads
[NO] 113/200 | Genetic Synthesis of Compact Quaternary Reversible Comparators for Quantum Computing
[NO] 114/200 | EAGLE: A Flexible Heterogeneous Analog Compute-In-Memory Architecture With RISC-V Programmable Multi-Core Accelerators
[NO] 115/200 | Virtual Reality and Digital Twins for Cyber-Physical Security Education
[NO] 116/200 | AI-Driven Intelligent Analysis and Narrative Structure Generation for Documentary Content
[NO] 117/200 | Design and Development of an OTA Remote Upgrade System: A Case Study on Fully Electric Autonomous Buses
[NO] 118/200 | Operationalising DAO Sustainability KPIs: A Multi-Chain Dashboard for Governance Analytics
[NO] 119/200 | Single-Cell Sequencing Reveals the Interplay Between Microbiota, Zinc Metabolism, and Immune Dysregulation in Pancreatic Ductal Adenocarcinoma
[NO] 120/200 | Proceedings of the 2025 9th International Conference on Computational Biology and Bioinformatics
[NO] 121/200 | Research on Anti-Jitter End-to-End Autonomous Driving Decision and Control Based on Policy Distillation
[NO] 122/200 | Research on Flexibility Resource Capacity Market Trading Mechanisms Based on Multi-Dimensional Classification
[NO] 123/200 | Knowledge Graph Construction and Applications for the Protection of the Ming Xianling Mausoleum
[NO] 124/200 | Software Fault Localization Method Based on Reinforcement Learning and Graph Neural Network
[NO] 125/200 | How Does Peer Tipping Affect Knowledge Contributions? Evidence from a Field Experiment on Stack Overflow
[NO] 126/200 | Emulation of the blood flow in the carotid, brachial, and coronary arteries by driving the pump of an emulator phantom using a system based on the mean flow velocity of arterial curves
[NO] 127/200 | Reduction of Episiotomies in the Birth Pathway: Application of the M.A.S.T.E.R. Methodology at the Evangelical Betania Hospital
[NO] 128/200 | Algorithm for Analyzing Spatial Heterogeneity in the Costs of Ecological Restoration Projects For Photovoltaic Power Stations
[NO] 129/200 | A Comparative Study of Multimodal Social Media Sentiment Analysis Across Different Fusion Strategies
[NO] 130/200 | Citizen Sentiment and Public Value in AI-Mediated Public Services: A Case Study of a Ministry Chatbot
[NO] 131/200 | Advancing LLM-Based Issue Report Classification with Explained Few-Shot Learning, Intent Extraction, Ensemble, and Summarization
[NO] 132/200 | MeanCut: Greedy graph clustering by fast maximum spanning tree and degree descent criterion_supp1-3692651.pdf
[NO] 133/200 | Nonparametric Control Koopman Operators
[NO] 134/200 | Egoism Unbound: Communication Corner No. 75
[NO] 135/200 | Bridging Code Property Graphs and Language Models for Program Analysis
[NO] 136/200 | Modeling the Transformation Path of the Accounting Profession under Artificial Intelligence: A Data-Driven and Explainable Learning Framework
[NO] 137/200 | A Resource-Efficient Canny Edge Detection Algorithm on FPGA for Railway Container Inspection
[NO] 138/200 | Proceedings of the 2026 IEEE/ACM 3rd International Flaky Tests Workshop
[NO] 139/200 | A Compact Slew-Rate-Enhanced Class-AB Buffer Amplifier Using Internal Current Reuse for Display Column Drivers
[NO] 140/200 | Enhancing Learning Motivation of Engineering Students via Minecraft: Incorporating an Embedded AI Agent
[NO] 141/200 | A Modular Fusion Neural Network Approach to Efficiently Predict Multi-Metal Binding Sites in Protein Sequences
[NO] 142/200 | A Survey and Empirical Benchmarking of Grading Methods for Interactive Autonomous Driving Scenarios
[NO] 143/200 | LLMs in Code Vulnerability Analysis: A Proof of Concept
[NO] 144/200 | In-Situ Electric Field-Assisted Preparation of SiC/Epoxy Composite Coatings with Oriented Filler Structure_supp1-3691698.mp4
[NO] 145/200 | Path planning for urban low-altitude drones based on deep reinforcement learning
[NO] 146/200 | Dynamic Preview Distance Based Trajectory Optimization for Lane Level Path Generation in Complex Intersections
[NO] 147/200 | A Hybrid Spatio-Temporal Traffic Monitoring System based on Optimized YOLOv8 and Virtual Induction Loops
[NO] 148/200 | Parametric Modeling and GPR Imaging of Planetary Lava Tubes Constrained by Terrestrial Analogs_supp1-3692190.pdf
[NO] 149/200 | Face Recognition on Mask-Occluded Faces Using Periocular Trait and Eye Blinking as Identity Biometrics
[NO] 150/200 | M.A.S.T.E.R. Framework Applications for Enhancing Laparoscopic Surgery Efficiency
[NO] 151/200 | Transcriptomic profiling of immune cells in pancreatic cancer
[NO] 152/200 | From Metric-Driven Assessment to Ethics-Embedded Evaluation: A Computer-Aided AHP Framework for Restorative Design in Traditional Craft Villages
[NO] 153/200 | Proceedings of the 2026 International Conference on Artificial Intelligence and Digital Services
[NO] 154/200 | Edge Feature Enhancement and Multi-scale Convolutional Kernel Selection Aggregation for Fine-grained Ship Detection
[NO] 155/200 | Simultaneous Reconstruction of Attenuation and Activity Images in TOF-PET Based on Adaptive Multi-Scale Median Root Prior
[NO] 156/200 | Reducing Time-to-Surgery in Elderly Patients with Proximal Femur Fractures: A Quality Improvement Initiative Using the M.A.S.T.E.R. Framework
[NO] 157/200 | Investigation on the influence of target parameters and interference on target detection using rose line scanning technique
[NO] 158/200 | Research on Digital Transformation of Tie-dye Fabric Based on Style3D and SVM Algorithm
[NO] 159/200 | Game of Coding: Coding Theory in the Presence of Rational Adversaries, Motivated by Decentralized Machine Learning
[NO] 160/200 | Personalized Wellness at Scale: A Framework for Designing AI-Driven Feedback in mHealth
[NO] 161/200 | FURINA: A Multi-Agent Framework for Automated Patch Correctness Assessment
[NO] 162/200 | Neo-antigen prediction using Mixture of Experts for HLA-peptides interactions with multi-factors incorporated
[NO] 163/200 | MG-HOF Net: Multi-Granularity and High-Order Fusion Network for Hyperspectral and LiDAR Classification_supp1-3691834.png
[NO] 164/200 | Iterative Interpolation Schedules for Quantum Approximate Optimization Algorithm
[NO] 165/200 | Research and Development of a Domestic Autonomous Driving Platform for Special Industrial Scenarios Driven by Multi - sensor Fusion
[NO] 166/200 | When AI Changes the Work: A Theory of Task Evolution
[NO] 167/200 | Creepy or Not: When AI Remember Too Much
[NO] 168/200 | EaSFE: Scalable and Efficient Feature Engineering for Boosting Machine Learning Performance
[NO] 169/200 | CMCF: A Confidence-aware Multi-feature Fusion Correlation Filter for Visual Tracking
[NO] 170/200 | Optimization of Postoperative Care and Discharge Process for Cesarean Sections with Complications
[NO] 171/200 | Texture-Aware Remeshing for Texture-aware Geometry Processing
[NO] 172/200 | Reconceptualizing Assessment for Human–AI Synergy in Information Systems Education
[NO] 173/200 | Memristive Binary Firefly Algorithm with Orthogonal Crossing
[NO] 174/200 | From Exploration to Revelation: App-Level Context-Aware Deceptive Pattern Detection for Mobile Applications
[NO] 175/200 | Analysis and Processing of Non-Contact Multimodal Physiological Signals for Sleep Monitoring
[NO] 176/200 | Tidal-Lane Adjustable Road Wrong-Way Driving Early Warning and Detection System
[NO] 177/200 | Research on the Reconstruction Mechanism of Typical Morphologies in Intelligent Vehicles
[NO] 178/200 | Conversational Agents in Augmented Reality: A Systematic Review
[NO] 179/200 | Enhancing Blockchain Proof of Stake With Active Weighted Signatures: The ADAPT Framework
[NO] 180/200 | Adversarial Domain Alignment Improves Root Biomass Prediction from SkySat Imagery
[NO] 181/200 | Machine Learning and Deep Learning-Based Condition Assessment of Outdoor Ceramic Insulators: A Comprehensive Review
[NO] 182/200 | Understanding Motivation to Lead in IT through Individual Traits and Gender Policy Perceptions
[NO] 183/200 | Advanced safety filter based on SOS Control Barrier and Lyapunov Functions
[NO] 184/200 | ADE-CAN: An Asymmetric Dual-Encoder Cross-Attention Network for Lung Nodule Malignancy Prediction by Fusing Nodule and Peri-nodular Features
[NO] 185/200 | Multimodal Graph Contrastive Learning for Paper Recommendation
[NO] 186/200 | Research on Pathways for Empowering Red Tourism E-Commerce in Jilin Province through Artificial Intelligence Recommendation Algorithms
[NO] 187/200 | A Vibrotactile Obstacle Avoidance System for Profound Blindness using Ultrasonic Rangefinders
[NO] 188/200 | A Wearable System for Real-Time Spinal Curvature Monitoring and Postural Correction Using Motion Sensors and Data-Driven Feedback
[NO] 189/200 | A Study of the Removability of Speaker-Adversarial Perturbations
[NO] 190/200 | Efficient NoC for Embedded Heterogeneous Multi-Core DSPs
[NO] 191/200 | Autistic Traits and IT Workforce Formation: A Large-Sample Study Across Business Majors
[NO] 192/200 | Project Management Maturity in Game Development
[NO] 193/200 | Using SynNotch CAR-T as A Shuttle Delivering Genetically Modified oHSV Leads to Expression of HAV Antigens on SCLCs to Redirect Vaccine Induced Memory T Cell Response to Tumors
[NO] 194/200 | Optimization Strategies in Deep Learning Models for ECG Classification
[NO] 195/200 | Proceedings of the 2026 International Conference on Cybersecurity and Edge Computing
[NO] 196/200 | A sparse point cloud semantic segmentation diffusion network based on mask guidance and window attention
[NO] 197/200 | Flaky Tests in a Large Industrial Database Management System: An Empirical Study of Fixed Issue Reports for SAP HANA
[NO] 198/200 | A Comparative Study of Bone Age Prediction: Traditional Regression Methods vs Convolutional Neural Networks
[NO] 199/200 | An Event-Driven Dual-Mode 1280×1024 Cryogenic Infrared Vision Sensor for Adaptive Energy-Efficient Motion Perception
[NO] 200/200 | SWD-Net: A Benchmark Dataset for Small Water Body Detection from Very High-Resolution Imagery
筛选完成：共 200 篇；Yes = 3 篇；已保存到 papers/select_paper2026-05-13.json。
邮件发送成功！
[2026-05-14 11:41:48] 任务执行成功！
