[2026-04-16 10:11:40] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-15
正在获取论文...
[arXiv] 2026-04-15 | A lower bound on the Calabi functional for a degeneration of polarized varieties
[NO] 66/200 | Hybrid Retrieval for COVID-19 Literature: Comparing Rank Fusion and Projection Fusion with Diversity Reranking
[NO] 67/200 | Granularity-Aware Transfer for Tree Instance Segmentation in Synthetic and Real Forests
[NO] 68/200 | Context-Aware CSI Prediction for Access Point Selection Utilizing Conditional VAEs
[NO] 69/200 | Adaptive Sample Size Simulations with R package adsasi
[NO] 70/200 | Data-Driven Probabilistic Finite $\mathcal{L}_2$-Gain Stabilization of Stochastic Linear Systems
[NO] 71/200 | Precision tests of analytical tail-term approximations for radiation reaction in Schwarzschild spacetime
[NO] 72/200 | From Pixels to Nucleotides: End-to-End Token-Based Video Compression for DNA Storage
[NO] 73/200 | Automatically Inferring Teachers' Geometric Content Knowledge: A Skills Based Approach
[NO] 74/200 | Vision-and-Language Navigation for UAVs: Progress, Challenges, and a Research Roadmap
[NO] 75/200 | Precision Studies of the $η_c$ decay at BESIII
[NO] 76/200 | Figma2Code: Automating Multimodal Design to Code in the Wild
[NO] 77/200 | Strain-Mediated Lattice Reconstruction Enhances Ferromagnetism in Cr2Ge2Te6/WTe2 van der Waals Heterobilayers
[NO] 78/200 | Topology Estimation for Open Multi-Agent Systems
[NO] 79/200 | Fast Neutrino-Flavor Conversion with Attenuation and Global Lepton Gradient
[NO] 80/200 | V2E: Validating Smart Contract Vulnerabilities through Profit-driven Exploit Generation and Execution
[NO] 81/200 | What Are We Really Measuring? Rethinking Dataset Bias in Web-Scale Natural Image Collections via Unsupervised Semantic Clustering
[NO] 82/200 | Golden Handcuffs make safer AI agents
[NO] 83/200 | On the Design of Stochastic Electricity Auctions
[NO] 84/200 | Unfolding unstable skyrmionic polarization textures
[NO] 85/200 | SAKURAONE: An Open Ethernet-Based AI HPC System and Its Observed Workload Dynamics in a Single-Tenant LLM Development Environment
[NO] 86/200 | Enhancing Reinforcement Learning for Radiology Report Generation with Evidence-aware Rewards and Self-correcting Preference Learning
[NO] 87/200 | Efficient Multi-View 3D Object Detection by Dynamic Token Selection and Fine-Tuning
[NO] 88/200 | SocialMirror: Reconstructing 3D Human Interaction Behaviors from Monocular Videos with Semantic and Geometric Guidance
[NO] 89/200 | Investigating the effect of sensitivity of KAGRA on sky localization of gravitational-wave sources from compact binary coalescences
[NO] 90/200 | From Transfer to Collaboration: A Federated Framework for Cross-Market Sequential Recommendation
[YES] 91/200 | Active Beyond-Diagonal Reconfigurable Intelligent Surface with Hybrid Transmitting and Reflecting Mode
[NO] 92/200 | Semidefinite relaxations for nonlinear elasticity with energies convex in the Cauchy-Green strain tensor
[NO] 93/200 | Covariance-Informed Subspace: an Adaptive Gradient-Free Input Dimension Reduction Method for Bayesian Inference
[NO] 94/200 | Training-Free Test-Time Contrastive Learning for Large Language Models
[NO] 95/200 | Damped nonlinear Ginzburg-Landau equation with saturation. Part I. Existence of solutions on general domains
[NO] 96/200 | Reconstructing inflationary features on large scales using genetic algorithm
[NO] 97/200 | Relative plausibility versus probabilism: A level-of-analysis error in juridical proof
[NO] 98/200 | Synthesizing Instruction-Tuning Datasets with Contrastive Decoding
[NO] 99/200 | Racing to Release: Priority, Congestion, and Community Recognition in Open-Source LLM Ecosystems
[NO] 100/200 | Don't Let AI Agents YOLO Your Files: Shifting Information and Control to Filesystems for Agent Safety and Autonomy
[NO] 101/200 | Beyond Convolutions: a Performance-Efficiency Analysis of Vision Transformers for Skin Lesion Classification
[NO] 102/200 | HRNG and Hard Haptic Response Based Personalized PIN System Immune to Shoulder Surfing
[NO] 103/200 | ScaffSmart: Deep Learning Based Real-Time Scaffolding Inventory Management
[NO] 104/200 | A Novel UAV Formation Control Strategy: Combining Virtual Target Points and Auxiliary Forces
[NO] 105/200 | Optimized Adaptive Multiobjective Evolutionary Algorithm for Cognitive Radio Resource Scheduling Using Deep Neural Network
[NO] 106/200 | Copyright Page
[NO] 107/200 | AI-Driven Personal Finance Systems: Methods, Limitations, and Open Challenges
[NO] 108/200 | Optimization of EKF Noise Covariance Matrix and PMSM Parameter Identification Based on Firefly Optimization Algorithm
[NO] 109/200 | Smart Energy Monitoring: A Case Study on PLC Based Data Acquisition and Python Analytics
[NO] 110/200 | A Metadata Driven Approach to Quantify and Overcome Data Fragmentation in Crop Models
[NO] 111/200 | Analyzing Bitcoin's Intraday Variance Using LSTM, GARCH and Hybrid Model
[NO] 112/200 | Optimized Fault Location in STATCOM-Integrated Transmission Networks Using Binary Quantum Walrus Optimizer (BQWO)
[NO] 113/200 | Hybrid Deep Learning Framework for ECG Based Human Identification
[NO] 114/200 | XAI for Agriculture: Low-Complexity AI Solutions for Real-Time Plant Health Monitoring
[NO] 115/200 | CrimeSketch AI: Text-To-Image Synthesis for Criminal Identification Using Deep Learning
[NO] 116/200 | Risks Associated with Cloud Computing and Data Security: A Comprehensive Analysis
[NO] 117/200 | A Review on AI-Based Cyber Threat Detection in Internet of Medical Things (Io-MT) Networks
[NO] 118/200 | Analysis of Solar Based Domestic Induction Heating Using Class D Converter
[NO] 119/200 | Smart Illumination: Utilizing AI for Early Fault Detection in Lighting Systems
[NO] 120/200 | A Novel Fastening Device with Precision Adjustment for Drainage Lines in Electric Power Systems: Precision-Adjustable Fastener for Power System Drainage Lines
[NO] 121/200 | Fault Diagnosis and Identification for Stator Winding Faults of Induction Motor using Wavelet-Alienation based Algorithm
[NO] 122/200 | Radiative Cooling for Enhanced Efficiency in Outdoor LED Lighting Systems
[NO] 123/200 | Fast and Memory-Efficient 4SQR-Code Decoding Using Histogram Analysis
[NO] 124/200 | Exploring Factors Affecting Entrepreneurs' Intention towards Adoption of Artificial Intelligence (AI): Using an Extended TOE Framework
[NO] 125/200 | Forecast-Driven Gait Cycle Analysis and Performance Monitoring Using a CNN-Based Intelligent Framework
[NO] 126/200 | High-Resolution Spectral Construction and Separation from Low-Cost, Low-Resolution Sensor Data
[NO] 127/200 | Dual Boost Modified DC-DC Converter for Fuel Cell Fed PMSM Application
[NO] 128/200 | Coordinated Interaction Strategy of Source-Grid-Load-Storage Based on Transformer Stability
[NO] 129/200 | Integrating Deep Reinforcement Learning with AI Algorithms for Optimal Path Planning of Indoor Handling Robots
[NO] 130/200 | Design and Implementation of a Line Array CMOS High-Speed Acquisition System Using FPGA
[NO] 131/200 | Dynamic Calibration Method of Torque Sensor Based on Parameter Identification Technology
[NO] 132/200 | Detecting PMSM Current-Sensor Offset Faults from the Battery Current Signature
[NO] 133/200 | Research on Deep Learning-Based Methods for Detecting Broken Strand Defects in Ground Wires
[NO] 134/200 | FedFall: A Federated Transfer Learning Framework for Privacy-Aware Fall Detection in Elderly Care using IoT-Edge Devices
[NO] 135/200 | BhashaHMPV: Multilingual HMPV News Articles Dataset for Indian Regional Languages
[NO] 136/200 | Front Cover Page
[NO] 137/200 | Global Path Planning for Unmanned Surface Vehicles Based on Line-of-Sight Guidance
[NO] 138/200 | Early Detection of Varicose Veins Using Vision Transformers in Deep Learning
[NO] 139/200 | Blockchain-Enabled Multi-Dimensional Trust Evolution and Adversarial Resilience Mechanisms in Flying Ad Hoc Networks
[NO] 140/200 | An Explainable Machine Learning Approach for Agricultural Crop Recommendation
[NO] 141/200 | Frequency Response Modeling and Analysis of Variable Speed Pumped Storage
[NO] 142/200 | An Implementation Framework for Application Aware CDN
[NO] 143/200 | Fault Diagnosis Model for Photovoltaic Arrays Using an Improved Particle Swarm Optimization Algorithm
[NO] 144/200 | Improving Hardware and Software Systems for Monitoring Geomechanical Characteristics of Rocks in Boulder-Sand-Gravel Quarries
[NO] 145/200 | An Assessment of Rural Consumer Shopping Orientation Towards FMCG
[NO] 146/200 | Dynamic Modeling and Performance Analysis of PEM Electrolyzer–Fuel Cell Systems for Sustainable Power Generation
[NO] 147/200 | Adaptive Window-Length Adjustment and Feature Fusion for Enhanced CFAR Detection
[NO] 148/200 | AI Regulation in the U.S.: Lessons from Commodity Futures Legislative Journey and a Perspective CFTC-NFA Model for AI
[NO] 149/200 | Reducing Middleware Latency in Telecom CRMs Using Deep Reinforcement Learning Focus: Optimizing API Call Paths and System Queues Dynamically
[NO] 150/200 | Hybrid Quantum-Machine Learning Framework for Precision Farming: Optimizing Crop Yield and Profitability
[NO] 151/200 | Energy-efficient Silicon Nitride Optical Switching
[NO] 152/200 | High-Stability and High-Charge-Density HfZrO
                    <sub>2</sub>
                    MFM Capacitors With In Situ CF
                    <sub>4</sub>
                    Plasma at TiN Electrode
[NO] 153/200 | Research on Control of an Electro-Hydraulic Active Suspension System
[NO] 154/200 | An Intelligent Type-2 Fuzzy Logic Framework for High-Accuracy Power Quality Disturbance Classification
[NO] 155/200 | Federated Intrusion Detection for VANETs under Byzantine Model Poisoning Attacks
[NO] 156/200 | A Drone Shape Substrate Integrated Waveguide Backed Self-Quardruplexing Antenna for C-Band Applications
[NO] 157/200 | Intelligent and Optimized Fraud Detection Framework for UPI Transactions
[NO] 158/200 | Energy-Aware Hybrid Localization in IoT and WSNs Using Multilateration and Grey Wolf Optimization
[NO] 159/200 | Comparative Evaluation of Blockchain-Fog Vs Cloud-Based Models for Real-Time Health Monitoring
[NO] 160/200 | A Space-Efficient Multi Rotor Wind Turbine System for Decentralized Power
[NO] 161/200 | Intelligent Merging Unit Enabled Substation Automation: A Critical Survey and Laboratory Setup
[NO] 162/200 | Comparative Analysis of Vanilla Reinforcement Learning vs Q-Learning in Smooth Path Planning Strategies for Mobile Robots
[NO] 163/200 | FedSiaNet: A Privacy Preserving Federated Siamese Network for Real-Time ECG Based Stress Anamoly Detection
[NO] 164/200 | Cyberbully Detection using Improved RoBERTa and Deep Learning based ResNet50
[NO] 165/200 | A Multi-Modal AI and Blockchain-Based Framework for Automated Academic Certificate Authentication
[NO] 166/200 | Feature Engineering with Long Short-Term Memory Approach for Malicious Risk Identification in Mobile P2P
[NO] 167/200 | CFD: A Browser-Based Tool for Real-Time Carbon Emission Awareness
[NO] 168/200 | Detection of Fraudulant Transaction Over Credit Card Using Ensemble Learning
[NO] 169/200 | Real-Time Cyber Threat Intelligence Detection and Response Using Deep Learning for Advanced Threat Classification
[NO] 170/200 | Performance Enhancement of Average Current Control of Boost PFC Converter for Electric Vehicle Charging Applications
[NO] 171/200 | A Novel Combined Control Structure for an Isolated Wind System with Reduced Turbine and Battery Sizing
[NO] 172/200 | Design and Fabrication of an Optical Pancreatic Phantom for Fibrosis Assessment
[NO] 173/200 | Demonstration of the Diagnostic Potentiality of the Anti-Tetracycline Aptamer on Screen-Printed Electrodes for Detection of Tetracycline
[NO] 174/200 | Hybrid Microgrid Stabilization Through Adaptive Virtual Inertia and Nonlinear Compensation-Based Control Architecture
[NO] 175/200 | Leveraging Transfer Learning for Efficient Plant Pathology on Mobile Devices
[NO] 176/200 | Design of Self-Charging Fibrous Power System by Integrating Tribovoltaic Nanogenerator and Supercapacitor
[NO] 177/200 | Decentralized Cloud Storage Systems Using Blockchain Technology
[NO] 178/200 | Vastu Generative Framework (VGF): A Hybrid AI Framework for Vastu-Compliant Architectural Layout Generation
[NO] 179/200 | Ensemble Regression Approach to Predict Students' Performance Using Pearson Correlation Feature Selection
[NO] 180/200 | National Data Centres and Sovereign AI Infrastructure: Designing Scalable Platforms for Jordan and Beyond
[NO] 181/200 | Numerical Design and Optimization of a Medium Temperature Difference Gamma Stirling Engine for Power Generation Based on Renewable Energy
[NO] 182/200 | Ultraviolet Aging Effects on the Dielectric Properties of PVC/Al
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Nanocomposites Cables Insulation
[NO] 183/200 | Integrated Federated Multimodal AI for Early Cancer Detection Using Radiology, Pathology, and Genomic Signals
[NO] 184/200 | Swarm Robotics for Precision Agriculture: Overcoming Coordination Scalability Limits
[NO] 185/200 | Tracking the Dieback of Palm and Olive Groves in The Skoura Oase (Morocco): A Spatio-Temporal Approach Using Remote Sensing and Machine Learning
[NO] 186/200 | Enhancing Precision Agriculture With Lightweight Object Detection of Date-Palm Flowers
[NO] 187/200 | Mathematical Modelling and Drying Kinetic Assessment of Coconut Meat Under Infrared Drying
[NO] 188/200 | A Systematic Literature Review on Cybersecurity Education: Trends, Challenges, and the Role of AI
[NO] 189/200 | Scalable and Explainable Heart Disease Prediction on Imbalanced Data
[NO] 190/200 | Cryptocurrency Volatility Forecasting Using Garch, LSTM, Hybrid GARCH-LSTM and Hybrid CNN-LSTM with Intraday Frequency
[NO] 191/200 | Rest Allowance Models for Optimizing Task Scheduling and Worker Well-Being in Industry
[NO] 192/200 | An Intelligent Dimension-Reduction Method for Emergency-Supplier Evaluation Indicators Based on Filter-Wrapper and PSO-BP
[NO] 193/200 | Selective Federated IDS Framework with Adaptation for Large-scale Segmented Industrial Networks
[NO] 194/200 | A Hybrid Machine Learning and Deep Learning Framework for Early Detection of Depression from Social Media Text
[NO] 195/200 | AgriShield: A Hybrid NLP and Machine Learning Framework for Plant Disease Prediction
[NO] 196/200 | Smart Energy Communities: Business Models and P2P Trading for Sustainable Power
[NO] 197/200 | Inventory Demand Forecasting Using Cat Boost Regression: A Machine Learning Method
[NO] 198/200 | Brown Bear Optimization-Based Error Minimization for Reduced-Order Modeling of Off-Grid Microgrids
[NO] 199/200 | HAR70+W: Cross-Dataset Alignment of Thigh Back and Wrist Sensors for Elderly Activity Monitoring
[NO] 200/200 | MIMO-Enabled Robust Communication Architecture for Fault-Tolerant Smart Grids Under Renewable Uncertainties
筛选完成：共 200 篇；Yes = 1 篇；已保存到 papers/select_paper2026-04-15.json。
邮件发送成功！
[2026-04-16 10:37:05] 任务执行成功！
