[2026-07-10 11:45:07] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-07-09
正在获取论文...
[arXiv] 2026-07-09 | Wat3R: Underwater 3D Geometry Learning without Annotations
[NO] 81/200 | Tracking the boundary between absolute/convective instability using adjoint equations
[NO] 82/200 | A Study Of Skew-Polycyclic Codes Over A Non-Chain Ring
[NO] 83/200 | Interplay of Quasiperiodic Criticality and the Non-Hermitian Skin Effect
[NO] 84/200 | Sufficientarian Grading Rules and Rankings: Characterizations and Implementation
[NO] 85/200 | Understanding Axes of Difficulty For Long Context Tasks Via PredicateLongBench
[NO] 86/200 | TFP: Temporally Conditioned Memory-Fusion Policies for Visuomotor Learning
[NO] 87/200 | Engineering Nonclassical States via the Dynamical Casimir Effect
[NO] 88/200 | Progression as Latent Drift: Generative Forecasting of Slow-Evolving Pathologies
[NO] 89/200 | PolyUQuest: Verifiable Structure-Aware Web RAG over Heterogeneous Graphs
[NO] 90/200 | X-ACTA: eXtended Analytic Center Tension distribution Algorithm for fixed and mobile cable-driven-parallel-robot
[NO] 91/200 | Subaru meets JWST: A Direct Measurement of Ly$\boldsymbolα$ Escape Fraction at $\boldsymbol{z\simeq6.2}$ with Dual Narrow-Band Imaging
[NO] 92/200 | Optimal Sparsifiers for Abelian Cayley Graphs
[NO] 93/200 | A graph theoretic view on small signal stability of inverter-based power grids
[NO] 94/200 | THÉMIS: a calibration-free solar telescope
[NO] 95/200 | On the Etzion-Silberstein conjecture for block Ferrers diagrams
[NO] 96/200 | Structure Learning on Clustered Data
[NO] 97/200 | Static regular black holes in Horndeski theories: analytic no-go and nonanalytic obstructions
[NO] 98/200 | Trapping-loss transition via a saddle-node bifurcation in thermophoretic particle transport driven by a time-periodic vortex
[NO] 99/200 | Spherically symmetric Finsler metrics satisfying the $σ$T-condition
[NO] 100/200 | Diarization-Guided Qwen-ASR Adaptation for Multilingual Two-Speaker Conversational Speech
[NO] 101/200 | “I like using GenAI as a tool, but with the feeling that I’m better than it”: Exploring How Students Negotiate Computing Identity in the Age of GenAI
[NO] 102/200 | Luma
[NO] 103/200 | Empowering Job Recommendation with Large Language Models: A Generative and Attentive Approach
[NO] 104/200 | Likelihood Correspondence of Toric Statistical Models
[NO] 105/200 | Fully Screen-Printed Flexible Electrochemical Sensor Based on TiCT-CuO Nanocomposite for Simultaneous Determination of Dopamine and Uric Acid_supp1-3709062.docx
[NO] 106/200 | Wireless-Powered Flexible Bioelectronic Implants with Deformation-Aware Optimization
[NO] 107/200 | Building Minimum-Power Digital Circuits With Sub-Femtowatt Dynamic Leakage-Suppression Logic Standard Cells
[NO] 108/200 | IEEE Computer Science and Engineering Awards
[NO] 109/200 | Enhancing Generalization for Blurred UAV Images: An Improved Method for Forest Pest and Disease Detection
[NO] 110/200 | Estimating Tropospheric Delay in Spotlight Mode InSAR Data Using Multi-Squint Processing_supp1-3711538.pdf
[NO] 111/200 | Deep Learning-based Filtering for Video Coding: A Survey on Architectures, Algorithms, and Complexity Analysis
[NO] 112/200 | Energy-Optimal Spatial Iterative Learning within a Virtual Tube
[NO] 113/200 | Technical Program Committee
[NO] 114/200 | Author Index
[NO] 115/200 | Multiobjective Optimal Synthesis of Transmitting Antennas for Microwave Wireless Power Transmission
[NO] 116/200 | Multi-timescale Energy Coordination And Multi-objective Impulse-like Cooperative Control Method For Virtual Asynchronous Machines Under Complex Dynamic Conditions
[NO] 117/200 | Scenario Forecasting of Wind–Solar–Load and Ramping Demand Assessment Based on Key Meteorological-State Labels Under Limited Explicit Weather Data
[NO] 118/200 | A Two-Dimensional Partial Element-Based Formulation for the Per-Unit-Length Parameter Calculation of Conductors
[NO] 119/200 | A Conformal Transmit-Array Antenna with High Gain and 2-D Steerable Beam for UAV Radar
[NO] 120/200 | A Genetic Algorithm-Based Optimization Method for Antenna Positioning in Transcranial Electromagnetic Stimulation
[NO] 121/200 | Optimization Scheduling Method for Renewable Energy Accommodation in Power Grids with Deep Participation of Electrified Heating Systems
[NO] 122/200 | X-Band Miniaturized High-Integrated Eight-Channel T/R Module Based on BGA Solder Ball Technology
[NO] 123/200 | A Review of Air Conditioning Load Modeling, Short-Term Forecasting and Ultra-Short-Term Forecasting
[NO] 124/200 | Intent-Based Security for Edge Applications: Distributed Orchestration with Over-the-Air Updates
[NO] 125/200 | New Fault Protection Method for Photovoltaic Access Distribution Network based on Composite Voltage Dynamic Change Index
[NO] 126/200 | Design of an S-Band Dual-Polarized Phased Array Element
[NO] 127/200 | Design of Coaxial-Fed Energy Selective Electromagnetic Protective Antenna
[NO] 128/200 | SCA-Net: Spectral Cross-Channel Attention Network for Carbon Emission Prediction
[NO] 129/200 | Modeling and Stability Analysis of Photovoltaic Quasi-Z-Source Inverters
[NO] 130/200 | Real-Time Feedback-Enabled LSTM Controller for Boiler Combustion Optimization in Thermal Power Plants
[NO] 131/200 | High-Selectivity on-Chip Wideband Bandpass Filter Based on Hybrid Resonator with Controllable Transmission Zeros
[NO] 132/200 | Hybrid Electrolytic Cell Power Allocation and Hydrogen Production Optimization based on Deep Reinforcement Learning
[NO] 133/200 | Transfer Learning and Partial Attention-Enhanced MADRL for Large-Scale P2P Energy Scheduling
[YES] 134/200 | Design of an Angle-Selective Surface for All-Angle High-Power Microwave Protection
[NO] 135/200 | Modulating Muscle Activation via Exoskeleton-Applied Resistive Loading During Rodent Locomotion
[NO] 136/200 | Voltage and Frequency Control of Off-grid Multi-microgrid Based on Security Baseline and Improved PPO
[NO] 137/200 | Enhanced EEG-Based Tracking of DMN Activity Using ICA and EEG Source Localization for a VR Psychedelic Environment
[NO] 138/200 | Considering Spatiotemporal Mutual Support in Island Microgrid Cluster Shared Electricity-Ammonia Energy Storage Double-Layer Optimal Scheduling
[YES] 139/200 | A Polarization Rotation Reflective Surface Based on Dielectric Resonator
[NO] 140/200 | Evaluation of a Novel Endovascular Electrode Array for Long-Term Cortical Recording and Stimulation
[NO] 141/200 | Research on Electromagnetic Coupling Prediction Method of Shielding Enclosures with Aperture Based on Conditional Forward Mapping Network
[NO] 142/200 | A Small-AC-Signal Injection Based Decentralized Secondary Voltage Control Method for Multi-Bus AC Microgrids
[NO] 143/200 | Multi-Objective Capacity Optimization of Off-Grid Multi-Energy Microgrids Based on NSGA-II
[YES] 144/200 | 2-D Beam-Scanning Rinehart-Luneburg Lens Antenna Fed by Butler Matrix
[YES] 145/200 | Explainable Detection and Trust-Aware Mitigation of Malicious IRS Behavior in Multi-IRS 6G Networks
[NO] 146/200 | All-Metal Circularly Polarized Filtering Transmitarray
[NO] 147/200 | Privacy-Preserving GAN for Synthetic Data against Membership Inference Attack
[NO] 148/200 | Poulpe: a software-hardware toolchain to clone legacy digital circuit boards
[NO] 149/200 | Systematic Comparison and Improvement of Pre-silicon Leakage Analysis Tools
[NO] 150/200 | Compiling Linear Algebra Workloads from C to Quantum Circuits via Multi Level Intermediate Representation
[NO] 151/200 | Research to Reality: Scaling Generative AI for The Sphere's “Wizard of Oz"
[NO] 152/200 | Backlash-Like Hysteresis Estimation in Antagonistic Tendon–Sheath Mechanisms Using Proximal-Force Plateau Signatures
[NO] 153/200 | Distributed Algorithms for Time-Varying Resource Allocation Problems with Nonlinear Inequality Constraints
[NO] 154/200 | Cryogenic Model-Guided All-CMOS Voltage Reference and LDO for 30-to-298 K Operation with a 34.5 ppm/K Temperature Coefficient
[NO] 155/200 | An Equivalent Terminal-Matched Impedance Spectrum from Pulse Truncation for Cable Defect Localization
[NO] 156/200 | A Quantum-Inspired Multiple Description Coding Framework for Robust Image Transmission
[NO] 157/200 | Organizing Committee
[NO] 158/200 | 2026 IEEE 3rd International Conference on Electrical Power Systems and Intelligent Control (EPSIC)
[NO] 159/200 | DepressLLM: Interpretable Domain-Adapted Language Model for Depression Detection from Real-World Narratives
[NO] 160/200 | Masthead
[NO] 161/200 | A DCT-LMS Algorithm With Per-Coefficient Variable Step-Sizes_supp1-3711535.pdf
[NO] 162/200 | Technical Program Committee
[NO] 163/200 | A High-Repeatability φ-OTDR Framework for Road-Traffic Vibration Monitoring via Enhanced Wavelet Denoising and Lightweight 2D-CNN
[NO] 164/200 | Ocean's Duality: Physics-Driven Dual-Branch Framework for Underwater Vision Enhancement
[NO] 165/200 | Comparative Analysis of the Microwave Properties of MOD-Deposited and Commercial YBCO Thin Films for 5G Frequencies
[NO] 166/200 | An ESPAR Antenna With Digital Control and Low-Correlated Reconfigurable Patterns for Air-Ground Links
[NO] 167/200 | Distinguished Lecturer Program
[NO] 168/200 | EPSIC 2026 Cover Page
[NO] 169/200 | FlowCrypt: Flow-Based Lightweight Encryption with Near-Lossless Recovery for Cloud Photo Privacy
[NO] 170/200 | Shared Trajectory Based Multi-Policy Decision-Making for Socially Compliant Robot Navigation in Dense Crowds
[NO] 171/200 | Toward a Consistent Arctic Sea Ice Albedo Record from FengYun-3 Satellites
[YES] 172/200 | Enhanced Greedy Detection for OTFS-IM: A Low-Complexity and High-Performance Approach
[NO] 173/200 | Computing Submatrices of the Hermite Normal Form of a Structured Polynomial Matrix
[NO] 174/200 | Design of UWB Antenna Based on Modal Significance Neural Network
[NO] 175/200 | Physics-Constrained Spatio-Temporal Graph Transformer for Distribution System State Estimation with Missing Measurements
[NO] 176/200 | Volt-VAR Optimization in Distribution Networks via Hierarchical Deep Reinforcement Learning and Dynamic Horizon Truncation
[NO] 177/200 | Quantum Current Detection and State Monitoring Technology for Power Grid Energy Storage Batteries Based on NV Centers
[NO] 178/200 | An Anchor-Free Detection Network for Power System Electronic Components via Edge-Enhanced Preprocessing
[NO] 179/200 | Research on Day-ahead Optimal Scheduling and Robustness of Large-scale Industrial and Virtual Power Plants Based on Deep Reinforcement Learning
[NO] 180/200 | Cortical Dynamics Underlying Team Performance in Human-Robot Collaborative Work Under Varying Task Demand
[NO] 181/200 | Sub-Synchronous Oscillation Suppression Strategy for Direct-Drive Wind Power Grid-Connected System Based on Passivity Shortage Theory
[NO] 182/200 | An Additively Manufactured Wideband and High-Gain Circularly Polarized Magneto-Electric Dipole Antenna for V-Band Applications
[NO] 183/200 | Research on Adaptive Dual-Terminal Differential Protection for Distribution Networks Integrated with Distributed Generators
[NO] 184/200 | A Service-Based Management Architecture for Intelligent Cross-Domain Orchestration in 6G Networks
[NO] 185/200 | Efficient Many-to-Many MRI Modality Translation via a Latent-Conditioned Vector-Quantized Network*
[NO] 186/200 | Capacity Configuration Planning of a Photovoltaic–Storage–Hydrogen Integrated Energy System Based on Game Theory
[NO] 187/200 | Proceedings of the 23rd ACM International Conference on Computing Frontiers: Workshops and Special Sessions
[NO] 188/200 | A D-Band Circularly Polarized Monopulse Antenna Array with High Polarization Purity
[NO] 189/200 | A Wideband Circularly Polarized Antenna with Chamfered Patches Parasitic Loading
[NO] 190/200 | Design and Implementation of a Mixed Reality Simulation Platform for Power Systems
[NO] 191/200 | Decoding Turn-Taking State Transitions in Conversational Speech from Motor Cortex Ensemble Activity
[NO] 192/200 | A Strongly Coupled Hexagonal Frequency Selective Surface with Insensitivity for Any Angle of Incidence
[NO] 193/200 | Active Balance Control Strategy for Medium and Low Voltage Distribution Networks and Typical Cases
[NO] 194/200 | Deep Learning Reduced-Order Modeling and Fast Evaluation for Electromagnetic Simulation Data
[NO] 195/200 | Dynamic Wildfire Spread Prediction and Warning Method for Power Corridors Considering Satellite Observation Data and Parameter Updating
[NO] 196/200 | Fully Automated Thermal-Aware Trace Routing for Chip-on-Film Designs
[NO] 197/200 | Evaluation and Analysis of Measurement Uncertainty for Carbon Metering System in Electric Power Grids
[NO] 198/200 | Development of K-Band Solid-State Power Amplifier Based on Spatial Synthesis of Polar Fin-Lines
[NO] 199/200 | A Framework for Reliable Cell-Free mmWave Massive MIMO Networks Under Human Blockage
[NO] 200/200 | From Theory to Application: Fine-Tuning Large Eeg Model with Real-World Stress Data
筛选完成：共 200 篇；Yes = 6 篇；已保存到 papers/select_paper2026-07-09.json。
邮件发送成功！
[2026-07-10 12:13:53] 任务执行成功！
