[2026-08-21 09:29:21] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-20
正在获取论文...
[arXiv] 2026-08-20 | Learning When to Think: Adaptive Reasoning for Test-Time Compute Allocation
[NO] 65/200 | Magnetically Self-Sealed MR Haptic Actuator With PWM-Based Excitation and High-Fidelity Torque Control
[NO] 66/200 | Variational Goal-Oriented Optimal Experimental Design for Mixed-Distribution Quantities of Interest: Application to Ship Roll Safety
[NO] 67/200 | Vorticity Dissipation Based Routing: A Fluid-Kinetic Framework for Loop-Free Transport in Ultra-Dense Networks
[NO] 68/200 | Shift or curtail? How much data-center flexibility is worth depends on the host power grid
[NO] 69/200 | Homoclinic Intersections and the Macroscopic Observability of Arnold Tongues in the Forced-Dissipative Duffing System
[NO] 70/200 | Adaptive Time Windows for Discrete Adjoint Topology Optimization of Unsteady Flows
[NO] 71/200 | IRIS: Navigating and Reflecting on Writing Traces Using Intelligent Document Histories
[NO] 72/200 | What Matters for Latent Actions in Robot Learning
[NO] 73/200 | Forking Fast: Efficiently Estimating Uncertainty Dynamics in Text Generation
[NO] 74/200 | Tau-Rho Equality and Other Dependence Measures of a Subclass of Factorizable Copulas
[NO] 75/200 | Universality of long-wavelength behavior of composite-fermion Fermi liquid
[NO] 76/200 | Proton emission half-lives and shape coexistence for $71 \leq Z \leq 83$ odd-$Z$ nuclei
[NO] 77/200 | PEA-DPO: Perception-Enhanced Alignment Direct Preference Optimization for MLLMs Alignment
[NO] 78/200 | Martingale R-learner: Estimating Time-varying Heterogeneous Treatment Effects for Time-to-event Outcomes
[NO] 79/200 | Loss-Resilient Semantic Communication over Packet-Loss Networks at Extreme-Low Bandwidth
[NO] 80/200 | OrthoSkillVLA: Continual Skill Learning via Gradient-Informed Skill Subspace Adaptation
[NO] 81/200 | Kähler landscapes for complex neural network descents and guarantees including a search and destroy of the Calabi-Yau manifold
[NO] 82/200 | Physics-guided machine learning for sim-to-real calibration of NV diamond magnetometers
[NO] 83/200 | A Two-Stage Time-Aware Transformer for Short-Horizon AECOPD Risk Prediction
[NO] 84/200 | The minimum number of Dehn $\mathbb Z$-colors of any nonsplittable $\mathbb Z$-colorable link is three
[NO] 85/200 | Reliable Financial Named Entity Recognition under Domain Shift
[NO] 86/200 | The VariableTNG project: mass-dependent regulation of galaxy morphology by baryonic feedback
[NO] 87/200 | Multimodal Trajectory Planning for Surface Vehicles using Turning Circle-based Control Barrier Functions
[NO] 88/200 | Quantum Energy Storage versus Heat-to-Work Conversion in an Interacting Spin System
[NO] 89/200 | On the Value Function of Infinite-Horizon Optimal Control of Piecewise Affine Systems
[NO] 90/200 | When Machines Speak: A Unified Generative Framework for Integrating Machine-Native Symbols into Pretrained Large Language Models
[NO] 91/200 | Physics-Based versus Data-Driven Classification of Single-Photon Quantum Emitters from Sparse Autocorrelation Data
[NO] 92/200 | Beyond Integrability Preserving Renormalization-Group Protocol in Non-Hermitian Hamiltonians with Time-Dependent Interaction Strengths
[NO] 93/200 | Hear2Act: Benchmarking When Prosody Should Change What an Assistant Does
[NO] 94/200 | The Normal Procrustes Problem: A Riemannian Optimization Approach
[NO] 95/200 | Symposium: Trust via Auditable Records for Communities of AI Scientist Agents
[NO] 96/200 | Trace-Based Execution-Level Observability of VDM-SL Specifications
[NO] 97/200 | Sets of nice recurrence are partition regular
[NO] 98/200 | The Forward-Backward Disconnect: State Dynamics, Credit Assignment, and Biological Grounding in Neural Computation
[NO] 99/200 | Internal numerical semigroups
[NO] 100/200 | Explicit birational models of marked elliptic surfaces of relative degree two
[NO] 101/200 | Turning Students into Neurons — Evaluating an Embodied CS Unplugged Learning Activity on Neural Networks
[NO] 102/200 | Beyond Manipulation: How Users Perceive Harmful AI Chatbot Interactions
[NO] 103/200 | From Interview to Persona: A Transparent Workflow for Learner-Centered Educational Technology Design
[NO] 104/200 | Intent-Aware Backchanneling for Active Listening in Human-Robot Interaction
[NO] 105/200 | “Let Me Take That Back”: Designing and Testing Deletion Interfaces for Human-AI Interaction
[NO] 106/200 | Decentralized Federated Learning for Heterogeneous Multi-Task Semantic Communication
[NO] 107/200 | Hierarchical Biomarker Modeling for Facial Paralysis Assessment and Rehabilitation Monitoring
[YES] 108/200 | User Mobility Demands Near-Field Communications in Terahertz-Band Wireless Networks Beyond 6G
[NO] 109/200 | Boundary-Evolved Optimization for Compliant Mechanism Design: Principles, Verification, and Applications
[NO] 110/200 | Energy-Efficient State Estimation with 1-Bit Sensing: A Bussgang-Kalman Framework for Internet of Things
[NO] 111/200 | A Compensation Algorithm Based on Dual-Threshold Differential Peak Detection for Wide-Range Neutron Measurement with Proportional Counters
[NO] 112/200 | Joint Average Fusion and Spatial Registration: GA-Based Distributed Multi-Target Tracking
[NO] 113/200 | Design, Analysis, and Demonstration of a Low-Profile Dual-Polarized Millimeter-Wave Liquid Crystal-Based Phased Array with Fast Response Based on Corporate-Series Feeding Strategy
[NO] 114/200 | IEEE Member Discounts Program
[NO] 115/200 | Self-Powered High-Performance Solar-Blind/Near Ultraviolet Dual-Band Photodetector Based on
                    <i>β</i>
                    -Ga
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    /CuAlO
                    <sub>2</sub>
                    Heterojunction
[NO] 116/200 | Hybrid Modeling Approach for Multicoil Torque Prediction of Spherical Reluctance Motor
[NO] 117/200 | Data-Driven Lagrangian Optimization for O-RAN Efficiency
[NO] 118/200 | Dynamic Multi-View Semi-Supervised Classification via ODE-Enhanced Graph Convolutional Networks
[NO] 119/200 | SEP Analysis of a Low-Resolution SIMO System with
                    <i>M</i>
                    -PSK over Fading Channels
[NO] 120/200 | Multi-category Cross-subject Hand Gesture Recognition Based on Spatiotemporal Decoding via A-mode Ultrasound Sensing
[NO] 121/200 | Transformer-based Offline Reinforcement Learning for Intelligent Torpedo Evasion in Autonomous Underwater Vehicles
[NO] 122/200 | TraceStructRepair: Effective Diagnostic Representation for Context-Limited Automated Program Repair
[NO] 123/200 | LLM-Based Data Generation and Augmentation for Rust Vulnerability Detection
[NO] 124/200 | Understanding Stylistic and Syntactic Backdoor Attacks in Text Classification
[NO] 125/200 | A Deterministic PPG-Based Algorithm for Obstructive Sleep Apnea Detection
[NO] 126/200 | Development of a High-Voltage Gain DC-DC Converter with Integrated Three-Winding Coupled Inductor for Low-Power Renewable Energy Applications
[NO] 127/200 | Impact of Smartphone Use on Health and Academic Performance Among University Students: Evidence from the University of Sharjah
[NO] 128/200 | Cloud-Assisted Zero Trust Architecture for CPS Actuators Using a Trust-Lease Extension of ZeTiots-FW
[NO] 129/200 | Sliding Mode-based Position Control of Wave Propelled Platforms
[NO] 130/200 | Transferability of the GCG Attack Across LLMs: Correlation with Attention Similarity and Transfer Rate Prediction
[NO] 131/200 | Statistically Optimal First-Order Sliding-Mode Control under Gaussian Measurement Noise
[NO] 132/200 | Decentralized Intent-Based Multi-Robot Task Planner with LLM Oracles on Hyperledger Fabric
[NO] 133/200 | An Efficient High-Frequency Isolated Buck DC-DC Converter for DC-DVR Applications
[NO] 134/200 | Aperiodic Frequency-Agile Signal Generation Based on Optoelectronic Hybrid Oscillator
[NO] 135/200 | Analysis of Super-Gaussian Cascaded WSS Filter Transfer Functions for 400 and 800 Gbit/s Coherent Metro Networks
[NO] 136/200 | Finite time observers using integrations for sensorless control of electrical machines
[NO] 137/200 | Orthodontic Extraction Decision Support Using Deep Learning on Lateral Cephalometric Radiographs
[NO] 138/200 | Intelligent Path Planning and Robust Tracking of Microrobots in Complex Vascular Networks
[NO] 139/200 | Identification of Clutch Pressure Plate Types Using Computer Vision
[NO] 140/200 | Toward Large-Scale and Interoperable Smart Home Emulator with Cyreal Framework
[NO] 141/200 | Data-driven Estimation of Force and Location along FBG-integrated Flexible Instruments
[NO] 142/200 | A New Configuration for a Solid-State Bipolar Nano-Second Pulse Generator
[NO] 143/200 | CUBIC++: Empirical Fine-Tuned CUBIC
[NO] 144/200 | Large-Range XY Compliant Platform Decoupled based on Reinforcement Learning*
[NO] 145/200 | Dual-Constrained Compliant Assembly Strategy for Micro Thin-Walled Parts Based on Gripping and Contact Forces
[NO] 146/200 | Sliding Mode Control on Time Scales: Graininess-Induced Quasi-Sliding Under Asynchronous Sensing
[NO] 147/200 | Designing LLM Agents for Output Checking in Research Data Centers: Disclosure Risk and Output Validation
[NO] 148/200 | Design and Fabrication of Slotted Surface-Grating DFB Lasers at 1550 nm
[NO] 149/200 | Combining Thinking Aloud and Eye Tracking
[NO] 150/200 | Inclusive CS Education in K-12 Classrooms: A Seminar for Prospective CS Teachers
[NO] 151/200 | A Biomimetic Human-Robot Interface for Natural Cooperative Ankle Movement in Healthy and Post-Stroke Subjects
[NO] 152/200 | RV-KEM: A RISC-V ISE-Accelerator for ML-KEM on Lightweight IoT Cores
[NO] 153/200 | Wavelength-shift-free reconfigurable multilevel optical switching using a SbSe-based nanobeam cavity_supp1-3723082.docx
[NO] 154/200 | Local Frequency-Guided Peak Extracting Transform for Reflection Interface Identification in Deep Carbonate Reservoirs
[NO] 155/200 | DP
                    <sup>2</sup>
                    -RAG: An Efficient Full-Process Differential Privacy Implementation in Retrieval-Augmented Generation
[NO] 156/200 | Largely Constrained Noise-guessing Decoding of Short LDPC codes
[NO] 157/200 | Position Estimation via a Single LEO Satellite based on Pseudorange and Doppler Measurements
[NO] 158/200 | 3D Channel Spatial Selectivity Analysis of LEO Satellite-Vehicle Communication
[NO] 159/200 | Table of Contents
[NO] 160/200 | Relative Navigation and Dynamic Target Tracking for Autonomous Underwater Proximity Operations
[NO] 161/200 | FreqPath-Net: Frequency-Aware Spectral–Orthogonal Network for Histopathological Nuclei Segmentation
[NO] 162/200 | Risk Occupancy: A New and Efficient Paradigm Through Vehicle-Road-Cloud Collaboration
[NO] 163/200 | Standardisation Insights from IMT-2020 Evaluation of EUHT-5G: Reliability and Spectral Efficiency in Mobile Scenarios
[NO] 164/200 | EEG Connectomics in Rotator Cuff Injury: Central Network Reorganization During Three-Plane Antagonistic Shoulder Tasks
[NO] 165/200 | Research on Optimization and Control Strategies of Sliding Pressure Operation of Steam Turbine under Deep Peak Regulation Conditions
[NO] 166/200 | High-Stability Laser Driving and Temperature Control System for Sensing Applications
[NO] 167/200 | Engineered miRNA Feature–Driven Machine Learning Models for Risk Stratification in Lung Adenocarcinoma
[NO] 168/200 | From SAINT to COMPSAC: A Quarter Century of Partnership between IEEE-CS and IPSJ
[NO] 169/200 | Online Power Coefficient Estimation in Wind Turbines via Adaptive Sliding-Mode Observers
[NO] 170/200 | Application of Machine Learning Techniques on Prostate Cancer Genomics Data for Clustering and Classification
[NO] 171/200 | LPTV Structure-Constrained Kalman Filter for OFDM Channel Estimation in Power Line Communications
[NO] 172/200 | SemTFT: When Semantics Meet Intermittent Demand Forecasting
[NO] 173/200 | Stable Handoff Method using Staged Decisions for Wireless LAN Systems
[NO] 174/200 | Two-Stage Pattern-Based Fast Reconfiguration for Optical-Switched AI Datacenter Networks
[NO] 175/200 | Engineering Guided Determinism in Neuro-Symbolic Agents: A Comparative Study of Orchestration Strategies for Supply Chain Replenishment
[NO] 176/200 | Location-Based Wi-Fi AP Discovery Optimization for Vehicle-to-Infrastructure Communication
[NO] 177/200 | An Ultra High Gain Double-Dual-Boost DC–DC Converter Based on Switched Inductor Cells and Ripple Mitigation Technique
[NO] 178/200 | Auditing Training Data in Domain-adapted LLMs: LoRA-MINT
[NO] 179/200 | Synthetic Data Augmentation via Class-Conditional Latent Diffusion Models for Fundus Image Quality Assessment
[NO] 180/200 | A Web-Based Pipeline for Ontology-Free Biomedical Knowledge Graph Construction and Exploration
[YES] 181/200 | Performance Analysis of AFDM-IM LiDAR-ISAC Waveforms under Composite FSO Channels
[NO] 182/200 | High-efficiency edge coupler for hybrid integration of distributed feedback lasers
[NO] 183/200 | Voltage-Frequency Control of Standalone Single-Phase Inverter Based on Adaptive Backstepping Controller with State and Nonlinear Disturbances Observers: An Experimental Validation
[NO] 184/200 | Synthetic Versus Real-World Traffic: An Empirical Evaluation of Machine Learning–Based DDoS Detection
[NO] 185/200 | Performance Analysis of NOMA-Based Ultraviolet Communication Systems with Imperfect SIC
[NO] 186/200 | ABCD: Active Buildings with Computing, Distributed Sensing, and Secure Edge Collaboration for Autonomous Hazard Mitigation
[NO] 187/200 | Evaluating Gesture Recognition Robustness on Smartwatches: A Comparison Between User-Dependent and User-Independent Protocols
[NO] 188/200 | Secure and Scalable Dynamic Blockchain Sharding via a Multi-Granularity Reputation Model
[NO] 189/200 | Dual Point Temperature Sensing Using Cascaded Phase-shifted Fiber Bragg Gratings and A Convolutional Neural Network
[NO] 190/200 | On the adaptive stabilization of MIMO systems with uncertain control direction
[NO] 191/200 | Collaborative Management Optimization Method of Energy Storage + Data Center Flexible Load Based on Computing Scheduling
[NO] 192/200 | Knowledge Graph-Based AI Framework for Predicting Nutritional and Health Impacts of Food Ingredients
[NO] 193/200 | Design of a Compact XYZ Flexure-Based Nanopositioning Stage for Silicon Photonic Coupling with a Large Moving Platform and Low Cross-Axis Coupling
[NO] 194/200 | Usability Study of AI-Based Stress Management Support Among College Students
[NO] 195/200 | Temporal Decomposition with Selective Fixing and Relaxation for Fast Distributionally Robust Unit Commitment
[NO] 196/200 | Robust High-Performance Control using Nonlinear Sliding Surface: A Case Study on Depth Control of an Autonomous Underwater Vehicle
[NO] 197/200 | Effect of Weakly Correlated Crystallizations: Quantitative Characterization in GaAs/Si Heteroepitaxial material
[NO] 198/200 | Accurate Demodulation in MEMS Fabry-Perot Pressure sensor via Autoencoder-Based Spectral Learning and Temporal Convolutional Networks
[NO] 199/200 | Performance Analysis of LMS Adaptive Equalizer for Optical Communication in Three Typical Scenarios
[NO] 200/200 | Graph Orientation for Efficient Multi-Agent Pickup and Delivery Using Genetic Algorithm
筛选完成：共 200 篇；Yes = 3 篇；已保存到 papers/select_paper2026-08-20.json。
邮件发送成功！
[2026-08-21 10:10:13] 任务执行成功！
