[2026-09-11 13:09:33] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-09-10
正在获取论文...
[arXiv] 2026-09-10 | Qubit-Qutrit Quantum Tomography of hadronic $Λφ$ and $ΛK^{\ast 0}$ systems
[NO] 66/200 | Preference Optimization with LALM Feedback for Continuous Autoregressive Non-Verbal Vocalization Generation
[NO] 67/200 | SoulAuth: An Actor-native Identity Architecture and Rust Reference Implementation for Humans and Long-lived AI Actors
[NO] 68/200 | Node-Shift-Encoding Genetic Algorithm with fuzzy-enhanced reference tour to solve the bi-objective service-oriented TSP
[NO] 69/200 | You've Got a BUD in Me: Authenticated Reads from Per-Block Write Logs
[NO] 70/200 | A Geometrically Parameterized Quasi-Stationary 3D Model for High-Frequency Induction Tube Welding
[NO] 71/200 | OmniHallu: Unified Hallucination Detection for Cross-Modal Comprehension and Generation in Multimodal Large Language Models
[NO] 72/200 | Quadruples and cubes
[NO] 73/200 | Optically induced metallic state with persistent monoclinic symmetry in NdNiO$_3$
[NO] 74/200 | SCINTILLA-SNN: A Spiking Multi-Scale Selective Aggregation Network for Perineural Invasion Prediction
[NO] 75/200 | Crystals and sign-reversing involutions for set-valued skew tableaux and decorated states of the five-vertex model
[NO] 76/200 | A Voice-Interactive Multi-Agent System for Smart Operating Rooms: Architecture Design and Key Technologies
[NO] 77/200 | Harness Robotic OS: A Unified Embodied-Agent Runtime for Closed-Loop Quadruped Inspection
[NO] 78/200 | Constraining Modified Mass-to-Horizon Cosmology Through Primordial Inflationary Observables
[NO] 79/200 | REVA: Reusable Evidence View Aggregation for Context-Efficient RAG Serving
[NO] 80/200 | Convex Optimization with Nested Evolving Feasible Sets (CONES) under Time-Varying Loss Functions
[NO] 81/200 | Two-step high-accuracy microwave frequency measurement and time-frequency analysis based on optical frequency combs
[NO] 82/200 | Automated Identification of Competing Narratives in Political Discourse on Social Media
[NO] 83/200 | CEM-TUDASR: Computationally efficient multi-modality transformer based unsupervised domain adaptive super-resolution approach
[NO] 84/200 | Optimal Control for Cancer Chemotherapy Using Hybrid Quantum Particle Swarm Optimization
[NO] 85/200 | FlexComp: One Model for Every Ratio in Context Compression
[NO] 86/200 | Debate-to-Skill: Capability-Bound Process Supervision for Industrial Query-to-Agent Annotation
[NO] 87/200 | A Four-Valued Graph Model for Conflict Resolution: Core Framework and a Machine-Checked Formalization in Lean 4
[NO] 88/200 | Semi-Tensor Product-Based Multi-Term Randomized T-SVD and Its Visual Applications
[NO] 89/200 | When does a spectral prior help graph learning? Connectivity-loss estimation under road-network disruptions
[NO] 90/200 | Multimodal Temporal Modeling for Continuous Group Emotion Recognition in Multi-party Dialogues
[NO] 91/200 | LILA: Calibration-Free Structured Pruning of Large Language Models via Latent Spectral Geometry
[NO] 92/200 | Small noise asymptotics for linear parabolic SPDEs in two space dimensions with unknown damping factors
[NO] 93/200 | Saturation and Localization Results for Max-product Generalized Sampling Operators based on Centered Bell-shaped Kernels
[NO] 94/200 | From Grid to Chip: Power Architecture, Stability, and Flexibility of AI Data Centers
[NO] 95/200 | Effective Dynamics of Inflationary End-of-the-World Branes in AdS$_3$
[NO] 96/200 | Certifying Adversarial Robustness of Quantum Classifiers under Known-Readout Query Access
[NO] 97/200 | A Training-Free, Alignment-Free Approach to Corporate Intelligence: Application to SEC Filings
[NO] 98/200 | Sharp unconditional moment bounds for products of L-functions
[NO] 99/200 | Distributed Optimization of Modular Production Systems using Model-based Reinforcement Learning with Inverse Models
[NO] 100/200 | PHAT: PHotonic Accelerator for TFHE
[NO] 101/200 | Research on Intelligent Logistics Information Sensing Method Based on RFID Anti-interference Coding
[YES] 102/200 | A Low-Complexity Joint Fractional Delay and Doppler Frequency Estimator for AFDM-Enabled Vehicular LEO-ICAN Systems
[NO] 103/200 | DRCMDA: A Dual-View Drug Repositioning Framework with Cluster-Aware Structured Masked Reconstruction and Diffusion-Based Metapath-Graph Augmentation
[NO] 104/200 | A Systematic Review of Non-Invasive Methods for Utility-Side Harmonic Impedance Determination
[NO] 105/200 | Achieving a 155× Speedup in a LiDAR Data Processing Pipeline
[NO] 106/200 | Before the First Token: Characterizing Affective Modality Conflict through Pre-generation State Patterns
[NO] 107/200 | SP-VoxelDet: Channel-Efficient Fully Sparse 3D Object Detection Via Partial Convolution
[NO] 108/200 | Continual Deterministic Learning and Control of Unknown Nonlinear Systems With Knowledge Reuse
[NO] 109/200 | Differentiated Prototype Guided Weakly Supervised Semantic Segmentation
[NO] 110/200 | Joint Hierarchical Image Encryption and Compression Based on Diffusion Models
[NO] 111/200 | A Power-Decoupled Three-Phase Current Source Inverter for Low-Voltage-Ride-Through of Wind Power Generators
[YES] 112/200 | Joint Trajectory and Fluid Antenna Design for Secure UAV-Enabled ISAC
[NO] 113/200 | Non-Stationary THz Channel Characterization for S2A Communications: A Trajectory-Aware Doppler Analysis
[NO] 114/200 | Ultra-Wideband 2-Bit Reconfigurable Phased Array Antenna with Improved Side Lobe Level
[NO] 115/200 | Deep Tactile Learning for Tumor Detection and Depth Classification in Robot-Assisted Surgery
[NO] 116/200 | The Future of Integrated Bidirectional Energy and Transport Systems [From the Editor]
[NO] 117/200 | 2026 7th International Conference on Big Data Analytics and Practices (IBDAP)
[NO] 118/200 | Design of C-band High-Efficiency Relativistic Klystron Oscillator with a Low-magnetic Field
[NO] 119/200 | MGF-PEFT: Multi-Granularity Feature Fusion for Efficient Large Language Model Tuning
[NO] 120/200 | Optically Transparent Millimeter-Wave Wideband Reflective Metasurface Antenna
[NO] 121/200 | A YOLO11 Object Detection Algorithm Based on ResNet18 Backbone Optimization for UAV Small Targets
[NO] 122/200 | High-Efficiency Bilateral Cosecant-Squared Beamforming Antenna Based on Substrate Integrated Coaxial Line
[NO] 123/200 | Bi-Level Routing and Sparse Spatial Attention based Multi-View BEV 3D Object Detection for Autonomous Driving
[NO] 124/200 | Multi-Scale Time-Frequency Collaborative Attention Network for Speech Emotion Recognition
[NO] 125/200 | Conformal Tapered Periodic Sheet for Edge Scattering Suppression
[YES] 126/200 | Two-Stage Delay-Doppler Estimation for OTFS Systems via Off-Grid Sparse Bayesian Learning
[NO] 127/200 | H-GRPO: An Asymmetric Hierarchical Group Relative Policy Optimization Framework for Constrained Multi-Objective Control
[NO] 128/200 | A Comparative Study of AI Models for EEG-Based Cognitive Confusion Detection
[NO] 129/200 | An Improved Schiffman Phase Shifter Based on an L-Shaped Network
[NO] 130/200 | FDFD Solution for the Crosstalk of Multi-Conductor Transmission Lines
[NO] 131/200 | Parametric Optimization Design of Microwave Sensor Based on Interdigitated Spoof Plasmons
[NO] 132/200 | The Study of Learning Outcomes using the Role-Play Method of Human Augmentation Simulation Learning System to Enhance Digital Content Creator
[NO] 133/200 | Millimeter-Wave Wideband Large-Spacing Wide-Angle Scanning Magnetoelectric Dipole Phased Array Antenna
[NO] 134/200 | Arabic Text Detection and Classification in News Video Based on Vision Transformer
[NO] 135/200 | Research on Staged Single-Image Deraining Algorithm
[NO] 136/200 | Design of a Ka-band Three-Way Power Combining Structure in Rectangular Waveguide
[NO] 137/200 | Experimental Study on Electromagnetic Susceptibility of ZigBee-Based Cabin Internet of Things Systems under Radiated Interference
[NO] 138/200 | Integrating Active Problem-Based Learning through Generative AI to Enhance Students’ Understanding of AI Ethics
[NO] 139/200 | Design of High-Efficiency and Boardband Concurrent Dual-Band Power Amplifier
[NO] 140/200 | Delay-Consistent Cross-Traffic Generation for Extending Network Digital Twins to Unidentified Networks
[NO] 141/200 | Machine Learning for Inflation Forecasting: Can High-Dimensional Macro Indicators Beat the Phillips Curve?
[NO] 142/200 | A Method for Design of Heterogeneous Arrays With Broadband Circular Polarization
[NO] 143/200 | A Five-Beam Fresnel Lens Antenna with High Gain for mmWave Wind Profile Radar
[NO] 144/200 | Social CRM for Stakeholder Engagement and Social Innovation in the Circular Economy
[NO] 145/200 | A Fast Update Method for Calibration Data of Phased Array Antennas
[NO] 146/200 | Cognitive Offloading in the Age of AI: Investigating the Influence of AI Dependence on Students' Critical Thinking Skills
[NO] 147/200 | A Simplified Design Method for 27-30 GHz GaN MMIC Load-Modulated Balanced Amplifier
[NO] 148/200 | Adaptive Genetic Optimization of Sparse Arrays for Millimetre-Wave MIMO Radar
[NO] 149/200 | A Small-Sample Learning Method for Risk Management Evaluation of Power Grid Engineering Investment Execution
[NO] 150/200 | RealityCraft: Automated Synthesis of Extended Reality Device Interaction Scripts from Natural Language Instructions
[NO] 151/200 | From Code to Correctness: Closing the Last Mile of Code Generation with Hierarchical Debugging
[NO] 152/200 | Demystifying the CVE Ecosystem: Community-Perceived Impacts and Problems
[NO] 153/200 | Remediating Superfluous Re-Rendering in React Applications
[NO] 154/200 | Design of a Multimodal Intelligent Analysis and Generation System for University Brand Communication Videos
[NO] 155/200 | Q-DRFormer: Query-Position Mapping Flow Prediction with Progressive Refinement for Document Rectification
[NO] 156/200 | A Language Model-Based Method for Malicious Threat Analysis in Industrial Control Networks
[NO] 157/200 | CMT-Net: Cross-Modal Multi-Task Learning for Automated Inspection of Integrated Circuits in Printed Circuit Boards
[NO] 158/200 | Physical Reservoir Computing with Electric Double Layer Transistors for Anomaly Detection using Power Analysis
[NO] 159/200 | Experimental Evaluation of Polarization-Graded AlGaN/GaN HEMTs With Electric Field Management and Improved Breakdown Performance
[NO] 160/200 | Variable-structure Soft Actuator for Multi-mode Grasping
[YES] 161/200 | Characterization of Beam-Squint and Beam-Split Effects in RIS-assisted Multi-Frequency Networks
[NO] 162/200 | Analytical Model for Electromagnetic-Vibration Prediction in Inverter-Fed Synchronous Reluctance Motor
[NO] 163/200 | Adaptive Radar for Uncooperative Spectrum Sharing: GLRT Asymptotic Performance
[NO] 164/200 | FluidTac: A Vision-Based Arrayed Artificial Lateral Line Sensor for Underwater Ego-Motion Estimation
[NO] 165/200 | FlowVLA: Visual Chain of Thought-Based Motion Reasoning for Vision-Language-Action Models
[NO] 166/200 | Early sound-based meal onset detection using Hidden Markov Models (HMMs)
[NO] 167/200 | A Physics-Guided Message Passing Neural Network for Mesh Smoothing in Moving Conductor Eddy Current Simulations
[NO] 168/200 | Prescribed-Time Tracking Control of Linear Motors with Guaranteed Performance under Uncertainties
[NO] 169/200 | Phase-Shifted DR Based HVDC Link Dedicated to Filter-Free Distant Offshore Wind Farms
[NO] 170/200 | Input-Data Information Preservation and Protocol-Specific Error Mitigation in Noisy Fixed-Parameter Quantum Front Ends: A Reproducible Simulation Study
[NO] 171/200 | AutoNet: A Two-Stage Router Configuration Recommendation Framework Integrating Structured Semantic Modeling and Constraint Solving
[NO] 172/200 | Efficient Electro-Thermal Co-Analysis of GaN HEMTs Based on Neural Network
[NO] 173/200 | Design and Implementation of System-Independent Data Encryption Software: Case Study of Exploration and Development Data Lake
[NO] 174/200 | A Wide Dynamic Range Efficiency-Enhanced Class-D Power Amplifier Using Hybrid Power Control Techniques for LPWAN Applications
[YES] 175/200 | Physics-Informed Generative Beamforming for Terahertz Holographic Metasurface Antennas
[NO] 176/200 | WVES: A Weighted Ensemble Framework for Student Mental Health Assessment
[NO] 177/200 | Design of Ultrawideband Dual-Polarized Base Station Antenna for 2/3/4/5G
[NO] 178/200 | A Highly Integrated Quantum Wide- field Microscope Based on NV Centers
[NO] 179/200 | An Accelerated MUSIC Algorithm for GTD Scattering Center Parameter Estimation
[NO] 180/200 | Long-Horizon Load Stability Testing and Degradation Forecasting for High-Concurrency Cloud Storage
[NO] 181/200 | A Voltage-Mode Schmitt Trigger Based on A Single VCII and Its Application to A Square/Triangular Wave Generator
[NO] 182/200 | A 2D Inverse Scattering Method for Metallic Targets Based on the Finite-Difference Frequency-Domain
[NO] 183/200 | Design of Ku-band Microwave Driver Amplifier for Microwave Photonic Radar Imaging
[NO] 184/200 | LFFN: A Locality-Aware Feed-Forward Network for Efficient Transformer Architectures
[NO] 185/200 | GS-YOLO: Lightweight Weed Detection via a Shared Convolutional Detection Head
[NO] 186/200 | Compact Broadband 2×2 MIMO Array Based on Multi-Mode Resonance for Wireless Communication Systems
[NO] 187/200 | A Resistorless Electronically Tunable Grounded Inductance Simulator Using Voltage Conveyor Transconductance Amplifiers
[NO] 188/200 | Texture Attribute-Based Classification of GPR Data Recorded Along Railway Tracks
[NO] 189/200 | Real-Time Network IDS for SOHO Using Hybrid Edge Machine Learning Techniques
[NO] 190/200 | Optimizing Structural MRI for Alzheimer's Diagnosis: A Preprocessing Approach Using FSL
[NO] 191/200 | Factors Influencing the Success of Instructional Management in the Metaverse: A Structural Equation Modeling Approach
[NO] 192/200 | Design of a Dual-Band Bandpass Filter Based on Spoof Surface Plasmon Polaritons
[NO] 193/200 | An ultra-wideband tightly coupled phased array antenna with low-profile and wide-angle scanning
[NO] 194/200 | A Miniaturized Atomic Clock with Low-Power Mode and Adjustable-Precision 1PPS Synchronization
[NO] 195/200 | An Ultra-Wideband LDMOS Power Amplifier Based on Filter Network Synthesis Technology
[NO] 196/200 | Tighter Security Proof for IBE from MP-LWE Assumption in the Random Oracle Model
[NO] 197/200 | VeriRAG-Agent: A Retrieval-Augmented Agent Framework with Dynamic Tool Calling for Smart Contract Auditing
[NO] 198/200 | A High Frequency-Selectivity Polarization Converter for X-Band Applications
[NO] 199/200 | Agentic AI and LLMs for Dynamic Content Generation: an Architectural and Communication Framework for Carbon Footprint Management
[NO] 200/200 | Multi-Objective Optimization Using LSTM and Genetic Algorithm with Multi-Agent Simulation: Application to Glacier Conservation Planning
筛选完成：共 200 篇；Yes = 6 篇；已保存到 papers/select_paper2026-09-10.json。
邮件发送成功！
[2026-09-11 13:53:14] 任务执行成功！
