[2026-02-17 09:41:57] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-02-16
正在获取论文...
[arXiv] 2026-02-16 | Scaling Transferable Coarse-graining with Mean Force Matching
[NO] 82/200 | Existence of large-data solutions to a thermo-piezoelectric system and forward operator analysis for associated inverse problems
[NO] 83/200 | Gravitational Decoherence Estimation in Optomechanical Systems
[NO] 84/200 | Dark higher-form fields and triangle anomalies
[NO] 85/200 | Asymmetry in laser wakefields driven by intense pulses
[NO] 86/200 | The Global Representativeness Index: A Total Variation Distance Framework for Measuring Demographic Fidelity in Survey Research
[NO] 87/200 | Robot-Wearable Conversation Hand-off for Navigation
[NO] 88/200 | On the behavior of analytic torsion for twisted canonical bundles under degenerations
[NO] 89/200 | Beyond Retractions: Forensic Scientometrics Techniques to Identify Research Misconduct, Citation Leakage, and Funding Anomalies
[NO] 90/200 | What hackers talk about when they talk about AI: Early-stage diffusion of a cybercrime innovation
[NO] 91/200 | Evidence for the merger hypothesis in V4332 Sgr: a low $^{12}$C/$^{13}$C ratio and multiple outbursts
[NO] 92/200 | ROSA: Roundabout Optimized Speed Advisory with Multi-Agent Trajectory Prediction in Multimodal Traffic
[NO] 93/200 | Localization Tensor Revisited: Geometric-Probabilistic Foundations and a Structure-Factor Criterion under Periodic Boundaries
[NO] 94/200 | Infrared period-luminosity relations of Galactic Miras based on multi-epoch photometry and the Gaia parallax uncertainty
[NO] 95/200 | GOT-JEPA: Generic Object Tracking with Model Adaptation and Occlusion Handling using Joint-Embedding Predictive Architecture
[NO] 96/200 | On the Parameterized Tractability of Packing Vertex-Disjoint A-Paths with Length Constraints
[NO] 97/200 | A-H Premium and the Shanghai-Hong Kong Stock Connect
[NO] 98/200 | A strengthening of the Blaschke-Santaló inequality for $o$-symmetric planar convex bodies
[NO] 99/200 | Topological and arithmetic characteristics about products of projective lines with complex tori
[NO] 100/200 | Probabilistic Cutoffs in Homogeneous Quantum Repeater Chains
[NO] 101/200 | SPIED: A Human-Centred pedagogy for AI education at upper second level (Work in progress)
[NO] 102/200 | Self-Paced Fair Ranking with Loss as a Proxy for Bias
[NO] 103/200 | EvioSum: An Evidence-Guided Generation Framework for Faithful and Interpretable Opinion Summarization
[NO] 104/200 | Third Workshop on Generative AI for Recommender Systems and Personalization
[NO] 105/200 | Transfer Learning via User-Item Graph Convolution for Enhanced Cross-Domain Recommendation
[NO] 106/200 | A novel implementation of Hermite finite element methods in the deal.II library
[NO] 107/200 | IRAC 2025 TOC
[NO] 108/200 | Node-based Blockchain Decentralization Measurement Model
[NO] 109/200 | HMap: Efficient Internet-wide IPv6 Scanning with Dynamic Search
[NO] 110/200 | Unified Load Flow Modeling and Boundary-Aware RoPINN Framework for Particle-Like EV Aggregation Dynamics
[NO] 111/200 | Hybrid DenseNet Architectures and KerasTuner-Based Optimization for Rice Leaf Disease Detection
[NO] 112/200 | Sequential Residual Learning for Path Loss and Shadowing Prediction Using Multimodal Data
[NO] 113/200 | Long Video Understanding with Learnable Retrieval in Video-Language Models
[NO] 114/200 | Transferable Backdoor Attack on Any CLIP Model With Any Target Class by Pre-Trained Hack Network
[NO] 115/200 | Enhanced Virtual-Oscillator Controlled Inverter: A Complex-Coefficient Filter Approach
[YES] 116/200 | Physical-Layer Obfuscation in MIMO–SSK Systems with Imperfect CSI and Spatial Correlation
[YES] 117/200 | Joint Beamforming and Resource Coordination for RIS-Aided ISAC over Secure LAWNs
[NO] 118/200 | Model Backdoor Attack on Federated Learning Based on Parameter Analysis
[NO] 119/200 | HLS-Based Algorithm-Hardware Co-Design of MIMO-OFDM Receiver for Tactical Jamming Suppression
[NO] 120/200 | Types I &amp; II Partition-based Fuzzy Classifiers for Enhanced Interpretability, Smaller Output Variance and Denoising Capability_supp1-3664431.docx
[YES] 121/200 | Deterministic Statistical QoS Guarantee over FBL-AMC-HARQ based Cell-Free mMIMO
[NO] 122/200 | O-RAN xApps Conflict Prediction using Graph Convolutional Networks
[NO] 123/200 | Effects of low-intensity transcranial ultrasound stimulation on cortical functional network connections and epileptic seizures in a mouse model of epilepsy_supp1-3664698.docx
[NO] 124/200 | Myo-Hand XP: User-Centred Co-Design, Clinical Implementation, and Commercial Translation of an Immersive Virtual Reality Intervention for Myoelectric Prosthesis Training
[NO] 125/200 | Efficient Information Updates in Compute-First Networking via Reinforcement Learning with Joint AoI and VoI
[NO] 126/200 | Superconducting Probabilistic Neural Synapse with Spike-Timing-Dependent Plasticity
[NO] 127/200 | The Simons Observatory: Characterization of the 220/280 GHz TES Detector Modules
[NO] 128/200 | In-Hand Manipulation of the Connector for Cable Installation
[NO] 129/200 | A High Performance Real-Time Traffic Prediction Method Based on Hybrid Integrated Model for High-Speed Railway Networks
[NO] 130/200 | AI-Driven Personalized Learning Paths: Intelligent Restructuring and Innovative Practice of Higher Education Curriculum Systems
[NO] 131/200 | AI-Enabled Optical Communication Networks for 6G Telecommunication and Beyond
[NO] 132/200 | Design of automatic testing for remote sensing satellite receiving system based on workflow technology
[NO] 133/200 | Short-term wind PV output and electrical load forecasting for microgrids based on peak-valley weighted CNN-BiLSTM
[NO] 134/200 | IoT-Driven Optical Sensor Networks for Smart Infrastructure Monitoring in Warehouses
[NO] 135/200 | An Intelligent Layered Teaching Assistant for Personalized Project-Based Learning in Vocational Education
[YES] 136/200 | Hybrid LiFi-WiFi Architecture for High-Speed Vehicular Communication in Intelligent Transportation Systems
[NO] 137/200 | Lightweight Transfer Learning Framework for Multi-class Land Cover Classification from Sentinel-2 Imagery
[NO] 138/200 | A Dual-Branch Feature Extraction Method for Infrared-Visible Remote Sensing Image Matching Based on GANs
[NO] 139/200 | Comparative Analysis of Transformer-Based Models for Automated Student Feedback Sentiment Analysis and Summarization
[NO] 140/200 | Research on UAV route planning strategy under the background of low-altitude economy
[NO] 141/200 | Constructing and Applying a Online Teaching Research Community Model for Urban and Rural Teachers from the Perspective of Precision Teaching Research
[NO] 142/200 | Attenuation Behavior of Pulsed Pressure Waves in Transformer Oil under Different Discharge Conditions
[NO] 143/200 | Harmonic Source Localization Based on a Backtracking Generalized Orthogonal Matching Pursuit Algorithm
[NO] 144/200 | Study on Day-Ahead Prediction Method for Building Energy Consumption for Virtual Power Plants Based on Multi-Scale Convolution and Multi-Head Attention Mechanism
[NO] 145/200 | Conversational Entity Retrieval from a Knowledge Graph using Aggregation of Fine-grained Relevance Signals with Graph Convolutions and Self-Attention
[NO] 146/200 | New Theoretical Results for LAD-Based Sparse Recovery Using Expanders
[NO] 147/200 | Control of Channel-Shortening in Self-Aligned Top-Gate Polycrystalline Indium Oxide Thin-Film Transistor With Boron-Implanted Source and Drain Regions_supp1-3660989.docx
[NO] 148/200 | Enhanced Retrieval of Precipitable Water Vapor over Land: An Approach for Algorithmic Improvement and Performance Assessment
[NO] 149/200 | Anomaly Detection for Camouflage Targets via Hierarchical Attentional Fusion in UAV Hyperspectral Imagery
[NO] 150/200 | Anti-Ferroelectric ZrO2 Capacitors with Ultra-High Capacitive Memory Window and Low Operating Voltage
[NO] 151/200 | Deep Learning-Aided Time-Discrete Bioprinting for Single-Cell Encapsulation in Microgel With Composable Stiffness Gradients
[NO] 152/200 | Conductive Sensing Jamming Layers for Resistive Sensing of Layer Jamming Brakes_supp2-3657963.mp4
[NO] 153/200 | ProtoFormer: Transformer with Learnable Prototype Tokens for Pansharpening
[YES] 154/200 | Energy Efficient Beamforming Optimization for Hybrid-RIS Aided Massive MIMO Networks
[NO] 155/200 | Data-driven Stochastic Model Predictive Control for Nonconvex Path Planning of Vehicles
[NO] 156/200 | Transactions on Plasma Science
[NO] 157/200 | Directly from Alpha to Omega: Controllable End-to-End Vector Floor Plan Generation
[NO] 158/200 | HP-C4D: A Fast Camera and 4D Radar Fusion Framework with Height Prediction For 3D Object Detection
[NO] 159/200 | UniCrossGait: Unified Cross-modal Gait Recognition Based on Knowledge Distillation
[NO] 160/200 | Galloping Detection for AC Overhead Transmission Line Based on Induced Signals in Ground Wires
[NO] 161/200 | ICET 2025 Cover Page
[NO] 162/200 | Phased Hybrid Algorithm With Adaptive Hyper-NSGA-II for Matrix Placement Machines
[NO] 163/200 | TD(λ)-GA: A Reinforcement Learning-Based Game Algorithm for Weighted Vertex Cover of Networks
[NO] 164/200 | Unified Feedforward Control Framework for Disturbed Non-Minimum Phase Systems: the Koopman-type Inverse Operator Approach
[NO] 165/200 | Clearance-Adaptive Grasping of Clustered Objects Using Pin-Array Robotic Fingers Under Uncertainty
[NO] 166/200 | Reinforcement Learning for Robust Climbing Locomotion with Rope-Driven Legged Robot
[NO] 167/200 | MedInsight Pro: An Explainable Hybrid NLP and LLM Fusion Framework for Radiology Report Interpretation
[NO] 168/200 | From Simulation to Clinical Translation: A Deep Learning Framework for Pancreatic Tumor Segmentation with GUI Integration
[NO] 169/200 | Energy-Efficient Routing Protocol in Vehicular Opportunistic Networks: A Dynamic Cluster-Based Routing Using Deep Reinforcement Learning
[NO] 170/200 | Data Glove and Controller utilized in a ball-catching task with virtual reality differentially modulate corticospinal excitability during combined action observation and motor imagery
[NO] 171/200 | Multi-Personality Generation of LLMs at Decoding-time
[NO] 172/200 | A Preliminary Agentic Framework for Matrix Deflation
[NO] 173/200 | CelebCaption: A Benchmark Dataset for Identity-Sensitive Unlearning in Image Captioning
[NO] 174/200 | Research on Current-Based Torque Estimation for Robot Joint Parameter Identification Based on Recursive Least Squares
[NO] 175/200 | Improving Information Security of the Exchange of IoT Data with the Use of Lora-Based Encryption Methods
[NO] 176/200 | A Unified Energy Management System Framework for Active Distribution Networks with Hybrid Energy Storage and Decentralized Voltage Control
[NO] 177/200 | Design of an UWB Asymmetric Stripline Directional Coupler with Low Ripple
[NO] 178/200 | The Cultivation and Evaluation Model of College Students' Innovation Ability Based on the Concept of "Five-Education Integration"
[NO] 179/200 | An AI-based Approach to 5G Networks' Dynamic Resource Allocation
[NO] 180/200 | Physics-Informed Neural Network for Sensorless Speed Prediction of Submersible Motors
[NO] 181/200 | Research on Model-Free Predictive Current Control Strategy for Axial Flux-Switching Shaftless Rim Driven Motor
[NO] 182/200 | A Graph Neural Network-Based AC Microgrid Fault Diagnosis Model
[NO] 183/200 | Dual-Platform Comparative Study: Evaluating Generative AI for English Writing Errors Correction
[NO] 184/200 | AI-Powered Cybersecurity Framework: From Reactive Defense to Proactive, Resilient, and Autonomous Protection
[NO] 185/200 | AI-Assisted Resource Allocation in 5G/6G Networks
[NO] 186/200 | Research on Fault Diagnosis Model of Gas Turbine Under Variable Operating Conditions
[NO] 187/200 | Low-Power Silicon Photonic Modulator for On-Chip Optical Interconnects
[NO] 188/200 | A Hybrid Edge-Cloud Smart Door Surveillance System with Real-Time Risk Assessment and Secure Access Control
[NO] 189/200 | Performance Analyses of Discrete-Time ZNN for Solving Pseudoinversion of Time-Variant Matrices with Different Parameters
[NO] 190/200 | Reframing Financial Forecasting with Information Processing Theory: A Conceptual AI Framework
[YES] 191/200 | Deep Learning-Based Fractional Doppler-Resilient Channel Estimation for OTFS Systems
[NO] 192/200 | A Multi-Resonant Multi-Output (MRO) DC Converter with Multi-Electrolyzer Hybrid Connections
[NO] 193/200 | RFD-YOLO: A Lightweight Method for Efficient Rotten Fruit Detection
[NO] 194/200 | Electroencephalography (EEG)-Based Forgetting Analysis in Fragmented Learning Contexts
[NO] 195/200 | Research on the Complementary Operation Model of Pumped Storage and Hydropower under Generation-Grid-Load-Storage Coordination
[NO] 196/200 | Evaluating Security Checks Against Malicious Payloads with Forged Signatures
[NO] 197/200 | Challenges and Solutions for High-Speed Intra-Datacenter Connections Based on VCSEL-MMF Links
[NO] 198/200 | Stability Boundary Analysis for Grid-Following (GFL) and Grid-Forming (GFM) Inverters
[NO] 199/200 | High Power Diamond Photoconductive Switch with sub-bandgap responsivity
[YES] 200/200 | Beyond Connectivity: How Large AI Models Unlock Semantic 6G Networks?
筛选完成：共 200 篇；Yes = 7 篇；已保存到 papers/select_paper2026-02-16.json。
邮件发送成功！
[2026-02-17 10:08:41] 任务执行成功！
