[2026-01-28 09:29:10] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-01-27
正在获取论文...
[arXiv] 2026-01-27 | Evaluation of Oncotimia: An LLM based system for supporting tumour boards
[NO] 78/200 | Hematopoiesis as a continuum: from stochastic compartmental model to hydrodynamic limit
[NO] 79/200 | Voice-Based Chatbots for English Speaking Practice in Multilingual Low-Resource Indian Schools: A Multi-Stakeholder Study
[NO] 80/200 | Understanding Dominant Themes in Reviewing Agentic AI-authored Code
[NO] 81/200 | Gazeify Then Voiceify: Physical Object Referencing Through Gaze and Voice Interaction with Displayless Smart Glasses
[NO] 82/200 | Tactile Memory with Soft Robot: Robust Object Insertion via Masked Encoding and Soft Wrist
[NO] 83/200 | On an improved restricted reverse weak-type bound for the maximal operator
[NO] 84/200 | Etude des morphismes pr{é}servant les mots primitifs
[NO] 85/200 | Confinement and Chiral Phase Transitions: The Role of Polyakov Loop Kinetics Terms
[NO] 86/200 | Learning Collective Medication Effects via Multi-level Abstraction for Medication Recommendation
[NO] 87/200 | E-QRGMM: Efficient Generative Metamodeling for Covariate-Dependent Uncertainty Quantification
[NO] 88/200 | Beyond In-Domain Detection: SpikeScore for Cross-Domain Hallucination Detection
[NO] 89/200 | Physics-Informed Neuro-Symbolic Recommender System: A Dual-Physics Approach for Personalized Nutrition
[NO] 90/200 | Intersections of Cantor sets with hyperbolas and continuous images
[NO] 91/200 | Reevaluating Bluetooth Low Energy for Ingestible Electronics
[NO] 92/200 | Structure-based RNA Design by Step-wise Optimization of Latent Diffusion Model
[NO] 93/200 | Excluding surfaces as minors in graphs
[NO] 94/200 | Towards Pixel-Level VLM Perception via Simple Points Prediction
[NO] 95/200 | Nonlocal Kramers-Moyal formulas and data-driven discovery of stochastic dynamical systems with multiplicative Lévy noise
[NO] 96/200 | UniPCB: A Unified Vision-Language Benchmark for Open-Ended PCB Quality Inspection
[NO] 97/200 | Singular field redefinition between Witten's string field theory and Witten's theory deformed by Ellwood invariant
[NO] 98/200 | SE Journals in 2036: Looking Back at the Future We Need to Have
[NO] 99/200 | Desingularizations of Conformally Kaehler, Einstein Orbifolds
[NO] 100/200 | Contrastive Spectral Rectification: Test-Time Defense towards Zero-shot Adversarial Robustness of CLIP
[NO] 101/200 | Asynchronous Grid Connections Providing Fast-Frequency Response: System Integration Study
[YES] 102/200 | Optical Radiation Source Encoding for Long-Range Multispectral Communication
[NO] 103/200 | Unified Local and Global Transformer for Infrared Small UAV Tracking
[NO] 104/200 | Leveraging Early Diagnosis of Alzheimer's Disease Using Deep Learning and XAI
[NO] 105/200 | AI-Driven Predictive Maintenance in Smart Manufacturing Using Cyber-Physical Systems and Industrial IoT
[NO] 106/200 | A systematic review of recent models for agri-food supply chain management with emphasis on the application of artificial intelligence and sustainability
[NO] 107/200 | ProMoT: Progressive Prompting of Modality and Temporal Dynamics for RGB-T Tracking
[YES] 108/200 | RIS-based Communication Enhancement and Location Privacy Protection in UAV Networks
[NO] 109/200 | Revisiting The Cramer-Rao Lower Bound via Wiener Filtering
[NO] 110/200 | Deep Learning-Based Phishing Email Spam Detection with Region Attention Convolution and Adaptive Optimization
[NO] 111/200 | DLDSS: Dual-Layered Decision Support System for Retail Recommendation
[NO] 112/200 | Image Processing Algorithm Based on Prior Information Entropy Coupled with Equalized Machine Learningaper
[NO] 113/200 | Risk-Tunable Safe Adaptive Control for Nonlinear Systems Under Dynamical Uncertainties
[YES] 114/200 | Experimental Validation Of Information-Theoretic Physical Layer Security
[NO] 115/200 | An Improved OS-CFAR Algorithm based on Otsu’s Preprocessing
[YES] 116/200 | Joint 3D Parameter Estimation in ISAC Systems Based on OTFS Modulation
[NO] 117/200 | EEG Insights into Visual Attention and Affective Prosody Processing in Children with Autism Spectrum Disorder: Examining the Theta/Alpha Ratio
[NO] 118/200 | Leprosy Patient's Chronic Wounds Detection and Segmentation Using Different Yolo Versions and Unet Algorithm
[NO] 119/200 | Super-Twisting Current Regulator for a Six-Phase Induction Motor in Field Weakening Conditions
[NO] 120/200 | AWSUM Filter Aided ADMM for Reverberation Suppression in Very Shallow Water
[NO] 121/200 | fMRI-Based Brain Tumor Classification Using Deep Learning
[NO] 122/200 | High-Sensitivity TMR Sensor System for Magnetic Field Detection for Biomedical Applications
[NO] 123/200 | Self-Distillation for Nonlinear Process Monitoring
[NO] 124/200 | Towards Robust Agents: A Survey of Adversarial Attacks and Defenses in Deep Reinforcement Learning
[NO] 125/200 | Sentiment Analysis of Empathetic Dialogues- A Comprehensive Study on Machine Learning Algorithms and End-to-End Implementation
[NO] 126/200 | Efficient Classification of Multi-Lesion Brain Tumors Using Vision Transformer (ViT) Models
[NO] 127/200 | Pneumonia Classification from X-ray Images with Convolutional Neural Network
[NO] 128/200 | An Efficient Continual Learning Grasp Detection Method With Lightweight RGB-D Fusion and Automated Data Annotation for Kitchen Waste Sorting_supp1-3650331.mp4
[NO] 129/200 | Accelerated Aging of HV Metallized Polypropylene Film Capacitors at Sub-kHz Pulsing and Elevated Temperature
[NO] 130/200 | A MQTT-Based Infrastructure to Support COIL Activities Through Real Remote Labs
[NO] 131/200 | Client Side Experimenting with uDAQ28/LT
[NO] 132/200 | Real-Time Resilient Traffic Prediction for LEO Access Networks via Adjacent Satellite Collaboration
[NO] 133/200 | Manifold Subspace Projection-Based MIG Detectors in Sample-Starved Clutter
[NO] 134/200 | HLIF: A History-Aware Model Boosting Neuronal Heterogeneity in SNNs
[NO] 135/200 | A Distributed Brute-Force Attack and Misleading Countermeasure for Securing ModbusTCP Implementations in PLCs
[NO] 136/200 | Boosting Brain Tumor Classification with Attention-Enhanced Xception Architecture
[NO] 137/200 | Leveraging Blockchain for Secure Mobile Payment Systems: A Privacy Centric Approach
[NO] 138/200 | Conference General Information
[NO] 139/200 | Change and be changed: Looking back at ten years of the soma design research program
[NO] 140/200 | Is Deciphering Cell Types in Complex Tissues the Next Frontier for Protein Language Models?
[NO] 141/200 | Meta Learning Technique for Few-Shot Image Recognition
[NO] 142/200 | Time-Domain Modeling and Power Decoupling of the Cross-Coupled Active Power Flow in a Multi Active Bridge (MAB) Converter
[YES] 143/200 | Secure Sum-Rate Optimization in RIS-Assisted RSMA HAP Systems With Untrusted Users
[NO] 144/200 | Manufacturer-Oriented Risk Assessment of Imaging Systems with Multi-Criteria Decision Making and Machine Learning
[NO] 145/200 | Transformer-Based Fusion of Time-Domain and Time-Frequency Features for Robust Radar Jamming Recognition
[NO] 146/200 | Foundations of a Developmental Design Paradigm for Integrated Continual Learning, Deliberative Behavior, and Comprehensibility_supp1-3628744.pdf
[NO] 147/200 | Penetration Testing of a Merchant Payment Platform; Systemic Vulnerabilities and Compliance-Centric Mitigation
[NO] 148/200 | Sentiment Analysis of Hazardous Events and Disasters
[NO] 149/200 | Securing Smart Supply Chains with Adaptive AI Agents: A Virtual Simulation Framework
[NO] 150/200 | A Comprehensive Exploration of Machine Learning Models for Banknote Authentication
[NO] 151/200 | Detecting GAN-Generated Fake Images Using Deep Learning and Feature Analysis
[NO] 152/200 | Generalization Error Analysis for Attack-Free and Byzantine-Resilient Decentralized Learning with Data Heterogeneity_supp1-3657395.pdf
[NO] 153/200 | 2025 7th Experiment@ International Conference (exp.at'25)
[NO] 154/200 | Exploiting CRUSAP: An Adversarial Security Evaluation of a Lightweight RFID Protocol
[NO] 155/200 | A 0.018-mm
                    <sup>2</sup>
                    0.05-2 GHz Balun-LNA With Post-Linearization and Balanced Loads Achieving 33.5-dBm OIP3 and 3.7-dB NF
[NO] 156/200 | E-mode P-GaN/AlGaN/GaN HEMT with Diode-Engineered Gate Configuration for Extended Gate Voltage Swing
[NO] 157/200 | A Two-Board Design for Interconnected Intelligence in Tiny IoT
[NO] 158/200 | Treating the Filter Weights as Learnable Functions: An Efficient Nonlinear Filtering Framework and Its Adaptive Algorithms
[NO] 159/200 | Effects of sequential dual-target TMS on the dynamic characteristics of brain networks as revealed by fNIRS
[NO] 160/200 | Human-Autonomous System Interaction Graphical Notation (HASIGN): How Do We Design for Human-Multi-AGV Interaction in Manufacturing Intralogistics?
[NO] 161/200 | Voice-Powered Assembly: Boosting Self-Efficacy in Older Adults with “Build2Race”
[NO] 162/200 | A Blockchain Based Decentralized Identifiers for Entity Authentication in Electronic Health Records
[NO] 163/200 | A Blockchain-Based IoT Framework for Smart Homes: Enhancing Energy Prediction and Security with LSTM and Equilibrium Optimization
[NO] 164/200 | A Target Detection Method of Pulse Group Frequency Agile Radar
[NO] 165/200 | Research on Obstacle Avoidance Maneuver Decision-Making Technology Based on Safety Reinforcement Learning
[NO] 166/200 | Multi-Modal Semantic Segmentation Based on Spike Encoding and Early Fusion with Events and Images
[NO] 167/200 | A Smart Clinical Application for Early Diagnosis of Progressive Diseases Using Machine Learning
[YES] 168/200 | Secrecy Performance Analysis of AmBC-assisted MEC System with Backscatter Device Selection
[YES] 169/200 | Large-Scale Planar Array Near-Field Calibration Based on Plane Wave Spectrum Maclaurin Expansion
[NO] 170/200 | Robustness of Question Answering Systems in the Biomedical Domain: a study of the BioASQ dataset
[NO] 171/200 | Event-Triggered Model-Free Adaptive Predictive Control for Networked Wind-Power Microgrids Subject to Aperiodic DoS Attacks
[NO] 172/200 | Networkless Collision Avoidance for Multiple Vehicles Using Joint Spatial–Temporal Chance-Constrained Optimization_supp1-3651393.mp4
[NO] 173/200 | QoE-Aware Quantization in Buffer-Based Adaptive Bitrate Control with PD Controller for MPEG-DASH
[NO] 174/200 | Augmented Reality as a Transformative Tool in Engineering Education: Analysing its Impact on Learning and Engagement
[NO] 175/200 | SFI: A Practical and Efficient Backdoor Attack Framework against Split Learning
[NO] 176/200 | Medical Data Security in Blockchain: A telemedicine data sharing scheme based on custom OPE and 4D-YG hyperchaotic
[NO] 177/200 | A Finite State Automaton for the Tsetlin Machine Using High-Capacity Resettable D Flip-Flop Cells
[NO] 178/200 | A Set-Membership Filter for Group Target Tracking Using Bounded Bearing-Only Measurements
[NO] 179/200 | Enhancing Process Mining on Sparse Event Logs: A Simulation-Driven Academic Case Study
[NO] 180/200 | Evolutionary Nanorobotic Design Based on Bioinformation Feedback
[NO] 181/200 | A Survey of Domain-specific Fine-tuned Large Language Models
[NO] 182/200 | Quantification of Major Depressive Disorder via Spectrogram-Based Analysis of Electroencephalography Signals
[NO] 183/200 | Technology-Enhanced Dual-Task Testing for Alzheimer’s Disease and Related Dementias: A Review of Trends, Tools, and Emerging Directions
[NO] 184/200 | A Graph Neural Network-Based Method for Dynamic Path Scheduling in AGV Systems
[NO] 185/200 | An Immersive Virtual Reality Platform for First Aid and Emergency Training
[NO] 186/200 | Measurement of 5G-NR Signal in V2I Environment in 5 GHz Band by Software-defined Radio System
[NO] 187/200 | AI-Driven Exterior Damage Assessment for Shared Vehicle Systems: A Benchmarking Study of Segmentation and Detection Models
[NO] 188/200 | Frame-Correlation Exploitation for Secure Audio Watermarking: A Parallel Multi-Watermarking Framework with Enhanced Robustness
[NO] 189/200 | A Median Enhancement Attention Network for Highway Traffic Hazy Image Enhancement
[NO] 190/200 | A user-friendly Google Earth Engine Web Application for vegetation trait mapping and time series analysis from Sentinel-2 and Sentinel-3 imagery
[NO] 191/200 | From Edge Screening to Cloud Adjudication: Intelligent Multimodal Anomaly Detection in Large-Scale Sensor-Cloud Networks
[NO] 192/200 | The Need for Up- &amp; Re-Skilling of Staff of Universities of Applied Sciences in Ethiopia
[NO] 193/200 | Templse: Cloud Integrated Health Monitoring System
[NO] 194/200 | Evaluating the Performance of Three IHS-based Pansharpening Techniques
[NO] 195/200 | Evaluating Administrative Accountability for Artificial Intelligence Application Errors in Jordan: Legal and Ethical Implications
[NO] 196/200 | A Portable Femtoampere-Sensitive Readout System for a High-Pressure Argon Ionization Chamber
[NO] 197/200 | RDKD-SAR: An RT-DETR knowledge distillation framework for SAR object detection
[NO] 198/200 | Structurally Consistent Multi-Stage Learning for Abdominal and Cardiac Organ Segmentation
[NO] 199/200 | Traffic-Aware RAW Slot Allocation Scheme for Heterogeneous IoT Networks
[NO] 200/200 | A Scalable Multiple Extended Targets Tracking Based on the Non-Homogeneous Poisson Process and PHD Filter*
筛选完成：共 200 篇；Yes = 8 篇；已保存到 papers/select_paper2026-01-27.json。
邮件发送成功！
[2026-01-28 09:59:48] 任务执行成功！
