[2025-12-13 09:09:19] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-12
正在获取论文...
[ACM] 2025-12-12 | Datalog-Expressibility for Monadic and Guarded Second-Order Logic
[IEEE] 2025-12-12 | Spiking Neural Networks for Resource Allocation in UAV-Enabled Wireless Networks
[IEEE] 2025-12-12 | Data-Driven Simulation System for Industrial Fused Magnesia Furnaces
[IEEE] 2025-12-12 | Lightining Protection for Lifelines - Considerations
[IEEE] 2025-12-12 | Weather Predictions Using Fuzzy TOPSIS &amp; Fuzzy AHP
[IEEE] 2025-12-12 | Digital Twin-Based Reinforcement Learning for Beam Selection in Cell-Free Networks
[IEEE] 2025-12-12 | Evaluation of Packaging Printing Quality Defects Based on Linear Array CCD
[IEEE] 2025-12-12 | Development of Grafana-Based Dashboard in Garbage Collection Visualization System
[IEEE] 2025-12-12 | Risk Analysis and Safety Measures in the Use of Temporary Grounding in Electrical Networks
[IEEE] 2025-12-12 | A Three-stage Detector for Massive MIMO System with Mixed ADCs
[IEEE] 2025-12-12 | Multiple-objective Coordinated Steering Control of the Corner Module Electric Vehicle
[IEEE] 2025-12-12 | Matching Under Uncertainty: Toward Robust and Communication-Efficient Perception in Embedded Multi-Agent Systems
[IEEE] 2025-12-12 | SSP-SAM: SAM with Semantic-Spatial Prompt for Referring Expression Segmentation
[IEEE] 2025-12-12 | AI-Driven Inverse Antenna Design in UWB Band: Embedding Forward Consistency into Deep Learning Architectures
[IEEE] 2025-12-12 | A Lightweight Transfer Learning-Based State-of-Health Monitoring With Application to Lithium-Ion Batteries in Autonomous Air Vehicles
[ACM] 2025-12-12 | EpiScale: Large-Scale Simulation of Infectious Disease Based on Human Mobility
[IEEE] 2025-12-12 | An Expectation Maximization Sample Transfer Identification Method for Dynamic Systems Under Non-ideal Data
[IEEE] 2025-12-12 | ICDM: Interference Cancellation Diffusion Models for Wireless Semantic Communications
[ACM] 2025-12-12 | A Checks-and-Balances Framework for Context-Aware Ethical AI Alignment
[ACM] 2025-12-12 | CRIT: Socratic Inquiry for Critical Thinking in LLMs
[ACM] 2025-12-12 | Human Mobility Prediction with Multi-Task Curriculum Training
[ACM] 2025-12-12 | Multi-Scale Diffusion Transformer for Jointly Simulating User Mobility and Mobile Traffic Pattern
[ACM] 2025-12-12 | Omni-CityMood: Vision-based Urban Atmosphere Perception from Every Angle
[IEEE] 2025-12-12 | Burning Reality: Experiencing Climate Change through Virtual Reality
[IEEE] 2025-12-12 | Construction and Utilization of a Partial Scale Map for Navigation on Distorted Indoor Maps
[IEEE] 2025-12-12 | Moisture Prediction in Tobacco Drying Process Based on the NRBO-GRU Algorithm
[IEEE] 2025-12-12 | Leveraging ISAC for Adaptive Cell Zooming in Mixed FSO-RF Networks
[IEEE] 2025-12-12 | A Dual-hop Uplink IM-OFDMA System with Decode-and-Forward Relays
[IEEE] 2025-12-12 | Animal Intrusion Detection in Agriculture Fields Using IoT and Machine Learning
[IEEE] 2025-12-12 | A Conceptual Framework for Neonatal Motor Activity Monitoring Using Digital Twin Technology and Computer Vision: A Preliminary Study
[IEEE] 2025-12-12 | Online Prediction of Oxygen Content in Municipal Solid Waste Incineration Process Based on Improved Random Weight Neural Network
[IEEE] 2025-12-12 | Expanding Access to Science Participation: A FAIR Framework for Petascale Data Visualization and Analytics_supp2-3642878.mp4
[IEEE] 2025-12-12 | Experimental Study on the Influence of Design Parameters on 1500V DC Circuit Breaker Interruption Performance
[IEEE] 2025-12-12 | Remote Estimation of Spatial Sound Energy Distribution for Real-Time Sound Source Localization
[IEEE] 2025-12-12 | sEMG-based Arm Movement Prediction by LSTM for Realtime Teleoperation
[IEEE] 2025-12-12 | Intelligent Document Camera for Enhancing Writing Instruction and Demonstration
[IEEE] 2025-12-12 | HLM 2025 Copyright Page
[IEEE] 2025-12-12 | Secure UAV Relay under Jamming and Eavesdropping via Trajectory-Power Optimization
[IEEE] 2025-12-12 | 2025 21st IEEE International Conference on Mechatronic and Embedded Systems and Applications (MESA)
[IEEE] 2025-12-12 | Adaptation to Non-Individualized Head-Related Transfer Functions by Imparting Visual Spatial Characteristics with Virtual Reality
[IEEE] 2025-12-12 | Basic Evaluation of a Distributed Processing Platform with Reconfigurable Software Module Composition
[IEEE] 2025-12-12 | GCCE 2025 Committees
[IEEE] 2025-12-12 | Design of Acoustic Metadata on Object-Based Audio Utilizing Estimated 3D-Position of Sound Source in Video
[IEEE] 2025-12-12 | Multi-Class Brain Computer Interface Using Electrical and Mechanical Stimuli
[IEEE] 2025-12-12 | Contract-based Incentive Mechanism for AI-Generated Content Services in Vehicle Edge Computing
[IEEE] 2025-12-12 | Development of a VR-based fitness game designed for individuals living with Parkinson's disease
[IEEE] 2025-12-12 | Goal-oriented Semantic Communication for the Metaverse Application
[IEEE] 2025-12-12 | IEEE/IEC International Standard Instrument transformers--Part 21: Uncertainty evaluation in the accuracy test of instrument transformers
[IEEE] 2025-12-12 | A Novel Water-Substrate-Based Dual-UWB Conformal Antenna with Radiation Stability for Diverse IIoMT Applications
[IEEE] 2025-12-12 | A Radiative Transfer-Driven Deep Learning Framework for Accurate Estimation of Rice Growth Parameters Using Multi-Source UAV Data
[ACM] 2025-12-12 | TrajNS: Numerical and Semantic Modeling Framework for Realistic and Controllable Trajectory Generation
[IEEE] 2025-12-12 | Extended BPPM Signal Design for Frame Synchronization in Modified MPPM
[IEEE] 2025-12-12 | 3D Point Cloud Registration Based on Planes Extracted Using a Neural Network
[IEEE] 2025-12-12 | Effective Fine-Tuning of Vision Transformers with Low-Rank Adaptation for Privacy-Preserving Image Classification
[IEEE] 2025-12-12 | Enhancing Image Classifier Robustness via Prompt-Based Counterfactual Data-Augmentation with Intermediate Transitions
[IEEE] 2025-12-12 | Towards Robust Prediction of Tobacco Box Logistics System Status: A Multi-Feature Framework with Dynamic Graph Learning
[IEEE] 2025-12-12 | DRL-based Network Slicing for Unifying 5G and Wi-Fi Networks
[IEEE] 2025-12-12 | Evaluating the Resilience of 2D Conferencing Platforms in VR Under Packet Loss: A Pilot Study
[IEEE] 2025-12-12 | Performance Analysis of YOLO Models for Real-Time Surveillance Object Detection
[IEEE] 2025-12-12 | The next level of user experience for mobile devices with inertial MEMS sensors
[IEEE] 2025-12-12 | Construction and Application of Multi-Layered Urban Digital Twin Platform Integrating Open Data and 3D Visualization
[IEEE] 2025-12-12 | AI-Driven Cross-Layer Modulation Towards 6G
[IEEE] 2025-12-12 | Securing Task-Oriented Semantic Communications: A Physical-Layer Solution
[IEEE] 2025-12-12 | SSM-based Sequential Recommendation Considering Short-term Dependencies of Time and Adjacency
[ACM] 2025-12-13 | Sonification Strategies for Mapping Visible Element Emission Spectra to Perceptually Relevant Sounds While Retaining Tonal Information
[ACM] 2025-12-13 | User-Centered Insights into Analogue and Digital Mixing: Perspectives of Novice Music Producers
[IEEE] 2025-12-12 | A Review of Mechanisms of Lightning Injuries
[IEEE] 2025-12-12 | Distributionally Robust Model Predictive Control with Mixture of Gaussian Processes
[IEEE] 2025-12-12 | Global Funnel Control of Single-Link Manipulators With Flexible Loads
[IEEE] 2025-12-12 | Trust-Driven Multi-Criteria Optimization for UAV-Assisted IoT Networks
[IEEE] 2025-12-12 | Federated Learning for UAV-based Spectrum Sensing: Enhancing Accuracy Through SNR-Weighted Model Aggregation
[IEEE] 2025-12-12 | Interactive Brain Activity Enhancement Using Hand-Based Exercises: A Game for Alzheimer Patients
[IEEE] 2025-12-12 | PIMRC 2025 Breaker Page
[IEEE] 2025-12-12 | Resource-Constrained OCT Classification via Adaptive Distillation and Optimized Training
[IEEE] 2025-12-12 | A Novel Approach to SME Security: Integrating Hardware Primitives on COTS Platforms
[IEEE] 2025-12-12 | Improving the Recognition Probability of Image Based Text
[IEEE] 2025-12-12 | Jamming Detection in Cell-Free MIMO with Dynamic Graphs
[IEEE] 2025-12-12 | AI-Driven Framework for Automating Infrastructure Provisioning and Compliance Validation in Cloud-Native Environments
[IEEE] 2025-12-12 | Real-Time Safe and Smooth Visual Servoing for Robot Manipulators via Reinforcement Learning_supp1-3634401.mp4
[IEEE] 2025-12-12 | Deploying UAVs and Surveillance Cameras for Continuous Omnidirectional Monitoring_supp1-3642129.pdf
[IEEE] 2025-12-12 | 2025 Reviewers List
[IEEE] 2025-12-12 | FlowMamba: Building Damage Assessment via Optics Flow-based State Space Model
[IEEE] 2025-12-12 | Temporal Refinement of Muscle Synergies in Skilled Golf Swings_supp1-3642830.docx
[IEEE] 2025-12-12 | Highly sensitive QCM humidity sensor based on Nafion/cellulose nanocrystal nanocomposite
[IEEE] 2025-12-12 | MAM: A zkSNARK-based Protocol for Privacy-Preserving Cross-Metaverse Asset Interoperability
[IEEE] 2025-12-12 | IDSE-YOLO: An Infrared Recognition Model for Substation Equipment
[IEEE] 2025-12-12 | Hybrid MRR-Assisted Long-Range SDMA for RO-ISAC Systems in Industry IoT Applications
[IEEE] 2025-12-12 | AS-Level Topology Inference for Path-Aware Networking
[IEEE] 2025-12-12 | Robotic Double Patch Clamp Based on Interactive Mechanical Modeling for Functional Connectivity Measurement Between Neurons_supp2-3642790.mp4
[IEEE] 2025-12-12 | Integrated Photoacoustic-Metabolomic Platform for Multimodal Assessment of Sepsis-Induced Brain Dysfunction_supp1-3637090.mp4
[IEEE] 2025-12-12 | Development of a Novel 7-DOF Position-Orientation Decoupled Microsurgical Robot with Motorized Instruments for Microvascular Anastomosis_supp1-3643333.mp4
[IEEE] 2025-12-12 | Novel Regular Hexagonal Six-Port Hybrid Couplers for Multibeam Applications
[IEEE] 2025-12-12 | Enhancing Rogue-Emitter Rejection in Open-Set Specific Emitter Identification with Out-of-Distribution Signals
[IEEE] 2025-12-12 | Detection of Model-based Planted Pseudo-cliques in Random Dot Product Graphs by the Adjacency Spectral Embedding and the Graph Encoder Embedding
[IEEE] 2025-12-12 | GEXPNET: a Novel Gene EXPression NETwork for Tumor Classification Using the ResNet-based Deep Learning Approach
[IEEE] 2025-12-12 | Institutional Listings
[IEEE] 2025-12-12 | Mobility-Aware Covert Communication via RIS: Phase Optimization Under Mobile Detection Constraints
[IEEE] 2025-12-12 | On the Impact of Tracking Inaccuracy in Space-Based Quantum Key Distribution: A Stochastic Geometric Approach
[IEEE] 2025-12-12 | Edge Agentic AI Framework for Autonomous Network Optimisation in O-RAN
[IEEE] 2025-12-12 | Double Layered Scheduling Structure for Outage Work Planning Collaboration System
[IEEE] 2025-12-12 | Phantom-Based Measurement of Transcutaneous Hybrid WPT System for Implantable Devices
[IEEE] 2025-12-12 | Dynamic Uplink Resource Muting for Cross-Link Interference Estimation
[IEEE] 2025-12-12 | Sensing-Assisted Robust UAV Beam Tracking with Jittering Effect
[IEEE] 2025-12-12 | Exploring a Comment Sharing System To Reduce Student Silence in University Classes
[IEEE] 2025-12-12 | Validations of Electric Arc Simulation
[IEEE] 2025-12-12 | Foul Severity Classification from Multi-View Soccer Videos with Attention and Class Characteristics
[IEEE] 2025-12-12 | Real-Time Fish Activity Level Assessment System with Visual Feedback Using Rose Diagram
[IEEE] 2025-12-12 | Enhancing OpenAI Models for Robust Speech Recognition Using Mandarin Speech Datasets
[IEEE] 2025-12-12 | Supporting English Reading by Integrating Features of Long Sentences with Music
[IEEE] 2025-12-12 | On the Performance of NOMA-Assisted ISAC Networks in the Presence of Co-Channel Interference
[IEEE] 2025-12-12 | Deep Reinforcement Learning Based MCS Selection in Open RAN for Vehicular Communications
[IEEE] 2025-12-12 | Sound Safeguarding for Acoustic Measurement Using Any Sounds: Tools and Applications
[IEEE] 2025-12-12 | Online Learning for Autonomous Management of Intent-Based 6G Networks
[IEEE] 2025-12-12 | Version Age of Information in Short-Packet Broadcast Channels: OMA vs. NOMA
[IEEE] 2025-12-12 | Achieving Block-Code-Based Probabilistic Amplitude Shaping at Low Spectral Efficiency: A New Interface for 6G
[IEEE] 2025-12-12 | Clinical Trial of 8K Laparoscopic Surgery System with Real-Time Telementoring and Local 5G Networks
[IEEE] 2025-12-12 | Bridging the ECHONET Lite Protocol and the EU Code of Conduct for Energy Smart Appliances
[IEEE] 2025-12-12 | 2025 IEEE ESW Brazil – Electrical Safety Workshop Brazil (ESW Brazil)
[IEEE] 2025-12-12 | Deep Reinforcement Learning Based xApp for RAN Slice Management Using OpenAirInterface
[IEEE] 2025-12-12 | A method for monitoring ultrasonic cavitation intensity in manufacturing applications
[ACM] 2025-12-12 | Building Efficient LLM Pipeline for Human Mobility Prediction
[ACM] 2025-12-12 | MODyPer: Multi-Objective Dynamic Personalized Route Planning for Vulnerable Road Users
[ACM] 2025-12-12 | Urban-STA4CLC: Urban Theory-Informed Spatio-Temporal Attention Model for Predicting Post-Disaster Commercial Land Use Change
[ACM] 2025-12-12 | Benchmarking Geospatial Question Answering with MapQA
[ACM] 2025-12-12 | Uncertainty-Aware Anomaly Detection in Spatiotemporal Climate Data [Experiment]
[ACM] 2025-12-12 | GenUP: Generative User Profilers as In-Context Learners for Next POI Recommender Systems
[ACM] 2025-12-12 | Unsupervised Urban Land Use Mapping with Street View Contrastive Clustering and a Geographical Prior
[ACM] 2025-12-12 | Prediction of Dengue Incidents: A Spatio-Temporal Approach with SEIR and Graph Neural Networks
[IEEE] 2025-12-12 | TriDF: Triplane-Accelerated Density Fields for Few-Shot Remote Sensing Novel View Synthesis
[ACM] 2025-12-12 | Enhancing Text-based Image Captioning through Text-aware Self-critical Training
[IEEE] 2025-12-12 | Inter-tape contact resistance characterization of soldered stacked-tape cable samples in liquid nitrogen
[IEEE] 2025-12-12 | Designing for the Unlikely: Mitigation Against Rare, High-Impact Threats
[ACM] 2025-12-12 | Ethics in Review: When Researcher Responsibility Meets Peer Review
[ACM] 2025-12-12 | Building CHI Capacity in Central Europe: Summer School and Mentoring Workshop in Łódź
[ACM] 2025-12-12 | VisitFrequency-Diffusion: Leveraging Recurrent Visits for Long-Term Individual Trajectory Forecasting
[ACM] 2025-12-12 | PortVIS: An Interactive Platform for Port-to-Port Trajectory Imputation and Visual Analytics
[ACM] 2025-12-12 | Physics-Guided Multi-Contextual Learning: Understanding the Surface and Subsurface Processes in Southeast Greenland
[IEEE] 2025-12-12 | CD-TVD: Contrastive Diffusion for 3D Super-Resolution with Scarce High-Resolution Time-Varying Data_supp2-3634787.mp4
[IEEE] 2025-12-12 | BDIViz: An Interactive Visualization System for Biomedical Schema Matching with LLM-Powered Validation
[IEEE] 2025-12-12 | Generating Any Changes in the Noise Domain
[IEEE] 2025-12-12 | The Influence of Miniaturization of Hydraulic Oil Tank on Degassing and Impurity Removal Function
[IEEE] 2025-12-12 | MSG-Loc: Multi-Label Likelihood-based Semantic Graph Matching for Object-Level Global Localization_supp1-3643293.mp4
[IEEE] 2025-12-12 | Flexible LIG Pressure Sensor Incorporating a PVA-Based Conical Microstructured Layer Fabricated via Flash Foam Stamp Technique_supp3-3640932.docx
[IEEE] 2025-12-12 | Deep-Learning-Based PAPR Reduction for Pilot-Embedded AFDM Signals
[IEEE] 2025-12-12 | Oriented Vehicle Joint Detection and Tracking in Satellite Video via Identifier-free Point Supervision
[IEEE] 2025-12-12 | Latency and Reliability-Aware Dynamic Task Offloading and Scheduling for Energy-Harvesting Systems in Mobile Edge Computing_supp1-3642711.pdf
[IEEE] 2025-12-12 | Evaluation of Stress Response Using Smartphone PPG for Anxiety and Depression Monitoring
[IEEE] 2025-12-12 | GreenDLS: An Energy-Efficient and SLO-Aware Deep Learning Serving System
[IEEE] 2025-12-12 | Evaluation of Route Invalidation Mechanisms and Network Recovery in Wireless Sensor and Actuator Networks
[IEEE] 2025-12-12 | Enhancing Prediction Confidence in Multi-Source Source-Free Domain Adaptation for Fault Diagnosis
[IEEE] 2025-12-12 | Data Transmission in Bluetooth: a Review
[IEEE] 2025-12-12 | Multi-Task Lifelong Reinforcement Learning for Wireless Sensor Networks
[IEEE] 2025-12-12 | APDM: Cyclic-Aware Attentional Diffusion Model with Parametric Prior Fusion for Probabilistic Multivariate Time Series Forecasting
[IEEE] 2025-12-12 | Novel Beamforming Designs Performance Analysis of Smart Cities IoT Systems
[IEEE] 2025-12-12 | GCCE 2025 Subject Index Page
[ACM] 2025-12-12 | Safety Assessment of Generative AI Models in Home IoT Contexts
[IEEE] 2025-12-12 | Anomaly Detection Using Optical Flow Error and Grad-CAM
[IEEE] 2025-12-12 | Consumer-Centric Multi-Objective Energy Management with Adaptive Load-Shifting Flexibility
[IEEE] 2025-12-12 | Personalized and Cluster-Based Parameter Fitting for Extended TSENS
[IEEE] 2025-12-12 | Exploring Customer Acceptance of AI-Enabled Digital Logistics Services
[IEEE] 2025-12-12 | Mobility Management in Scalable Cell-Free MIMO Networks Under Channel Aging and Handover
[IEEE] 2025-12-12 | Design of SVD-Precoded Faster-Than-Nyquist Signaling Considered Inter-Block-Interference
[IEEE] 2025-12-12 | Data Analysis on the Improvement of Basic Motor Skills Using a Cloud-Connected Training Machine
[IEEE] 2025-12-12 | Zero-Forcing Assisted RFMD Detection of SE-MOCZ for Non-Coherent Short Packet Communications
[IEEE] 2025-12-12 | Database Intrusion Detection System using Adaptive hybrid Archimedes-Flamingo Search Optimized CAE integrated SA-LSTM with modified RNP-Miner
[IEEE] 2025-12-12 | Design Asynchronous Microservice Architecture Using Queue Structure and Lightweight Digital Signature
[IEEE] 2025-12-12 | Cover
[IEEE] 2025-12-12 | A Generative AI Mentoring System for Cultivating Cybersecurity Skills
[IEEE] 2025-12-12 | RCAN Based OTFS Signal Detection in the Presence of Hardware Impairments
[IEEE] 2025-12-12 | Bearing Remaining Useful Life Prediction Method Based on Dynamic Feature Selection and LSTM-KAN Modeling
[IEEE] 2025-12-12 | Iterative Bayesian Model for Ground Point Detection
[IEEE] 2025-12-12 | A Study on Improving the Accuracy of Wearable Devices to Alleviate Harvesting Workload
[IEEE] 2025-12-12 | Lightweight and Trusted Authentication for Cross-Domain Operation of UAV Swarm
[IEEE] 2025-12-12 | A Fatigue-Aware Bicycle Type Recommendation for Cycle Tourism
[IEEE] 2025-12-12 | An Interactive Application for Real-Time Circuit Education
[IEEE] 2025-12-12 | BuffetAR: A Food Recognition System with Stereo Audio Cues for Blind Users in Conference Dining
[IEEE] 2025-12-12 | A Goal-Oriented Effective Communication Scheme via Action Innovations
[IEEE] 2025-12-12 | Empathy Enhanced by Vibratory Biofeedback Triggered by Other’s Physiological Arousal
[IEEE] 2025-12-12 | An in-Situ Smartwatch-Assisted Approach to Emotional Eating and Dietary Self-Regulation
[IEEE] 2025-12-12 | Copyright Page
[IEEE] 2025-12-12 | GCCE 2025 Preface
[IEEE] 2025-12-12 | RIS-Assisted Covert ISAC via Deep Reinforcement Learning
[IEEE] 2025-12-12 | T2AgeNet: A Text-Guided Framework with Tissue Features for Brain Age Estimation
[IEEE] 2025-12-12 | UIB-Enhanced Micro-Pose Network for Multi-Target Workpiece Localization and Dimensional Measurement in Industrial Scenes
[ACM] 2025-12-13 | Leveraging small datasets for ethical and responsible AI music making
[ACM] 2025-12-12 | A Meta Device Model for Automated Security Assessment of Internet of Things Devices
[ACM] 2025-12-12 | On the cybersecurity of LoRaWAN-based system: a Smart-Lighting case study
[ACM] 2025-12-12 | Integrating AI Assistants to Advance GIS Application Usability
[ACM] 2025-12-12 | A Hybrid Scheme for Face Video Compression
[IEEE] 2025-12-12 | Real-time Multilingual Video Subtitle Spotting on Resource-Constrained Devices
[IEEE] 2025-12-12 | A Gear Backlash Identification and Compensation Method to Enhance Industrial Robot Repeatability
[IEEE] 2025-12-12 | TakeAD: Preference-based Post-optimization for End-to-end Autonomous Driving with Expert Takeover Data
[IEEE] 2025-12-12 | Self-Supervised Spatial-Temporal Consistency for Source-Free Domain Adaptive Segmentation in Remote Sensing Images
[IEEE] 2025-12-12 | Remaining useful life prediction of rolling element bearings based on an advanced two-stage degradation model
[IEEE] 2025-12-12 | A Novel Lightweight Electromagnetic Induction Sensor for Permafrost Detection and Mapping
[IEEE] 2025-12-12 | Low-Carbon Energy Scheduling for Hydrogen-based Steel Heating with Battery Storage
[IEEE] 2025-12-12 | Dynamic Digital Twin Development for PMSMs: A Real-Time Physics-Informed Framework for Condition Monitoring
[IEEE] 2025-12-12 | List of Reviewers
[IEEE] 2025-12-12 | Decentralized Many-to-One Resource Allocation: The Competing Bandit Approach_supp1-3641175.pdf
[IEEE] 2025-12-12 | IEEE Standard for Capability Evaluation Requirements of Blockchain Practitioners
[ACM] 2025-12-13 | “TOUCHSTAR”: Exploring Generative AI-Powered Interactive Narrative in Cinematic Virtual Reality
[ACM] 2025-12-12 | Aphorisms for Collaborative Intelligence
[IEEE] 2025-12-12 | Physical Modeling of Pitch Bending in Accordions Involving Resonance Effects of Reed Box
[IEEE] 2025-12-12 | HLM 2025 Author Information Page
[IEEE] 2025-12-12 | BER Prediction in Partially Blocked Rayleigh Channels for Distributed Antenna Systems
[IEEE] 2025-12-12 | Development of a Hydropneumatic Actuator for Supercritical Fluid Circuit Breakers
[IEEE] 2025-12-12 | AEFL: Adaptive Encryption for Secure and Energy-efficient Federated Learning
[IEEE] 2025-12-12 | Optimizing Fertilizer Application in Precision Agriculture Using Deep Learning and Soil Sensor Data
[IEEE] 2025-12-12 | Evaluation of Dialogue Translation in a Self-made Game Using a Pre-trained BERT Model
[IEEE] 2025-12-12 | Low-Frequency Focused Learning Method for Active Noise Canceling in Headphones
[IEEE] 2025-12-12 | Brain State Discrimination Performance of Ensemble Learning Model Based on Spatiotemporal Features from Cerebral Blood Flow for Brain-Computer Interface
[IEEE] 2025-12-12 | Foundational Models for Building Clinical Decision Support Systems: An Open-Source Models Comparison
[IEEE] 2025-12-12 | Intelligent Radio-Protocol Recognition Leveraging SDR and a Transformer Network
[IEEE] 2025-12-12 | INKOOYO Cube: An Interactive Charm with Electronic Paper Display for Everyday Use
[IEEE] 2025-12-12 | Enhancing Pond Ecosystem Management with IoT-Based Water Quality Monitoring
[IEEE] 2025-12-12 | Reciprocity-Aware Convolutional Neural Networks for Map-Based Path Loss Prediction
[IEEE] 2025-12-12 | UMCA: Enhancing UNet with Multi-Scale Cross Attention for Semi-Supervised Medical Image Fusion
[IEEE] 2025-12-12 | Low Frequency Laser Noise Model Based on Fourier Transform Methods
[IEEE] 2025-12-12 | Prediction of Pedestrian Crossing Intentions Using Wearable Smart Glasses
[IEEE] 2025-12-12 | On Reconstruction of Boolean Networks Using Input-Output Data Sets
[IEEE] 2025-12-12 | Operational Optimal Control of Flotation Processes via Multi-Step Reinforcement Learning
[IEEE] 2025-12-12 | Management and Optimization of Electrical Energy in Greenhouses
[IEEE] 2025-12-12 | ASL Gesture Recognition and Speech Conversion
[IEEE] 2025-12-12 | Study on the Development of Wireless Gait Function Assessment Devices
[IEEE] 2025-12-12 | A Pulse Radar System with UWB Antenna for Noncontact Respiration and Heartbeat Detection
[IEEE] 2025-12-12 | Driving Risks and Behavior by Speed Zone
[IEEE] 2025-12-12 | Design of Interpretable and Enhanced Anomaly Detection xApp for Traffic Steering in O-RAN
[IEEE] 2025-12-12 | Temporal Spectrum Analysis for Multi-Constellation Space Domain Awareness
[IEEE] 2025-12-12 | Exploratory Study of AR Hand Redirection using Augmented Virtual Hand
[IEEE] 2025-12-12 | Mitigating Frequency-Dependent Mutual Coupling for Wideband Holographic MIMO Communications
[IEEE] 2025-12-12 | Development of Leader-Follower based Recording System for Ad-Hoc Microphone Arrays
[IEEE] 2025-12-12 | Late transaction settlement on PoA voting Blockchain for higher security crypto token transfer
[IEEE] 2025-12-12 | Baby Safety Monitoring: Improving the CNN Model Using Batch Normalization and SGD
[IEEE] 2025-12-12 | A Neural Network-aided Low Complexity Chase Decoder for URLLC
[IEEE] 2025-12-12 | Surface Texture Display Combining Friction and Vibrotactile Stimuli for Realistic Natural Materials
[IEEE] 2025-12-12 | A Soft Sensor Method for Quality Prediction in Industrial Processes Based on Multi-Rate Autoencoder Regression
[IEEE] 2025-12-12 | Leveraging Transfer Learning for Rapid Adaptation of ML-based Indoor Propagation Models
[IEEE] 2025-12-12 | PH-Mamba: Enhancing Mamba with Position Encoding and Harmonized Attention for Image Deraining and Beyond
[IEEE] 2025-12-12 | Optimal Online Control Strategy for Differentially Private Federated Learning
[IEEE] 2025-12-12 | Numerical Modeling of Graphene Nanoribbons Salisbury Screen on CaF
                    <sub>2</sub>
                    Substrate for Near-Unity Mid-Infrared Absorption
[IEEE] 2025-12-12 | REBot: Reflexive Evasion Robot for Instantaneous Dynamic Obstacle Avoidance_supp1-3643278.mp4
[IEEE] 2025-12-12 | Formation Containment for Multi-Agent Networks With Cooperative-Competitive Interactions in Two-Dimensional Space
[IEEE] 2025-12-12 | Committee List
[ACM] 2025-12-12 | Enhancing Urban Region Representation via Adaptive Risk-aware Consensus Learning
[ACM] 2025-12-12 | SIGCHI Chapters Updates
[ACM] 2025-12-12 | First Mediterranean CHI Summer School on "Designing Human-Centric Interactive and Intelligent Technology"
[ACM] 2025-12-12 | LLM Agents for Georelating - A New Task for Locating Events
[ACM] 2025-12-12 | Pedestrian Trajectory Prediction via Social Pooling and Transformer Cross Attention
[ACM] 2025-12-12 | Efficient Spatial Joins on Large Geometry Sets
[ACM] 2025-12-12 | DGGVAE: Dual-Granularity Graph Variational Auto-Encoder for Group Recommendation
[ACM] 2025-12-13 | Comparing Trend-Based and Direct HRV Biofeedback in an Adaptive Game Environment
[ACM] 2025-12-12 | Learning from Landmarks, Curves, Surfaces, and Shapes in Geomstats
[ACM] 2025-12-12 | Active Inference for Digital Twins: Predicting and Optimizing IoT Processing Service Performance
[ACM] 2025-12-12 | Session Summary Podcast: Session 1: Late Breaking Results
[ACM] 2025-12-13 | "Body Oracle" Translator: Translating Body Postures into Speculative Hieroglyphs
[ACM] 2025-12-13 | Embodied Motion as Interface: Exploring Abstract Dynamics in Hybrid Environments
[ACM] 2025-12-12 | Introduction to The MACI Framework: A System 2 Architecture for Artificial General Intelligence
[IEEE] 2025-12-12 | Real-time rodent pupillometry on an embedded platform for neuromodulation
[IEEE] 2025-12-12 | Computing Capability Optimization for STAR-RIS-Assisted WP-NOMA-MEC Systems
[IEEE] 2025-12-12 | MFIG-Net: Map-Free Multi-Agent Trajectory Prediction for Signalized Intersection Scenarios
[IEEE] 2025-12-12 | Human-Like Autonomous Driving Car-Following Behavior Learning Based on Adversarial Training and Uncertainty-Aware DDPG
[IEEE] 2025-12-12 | Special Issue Editorial: Extraction by Design—AI, Value, and the Future of Work
[IEEE] 2025-12-12 | Electrical Impedance Analysis of CBD in Aqueous Media: A Prototype Approach Using B2 Graphite Electrodes
[IEEE] 2025-12-12 | Prototype of an Embedded Electrical Impedance Tomography System for Coffee Bean Evaluation
[IEEE] 2025-12-12 | Funnel Control of Euler-Lagrange Systems with Independent Control Gains
[IEEE] 2025-12-12 | Coordinated Planning of Ship Speed and Course for Collision Avoidance Based on the Improved Velocity Obstacle Method
[IEEE] 2025-12-12 | Federated Swarm Intelligence for Adversarial Threat Mitigation through Self-Healing Anomaly Consensus Networks
[IEEE] 2025-12-12 | Practical solutions to reduce high incident energy in the arc flash study
[IEEE] 2025-12-12 | JAFS: Construction of Japanese Anime Face and Speech Dataset for Cross-Modal Speech Synthesis
[IEEE] 2025-12-12 | Analysis of Electrical Fires in Brazil
[IEEE] 2025-12-12 | Study on Hybrid Recycling CLSC Based on Fuzzy Neural Network Robust Control
[IEEE] 2025-12-12 | Intelligent Ground Operations at Airports: A Study on the Implementation of Smart Underground Fueling Systems for Aircraft
[IEEE] 2025-12-12 | Mid-Infrared Single-Photon Sources: The Potential of Zblan Glass Optical Fibers
[IEEE] 2025-12-12 | Query matching for spatio-temporal action detection with query-based object detector
[IEEE] 2025-12-12 | Healthcare Data Exchange: Ensuring Security Through Blockchain Technique
