[2026-09-09 13:18:13] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-09-08
正在获取论文...
[arXiv] 2026-09-08 | Neptune: An AI model for Global Ocean Subseasonal Prediction
[NO] 80/200 | FINALLY: A Dataset Recommender System for Recommender-Systems Research
[NO] 81/200 | A virtual reality extension for the Geant4 toolkit
[NO] 82/200 | CoSA: Correlation-Guided Change A ttention with Learnable Residual Gating for Remote Sensing Change Detection
[NO] 83/200 | Zirconium Carbide as a High-Temperature Benchmark for the Beyond Quasi-Harmonic Method
[NO] 84/200 | To Stop or Not to Stop: Exploring the Intention-Behavior Gaps in Smartphone Usage
[NO] 85/200 | The BatchNorm Illusion: Diagnosing Normalization Artifacts in Machine Unlearning Evaluation
[NO] 86/200 | NOvA Dual-Baseline Search for Active-to-Sterile Neutrino Oscillations using Neutrino- and Antineutrino-Enriched Samples
[NO] 87/200 | On the Stability of the Independence Number in Random Distance Graphs
[NO] 88/200 | On Weighted Mathai-Haubold Entropy Measures
[NO] 89/200 | Phase transition for strongly correlated percolation models on supercritical Bernoulli clusters
[NO] 90/200 | The Double-Edged Sword of Short-Selling Bans
[NO] 91/200 | High-Order Discontinuous Cut Finite Element Methods for Scalar Hyperbolic Conservation Laws
[NO] 92/200 | Controlling Hydrogen Isotope Retention at Helium Cavities through Radiation-Induced Segregation in Fusion Steels
[NO] 93/200 | Covariant Phase Space and Carroll-Weyl $χ$ Symmetry of Carroll Non-BPS D$_p$-branes
[NO] 94/200 | Towards Standardized Evaluation of GPU Memory Safety with GMSBench
[NO] 95/200 | REDSI: Addressing the Reproducibility and Evaluation Consistency of Differentiable Search Indexing for Document Retrieval
[NO] 96/200 | DSE-VTG: Dual-Side Enhancement for Training-Free Video Temporal Grounding
[NO] 97/200 | On 2D Scattering for a Critical Nonlinear Schrödinger Flow
[NO] 98/200 | Leveraging Visual and Geometric Priors for Metric-scale and Complete Vehicle Gaussian Reconstruction from Limited Views
[NO] 99/200 | Orbital choice in constructing model Hamiltonians
[NO] 100/200 | Asynchronous Model Predictive Control Under Model Mismatch: Stability and Performance Guarantees
[NO] 101/200 | Recent Advancements in Traffic Flow Prediction: Review, Challenges and Future Research Directions
[NO] 102/200 | Quaternion Based Rapid Transfer Alignment with Linear State Equation Under Arbitrary Misalignments for Airdrop
[NO] 103/200 | Table of Contents
[NO] 104/200 | Directional Local Entropy Weighted Adaptive Contrast Network for Infrared Small Target Detection
[NO] 105/200 | Interaction Impact and Coordinated Mitigation Strategy of Low Frequency Oscillations with Torsional Vibrations for GFM-DFIG Wind Turbine
[NO] 106/200 | Explainable Complex-Valued Neural Networks Via Inverse Mapping for PolSAR Land-Cover Classification
[NO] 107/200 | Secure Interoperability for Decentralized Credit Ecosystems: Achieving Data Confidentiality and Integrity Across Chains
[NO] 108/200 | FlowFixer-EDA: A Tool-Feedback-Augmented Large Language Model Agent for Automated Diagnosis and Repair of Open-Source RTL-to-GDS Design Flow Failures
[NO] 109/200 | GridScope: Cross-Domain Root-Cause Interpretation for Mission-Critical Facility Power Incidents
[NO] 110/200 | Cowbot: An Energy-Efficient Edge AI Robotic System for Real-Time Dairy Health Monitoring
[NO] 111/200 | A Reconfigurable Switched-Capacitor DC-DC Converter with Wide Range, High Efficiency and Fast Load Response
[NO] 112/200 | A Novel Position Constraint Control for Time-Delayed Telerobotic Systems Based on IBLF and Smoothing Filter
[NO] 113/200 | Spatio-Temporal Network Traffic Prediction Based on an Adaptive Topology Gating Mechanism
[NO] 114/200 | Deployment-Constrained Predictive Digital-Twin Instantiation for Smart IoT Edge-Cloud Infrastructures
[NO] 115/200 | High-Order Graph Regularized Sparse Projection for Unsupervised Hyperspectral Band Selection
[NO] 116/200 | DMRS Aided Cross-Domain Frame Processing for Affine Domain Path Diversity Aggregation
[NO] 117/200 | Unsupervised Few-Shot Remote Sensing Image Classification with Hierarchical Graph Memory and Adaptive Temperature Control
[NO] 118/200 | Unsupervised Change Detection on Multi-Temporal Images Via Unrolled Tensor Completion Network
[NO] 119/200 | XAI-based Feature Selection for Improved Network Intrusion Detection Systems
[NO] 120/200 | A Position-Aware Deep Learning Pipeline with Adaptive Respiratory-Cycle Segmentation for Respiratory Sound Anomaly Detection
[NO] 121/200 | Implementation and Evaluation of a Size-Adaptive Variable-Stiffness Soft Gripper using Vision and Torque Monitoring_supp1-3730973.mp4
[NO] 122/200 | Small-Gain Theorem-Based Adaptive Fuzzy Bipartite Consensus Control for Nonlinear Multi-Agent Systems
[NO] 123/200 | 2026 IEEE International Conference on Smart Internet of Things (SmartIoT)
[NO] 124/200 | D-Band Plastic Waveguide Design and Unified Channel Modeling for System-Level Simulation
[NO] 125/200 | Robust and Trustworthy TinyML-Based EEG Seizure Detection with Quantized Inference
[NO] 126/200 | Reducing memory accesses and computing energy with RISC-V custom load/store instructions
[NO] 127/200 | Digital Twins for Spacecraft Launches: Trends and Future Directions
[NO] 128/200 | Hidden-Context Continual Learning for Survival-Oriented Environmental Adaptation
[NO] 129/200 | Experimental Prompt Engineering Using Structured Language Refinement for Attack Path Analysis
[NO] 130/200 | A Duty-Cycled PLL Architecture for a Low-Power IR-UWB Transmitter in Neural Implants
[NO] 131/200 | Local Manifold Coverage Deficit for Novel Attack Discovery in Adaptive Intrusion Detection Systems
[NO] 132/200 | Enhancing SAR ATR Distribution Shift Decomposition with Operating Conditions
[NO] 133/200 | A Computationally Efficient Real-Time Gaze-Based Human–Robot Interface (HRI) for Continuous Industrial Robot Control
[NO] 134/200 | Agentic AI for Electronic Design Automation for License Management
[NO] 135/200 | Ferroelectric FET-based Reconfigurable Voltage-to-Time Converter in 28 nm CMOS
[NO] 136/200 | Understanding Fault Tolerance of Adversarially Robust Pruned Models
[NO] 137/200 | Predictive Modeling of G-Induced Loss of Consciousness (GLOC) Using Physiological Data and Machine Learning
[NO] 138/200 | A Communication-Coverage-Aware AUV Data Collection Framework for Internet of Underwater Things
[NO] 139/200 | Erratum: LVT: A Learned Video Transcoding Framework
[NO] 140/200 | Integrating Smartphone Barometric Sensors and Knowledge Distillation Techniques for Soil Pressure Analysis
[NO] 141/200 | From Human Demonstrations to Robotic Actions: Real2Sim Verification of a Diffusion Policy for Autonomous Robotic Manipulation
[NO] 142/200 | Ferroelectric Behavior of Hafnium Oxide for Integrated Photonic Non-Volatile Memory Devices
[NO] 143/200 | Analog Activation Functions Assessment in Implementing Resistive Neural Networks
[NO] 144/200 | Neuromorphic Orchestration for Efficient LLM Infrastructure via Utility-Optimized Decision-Making
[NO] 145/200 | Leveraging Blockchain for an Optimised EV Charging System
[NO] 146/200 | Automated Impedance Modeling Method for Small-Signal Stability Analysis of Offshore Wind Farm Integrated via Fractional Frequency Transmission System
[NO] 147/200 | Message from the General Chairs
[NO] 148/200 | NewCAS 2026 Cover Page
[NO] 149/200 | N-Type SnO Based Trace Level Fe(III) Ion Sensor for Drinking Water Quality Monitoring_supp1-3729478.pdf
[NO] 150/200 | An Adaptive Midpoint-Voltage Controller for Active Neutral-Point-Clamped Three-Phase Dual Active Bridge Converters
[NO] 151/200 | Simplified Direct Torque Control for Dual Three-Phase PMSM Based on Vector Error Optimization
[NO] 152/200 | A Survey on Foundation Models for Personalized Federated Intelligence
[NO] 153/200 | MSA-Loc: A Lightweight Multi-Scale Attention Network for Protein Subcellular Localization Prediction
[NO] 154/200 | An Optical Sensor in Standard CMOS Technology for Precise Measurement of Light Polarization
[NO] 155/200 | Showcasing ultra-dense inter-tier partitioning in 3D sequential integration
[NO] 156/200 | Configurable Inter-Tier Connectivity for Secure 3D IC Design
[NO] 157/200 | Codebook-assisted Deep Multi-view Information Bottleneck for Semantic Transmission
[NO] 158/200 | Risk-Regulated Contextual Resource Scheduling for Mixed-Criticality Smart IoT Edge Platforms
[NO] 159/200 | Operating Performance Assessment Method for Industrial Process with Local CEI Density-Constrained BLS Network
[NO] 160/200 | Model and Algorithm Design of Reciprocal Zhang Neuronet and its Link to Steepest Descent Method via Euler Discretization
[NO] 161/200 | HCCL: Hierarchical Consistency-driven Contrastive Learning for Semi-supervised Learning
[NO] 162/200 | Fault-Aware NIRS-Based Bladder Volume Estimation: A Geometry-Sensitive and Fault-Tolerant Sensing Framework
[NO] 163/200 | AdalReID: Auto-selected Knowledge Adapters for Lifelong Person Re-identification
[NO] 164/200 | Multimodal Vision-Language Model Incorporating Sky Images for Intra-Hour Photovoltaic Power Forecasting
[NO] 165/200 | Heterogeneous Mixture-of-Experts Network for Bearing Fault Diagnosis Under Strong Noise
[NO] 166/200 | Phase Tunable Photonic Generation of Parabolic and Truncated Sinc Microwave Waveforms for Arbitrary Chirp Signal Generation
[NO] 167/200 | A Review of Computer Vision for Medicinal Plant Identification by PRISMA
[NO] 168/200 | Fairness-Aware Few-Shot Learning for Audio-Visual Stress Detection
[NO] 169/200 | SAC-DSGH: A Differentiated Satellite-Ground Link Handover Policy Based on Soft Actor-Critic Algorithm
[NO] 170/200 | AI-Driven Clinical Decision Support for Cataract Refractive Outcome: A Head‑to‑Head Comparison of Four Intraocular Lens Power Formulas in Normal Eyes
[NO] 171/200 | Technical Program Committee
[NO] 172/200 | Topology Construction Method for Multi-functional Interconnected Devices with Power Quality Improvement and Fault Regulation Capabilities
[NO] 173/200 | Band-Attentive Time-Frequency Learning for Online Inertia Estimation under Varying IBR Penetration
[NO] 174/200 | A TextGrad-Inspired Optimization Pipeline for AI-Assisted Generation of Lecture Notes and Problem Sets
[NO] 175/200 | Correlated Pointing-Error Analysis for Body-Pointed LED-Based Inter-Satellite Optical Wireless Links
[NO] 176/200 | FedMLKD: Communication-Efficient Federated Learning for UAV Swarm Flash Flood Segmentation
[NO] 177/200 | Hierarchical Privacy-Preserving Funnel Consensus Control for Vehicle Platoon Systems
[NO] 178/200 | How Haptics Affects Emotions in Robotic Dancing Performance
[NO] 179/200 | Energy Minimization for disassembly of End-of-Life Electric Vehicle Batteries
[NO] 180/200 | Application of Knowledge Distillation for Slope Stability Analysis Under Special Environmental Conditions
[NO] 181/200 | Measurement Design and Leakage Evaluation of AES-128 on Modern Embedded Platforms Using Correlation Power Analysis
[NO] 182/200 | Attacking an Infrared Target Segmentation Model
[NO] 183/200 | Resource-Aware Adaptive Radar Anti-Jamming via Reinforcement Learning over Heterogeneous Countermeasures
[NO] 184/200 | Deep Learning-Based Lightweight In-Cabin Multi-Person Heart Rate Monitoring Using 60 GHz FMCW Radar
[NO] 185/200 | LLM-Constructed Cybersecurity Training Ranges
[NO] 186/200 | A Configurable Element-Level Digitization ASIC With Integrated SAR ADC and High-Speed NRZ Data Link For Intravascular Imaging
[NO] 187/200 | A Low Area Regulated Negative Charge Pump for Micro Catheter Based Imaging
[NO] 188/200 | AI-coupled HPC Workflow Applications, Middleware and Performance
[NO] 189/200 | 3D Human Interaction Generation: A Survey
[NO] 190/200 | Lotka-Volterra competition system in critical case with a free boundary
[NO] 191/200 | Review for "Diffusion-Inspired Multi-Source Meta-Learning for Cross-Domain HSI Classification"
[NO] 192/200 | Inverse-Designed Cascaded Rotational Diffractive Layers for Versatile Beam Switching with Single-layer Rotation and large Spacing
[NO] 193/200 | Fault-Tolerant Static Output-Feedback Controller for Trajectory Tracking in Distributed Driven Vehicles With Reinforcement Learning
[NO] 194/200 | Enhanced Enabling Technologies for Improved ‘THz-Torch’ Applications
[NO] 195/200 | Configuration Sensitivity of LLM Tabular Data Synthesizers: A Small-Model Memorization Effect and a Reporting Protocol
[NO] 196/200 | Improved Electromyography Classification using Convolutional Neural Networks
[NO] 197/200 | A Fully Differential Current-Mirror ECG Front-End: A Fair Silicon Comparison With the Classical Three-Opamp Instrumentation Amplifier
[NO] 198/200 | A Comparative Study of MPC and Reinforcement Learning Control for Space Robotics Manipulators
[NO] 199/200 | A Power-Efficient, Reconfigurable Cascaded-Beta Capacitively Coupled Chopper Amplifier for Precision Systems
[NO] 200/200 | WiLMT: LLM-Native Symbolic Representation Learning for WiFi-based Human Sensing
筛选完成：共 200 篇；Yes = 0 篇；已保存到 papers/select_paper2026-09-08.json。
邮件发送成功！
[2026-09-09 14:02:28] 任务执行成功！
