[2026-06-25 11:35:15] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-24
正在获取论文...
[arXiv] 2026-06-24 | Euclid Quick Data Release (Q2) -- The Euclid Galactic Bulge Survey
[NO] 70/200 | Fully Differentiable Neural Forced Alignment via Soft Dynamic Programming
[NO] 71/200 | Abstract Orlicz-Morrey spaces and applications
[NO] 72/200 | Delta-Position Estimation-Based IMU Odometry: A Comparison of MLP and Kolmogorov-Arnold Networks
[NO] 73/200 | Reclaim Evaluation: A Lossy Memory Is Worse Than an Empty One
[NO] 74/200 | Exploring Activity Across the Stellar Main Sequence with the Sun as a Benchmark
[NO] 75/200 | PolicyAlign: Direct Policy-Based Safety Alignment for Large Language Models
[NO] 76/200 | Brevity is the Soul of Inference Efficiency: Inducing Concision in VLMs via Data Curation
[NO] 77/200 | NeuXtalViz: Interactive Three-Dimensional Visualization and Analysis for Single-Crystal Neutron Diffraction
[NO] 78/200 | DFMU: Data-Frugal Machine Unlearning
[NO] 79/200 | Teach-to-Reason: Competition-Guided Reasoning with a Self-Improving Teacher
[NO] 80/200 | The Lp centro-sectional Minkowski problem
[NO] 81/200 | HEART: Coordination of Heterogeneous Expert Agents for Physically Grounded Robotic Task Planning
[NO] 82/200 | TabClean: Reusable LLM-Synthesized Programs for Tabular Data Cleaning
[NO] 83/200 | The tilting property of Whittaker averaged central sheaves
[NO] 84/200 | Data-inspired simulation of AR 11158
[NO] 85/200 | Sarashina2.2-TTS: Tackling Kanji Polyphony in Japanese Speech Generation via Data Scaling and Targeted Data Synthesis
[NO] 86/200 | TheoremGraph: Bridging Formal and Informal Mathematics
[NO] 87/200 | Learning Optimization Proxies for Sequential Contextual Stochastic Programs: An Order Fulfillment Application
[NO] 88/200 | Agentic Knowledge Tracing: A Multi-Agent LLM Architecture for Stealth Assessment of Financial Literacy in Serious Games
[NO] 89/200 | Cache-Resident LLM Inference in GB-Scale Last-Level Caches
[NO] 90/200 | Fractionalized Vortices Drive Kosterlitz-Thouless Transitions in Dipole-Conserving Systems
[NO] 91/200 | AI Coaching for Accelerating Human Skill Development with Reinforcement Learning
[NO] 92/200 | Efficient Remote Sensing Instance Segmentation with Linear-Time State Space Distilled Visual Foundation Models
[NO] 93/200 | Cross-Subject Predictive Validity for Learning Outcomes of Delayed Start Behavior
[NO] 94/200 | Zipf's law before the monetary economy and written administration: volume distribution of kofun, ancient Japanese burial mounds
[NO] 95/200 | KidRisk: Benchmark Dataset for Children Dangerous Action Recognition
[NO] 96/200 | A note on $\text{ded }κ$ and the part-whole principle
[NO] 97/200 | GaN Power Devices and Converter Architectures for AI Data Centers: Efficiency, Reliability, and Deployment Pathways
[NO] 98/200 | UC-Search: Risk-Aware Test-Time Search for Delayed Constrained Time-Series Control
[NO] 99/200 | CoGeoAD: Hierarchical Color-Geometric Fusion with Multi-View Attention for Zero-Shot 3D Anomaly Detection
[NO] 100/200 | Learning Interpretable Text Signals for Structured Responses
[NO] 101/200 | A Compact Wideband Corrugated Patch 4×4 MIMO Antenna with High Isolation for Sub-6 GHz 5G Applications
[NO] 102/200 | Learning to See the Unseen: A Machine Learning Approach for Deepfake Detection
[NO] 103/200 | Lost Spirits: An Interactive Encounter with a Fractured Soul
[NO] 104/200 | Mining Attribute-Based Access Control Policies with Large Language Models [Work in Progress Paper]
[NO] 105/200 | L
                    <scp>ambada</scp>
                    : Autoscaling Confidential Function Chains without Centralized Trust
[NO] 106/200 | Access Control in Interpersonal Abuse Contexts
[NO] 107/200 | Projection-free Safe and Stable Reinforcement Learning for Adaptive Frequency Control
[NO] 108/200 | Cooperative Data-Driven Safety Control Based on Distributed Gaussian Processes
[NO] 109/200 | Adaptive Stability Control of Autonomous Electric Vehicles with Intelligent Disturbance Observer and Safe Torque Allocation
[NO] 110/200 | Tensor-Invariant Magnetic Localization for 6-DoF Pose Estimation via Compact Magnetometer Arrays_supp1-3694427.pdf
[NO] 111/200 | PCM2Net: Physics-Constrained Manifold Mamba Network for Optics-Guided thermal UAV image super-resolution
[NO] 112/200 | Virtual Network Embedding Based on Hierarchical Reinforcement Learning for Admission Decision and Policy Fine-Tuning in Elastic Optical Network
[NO] 113/200 | A Dual-Aggregation and Semantic Prototype Guided Network for Railway Point Cloud Segmentation
[NO] 114/200 | Capacity Expansion Planning under Uncertainty subject to Adequacy Constraints
[NO] 115/200 | Digital Redesign-Based Interval State Estimation for Continuous Systems With Aperiodic Discrete Measurements
[NO] 116/200 | Periodic Via-Guided Stripline Circuit Design with Effective Wavelength Reduction
[NO] 117/200 | Improving Wind Speed Forecasts Through Multi-Stage Signal Decomposition and Hierarchical Time Series
[NO] 118/200 | Digital Active Gate Driver with Closed-Loop Current Balancing for Paralleled SiC MOSFETs Using Miniature Rogowski Coils
[NO] 119/200 | From Isolated Minds to Networked Brains: Architecting the Internet of Brains
[NO] 120/200 | Dual photonic-plasmonic Au-functionalized inverse-SiO
                    <sub>2</sub>
                    optical fiber sensor for
                    <i>p</i>
                    -xylene detection toward prostate cancer screening
[NO] 121/200 | Misinformation Detection via LLM-Based Expert Discussion Network_supp1-3693762.pdf
[NO] 122/200 | Multi-Agent VDPPO Enabled Coordinated Beam Hopping Scheduling for LEO Satellite Constellations
[NO] 123/200 | Variable-Frequency Soft-Switching Traction Inverter Using Coupled Inductors
[NO] 124/200 | Enhancing Communication Robustness for Leadless Pacemakers: 2-DOF Gain Compensation Across Physiologic and Pathologic Dynamics
[NO] 125/200 | Influence of Te Atmosphere Annealing Time on Cd
                    <sub>1-x</sub>
                    Mg
                    <sub>x</sub>
                    Te Single Crystal Properties and Detector Performance
[YES] 126/200 | Near-Field Channel Estimation for Reconfigurable Intelligent Surface: Framework, Design and Analysis
[NO] 127/200 | Affinity-aware Serverless Function Scheduling
[NO] 128/200 | X-OCTANE: eXplainable On-Chip Telemetry-based Anomaly Notification Engine for Silicon Lifecycle Management
[NO] 129/200 | Event-Triggered Bipartite Containment Control of Multi-Agent Systems over Signed Digraphs
[NO] 130/200 | A Semi-Supervised Deep Learning-Based Method for Identifying Wall Surface Defects in Complex Scenes
[NO] 131/200 | 3D Visual Coverage of UAV Based on Elastic Charging Strategy in Wide-Area Environments
[NO] 132/200 | An Enhanced Gray Wolf Optimizer: Adaptive Tangent Flight Strategy
[NO] 133/200 | Prescribed-Time Resilient Control for Multiagent Systems: A Novel Dynamic Memory Event-Triggered Mechanism
[NO] 134/200 | Deep Learning-Based Model Predictive Control for Total Nitrogen Concentration in Wastewater Treatment
[NO] 135/200 | Multi-UAV Cooperative Path Planning Based on Greedy Allocation with Environmental Cost and Soft-Guided Bidirectional Smoothing A*
[NO] 136/200 | Design of Blind Spot Monitoring System for Electric Forklift Operation Based on Single-Chip Microcomputer
[NO] 137/200 | An Efficient Mamba-Based BEV Framework with Predictive-Corrective Temporal Fusion
[NO] 138/200 | Early Prediction of ADHD Using Behavioral and Demographic Features: A Comparative Study of Machine Learning and Deep Learning Models
[NO] 139/200 | An Ensemble Deep Learning Approach for COVID-19 Detection from Chest X-Ray Images With Explainable AI
[NO] 140/200 | Research on Lane Line Detection Optimization and Departure Warning Algorithm Under Multiple Scene
[NO] 141/200 | Event-Triggered Adaptive-Critic-Based Tracking Control for Nonlinear Systems with Input Delay
[NO] 142/200 | Robust Motion Control of Unmanned Surface Vehicles Via Smooth Disturbance Compensation
[NO] 143/200 | Ergodic Capacity Analysis of NOMA-UWOC Systems Over Composite Fading Channels
[NO] 144/200 | Optimal Scheduling of Integrated Energy System Considering Concave-Valley Carbon Price
[NO] 145/200 | DST-Mamba: A Dual-Stream Mamba Network with MixHop for Groundwater Forecasting
[NO] 146/200 | A Systematic Framework for Selecting Multi-Criteria Decision-Making Methods for Ship Designs
[NO] 147/200 | Lyapunov-Guided Actor-Critic: Energy-Variation Prioritized Replay and Stability-Shaped Rewards
[NO] 148/200 | RISC-V Based Processor Design for Edge AI Devices
[NO] 149/200 | Neuro-Edge IDS: A Federated Neural Mutation-Driven Intrusion Detection Framework
[NO] 150/200 | Multi Strategy Fusion Firefly Algorithm for Hybrid Flow Shop Scheduling Problem
[NO] 151/200 | MIXR: A Multimodal Framework for Enhanced Recommendation Systems Using LLM Text Encoding, Audio, and Video Features
[NO] 152/200 | Research on Intelligent Bearing Fault Diagnosis Based on Meta-CGAN
[NO] 153/200 | Semi-Supervised Few-Shot Fault Diagnosis based on Causal Mechanism Consistency Priors
[NO] 154/200 | Enhancing Multi-Step Solar Irradiance Forecasting with a Hybrid Model Integrating VMD and Attention-Based LSTM
[NO] 155/200 | Design and Optimization of Solid-State Electrolyte Materials for Lithium-Air Batteries Based on Data-Driven Artificial Intelligence Algorithms
[NO] 156/200 | Research on Hidden Danger and Fault Location Technology of Distribution Network Based on Correlation Analysis
[NO] 157/200 | Game-Theoretic Decision-Making for Aircraft Routing at Junctions Under Communication Jamming
[NO] 158/200 | Coordinated Thrust Allocation for Air Cushion Hovercraft Based on Improved Particle Swarm Optimization Algorithm
[NO] 159/200 | A Weak Texture Image Registration Algorithm Based on Improved Disk
[NO] 160/200 | Extended CTC as an differential flatness based control technique
[NO] 161/200 | Optimization of a Focused Proton Microbeam Lens System Based on a Multi-Objective Algorithm
[NO] 162/200 | Research on Wearable Health Monitoring Devices for the Elderly: A Review
[NO] 163/200 | Application of Dual-Interface RFID in Smart Tags for LPG Cylinders
[NO] 164/200 | A Framework for Automated Cyber Threat Intelligence Extraction Based on Knowledge Graph
[NO] 165/200 | Optimization Algorithm for PCB Assembly Based on Improved Genetic Algorithm
[NO] 166/200 | CNN-LSTM Hybrid for Complete Charging Curve Prediction and SOC Estimation of Lithium-Ion Batteries with Partial Samples
[NO] 167/200 | Current-Based Roll-Off Detection in RF Liver Ablation Using a Constant Output Voltage RF Generator
[NO] 168/200 | KG-DDRL: A Joint Routing and Power Control Algorithm for UAV Ad Hoc Networks
[NO] 169/200 | Congestion Control Based on Multi-Agent Deep Deterministic Policy Gradient
[NO] 170/200 | Resilient Impulsive Scaled Consensus of Nonlinear Multi-agent Systems With Parameter Uncertainties and DoS Attacks
[NO] 171/200 | Direct Heuristic Dynamic Programming Tracking Control for Aerial Work Platforms
[NO] 172/200 | Integrated Design of Bus Networks and Timetable Synchronization for Multi-Modal Transit Systems
[NO] 173/200 | Symbolic Regression Approach for Model Predictive Control
[NO] 174/200 | Hierarchical Multi-Array Tactile Representation Learning and Diffusion Policy for Real-World Dexterous Placement Tasks
[NO] 175/200 | Automated Detection of Human Trafficking Networks Using Multimodal Data Analytics
[NO] 176/200 | A Modeling Method for Rapid Path-Loss Evaluation in Wireless Communications of Extravehicular Payloads on the China Space Station
[NO] 177/200 | Quantum Resistant Security Using Multivariant Polynomial Cryptography
[YES] 178/200 | A Low-Profile Wideband Pattern Reconfigurable Antenna Based on Dipoles for UAV Communications
[NO] 179/200 | Research on Attitude Control Algorithm of AGV for Heavy Equipment in Complex and Rough Road Conditions
[NO] 180/200 | Adaptive and Resource-Efficient Intrusion Detection Systems: A Focused Analytical Review for Dynamic Network Environments
[NO] 181/200 | Fault Detection of Delayed T-S Fuzzy Systems Under Dynamic Event-Triggering WTOD Protocol
[NO] 182/200 | Electromagnetic Signal Modulation Recognition Algorithm Based on Spatial Attention Mechanism
[NO] 183/200 | From Offline Experience to Online Presence: How Life-Course and Demographic Factors Shape Digital Engagement
[NO] 184/200 | A Dynamic Trust-Elimination Security-Driven Intelligence Model for Scalable AI Validation and Sustainable IoT Infrastructures
[NO] 185/200 | Unsupervised Diagnosis of Battery Micro-Internal Short Circuits via Probability Density Functions
[NO] 186/200 | Binary Code Similarity Detection Based on Semantically Enhanced Abstract Syntax Trees and Attention Mechanisms
[NO] 187/200 | Dynamic Target Tracking for Agricultural Robots Based on Multi-Modal Fusion and Knowledge Distillation
[NO] 188/200 | Improving Dynamical Performance of Frequency Control in Islanded Microgrids by Combining PI with Distributed Model Predictive Control
[NO] 189/200 | Multi-Objective Particle Swarm Optimization for Ship Block Scheduling*
[NO] 190/200 | Pressure Prediction in Water Distribution Networks Based on a Hybrid LSTM-Transformer Model
[NO] 191/200 | Haptic-Guided Multi-Strategy for Orbit Decision-making of Satellite Flight
[NO] 192/200 | Design of Continuous-Time Linear Equalizer Based on Gm-TIA Architecture
[NO] 193/200 | Accelerated Privelet: An End-to-End Optimization Approach of Wavelet-Based Differential Privacy for High-Dimensional Time-Series
[NO] 194/200 | PRB-RUPFormer: A Recursive Unified Probabilistic Transformer for Residual PRB Forecasting
[NO] 195/200 | Satellite-Terrestrial Spectrum Sharing in FR3 through QoS-Aware Power Control and Spatial Nulling
[NO] 196/200 | Maximum Correntropy Based Two-Stage Deep One-Class Classification for Robust Learning
[NO] 197/200 | Cybersecurity-by-Design Framework for Smart Grid-Integrated Battery Energy Storage Systems
[NO] 198/200 | Design and Verification of a Distributed Wireless Networked Measurement System for Hypersonic Aerothermal Environments
[NO] 199/200 | Blood Pattern Classification Using Transformer‑Based Image Embeddings
[NO] 200/200 | Detection of AI-Generated Text Using RoBERTa Across English and Spanish
筛选完成：共 200 篇；Yes = 2 篇；已保存到 papers/select_paper2026-06-24.json。
邮件发送成功！
[2026-06-25 12:01:31] 任务执行成功！
