[2026-05-06 11:00:55] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-05-05
正在获取论文...
[arXiv] 2026-05-05 | WorldJen: An End-to-End Multi-Dimensional Benchmark for Generative Video Models
[NO] 86/200 | Effect of Adding Wave Diffractors Within Reverberation Chambers on the Frequency Spacing of Adjacent Resonant Modes
[NO] 87/200 | A density-matrix derivation of the Hartree--Fock equations in a nonorthogonal atomic-orbital basis
[NO] 88/200 | Before Forgetting, Learn to Remember: Revisiting Foundational Learning Failures in LVLM Unlearning Benchmarks
[NO] 89/200 | Dark Matter Production from Bubble Collisions during a First-Order Phase Transition at the End of Inflation
[NO] 90/200 | Improved estimation of positive powers of scale parameters of exponential distributions under a prior information
[NO] 91/200 | Internet of Things Security: A Survey on Common Attacks
[NO] 92/200 | Assessing the role of ITER ECE oblique view in resolving non-thermal emissions
[NO] 93/200 | Ensemble Engineering to Overcome Destructive Cancellation in Quantum Measurements
[NO] 94/200 | SAM-NER: Semantic Archetype Mediation for Zero-Shot Named Entity Recognition
[NO] 95/200 | Doubly Robust Instrumented Difference-in-Differences
[NO] 96/200 | Error Analysis of Time-Dependent Test Functions in the Semi-Lagrangian Discontinuous Finite Element Scheme Based on the Characteristic Galerkin Method
[NO] 97/200 | Local estimation of transition rates of jump processes through discretization
[NO] 98/200 | On Regular Quantum Commutative Algebras
[NO] 99/200 | Real Image Denoising with Knowledge Distillation for High-Performance Mobile NPUs
[NO] 100/200 | MEMTIER: Tiered Memory Architecture and Retrieval Bottleneck Analysis for Long-Running Autonomous AI Agents
[NO] 101/200 | SciGraph-LLM: Automatic Knowledge Graph Construction from Scientific Papers
[NO] 102/200 | Selective LLM-Guided Regularization for Enhancing Recommendation Models
[NO] 103/200 | Smart Transportation Networks Leveraging AI and Edge Computing for Real-Time Route Optimization
[NO] 104/200 | Causal Discovery for Biology: From Molecular to Disease Networks
[NO] 105/200 | Research on the Pattern Design of Doors and Windows in Tuanshan Village Based on AIGC and Entropy Weight TOPSIS Method
[NO] 106/200 | Dual-Mode History-Dependent Attack Strategy Design for Cyber-Physical Systems
[YES] 107/200 | Condition Number Analysis for MIMO-OTFS Communication Systems
[NO] 108/200 | Dynamic Event-Triggered Robust Switching Control for Path Tracking of Electric Semi-Trailer Trucks in Varying-Curvature Paths
[NO] 109/200 | Contents
[NO] 110/200 | Committees
[NO] 111/200 | Table of Contents
[NO] 112/200 | Message from Patron
[NO] 113/200 | A Recurrent Neural Network-Enhanced Supertwisting Pitch Controller for Floating Offshore Wind Turbines: Nonlinear Synthesis and HIL Validation
[NO] 114/200 | 3D measurement of precision parts in complex environments based on line structured light and deep learning
[NO] 115/200 | Workload-Adaptive Data Tiering in Lakehouse Analytics via Multi-Model Machine Learning
[NO] 116/200 | Lidar Signal Fusion Method Based on AI-Driven Saturation Detection and Nonlinear Calibration
[NO] 117/200 | Half Title Page
[NO] 118/200 | Autoregressive Styled Text Image Generation, but Make it Reliable
[NO] 119/200 | Learning Action Hierarchies via Hybrid Geometric Diffusion
[NO] 120/200 | FNOpt: Resolution-Agnostic, Self-Supervised Cloth Simulation using Meta-Optimization with Fourier Neural Operators
[NO] 121/200 | ProSeg-Net: A 2D and 3D U-Net Framework for Prostate MRI Segmentation
[NO] 122/200 | FarmScope Agricultural Crop Recommendation With Chatbot using ML and DL
[NO] 123/200 | Advancing Recruitment Equity using AI solutions to combat Motherhood Discrimination in the workplace
[NO] 124/200 | Quantum Powered Fraud Detection: Identifying Fake URLs, Fake Emails, and Fraud Transactions Using QSVC, QNN, VQC
[NO] 125/200 | Phishnet: Real-Time URL Analysis for Zero-Day Phishing Detection Using Ensemble Learning
[NO] 126/200 | Audio-to-Text Conversion with Speaker Identification
[NO] 127/200 | Parallel Temperature Forecasting on a Slurm-Managed Hpc Cluster
[NO] 128/200 | VIBE Project Management: An Autonomous AI-Driven Framework for Intelligent Agile Project Orchestration
[NO] 129/200 | A Low-Cost Smart IoT-Enabled Multimodal Sanitation System for Health Monitoring and Urinary–GI Disorders Detection via Bio-Waste Analysis
[NO] 130/200 | Efficient Vision Transformers via Token Merging with Head-Wise Attention Correction
[NO] 131/200 | Understanding Generative AI Capabilities in Everyday Image Editing Tasks
[NO] 132/200 | Hybrid Decentralization for Real-Time Messaging: A Smart Contract and IPFS-Based Approach on Ethereum
[NO] 133/200 | Enhancing Cryptographic Key Distribution Using Hybrid Quantum Classical Paradigms
[NO] 134/200 | Design and Development of High Efficient Multiport Bidirectional DC-DC Converter for Charging Applications
[NO] 135/200 | Empirical Evaluation of Software Task Effort Prediction Using Natural Language Descriptions
[NO] 136/200 | Ai-Driven Gesture and Emotion-Responsive 3D Avatar System for Multilingual Deaf-Mute Communication
[NO] 137/200 | Neuro-Quantum Cyber Security Defenders for Intelligent Threat Prediction in Healthcare Data Management
[NO] 138/200 | Evaluating the Impact of Differential Privacy on the Reliability of Machine Learning Models: A Case Study on LendingClub Loan Data
[NO] 139/200 | Role Artificial Intelligence in Direct Taxation : Opportunities and Futuristic Challenges
[NO] 140/200 | Interpreatble Deep Learning for Brain Tumour Analysis: Fusing U-Net Segmentation With Grad-CAM Visual Explanations
[NO] 141/200 | Identity Verification from Human Scent using Channel Representation of 2D Gas Chromatography-Mass Spectrometry Data
[NO] 142/200 | Scalable Smart City Analytics Through SmartFusion-Grid: A Unified Data Engineering Approach
[NO] 143/200 | Deconstructing Prompt Strategies: Evaluating Generative AI for Latency, Relevance, and Depth in Domain-Specific Tasks
[NO] 144/200 | Style Mate: A Comparative Analysis of Outfit Compatibility Predictor in Fashion Technology Employing Machine Learning Models
[NO] 145/200 | The Impact of Product Perceived Quality, Environmental Responsibility, and Brand Trust on Gen Z: Examining the Moderating Effects of Fear of Missing Out and Social Media
[NO] 146/200 | Autonomous Multi-Agent Architecture for Intelligent Precision Farming
[NO] 147/200 | Advancing Potato Leaf Disease Detection: A YOLOv8n-Based Deep Learning Approach for Mobile and IoT Applications
[NO] 148/200 | Performance Analysis of Grover’s Algorithm Under Noise: A Simulation-Driven Study with Error Mitigation and Hybrid Bloom–Grover Search
[NO] 149/200 | A Hybrid Haar Cascade Approach for Novel Drowsiness Detection
[NO] 150/200 | Sentiment Analysis of Public Feedback on Government Schemes using Social Media
[NO] 151/200 | Federated Learning for Alzheimer's Disease: Integrating Neuroimaging and Genomic Biomarkers Using Multi-Center MRI Data
[NO] 152/200 | MultiModal AI for Advanced Spam Detection: Securing Enterprise Communication Channels
[NO] 153/200 | A Legally Trustworthy and Sustainable AI Framework for Automated Legal Systems
[NO] 154/200 | Deep Learning–Driven Intelligent System for Early and Accurate Skin Cancer Diagnosis
[NO] 155/200 | White Blood Cell Recognition Through Transfer Learning and Deep Fine-Tuning
[NO] 156/200 | RAT4D: Rig and Animate Objects without Surface Templates in 4D
[NO] 157/200 | Crowd Behavior Monitoring for Panic or Stampede Prediction using Video Analytics and Multi-Parameter Sensor Fusion
[NO] 158/200 | Coconut Water Based Electrolyte Gel
[NO] 159/200 | LASER: Lip Landmark Assisted Speaker Detection for Robustness
[NO] 160/200 | Diverse Sketch Colorization with Content-Enhanced Style Representation and Recolorization Distillation
[NO] 161/200 | Better Safe Than Sorry? Overreaction Problem of Vision Language Models in Visual Emergency Recognition
[NO] 162/200 | Style-Friendly SNR Sampler for Style-Driven Generation
[NO] 163/200 | Test-Time Consistency in Vision Language Models
[NO] 164/200 | Sketch2Stitch: GANs for Abstract Sketch-Based Dress Synthesis
[NO] 165/200 | BankDefender - A Cognitive Dark Web Threat Intelligence Framework for Banking Sector
[NO] 166/200 | Research on Grid Fault Detection Technology Based on BeiDou Technology
[NO] 167/200 | Analysis of Voltage Fluctuations in Photovoltaic Power Stations Considering Meteorological Factor Weights on Similar Days
[NO] 168/200 | Improved Flood Management and Risk Communication Through LLM
[NO] 169/200 | ICONIC-444: A 3.1-Million-Image Dataset for OOD Detection Research
[YES] 170/200 | Chiplet-Based Hardware Security and IC Traceability: A Review of PUFs, Die Identifiers, and Secure Packaging Techniques
[NO] 171/200 | DTMIR-Pro: Domain Translation with Prompt-based Latent-Space Generalization for Multi-Weather Image Restoration
[NO] 172/200 | Exploring the Artificial Intelligence (AI) for Intrusion Detection System in Network Traffic Analysis for Improved Cybersecurity
[NO] 173/200 | Data-Driven Lipschitz Continuity: A Cost-Effective Approach to Improve Adversarial Robustness
[NO] 174/200 | TA-Prompting: Enhancing Video Large Language Models for Dense Video Captioning via Temporal Anchors
[NO] 175/200 | R-MMA: Enhancing Vision-Language Models with Recurrent Adapters for Few-Shot and Cross-Domain Generalization
[NO] 176/200 | SmokeBench: Evaluating Multimodal Large Language Models for Wildfire Smoke Detection
[NO] 177/200 | Intelligent Decision-Making for Patent-Standard Collaborative Transformation in the Power Industry: An Explainable Multi-Task Learning Framework
[NO] 178/200 | SAFE Metrics for Neural Inferences at the Edge
[NO] 179/200 | A Multi-Scale Fusion Attention U-Net for Accurate Thyroid Cancer Ultrasound Image Segmentation
[NO] 180/200 | GeoNBeats: Unified Spatio-Temporal Neural Basis Expansion for Air Quality Estimation in Sparse Sensor Networks
[NO] 181/200 | Modeling and Control of a Two-Agent Aerial System for Dynamic Throw-and-Catch Maneuvers
[NO] 182/200 | Standardizing and Facilitating Machine Learning Model Performance Comparison with the UFLAS Framework
[NO] 183/200 | Agri-Aid: A Hybrid Embedded IoT-AI Framework for Smart Irrigation and Plant Disease Detection
[NO] 184/200 | Event-Driven Financial Close Automation Using Universal Journal and Embedded Analytics in SAP S/4HANA
[NO] 185/200 | Loot Boxes System: The Algorithm, Players' Consumption Psychology and Social Controversy Behind It
[NO] 186/200 | Smart Traffic on AWS: AI Meets Data Engineering and IoT
[NO] 187/200 | Dynamic Traffic Signal Control for Emergency Vehicle Prioritization
[NO] 188/200 | Beyond Paired Data: Self-Supervised UAV Geo-Localization from Reference Imagery Alone
[NO] 189/200 | Detection-Driven Object Count Optimization for Text-to-Image Diffusion Models
[NO] 190/200 | RemEdit: Efficient Diffusion Editing with Riemannian Geometry
[NO] 191/200 | ImageChain: Advancing Sequential Image-to-Text Reasoning in Multimodal Large Language Models
[NO] 192/200 | AFL-PRF: Adaptive Federated Learning for Low-Quality Data: Enhancing Performance, Robustness, and Fairness
[NO] 193/200 | DOTGraph: CLIP-Driven Feature Disentanglement and Optimal Transport based Graph Learning for Few-Shot Segmentation
[NO] 194/200 | Algorithmic Trading and AI-Enhanced Portfolio Management for Revenue Optimization in Commercial Banking
[NO] 195/200 | Utilizing Green Technology System Applications in Energy Management: Green Economy Transition
[NO] 196/200 | The Impact of Tourism Digitalization on Sustainable Growth: An ARDL approach
[NO] 197/200 | AI-Powered Decision Support Systems for Trade Union Strategic Planning: Integrating Cloud Analytics with Collective Bargaining Intelligence
[NO] 198/200 | Digital Twins and AI-Driven Cybersecurity for Intelligent Transportation Networks
[NO] 199/200 | Integrating Pseudo-Supervision and Spatial Constraints for Efficient Clustering of Multimodal Remote Sensing Data
[NO] 200/200 | Flight Dynamics to Sensing Modalities: Exploiting Drone Ground Effect for Accurate Edge Detection
筛选完成：共 200 篇；Yes = 2 篇；已保存到 papers/select_paper2026-05-05.json。
邮件发送成功！
[2026-05-06 11:29:20] 任务执行成功！
