[2026-09-10 13:15:49] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-09-09
正在获取论文...
[arXiv] 2026-09-09 | Stencil Computation at the Intersection of AI and HPC
[NO] 81/200 | Execution-Time Opacity Logic: A Logic for Ensuring ET-Opacity in Timed Systems
[NO] 82/200 | Aubin--Lions Compactness for Stieltjes--Bochner Evolution Graphs
[NO] 83/200 | Reference-Based Bias Detection in LLMs via Relative Representations of Hidden States
[NO] 84/200 | Accelerating A*-Based Algorithms for Decoding Quantum Low-Density Parity-Check Codes
[NO] 85/200 | Grounding Generated Video Plans in Simulation Towards Versatile Dexterous Controllers
[NO] 86/200 | Quantum computational resources and validation protocols for a three-mode non-Gaussian trilinear Hamiltonian
[NO] 87/200 | Evidence of a Low-Energy Cutoff in the Injected Spectrum of a Pulsar Wind Nebula
[NO] 88/200 | Parametric bootstrap simultaneous confidence interval based on doubly type-II censoring
[NO] 89/200 | Semi-device-independent quantum randomness certification in semiconductor spin-noise measurements
[NO] 90/200 | RoboDrop: Curating VLA Post-Training Data via Local Gradient Compatibility
[NO] 91/200 | An Explainable Machine Learning Framework for Predicting Blood-Brain Barrier Permeability Using Molecular Descriptors
[NO] 92/200 | What Makes Adversarial Examples Transfer Across Deepfake Detectors?
[NO] 93/200 | Convergence of a single-ensemble multilevel scheme for McKean-Vlasov SDEs
[NO] 94/200 | Coded Clifford Measurements for Multiqubit Magic-State Cultivation
[NO] 95/200 | Efficient protocol for the Markovian Mpemba effect in $N$-level systems
[NO] 96/200 | A Sharp Barrier for Consistent Submodular Maximization: Any Improvement over $2-\sqrt{2}$ Entails Exponential Queries or Linear Recourse
[NO] 97/200 | VLX-VR: An Agentic-Aware Video Reasoning Model
[NO] 98/200 | Optimal Value Inference for Reinforcement Learning
[NO] 99/200 | Deep Neural Networks for Learning Intent from sEMG Signals to Support Hardware Devices for Post-Stroke Neurorehabilitation
[NO] 100/200 | Over-Tightening-Aware Pseudo-Labeling for Tight-Boundary Speaker Diarization
[NO] 101/200 | How do Compiler Bugs Affect OS Kernels
[NO] 102/200 | Technical Optimizations on Textbook-Efficient Code with LLMs
[NO] 103/200 | Test-Oriented Programming: rethinking coding for the GenAI era
[NO] 104/200 | Evolving Artificial Ecosystems: Towards the Infusion of Multi-Agent Systems with Inclusive Inheritance
[NO] 105/200 | PAGENT: Learning to Patch Software Engineering Issue Fixing Agents
[NO] 106/200 | Towards Cognitive-Agent-Driven Prompt Optimization for Automated Program Repair
[NO] 107/200 | Bound-Constrained Sparse Representation for Electrical Impedance Tomography
[NO] 108/200 | Autonomous AI Agents in Cybersecurity: Operational Properties, Failure Conditions, and Security Implications
[NO] 109/200 | Few-Shot Open-Set Hyperspectral Pixel-Wise Classification with Spatial Aware Label Propagation
[NO] 110/200 | Research on Radial Leakage Magnetic Field in Stator Slot and a New Combined Cross Transposition Method for 1000-MW-class turbine generators
[NO] 111/200 | DISCERN: Disentangled Multilingual Mental Health Risk Detection With Calibrated, High-Recall Predictions
[NO] 112/200 | Proceedings
[NO] 113/200 | Program Committee
[NO] 114/200 | Spine Sound Classification: An Explainable Machine Learning Approach
[NO] 115/200 | A Back-mounted System Integrating Multi-parameter Real-time Monitoring with Automated Life Support
[NO] 116/200 | I/O-Efficient Graph Analytics on SSD via Activity-Aware Preprocessing
[NO] 117/200 | Improving SAM-based seismic facies segmentation with logits feedback_supp1-3731432.pdf
[NO] 118/200 | 3 kV-Class
                    <i>β</i>
                    -Ga
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Lateral MOSFETs With Superior High-Temperature Leakage Suppression Enabled by an Ozone-Grown Semi-Insulating Buffer Layer
[NO] 119/200 | IEEE Foundation
[NO] 120/200 | Keynote Speakers: IRI 2026
[NO] 121/200 | Hyperbolic Morphology-Guided Deep Learning for Underwater Pipeline Detection in Complex Sub bottom Acoustic Imagery
[NO] 122/200 | Carrier Transport Characteristics of Vanadium-Doped 4H-SiC PCSS Under Broad-Spectrum Composite Light Excitation
[NO] 123/200 | Research on Intelligent Logistics Information Sensing Method Based on RFID Anti-interference Coding
[NO] 124/200 | Toward Portable Measurement Systems for Nanoplastics monitoring via L-Shaped Gold Nanogratings Biochips
[NO] 125/200 | Bridging Scalar and Vectorial RF EMF Assessment in 5G Massive MIMO Networks Using Spatial-Temporal Power Reduction Factors
[NO] 126/200 | An Adaptive Incremental Conductance MPPT Algorithm with Block Power Comparison for Global Peak Detection in Photovoltaic Systems
[NO] 127/200 | Design and ASIC Implementation of a Low Quantum Cost Reversible Arithmetic Logic Unit for Energy-Efficient Computing
[NO] 128/200 | HM-Req: A Framework for Embedding Values within CPS Human Monitoring Requirements
[NO] 129/200 | From Chat to Interview: Agentic Requirements Elicitation with an Experience Ontology
[NO] 130/200 | From Quality Properties to Practice: a Guideline and Workflow for Explainability Requirements
[NO] 131/200 | Erratum: LVT: A Learned Video Transcoding Framework
[NO] 132/200 | Multimodal Hierarchical Feature Adaptation With Bidirectional FiLM Gating for Depression Detection
[NO] 133/200 | RefinerAgent: Extracting Industrial Mechanistic Models From Scientific Literature via Mechanism-Guided Multiagent Refinement
[NO] 134/200 | Graph-Attentional Deep Sparse Subspace Clustering for Single-Cell Transcriptomics_supp1-3731206.docx
[NO] 135/200 | A Low-Complexity Programmable Normalization Processor for Transformer Inference_supp1-3731553.pdf
[NO] 136/200 | Table of Contents
[NO] 137/200 | AdaTrendLike: Adaptive Hierarchical Detrending and Trend Likelihood Scoring for Time-Series Anomaly Detection
[NO] 138/200 | Resource Placement with Maximal Vertex-Disjoint Path Connectivity
[NO] 139/200 | 2026 IEEE 34th International Requirements Engineering Conference (RE)
[NO] 140/200 | Hidden in Plain Sight: Vector Embeddings give away Demographic Information_supp1-3731408.pdf
[NO] 141/200 | Twisted String Actuators in Wearable Robotics: Review and Perspective across Rehabilitation, Assistance, Augmentation, and Haptics
[NO] 142/200 | An Efficient On-the-Fly Multi-Stage GAN Model for Tunnel Propagation
[NO] 143/200 | A 3D–printed Wide–Angle Conformal Dielectric Slab Polarizer as an Improved Alternative to the Conventional Planar Design for Directional Antennas
[NO] 144/200 | A High-Accuracy GNSS Tropospheric Wet Delay Forecasting Algorithm via PINN-LSTM Integration Tailored to Complex Mountainous Terrain and Urban Environments: Methodology and Validation
[NO] 145/200 | Discriminately Treating Motion Components Evolves Joint Depth and Ego-Motion Learning_supp2-3732069.pdf
[NO] 146/200 | A Vision Transformer for Inverse Phase Synthesis of Programmable Frequency Selective Surfaces
[NO] 147/200 | A 170-GHz Radial Power Combining Doubler Based on Circularly Polarized TE
                    <sub>11</sub>
                    and TE
                    <sub>21</sub>
                    Modes
[NO] 148/200 | EEG-CPDD: A Covariance-Preserving Diffusion Denoiser for Reliable EEG Source Localization
[NO] 149/200 | Bridging the Final Gap: Fuzzing Template Generation from Protocol Reverse Engineering
[NO] 150/200 | AgenticTyper: Automated Typing of Legacy Software Projects Using Agentic AI
[NO] 151/200 | Cascaded Vulnerability Attacks in Software Supply Chains
[NO] 152/200 | Design of a Multimodal Intelligent Analysis and Generation System for University Brand Communication Videos
[NO] 153/200 | Q-DRFormer: Query-Position Mapping Flow Prediction with Progressive Refinement for Document Rectification
[YES] 154/200 | Two Birds, One Stone: FR3 as 6G Golden Band? Analysis from Measurement-Calibrated Ray Tracing
[NO] 155/200 | CURVEDJURY: A Sybil-Resistant Weighted Jury Selection Framework for Blockchain Dispute Resolution
[NO] 156/200 | From Failure to Alignment: A Requirements Engineering Framework for Machine Learning Systems
[NO] 157/200 | LI-VAD: Lightweight and Interpretable Video Artifact Detection
[NO] 158/200 | Area and Power efficient Floating Point Multiplier using Radix-4 Booth Encoding
[NO] 159/200 | Plan4code: Planning Code Changes with Chain-of-Thought and Ontologies
[NO] 160/200 | Scaling Software Architecture Data: A Vision for Leveraging Architecture Recovery on Open-Source Projects
[NO] 161/200 | A Multi-Modal Robotic Framework for Physical GUI Interaction Testing
[NO] 162/200 | LLM-Based Test Case Generation in DBMS through Monte Carlo Tree Search
[NO] 163/200 | Technical Briefing on Qualitative Data Analysis and Theory Development
[NO] 164/200 | A Survey on Foundation Models for Personalized Federated Intelligence
[NO] 165/200 | Opening Remarks
[NO] 166/200 | Deep Multitask Learning for Real-Time 3D Magnetic Data Inversion With Anomaly Segmentation
[NO] 167/200 | Enhancing Local Cognition of CLIP for Training-Free Open Vocabulary Semantic Segmentation
[NO] 168/200 | Committees
[NO] 169/200 | InstructGrasp: A Real-Time Language-Guided Grasp Pose Detection for Robotic Manipulation_supp2-3731854.mp4
[NO] 170/200 | A 52-Gb/s/pin 0.337-pJ/bit Capacitively Driven PAM-4 Transceiver for Coupling-Variation-Tolerant Die-to-Die Interfaces
[NO] 171/200 | Say, Move, and Remember: Enhancing SAM2 for Referring Video Segmentation via Motion Modeling and Key Action-Aware Memory_supp1-3728686.pdf
[NO] 172/200 | FedSymTCNNet: A Federated Edge-IoMT Framework for Wearable Pediatric Gastrointestinal Risk Prediction
[NO] 173/200 | Vulcan: Vision-Language-Model Enhanced Multi-Agent Cooperative Navigation for Indoor Fire-Disaster Response
[NO] 174/200 | High-Dimensional Programmable Personas: A Comprehensive Framework for Synthesizing Customisable Role-Playing Agents
[NO] 175/200 | Post-quantum Medical Data Sharing in IHS via Consortium Blockchain and Multi-signature
[NO] 176/200 | Real-Time Victim Positioning With One Search Agent Using Wi-Fi Fine Time Measurement
[NO] 177/200 | Dual-Target Road Sense Construction for Steer-By-Wire Systems: Design, Control, and Real-Vehicle Validation
[NO] 178/200 | Organizing Committee
[NO] 179/200 | Design of a Fact-Verification System for Music Theory Question Answering Based on Large Language Models
[NO] 180/200 | Weighted Readiness Evaluation Algorithm and Modular AI System Design for Cross-Border Foreign Trade SMEs
[NO] 181/200 | From IMU Sensing to In-Network Intelligence: A Distributed Edge AI Telerehabilitation Framework
[NO] 182/200 | Implementation of Double Tail Comparator in Cadence Ocean Scripting Automation Framework
[NO] 183/200 | Debugging Requirements Interview Scripts: A Framework for Quality Assessment
[NO] 184/200 | IoTSGT: An Interactive Specifications Generation Tool for Personalized IoT Software Requirements
[NO] 185/200 | ADVENT: LLM-Driven Automatic Predicate Invention for ILP
[NO] 186/200 | Silicon Sampling via Cross-Survey Transfer
[NO] 187/200 | Integrating ultrasound-based interface with human-inspired somatosensory control for advanced prosthetic systems
[NO] 188/200 | Effector-Centric NMPC of Tiltable-Multirotors for Offset-Free Omnidirectional Aerial Manipulation_supp1-3731683.mp4
[NO] 189/200 | Design and Optimization of High-Precision Current Control System Based on GaN HEMT
[NO] 190/200 | Dynamic Event-Triggered Hierarchical Control for Multiquadrotor Formation Under Communication Constraints and External Disturbances
[NO] 191/200 | AutoLFD: A Three-Stage Framework for Fine-grained Microservice Auto-scaling in Edge Server Clusters
[NO] 192/200 | MNC 2026 Table of Contents
[NO] 193/200 | Experimental Investigation of Electron Transport in SiC FinFETs for High-Mobility MOS Channel
[NO] 194/200 | Validation and Comparison of ANEM-SBAC Method for Temperature and Emissivity Separation Using MODIS and VIIRS Data in the València Test Site_supp2-3726996.pdf
[NO] 195/200 | Cloud–Fog Hosted Resource Allocation within an Integrated S3C System for Multi-Robot Fuselage Panel Assembly
[NO] 196/200 | Unifying Feed-Forward and Weight-Gradient: An Energy-Efficient Architecture for On-Chip SNN Learning
[NO] 197/200 | Inverse-Designed Cascaded Rotational Diffractive Layers for Versatile Beam Switching with Single-layer Rotation and large Spacing_supp1-3732127.docx
[NO] 198/200 | UVTrack3D: Toward Category-Unified Structured Voxel Representation for 3D Single Object Tracking
[NO] 199/200 | Hierarchical Metamorphic Test Oracles for Agent Evaluation
[NO] 200/200 | Multi-Level Testing of Conversational AI Systems
筛选完成：共 200 篇；Yes = 1 篇；已保存到 papers/select_paper2026-09-09.json。
邮件发送成功！
[2026-09-10 14:00:22] 任务执行成功！
