[2026-07-29 11:18:29] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-07-28
正在获取论文...
[arXiv] 2026-07-28 | OmniQEC: discovering practical quantum error-correcting codes by an AI scientist
[NO] 71/200 | Belief-Aware Influence and Trust (BAIT): Shaping Human Belief During Repeated Human-Robot Interaction
[NO] 72/200 | Passive wearable physiology tracks a state-level material-hardship gradient in resting heart rate
[NO] 73/200 | Hybrid Analysis for Secure MCP Tool Use in LLM Agents
[NO] 74/200 | Instruction-Tuned Language Models Cannot Sample from Distributions They Can Describe
[NO] 75/200 | When Does Deep Representation Learning Help Single-Cell Clustering? A Sensitivity-Aware Diagnostic Benchmark for Biomedical AI Pipelines
[NO] 76/200 | Self-Supervised Audio Representation Learning for Pediatric Asthma Detection in Emergency Care Using Digital Stethoscope Recordings
[NO] 77/200 | ContractHIL-HLS: Contract-Aligned Multi-Agent Workflow with Hardware-in-the-Loop Feedback for HLS Design
[NO] 78/200 | Proper Hat-Guessing on Two-Spine Book Graphs
[NO] 79/200 | HeAD-CP: Heterophily-Aware Diffused Conformal Prediction Sets for Graph Neural Networks
[NO] 80/200 | Robust Hedging Valuation Adjustment for Deep Hedging Policies under Market Frictions
[NO] 81/200 | The User Asks, Platforms Compete: How Agentic Recommendation Markets Take Shape
[NO] 82/200 | Proximal Gradient Methods for Unconstrained Set Optimization Problems with Set-Valued Maps of Finite Cardinality
[NO] 83/200 | Prediction of experimental excited-state absorption spectra by using vibronic transition calculations: Its practical application to a π-conjugated molecule
[NO] 84/200 | Structured High-Angular-Momentum Coulomb Tensors from Real and Complex Solid-Harmonic Integral Engines: A Perspective
[NO] 85/200 | From Compressing Complexity to Accommodating Complexity: How AI Transforms Standardization and Individualization
[NO] 86/200 | Optimization of the directed spanning trees using the weighted matroid intersection algorithm
[NO] 87/200 | Diagonal cycles on Shtukas and the adjoint $L$-function
[NO] 88/200 | Beyond Single-Episode Optimization: Sliding-Window Aware Generative Auto-Bidding for Long-Term Advertising Effectiveness
[NO] 89/200 | Neurai-VN Benchmark: Standardized Machine Learning Models for Multimodal Digital Phenotyping in Mental Health Classification
[NO] 90/200 | Isolating Scheme Dependence of Quasi-PDFs in the RI/MOM Scheme
[NO] 91/200 | Interpretable Column Annotation with LLM-Symbolized Decision Process Materialization
[NO] 92/200 | Preprints Without Curation Are Increasingly Cited by Journals
[NO] 93/200 | Leveraging Semantic Maps for City-Scale Cross-View Localization
[NO] 94/200 | Everything is a Spin: The Secret Lives of SU(2)
[NO] 95/200 | VaLiDRec: Variable-Length LLM-Aligned Semantic IDs for Generative Recommendation
[NO] 96/200 | Monodromy, Hidden Conformal Symmetry and Soft Hair in Kerr-MOG Black Hole
[NO] 97/200 | Lloyd's $K$-Means Clustering Algorithm Is Frank-Wolfe in Disguise
[NO] 98/200 | Heavy Jet Mass in Hadronic Higgs Decays
[NO] 99/200 | TabRank: Chain-of-Thought Distillation for Table Re-Rankers
[NO] 100/200 | Bekko Embedding: Parameter-Efficient Multilingual Retrieval with Ultra-Compact Encoders
[NO] 101/200 | Exploring Lifelog Memories in VR: The Impact of Map-View Perspectives on Spatial Recall
[NO] 102/200 | Foundations of Machine Learning: Models, Methods, and Evaluation
[YES] 103/200 | Synergistic Authentication in Beam Alignment for Secure MmWave Communications_supp1-3714802.pdf
[NO] 104/200 | 2026 11th International Conference on Computer and Communication Systems (ICCCS)
[NO] 105/200 | AST-LO: Enhanced LiDAR Odometry With Alternant Long-Term Spatiotemporal Ground Constraint
[NO] 106/200 | IEEE Power Electronics Society Publication Information
[YES] 107/200 | Aerial IRS Deployment-Aided Secure Computation Offloading Against DISCO Jamming Attacks
[NO] 108/200 | Adaptive Fuzzy Tactile Servoing on Soft Surfaces With a Multimodal Tactile Sensor_supp1-3717172.mp4
[NO] 109/200 | BERT-HemoPep60: Transformer-based Deep Learning Method with Domain-Adaptive Pretraining for Quantitative Hemolytic Activity Prediction of Peptides
[NO] 110/200 | GCDance: Genre-Controlled Music-Driven 3D Full Body Dance Generation_supp1-3710113.pdf
[NO] 111/200 | Optimal Sizing of Electric Truck Fleet Considering Energy-Logistics Coupling
[NO] 112/200 | IEEE Computer Society: Computer Science &amp; Engineering Awards
[NO] 113/200 | Table of Contents
[NO] 114/200 | IEEE Magnetics Society Information
[NO] 115/200 | Robust Dynamic Topology Tracking for Active Distribution Networks Under Missing Measurements and Data Distribution Shifts
[NO] 116/200 | Front Cover
[NO] 117/200 | Introducing IEEE Collabratec
[NO] 118/200 | Table of Contents
[NO] 119/200 | Review for "Performance Assessment of the Vertical Wind Profile from Doppler Lidar Using Accumulated Spectra"
[NO] 120/200 | Probing the Intrinsic Effectiveness of Large Language Models for Medical Classifications
[NO] 121/200 | Adversarial Training-Based Lightweight DRL Authorization Control Method with User Identity Management
[NO] 122/200 | GraphLawPH: Benchmarking GNN Architectures for Task-Specific Knowledge Discovery in Philippine Statutes
[NO] 123/200 | Employing Artificial Intelligence Technologies to Enhance National Identity among First Cycle Students
[NO] 124/200 | An Intelligent Feature Fusion Approach for Accurate Mental Health Disorder Prediction Using Machine Learning
[NO] 125/200 | Kernel PCA-Assisted Compressed Sensing for Underwater Acoustic Channel Estimation Under Weak Non-Gaussian Noise
[NO] 126/200 | A Lightweight CNN-Based Digit Recognition System from Video Frames
[NO] 127/200 | A Comparative Study of LDA and BERT-Based Topic Modeling on Indonesian YouTube Protest Discourse
[NO] 128/200 | Symmetry Breaking for Parallel Machine Scheduling with Compressing Processing Times
[NO] 129/200 | ResQTank: An Embedded LiDAR-SLAM System for Real-Time Indoor Mapping and Navigation
[NO] 130/200 | Adaptive 3DGS via Geometric Priors
[NO] 131/200 | Point-of-Care Prostate Cancer Diagnostics: Fabrication and Performance of a Paper-Based Electrochemical Sensor
[NO] 132/200 | TP-D3QN: A Topology-Aware Intelligent Network Slicing Framework for Heterogeneous Immersive Applications
[NO] 133/200 | High-Precise Time Synchronization in Edge Computing Platforms: Experience and Implementation
[NO] 134/200 | Cross-Silo Federated Diffusion Models for Robust Multi-Institutional Medical Image Augmentation and Domain Generalization
[NO] 135/200 | Toward AI-Governed Smart Educational Networks: A Policy-Based Firewall for User and Device Control
[NO] 136/200 | Book Online Recommendation Based on BERT Semantic Feature Extraction and Transformer Temporal Modeling
[NO] 137/200 | UANet: Unified Prompt and Adaptive Threshold for Few-Shot Semantic Segmentation
[NO] 138/200 | Understanding Optical and SAR Feature Interactions through Explainable Transformer-Based Fusion Models*
[NO] 139/200 | IG-Guided Synonym Substitution Attacks on IndoBERT AI Detection Across Domains
[NO] 140/200 | A Hybrid Machine Learning Framework for Accurate Sales Demand Forecasting
[NO] 141/200 | URD-YOLO: An Improved YOLO Framework for Underwater Object Detection
[NO] 142/200 | Design and Implementation of a Low power Phase Locked Loop in 45nm CMOS Technology
[NO] 143/200 | A Legal Relation Identification Model for Ecological and Environmental Violation Cases Integrating Legal Rule Constraints and Graph Contrastive Learning
[NO] 144/200 | Hardware-Aware TinyML for Energy-Efficient Cataract Detection in Ophthalmology on Edge Devices
[NO] 145/200 | Machine Learning Detection of Multiple Cancers Using 5hmC at Mutation Hotspots
[NO] 146/200 | Federated Cloud Learning Model for Privacy-Preserving Skin Cancer Detection Using Image Processing
[NO] 147/200 | Reliability Evaluation Framework for Adversarial Defense Methods in Industrial Intelligent Models
[NO] 148/200 | A Method for Accuracy Detection of Filter Rod Transmitter and Receiver Data Considering Time Series
[NO] 149/200 | An application of genomic language models for antimicrobial resistance prediction in S. pneumoniae
[NO] 150/200 | A Computational Framework for Deep Phenotyping of Maternal Autonomic Resilience Using 65 Months of Continuous Wearable Biometric Data
[NO] 151/200 | Make or Take: How Students Navigate Self-Created and Instructor-Provided Cheat Sheets
[NO] 152/200 | Research on Heterogeneous-Standard Simulation Scenario Conversion Based on Large Models
[NO] 153/200 | A Packaging Scheme Enabling Resonant Frequency Tuning and Magnetic Shielding for Electromagnetic Vibration Energy Harvesters Toward Industrial Applications_supp1-3548075.pdf
[NO] 154/200 | A Unified Automated Synthesis Framework for On-Chip Lumped-Element RF Broadband Bandpass Filters
[NO] 155/200 | Two-Stage Deep Learning for Hybrid Beamforming in UCA Near-Field With Imperfect CSI
[NO] 156/200 | Power-Optimal Scheduling in URLLC with Statistical Delay and Reliability Constraints
[NO] 157/200 | A Survey for LLM Agent Trajectory Analysis: From Failure Attribution to Enhancement
[NO] 158/200 | Keynote Speaker
[NO] 159/200 | Intensity Noise Coupling Analysis and Suppression in Ellipse-Fitting-Assisted 3×3 Demodulation for Fiber-Optic Interferometric Sensors
[NO] 160/200 | Descriptor: Two Years Multivariate Power System State Monitoring Dataset (TY-MPSSMD)
[NO] 161/200 | Explainable and Trustworthy AI in Oncology: A Systematic Review Across Major Organ Systems
[NO] 162/200 | Transformer-Based In-Context Learning for Distributed Channel Access Optimization_supp1-3713842.pdf
[NO] 163/200 | A Physical Information-Guided Masked Contrastive Learning Network for Defect Detection in Intelligent Pipeline Systems with MFL Signals
[YES] 164/200 | Channel Estimation for OTFS Systems with Overspread Doppler Shifts
[NO] 165/200 | A New Adaptive Multifrequency Resonance Matching System for Grounded Frequency-Domain Electromagnetic Detection Transmitter
[NO] 166/200 | WeakLoc: Low-Rank Attention and Adaptive Pseudo-Label Learning for Weakly Supervised Image Forgery Localization
[NO] 167/200 | Interactive Visualizations in Semiconductor Physics: Mixed-Methods Evidence for Affective Engagement and Qualitative Insights into Conceptual Learning
[NO] 168/200 | Fisher-Information-Enhanced BOTDR Using Beat Spectral Reshaping
[NO] 169/200 | Explainable Machine Learning with Rule-Based Recommendation System for Smart Contract Reentrancy Vulnerability Detection
[YES] 170/200 | A PSO-Optimized Coherent Integration Framework for Moving Targets in CF-ISAC Systems with Experimental Validation
[NO] 171/200 | Dynamic Governance Technology for Power Knowledge Warehouse Based on Multi-System Data Collaboration under Microservice Architecture
[NO] 172/200 | Autonomous Financial Intelligence: A Systematic Synthesis of Agentic AI Paradigms in Banking and Capital Markets
[NO] 173/200 | Explainable Stacking Ensemble with Nonlinear Meta-Learners for MSME Performance Prediction in Emerging Markets
[NO] 174/200 | GAFNet: A Graph-Augmented Fusion Transformer for Cross-Dataset ADHD Detection Using EEG Signals
[NO] 175/200 | Dynamic Route Optimization for High-Volume Logistics Using Risk-Aware Multi-Objective Path Reassignment
[NO] 176/200 | Performance Analysis of Variational Quantum Classifiers for Classification Tasks in the NISQ Era
[NO] 177/200 | NLP-Based Multilingual Retrieval-Augmented Generation System for Government Welfare Scheme Recommendation
[NO] 178/200 | A Lightweight Context-Aware Access Control and Key Management Protocol for IoT-Driven Smart Farming
[NO] 179/200 | Research on Evaluation Methods for Human-Machine Interaction Scenarios of In-Vehicle Large Language Models
[NO] 180/200 | Research on Multi-Task Path Planning Algorithm for USV Swarm Based on Improved Genetic Algorithm
[NO] 181/200 | Fault Injection and Out-of-Bound Access Detection in the SPI Protocol Using UVM
[NO] 182/200 | Lightweight YOLOv8-ViT for Real-time Mangrove Species Detection in UAV Aerial Imagery
[NO] 183/200 | Hybrid Machine Learning and Deep Learning Approach for Minimum Airfare Prediction
[NO] 184/200 | Random Forest Analysis of Lifestyle and Synthetic Data for Prostate Cancer Risk Assessment
[YES] 185/200 | LP-SAC: A Temporal Reinforcement Learning Optimization Framework for Unmanned Aerial Vehicle Task Offloading
[NO] 186/200 | Prediction of Vehicle Acceleration Response Based on XGBoost
[NO] 187/200 | Accelerating TSXor Using CUDA GPUs
[NO] 188/200 | DIVA: Differential Integrity Verification Architecture for Containerized Supply Chains
[NO] 189/200 | AS-FL: Accumulator and Signature-Based Federated Learning with Weight Aggregation
[NO] 190/200 | From RLHF to DPO and Beyond: A Review of Preference Optimization Methods for Aligning Large Language Models
[NO] 191/200 | Research on a Multi-Model Adaptive Weighted Fusion Algorithm for Subjective Question Scoring
[NO] 192/200 | Urban Rainfall Monitoring via Commercial Microwave Links: A Low-Complexity Approach Validated by Long-Term Experiments
[NO] 193/200 | Fraudulent Credit Card Transaction Detection Using a Hybrid Ensemble-Anomaly Detection Framework
[NO] 194/200 | Securing Smart Implantable Cardioverter Defibrillators Against DDOS Attacks : A SIEM &amp; IAM Framework
[NO] 195/200 | Hybrid AI Techniques for Enhancing Power System Stability
[NO] 196/200 | Multi-Objective Genetic Algorithm-Based Joint Routing and Scheduling for Time-Sensitive Traffic in Satellite Formations
[NO] 197/200 | Radar Track-to-Measurement Association Fusing Echo and Kinematic Features via Cross-Attention
[NO] 198/200 | DLTformer: A Global–Local Collaborative Transformer Framework for Remote Sensing Change Detection
[NO] 199/200 | Estimating the Number of Rare Events with Applications to Large Alphabet Inference
[NO] 200/200 | Hamiltonian Grid-Forming: Methodology and Applications for IBR-Rich Grid Operations
筛选完成：共 200 篇；Yes = 6 篇；已保存到 papers/select_paper2026-07-28.json。
邮件发送成功！
[2026-07-29 11:53:44] 任务执行成功！
