[2026-06-30 11:40:36] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-29
正在获取论文...
[arXiv] 2026-06-29 | Real-Time Underwater Image Enhancement via Frequency-Guided Dual-Path Attention
[NO] 76/200 | Equivariant cohomology of slice groupoids
[NO] 77/200 | Axial Algebras: Questions and Conjectures
[NO] 78/200 | Cross-Modal Iteration Distillation for Robust IHD Screening: The IDNet Framework and A New Benchmark
[NO] 79/200 | Deterministic nonlinear bunching of bosons
[NO] 80/200 | Uncertainty Estimation in Pathology Foundation Models via Deep Mutual Learning
[NO] 81/200 | Error bounds for simultaneous Wasserstein contractive adaptive increasingly rare MCMC
[NO] 82/200 | Effective results on projective normality of the first and second secant varieties
[NO] 83/200 | Adaptive nonparametric regression from repeated measurements under common noise
[NO] 84/200 | Dynamic Topological Light Control in Reconfigurable Non-Hermitian Metastacks
[NO] 85/200 | Dirichlet-Neumann waveform relaxation for heterogeneous heat equations: continuous and time discrete L2 analysis
[NO] 86/200 | Hephaestus: Toward a Cybersecurity AI Scientist
[NO] 87/200 | First-Order Temporal Logic Tensor Networks
[NO] 88/200 | DuoMem: Towards Capable On-Device Memory Agents via Dual-Space Distillation
[NO] 89/200 | IHDec: Divergence-Steered Contrastive Decoding for Securing Multi-Turn Instruction Hierarchies
[NO] 90/200 | Soft-Radiation-Induced Decoherence of Heavy-Quark Spin Entanglement at the Electron-Ion Collider
[NO] 91/200 | WARP: Whole-Body Retargeting for Learning from Offline Human Demonstrations
[NO] 92/200 | Revisiting "A universal model for the Lorenz curve with novel applications''
[NO] 93/200 | Bifurcation structure of soliton self-injection locking in microresonators
[NO] 94/200 | Flying to Image-Specified Objects: 3D Quadrotor Navigation via Cross-Graph Memory and Viewpoint Planning
[NO] 95/200 | On the existence of canonical multi-phase free boundary Brakke flows: a case study
[NO] 96/200 | High-Redshift Signatures from the Cosmic Dawn and the Epoch of Reionization
[NO] 97/200 | AdaGrad does not adapt to Hölder-smoothness for composite objectives
[NO] 98/200 | Criteria of isolated weighted homogeneous hypersurface singularities using Logarithmic vector fields
[NO] 99/200 | Same Concept, Different Directions: Cross-Modal Feature Heterogeneity in Sparse Autoencoders
[NO] 100/200 | AUSLUN: A Fixed-Hover UAV--USV System for GNSS-Denied Maritime Search and Navigation
[NO] 101/200 | Proving Use Requirements of Interactive Systems with Remote Monitoring and Control Capabilities EICS024
[NO] 102/200 | PACMCGIT V9N3, SIGGRAPH Art Papers, July 2026 Editorial 25e
[NO] 103/200 | Gorgon Loop: An Interactive Art Installation Revealing Algorithmic Judgment through Machine Vision and Generative Language 390
[NO] 104/200 | Light Architecture: Translating the AI Black Box into Immersive Experience 34
[NO] 105/200 | Design and Reliability Assessment of a Reconfigurable Tunneling Device for Ultra Low-Power Applications
[NO] 106/200 | From Cradle to Cloud: A Life Cycle Review of AI's Environmental Footprint
[NO] 107/200 | C
                    <scp>ounter</scp>
                    F
                    <scp>ace</scp>
                    : A Synthetic Face Dataset for Fine-Grained Counterfactual Evaluation of Face Recognition Systems
[NO] 108/200 | Taste for Privacy: How Context, Identity, and Lived-Experience Shape Information Sharing Preferences
[NO] 109/200 | Tradeoffs are Domain Dependent: Improving Accuracy and Fairness in Property Tax Assessments
[NO] 110/200 | BioMutFed+: Mutation-Driven Federated Learning for IIoT
[NO] 111/200 | LLM-Enhanced Accumulated Learning Prediction for Evolutionary Dynamic Multiobjective Optimization
[NO] 112/200 | Water-KAN: Efficient Underwater Image Enhancement via Kolmogorov-Arnold Networks
[NO] 113/200 | Index
[NO] 114/200 | CoCo-SCR: Covisibility-Centric Scene Coordinate Regression for Large-Scale UAV Visual Localization
[NO] 115/200 | DACE-Net: Detail-Aware Calibrated Enhancement Network for Building Change Detection
[NO] 116/200 | Recognition and Impact Evaluation of Dust UTXO Transaction Fee Behaviors on the Bitcoin Blockchain
[NO] 117/200 | A Neuro-Symbolic Framework for Legal Accountability in Public-Sector AI
[NO] 118/200 | When the Shield Became the Sword: Gendered Revenge Effects on Safety Platforms
[NO] 119/200 | Sustainable AI research? Researchers' perceptions of the environmental impact of AI and emissions-feedback tools
[NO] 120/200 | Optimizing Energy Performance Estimation in Residential Buildings With PCA Based Tree Ensembles
[NO] 121/200 | The Fragility of Moral Judgment in Large Language Models
[NO] 122/200 | Three Models of RLHF Annotation: Extension, Evidence, and Authority
[NO] 123/200 | Multi-Agent System for Orchestrating Retrieval and Multimodal Reasoning in Cloud Environments
[NO] 124/200 | Multi-Axis Evaluation of Adverse Drug Event Classification: Clinical Error Cost, Linguistic Failure Taxonomy, and Leakage-Corrected Benchmarks on ADE Corpus V2
[NO] 125/200 | Towards Education for All: Low-Cost Analog Communications Labs for the Global South
[NO] 126/200 | Comparative Study of Pose Estimation Techniques for Remote Range of Motion Monitoring in Healthcare
[NO] 127/200 | RSSIFilter: Selective RFID Tag Reading via RSSI Thresholding
[NO] 128/200 | C4-Symmetric Hooked-Arm Antenna with Multiband Scaling and Modal Reconfigurability
[NO] 129/200 | Convolutional Neural Network Based Detection of Abnormal Business Behavior in Smart Grid Information System
[YES] 130/200 | Integrating Health Sensing into Cellular Networks: Human Sleep Monitoring Using 5G Signals
[NO] 131/200 | Model Complexity Must Match Data Regularity: Benchmarking LSTM, Attention, and Hybrid Models for Household Electricity Prediction
[NO] 132/200 | Classifying Student Course Evaluations with ChatGPT: Exploring LLMs for Educational Quality Assessment in Engineering Education
[NO] 133/200 | PIR-DSN: A Decentralized Storage Network Supporting Private Information Retrieval
[NO] 134/200 | A Survey on Centrality in Satellite Networks
[NO] 135/200 | WIP: AI-Driven Support for Adaptive Learning in Computer Programming Education Based on Established Pedagogical Theories
[NO] 136/200 | Bridging Theory and Practice: Teaching Quantum Algorithms Through MATLAB
[NO] 137/200 | AI-Driven Autonomous Defense for Oil and Gas Critical Infrastructure: Reproducible Testbeds and Open Datasets for Cyber-Physical Resilience
[NO] 138/200 | Project-Based Learning for Year 1 Students in the Context of Robotics and Artificial Intelligence: A Robotics Challenge
[NO] 139/200 | Evaluation of U.S. 5G Testbeds: Limitations, Trends, and Pathways to 6G
[NO] 140/200 | Feature-Index Disclosure in Encrypted Linear Screening
[NO] 141/200 | Deep-Tree: Integrating Deep Semantic Representation and Tree-based Ensembles for Cloud Resource Efficiency Prediction
[NO] 142/200 | Advancing STEM Education: Artificial Intelligence, Metaverse, and the Rise of Adaptive Learning Ecosystems
[NO] 143/200 | Toward Sustainable Development in Latin America: ESG, Innovation, and Engineering Education
[NO] 144/200 | Importance and Teaching of Simulation Skills at Electronics Engineering Students
[NO] 145/200 | WiLoc: Massive Measured Dataset of Wi-Fi Channel State Information with Application to Machine-Learning Based Localization
[NO] 146/200 | RESCUE: Opportunistic Online Scheduling of Model Retraining on Underutilized Edges
[NO] 147/200 | An Autonomous Navigation Framework Based on Dynamic Cognitive Maps and Large Language Models
[NO] 148/200 | LeJOT-AutoML: LLM-Driven Feature Engineering for Job Execution Time Prediction in Databricks Cost Optimization
[NO] 149/200 | The Impact of Project-Based Learning on First-Semester Software Engineering Students’ Sense of Community: A Mixed-Methods Study
[NO] 150/200 | EExApp: GNN-Based Reinforcement Learning for Radio Unit Energy Optimization in 5G O-RAN
[NO] 151/200 | A Methodological Template for Explainable ML on Small Biomedical Datasets: Post-Split Augmentation and SHAP Analysis Applied to Parkinson's Gait
[NO] 152/200 | Three-Layer Defense Mechanism for Decentralized Federated Learning
[NO] 153/200 | Dual-Wavelength Q-Switched Fiber Laser Based on Cobalt Ditelluride Saturable Absorber
[NO] 154/200 | GLOW-TW: Full-Field Depth Estimation for Wide–Tele Heterogeneous Stereo
[NO] 155/200 | EEG-Conditioned Emotional Speech Synthesis with Grad-TTS
[NO] 156/200 | A Neuro-Symbolic Fusion Framework for Evaluating Knowledge Graph Support in Graph-RAG
[NO] 157/200 | MGOA-ReID: Multi-Granularity Occlusion-Aware Person Re-Identification with Self-Supervised Visibility Modeling
[NO] 158/200 | Communication Performance Evaluation in Complex Environments Based on Statistical Analysis and Multi-parameter Correlation
[NO] 159/200 | RadCloudSplat: Scatterer-Driven 3D Gaussian Splatting with Point-Cloud Priors for Radiomap Extrapolation
[NO] 160/200 | Acoustic RIS for Massive Spatial Multiplexing: Unleashing Degrees of Freedom and Capacity in Underwater Communications
[NO] 161/200 | Optimal exponents for the Schlick reflectance approximation
[NO] 162/200 | FHECrafter: A Multi-Agent Framework for Automated Fully Homomorphic Encrypted Tensor Program Generation
[NO] 163/200 | Controlled Granularity Tuning for Log-Based Anomaly Detection in Converged HPC-Cloud Environments
[NO] 164/200 | Infrastructure-Free Indoor Occupancy Estimation via Passive BLE Scanning EICS026
[NO] 165/200 | Context-Mediated Domain Adaptation in Multi-Agent Sensemaking Systems EICS003
[NO] 166/200 | <i>Making a Name for Myself</i>
                    : On Academic Naming Policies and their Impact
[NO] 167/200 | A Grid Fault Type Identification Method Based on Novel Features of LCL-type Inverter
[NO] 168/200 | A 90.9-dB SNDR Fourth-Order Fully Passive Bandpass Current-Integrating Noise-Shaping SAR Light-to-Digital Converter
[NO] 169/200 | A Graphene-Based Flexible Capacitive Respiratory Sensor With CMOS Readout Circuit
[NO] 170/200 | A Resilient and Optimization-Driven Approach to Enhancing Network Stability in Microgrid Distributed Control Under Denial-of-Service Attacks
[NO] 171/200 | When Even Experts Disagree: Human-in-the-Loop Evaluation of LLM-Generated Hypotheses for Learning Analytics
[NO] 172/200 | Physics-Informed RF Features for Bone Fracture Detection and Healing Classification: A Grouped Cross-Validation Study Using 2D-FDTD Simulation Across Five Anatomical Sites
[YES] 173/200 | Stacked Intelligent Metasurface for End-to-End OFDM System
[YES] 174/200 | Near-Field Beam Training for Cell-Free Networks Leveraging Distributed Angle Observations
[NO] 175/200 | Systemic Maturity – Measuring Intangibles through the SEM-ORB Methodology
[NO] 176/200 | From Templates to Agentic Reasoners: A Systematic Review of Automated Item Generation for Mathematics
[NO] 177/200 | HERO: Heterogeneous-agent rEinforcement learning-based Route Optimization for Green Transportation in IoVs
[NO] 178/200 | Reaction Kinetics and Gassing Tendency of Natural Ester FR3 Fluid under Thermal Stress
[NO] 179/200 | Iterative Optimization of Interface Conductivity on DC GIL Spacer Under Thermal Gradient
[NO] 180/200 | A Real-time Adaptive Path Planning Method for Robotic Full-coverage Polishing of Unknown-model Workpieces
[NO] 181/200 | MS-ResFormer: A Multi-Scale Residual Transformer Framework for TEM Denoising with Improved Late-Time Stability
[NO] 182/200 | Design Method of Quasi-Lumped Element Bandpass Filters Using Superconducting Coplanar Waveguide for Millimeter-Wave Multichroic Imaging
[NO] 183/200 | Meta-Learning for Predictive Modeling of Antimicrobial Resistance in Dynamic Healthcare Environments
[NO] 184/200 | Intensive Game Development Projects as a Learning Arena for AI Literacy and Critical Thinking
[NO] 185/200 | Magnetic Resonance Spectroscopy Deep Learning with Magnetic Resonance Background Generator Enables
                    <i>In Vivo</i>
                    Metabolite Quantification of Hepatic Encephalopathy
[NO] 186/200 | EAR-Net: Pursuing End-to-End Absolute Rotations from Multi-View Images
[NO] 187/200 | Expert Evaluation and the Limits of Human Feedback in Mental Health AI Safety Testing
[NO] 188/200 | AI-Driven Optimization of 5G Networks: Predicting Congestion and Faults Using ML Techniques
[NO] 189/200 | Generative AI in Engineering Education: Equity-Enhancing Tool or Digital Divide Deepener?
[NO] 190/200 | DEMO: Distributed Edge &amp; Split Learning for Energy-Aware Spatiotemporal Forecasting
[NO] 191/200 | Improving Angle-of-Arrival Bluetooth Indoor Positioning via Machine Learning Techniques
[NO] 192/200 | AI-Enhanced Curricula of Higher Education Institutions for Advancing Sustainable Development Goal 4: The IPEC Framework
[NO] 193/200 | Analyzing the Impact of Generative AI Assistants Use in Undergraduate Programming Courses
[NO] 194/200 | How Do Girls Use Generative AI?
[NO] 195/200 | GenAI-Driven Game and Viva Assessments for Software Engineering
[NO] 196/200 | Author-Guided, Hybrid LLM Dialogue Systems for Educational VR Simulations
[NO] 197/200 | Towards Asynchronous Client Collaboration in Personalized Federated Learning
[NO] 198/200 | mmWave-Aided Unified Speech Enhancement and Separation without Speaker Count Prior
[NO] 199/200 | Prompting Matters: Evaluating Strategies for LLM-based Vulnerability Detection
[NO] 200/200 | CrossModal-FatigueNet: A Cross-Modal Attention-Based Framework for Multimodal EEG-EOG Fatigue Detection
筛选完成：共 200 篇；Yes = 3 篇；已保存到 papers/select_paper2026-06-29.json。
邮件发送成功！
[2026-06-30 12:34:14] 任务执行成功！
