[2026-09-17 14:01:49] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-09-16
正在获取论文...
[arXiv] 2026-09-16 | Contact canonoid maps and their conserved and dissipated quantities
[NO] 73/200 | Information Spectrum Methods for $\varepsilon$-Capacity Problems in the Theory of Mixed Multiple-Access Channels with Cost Constraint
[NO] 74/200 | Large ideals in B(L1(0,1))
[NO] 75/200 | Detecting Logic Vulnerabilities Across the Contract and Device Layers of Blockchain-Enabled IoT With Multi-Agent Heterogeneous Graph Attention
[NO] 76/200 | Tuneable terahertz transitions in zigzag graphene nanoribbons
[NO] 77/200 | Bridging magnetothermal winds and photoevaporation to model discs dispersal
[NO] 78/200 | cosmokdtree: a flexible OpenMP-parallelized k-d tree for computational astrophysics applications
[NO] 79/200 | Multi-Appliance Non-Intrusive Load Monitoring via Label-Preserving Aggregate Recomposition and Prediction Consistency
[NO] 80/200 | RDT based upper bounds on the largest average submatrix values
[NO] 81/200 | An efficient and rigorous criterion for the admissible time step of deforming grids in generalized Lagrangian and ALE methods
[NO] 82/200 | Predictive Online Disturbance-Action Control for Linear Dynamical Systems
[YES] 83/200 | SemISAC: Semantic Integrated Sensing and Communications
[NO] 84/200 | Finite-rate chemistry in a hypersonic wall model: heat-flux selection, non-monotone rate response and transport-closure effects
[NO] 85/200 | Fractional Assignment with $\ell_1$ Preferences
[NO] 86/200 | One-Step Retrieval Framework for Real-Time Sponsored Search Ads Using Hierarchical Text Representations
[NO] 87/200 | A general lightweight global modeling framework for three-dimensional seismic exploration
[NO] 88/200 | Endpoint eigenfunction restriction estimates in codimension two
[NO] 89/200 | Dark matter as higher-form fields
[NO] 90/200 | Where Should Agents Live? Energy-Memory Characterization of Agentic AI for the Edge-Cloud Continuum
[NO] 91/200 | Decoder-Agnostic Token Merging for Vision Transformers: A Systematic Study of G2TM
[NO] 92/200 | Witness Encryption via Prime-Order Generic Groups
[NO] 93/200 | A $q$-recurrence for a finite Apéry limit
[NO] 94/200 | Indicators of resilience for autonomous control systems
[NO] 95/200 | REPAIR: Resolving Long-Tail Confusion in Scientific Retrievers via Fact-Verified Iterative Refinement
[NO] 96/200 | Anosov Diffeomorphisms of Finite-Type Surfaces
[NO] 97/200 | Re2A: Situated Conversational Recommendation via Rubric-based Preference Reasoning and Alignment
[NO] 98/200 | Spectral-Gap Bounds and Timescales for Purity Loss in Hamiltonian--Pointer Interactions
[NO] 99/200 | ForceDelta-VLA: Distilling Force-Conditioned ActionCorrections for Contact-Rich Manipulation
[NO] 100/200 | Unified Response Geometry for Structured Pruning
[NO] 101/200 | Enhancing 3D LiDAR Object Detection in Real-World Infrastructure With Trained Models Using Simulation Data
[NO] 102/200 | DVFusion: Dual-View Attention and Geometry-Guided Fusion for 4D Radar-Camera 3D Detection
[NO] 103/200 | NUSOD 2026 Organizing and Program Committees
[NO] 104/200 | Table of Contents
[NO] 105/200 | Efficient Multiscale Point Cloud Transformer for Time-Modulated Array Synthesis
[NO] 106/200 | A Multi-Layer Mechanism Model of Puppet-Based Embodied Expression: Integrating Human-Machine Relationships, Mental Mechanisms, and Visual Generation
[NO] 107/200 | Short-term Carbon Price Risk Forecasting: The Value of Coal Market Integration
[NO] 108/200 | A Review of GNSS Signal Acquisition Methods
[NO] 109/200 | Regional Architectural Style Generation with an Improved GAN
[NO] 110/200 | Perception and Sentiment Analysis of Greenway Use Based on Social Media and LLMs: A Case Study of the Yongding River Greenway
[NO] 111/200 | Semantic-Aware Normalization: Enhancing the Evaluation of Large Language Models in Automated Vulnerability Repair
[NO] 112/200 | Mahalanobis Distance Filter for Open-Set Crop Disease Detection on Edge Devices
[NO] 113/200 | Machine Learning-Based Construction of Dementia Risk Prediction Models and Their Feature Importance Analysis
[NO] 114/200 | T2Cura: A Dialect-Adaptive and Knowledge-Grounded Conversational AI System for Post-Diagnosis Type 2 Diabetes
[NO] 115/200 | FastLightCNN: An Ultra-Lightweight Attention-Based Convolutional Network for Edge-Oriented Digit Recognition
[NO] 116/200 | Asset Pricing and Volatility Forecasting in Financial Markets Integrating Deep Learning with Traditional Econometric Models
[NO] 117/200 | Model-Driven Engineering of Synthetic Data Pipelines for AI-Enabled Healthcare Systems
[NO] 118/200 | 10 Systemic Changes to Broaden Participation in Computing
[NO] 119/200 | How Nanotextures Influence Electric and Electronic Properties in Perovskite Solar Cells
[NO] 120/200 | RDAF-YOLOv11: A Rearrangement-Driven Adaptive Fusion Network for UAV Small-Object Detection
[NO] 121/200 | Reconfigurable Battery Module Integration and Performance Evaluation for Electric Vehicle
[YES] 122/200 | Blind IRS Beamforming Using Only Received Signal Power Measurements
[NO] 123/200 | Operationalization Matters: When Graph-Aware Learning Adds Value for IC-Based Influence Approximation
[NO] 124/200 | Wigner Formalism for Coherent Quantum Structures in Photonic Devices
[NO] 125/200 | VTP: A Task-Aware Transmission Protocol for Edge Vision-Language-Action Robotic Systems
[NO] 126/200 | Hybrid LSTM–GRU Architecture for Current Prediction in Polycrystalline Solar Cells
[NO] 127/200 | Assessing Accuracy of Different Textile-Based Sensors in Respiration Monitoring
[NO] 128/200 | Cascaded Sliding Window Decoding for PS-LDPC Codes in High Speed Communications
[NO] 129/200 | Intelligent Mineral Prospecting Prediction Based on Geoscience Big Data: Data Construction, Algorithm Integration, and System Application
[NO] 130/200 | AI-Based Real Estate Price Prediction
[NO] 131/200 | Real-Time Gesture Recognition on Mobile Devices Using Deep Learning with Fully On-Device Inference
[NO] 132/200 | A Continuously Tunable Silicon-Based 3D Matching Network for Heterogeneous RF Transceiver
[NO] 133/200 | Automatic Optimization Method of Synonym Dictionary Based on Large Language Models
[NO] 134/200 | High-Fidelity Text-Controllable 3D Digital Human Generation via 3D Gaussian Splatting
[NO] 135/200 | Capability-Speed-Coupled Mission Planning for Heterogeneous UAV Swarms
[NO] 136/200 | HAPI: A Hybrid Knowledge Graph and Vector Search Framework for Efficient Vietnamese Traffic Law Retrieval
[NO] 137/200 | Adaptive Prosthetic Wrist Reduces Compensatory Movements During Grasping
[NO] 138/200 | Behavior-Driven Electricity Theft Detection Using Machine Learning Under Imbalanced Smart Meter Data
[NO] 139/200 | KubeShield: Multi-Modal Anomaly Detection for Kubernetes Using Ensemble Learning
[NO] 140/200 | Exploring Millennials' Purchase Intention Toward Organic Personal Care Products Using Behavioral Modelling Techniques
[NO] 141/200 | Ethical AI Framework for Protecting Human Rights in Digital Surveillance Systems
[NO] 142/200 | Printed VO₂ Tiles for Tunable Holographic Metasurface
[YES] 143/200 | A Secure Deep Joint Source-Channel Coding Method for UAV-Assisted Image Transmission
[NO] 144/200 | A Modified Terminal Sliding Mode Controller for Fault Characteristic Compensations in Bushfire-Prone Electrical Distribution Networks
[NO] 145/200 | Design of an Integrated Model for Hybrid AI–Physics Co-Optimization and Validation in Transmission–Distribution Power Networks
[YES] 146/200 | An Attention-Enhanced U-Net-Based Network for Automatic OTFS Waveform Generation
[NO] 147/200 | A Greedy Skeleton Retrieval Framework for Vietnamese Text-to-Sign Generation
[NO] 148/200 | Performance analysis of Grid-to-Vehicle operation for an Electric Vehicle
[NO] 149/200 | Towards Fully Integrated Terahertz Frontends: Silicon Photonics Meets Resonant Tunneling Diodes
[NO] 150/200 | Data-Driven SOH Estimation for Embedded Battery Management Systems
[NO] 151/200 | A Novel Thirteen-Level Switched Capacitor-based Inverter
[NO] 152/200 | Comparative Evaluation of Commercial Piezoelectric Film and Piezoelectret Insoles for Gait Sensing
[NO] 153/200 | Boundary-Aware Semi-Supervised Segmentation for Rail Surface Defects
[NO] 154/200 | Sensor-Placement-Agnostic Sonomyography: Toward Continuous High-Dimensional Control by Users with Tetraplegia
[NO] 155/200 | LPA-MoE: A Lightweight Period-Aware MoE Model for Time Series Forecasting in Data Centers
[NO] 156/200 | ESP32-Based Multi-Sensor Rover for Landmine and IED Detection
[NO] 157/200 | Semantic-Augmented Item Graph Denoising with Collaborative Signals for Multimodal Recommendation
[NO] 158/200 | Complex-Metric Higher-Order Dependency Network with Adaptive Backoff for Global Shipping Trajectory Modeling
[NO] 159/200 | A 130nm Field-Programmable Analog Array Fabric Enabled by an Analog Standard Cell Library
[NO] 160/200 | Intraoperative Mandibular Registration Techniques - Comparative Case Studies and Clinical Recommendations
[NO] 161/200 | SVSS-LMS Adaptive Control for PV-EV Charging Station with Residential Load Integration and Grid Support
[NO] 162/200 | Generation of Deterministic and Heralded Single Photons for Quantum Technologies
[NO] 163/200 | Textile-based metamaterials for electromagnetic wave filtering and guiding
[NO] 164/200 | From Passive Querying to Proactive Data Services: A Demand-Aware Data Fabric Framework for Multi-Platform Data Environments
[NO] 165/200 | Low-Error SoC and SoH Estimation on Batteries Using an Advanced Coulomb Counting Approach with Machine Learning Integration
[NO] 166/200 | Deep Learning Based Water Detection Using Satellite Imagery Using Mask R-CNN
[NO] 167/200 | From Prediction to Decision-Making: A Systematic Review of Artificial Intelligence in Predictive Cardiology
[NO] 168/200 | Variable Admittance Force Control with Dead Zone Compensation for Tendon-Sheath Mechanisms in Exoskeleton Applications
[NO] 169/200 | Analytical BER Modeling of Asynchronous Vehicular OCC Systems Using Rolling Shutter and UPSOOK
[NO] 170/200 | Quantum Federated Learning for IoT: Empirical Evaluation of Security, Privacy, and Efficiency Trade-Offs
[NO] 171/200 | Virtual Synchronous Generator-based Grid-Forming Control of a DFIG-based Wind Energy Conversion System
[NO] 172/200 | A Hierarchical Hardware-in-the-Loop Agentic Framework for Smart Home Automation
[NO] 173/200 | An In-Vehicle Child Cry Recognition System Using Deep Learning Techniques
[NO] 174/200 | Structural and optical properties of sputtered carbon films on Cu buffer-layer for sensing applications
[NO] 175/200 | RBF-Based Adaptive Line-of-Sight Guidance Law for Unmanned Surface Vehicle Path Following
[NO] 176/200 | GAPPO: An Adaptive Reward-Driven Optimization for High-Accuracy, Low-Latency 6G Positioning
[NO] 177/200 | Microfabrication of Cr/Al-Si MSM chip by direct laser writing with photoelectric response for sensing
[NO] 178/200 | A Novel 3D MIMO GBSM for UAV Air-To-Air Communications
[NO] 179/200 | MCG-PPO for Fully Decentralized Multi-UAV Collaborative Coverage in Post-Disaster Environments
[NO] 180/200 | Grid-Integrated Solar EV Charging: A Sustainable Approach to Urban Mobility
[NO] 181/200 | Performance Analysis of NOMA-Assisted Indoor Multi-Waveguide Pinching-Antenna Systems
[NO] 182/200 | Mediating Role of Employer Branding in Enhancing Employee Retention in Tech Companies: An Empirical Investigation
[NO] 183/200 | A Domain Specific Language for Pattern Specification and Automated Validation for Metamodel-Based Languages
[NO] 184/200 | EduRecap: A Multimodal AI Framework for Lecture Transcription, Summarization, Visualization, and Interactive Learning
[NO] 185/200 | Biases in Human and AI-Assisted Requirements Elicitation for Mental Health Wearables
[NO] 186/200 | Integrated Planar Magnetics based LLC Resonant Converter using Asymmetrical Imbalanced Winding Technique
[NO] 187/200 | Dispersion Engineered Passive Phase Shifter Design for Enhanced Bandwidth in C-Band
[NO] 188/200 | Many-Body Electronic Structure of InAsP/InP Nanowire Quantum Dots and Quantum-Dot Molecules
[NO] 189/200 | A Privacy-Aware Machine Learning Model for IoT EcoSystems
[NO] 190/200 | Chaotic-Outline X-Band Patch Antenna Bandwidth Optimization via Metaheuristic Algorithms
[NO] 191/200 | A Conceptual Framework for Adaptive Coordination of Hybrid Teams in Emergency Scenarios
[NO] 192/200 | A Dual-Level Ensemble Heuristic with Differential Evolution for Large-Scale Multi-Satellite Space Target Tracking
[NO] 193/200 | Design and Fabrication of a Passivated, Semitransparent, and Anatomy-Conformable Wearable Sensor Using a Cost-Effective Encapsulation Process
[NO] 194/200 | An Integrated Cyber–Physical–Financial Risk Assessment in Power Distribution Networks
[NO] 195/200 | Design and Mechanism Analysis of Drag Reduction for UAV Rotor Blades Based on Bionic Structures
[NO] 196/200 | From Point Clouds to Digital Heritage Models: Integrated TLS, UAV Photogrammetry and Scan-to-BIM for the Reconstruction of Ulpia Traiana Sarmizegetusa
[NO] 197/200 | Multi-Metric Prototypical Networks for Few-Shot Class-Incremental Learning
[NO] 198/200 | Metasurface Antenna Applied in Millimeter-Wave Imaging Systems
[NO] 199/200 | Metasurface-Enabled Superheterodyne Transmitter: Architecture, Prototype, and Experiments
[NO] 200/200 | Energy-Efficient User Scheduling and Resource Allocation for NOMA-Enabled URLLC in Industrial IoT Systems
筛选完成：共 200 篇；Yes = 5 篇；已保存到 papers/select_paper2026-09-16.json。
邮件发送成功！
[2026-09-17 14:43:25] 任务执行成功！
