[2026-04-23 10:18:40] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-22
正在获取论文...
[arXiv] 2026-04-22 | From Scene to Object: Text-Guided Dual-Gaze Prediction
[NO] 81/200 | On the convergence of an adaptive denoiser driven iterative regularization with early stopping
[NO] 82/200 | Hallucination Early Detection in Diffusion Models
[NO] 83/200 | Blossom VI: A Practical Minimum Weight Perfect Matching Algorithm
[NO] 84/200 | A Rocq Formalization of Simplicial Lagrange Finite Elements
[NO] 85/200 | Sharp multiplier estimates for the higher-order Schwarzian derivatives of the Koebe function
[NO] 86/200 | Cutting-plane methodology via quantum optimization for solving the Traveling Salesman Problem
[NO] 87/200 | Multilayer Laue Lenses for Enhanced Spatial Resolution in Dark-Field X-ray Microscopy
[NO] 88/200 | AdaTracker: Learning Adaptive In-Context Policy for Cross-Embodiment Active Visual Tracking
[NO] 89/200 | Extensions of inertial blocks
[NO] 90/200 | Onboard Wind Estimation for Small UAVs Equipped with Low-Cost Sensors: An Aerodynamic Model-Integrated Filtering Approach
[NO] 91/200 | MambaLiteUNet: Cross-Gated Adaptive Feature Fusion for Robust Skin Lesion Segmentation
[NO] 92/200 | ActuBench: A Multi-Agent LLM Pipeline for Generation and Evaluation of Actuarial Reasoning Tasks
[NO] 93/200 | Interplay of Flat-band and Anderson localizations in disordered moire superlattices
[NO] 94/200 | uLEAD-TabPFN: Uncertainty-aware Dependency-based Anomaly Detection with TabPFN
[NO] 95/200 | Intrinsic Magnetoelectric Hall Effect from Layer-Orbital Quantum Geometry
[NO] 96/200 | Bayesian approaches to non- and semiparametric density estimation [with a rejoinder to my discussants]
[NO] 97/200 | Quantum description of gravitational waves generated by a classical source
[NO] 98/200 | Learning Spatial-Temporal Coherent Correlations for Speech-Preserving Facial Expression Manipulation
[NO] 99/200 | Edge Universality for Inhomogeneous Random Matrices II: Markov Chain Comparison and Critical Statistics
[NO] 100/200 | Towards Secure Logging: Characterizing and Benchmarking Logging Code Security Issues with LLMs
[NO] 101/200 | MLRUI-R: Multilabel Feature Selection Considering Relative Uncertainty Information
[NO] 102/200 | Editorial
[NO] 103/200 | Hierarchical Optimization for Time-Varying Resource Allocation of Networked Uncertain Robotic Agents With Inconstant Parameters
[NO] 104/200 | Application of IEEE Std. 1459-2010 and Hjorth Descriptors for the Identification of Stator Faults in Induction Motors
[NO] 105/200 | Inferring Spatial Reasoning by Observing Human Interactions With Smart IoT Objects
[NO] 106/200 | Spoofing Detection and Mitigation in GNSS Using Cyclostationarity and Sparse Array
[NO] 107/200 | Topology-Optimized, Dual-Phase Gripper with Force Estimation for Underwater Operation_supp1-3683323.mp4
[NO] 108/200 | Multi-Scale Spatial-Temporal Representation Learning for mmWave Radar 3D Human Pose Estimation
[NO] 109/200 | Reliable and Compact Graph Fine-Tuning Via Graph Sparse Prompting
[NO] 110/200 | Magnetic Hyperthermia Based on Hysteresis Heating Alone
[NO] 111/200 | Remote Sensing Monitoring of Glacier Changes in the Puruogangri Glacier Over the Past Four Decades
[NO] 112/200 | Test Time Optimization for Highly-Reliable Redundant Systems with Single-machine Similarity and Non-Uniform Labor-hours
[NO] 113/200 | Async, Not Absent: Strategies for successful implementation of asynchronous courses
[NO] 114/200 | Estimating Piano Piece Difficulty via Embodied Robotic Hand Performance Analysis
[NO] 115/200 | Research on Deep Learning-Based Computer Music Emotion Recognition and Generation Models
[NO] 116/200 | Exploration on Teaching Modes of Machine Learning Course for Professional Degree Postgraduates with Digital Empowerment
[NO] 117/200 | Spatial Pose Information-Guided Method for Cross-Pose Face Recognition
[NO] 118/200 | Research on a Bilingual Dictionary Extraction Algorithm for Language Teaching Based on Word Embeddings and Comparable Corpora
[NO] 119/200 | Research on Optimization Techniques for Real-time Interaction Models in Hybrid Classrooms Based on Multimodal Artificial Intelligence
[NO] 120/200 | AI-Driven Reform of Analog and Digital Electronics Courses: Insights into Curriculum Content, Pedagogy, and Laboratory Innovation
[NO] 121/200 | Will artificial intelligence improve students' learning happiness?
[NO] 122/200 | Artificial Intelligence Technology as a Mediating Mechanism: Linking L2 Interest to Learner Autonomy in Pilots' Informal Digital Learning of English
[NO] 123/200 | Research on Intelligent Early Warning Model for Teaching Quality Based on Multi-source Data Fusion and XAI
[NO] 124/200 | Multisource Multimodal Calibration for Precise Disconnector Recognition in Power Grids
[NO] 125/200 | Joint Information-Theoretic Threshold Optimization and Error Bounds for MAP Decoding in Parallel Stochastic Quantizer Architectures
[NO] 126/200 | Integrated High-Order Mode Filtering using Cascaded Asymmetric Directional Couplers
[NO] 127/200 | FuseRes: Robust In-Bed Respiration Monitoring System via Multi-modal Fusion of Millimeter Wave Radar and Wi-Fi Signals
[NO] 128/200 | Classifier-Agnostic Ambiguity Detection Framework for Targeted Oversampling in Imbalanced Learning
[NO] 129/200 | Bulletin Board: NEMA Announces 2026 Golden Omega Award Winner
[NO] 130/200 | SSFNet: Spatial-Spectral Frequency-Aware Network for Hyperspectral Image Classification
[NO] 131/200 | CFO-Robust Detection for 5G PRACH under Fading Channels: Analytical Modeling and Performance Evaluation
[NO] 132/200 | Lithium-Ion Battery SOH Estimation via Mixture Correntropy Loss-Based PCA and Kolmogorov-Arnold-Enhanced Liquid Neural Networks
[NO] 133/200 | Four Quadrants Operations of Single-Stage CSI With Discharge Path in Motor Drives Applications
[YES] 134/200 | Enhancing Physical Layer Security in Modern Transmission Systems via Semantic Similarity–Aware Signal Processing
[YES] 135/200 | Integrated Multimodal Sensing, Communication, and Computation With Adaptive Splitting and Dynamic Routing in Satellite-Terrestrial Networks
[NO] 136/200 | Coverage Optimization Strategy for UAV Ad Hoc Network Based on Multi-Objective Improved Cooperative Search Algorithm
[YES] 137/200 | NOMA-Enabled Covert and Fair Data Collection for Multi-UAV Wireless Network Under Imperfect CSI
[YES] 138/200 | A Probabilistic REM Framework With Dynamic Genetic Beam Selection for Robust Indoor mmWave Communication
[NO] 139/200 | WildfireKR: An LLM-Agent Decision Support Framework for Autonomous Wildfire Spread Simulation in South Korea
[NO] 140/200 | Beyond Single-Framework Architectures: A Systematic Evaluation and Hybrid Design for Scalable Multi-Agent Coordination
[NO] 141/200 | Gesture Mapping for Embodied Rhythmic Expression: A Case Study on Expressive Affordances
[NO] 142/200 | Artificial Intelligence in Physical Education: Research Trends and Knowledge Structure
[NO] 143/200 | GenAI and Critical Thinking in Physical Education: An Empirical Analysis Based on Controlled Experiments
[NO] 144/200 | Governance-Aware Fairness Framework for AI-Based Educational Decision Systems
[NO] 145/200 | Cognitive-enhancement AI Empowers Education to Build a New Human-Machine Symbiotic Educational Ecosystem for the Future
[NO] 146/200 | Decoding Student Stress: An Explainable Machine Learning Approach
[NO] 147/200 | The Design and Empirical Research of an AI-Based Evaluation System for Higher Vocational English Courses
[NO] 148/200 | Practical Exploration of Artificial Intelligence in Customization of Moral Education Content
[NO] 149/200 | Artificial Intelligence-Empowered University Leadership: A Sustainable Model to Enhance Faculty Psychological Capital and Work Performance
[NO] 150/200 | Timely Trajectory Reconstruction in Finite Buffer Remote Tracking Systems
[NO] 151/200 | Design of Polar Subcodes for Permutation Decoding
[NO] 152/200 | RadioVAR: Fast Sampling-Free Radio Map Construction via Coarse-to-Fine Token Prediction
[NO] 153/200 | Symptom-Aware Adaptation of CLIP for Few-Shot Medical Image Classification_supp2-3685174.pdf
[NO] 154/200 | CNIE: Content-Aware Non-Transferable Information Extraction for Fine-Grained Visual Categorization
[NO] 155/200 | LoD-GS: Robust and Lightweight Gaussian Splatting SLAM for Real-Time Volumetric Scene Reconstruction
[NO] 156/200 | Non-Intrusive Contactless Gesture Recognition for Human-Robot Interaction
[NO] 157/200 | Natural Language Interfaces for Spatial and Temporal Databases: A Comprehensive Overview of Methods, Taxonomy, and Future Directions
[NO] 158/200 | A U-Net based LSGAN Framework for 12-Lead ECG Synthesis in Wearable IoMT Systems
[NO] 159/200 | A Global-Local Data Clustering Framework With Adaptive Feature and Sample Weighting and Balanced Constraint
[NO] 160/200 | Target Speaker Isolation for Mobile Health Assessment from Speech with Crosstalk
[NO] 161/200 | Multirate Finite-Control-Set Motor Parameter-Free Predictive Control for SPMSM Drives
[NO] 162/200 | Forgettable Federated Linear Learning With Certified Data Unlearning
[NO] 163/200 | Scalable neural pushbroom architectures for real-time denoising of hyperspectral images onboard satellites
[NO] 164/200 | Counterfactual Risk Minimization for Out-of-Distribution Generalization
[NO] 165/200 | Analog Implementation of a Fractional-Order PID Controller for the T200 Thruster Using a Novel Lattice Type Structure
[NO] 166/200 | A Virtual Simulation and Intelligent Feedback System for Erhu Performance Teaching
[NO] 167/200 | Reform of CAE Software Practical Courses Based on RAG Knowledge Bases
[NO] 168/200 | Determinants of Design Students' Continuance Intention for Online Education Platforms: An Integrated TAM-TPB Investigation
[NO] 169/200 | Research on Safety Behavior Recognition of Laboratory Personnel in Chemical Laboratories Based on YOLOv11
[NO] 170/200 | AI Adoption in Chinese Art Education: A Study Using the Technology Acceptance Model and Agglomerative Clustering
[NO] 171/200 | Construction of Knowledge Graph-Enhanced Visualization and Intelligent Learning Environment on Xuexitong Platform: A Case Study of “Cost-Volume-Profit Analysis” in Managerial Accounting
[NO] 172/200 | AI-Powered Automated Feedback for ESL Writing: A Large-Scale Quality and Cost Analysis Toward SDG 4
[NO] 173/200 | Gesture Recognition for Human-Machine Interaction in Intelligent Cockpits Based on RGB-D Images
[NO] 174/200 | IEEE Transactions on Smart Grid Information for Authors
[YES] 175/200 | Pruned and Quantized Hybrid Models for Edge-Based Automatic Modulation Recognition
[NO] 176/200 | Decoding kinematic parameters of the whole arm using spikes from area 2 of primary somatosensory cortex
[NO] 177/200 | Analyzing and Characterizing the Split-Transformer LLC Converters
[NO] 178/200 | Reparameterization-Driven Depthwise Separable Large-Kernel Network for Lightweight Salient Object Detection of Strip Steel Surface Defects
[NO] 179/200 | A Hybrid Heuristic Spectral Efficient Chunk Allocation, Relay Selection, and Deep Learning-Empowered Energy-Efficient Power Control in Multi-user OFDMA-PNC
[NO] 180/200 | IEEE Transactions on Dielectrics and Electrical Insulation Feb 2026 Table of Contents Reprint
[NO] 181/200 | GOSPA and T-GOSPA quasi-metrics for evaluation of multi-object tracking algorithms
[NO] 182/200 | LearningFlow: Automated Policy Learning Workflow for Urban Driving with Large Language Models
[NO] 183/200 | Optimizing Incoming Quality Control with a Dynamic Set Covering Strategy for Zero-Defect Inspection
[NO] 184/200 | Modulation-Agnostic Interference Cancellation Using Approximate Message Passing Driven by Empirical Bayes
[NO] 185/200 | Compressed Sensing for Efficient Near-Field Scanning of Embedded Systems
[NO] 186/200 | Impact of TSV Quantity Scaling on TDDB Reliability and Failure Mechanisms in TSV Interposers
[NO] 187/200 | 2026 International Conference on AI x Data and Knowledge Engineering (AIxDKE)
[NO] 188/200 | FairCLIP: Bridging Visual Diversity and Linguistic Representation for Equitable Image Synthesis
[NO] 189/200 | Dynamic Evaluation Model for Learning Outcomes in Business Industry-Education Integrated Courses Based on Bidirectional Long Short-Term Memory Networks and Transformer
[NO] 190/200 | The Impact of Digital Resource Inputs on Manufacturing Corporate Performance - The Moderating Role of Servitization Level and Technological Turbulence
[NO] 191/200 | The Impact of Artificial Intelligence Technology Usage on College Students' Academic Performance: A Computational Analysis with Structural Equation Modeling
[NO] 192/200 | Research on a Student Classroom Engagement Detection Model Based on Visual-Speech Cross-Modal Attention Mechanism
[NO] 193/200 | Construction and Empirical Research of Adaptive Learning System Empowered by Artificial Intelligence
[NO] 194/200 | Leveraging Optimized Dual-Algorithm Synergy (Adaptive DBSCAN and Enhanced Random Forest) for Analyzing Engineering Students' Time-Study Performance Linkage
[NO] 195/200 | Construction of College English Blended Learning Model in the Context of Artificial Intelligence
[NO] 196/200 | DVF-Generator: A Physics-Aware Conditional Generative Model for Respiratory Motion Synthesis in Liver SPECT
[NO] 197/200 | PosePilot-GOM: A Web-based application for dexterity analysis of human movement
[NO] 198/200 | Introduction to the Special Issue on LLM Empowered Internet of Things Part 2
[NO] 199/200 | Detecting Abnormal Vehicle Behavior with a Diffusion-Transformer Generation Framework
[NO] 200/200 | Contrastive Learning for Terrain Identification of Earthworm-Like Robots with Limited Labeled Proprioceptive Data
筛选完成：共 200 篇；Yes = 6 篇；已保存到 papers/select_paper2026-04-22.json。
邮件发送成功！
[2026-04-23 10:49:18] 任务执行成功！
