[2026-09-24 13:57:19] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-09-23
正在获取论文...
[arXiv] 2026-09-23 | Bergman barycentric extensions of boundary homeomorphisms of the complex ball
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 31/200 | Quantization-Robust Unlearning through the Lens of Retain-Forget Loss Landscapes Interaction
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 32/200 | Orbital and spin periods of the intermediate polar 2PBC J0800.5-4306
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 33/200 | Reflection-Aware Reasoning for Non-Line-of-Sight Pedestrian Localization
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 34/200 | CART: Closed-Loop Adaptive Red Teaming for Large Language Models
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 35/200 | Just-in-Time Memory: Learning to Curate Task-Adaptive Memory for LLM Agents
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 36/200 | JEV-Star: Fast, Low-Cost StarCraft II Control with Language-Model Planning
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 37/200 | A Sample-Based Approach for Hierarchical Information-Theoretic Compression of Probabilistic Occupancy Grids
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 38/200 | Learn How to Act from Your Own Interactions: On-Policy Self-Distillation for GUI Agents
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 39/200 | The Power of Recruiting the Smaller Side: Two Additional Traders Suffice in Two-Sided Markets
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 40/200 | KITE: KV-Invariant Transformer Expansion for Efficient Agentic LLM Scaling
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 41/200 | NGN: Learning Neural Network Size as a Differentiable Count
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 42/200 | Sparse-Observation Atmospheric Thermal Forecasting with Physics-Informed Neural Networks for Climate-Aware Digital Twins
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 43/200 | EnSIMem: Entity-Structured Indexing for Long-Term Agent Memory
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 44/200 | Graph Learning with Spectral Connectivity Priors for Scarce Data
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 45/200 | TimeEvo: Failure-Driven Self-Evolution of a Time Series Agent
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 46/200 | Satisfaction Is Not Explanation: Auditing Vacuity and Training Influence in Temporal-Logic-Guided Reinforcement Learning
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 47/200 | Analytical Framework of Radial Resolution for Near-Field Communications
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 48/200 | Open Questions Towards Skill-Sustaining Reliance in Reflective AI Engagement
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 49/200 | Cryogenic performance and long-term stability of Hamamatsu R8520-506 photomultiplier tubes in liquid argon
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 50/200 | Zero density estimates for $\mathrm{GL}_2$ automorphic $L$-functions
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 51/200 | Norm-Controlled Inversion in Measure Algebras
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 52/200 | Localization and weighted theory on the Bergman spaces
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 53/200 | Wave-Robust Passive AUV Localization Using FP-MUSIC
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 54/200 | Response of Hellinger-distance based coherence to weak decoherence in two-flavor neutrino oscillations
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 55/200 | A ready-to-deploy MLOps software platform for satellite and NEO detection at meter-class ground-based observatories
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 56/200 | Coloring Queens with Thousands of Encodings
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 57/200 | Direct observation of the electronic structure of even-layer puckered SnTe monolayer films on graphene
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 58/200 | SGDet3D++: Geometry-Grounded Semantics for 4D Radar and Camera 3D Object Detection
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 59/200 | The Second Gap and Rigidity in Chern's Conjecture with Constant Cubic Trace
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 60/200 | Private Decentralized Optimization with Noise Reduction and Bias Correction
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 61/200 | A magnetar-powered jet-wind outflow in gamma-ray burst-associated supernovae: Application to the thermal components of GRB 060218-SN 2006aj
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 62/200 | A Rigidity Theorem for Flat Graph Hypersurfaces of Variable-Returns-to-Scale Cobb--Douglas Production Functions
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 63/200 | Foundations of Algebraic Architecture Theory: A Rising Sea of Geometry, Transport, Comparison, and Reconstruction
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 64/200 | Learning Local Heterogeneity and Cross-Region Context for Large-Scale Traffic Forecasting
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 65/200 | Pheno-GS: Phenoscape-scale Geodesic Sinkhorn
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 66/200 | Compliant AI Infrastructure for Regulated Finance: A tiered multi-agent framework with DLT audit trails for financial operations in DACH
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 67/200 | InGuard: Towards Generalized Inner Guardrail for Safe Text-to-Image Generation
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 68/200 | On the local theory of non-archimedean psh functions
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 69/200 | Can Jev Judge Radiology Reports? Evaluating a System One Model for Clinical Factuality
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 70/200 | DriftAudio: Marginal Drifting for Distributional Post-Training of One-Step Text-to-Audio Generators
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 71/200 | Gray-Box Model Predictive Control for Articulated Dump Trucks via Gaussian Process Learning of Sideslip
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 72/200 | Efficient Linear Bandits via Cluster-Aware Sketching
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 73/200 | Sparse bounds and joint oscillation for bilinear rough commutators
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 74/200 | Spherical harmonics, operators of multiplication by coordinates, and infinitesimal conformal transformations
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 75/200 | Exploring the short-range correlations in $^{16}$O+$^{16}$O collisions at the LHC
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 76/200 | Efficient learning of Clifford disentanglers and typical $t$-doped unitaries with exponentially more $T$ gates
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 77/200 | TNLearn: An Open Source Python Package for Task-based Neurons
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 78/200 | When Visual Quality Misleads: Intent Recognition under Rendered Avatar Distortions
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 79/200 | ThaiTrees: Thai Syntactic Dependency Trees Across Domains
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 80/200 | Optimal Trajectory Generation for Improved Magnetic Navigation
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 81/200 | Definite integral Albert algebras: arithmetic and finite geometry
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 82/200 | A Topos-Theoretic Approach to the Logarithmic Cartier Transform
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 83/200 | White Dwarf Pulsars: an emerging class of compact binaries
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 84/200 | Classical Root Systems Reveal Defect-Junction Data in Stabilizer Renyi Entropy
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 85/200 | KITE: Scaling Jev Population Experiments with Sparse Flagship Calibration
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 86/200 | MDRC: A Deployable State-Recovery Defense for Traffic Signal Control under Sensor Corruption
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 87/200 | On the Tutte polynomial of series-parallel posets
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 88/200 | JASPER: Joint Audio and Speech Pre-trained Encoder Representations
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 89/200 | Anti-Localization Uplink Communications in Satellite-Terrestrial Systems
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 90/200 | UniDataAgent: An Ontology-Grounded Agent for Enterprise Question-to-Report Automation
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 91/200 | Repurposing Pre-trained LLMs as High Fidelity Continuous Text Autoencoders
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 92/200 | Memory That Changes Action Is Not Memory That Guides It: Counterfactual Auditing of History-Conditioned Robot Policies
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 93/200 | Full-Covariance Smoothing of Bayesian Neural Networks for Online Adaptation
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 94/200 | One-Step Voice Conversion by Learning kNN Transport in WavLM Space
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 95/200 | Data-Assimilation-Assisted Reinforcement Learning for Power Grid Control under Load Uncertainty
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 96/200 | NaviScale: Generating Large-Scale Semantic Map Datasets for Object Navigation
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 97/200 | SOT-large subspaces of non-cyclic operators
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 98/200 | Prediction with Expert Advice: Anytime Regret with Many Experts Matches the Fixed-Time Constant
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 99/200 | XLOG: A CUDA-Native Engine for Neurosymbolic Integration
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 100/200 | A Systematic Benchmark of Explainable Methods for Temporal Attribution in Sequential Recommendation Systems
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 101/200 | Beyond answers: How a pedagogy-driven AI encourages students to think and learn in Computing Education
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 102/200 | PRISM: Evaluating a Rule-Based, Scenario-Driven Social Media Privacy Education Program for Young Autistic Adults
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 103/200 | Retraction Notice: Opportunistic routing technique for minimized energy consumption for relay node selection in wireless sensor networks
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 104/200 | FADE: A Detector-Oriented Few-Shot Anomaly Diffusion Engine for Industrial Visual Inspection
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 105/200 | LiDAR Sensor-Based 3-D Surface Measurement and Volume Estimation for Coal-Silo Monitoring
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 106/200 | Observational Uncertainty of On-State Resistance as a Health-State Indicator for SiC MOSFETs With Bond-Wire Degradation
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 107/200 | Error Bounds for Finite-Dimensional Stochastic Koopman Approximations
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 108/200 | Distributed Practical Prescribed-Time Secondary Control for Islanded Microgrids via Noncontinuous Monitoring Event-Triggered Mechanism
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 109/200 | Post-Quantum and Federated IoT Security: Challenges, Architecture, and Hardware-Executed Evaluation
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 110/200 | Com-DPRS: A Model-Agnostic Framework for Recommendation Using Composite Differential Privacy
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 111/200 | Retraction Notice: Zone based hierarchical energy efficient clustering scheme for WSN
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 112/200 | Gradient-Guided Neural Network Screening for Discrete Inverse Design of Silicon Photonic Splitters
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 113/200 | 4K4D++: Real-Time 4D View Synthesis at 4 K Resolution Using Image-Based Gaussians
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 114/200 | A Waterproof Wearable Sensor–Actuator System for Real-Time Closed-Loop Biomechanical Feedback in Swimming
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 115/200 | Quantum Secure Dot Product Protocol Supporting Searchable Encryption for Power Internet of Things
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 116/200 | RadioFormer: A Multiple-Granularity Radio Map Estimation Transformer with 1‱ Spatial Sampling
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 117/200 | Quantum Fidelity Prototype Matching via Matrix Product States for Few-Shot Medical Image Segmentation_supp1-3736350.pdf
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 118/200 | Haptic Guidance Using Electrical Muscle Stimulation for Gesture-based Mobile Robot Teleoperation
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 119/200 | Fabrication of WO@Cu Integrated GCN Electrodes for Hybrid Supercapacitors_supp1-3732648.docx
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 120/200 | Predicted Physical–SLA State Marginal-Drift Target Selection for Forced Handover in LEO Satellite Networks
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 121/200 | Reinforced Personalized Decentralized Learning for Mobile Virtual Reality Networks_supp1-3736431.pdf
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 122/200 | Cost-Effective and Competitive Alternative to the ITER Time Communication Network for Accurate Time Synchronization
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 123/200 | Preface
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 124/200 | Rule Development in Online Communities Amidst Growth and Generative AI
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 125/200 | 2026 25th International Symposium on Communications and Information Technologies (ISCIT)
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 126/200 | Retraction Notice: Migration-Based Load Balance of Virtual Machineservers in Cloud Computing by Load Predictionusing Genetic-Based Methods
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 127/200 | Retraction Notice: Heart Disease Prediction Using Machine Learning: A Data-Driven Approach
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 128/200 | Retraction Notice: FPGA Implementation of High-Performance Accurate and Approximate Multiplier
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 129/200 | Accuracy–Consistency Trade-Offs in Conservation-Constrained and Progressive-Cap PINNs for Inverse Source Identification
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 130/200 | Relative Humidity Sensor Using a CdSe/ZnS Quantum-Dot Hydrogel Coated Long-Period Fiber Grating
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 131/200 | Retraction Notice: Implementation of Hungarian Algorithm to obtain Optimal Solution for Travelling Salesman Problem
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 132/200 | A Scoping Review of Queer Health and Well-Being Technology Research
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 133/200 | A Closed-Form Solution with Asymptotic Performance for Gain-Phase Error Self-Calibration Exploiting Toeplitz Structure
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 134/200 | Retraction Notice: Brain-Powered Vehicles for Individuals with Disabilities Leveraging AI
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 135/200 | Reference-Invariant Permittivity Determination of Low-Loss Solid Dielectric Samples Using Spectral Free-Space Measurements Without Prior Thickness
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 136/200 | Digital Expertise Under Pressure: The Evolution of IT Professionals’ Roles in Belarus’s Contemporary Protest Movement
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 137/200 | Research on the Application of Reliability in Red- Blue Adversarial Simulation
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 138/200 | PIHG: Physics-Inspired Heterogeneous Graph Neural Networks for Multi-Band Radio Map Prediction
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 139/200 | Exploration of Technical Paths for Software Reliability Enhancement in Satellite Simulation Systems
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 140/200 | Reproducibility of the NeurIPS 2020 Black-Box Optimization Challenge: Re-evaluating Competition Submissions
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 141/200 | Proposal of a Respiratory Rate Estimation Method for Patients in a Frontal Seated Position Based on Torso Detection
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 142/200 | Consideration Data Augmentation Using Frequency Characteristics for Vocal Separation in Monaural Music Source Signals
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 143/200 | Design and Evaluation of a Maglev and XDP- Based SCTP Load Balancer for Cloud-Native 5G Core Networks
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 144/200 | Physics-Informed Neural Network-Based Transfer Learning for Identification of Three Equivalent Clearances in Gear Pumps
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 145/200 | Structural Design and Engineering Practice of Commercial Network Devices for Manned Spacecraft Environmental Adaptability
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 146/200 | A Compliance-Oriented Evaluation Framework for Generative AI-Based Dual Prevention Service Reports
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 147/200 | Design and Implementation of an AI Automatic Meter Reading System for Multi-Type Meters in Substations
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 148/200 | RFE-Net: A Lightweight Improved DeepLabV3+ Network with Transformer-Enhanced ASPP for Remote Sensing Rice Field Segmentation
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 149/200 | Robust Multi-Agent Reinforcement Learning for Secure and Energy-Efficient IoT Communications Assisted by Aerial Active RIS
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 150/200 | Design of a Medium-Frequency Electrical Stimulation System Based on FPGA
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 151/200 | Effectively Enhancing the Efficiency of Near-Infrared Organic Upconversion Devices by Introducing Intermediate Connecting Layer
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 152/200 | ConsistVIS: A Consistency-Aware Weakly Supervised Video Instance Segmentation Method
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 153/200 | Open-Set-Guided JPDA for Association-Robust Radar–ESM Fusion in Dense Crossing Target Tracking
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 154/200 | A Thin Embedded FBG Instrumented Wafer for In Situ Temperature Monitoring and Wafer-Scale Temperature Mapping
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 155/200 | Introduction to the September 2026 Issue
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 156/200 | MK-Transformer: A Combat Semantic Alignment Method for Heterogeneous Agents in Crewed-Uncrewed Teaming
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 157/200 | Method of Optimization Design and Experimental Validation of an Underwater Robot for Cleaning Biofouling on Offshore Wind Turbine Foundations Based on Hydrodynamics
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 158/200 | Varnish–Oil Compatibility and Degradation Mechanisms for Enhanced High-Temperature Electrical Insulation Performance
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 159/200 | Multi-parameter Detection for Metal Cracks Based on Chipless RFID Technology and GA-BP Model
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 160/200 | Toward the Development of Online Spiritual Care Communities: A Large-Scale Survey of Spiritual Care Stakeholders to Establish Initial Design Directions, Acceptability, and Feasibility
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 161/200 | Epidural Fibrosis Raises Thresholds but Preserves Recruitment in Conventional Spinal Cord Stimulation: Lateral Steering Is Fragile_supp1-3736127.docx
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 162/200 | Comparing a Vision Foundation Model (DINOv3) and a Task-Specific U-Net for Mapping Emergent Aquatic Vegetation From Fused UAV Multispectral and LiDAR Data
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 163/200 | 2026 IEEE 37th International Conference on Application-specific Systems, Architectures and Processors (ASAP)
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 164/200 | Efficient Invariant Representation Learning Based on Cauchy–Schwarz Divergence
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 165/200 | A System-Oriented Lightweight Vision-Based Framework for Real-Time UAV Aerial Surveillance
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 166/200 | Author Index
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
