[2026-03-17 09:50:54] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-03-16
正在获取论文...
[arXiv] 2026-03-16 | Controlled Langevin Dynamics for Sampling of Feedforward Neural Networks Trained with Minibatches
[NO] 70/200 | Learning Latent Proxies for Controllable Single-Image Relighting
[NO] 71/200 | Can LLMs Model Incorrect Student Reasoning? A Case Study on Distractor Generation
[NO] 72/200 | Kimodo: Scaling Controllable Human Motion Generation
[NO] 73/200 | An extreme particle accelerator powered by PSR J1849-0001
[NO] 74/200 | Are Dilemmas and Conflicts in LLM Alignment Solvable? A View from Priority Graph
[NO] 75/200 | SlovKE: A Large-Scale Dataset and LLM Evaluation for Slovak Keyphrase Extraction
[NO] 76/200 | Quantum-Inspired Unitary Pooling for Multispectral Satellite Image Classification
[NO] 77/200 | Beyond the Covariance Trap: Unlocking Generalization in Same-Subject Knowledge Editing for Large Language Models
[NO] 78/200 | Federated Learning of Binary Neural Networks: Enabling Low-Cost Inference
[NO] 79/200 | SIMTERFERE: An optical interferometry simulator for quantifying the coherent flux stability of VLTI/GRAVITY+. Reaching per mill stability: Application to exoplanet spectroscopy
[NO] 80/200 | Agentic workflow enables the recovery of critical materials from complex feedstocks via selective precipitation
[NO] 81/200 | iDaVIE v1.0: A virtual reality tool for interactive analysis of astronomical data cubes
[NO] 82/200 | Standard Model tests with smeared experiment and theory
[NO] 83/200 | RSGen: Enhancing Layout-Driven Remote Sensing Image Generation with Diverse Edge Guidance
[NO] 84/200 | On the Derivation of Tightly-Coupled LiDAR-Inertial Odometry with VoxelMap
[NO] 85/200 | Financial Transaction Retrieval and Contextual Evidence for Knowledge-Grounded Reasoning
[NO] 86/200 | Understanding early stages of low-temperature hydrogen-driven direct co-reduction of Fe-Ni mixed oxide thin films at the near atomic scale
[NO] 87/200 | Kinematical and dynamical properties of recently discovered bulge and disc star clusters with WINERED
[NO] 88/200 | Wave propagation through periodic arrays of freely floating rectangular floes
[NO] 89/200 | The Stellar Initial Mass Function down to 0.16M$_{\odot}$ Towards the Small Magellanic Cloud
[NO] 90/200 | Deep Reinforcement Learning for Fano Hypersurfaces
[NO] 91/200 | Exploring Human Quadruped Locomotion for Exergames
[NO] 92/200 | When One-Parameter Dark Energy Makes Neutrinos Physical Again
[NO] 93/200 | CLAG: Adaptive Memory Organization via Agent-Driven Clustering for Small Language Model Agents
[NO] 94/200 | AnyCrowd: Instance-Isolated Identity-Pose Binding for Arbitrary Multi-Character Animation
[NO] 95/200 | Local Urysohn Width: A Topological Complexity Measure for Classification
[NO] 96/200 | A Hybrid Modeling Framework for Crop Prediction Tasks via Dynamic Parameter Calibration and Multi-Task Learning
[NO] 97/200 | SEA-Vision: A Multilingual Benchmark for Comprehensive Document and Scene Text Understanding in Southeast Asia
[NO] 98/200 | SWE-Skills-Bench: Do Agent Skills Actually Help in Real-World Software Engineering?
[NO] 99/200 | The Amplitude Dynamics of Impulsive Queues
[NO] 100/200 | Using an SU(3)/U(2) Wigner Function to Represent Noisy Spin Ensembles
[NO] 101/200 | Research on Flight Scheduling Optimization Based on Meta-Heuristic Algorithms
[NO] 102/200 | Design and Key Technology Research of a "Question-to-Chart/Question-to-Data" Natural Resource Application System Based on Large Language Model
[NO] 103/200 | Optimize Resource Management for Data Governance using Forecasting Algorithms
[NO] 104/200 | Developing an Immersive Augmented Reality-Based Coffee-Making Skills Training System for Individuals with Intellectual Disabilities
[NO] 105/200 | Automated Generation and Dynamic Testing of OOP Practice Problems using Javadoc and Reflection
[NO] 106/200 | Digital Academic Information System Evaluation Using Agile Methodology and Software Quality Model Assessment
[NO] 107/200 | A Star Target Trajectory Detection Based on Dynamic Programming and Multistage Hypothesis Testing
[NO] 108/200 | Hardware-Efficient Activation Approximation based on Error-Sensitivity Analysis for Deep Neural Networks
[NO] 109/200 | Online Learning and Control Synthesis for Reachable Paths of Unknown Nonlinear Systems
[NO] 110/200 | Analysis of the Near Field by the Fast Physical Optics Method with the Adaptive Mesh Technique
[NO] 111/200 | Bioinspired Agile Swimming with a Highly Underactuated Soft Ribbon Fin_supp1-3673909.mp4
[NO] 112/200 | Three-Dimensional Evaluation of Abnormal Upper Extremity Joint Coupling Post-Stroke
[NO] 113/200 | Integrating Advantage Actor-Critic in Multi-Robot Collaboration_supp1-3674008.mp4
[NO] 114/200 | Demand Modeling for Advanced Air Mobility: Challenges, Opportunities, and Future Directions
[NO] 115/200 | Robot-Mediated Explainability for CNN-Based Complex Emotion Recognition: Aligning Visual Attributions with Social Robot Behavior for Trust-Aware HRI
[NO] 116/200 | Contour-Based Generation and Composite Attention Diffusion for High-Transmission Metasurface Inverse Design
[NO] 117/200 | Lightweight Remote Sensing Multispectral Image Compression with Decoupled Interactive Knowledge Distillation
[NO] 118/200 | A Generalized Algorithm for Retrieving Land Surface Temperature from UAV Thermal Infrared Imagery
[NO] 119/200 | Xiling: Cryo-CMOS Manipulator Using Dual 18-bit R-2R DACs for Single-Electron Transistor at 60 mK
[NO] 120/200 | Adaptive Step-Size Digital Back-Propagation for High-Capacity Unrepeatered Optical Systems with Raman Amplification
[NO] 121/200 | A Novel Source Separation Chaotic Optical Communication Architecture Based on Deep Cascade Time-delay Reservoir Computing
[NO] 122/200 | Adaptive Orchestration of Semantic-Computation Resources in Network-Edge-Robot IIoT
[NO] 123/200 | Disentangling Global Orientation with Test-Time Rectification for Unsupervised Non-rigid Point Cloud Correspondence_supp1-3668605.pdf
[NO] 124/200 | Mapless Underwater Navigation using Convex Quadratic Programming based Geomagnetic-Inertial Fusion
[NO] 125/200 | Member Get-A-Member (MGM) Program
[NO] 126/200 | Hybrid C-LSTM Neural Architecture for Real-time Adaptive Control of Fixed-Wing UAVs in Variable Turbulence Conditions
[NO] 127/200 | Integrating Behavioral Data and Explainable AI for Predicting Young Adult Depression
[NO] 128/200 | Ergodicity and Perturbation Bounds for a Finite Source Computer Queueing Network
[NO] 129/200 | Design and Development of Optical Sensor Emulator for Verification of on-Board HDA Algorithm of Chandrayaan-3
[NO] 130/200 | Data-Driven Model Updating and Load Identification for Rotor Blades Using Neural Networks
[NO] 131/200 | Deep Learning and Probabilistic Clustering for Anomaly Detection in Nuclear Power Plants
[NO] 132/200 | Enhanced Localization of Driverless Trains using Multi-Scale Grid LiDAR Fiducial Marker Features*
[NO] 133/200 | Hybrid Deep Learning-based Solar Irradiance Forecasting for Matarbari Coastal Region—The Next Generation Power Hub
[NO] 134/200 | The Emotional Signature: Detecting AI-Generated Short Stories through Narrative and Emotion Analysis
[NO] 135/200 | A Novel Framework for Fall of Ground Risk Estimation Using Contactless GPR Imagery
[NO] 136/200 | Multi-Agent Phishing Detection And Deletion via Small VLM and LLM Reasoning
[NO] 137/200 | Broadband Emissivity Analysis of Black Body Target Materials for Calibration of Michelson Interferometer Diagnostic
[NO] 138/200 | Transforming Closed-Set to Open-Set Diagnosis: Placeholder Learning for Bearing Faults
[NO] 139/200 | Factors Influencing the usage of Cloud Storage Services: A Case Study in an Indonesian Private University
[NO] 140/200 | GPU-Accelerated Barrier-Rate Guided MPPI Control for Tractor-Trailer Systems
[NO] 141/200 | A Highly Selective High Gain Vivaldi Filtenna with Multiple Radiation Nulls for UWB, Satellite Communication and Short Range Radar Applications
[NO] 142/200 | Boosting Credit Card Fraud Detection Through XGBoost and Balanced Data
[NO] 143/200 | Impact of Missing Inter-Beat Intervals on Heart Rate Variability Features and Driver Drowsiness Detection
[NO] 144/200 | Health Condition Prediction of Power Diodes Using Particle Filter
[NO] 145/200 | Development of High Voltage Test Bench for High Power mm Wave Gyrotron Testing
[NO] 146/200 | Deep-Koopman-Based Model Predictive Control for Trajectory Tracking of Automated Vehicle
[NO] 147/200 | Large Language Models for Autonomous Driving: A Review of Technical Challenges, Datasets, and Simulation Environments
[NO] 148/200 | Contrast &amp; Compress: Learning Lightweight Embeddings for Short Trajectories
[NO] 149/200 | CNC Machining and Characterization of W-Band Folded Waveguide Structures
[NO] 150/200 | A Highly Sensitive and Optimized SPR Biosensor for Monitoring Polluted Water Samples
[NO] 151/200 | Smart Marketing Chatbot of Amazon Office Products Using Generative Based Sequence to Sequence Model
[NO] 152/200 | Advancing Simulation-Based Optimization with LLMs for Traffic Problems
[NO] 153/200 | Introducing OASISS: ODD-Based AI Safety in AutonomouS Systems
[NO] 154/200 | C-Band 6-Bit Digital Phase Shifter MMIC Design for Space-Borne Synthetic Aperture Radar
[NO] 155/200 | Conditioned Trajectory Generation for Realistic Driving Scenarios via a Hybrid Machine Learning Architecture
[NO] 156/200 | Concurrent Multiple Entanglement Routing Model with Function-Configurable Nodes in Quantum Networks
[NO] 157/200 | A Unified MATLAB/Simulink Framework for Comparative Control of Grid-Connected Electric Vehicles
[NO] 158/200 | Consensus-Aware AV Behavior: Trade-Offs Between Safety, Interaction, and Performance in Mixed Urban Traffic
[NO] 159/200 | Frame-Wise Interactive Strategy on Video Streams for Road Friction Estimation Under Kinematic Constraints
[NO] 160/200 | Development of a Driving Posture Assessment System for Posture Standardization Using a Single in-Cabin Camera
[NO] 161/200 | Integrity-Monitored Deep Reinforcement Learning for Safe and Robust Autonomous Navigation
[NO] 162/200 | Grid Search Optimised Ensemble of Pretrained Models for Multi-Class Brain Tumour Classification Using MRI Images
[NO] 163/200 | Explainable Federated Cardiovascular Risk with Compact MLPs
[NO] 164/200 | Pre-Launch Testing &amp; Characterization of the NISAR S-SAR Digital Beamforming
[NO] 165/200 | Application of FT and FFT Continuous Zoom Analysis in Motor Bearing Fault Diagnosis
[NO] 166/200 | Concept for Data-Driven Modeling of Perception Sensors for Automated Driving Systems
[NO] 167/200 | Enforced PEC Boundary Condition to a DML Fed RDRA: A Tri-Mode Tri-Band RDRA for Wireless Applications
[NO] 168/200 | MR-LDM - the Merge-Reactive Longitudinal Decision Model: Game Theoretic Human Decision Modeling for Interactive Sim Agents
[NO] 169/200 | Multi-Objective Passing Decision and Trajectory Planning Method for Unstructured Road Environments via Integrated Discrete Modeling
[NO] 170/200 | Iterative Decision-Making in Reinforcement Learning for Ride-Sharing Optimization: A Joint Approach to Dispatching and Rebalancing
[NO] 171/200 | Joint Noise Whitening and Oversampled MRC Detection for W-OTFS Systems in Gamma-Gamma Turbulent Channels
[NO] 172/200 | Deep Semi-Supervised Tandem Autoencoder for Split-Ring Resonator Loaded Antenna Design
[NO] 173/200 | Design of Metamaterial Based UWB MIMO Antenna
[NO] 174/200 | Multi-Objective Economic and Emission Dispatch Optimization using Grey Wolf Optimizer: A Case Study of the Ashuganj Power Plant, Bangladesh
[NO] 175/200 | PSRR-Aware (gm/Id)-Based LDO Design with Load-Capacitance and Quiescent-Current Optimization
[YES] 176/200 | A Wideband 3 × 3 Nolen Matrix Using Modified Coupler and Crossover for WLAN Applications
[NO] 177/200 | A Simple Pipeline for 3D Object Detection and Motion Prediction Without Prior Information Through Semantic Understanding
[NO] 178/200 | Closing the Loop: Motion Prediction Models Beyond Open-Loop Benchmarks
[NO] 179/200 | Transformer-Based Assessment of Driving Corridors for Motion Planning of Automated Vehicles
[NO] 180/200 | An Adaptive Frequency Sweep Algorithm for Broadband EM Simulation Incorporating Random Matrix Transformation in the Loewner Framework
[NO] 181/200 | A Renewable Hydrogen-Based Transit Solution for Tompkins County: Feasibility Assessment and System Design
[NO] 182/200 | Cracks Reflection and Transmission of Lamb Waves
[NO] 183/200 | Impact of 3G, 4G and 5G Mobile Phone Radiation on Brain and Reproductive System of Wistar Rat
[NO] 184/200 | Cross-component Transfer Fault Diagnosis via Joint Distribution Adaptation on Envelope Spectrum Features
[NO] 185/200 | A Transferable Deep Learning Framework for Lithium-ion Battery State-of-Health Prediction Based on CL-Transformer
[NO] 186/200 | Thermal Design of the Collector for Folded Waveguide TWT for THz Application
[NO] 187/200 | Recognition of Crack Formation Modes in Laser Thermal Splitting Using Convolutional Neural Networks
[NO] 188/200 | Coastal Zone Monitoring Based on Watercraft Motion Classification to Enhance Water Safety
[NO] 189/200 | Certificateless Probabilistic Group Signature Verification Scheme Against Content Poisoning Attacks in NDN
[NO] 190/200 | Low Power 2nm Ultra-Low Voltage SRAM Operating at 0.35V with Enhanced Read/Write Circuitry
[NO] 191/200 | Software Application for Identifying the Location of Small Hydropower Plants, Taking into Account the Landscape and Climatic Characteristics of the Region
[NO] 192/200 | Hallucination Detection in Large Language Model Generated Texts: A Survey of Internal and External Approaches
[YES] 193/200 | Unmasking the Accuracy Illusion: Leveraging Gen AI for Enhanced Security in 6G O-RAN
[NO] 194/200 | Shockwave Minimization within the Mesoscopic: Infrastructure-Guided Optimal Acceleration for Autonomous Vehicles
[NO] 195/200 | Detection Challenges in BB84 Quantum Key Distribution under Random Number Generator Compromise and QBER Analysis
[NO] 196/200 | CE-PCOAN: Cost Efficient Planning of Protected Converged Optical Access Networks
[NO] 197/200 | Design of Ultra-Broadband (100 Mhz to 8 Ghz) Bias-Tee for the Loadpull Measurement
[NO] 198/200 | Context-Aware Risk Assessment and its Application in Autonomous Driving
[NO] 199/200 | Fault Detection for Liquid Rocket Engines Based on The Combined Method of ARMA and ARMAX
[NO] 200/200 | Investigation of the Impeller of a Reversible Microturbine for a Microfluidic-Membrane Control System for a Robotic Vechicle
筛选完成：共 200 篇；Yes = 3 篇；已保存到 papers/select_paper2026-03-16.json。
邮件发送成功！
[2026-03-17 10:17:58] 任务执行成功！
