[2026-08-20 09:26:45] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-19
正在获取论文...
[arXiv] 2026-08-19 | Realizing Logical Diagonal Gates via Transversal Physical $Z$-Rotations in CSS Codes
[NO] 86/200 | Turning interest into institutional change: teaching advocacy for sustainable research
[NO] 87/200 | Optics and Thermodynamics of Charged BTZ Black Holes with Exotic Matter Sources
[NO] 88/200 | Magnetism and Electrical Conduction in Lightly-Doped Single-Layer High-$T_c$ Cuprate $\mathrm{La}_2\mathrm{CuO}_{4+δ}$
[NO] 89/200 | MorphoGP: A Nonparametric Framework for Predicting Equilibrium Beach Profiles Under Tidal Influence
[NO] 90/200 | Performance Drift Detection in Machine Learning as a Service (MLaaS) for IoT Environments
[NO] 91/200 | Symmetry of Solutions and Domain-Reduction Finite Element Method for Second-Order Linear Elliptic Dirichlet Boundary Value Problems on Bounded Domains
[NO] 92/200 | DART-SD: Diamond-topology Aware Retrieval and Tuning for Self-Distillation of Multi-Turn Tool-Calling Agents
[NO] 93/200 | Sharp Sobolev Approximation on General Domains by Linearized Shallow Networks with Analytic Activations
[NO] 94/200 | Beyond Idealized PAHs: Infrared Signatures of Carbon-Chain Defects from Shock Synthesis
[NO] 95/200 | On coordinate frames relevant for pulsar physics
[NO] 96/200 | Entrywise Positivity Preservers on Green Matrices
[NO] 97/200 | Designing Social Robots for Social-Cognition Training with Autistic Adults
[NO] 98/200 | Partition the Support, Reconstruct the Residual: Training-Free Sparse Attention for Video Generation and World Models
[NO] 99/200 | From magnetized Coulombic quantum dynamics to magnetized fluids
[YES] 100/200 | Joint Beamforming and Phase Shifts Design for RIS-Enabled RSMA-ISAC Systems
[NO] 101/200 | Image-Based Domain Adaptive Vulnerability Detection via Graph Centrality Representation
[NO] 102/200 | Explosive Yield Inversion Based on Transformer Model with Blast Wave Physical Constraints
[NO] 103/200 | Rapid Deployment of Nodal Seismometers Based on a Stepwise Optimization Model
[NO] 104/200 | Introduction to PAISE 2026
[NO] 105/200 | 2026 Fifth International Conference on Power, Control and Computing Technologies (ICPC2T)
[NO] 106/200 | A Continuously Reconfigurable Linear Polarization Antenna for Aerial IoT Platforms
[NO] 107/200 | IEEE Systems, Man, and Cybernetics Society Information
[NO] 108/200 | Semiconductor Education, Empowerment, and Industry Development in Colombia [Education Corner]
[NO] 109/200 | Construction at Application of a College Students’ Physical Fitness and Health Monitoring Model Based on Wearable Device Data
[NO] 110/200 | Multi-task deep learning for discovery and evaluation of therapeutic peptides against atopic dermatitis
[NO] 111/200 | DANCE-ESI: Discriminative Structure-Aware Contrastive Learning with Hard Negative Mining for Enzyme-Substrate Interaction Prediction
[NO] 112/200 | Weighting Analysis of Blood Pressure Estimation Based on Multi-Channel Pulse Signals from the Cun, Guan, and Chi Positions
[NO] 113/200 | Coverage-Aware Windowed mdBG Assembly
[NO] 114/200 | Matrix-free Neural Preconditioner for the Dirac Operator in Lattice Gauge Theory
[NO] 115/200 | <scp>VeRe</scp>
                    : Verification Guided Fault Localization and Repair Synthesis of Deep Neural Networks
[NO] 116/200 | Introduction to MxP4S 2026
[NO] 117/200 | MxP4S 2026 Invited Speaker 6
[NO] 118/200 | Cross-modal Inconsistent Information-based Network for Fake News Detection
[NO] 119/200 | Evaluation of Surface EMG Signal Quality in Patients with Lower Limb Osteoarthritis
[NO] 120/200 | Optimizing Multiobjective Genetic Algorithms For High-Order Epistasis Detection
[NO] 121/200 | Beyond Manipulation: How Users Perceive Harmful AI Chatbot Interactions
[NO] 122/200 | From Interview to Persona: A Transparent Workflow for Learner-Centered Educational Technology Design
[NO] 123/200 | Intent-Aware Backchanneling for Active Listening in Human-Robot Interaction
[NO] 124/200 | “Let Me Take That Back”: Designing and Testing Deletion Interfaces for Human-AI Interaction
[NO] 125/200 | Machine Learning enhanced e-tongue for the characterization of a new paracetamol-based formulation for pediatric delivery
[NO] 126/200 | Single-node low-cost IoT sensor to measure indoor environmental quality with high spatial resolution
[NO] 127/200 | Real-Time Steady-State Performance Analysis of Classical Solar MPPT Techniques for Fixed Step-Size Perturbations Via Converter Duty Ratio
[NO] 128/200 | Aerosol-Jet Printed and Photonically Cured Sensors Embedded in 3D Printed Smart Orthoses: A Preliminary Study
[NO] 129/200 | A 6X Boost Enhanced 13-Level Switched Capacitor Inverter with Minimal Switch Design
[NO] 130/200 | Experimental Validation of a Wearable Textile with Integrated FBG Sensors for Simultaneous HR and RR Monitoring
[NO] 131/200 | Drift Compensation for Electrochemical Sensors: a Preliminary TinyML Study
[NO] 132/200 | AI-Enhanced Ultrasonic Obstacle Detection and One Touch Fold for Next Generation Wheelchairs
[NO] 133/200 | Extracting data from invoices as part of the ETL process
[NO] 134/200 | Attribute-Based Perceptual Mapping of Private Hospitals in India
[NO] 135/200 | Fault-Tolerant Cooperative Control for High-Order Uncertain Nonlinear Multi-Agent Systems
[NO] 136/200 | A Systematic review of various Alzheimer’s Disease Detection and prediction techniques using AI, ML and DL
[NO] 137/200 | Construction of a Risk Prediction Model for MCI-to-AD Progression Based on Longitudinal Atrophy Trajectories of Structural MRI
[NO] 138/200 | Shallow Water Delta Oil and Gas Reservoir Prediction
[NO] 139/200 | A Comparative Study of Policy-Based Reinforcement Learning Algorithms for Chinese Single-Stock Trading
[NO] 140/200 | Visualization Analysis of Research Hotspots and Trends of Chemistry Education Based on CiteSpace
[NO] 141/200 | SMT-Based Traffic Scheduling for Time-Sensitive Networking
[NO] 142/200 | Design of Intelligent Path of “Walking Ideological and Political Course” + Red Archives Collaborative Education Based on Knowledge Map Construction Algorithm
[NO] 143/200 | A Quantum-inspired Language Model Based on Transformer and Unitary Evolution for Question-answering
[NO] 144/200 | Source-Free Domain Adaptive Fundus Image Segmentation with Disagreement-Guided Mask Consistency and Boundary Curvature Regularization
[NO] 145/200 | An Ultrawideband Magnetoelectric Dipole Antenna With Gain Improvement and Its Application in Array Design for Sub-6G Intelligent IoT Communication
[NO] 146/200 | Generalizing Universal Image Segmentation to Online Video Segmentation via a Bridging Matcher
[NO] 147/200 | Robust Visibility-Aware Target Tracking for Micro Aerial Vehicles in Unknown Complex Environments
[NO] 148/200 | A Collaborative Cislunar Computing Architecture for Task Scheduling and Resource Coordination Via Multi-Agent Reinforcement Learning
[NO] 149/200 | Panel - AI and Robotaxi: Inside and Out
[NO] 150/200 | IEEE Access
[NO] 151/200 | Table of Contents
[NO] 152/200 | Quad-Band Polarization-Insensitive THz Absorber for Sensing Applications
[NO] 153/200 | CGAD: A Cross-Granularity Aware Framework for Time Series Anomaly Detection
[NO] 154/200 | Preface
[NO] 155/200 | Title Page
[NO] 156/200 | Prof. Ming-Yan Fan Receives Multiple Honors for Research Excellence and Industry–Academia Collaboration [Chapters]
[NO] 157/200 | Evaluating Monotonic Functions using Binary Search
[NO] 158/200 | Based on Cross-Sample Entropy Analysis: A New Perspective on Revealing the Mechanism of Transcutaneous Auricular Vagus Nerve Stimulation in Regulating Brain Networks
[NO] 159/200 | Diabetic Retinopathy Classification Network Based on Cosine Similarity Multi-scale Decomposition and Cross-attention
[NO] 160/200 | A Comparative Analysis of Electrocardiogram, Phonocardiogram and Retinal Oculomics Using a Hybrid Deep Learning Model for Cardiovascular Diagnosis
[NO] 161/200 | Non-Intrusive Sensor-Based Sleep Monitoring and Machine Learning Classification for Individuals with Disabilities in Residential Facilities: A Case Study from the MetaSalute Project
[NO] 162/200 | Numerical Study of a High-Voltage Pulse Transformer for Klystron Modulator
[NO] 163/200 | A Survey of Multimodal Human Emotion Detection Techniques Using Deep Models and Transfer Learning
[NO] 164/200 | VLSI Architecture of Adaptive FIR Filter Using Distributed Arithmetic for Low-Power DSP Applications
[NO] 165/200 | A Preliminary Study of LLM Inferencing on Sandboxed Environments for Jetson Edge Platforms
[NO] 166/200 | Raiders of the Lost Log: Synchronous Parallel In-Place Models and Algorithms
[NO] 167/200 | Machine Learning-Based Modeling of Large-Scale Climate Data for Long-Term Trend Analysis
[NO] 168/200 | Evaluation of an Ankle Exoskeleton System Based on Additive Manufacturing Technology
[NO] 169/200 | Single-Phase Active LED Driver with Common Anode DC-DC Boost Cell, Reduced Power Processing, and Electrolytic Capacitor-Less Design
[NO] 170/200 | Combining Thinking Aloud and Eye Tracking
[NO] 171/200 | A Multimodal Smart Wearable Garment for Continuous Monitoring of Human Motor Tasks: A Multi-User Feasibility Study
[NO] 172/200 | LiteNet-CXR v2: A Lightweight and Interpretable CNN for Lung Tumor Detection in Chest X-Rays
[NO] 173/200 | Hybrid AI Models for Predicting Housing Market Trends
[NO] 174/200 | From Pixels to Perception: Transforming Images Across Domains Using Deep Generative Models
[NO] 175/200 | Physics-Guided Spatio-Temporal Transformers to Predict Urban Wind Fields with Accuracy and Adaptive Optimization of Wind Power
[NO] 176/200 | PulmoAI: AI-Driven Prediction for Lung Health
[NO] 177/200 | ANN-Based Power Transformer Diagnosis on Datasets with Rogers DGA and IEC
[NO] 178/200 | Intelligent Matter: Leveraging AI/ML to Enhance Interoperability, Efficiency, and Security in Matter-Based Smart Homes
[NO] 179/200 | Performance Analysis of DTC with SVM Scheme for Low-Ripple BLDC Motor Operation
[NO] 180/200 | Alternative Decomposed Message Passing for Efficient Geometric GNNs
[NO] 181/200 | An AI-Driven Framework for Dance Movement Generation Based on Motion Capture and Affective Computing
[NO] 182/200 | A Multimodal Recommendation System Based on Transformer And Dimensionality Reduction Clustering Algorithm for Clothing Similarity Retrieval
[NO] 183/200 | Research of Smart Helmets for Delivery Personnel
[NO] 184/200 | IEEE Sensors Letters Subject Categories for Article Numbering Information
[NO] 185/200 | Residential Arrangements and Elderly Survival: A Supervised Learning Approach to Mortality Risk Prediction
[NO] 186/200 | Analysis of Dual-Task Gait Characteristics Based on Electrostatic Detection
[NO] 187/200 | Controllability Analysis for Vision State Space Models: A Structural Interpretability Framework_supp1-3718747.pdf
[NO] 188/200 | FedALAQ: Federated Adaptive Layer-wise Aggregation with Quantization
[NO] 189/200 | Fast Communication-less Remote Bus Backup Protection algorithm in HVDC Grids with In-Depth Analysis
[NO] 190/200 | Physics-Informed Reinforcement Learning for Coordinated Real-Time Frequency Control of Grid-Forming Energy Storage in Low-Inertia Microgrids
[NO] 191/200 | IEEE Connect
[NO] 192/200 | Key Reconciliation with RC-LDPC/Error Estimation for Satellite-based FSO/QKD Systems
[NO] 193/200 | Ultra-high Frequency Sensor for Multi-source Partial Discharge Detection
[NO] 194/200 | Crowdsensing From a Distance: A Contract Mechanism Design
[NO] 195/200 | Introduction to JSSPP 2026
[NO] 196/200 | Evaluating LLM-Generated Instructional Content for Parallel Computing Education
[NO] 197/200 | An Intelligent Protection Scheme for Radial DC Microgrid Considering Critical Pole-to-Ground Fault Scenarios
[NO] 198/200 | Under Pressure: How Autonomy and Competence Shape AI Adoption in Citizen Broadcasting
[NO] 199/200 | Feature Fusion Dual-Branch CNNs for Superior Fish Pathology Recognition
[NO] 200/200 | CollARborate or Compete? Investigating User Experience and Motivation through Social Context and System Modalities of a Serious Math Game
筛选完成：共 200 篇；Yes = 1 篇；已保存到 papers/select_paper2026-08-19.json。
邮件发送成功！
[2026-08-20 10:00:00] 任务执行成功！
