[2025-12-26 09:12:00] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-25
正在获取论文...
[IEEE] 2025-12-25 | ITIS 2025 Cover Page
[IEEE] 2025-12-25 | Human spatial dynamics for electricity demand forecasting
[IEEE] 2025-12-25 | Modeling and Analysis of Voltage Imbalance in Series-Connected FS-IGBTs Based on Physical Description of Tail Current Dynamics
[IEEE] 2025-12-25 | IEEE Control Systems Society Information
[IEEE] 2025-12-25 | Soft 3D-Printed Endoskeleton for Precise Tendon Routing in Soft Robotics
[IEEE] 2025-12-25 | PWaveSense: DAS-Based Knowledge-Driven Seismic Signal Processing and Ensemble Learning Framework for REST API-Enabled Real-Time Earthquake Early Warning System
[IEEE] 2025-12-25 | A Neural Network-Based ADC Calibration Framework via Quantization Code Reconstruction
[IEEE] 2025-12-25 | Short-Term Energy Demand Forecasting in a University Campus Using Machine Learning
[IEEE] 2025-12-25 | Digitalization of Logistics Processes through AI: Economic Effects and Levels of Implementation in Bulgaria and the EU
[IEEE] 2025-12-25 | A New Approach to High-Performance Image Compression on FPGA
[IEEE] 2025-12-25 | An Evaluation of Hybrid and Electric Vehicles Training Needs for Developing VR/AR Supported Digital Training Materials
[IEEE] 2025-12-25 | Optimization of the YOLOv4 Algorithm with MFNMS for Defect Detection in Arabica Coffee Beans
[IEEE] 2025-12-25 | DeckFlow: Specification Decomposition on a Multimodal Generative Canvas
[IEEE] 2025-12-25 | Achieving Full Bearing Design Life in Demanding Mining Applications
[IEEE] 2025-12-25 | The Impact of Deepfakes in Face Recognition Systems
[IEEE] 2025-12-25 | Deep Learning-Based Architectures for UAV Network Attack Detection
[IEEE] 2025-12-25 | 1.5 GHz Accurate Signal Frequency Meter Design
[IEEE] 2025-12-25 | The Hidden Burden: Insights Into Women’s Lived Experiences In Computing
[IEEE] 2025-12-25 | Application of the Tití App Technological Tool in Reading and Writing Comprehension
[IEEE] 2025-12-25 | Virtualization and Control of an Industrial Process of a Water Tube Steam Generator
[IEEE] 2025-12-25 | Risk-Based Security Hardening in IoT Systems Using OWASP and Cyberattack Simulations
[IEEE] 2025-12-25 | Optimized Deep Learning Models for Robust Splicing-Based Image Forgery Detection Using CASIA Mixed Dataset
[IEEE] 2025-12-25 | Forecasting of Clinical Program Gross Growth over Revenue through Outcomes and Workforce Metrics using LSTM-XGBoost
[ACM] 2025-12-25 | Detecting Tiny Performance Regressions at Hyperscale
[IEEE] 2025-12-25 | Development of Insulin Bolus Calculators in Type 1 Diabetes using A Framework Based on Real-world Data, Digital Twins and Machine Learning
[IEEE] 2025-12-25 | Coordinated Optimization of Wind-Solar-Storage Systems in Microgrids for Enhanced Economic Performance
[IEEE] 2025-12-25 | An Efficient Communication Scheme for Satellite Aerial Networks With Location Privacy
[IEEE] 2025-12-25 | Robust Weakly-Supervised Bearing Fault Diagnosis via Dual Learning and Curriculum Strategies
[IEEE] 2025-12-25 | Passive LC Relay Network-Enabled Battery-free Chipless IoT Smart Clothing for Simultaneous Multi-Site Hemodynamic Monitoring_supp2-3647891.mp4
[IEEE] 2025-12-25 | IGZO/IGMO phototransistor based on photogating effect for high-performance solar-blind ultraviolet detection
[IEEE] 2025-12-25 | Table of Contents
[IEEE] 2025-12-25 | Correspondence-Free, Function-Based Sim-to-Real Learning for Deformable Surface Control_supp1-3647769.mp4
[IEEE] 2025-12-25 | TSAI: A Novel Temporal and Spatial Anomaly Index for Forest Fire Detection
[IEEE] 2025-12-25 | Evaluating Privacy Attacks Protection through Malware Family Classifiers: A Semi-Supervised Learning Approach
[IEEE] 2025-12-25 | Applied Predictive Model for Clinical Referral of COVID-19 Patients: A KDD-Based Approach Using Supervised Classification
[IEEE] 2025-12-25 | Low-Power Motion Event Detection in Maritime Environments
[IEEE] 2025-12-25 | Statistical Analysis of the Peaks in the Price of Electrical Energy on the Bulgarian Energy Market
[IEEE] 2025-12-25 | Adaptive Multi-Vector Model Predictive Control for Three-Phase PWM Rectifier
[IEEE] 2025-12-25 | DevTales: A Tool for Providing Narrative Code Histories into Developer Workflows
[IEEE] 2025-12-25 | AutoSIGHT: Automatic Eye Tracking-based System for Immediate Grading of Human experTise
[IEEE] 2025-12-25 | Calibration-Based Pixel Non-Uniformity Correction Method for Medical Endoscopic Cameras
[IEEE] 2025-12-25 | Green Synthesis of Carbon dot Sensors from Citrus Waste for Rapid Polarity Detection in Solvents
[IEEE] 2025-12-25 | Design and Development of an Autonomous Thermal and Water Management System for Vertical Farming with Energy Optimization under Power Shortage Conditions
[IEEE] 2025-12-25 | Design Concept of an Automated Laboratory Platform for Capturing Hyperspectral Images
[IEEE] 2025-12-25 | Dynamic Ensemble Voting for Water Extraction: Optimizing Sentinel-2 Water Indices for Enhanced Accuracy and Optimal Processing Time
[IEEE] 2025-12-25 | IoT-based LPG Management and Control System for Domestic Consumption Monitoring
[IEEE] 2025-12-25 | Analysis of the Influence of Gamification on Students’ Interest in Cultural Learning
[IEEE] 2025-12-25 | Perceptions of South African Farmers towards Cybersecurity in Smart Farming Technologies: A Quantitative Analysis
[IEEE] 2025-12-25 | Covert Data Exfiltration via Electromagnetic Side-Channel Emissions from Computer Memory
[IEEE] 2025-12-25 | Atrous Spatial Pyramid Pooling(ASPP)-Enhanced U-Net with Squeeze-and-Excitation(SE) Channel Recalibration for Early Smoke Classification
[IEEE] 2025-12-25 | 2023 IEEE-IAS/PCA Cement Industry Conference (IAS/PCA)
[IEEE] 2025-12-25 | Distributed Learning for Multi-Stage Bandits: No-Regret Algorithm and Lower Bound
[IEEE] 2025-12-25 | Fused FP8 Many–Terms Dot Product with Scaling and FP32 Accumulation
[IEEE] 2025-12-25 | A 2.5-bit Polarization-rotating Ultra-wideband Transmit Array for 6G Communications
[IEEE] 2025-12-25 | UDE-MPC: Robust Model Predictive Control with Flexible Constraints for Pointing Servo Systems_supp1-3648174.mp4
[IEEE] 2025-12-25 | IGE-YOLO: A Lightweight Optimized Network for Water Surface Object Detection
[IEEE] 2025-12-25 | Methodologies for Diffusion Model Interpretability: A Systematic Review
[IEEE] 2025-12-25 | Adaptive Efficiency Optimization Control of VLF-PM Motors Considering Operation Uncertainties With DCEE
[IEEE] 2025-12-25 | Observer-Based Event-Triggered Active Disturbance Compensation Control and Its Applications to QUAV
[IEEE] 2025-12-25 | Importance-Driven Variable-Intensity Attack Strategy and Resilient Security Defense Design for Industrial Minecart Suspension Systems
[IEEE] 2025-12-25 | Efficient CRB Estimation for Linear Models via Expectation Propagation and Monte Carlo Sampling
[ACM] 2025-12-25 | Neurosymbolic Inference On Foundation Models For Remote Sensing Text-to-image Retrieval With Complex Queries
[IEEE] 2025-12-25 | Effect of Lighting Conditions on Classification of Rye-Wheat Bread by Color
[IEEE] 2025-12-25 | Optimization Based in Genetic Algorithm for Powertrain in Electric Bus for Urban Service
[IEEE] 2025-12-25 | Log Files Analysis for Microservice Applications
[IEEE] 2025-12-25 | Catching UX Flaws in Code: Leveraging LLMs to Identify Usability Flaws at the Development Stage
[IEEE] 2025-12-25 | Optimizing Transformer-Based Models for Financial Sentiment in Indonesian Stock Tweets
[IEEE] 2025-12-25 | Study of an Electronic Device for Monitoring Motor Activity in Dairy Cows for the Diagnosis of Hypocalcemia and Its Impact on Milk Yield
[IEEE] 2025-12-25 | Deep Learning-Based Price Prediction of Red Bird’s Eye Chili: An LSTM Approach with Hyperparameter Variation
[IEEE] 2025-12-25 | From Pixels to Pathogens: A Review of Computer Vision in Strawberry Disease Detection
[IEEE] 2025-12-25 | Analysis of Industrial Noise from Machinery: A Case Study of Noise Exposure at Cable Factory, Indonesia
[IEEE] 2025-12-25 | Understanding and Integrating AI Model Maintenance in CS Education
[IEEE] 2025-12-25 | Analysis of the effect of customer prioritization on the production efficiency of a cardboard company
[IEEE] 2025-12-25 | Indicators of Teaching Practices and Student Dispositions on Climate Change Mitigation in Higher Education
[IEEE] 2025-12-25 | A Runtime Tunable Data Acquisition and Evaluation System for FPGA-based TRNGs
[IEEE] 2025-12-25 | Machine Learning Methods for SQL Objects in Oracle Database
[IEEE] 2025-12-25 | Hydrogen Storage Systems using Reversible Metal Hydride Technology as a Power Source for Fuel Cells in Stationary and Mobile Applications
[IEEE] 2025-12-25 | Programmers Without Borders: Bridging Cultures in Computer Science Study Abroad Program
[IEEE] 2025-12-25 | An Analysis of a Technological Process for Production of Optical Components
[IEEE] 2025-12-25 | Forecasting Ecuadorian Flower Exports Using Neural Networks with AdamW Optimization and a Savitzky-Golay Pre-Processing
[IEEE] 2025-12-25 | Cracking CodeWhisperer: Analyzing Developers’ Interactions and Patterns During Programming Tasks
[IEEE] 2025-12-25 | OptiFog: A Framework to Optimize the Placement of Microservices in Fog Scenarios
[IEEE] 2025-12-25 | Functional Tests to Top Off a Transition Fault Scan-Based Test Set
[IEEE] 2025-12-25 | Acoustic beamforming for source localization with Laplace norm joint constraint
[IEEE] 2025-12-25 | Leveraging Trajectory Continuity to Enhance Real-Time Traffic Signal Control With Limited Connected Vehicle Provision
[IEEE] 2025-12-25 | An Overview of GenAI 2.0 Partnering With Digital Twin to Enhance Decision Making
[IEEE] 2025-12-25 | Front Cover
[IEEE] 2025-12-25 | Saving Money Through Fast Quality Process Analysis : An Example of an Automated Process Control Improvement System
[IEEE] 2025-12-25 | C4D 2025 Keyword Index
[IEEE] 2025-12-25 | C4D 2025 Author Index
[IEEE] 2025-12-25 | ICON-SONICS 2025 Cover Page
[IEEE] 2025-12-25 | Semi-Supervised Learning for Volcanic Seismic Event Classification: A Comparative Study of Self-Training and Label Spreading
[IEEE] 2025-12-25 | Designing and Implementing a Hand Orthosis for Rheumatoid Arthritis Rehabilitation
[IEEE] 2025-12-25 | Implementation and performance evaluation of Zimbra 9.0.0 OSE integrated with Proxmox Mail Gateway and Active Directory in an institutional environment
[IEEE] 2025-12-25 | Vision Transformer for Multiclass Animal Image Recognition
[IEEE] 2025-12-25 | Electromechanical Setup for Measuring Viscoelastic Interactions of a Brain Phantom
[IEEE] 2025-12-25 | Compressed Sensing of ECG Signal Implemented on FPGA Processor
[IEEE] 2025-12-25 | USSF: A Unified Framework for Screen Standardization in Software Systems
[IEEE] 2025-12-25 | Spark: Real-Time Monitoring of Multi-Faceted Programming Exercises
[IEEE] 2025-12-25 | Faces Under Pressure: A web-based emotion recognition system to assess workplace stress, using AI
[IEEE] 2025-12-25 | A Review of Quadruped Robot Control and Perception Based on Augmented Reality
[IEEE] 2025-12-25 | Mechanical characterization of FCAW welding with combinations of flux cored wires and shielding gases on ASTM A588 steel for bridges
[IEEE] 2025-12-25 | Structural Causal Modeling with Double Machine Learning for Robust Policy Evaluation
[IEEE] 2025-12-25 | Performance Analysis of Combined Feature Extraction Method on Chili Quality Classification using XGBoost
[IEEE] 2025-12-25 | An Integrated Approach to Evaluating E-Commerce Platforms using Postman and Selenium
[IEEE] 2025-12-25 | Multiprocessor Based Architecture for Optimum Control of Reconfigurable and Multifunctional Next Generation Antenna Systems
[IEEE] 2025-12-25 | Investigation of the Impact of Photovoltaic Systems on Medium Voltage Grids
[IEEE] 2025-12-25 | Evaluate Road Depressions with Deep Learning and Mobile Application
[IEEE] 2025-12-25 | Comparative Evaluation of Object Detection Models for Identifying Fruit Flies in Snake Fruit Cultivation
[ACM] 2025-12-25 | mmSeg: Leveraging mmWave Radar for Fine-grained Human Semantic Segmentation
[IEEE] 2025-12-25 | Radio Frequency Fingerprint Identification With Fusion of Domain Knowledge and Simplified Residual Network
[IEEE] 2025-12-25 | Multi-stage Group Interaction and Cross-domain Fusion Network for Real-time Smoke Segmentation
[IEEE] 2025-12-25 | Designing a Novel Explainable Artificial Intelligence Framework for Biogas Generation from Organic Waste
[IEEE] 2025-12-25 | HySpeFAS: A Hyperspectral Face Anti-spoofing Dataset based on Snapshot Compressive Imaging_supp1-3648158.pdf
[IEEE] 2025-12-25 | December 2025 Land Transportation News [Transportation Systems]
[IEEE] 2025-12-25 | Lessons Learned from the euROBIN Manipulation Skill Versatility Challenge at IROS 2024_supp5-3648290.mp4
[IEEE] 2025-12-25 | Design Optimization of Hybrid-Laminated Fast-Scanning Magnets for the Carbon-Ion Radiotherapy
[IEEE] 2025-12-25 | Designing Spatial Architectures for Sparse Attention: STAR Accelerator via Cross-Stage Tiling_supp1-3648055.pdf
[IEEE] 2025-12-25 | Author Index
[IEEE] 2025-12-25 | Pathologic Voice Recordings Databases: Generalizability and Data Availability
[IEEE] 2025-12-25 | Open-Source Rehabilitation of CRS A255 Robotic Arms: Embedded Fuzzy Control and ROS Integration with Simulation Support
[IEEE] 2025-12-25 | Predicting Early Corruption Risk in Public Procurement: Ecuador’s Case Study
[IEEE] 2025-12-25 | Technology-Driven Multidimensional Evaluation of Learning Outcomes in Higher Education: A Systematic Synthesis
[IEEE] 2025-12-25 | Developing a Functional Test Stand for Advanced Air Turbine Models
[IEEE] 2025-12-25 | A Block-Based Language for CI/CD Authoring
[IEEE] 2025-12-25 | Improvement model to reduce defects in airtight buckets: Application of SMED 4.0, TPM and DOE in the plastics sector
[IEEE] 2025-12-25 | A High Performance UWB Antenna for Military Communications and Radar Applications
[IEEE] 2025-12-25 | Considering Metal Structures when Modeling Electromagnetic Fields of a 25 kV Traction Network
[IEEE] 2025-12-25 | Designing Conversational AI to Support Think-Aloud Practice in Technical Interview Preparation for CS Students
[IEEE] 2025-12-25 | Designing Human-AI Collaboration to Support Learning in Counterspeech Writing
[IEEE] 2025-12-25 | Open Justice and the Challenge of Privacy and Personal Data Protection in Ecuador’s Electronic Case System
[IEEE] 2025-12-25 | Implementation of a Virtual Networking Laboratory for Corporate Network Simulation Using GNS3
[IEEE] 2025-12-25 | Integrating Machine Learning with Cloud-Native Architecture for AJI Applications: Scalable Attendance and Payroll Solutions
[IEEE] 2025-12-25 | A Bibliometric Analysis of Natural Language Processing in the Study of Human Behavior
[IEEE] 2025-12-25 | Innovation and resilience in medical imaging servers: an alternative based on Synology DSM and ARPL on commodity hardware
[IEEE] 2025-12-25 | Cascade Control with Feedforward Compensation: Evaluation of alternatives
[IEEE] 2025-12-25 | Deep Learning and Vision-Based Systems for Crime Detection and Prevention in Urban Surveillance
[IEEE] 2025-12-25 | A Six-Pillar Governance Readiness Framework and Tool for ERP Migration Data Quality
[IEEE] 2025-12-25 | Optimization of Delivery Robot Area Mapping using Object Color Filter Reading Based on Odometry
[IEEE] 2025-12-25 | Deep Stacking Ensemble with Stacked LSTM and SVR for Analysis and Forecasting: A Case Study of Rice Price in East Java
[IEEE] 2025-12-25 | SMSHIELD: A Real-Time Smishing Detection in Mobile Messaging Systems using Deep Learning Approach
[IEEE] 2025-12-25 | Technological development of automotive MSEs in Peru as a catalyst for the Latin American Manufacturing Hub: A model with Machine Learning and DDMRP
[IEEE] 2025-12-25 | Effect of network quality on internet home complaints, queries, and payments
[IEEE] 2025-12-25 | Cooperation Without Compromise: Securing UAV Collaboration in the Low-Altitude Economy
[IEEE] 2025-12-25 | Dynamic Event-Based Adaptive Optimal Enclosure Control for Spacecraft Formation Against Noncooperative Targets
[IEEE] 2025-12-25 | Quantum Power Electronics - The Ultimate Path for Optimal Power Conversion?
[IEEE] 2025-12-25 | A Novel Post-Coded Time-Domain Channel Estimation for Chirp-Based Multicarrier Waveforms
[IEEE] 2025-12-25 | Perception System Credibility Testing for Automated Vehicles: Bayesian-Based Adaptive Search Method
[IEEE] 2025-12-25 | Foreword
[IEEE] 2025-12-25 | HHGSynergy: An Adaptive Heterogeneous Hypergraph Representation Learning Method for Anticancer Drug Synergy Prediction
[IEEE] 2025-12-25 | 2D Relative DoA Estimation in Cellular Networks Using Radio-Frequency Measurements and Machine Learning
[IEEE] 2025-12-25 | Exploring natural antifungals: the hidden power of native or exotic medicinal plants occurring in Imbabura’s local markets, Ecuador
[IEEE] 2025-12-25 | Public Procurement System Based on Blockchain and Ecuadorian Regulatory Framework
[IEEE] 2025-12-25 | AI in Communication Teaching and Practice: Use, Frequency and Limitations
[IEEE] 2025-12-25 | Performance and Analysis of LFU Cache Replacement Algorithm for NDN Using YANFD
[IEEE] 2025-12-25 | MLCAE: A Multi-Layered Configuration for Architectural Elements in Large-Scale Software Applications
[IEEE] 2025-12-25 | Mesh Network Monitoring Protocols
[IEEE] 2025-12-25 | Real-Time Network Infrastructure Monitoring: A Zabbix and Telegram Integration Case Study in the Energy Sector (EMELNORTE S.A.)
[IEEE] 2025-12-25 | Use of HT-PEMFC Fuel Cells Powered by Methanol Reformate Gas as a Source of Electricity and Heat in an Integrated off-grid Energy System
[IEEE] 2025-12-25 | Deepfake Image Recognition using Unified Hybrid Framework of CNN, Transformer, and Frequency Features
[IEEE] 2025-12-25 | Modification of WSM and WPM for Group Decision-Making Considering DMs’ Different Competence Domains
[IEEE] 2025-12-25 | Multilevel Image Thresholding of Transmission Line Insulators: Entropy-Based Performance Evaluation of PSO, NRBO, and WO Algorithms
[IEEE] 2025-12-25 | The Energy Transition in Japan: Current Situation and Future Prospects
[IEEE] 2025-12-25 | Balises for Precise Positioning in Automated Metro Transport
[IEEE] 2025-12-25 | Analysis of Airflow in an Inlet Duct with an Acoustic Wave-Dispersing Palisade
[IEEE] 2025-12-25 | Creative Education in the Age of AI-Driven Networks: Challenges and Opportunities for Intelligent Learning Systems
[IEEE] 2025-12-25 | Comparative Analysis of Refrigeration Systems in Commercial Display Cabinets Using R134a and R290
[IEEE] 2025-12-25 | TraceMate: Collaborating with AI in Test-Driven Programming
[IEEE] 2025-12-25 | Enhancing Fake News Detection through the Fusion of Classical and Advanced Machine Learning Models
[IEEE] 2025-12-25 | <i>DoublyAware:</i>
                    Dual Planning and Policy Awareness for Temporal Difference Learning in Humanoid Locomotion
[IEEE] 2025-12-25 | MarkingVLM: Vision-Language Model for Few-Shot IC Marking Detection_supp1-3638609.pdf
[IEEE] 2025-12-25 | Adaptive End-to-End Transceiver Design for NextG Pilot-Free and CP-Free Wireless Systems
[IEEE] 2025-12-25 | C4D 2025 Cover Page
[IEEE] 2025-12-25 | Artificial Intelligence and Consumer Information Search: A Review, Synthesis and Propositions
[IEEE] 2025-12-25 | Every Picture Tells a Managerial Story: A Review on Image Analysis Empowering Managerial Decisions
[IEEE] 2025-12-25 | Special Issue on AI for 6G O-RAN Intelligent, Cost-Efficient, and Secure Automation [From the Guest Editors]
[IEEE] 2025-12-25 | Graphene Based Dual Band MIMO Antenna for THz Applications
[IEEE] 2025-12-25 | Assessment of Green Hydrogen Production in a Laboratory Environment Using Surplus Photovoltaic Generation and Its Potential Applications
[IEEE] 2025-12-25 | Classification of Evapotranspiration using the Weather Forecasting Model and Self-Organizing Map Learning
[IEEE] 2025-12-25 | Extension of the Hill Cipher via Rhotrices and Heart-Oriented Multiplication with MS Excel Implementations for R3 and R5 Cases
[IEEE] 2025-12-25 | Design of a Lossy FDNC-Based Chua's Diode Utilizing VDTA for Chaotic Oscillator
[IEEE] 2025-12-25 | Information Entropy-Enhanced CNN-LSTM Model for Detecting Electromagnetic Information Leakage
[IEEE] 2025-12-25 | Practical Approach for Effective Project Management and Organization in Machine-building and Feeding System Projects
[IEEE] 2025-12-25 | Design, Simulation, and Implementation of a Three-Phase Inverter with SPWM Modulation Based on ESP32
[IEEE] 2025-12-25 | Hybrid EfficientNetB0 and MobileNetV2 Feature Fusion by KNN Classifier for Maize Disease Classification
[IEEE] 2025-12-25 | Techniques of Machine Learning to Eliminate Meteorological Dependencies in Solar Power Forecasting in Ecuador: Systematic Review
[IEEE] 2025-12-25 | Artificial Intelligence and Gastronomic Tourism: A New Frontier for Culinary Experiences
[IEEE] 2025-12-25 | Enhancing Perceptron Constancy for Real-world Dynamic Hand Gesture Authentication
[IEEE] 2025-12-25 | New Standards and Projects From the IEEE Vehicular Technology Society Intelligent Transportation Systems Standards Committee [Standards]
[IEEE] 2025-12-25 | Efficient Direct Instantaneous Torque Control Strategy for Switched Reluctance Starter/Generator
[IEEE] 2025-12-25 | A Spatio-Spectral-Temporal Progressive Algorithm for Infrared Tiny Target Detection in Cluttered Scenes
[IEEE] 2025-12-25 | ICON-SONICS 2025 TOC
[IEEE] 2025-12-25 | ITIS 2025 Committees
[IEEE] 2025-12-25 | Compact Transient Electromagnetic System for Detecting Non-Ferromagnetic Metal Targets on Underwater Mobile Platforms
[IEEE] 2025-12-25 | A Multidisciplinary Approach to the Geometrical Design of Axial Active Magnetic Bearings- Part II: Results and Validation
[IEEE] 2025-12-25 | AGAFNet: Adaptive Gated Attention Fusion Network for Accurate Nuclei Segmentation and Classification in Histology Images
[IEEE] 2025-12-25 | PushingBots: Collaborative Pushing Via Neural Accelerated Combinatorial Hybrid Optimization_supp1-3647767.mp4
[IEEE] 2025-12-25 | Data-Driven Adaptive Control of Distributed PV Clusters in Active Distribution Networks Based on Primal-Dual Transformation
[IEEE] 2025-12-25 | Learning From Planned Data to Improve Robotic Pick-and-Place Planning Efficiency
[IEEE] 2025-12-25 | Hi-STMNA-GCN: A Hierarchical Spatio-Temporal Multi-Neighbour Graph Network for Robust Alzheimer’s Disease Detection from fMRI Data
[IEEE] 2025-12-25 | IoMT Device Security: Systematic Review of Threats, Vulnerabilities, Attacks and Mitigation Strategies
[IEEE] 2025-12-25 | Security Assessment of Mobile Banking Apps in West African Economic and Monetary Union
[IEEE] 2025-12-25 | Combined approaches for cybersecurity awareness training in South Africa
[IEEE] 2025-12-25 | Using Electroencephalographic Data in Intelligent Human-Computer Interaction
[IEEE] 2025-12-25 | Exploring the relationship between game-player agency, student agency, engagement, and learning gain across age groups
[IEEE] 2025-12-25 | Fine-Tuning Wav2Vec2 for Low-Resource Kichwa Automatic Speech Recognition
[IEEE] 2025-12-25 | Multilayer Perceptron for Calculating Quantum Probabilities at the Hilbert Space
[IEEE] 2025-12-25 | Increasing OEE in the Flexible Packaging Industry: Integrating Predictive Maintenance, IoT, SMED and Centerline for Smart Manufacturing
[IEEE] 2025-12-25 | AI Kiln Solution For Optimized Control How To Reduce Energy Consumption And Emissions In The Clinker Process
[IEEE] 2025-12-25 | Review Of Usage / Application Of Clinker Replacement Materials (CRM) – Case Study: Production Of Low-Clinker Cements In Vertical Modular Roller Mills
[IEEE] 2025-12-25 | Enhancing Ball and Goal Detection with Image Preprocessing for Omni-Directional Vision
[IEEE] 2025-12-25 | The Inverted Grayscale Images for Lightweight CNN Rotten-Fruits Classifications
[IEEE] 2025-12-25 | Evaluation of Deep Learning-Based Long ShortTerm Memory Architecture Variants for Solana Cryptocurrency Price Prediction (SOL/USD)
[IEEE] 2025-12-25 | Measuring Student Perceptions in the Educational Metaverse using NPS-Based Group Analysis
[IEEE] 2025-12-25 | Brain Tumor Detection in Magnetic Resonance Imaging Using Class Balancing Techniques and Pretrained Neural Networks
[IEEE] 2025-12-25 | Efficient Algorithms for Active Impulsive Noise Control
[IEEE] 2025-12-25 | A Decoupled Biophysically-Inspired Architecture for Speech Enhancement
[IEEE] 2025-12-25 | Workshops Committee
[IEEE] 2025-12-25 | ITIS 2025 TOC
[IEEE] 2025-12-25 | FSEdit: Privacy-Preserving and Security–Enhanced Controllable Editing Framework for Cloud Storage
[IEEE] 2025-12-25 | TCS Jumper: A Bio-Inspired Jumping Robot Featuring High Energy Density Via Synergistic Deformation
[IEEE] 2025-12-25 | Learning-Based Safety-Aware Task Scheduling for Efficient Human-Robot Collaboration
[IEEE] 2025-12-25 | Flexible Piezo-resistive Strain Sensors Using Ternary Conductive Hybrid Nanocomposites Integrated Into Wearable Smart Gloves For Human-Machine Interface_supp1-3645819.mp4
[IEEE] 2025-12-25 | Autonomous LLM Agent: A Memory-Augmented, Edge-Optimized SHAP Explanations with Zero-Day Attack Resilience in IoT/Industrial IoT Networks
[IEEE] 2025-12-25 | DiFaReli++: Diffusion Face Relighting with Consistent Cast Shadows
[ACM] 2025-12-25 | Twins: Hardware Similarity Evaluation Framework Using Graph Neural Network
[IEEE] 2025-12-25 | A Story of Wind Offshore Energy Transition: The Case of Greece and Bulgaria
[IEEE] 2025-12-25 | AI-Assisted Coding: Evaluating the Effectiveness of ML Model Development Using ChatGPT
[IEEE] 2025-12-25 | Beyond the Code: Teaching SE Collaboration through Reflective and Social Thinking
[IEEE] 2025-12-25 | Transfer Learning as an Efficient Strategy for Satellite Image Classification in Resource-Constrained Environments
[IEEE] 2025-12-25 | Accessible Digital Content in Academic Literature: A Bibliometric Perspective
[IEEE] 2025-12-25 | Comparison of Machine Learning Techniques for the Early Detection of Stress in University Students
[IEEE] 2025-12-25 | Assessing User Interface (UI) of interactive educational projects in a service-learning context
[IEEE] 2025-12-25 | TreeReader: A Hierarchical Academic Paper Reader Powered by Language Models
[IEEE] 2025-12-25 | The emotional cost of service: a comparison between health and education professionals
[IEEE] 2025-12-25 | A study of the Shewhart Median Scheme with Estimated Process Parameters based on Expected Median Run Length for Sustainable Manufacturing
[IEEE] 2025-12-25 | SciConv: A Conversational Tool for Reproducibility
[IEEE] 2025-12-25 | Modeling Customer and Marketing Campaign Interactions through Social Network Analysis
[IEEE] 2025-12-25 | A Retrieval-Augmented Generation System for Automated Mind Map Creation and Enhanced Learning in Higher Education
[IEEE] 2025-12-25 | Enhancing User-centered Design with Large Language Models
[IEEE] 2025-12-25 | ConvoMap: Interactive Visualizations for Exploring Complex Conversations in Multi-Agent Systems
[IEEE] 2025-12-25 | Design of an optimal hybrid generation system based on distributed energy for isolated homes
[IEEE] 2025-12-25 | A Preliminary User Authorisation Model for Modern Public Cloud Storage Services
[IEEE] 2025-12-25 | Keynotes
[IEEE] 2025-12-25 | Characterization of Titan’s Northern Polar Terrains from Inversion of Cassini RADAR Data
[IEEE] 2025-12-25 | Perceived Intensity of Pneumatic Vibrotactile Stimuli: Effects of Pressure, Frequency, and Stiffness
[IEEE] 2025-12-25 | Investigation of the Flattening Effect on Heat Pipe Thermal Conductivity and Motor Performance
[IEEE] 2025-12-25 | Passive LC Relay Network-Enabled Battery-free Chipless IoT Smart Clothing for Simultaneous Multi-Site Hemodynamic Monitoring_supp1-3647891.docx
[IEEE] 2025-12-25 | ITIS 2025 Cover Page
[IEEE] 2025-12-25 | No Further Delay: Making Time an Ally of Edge Computation of AI Workloads
[IEEE] 2025-12-25 | Enhancing Spectrum Utilization in Mode S Surveillance Systems via 1090ES ADS-B
[IEEE] 2025-12-25 | A Compact Microwave Heating Platform Complemented by Nonlinear Model-Based Closed-Loop Temperature Control_supp1-3640415.docx
[IEEE] 2025-12-25 | Optimal Topology Configuration Analysis in Distribution Systems Using Incidence Matrix and Manta Ray Foraging Optimization Algorithm
[IEEE] 2025-12-25 | Development of a Log-Periodic Dipole Antenna for Monitoring Electromagnetic Emissions from Unintentional Space Sources
[IEEE] 2025-12-25 | Debugging into Existence with Program Synthesis
[IEEE] 2025-12-25 | Benchmarking Wav2Vec and Traditional Speech Recognition in Speech Transcription
[IEEE] 2025-12-25 | NAO Robot’s Autonomous Reading and Interaction with Printed Texts
[IEEE] 2025-12-25 | Autonomous Mobility Hits the Streets [Connected and Automated Vehicles]
[IEEE] 2025-12-25 | Hybrid Estimation of Dynamic Behavioral Models Using Differential Evolution and Grey-Box Refinement
[IEEE] 2025-12-25 | Implementation of Inverse Kinematics and Trajectory Planning Algorithms on Hexapod Robot
[IEEE] 2025-12-25 | Multilingual Audio-Based Depression Detection using Audio Augmentation and Data Efficient Image Transformer
[IEEE] 2025-12-25 | Induction Motor Investigation Models in the Matlab/Simulink Environment
[IEEE] 2025-12-25 | Chess Algorithm-Based Optimization of Carbon Tax Coefficients for Food Consumption and Carbon Footprint Management
[IEEE] 2025-12-25 | Prediction of Absence Epileptic Seizures in Multichannel EEG Signals Using Hybrid Deep Learning Models: State of the Art, Challenges, and Future Perspectives
[IEEE] 2025-12-25 | Sentiment Analysis of Carbon Trading in Indonesia: A Machine Learning Approach Using Naïve Bayes
