[2026-07-16 10:51:43] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-07-15
正在获取论文...
[arXiv] 2026-07-15 | A Spectrally Damped Tensor Randomized Kaczmarz Method for Doubly Noisy Tensor Systems
[YES] 71/200 | M3F-UAV: A Missing-Modality Multimodal Foundation Model for Low-Altitude Wireless Sensing
[NO] 72/200 | Local Certification of Vertex and Edge Connectivity
[NO] 73/200 | WAVE-Stereo: Warp-Aligned Volume Encoding for Stereo Matching
[NO] 74/200 | Proof of concept of heterodyne interferometry at 10.6 um using photonic correlation
[NO] 75/200 | The Hyperspherical Geometry of CLIP Latent Space: A Semantic Mixture Model
[NO] 76/200 | T3HG-Editor: Text-driven 3D Human Garment Editing with Body Priors Embedded in SMPL-X
[NO] 77/200 | CIMERA: Compute-in-Interconnect and Memory with Reconfigurable Precision for LLM Inference
[NO] 78/200 | Human4K: A Large-Scale 4K Multi-View Mocap Dataset for Whole-Body 3D Human Reconstruction
[NO] 79/200 | The potential of quantum computers for Particle Image Velocimetry
[NO] 80/200 | Assessing the sensitivity to Axion-Like-Particle Dark Matter with very-high-energy gamma-ray observations of selected AGN and galaxy cluster pairs
[NO] 81/200 | gDMC: A Generic Distributed Model Counting Framework via Work-Stealing
[NO] 82/200 | Separating Geometry From Interference in Constrained Quantum Optimization
[NO] 83/200 | Phase diagram of one-dimensional bosons with Rydberg-dressed soft-core interactions
[NO] 84/200 | Design, Modeling and Experimental Validation of a Miniature Hybrid Underwater Glider With Large-Range Foldable Deflectable Wings
[NO] 85/200 | UESF-Bench: Benchmarking and Probing for Unified Embodied Seeking and Following
[NO] 86/200 | A Telemetry-Driven Model for Quantifying Upgrade Risk in Durable Workflow Execution
[NO] 87/200 | The SIGReg Objective as Variational Free Energy: A Theoretical Active-Inference Account of JEPA World Models
[NO] 88/200 | Accelerating gas-network feasibility screening with a physics-informed graph neural network surrogate
[NO] 89/200 | Gauge-Invariant, Parameter-Insensitive Regularization for Potential Recovery from Flow on Directed Graphs
[NO] 90/200 | Automatic Ordinary Differential Equations Discovery For Biological Systems Using Large Language Model Powered Agentic System
[NO] 91/200 | Semantic Anchoring for Robotic Action Representations
[NO] 92/200 | Active Trust Management for Successful Human-Robot Teaming: Moving from a Trust Repair to a Trust Satisficing Perspective
[NO] 93/200 | SAFETY SENTRY: Context-Aware Human Intervention via EXECUTE-ASK-REFUSE Routing
[NO] 94/200 | Non-cancellative varieties, maximal tori, and the Makar-Limanov invariant
[NO] 95/200 | Using backscattered thermal neutrons to monitor boron concentration during BNCT: a Monte Carlo feasibility study
[NO] 96/200 | Rotation topological states: theory and material realization
[NO] 97/200 | IMMNet: Hybrid Fusion of Model-based and Data-driven Approaches for Maneuvering Target Tracking
[NO] 98/200 | Grounded world models in biological organisms and future embodied AI
[NO] 99/200 | Improving reddening estimates for RR Lyrae stars in the Gaia bands: a machine learning approach to the PAC(Z) relation
[NO] 100/200 | Earthquaker-AI: A Retrieval-Augmented Generation Framework with Rubric-Based Assessment for Primary School Earthquake Education
[NO] 101/200 | Lattice Musicking
[NO] 102/200 | Agriculture Punk: Hello World from Breadboard Farming
[NO] 103/200 | Cage-based Texture Transfer with Geometric Filtering
[NO] 104/200 | Abstract Cards
[YES] 105/200 | WS28: The 4th Workshop on Near-Field Communications, Localization, and Sensing
[NO] 106/200 | Retraction Notice: A Conceptual Analysis of Machine Learning Towards Digital Marketing Transformation
[NO] 107/200 | Message from the Chairman
[NO] 108/200 | Retraction Notice: Enhanced Deep Learning Algorithm for Skin Cancer Detection
[NO] 109/200 | Retraction Notice: Comparison of Regression Techniques and Integration Models Using Machine Learning
[NO] 110/200 | Retraction Notice: A Comprehensive Analysis of Emerging Threats in the Digital Era
[NO] 111/200 | Retraction Notice: Sales Prediction For Food Products Using Machine Learning
[NO] 112/200 | Retraction Notice: Dynamic Path Allocation Based on Reinforcement Learning in Iot Systems
[NO] 113/200 | Wireless Power Transfer Preliminary Validation of a Quasioptical Lunar Solar Power Satellite
[NO] 114/200 | Bifurcation Analysis Framework of Spiking Neuron Models_supp1-3710811.pdf
[NO] 115/200 | Captivity-Escape Games as a Means for Safety in Online Motion Generation
[NO] 116/200 | Neuroscience Inspired Graph Operators Towards Edge-Deployable Virtual Sensing for Irregular Geometries
[NO] 117/200 | G
                    <sup>2</sup>
                    FL: Robust Federated Learning for GNSS Spoofing Detection
[NO] 118/200 | Proof of Concept of QCSP Frames in Earth-to-LEO Satellite Transmission
[NO] 119/200 | NeuroSymbolic Robustness Analysis for Discrete Systems with Respect to Transition Deviations
[NO] 120/200 | CED-TRL: Curriculum Environment Design for Temporally Extended Reinforcement Learning Tasks
[NO] 121/200 | Improving Energy Sustainability of Multi-RAT IoT Coexistence Networks in the Presence of Adjacent Channel Interference and Hardware Impairments
[NO] 122/200 | Novel 3D Film Laminate Package for High Efficiency 7 GHz GaN Power Amplifier Module
[NO] 123/200 | Full-Circuit Modeling and Nonlinear Analysis of Flux-Pumped SQUID Amplifiers in Keysight Advanced Design System (ADS)
[NO] 124/200 | AI-Powered Adaptive Learning System for Dyslexic Children
[NO] 125/200 | CTA-Based Internal Carotid Artery Segmentation and DRR Generation for Enhanced Neurovascular Visualization
[NO] 126/200 | Sleep-Inspired Replay-Driven Online Temporal Learning with Memristive Neuromorphic Hardware for Edge Systems
[NO] 127/200 | Open-source asynchronous periphery for mixed-signal neuromorphic chips
[NO] 128/200 | Age of Information Minimization for Buffer-Aided Uplink Systems via Movable Antennas
[NO] 129/200 | Cramér–Rao Lower Bound for Barycenter Estimation of an Extended Target in the Near Field
[NO] 130/200 | Enhancing Parkinsons Disease Diagnosis Using ConvNeXt and Hand-Drawn Image Biomarkers
[NO] 131/200 | Geometric Cross-Layer NOMA-IRSA Random Access Scheme for GEO HTS Networks
[NO] 132/200 | Multi-Sensor Based Automatic Food Authenticity Detection System
[NO] 133/200 | Index Packet Error Correction in Digital Semantic Communications Through Vector-Quantized Diffusion Models
[NO] 134/200 | Modeling and Scheduling of Hospital Robot Fleets Using Switching-max-plus Algebra
[NO] 135/200 | From Domain Model to High-Mix Low-Volume Production Line Schedules
[NO] 136/200 | Efficient and Interpretable Tabular Learning Via Visual Transformation
[NO] 137/200 | D-Band Variable-Gain Balanced Power Amplifier with 36% FBW, 18.2 dBm PSAT and Reconfigurable Adaptive Bias in 22-nm FD-SOI
[NO] 138/200 | SAGE: Student-Focused Adaptive Guidance Engine for Intelligent Tutoring with Regulated Learning
[NO] 139/200 | A $10-\mathrm{W} 7-\text{GHz}$ Gan-on-Si Doherty Power Amplifier with Hybrid MMIC-Module Integration for 6G Base-Station Applications
[NO] 140/200 | A Virtual Reality-Based Interior Design Framework Built on Cloud for Scalable and Immersive Experiences
[NO] 141/200 | An Intelligent Traffic Estimation Approach to 6G Networks for Industry Applications based on Time-Frequency Features
[NO] 142/200 | Data-driven diagnosis of failures in max-plus linear systems: a consistency-based approach
[NO] 143/200 | A 2–18 GHz Integrated 4-Channel Transmit/Receive Beamformer in 65-nm CMOS
[YES] 144/200 | Transciphering of Lightweight Symmetric Ciphertexts for Privacy-Preserving Generative AI Inference in Telecom Systems
[NO] 145/200 | 0.5-to-52 GHz High Power Nonuniform Distributed Amplifier in 60 nm GaN/Si Process
[NO] 146/200 | CAPTAIMN: A Real-Time LLM and RAG Based Decision Support System for Navigational Safety and COLREGs Compliance
[NO] 147/200 | Model Predictive Control (MPC) Based Multi-Output DC to DC Converter for Electric Vehicle Applications
[YES] 148/200 | Low-Complexity Near-Field Localization in Multipath Environment by ELAA Partitioning in Presence of Mutual Coupling
[NO] 149/200 | Emulation Digital Twin Framework: Case Study on NGAP Attacks in 5G Control Plane
[NO] 150/200 | Secure Beamforming for Pinching-Antenna Systems
[YES] 151/200 | Transmit Beampattern Design for Continuous Aperture Array (CAPA)-aided Sensing Systems
[YES] 152/200 | Packaging and Antenna Design for a 46 -Element Dual-Surface Mmwave Active STAR-RIS Built with CMOS RFICs
[NO] 153/200 | ClimaStyle: A Climate-Aware Visual Try-On with Prompt-Based Segmentation
[NO] 154/200 | Factor Graph Optimization Based Data Fusion for Accurate 3-D Positioning Using UWB and IMU
[YES] 155/200 | Architectural Enhancements for Efficient Sensing Data Utilization in 6G ISAC
[NO] 156/200 | Evaluation of GenLLM–based Air Traffic Complexity Assessment
[NO] 157/200 | Distributed Pilot Framework for OTFS: Achieving Interference Whitening and PAPR Reduction
[NO] 158/200 | A Single-Stage Feedback-Feedforward D-Band LNA in SiGe BiCMOS
[NO] 159/200 | Design Method of Broad Flat-Top Fan-Beam Complementary Antenna for Radar Applications
[NO] 160/200 | Equivalent Circuit Models for Waveguide-Fed, Resonant, Metamaterial Elements
[NO] 161/200 | Towards Inclusive Retrieval-Augmented Generation: Challenges and Opportunities for Cognitively Impaired Users
[NO] 162/200 | Reasoning-Grounded Intent Injection for Generative Recommendation
[NO] 163/200 | LLM-based Semantic and ID Representations for Sequential Recommendation
[NO] 164/200 | DCGL: Dual-Channel Graph Learning with Large Language Models for Knowledge-Aware Recommendation
[NO] 165/200 | Privacy Preserving Information Retrieval: Defining Privacy Research Pillars for a Future Research Agenda
[NO] 166/200 | RoTE: Coarse-to-Fine Multi-Level Rotary Time Embedding for Sequential Recommendation
[NO] 167/200 | Chunk-Wise Quantization for Graph Collaborative Filtering
[NO] 168/200 | Inductive Subgraphs as Shortcuts: Causal Disentanglement for Heterophilic Graph Learning
[NO] 169/200 | ADaFuSE: Adaptive Diffusion-generated Image and Text Fusion for Interactive Text-to-Image Retrieval
[NO] 170/200 | CARD: Non-Uniform Quantization of Visual Semantic Unit for Generative Recommendation
[NO] 171/200 | Exploring and Improving Cross- and Multi-Domain Personalized Question Answering via a Dual Retrieval Augmentation Approach
[NO] 172/200 | SECRET: SEarch query Classification with label RETrieval
[NO] 173/200 | Intelligent Fractional Graph Signal Framework for Multi-Grade Brain Tumor Classification in IoT-Healthcare
[NO] 174/200 | Confidence-Aware Hard-Soft Fused Tree Search for MIMO Detection_supp1-3713356.pdf
[NO] 175/200 | The Multivariate Inverse Gamma Distribution and its Application to Wireless Communication Systems
[NO] 176/200 | A 300-GHz 2-D Scalable 4 × 4 Phased-Array Receiver With Half-Wavelength Element Spacing in 65-nm CMOS
[NO] 177/200 | Retraction Notice: Colorization of Black &amp; White Videos &amp; Photographs
[NO] 178/200 | LWL-RT-DETR: A Lightweight Collaborative Model for Wildlife Detection
[NO] 179/200 | A Contemporary Ontology-Based Approach to Geotechnical Knowledge Formalization and Regulatory Compliance_supp2-3713229.xlsx
[NO] 180/200 | Intelligent Hydrocarbon Flame Detection Method Based on ECANet Attention Mechanism and Multi-modal Decision Fusion
[NO] 181/200 | Domain-Adaptive Self-Supervised Contrastive Hashing for Scalable Chest Radiograph Retrieval
[NO] 182/200 | Ghost ReSTIR: Volumetric Resampling with Ghost Vertices in Null-Scattering Space
[NO] 183/200 | Improving Ad-hoc Search Effectiveness for Conversational Information Retrieval via Model Merging
[NO] 184/200 | Can QPP Choose the Right Query variant? Evaluating Query Variant Selection for RAG Pipelines
[NO] 185/200 | Load-sensitive Selective Pruning in Dense Retrieval
[NO] 186/200 | Beyond Static Diffusion: Explicitly Modeling Temporal Patterns in Sequential Recommendation
[NO] 187/200 | Attention Grounded Enhancement for Visual Document Retrieval
[NO] 188/200 | A Sensitivity-Aware Test Collection for Search Among Personal Information
[NO] 189/200 | From Top-1 to Top-K: A Reproducibility Study and Benchmarking of Counterfactual Explanations for Recommender Systems
[NO] 190/200 | From Single- to Cross-Document: Benchmarking Multi-Granularity Event Analysis of Large Language Models
[NO] 191/200 | Uncertainty Quantification for Retrieval-Augmented Reasoning
[NO] 192/200 | Retraction Notice: Sports Event Data Acquisition Method Based on Wireless Sensor Technology and BP Neural Networks
[NO] 193/200 | Copyright Page
[NO] 194/200 | WS27: International Workshop on Sustainable and Sustainability-Enabling 6G
[NO] 195/200 | Retraction Notice: Neural Network to detect Cervical Cancer early using Pap smears Images
[NO] 196/200 | Confused Deputy Attack Against Model Context Protocol
[NO] 197/200 | Retraction Notice: Content Based Offline Fake News Detection using Classification Technique
[NO] 198/200 | Retraction Notice: Land Use and Land Cover Classification Using Recurrent Neural Networks with Shared Layered Architecture
[NO] 199/200 | Potential risk mining of battery systems for electric vehicles: Multi-level screening and statistical analysis of safety features_supp1-3713031.docx
[NO] 200/200 | First Plan Then Evaluate: Multi-Target Planning With Post-Planning Success Evaluation Improves Learning-Based Grasping Pipelines
筛选完成：共 200 篇；Yes = 8 篇；已保存到 papers/select_paper2026-07-15.json。
邮件发送成功！
[2026-07-16 11:20:38] 任务执行成功！
