[2026-09-03 13:10:11] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-09-02
正在获取论文...
[arXiv] 2026-09-02 | A Survey of Decentralized Physical Infrastructure Network,Research Directions, and Open Challenges
[NO] 71/200 | A Two-Variable Zeta Function for a Parity-Perturbed Hofstadter Q-Recursion: The Exceptional t = -1 Slice and Gaussian Boundary Layers
[NO] 72/200 | Membranes and Maps
[NO] 73/200 | CA-OPD: Confidence-Aware On-Policy Distillation for Structured Visual Prediction
[NO] 74/200 | Strictly solvable $d=4$ quantum field theory models with unitarity violation. Possible implications for baryon asymmetry of the Universe and dark matter
[NO] 75/200 | Inside-out growth and the kiloparsec-scale star formation main sequence for low-surface-brightness disk galaxies in MaNGA
[NO] 76/200 | 3D hybrid cellular Potts model with a discrete deformable fiber network: modeling cell contraction and extracellular matrix remodeling
[NO] 77/200 | Surprises of Klein paradox
[NO] 78/200 | Information Density Imbalance in Visual Object Detection
[NO] 79/200 | NE-R1: Enhancing Named Entity Recognition Model via Reinforcement Learning
[NO] 80/200 | Towards a Foundational Ontology for Identifying and Resolving Contradictions in Dialogue-based Human-Robot Interactions
[NO] 81/200 | Collective Cell Fluidity Controls Active Prestress Transmission in Cell-Extracellular-Matrix Tissues
[NO] 82/200 | Fair Stable Matching: A Nash Social Welfare Approach
[NO] 83/200 | Fungal Memory and Minimal Cognition
[NO] 84/200 | SonicCaps: Large-Scale Diverse and Fine-Grained Captioning for Improved Audio-Retrieval
[NO] 85/200 | Toward High-Resolution Detection of Target Fragmentation: TEA-Sensitized NIT for Proton Therapy Applications
[NO] 86/200 | ORB-SVM : An Innovative Hybrid Framework for Efficient Brain Tumor Detection from MRI Scans
[NO] 87/200 | Surface brightness inhomogeneity on the helium-rich hot subdwarf in the X-ray binary HD 49798
[NO] 88/200 | Boundary-Geometry-Driven Black Hole Formation in Vacuum
[NO] 89/200 | Affine Copies of Three-Point Patterns in Sets of Integers
[NO] 90/200 | Improved uncertainty representation for reducing artificial energy production in structured input-output stability analysis
[NO] 91/200 | Meeting the Coming Wave: The Emerging Politics of AI and Work across 33 Parliaments
[NO] 92/200 | SEAL: Reinforcing Global Safety in Mixture-of-Experts through Shared Expert ALignment
[NO] 93/200 | If It Moves, Radar Knows: A Physics-Aware Radar Transformer for Class-Agnostic Moving-Object Detection
[NO] 94/200 | Disjoint strong transitive operators on Hilbert C*-modules
[NO] 95/200 | Lyapunov graphs of Non-singular Morse-Smale flows on $S^1 \times S^2$
[NO] 96/200 | Retrosynthesis of Synthetic Media for Explainable AI Provenance Forensics
[NO] 97/200 | CAPTURE: Disentangling Preference Drift from Memory Poisoning in Personalized LLM Agents
[NO] 98/200 | Quantization and process
[NO] 99/200 | Scattered data interpolation on the torus by compactly supported multinode Shepard operators
[YES] 100/200 | Bidirectional CFO Separation for Radial Velocity Estimation In 5G NR TDD V2X Links
[NO] 101/200 | Graph Attention Learning for Risk Early Warning in Grassroots Governance Using Multi Source Heterogeneous Data
[NO] 102/200 | PLM-Driven Teaching Resource Lifecycle Management Platform: Construction and Empirical Efficacy Study
[NO] 103/200 | Evaluation of the Quality of Environmental Accounting Information Disclosure Based on Deep Learning Theory: A Case Study of China Shenhua Enterprise
[NO] 104/200 | DA-CTransNet: A Transformer-CNN Hybrid Framework for Dermoscopy ImageSegmentation via Domain Adaptation and Cascaded Boundary Refinement
[NO] 105/200 | Public Acceptance Prediction of Vehicle-Battery Separation Insurance for Battery-Swapping New Energy Vehicles Using Random Forest Under the Background of Carbon Neutrality
[NO] 106/200 | Establishing Confidence in Average Metrics
[NO] 107/200 | AER-Bench: A Benchmark for Emotion Perception and Reasoning in Fine Art
[NO] 108/200 | A Sarcomere-Inspired Magnetic Recruitment Array Actuator for Load-Adaptive Robotic Arm Actuation
[NO] 109/200 | DIFedXGB: A Lightweight Privacy-Preserving XGB Framework for Vertical Federated Learning
[NO] 110/200 | Application of Artificial Intelligence in the Processing of Hydrographic Data from a Single-Beam Echo Sounder to Optimise Depth Point Reduction and Generate a Digital Bathymetric Model_supp1-3729269.docx
[NO] 111/200 | Limitations of Layer 2 Blockchain Solutions in Constrained Environments: Bridging the Physical Efficiency Gap
[NO] 112/200 | Low-Sidelobe Beamforming for Cylindrical Conformal Arrays With IMM-Kalman Tracking and IRQM Dual-Ascent Optimization
[NO] 113/200 | High-Performance P-Channel FDSOI MOSFETs via Modified Silicide-as-Diffusion-Source-Induced Dopant Segregation (M-SADS)
[NO] 114/200 | A Synonymous Variational Perspective on the Rate-Distortion-Perception Tradeoff
[NO] 115/200 | Enhancing Image Deblurring through Diffusion in Low-Frequency Latent Space
[NO] 116/200 | San Francisco Bay Area Council Chapter Making an Impact [Society News]
[NO] 117/200 | A Modular All-Solid-State Impedance-Matched Pulsed Power Generator Utilizing GaN Transistors
[NO] 118/200 | Modeling and Quantifying the Influence of Personal Personality on Multi-platform Information Propagation Dynamics_supp1-3729866.docx
[NO] 119/200 | Aluminum air bridges for integrated superconducting quantum circuits
[NO] 120/200 | Cryptic Binding Site Prediction Using Equivariant Graph Neural Networks with Kolmogorov-Arnold Networks_supp1-3729577.docx
[NO] 121/200 | A Confidence-Aware Semi-Supervised Learning Framework for Automatic Modulation Recognition
[NO] 122/200 | Title Page
[NO] 123/200 | A Compact Four-Port Dual-Polarized MIMO Antenna Using a Multifunctional Orthogonal Polarization Backplane
[NO] 124/200 | An SISL Fed Circularly Polarized Antenna Based on M-MAM Technology for Terahertz Applications
[NO] 125/200 | Role-Based Conflict Negotiation for Multi-Agent Cooperative Autonomous Driving via E-CARGO
[NO] 126/200 | A Hybrid XGBoost–Random Forest Model for Fault Prediction in Semiconductor Manufacturing
[NO] 127/200 | HC-DDA: Horizon Conditioned Dual Domain Adaptation for Few Shot Forecasting with SEMPO
[NO] 128/200 | Anomaly Analysis for ILS Final Approach Using Clustering and LSTM-VAE
[NO] 129/200 | A Spatial Attention Enhanced Underwater Coral Reef Bleaching Detection Method Based on YOLOv8
[NO] 130/200 | FloKi: Efficient Network-Wide Flooding
[NO] 131/200 | Design of a Ka-Band Mechanically Tunable Bandpass Filter based on Gap Waveguide
[NO] 132/200 | Fake News Detection Based on Semantic Disentanglement and Cross-Layer Contrastive Learning
[NO] 133/200 | Performance Evaluation for Flying Vehicle on Mars
[NO] 134/200 | What is a Digital Twead? Multi-Modal Multi-Models for Holistic Engineering Governance
[NO] 135/200 | Robust Safety-Critical Control of Planar Robotic Manipulators Under Disturbances
[NO] 136/200 | Dimension-Reduced MLAO for Tri-State Irregular-Geometry Antenna Design
[NO] 137/200 | Proof-of-Concept of a Load-Sensitive Steering Caster Using a Human-Ridden Platform Cart
[NO] 138/200 | A Hierarchical Multi-Agent System for Automated RF Circuit Design: A 2.4-GHz Chebyshev Filter Case Study
[NO] 139/200 | Autonomous Mobile Robot Navigation Using Adaptive Particle Filter
[YES] 140/200 | Random-Access Preamble Detection in MIMO-OTFS Systems
[NO] 141/200 | A Co-Design Framework for Clinician-Driven VR Psychosis Awareness Training: Scenario Modelling, Authoring, and Evaluation
[NO] 142/200 | Latent Geometric Backbones for Resilient Greedy Routing in Hyperbolic Networks
[NO] 143/200 | A Dual-Layer Low-Pass Frequency Selective Surface With Wideband Suppression
[NO] 144/200 | A Low-Sidelobe Dual-Polarized Endfire Antenna Array
[NO] 145/200 | Highly Selective Frequency-Selective Surface For High-Power Applications
[NO] 146/200 | Evolutionary Algorithms for Feature Selection in Dysarthric Speech Recognition
[NO] 147/200 | Design of Circularly Polarized Frequency-Scanning Antenna Based on SIW Series-Fed Network
[YES] 148/200 | Deep Learning-Based Multimodal UGV and UAV Secure Command Relay System: An Active and Reinforcement Learning Approach
[NO] 149/200 | Robustness Evaluation of Camera–4D Radar Fusion under Sensor Corruptions
[NO] 150/200 | A 60 GHz Millimeter-Wave Radar System for Human Respiration Sensing Toward Phased-Array Applications
[NO] 151/200 | Adaptive Continuous Wavelet Transform Optimized by Bayesian Algorithm for Rolling Bearing Fault Diagnosis
[NO] 152/200 | Impact of Ionospheric Scintillation Parameters on the Performance and Integrity of SoL GPS/SBAS Receivers in GBAS CAT-I Operations
[NO] 153/200 | The Dual-Channel Interaction Network with Adaptive Loss for Underwater Image Denoising
[NO] 154/200 | A Set-Based Predictive Control Procedure Under Consideration of Functional and Extra-Functional Constraints
[NO] 155/200 | O-RAN SMO Extension: Addressing the Challenges of Heterogeneity with UM-L
[NO] 156/200 | Fast Shielding-Effectiveness Prediction of Square Ventilation Aperture Arrays Using a ResMLP
[NO] 157/200 | A C/Ku Dual-Band Frequency-Reconfigurable Switchless Class-G Power Amplifier
[NO] 158/200 | Off-Track Reduction for Non-Standard N-Trailers Along Backward-Followed Paths
[NO] 159/200 | Lightweight Dual-Modal Feature Fusion and Matching Algorithm for UAV Target Detection
[NO] 160/200 | RAST 2026 Blank Page
[NO] 161/200 | ICCCAS 2026 Author Index
[NO] 162/200 | Nonlinear Arbitration for AI-Powered Human–Machine Systems: A Fused Distributional Approach_supp1-3722354.pdf
[NO] 163/200 | Leakage-Guided Selective Threshold Homomorphic Aggregation for Privacy-Preserving Federated Learning
[NO] 164/200 | Multi-Strategy RAG with ATT&amp;CK STIX Metadata-Enriched Embeddings for Technique Extraction
[NO] 165/200 | Blind in a Changing Neighborhood: Data-Driven Distributed Output-Feedback Consensus Protocol for Multi-Agent Systems under Switching Topology
[NO] 166/200 | Robust Heterogeneous Multi-Kernel Maximum Correntropy Unscented Kalman Filter for Nonlinear Control Systems under Non-Gaussian Noises
[NO] 167/200 | Data-Driven Control of Continuous-Time Systems: A Synthesis-Operator Approach
[NO] 168/200 | Empower Yourself! IEEE PELS
[NO] 169/200 | DS-MRNav: Distributed Multi-Robot Navigation With Static Obstacles Via a Decoupled-State Dual-Stream Framework
[NO] 170/200 | QoE-Foresight: Performance-Aware Drift Detection and Self-Healing for Adaptive Video Streaming QoE Prediction Systems
[NO] 171/200 | Table of Contents
[NO] 172/200 | SW-YOLOv5 Based ROI Compression for Intracranial hemorrhage CT Images with DICOM 3.0 Compatibility in Remote Medical Applications
[NO] 173/200 | Human-AI Co-Creation in Visual Communication Design: A Framework and Empirical Study
[NO] 174/200 | Application Analysis of Modern Computer Technology in Agricultural Economic Management
[NO] 175/200 | Detecting High-Potential SMEs with Heterogeneous Graph Neural Networks
[NO] 176/200 | Optimization of Interactive Models in Ideological and Political Education Classrooms Based on Big Data Analysis
[NO] 177/200 | Research on Collaborative Education Support System for Industry-Education Integration in Higher Vocational Colleges under the New “Double High” Plan
[NO] 178/200 | Dynamic Weight Fusion Mechanism in Neural Machine Translation via Multilingual Context Modeling
[NO] 179/200 | Multimodal Transformer-Based Automated Metadata Generation and Cataloging Framework for Digital Libraries
[NO] 180/200 | Hybrid Financial Time Series Model Integrating VMD-STFT Analysis and Attention Mechanisms
[NO] 181/200 | Integrated Design of Ridge Waveguide Tight and Loose Coupler
[NO] 182/200 | Optimizing Age of Information in Vehicular Edge Computing with Federated Graph Neural Network Multi-Agent Reinforcement Learning
[NO] 183/200 | Low-Power Gesture Recognition and Airborne Object Sensing Using A Sparse Convex PMUT Array_supp1-3727994.pdf
[NO] 184/200 | Unified Outage and Throughput Analysis for NOMA–MIMO Keyhole Channels under Imperfect SIC
[NO] 185/200 | Uni-PrevPredMap: Extending PrevPredMap to a Unified Framework of Prior-Informed Modeling for Online Vectorized HD Map Construction_supp1-3729481.mp4
[NO] 186/200 | MPECT: Main Peak Extraction for Unambiguous Code Tracking in OFDM-BOC Navigation Signals with a Two-Stage DLL Architecture
[NO] 187/200 | Architecting and Orchestrating Memory-Proximate SIMT Cores: A Quantitative Design Space Exploration for Processing-near-Memory in GPUs
[NO] 188/200 | ATRS: Adaptive Trajectory Re-Splitting Via a Shared Neural Policy for Parallel Optimization
[NO] 189/200 | Towards Unified Neurosymbolic Reasoning on Knowledge Graphs
[YES] 190/200 | High-Throughput RTL Design of a Streaming ZP-OTFS Wideband Channel Estimator
[NO] 191/200 | Reproducing CORRECT for Scientific Claim Verification on Check-COVID: Stability and Sensitivity Analysis
[NO] 192/200 | Design of Transceiver Integrated Amplifier Antenna Based on Single Vivaldi Antenna
[NO] 193/200 | Design of High-Efficiency Power Amplifier Using Surrogate-Model-Based Optimization
[NO] 194/200 | NeuroVox-CP: Self-Supervised EMG–Speech Fusion for Motor Function Prediction
[NO] 195/200 | Numerical Investigation of Secondary Injection Effects on Multiple Dual Bell Nozzle Configurations
[NO] 196/200 | Research on a ResNet34-Based Fundus Image Classification Method and System Application for Eye Diseases
[NO] 197/200 | Performance Evaluation of LLMs for Generating and Enriching Application Behavioural Automata
[NO] 198/200 | Comparative Performance Analysis of SDN/OpenFlow POX Versus OSPF Traditional Networking
[NO] 199/200 | Development of a Digital Twin for Automated Production of Ayran and Sary Irimshik Based on SCADA and IoT Technologies
[NO] 200/200 | GyroStep: A Portable IMU-Based System for Knee Flexion Measurement and Real-Time Analysis
筛选完成：共 200 篇；Yes = 6 篇；已保存到 papers/select_paper2026-09-02.json。
邮件发送成功！
[2026-09-03 14:05:20] 任务执行成功！
