[2025-12-03 09:14:25] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-02
正在获取论文...
[arXiv] 2025-12-02 | On the ellipticity of the higher rank numerical range
[arXiv] 2025-12-02 | Reasoning Path and Latent State Analysis for Multi-view Visual Spatial Reasoning: A Cognitive Science Perspective
[arXiv] 2025-12-02 | Instability triggered by mixed convection in a thin fluid layer
[arXiv] 2025-12-02 | Unconventional superconductivity from crystal field fluctuations
[arXiv] 2025-12-02 | Chromatic derivatives, chromatic expansions and associated spaces II
[arXiv] 2025-12-02 | Parity results for the reciprocals of false theta functions
[arXiv] 2025-12-02 | LeechHijack: Covert Computational Resource Exploitation in Intelligent Agent Systems
[arXiv] 2025-12-02 | Associative Memory using Attribute-Specific Neuron Groups-1: Learning between Multiple Cue Balls
[arXiv] 2025-12-02 | Geant4 Modeling of Energy and Charge Deposition in Satellites Solar Cells
[arXiv] 2025-12-02 | Entropy rigidity of $u$-Gibbs measures
[arXiv] 2025-12-02 | Remarks on Kähler Orbifolds of non-negative Ricci curvature
[arXiv] 2025-12-02 | When Does Verification Pay Off? A Closer Look at LLMs as Solution Verifiers
[arXiv] 2025-12-02 | The xApp Store: A Framework for xApp Onboarding and Deployment in O-RAN
[arXiv] 2025-12-02 | From two-dimensional continuous maps to one-dimensional discontinuous maps: a novel reduction explaining complex bifurcation structures in piecewise-linear families of maps
[arXiv] 2025-12-02 | Tunable polarization-entangled near-infrared photons from orthogonal GaAs nanowires
[arXiv] 2025-12-02 | Rethinking Generalized BCIs: Benchmarking 340,000+ Unique Algorithmic Configurations for EEG Mental Command Decoding
[arXiv] 2025-12-02 | Many-body $k$-local ground states as probes for unitary quantum metrology
[arXiv] 2025-12-02 | Bright and dark breathers on an elliptic wave in the defocusing mKdV equation
[arXiv] 2025-12-02 | Layout Anything: One Transformer for Universal Room Layout Estimation
[arXiv] 2025-12-02 | Experimental Characterization of Fingertip Trajectory following for a 3-DoF Series-Parallel Hybrid Robotic Finger
[arXiv] 2025-12-02 | EGGS: Exchangeable 2D/3D Gaussian Splatting for Geometry-Appearance Balanced Novel View Synthesis
[arXiv] 2025-12-02 | DiverseAR: Boosting Diversity in Bitwise Autoregressive Image Generation
[arXiv] 2025-12-02 | Phase diagram of the one-dimensional three-state Potts model with an additional mean-field interaction
[arXiv] 2025-12-02 | Fast Gaussian Process Approximations for Autocorrelated Data
[arXiv] 2025-12-02 | AutoNeural: Co-Designing Vision-Language Models for NPU Inference
[arXiv] 2025-12-02 | Asymptotics for additive functionals of particle systems via Stein's method
[arXiv] 2025-12-02 | Gravitational-wave imprints of Kerr--Bertotti--Robinson black holes: frequency blue-shift and waveform dephasing
[arXiv] 2025-12-02 | Learning Multimodal Embeddings for Traffic Accident Prediction and Causal Estimation
[arXiv] 2025-12-02 | Interacting Generalized Chaplygin-Jacobi gas: Thermodynamics approach
[arXiv] 2025-12-02 | Model-Based Diagnosis with Multiple Observations: A Unified Approach for C Software and Boolean Circuits
[arXiv] 2025-12-02 | Perceptual evaluation of Acoustic Level of Detail in Virtual Acoustic Environments
[arXiv] 2025-12-02 | A Novel Injection-Locked S-Band Oven Magnetron System Without Waveguide Isolators
[arXiv] 2025-12-02 | Detecting Symmetrizability in Physical Systems
[arXiv] 2025-12-02 | Inflationary assessment of $F(\mathcal{R},\tilde{\mathcal{R}})$ Einstein-Cartan models
[arXiv] 2025-12-02 | VHE FSRQs with Fermi-LAT: VHE and even brighter states in high-z FSRQs due to an HBL-like component?
[arXiv] 2025-12-02 | The Large Sky Area Multi-object Fiber Spectroscopic Telescope (LAMOST) Quasar Survey: Quasar Properties from Data Release 10 to 12
[arXiv] 2025-12-02 | Defense That Attacks: How Robust Models Become Better Attackers
[arXiv] 2025-12-02 | Divergence-type semigroups in Kleinian groups and Hausdorff dimension
[arXiv] 2025-12-02 | Anomalous metallic phase and reduced critical current in superconducting nanowires due to inverse proximity effect
[arXiv] 2025-12-02 | Radiologist Copilot: An Agentic Assistant with Orchestrated Tools for Radiology Reporting with Quality Control
[arXiv] 2025-12-02 | Search versus Decision for $\mathsf{S}_2^\mathsf{P}$
[arXiv] 2025-12-02 | SR-GRPO: Stable Rank as an Intrinsic Geometric Reward for Large Language Model Alignment
[arXiv] 2025-12-02 | Models for differential cross section in neutron-proton scattering and their implications
[arXiv] 2025-12-02 | TrackNetV5: Residual-Driven Spatio-Temporal Refinement and Motion Direction Decoupling for Fast Object Tracking
[arXiv] 2025-12-02 | Enhanced particle diffusion in fluctuating binary environments
[arXiv] 2025-12-02 | Leptophilic Gauge Interactions in the SMEFT Era
[arXiv] 2025-12-02 | Topological Pseudospin Hall Effect and Multi-frequency Corner Modes in Kagome-based Lattices
[arXiv] 2025-12-02 | The Support of Bin Packing is Exponential
[arXiv] 2025-12-02 | A Note on the Conditions for COS Convergence
[arXiv] 2025-12-02 | Credal Graph Neural Networks
[arXiv] 2025-12-02 | Generative modeling using evolved quantum Boltzmann machines
[arXiv] 2025-12-02 | Lectures on Quantum Field Theory on a Quantum Computer
[arXiv] 2025-12-02 | Lepton Flavor Physics in the flipped 3-3-1-1 Model: Non-Universality and Violation
[arXiv] 2025-12-02 | On the intersection of Cantor sets and products of random matrices
[arXiv] 2025-12-02 | Exploring Leptogenesis, WIMP Dark Matter, and Gravitational Waves in an extended Scalar Framework
[arXiv] 2025-12-02 | Input Order Shapes LLM Semantic Alignment in Multi-Document Summarization
[arXiv] 2025-12-02 | Adaptive Weighted LSSVM for Multi-View Classification
[arXiv] 2025-12-02 | Using precision coefficients on recurrence times and integrated currents to lower bound the average dissipation rate
[arXiv] 2025-12-02 | Joint Distillation for Fast Likelihood Evaluation and Sampling in Flow-based Models
[arXiv] 2025-12-02 | Silicate emission in a type-2 quasar: JWST/MIRI constraints on torus geometry and radiative feedback
[arXiv] 2025-12-02 | CryptoQA: A Large-scale Question-answering Dataset for AI-assisted Cryptography
[arXiv] 2025-12-02 | Remarks on uniform recurrence properties for beta-transformation
[arXiv] 2025-12-02 | Modeling and Inverse Identification of Interfacial Heat Conduction in Finite Layer and Semi-Infinite Substrate Systems via a Physics-Guided Neural Framework
[arXiv] 2025-12-02 | New 1mm thick Silicon Drift Detectors for future researches of Kaonic Atoms and the Pauli Exclusion principle
[arXiv] 2025-12-02 | SAM2Grasp: Resolve Multi-modal Grasping via Prompt-conditioned Temporal Action Prediction
[arXiv] 2025-12-02 | S3C2 SICP Summit 2025-06: Vulnerability Response Summit
[arXiv] 2025-12-02 | Quantification of abundance uncertainties in chemical models of exoplanet atmospheres
[arXiv] 2025-12-02 | Stepwise Schema-Guided Prompting Framework with Parameter Efficient Instruction Tuning for Multimedia Event Extraction
[arXiv] 2025-12-02 | From Panel to Pixel: Zoom-In Vision-Language Pretraining from Biomedical Scientific Literature
[arXiv] 2025-12-02 | Predictive Beamforming in Low-Altitude Wireless Networks: A Cross-Attention Approach
[arXiv] 2025-12-02 | Sparse Computations in Deep Learning Inference
[arXiv] 2025-12-02 | On the spectral geometry of Liouville quantum gravity
[arXiv] 2025-12-02 | PopSim: Social Network Simulation for Social Media Popularity Prediction
[arXiv] 2025-12-02 | Does Firm-Level AI Adoption Improve Early-Warning of Corporate Financial Distress? Evidence from Chinese Non-Financial Firms
[arXiv] 2025-12-02 | GeoDiT: A Diffusion-based Vision-Language Model for Geospatial Understanding
[arXiv] 2025-12-02 | Individual-specific precision neuroimaging of learning-related plasticity
[arXiv] 2025-12-02 | Attention-guided reference point shifting for Gaussian-mixture-based partial point set registration
[arXiv] 2025-12-02 | Stress-Testing Causal Claims via Cardinality Repairs
[arXiv] 2025-12-02 | The Gamma-disordered Aztec diamond
[arXiv] 2025-12-02 | Information dynamics and symmetry breaking in generic monitored $\mathbb{Z}_2$-symmetric open quantum systems
[arXiv] 2025-12-02 | LORE: A Large Generative Model for Search Relevance
[arXiv] 2025-12-02 | Asymptotic Analysis of Stochastic Splitting Methods for Multivariate Monotone Inclusions
[arXiv] 2025-12-02 | Unrolled Networks are Conditional Probability Flows in MRI Reconstruction
[arXiv] 2025-12-02 | Instant Video Models: Universal Adapters for Stabilizing Image-Based Networks
[arXiv] 2025-12-02 | Notes on Regularity theory for Nonlinear elliptic equations
[arXiv] 2025-12-02 | From Moderation to Mediation: Can LLMs Serve as Mediators in Online Flame Wars?
[arXiv] 2025-12-02 | MIRI spectrophotometry of GN-z11: Detection and nature of an optical red continuum component
[arXiv] 2025-12-02 | Asymptotic enumeration via graph containers and entropy
[arXiv] 2025-12-02 | GraphFusion3D: Dynamic Graph Attention Convolution with Adaptive Cross-Modal Transformer for 3D Object Detection
[arXiv] 2025-12-02 | Slices for reductive group actions in algebraic and holomorphic symplectic geometry
[arXiv] 2025-12-02 | WISE: Weighted Iterative Society-of-Experts for Robust Multimodal Multi-Agent Debate
[arXiv] 2025-12-02 | Markov Chains Approximate Message Passing
[arXiv] 2025-12-02 | Hypothesis Testing for Generalized Thurstone Models
[arXiv] 2025-12-02 | FAIRY2I: Universal Extremely-Low Bit QAT framework via Widely-Linear Representation and Phase-Aware Quantization
[arXiv] 2025-12-02 | Qubit Lattice Algorithm Simulations of the Scattering of a Bounded Two Dimensional Electromagnetic Pulse from an Infinite Planar Dielectric Interface
[arXiv] 2025-12-02 | Perception of AI-Generated Music -- The Role of Composer Identity, Personality Traits, Music Preferences, and Perceived Humanness
[arXiv] 2025-12-02 | SAND Challenge: Four Approaches for Dysartria Severity Classification
[arXiv] 2025-12-02 | Progress in relativistic laser-plasma interaction with kilotesla-level applied magnetic fields
[arXiv] 2025-12-02 | DOLMA: A Data Object Level Memory Disaggregation Framework for HPC Applications
[arXiv] 2025-12-02 | Fine-Tuned Large Language Models for Logical Translation: Reducing Hallucinations with Lang2Logic
[arXiv] 2025-12-02 | Exploring the Electronic Nature of Spinel Oxides: A Review of Their Electron Interactions and Prospects
[arXiv] 2025-12-02 | Limiting Reduction and Modified Gravity
[arXiv] 2025-12-02 | When Refusals Fail: Unstable Safety Mechanisms in Long-Context LLM Agents
[arXiv] 2025-12-02 | Generation of strong ultralow-phase-noise microwave fields with tunable ellipticity for ultracold polar molecules
[arXiv] 2025-12-02 | Training Data Attribution for Image Generation using Ontology-Aligned Knowledge Graphs
[arXiv] 2025-12-02 | Rural Connectivity Inequalities in Finland and Sweden: Evidence, Measures, and Policy Reflections
[arXiv] 2025-12-02 | SeeNav-Agent: Enhancing Vision-Language Navigation with Visual Prompt and Step-Level Policy Optimization
[arXiv] 2025-12-02 | Joint Beamforming and Matching for Ultra-Dense Massive Antenna Arrays
[arXiv] 2025-12-02 | Engineered mode coupling in high-Q microresonators enables deterministic low-repetition-rate soliton microcombs
[arXiv] 2025-12-02 | Probabilistic energy profiler for statically typed JVM-based programming languages
[arXiv] 2025-12-02 | Experimental constraints on $γ$-ray strength function of $^{72}$Ga from $^{72}\mathrm{Ga(n,γ)^{72}Ga}$ capture data and reevaluation of Maxwellian-averaged cross sections of $^{71}$Ga
[arXiv] 2025-12-02 | Heavy sterile neutrinos in $B$ decays and new QCD corrections to their semi-hadronic decay rates
[arXiv] 2025-12-02 | Irreduciblity of certain $\widehat{\mathfrak sl}_2$-modules of Wakimoto type
[arXiv] 2025-12-02 | Menta: A Small Language Model for On-Device Mental Health Prediction
[arXiv] 2025-12-02 | Quasinormal modes of a static black hole in nonlinear electrodynamics
[arXiv] 2025-12-02 | GeoBridge: A Semantic-Anchored Multi-View Foundation Model Bridging Images and Text for Geo-Localization
[arXiv] 2025-12-02 | A Tight Double-Exponentially Lower Bound for High-Multiplicity Bin Packing
[arXiv] 2025-12-02 | Off-grid solar energy storage system with lithium iron phosphate (LFP) batteries in high mountains: a case report of Tianchi Lodge in Taiwan
[arXiv] 2025-12-02 | Graph VQ-Transformer (GVT): Fast and Accurate Molecular Generation via High-Fidelity Discrete Latents
[arXiv] 2025-12-02 | Modal Analysis of Core Inertial Dynamics: Re-evaluating Grid-Forming Control Design Principles
[arXiv] 2025-12-02 | Fully Integrated Perovskite Polaritonic Circuits with Tunable Lasing and Nonlinear Amplification
[arXiv] 2025-12-02 | Distill, Forget, Repeat: A Framework for Continual Unlearning in Text-to-Image Diffusion Models
[arXiv] 2025-12-02 | KM3NeT/ARCA stacking search for high-energy neutrinos from blazars
[arXiv] 2025-12-02 | Hear What Matters! Text-conditioned Selective Video-to-Audio Generation
[arXiv] 2025-12-02 | Chiplet technology for large-scale trapped-ion quantum processors
[arXiv] 2025-12-02 | A Communication-Efficient Distributed Optimization Algorithm with Coupled Constraints
[arXiv] 2025-12-02 | A new family of models with generalized orientation in data envelopment analysis
[arXiv] 2025-12-02 | Adapting Tensor Kernel Machines to Enable Efficient Transfer Learning for Seizure Detection
[arXiv] 2025-12-02 | RULER-Bench: Probing Rule-based Reasoning Abilities of Next-level Video Generation Models for Vision Foundation Intelligence
[arXiv] 2025-12-02 | Content-Aware Texturing for Gaussian Splatting
[arXiv] 2025-12-02 | Accurate Modeling of Gate Leakage Currents in SiC Power MOSFETs
[arXiv] 2025-12-02 | Spoken Conversational Agents with Large Language Models
[arXiv] 2025-12-02 | PaperDebugger: A Plugin-Based Multi-Agent System for In-Editor Academic Writing, Review, and Editing
[arXiv] 2025-12-02 | From Imitation to Discrimination: Toward A Generalized Curriculum Advantage Mechanism Enhancing Cross-Domain Reasoning Tasks
[arXiv] 2025-12-02 | Co-speech Gesture Video Generation via Motion-Based Graph Retrieval
[arXiv] 2025-12-02 | Intrinsic and Tunable Superconducting Diode Effect in Quantum Spin Hall Systems
[arXiv] 2025-12-02 | The near-Sun Heliospheric Current Sheet, fluid and kinetic properties
[arXiv] 2025-12-02 | Reframing Human-Robot Interaction Through Extended Reality: Unlocking Safer, Smarter, and More Empathic Interactions with Virtual Robots and Foundation Models
[arXiv] 2025-12-02 | Anderson localization in high-contrast media with random spherical inclusions
[arXiv] 2025-12-02 | Empathy Level Prediction in Multi-Modal Scenario with Supervisory Documentation Assistance
[arXiv] 2025-12-02 | Deep Learning-Based Joint Uplink-Downlink CSI Acquisition for Next-Generation Upper Mid-Band Systems
[arXiv] 2025-12-02 | What Signals Really Matter for Misinformation Tasks? Evaluating Fake-News Detection and Virality Prediction under Real-World Constraints
[arXiv] 2025-12-02 | On the problem of stability of abstract elementary classes of modules
[arXiv] 2025-12-02 | In-Context Distillation with Self-Consistency Cascades: A Simple, Training-Free Way to Reduce LLM Agent Costs
[arXiv] 2025-12-02 | Detection of Crowdsourcing Cryptocurrency Laundering via Multi-Task Collaboration
[arXiv] 2025-12-02 | Assessment of Simulation-based Inference Methods for Stochastic Compartmental Models
[arXiv] 2025-12-02 | Relativistic correction to the binding energies of two-body hadronic molecular states
[arXiv] 2025-12-02 | SkyMoE: A Vision-Language Foundation Model for Enhancing Geospatial Interpretation with Mixture of Experts
[arXiv] 2025-12-02 | VibOmni: Towards Scalable Bone-conduction Speech Enhancement on Earables
[arXiv] 2025-12-02 | Two-Stage Vision Transformer for Image Restoration: Colorization Pretraining + Residual Upsampling
[arXiv] 2025-12-02 | The Invisible Hand: Characterizing Generative AI Adoption and its Effects on An Online Freelancing Market
[arXiv] 2025-12-02 | Non-vanishing non-linear Static Love Number of a Class of Extremal Reissner-Nordstrom Black Holes
[arXiv] 2025-12-02 | Cell-free versus Conventional Massive MIMO : An Analysis of Channel Capacity based on Channel Measurement in the FR3 Band
[arXiv] 2025-12-02 | Hybrid(Penalized Regression and MLP) Models for Outcome Prediction in HDLSS Health Data
[arXiv] 2025-12-02 | Simulation and inference methods for non-Markovian stochastic biochemical reaction networks
[arXiv] 2025-12-02 | Quantum-Based Self-Attention Mechanism for Hardware-Aware Differentiable Quantum Architecture Search
[arXiv] 2025-12-02 | An expository review of the Chebyshev-Sylvester method in prime number theory
[arXiv] 2025-12-02 | Channel Knowledge Map Enabled Low-Altitude ISAC Networks: Joint Air Corridor Planning and Base Station Deployment
[arXiv] 2025-12-02 | Efficient Eye-based Emotion Recognition via Neural Architecture Search of Time-to-First-Spike-Coded Spiking Neural Networks
[arXiv] 2025-12-02 | Twisted Calabi functional and twisted Calabi flow
[arXiv] 2025-12-02 | Obstructions of deforming complex structures and cohomology contractions
[arXiv] 2025-12-02 | QJoin: Transformation-aware Joinable Data Discovery Using Reinforcement Learning
[arXiv] 2025-12-02 | Structure and Mass-Radius Stability of Charged Compact Objects in Symmetric Teleparallel Euler-Heisenberg Gravity
[arXiv] 2025-12-02 | Semantic Trading: Agentic AI for Clustering and Relationship Discovery in Prediction Markets
[arXiv] 2025-12-02 | High-Precision Amplitude-Modulated Continuous-Wave Lunar Laser Ranging
[arXiv] 2025-12-02 | MMP on the generic fiber of log Calabi--Yau type fibration
[arXiv] 2025-12-02 | Quantum feature encoding optimization
[arXiv] 2025-12-02 | Simulation-Based Inference of Ginzburg--Landau Parameters in Type--1.5 Superconductors
[arXiv] 2025-12-02 | ESACT: An End-to-End Sparse Accelerator for Compute-Intensive Transformers via Local Similarity
[arXiv] 2025-12-02 | AtomGraph: Tackling Atomicity Violation in Smart Contracts using Multimodal GCNs
[arXiv] 2025-12-02 | Skywork-R1V4: Toward Agentic Multimodal Intelligence through Interleaved Thinking with Images and DeepResearch
[arXiv] 2025-12-02 | Reproducing and Extending RaDelft 4D Radar with Camera-Assisted Labels
[arXiv] 2025-12-02 | "SNe Ia twins" in the Hubble flow, and the determination of H0
[arXiv] 2025-12-02 | Coupled plastic strain- and stress-induced phase transformations and microstructure evolution in Fe-7%Mn alloy in dynamic rotational diamond anvil cell
[arXiv] 2025-12-02 | Self-Consistent Random Phase Approximation from Projective Truncation Approximation Formalism
[arXiv] 2025-12-02 | Pushing Tensor Accelerators Beyond MatMul in a User-Schedulable Language
[arXiv] 2025-12-02 | Universal Sensitivity Bound for Thermal Quantum Dynamic Sensing
[arXiv] 2025-12-02 | Singular value asymptotics on compact smooth Riemaniann manifolds
[arXiv] 2025-12-02 | The first extragalactic ultra-compact X-ray binary : a candidate black hole-white dwarf system
[arXiv] 2025-12-02 | Visibility-Graph Asymmetry as a Structural Indicator of Volatility Clustering
[arXiv] 2025-12-02 | Safeguarded Stochastic Polyak Step Sizes for Non-smooth Optimization: Robust Performance Without Small (Sub)Gradients
[arXiv] 2025-12-02 | Age of Information for Constrained Scheduling with Imperfect Feedback
[arXiv] 2025-12-02 | Towards autonomous normative multi-agent systems for Human-AI software engineering teams
[arXiv] 2025-12-02 | COGNITION: From Evaluation to Defense against Multimodal LLM CAPTCHA Solvers
[arXiv] 2025-12-02 | Few-shot Protein Fitness Prediction via In-context Learning and Test-time Training
[arXiv] 2025-12-02 | Fast and Accurate Node-Age Estimation Under Fossil Calibration Uncertainty Using the Adjusted Pairwise Likelihood
[arXiv] 2025-12-02 | End-to-end machine-learned interatomic potentials for modeling functionalized mesoporous aluminosilicates
[arXiv] 2025-12-02 | Breast Cell Segmentation Under Extreme Data Constraints: Quantum Enhancement Meets Adaptive Loss Stabilization
[arXiv] 2025-12-02 | Observing binary neutron star subpopulations with the Einstein Telescope
[arXiv] 2025-12-02 | Artographer: a Curatorial Interface for Art Space Exploration
[arXiv] 2025-12-02 | Alternative winding patterns for twisted solenoid coils with improved characteristics for TRASE MRI
[arXiv] 2025-12-02 | New insights into hydrogen-assisted intergranular cracking in nickel
[arXiv] 2025-12-02 | Preconditioning a hybridizable discontinuous Galerkin method for Navier-Stokes at high Reynolds number
[arXiv] 2025-12-02 | Lumos: Let there be Language Model System Certification
[arXiv] 2025-12-02 | Universal nondiffractive topological spin textures in vortex cores of light and sound
[arXiv] 2025-12-02 | Conservation of Momentum and Energy in the Lorenz-Abraham-Dirac Equation of Motion
[arXiv] 2025-12-02 | The suppression of the matter power spectrum: strong feedback from X-ray gas mass fractions, kSZ effect profiles, and galaxy-galaxy lensing
[arXiv] 2025-12-02 | The Convex Matching Distance in Multiparameter Persistence
[arXiv] 2025-12-02 | Can Eccentric Binary Black Hole Signals Mimic Gravitational-Wave Microlensing?
[arXiv] 2025-12-02 | Combining Transport of Pendular Water with Wind-Assisted Interfacial Evaporation for Dewatering of Concentrated Slurry Waste
[arXiv] 2025-12-02 | Magnetic field induced polarization enhancement in the photoluminescence of MBE-grown WSe$_2$ layers
[arXiv] 2025-12-02 | Stability of quantum chaos against weak non-unitarity
[arXiv] 2025-12-02 | LoVoRA: Text-guided and Mask-free Video Object Removal and Addition with Learnable Object-aware Localization
[arXiv] 2025-12-02 | Distinguishing ram pressure from gravitational interactions: Applying the Size-Shape Difference method to real galaxies
[arXiv] 2025-12-02 | Belobog: Move Language Fuzzing Framework For Real-World Smart Contracts
[arXiv] 2025-12-02 | Maintaining SUV Accuracy in Low-Count PET with PETfectior: A Deep Learning Denoising Solution
[arXiv] 2025-12-02 | Intervention Strategies for Polarization Switching in Hybrid Improper Ferroelectrics
[arXiv] 2025-12-02 | On the Performance of Multi-Wavelength Underwater Optical Channels in the Presence of Optical Turbulence
[arXiv] 2025-12-02 | Electrically driven plasmon-polaritonic bistability in Dirac electron tunneling transistors
[arXiv] 2025-12-02 | Towards a fully differentiable digital twin for solar cells
[arXiv] 2025-12-02 | Symmetry transformation group arising from the Laplace-Runge-Lenz vector
[arXiv] 2025-12-02 | Discovery and rectification of an error in high resistance traceability at NPL: a case study in how metrology works
[arXiv] 2025-12-02 | Ground state solutions of $p$-Laplacian equations with nonnegative potentials on Lattice graphs
[arXiv] 2025-12-02 | HeteroJIVE: Joint Subspace Estimation for Heterogeneous Multi-View Data
[arXiv] 2025-12-02 | Modulation of DNA rheology by a transcription factor that forms aging microgels
[arXiv] 2025-12-02 | SwarmDiffusion: End-To-End Traversability-Guided Diffusion for Embodiment-Agnostic Navigation of Heterogeneous Robots
[arXiv] 2025-12-02 | GraphMatch: Fusing Language and Graph Representations in a Dynamic Two-Sided Work Marketplace
[arXiv] 2025-12-02 | Action Anticipation at a Glimpse: To What Extent Can Multimodal Cues Replace Video?
[arXiv] 2025-12-02 | Cross-Lingual Prompt Steerability: Towards Accurate and Robust LLM Behavior across Languages
[arXiv] 2025-12-02 | A Comparative Study on How Data Normalization Affects Zero-Shot Generalization in Time Series Foundation Models
[arXiv] 2025-12-02 | Analysis of hypothesis tests for multiple uncertain finite populations with applications to normal uncertainty distributions
[arXiv] 2025-12-02 | From Navigation to Refinement: Revealing the Two-Stage Nature of Flow-based Diffusion Models through Oracle Velocity
[arXiv] 2025-12-02 | Memory Correlators and Ward Identities in the 'in-in' Formalism
[arXiv] 2025-12-02 | Effect of slowly decaying long-range interactions on topological qubits
[arXiv] 2025-12-02 | AI-Driven Document Redaction in UK Public Authorities: Implementation Gaps, Regulatory Challenges, and the Human Oversight Imperative
[arXiv] 2025-12-02 | Fine-Graining and Continuous Space Scaling Limit of the $H^{2|2}$ Model on the Hierarchical Lattice
[arXiv] 2025-12-02 | On local Liakopoulos-Meyer type inequalities and their functional counterparts
[arXiv] 2025-12-02 | Channel Knowledge Map Construction via Physics-Inspired Diffusion Model Without Prior Observations
[arXiv] 2025-12-02 | Observation of non-Hermitian many-body phase transition in a Rydberg-atom array
[arXiv] 2025-12-02 | Phase-sensitive non-reciprocal transport in high-temperature superconductor
[arXiv] 2025-12-02 | AttMetNet: Attention-Enhanced Deep Neural Network for Methane Plume Detection in Sentinel-2 Satellite Imagery
[arXiv] 2025-12-02 | Minimal decomposition entropy and optimal representations of absolutely maximally entangled states
[arXiv] 2025-12-02 | BART Streams: Real-time Reconstruction Using a Modular Framework for Pipeline Processing
[arXiv] 2025-12-02 | Digit-Indexed q-ary SEC-DED Codes with Near-Hamming Overhead
[arXiv] 2025-12-02 | MagicQuillV2: Precise and Interactive Image Editing with Layered Visual Cues
[arXiv] 2025-12-02 | OneThinker: All-in-one Reasoning Model for Image and Video
[arXiv] 2025-12-02 | PPTArena: A Benchmark for Agentic PowerPoint Editing
[arXiv] 2025-12-02 | ViSAudio: End-to-End Video-Driven Binaural Spatial Audio Generation
[arXiv] 2025-12-02 | MAViD: A Multimodal Framework for Audio-Visual Dialogue Understanding and Generation
[arXiv] 2025-12-02 | Consistent Truncations and Generalised Geometry: Scanning through Dimensions and Supersymmetry
[arXiv] 2025-12-02 | Topological marker in three dimensions based on kernel polynomial method
[arXiv] 2025-12-02 | In-Context Sync-LoRA for Portrait Video Editing
[arXiv] 2025-12-02 | Modeling dark matter halos with self-interacting fermions
[arXiv] 2025-12-02 | The role of the top Yukawa coupling in triple Higgs production at the LHC
[arXiv] 2025-12-02 | Stability of knot equivalence at low regularity, and symmetric critical knots for the Möbius energy
[arXiv] 2025-12-02 | Synthetic Error Injection Fails to Elicit Self-Correction In Language Models
[arXiv] 2025-12-02 | A unified optical platform for non-Gaussian and fault-tolerant Gottesman-Kitaev-Preskill states
[arXiv] 2025-12-02 | Thouless pumps and universal geometry-induced drift velocity in multi-sliding quasi-periodic lattices
[arXiv] 2025-12-02 | Padé Approximants for Fast Radio Bursts Diffuse Dispersion Measure
[arXiv] 2025-12-02 | Neutron stars in $f(\mathbb{Q})$ gravity
[arXiv] 2025-12-02 | Bangla Hate Speech Classification with Fine-tuned Transformer Models
[arXiv] 2025-12-02 | Action and rotation number of periodic orbits of area-preserving annulus diffeomorphisms
[arXiv] 2025-12-02 | A Datalake for Data-driven Social Science Research
[arXiv] 2025-12-02 | Improved Ising Meson Spectroscopy Simulation on a Noisy Digital Quantum Device
[arXiv] 2025-12-02 | Entanglement evolution from entangled multipodal states
[arXiv] 2025-12-02 | ISAC-Powered Distributed Matching and Resource Allocation in Multi-band NTN
[arXiv] 2025-12-02 | SurfFill: Completion of LiDAR Point Clouds via Gaussian Surfel Splatting
[arXiv] 2025-12-02 | Hilbert Coefficients and Regularity of Binomial Edge Ideals
[arXiv] 2025-12-02 | Tensor Network Based Feature Learning Model
[ACM] 2025-12-2 | Equitable Access to Urgent Care: Examining Transportation Inequities and Social Vulnerabilities in Chicago through GIS
[ACM] 2025-12-2 | Poster: Towards AI-Native RAN: Architecture and Key Technologies
[ACM] 2025-12-2 | Safety and Risk Pathways in Cooperative Generative Multi-Agent Systems: A Telecom Perspective
[ACM] 2025-12-2 | Better than Optimal: Improving Adaptive Stochastic Quantization Using Shared Randomness
[ACM] 2025-12-2 | Large Language Model-guided Semantic Alignment for Human Activity Recognition
[ACM] 2025-12-2 | Toward Designing Motor Imagery-driven Hand Redirection in Virtual Reality for Upper Limb Rehabilitation
[IEEE] 2025-12-2 | Modeling and Small-Signal Stability Analysis of Distributed Economic Dispatch System for New Distribution Network
[IEEE] 2025-12-2 | 2025 International Conference on Culture-Oriented Science &amp;amp; Technology (CoST)
[IEEE] 2025-12-2 | Pointer Network-Based Reinforcement Learning for UAV-Assisted Mobile Edge Computing
[IEEE] 2025-12-2 | An Equilibrium Factor-Based Iterative Learning Control of Robot Arms Against Initial Errors and Actuator Faults
[IEEE] 2025-12-2 | Shield Broken: Black-Box Adversarial Attacks on LLM-Based Vulnerability Detectors
[IEEE] 2025-12-2 | IEEE 3M-NANO 2025 Committees
[IEEE] 2025-12-2 | N2WOMEN Panel: AI/ML for the Next Generation Wireless Networks
[IEEE] 2025-12-2 | IEEE Transactions on Evolutionary Computation Publication Information
[IEEE] 2025-12-2 | Differential-Privacy-Preserving Distributed ADMM Using Load-Balanced Sparse Allreduce Communication_supp1-3638741.pdf
[IEEE] 2025-12-2 | Exploiting SIMD-ified Bit-Parallelism for High-Performance Complex Event Matching
[IEEE] 2025-12-2 | OSRNet: A One-Step Learned Spatial Redistribution Convolutional Neural Network for satellite SIF downscaling
[IEEE] 2025-12-2 | A Wideband and High-Density Integration Microwave Transceiver Component for Tile-Style Phased Array With SiP Technology
[IEEE] 2025-12-2 | Intelligent Edge Data Integrity Verification with Dynamic Unreliable Data Replica Selection_supp1-3638138.pdf
